,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
559,8,17,170,50,16,0.32,16,0.32
560,8,18,184,10,7,0.7,6,0.6
561,8,18,184,20,10,0.5,10,0.5
562,8,18,184,30,14,0.4666666666666667,14,0.4666666666666667
563,8,18,184,40,18,0.45,18,0.45
564,8,18,184,50,18,0.36,18,0.36
565,8,19,194,10,7,0.7,6,0.6
566,8,19,194,20,10,0.5,10,0.5
567,8,19,194,30,15,0.5,15,0.5
568,8,19,194,40,19,0.475,19,0.475
569,8,19,194,50,20,0.4,20,0.4
570,10,1,11,10,1,0.1,1,0.1
571,10,1,11,20,2,0.1,1,0.05
572,10,1,11,30,2,0.06666666666666667,1,0.03333333333333333
573,10,1,11,40,3,0.075,1,0.025
574,10,1,11,50,3,0.06,2,0.04
575,10,2,17,10,3,0.3,2,0.2
576,10,2,17,20,3,0.15,2,0.1
577,10,2,17,30,5,0.16666666666666666,2,0.06666666666666667
578,10,2,17,40,5,0.125,3,0.075
579,10,2,17,50,5,0.1,4,0.08
580,10,3,24,10,3,0.3,2,0.2
581,10,3,24,20,3,0.15,2,0.1
