Year,Season,Title,Type,Episodes,Status,Source,Genres,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Themes,Demographics,Broadcast_Day,Broadcast_Hour,Duration_Minutes,Premiere Datetime
2020,0,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV,12.0,Finished Airing,Light novel,['Fantasy'],PG-13 - Teens 13 or older,8.08,555.0,1130.0,229671,841,135225.0,"['Isekai', 'Reincarnation']",,0.0,2.0,23.0,2020-04-05
2020,0,Houkago Teibou Nisshi,TV,12.0,Finished Airing,Manga,"['Gourmet', 'Slice of Life']",PG-13 - Teens 13 or older,7.43,2228.0,2807.0,68009,328,28423.0,"['CGDCT', 'Iyashikei', 'School']",['Seinen'],2.0,22.0,23.0,2020-04-07
2020,0,Huyao Xiao Hongniang: Jin Chenxi,ONA,10.0,Finished Airing,Manga,"['Comedy', 'Drama', 'Romance', 'Supernatural']",PG-13 - Teens 13 or older,7.03,4273.0,10457.0,3036,4,788.0,['Historical'],,,,18.0,2020-06-19
2020,0,IDOLiSH7 Second Beat!,TV,15.0,Finished Airing,Game,['Drama'],PG-13 - Teens 13 or older,8.13,481.0,4084.0,33446,404,12047.0,"['Idols (Male)', 'Music']",,0.0,23.0,24.0,2020-04-05
2020,0,Isekai System,ONA,1.0,Finished Airing,Original,['Fantasy'],PG-13 - Teens 13 or older,5.71,11337.0,17649.0,437,1,194.0,['Isekai'],,,,2.0,
2020,0,Jashin-chan Dropkick',TV,11.0,Finished Airing,Web manga,"['Comedy', 'Supernatural']",PG-13 - Teens 13 or older,7.46,2113.0,3183.0,53373,124,22218.0,"['Gag Humor', 'Mythology']",,1.0,20.0,23.0,2020-04-06
2020,0,Jashin-chan Dropkick': Chitose-hen,Special,1.0,Finished Airing,Web manga,"['Comedy', 'Supernatural']",PG-13 - Teens 13 or older,7.25,3115.0,5598.0,15853,11,7665.0,"['Gag Humor', 'Mythology']",,,,23.0,
2020,0,Jomji: Zombi Jibangi,ONA,1.0,Finished Airing,Original,"['Action', 'Horror']",PG-13 - Teens 13 or older,,16487.0,24056.0,106,0,,,,,,4.0,
2020,0,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12.0,Finished Airing,Manga,"['Comedy', 'Romance']",PG-13 - Teens 13 or older,8.62,91.0,98.0,1404803,18881,899930.0,['School'],['Seinen'],6.0,23.0,24.0,2020-04-11
2020,0,Kaijuu Sekai Seifuku,ONA,4.0,Finished Airing,Web manga,['Slice of Life'],G - All Ages,,16568.0,22483.0,147,0,,['Pets'],,,,1.0,2020-04-02
2020,0,Kakushigoto,TV,12.0,Finished Airing,Manga,['Comedy'],PG-13 - Teens 13 or older,7.97,706.0,746.0,339789,2121,143950.0,"['Childcare', 'Gag Humor', 'Otaku Culture', 'Workplace']",['Shounen'],4.0,23.0,23.0,2020-04-02
2020,0,Kami no Tou,TV,13.0,Finished Airing,Web manga,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",PG-13 - Teens 13 or older,7.56,1709.0,167.0,1007274,6836,582602.0,,,4.0,0.0,23.0,2020-04-02
2020,0,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,TV,,Currently Airing,Original,"['Comedy', 'Slice of Life']",G - All Ages,,16658.0,13269.0,1281,0,,,,,,2.0,2012-11-16
2020,0,"Kanojo, Okarishimasu: Date Movie",ONA,32.0,Finished Airing,Manga,['Romance'],PG-13 - Teens 13 or older,5.76,11095.0,11278.0,2377,5,639.0,,,,,1.0,2020-06-13
2020,0,Katarina to Manabou,ONA,9.0,Finished Airing,Light novel,['Comedy'],PG-13 - Teens 13 or older,5.63,11667.0,8189.0,6128,3,1288.0,,,,,0.7333333333333333,2020-05-10
2020,0,Kingdom 3rd Season,TV,26.0,Finished Airing,Manga,['Action'],R - 17+ (violence & profanity),8.83,29.0,2036.0,113132,2327,45309.0,"['Historical', 'Military']",['Seinen'],1.0,0.0,25.0,2020-04-06
2020,0,Kiratto Pri☆chan Season 3,TV,51.0,Finished Airing,Game,['Comedy'],PG - Children,7.23,3207.0,10516.0,2982,11,968.0,"['Idols (Female)', 'Music']",,0.0,10.0,24.0,2020-04-05
