,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographics
93,"Card Captors Sakura The Movie 2, Card Captor Sakura: Enchanted Cards",劇場版 カードキャプターさくら 封印されたカード,Cardcaptor Sakura Movie 2: The Sealed Card,,Sakura La Película 2: La Carta Sellada,Card Captor Sakura Film 2: La Carte Scellée,['Movie'],1,Finished Airing,"Jul 15, 2000",,,"['Bandai Visual', 'Shochiku', 'Kodansha', 'Shelty', 'Amber Film Works']","['Nelvana', 'Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Award Winning', 'Comedy', 'Drama', 'Romance']",['Mahou Shoujo'],['Shoujo'],1 hr. 22 min.,PG - Children,8.21,#380,#1956,"119,449",487,68849,"For this year's Nadeshiko Festival, Sakura Kinomoto's elementary school class is presenting a play. She will portray a princess who struggles to respond to the love confession of the neighboring country's prince. Sakura empathizes with her character all too well, since she herself still owes an answer to the boy who confessed his love for her four months ago. When cousins Shaoran and Meiling Li return from Hong Kong to pay a surprise visit to their friends in Japan, Sakura receives further encouragement to finally declare her feelings. However, she is repeatedly distracted by a presence reminiscent of a Clow Card as well as unexplained disappearances around town. Eventually, Sakura learns of another of Clow Reed's creations—the ""Nothing""—which was formerly sealed away beneath the magician's old house. It has power equal to all 52 cards Sakura possesses, and furthermore, it wants to take those cards away from her! Objects, space, and people disappear from Tomoeda with each card that is stolen. Sakura sets out to capture the Nothing so everything will return to normal, but what must she sacrifice in the process? [Written by MAL Rewrite]","['Prequel (TV) Cardcaptor Sakura', 'Sequel (TV) Cardcaptor Sakura: Clear Card-hen', 'Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura Movie 2: Fuuin Sareta Card,,,
94,Digimon Adventure 02: Digimon Hurricane Jouriku!! / Kouhen Chouzetsu Shinka!! Ougon no Digimental,映画 デジモンアドベンチャー０２,Digimon Movie 02 - Digimon Hurricane Touchdown! Supreme Evolution! The Golden Digimentals.,,,,['Movie'],2,Finished Airing,"Jul 8, 2000",,,['Bandai Visual'],"['Discotek Media', 'Saban Entertainment']",['Toei Animation'],Original,"['Adventure', 'Fantasy', 'Sci-Fi']",,['Kids'],32 min. per ep.,PG - Children,7.10,#3897,#3415,"47,503",44,27360,"Years after a young boy in America loses one of his Digimon friends, an evil viral Digimon successfully kidnaps the original Chosen Children. Their younger friends must race against time with their Digimon partners to discover the source of this new menace, and perhaps solve a years-old mystery. (Source: ANN)",[],Digimon Adventure 02 Movies,,,
95,,ピチューとピカチュウ,Pokémon: Pikachu and Pichu,,,Pokémon: Pikachu & Pichu,['Movie'],1,Finished Airing,"Jul 8, 2000",,,['Shogakukan Productions'],"['4Kids Entertainment', 'Warner Bros. Pictures']",['OLM'],Game,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],22 min.,PG - Children,6.72,#5783,#3556,"44,459",16,25372,"While visiting a big city home to many lively Pokémon, Pikachu rejoices when Satoshi, Kasumi, and Takeshi give their Pokémon free rein to play, with the only condition that they must all be at this rooftop in two hours. Unfortunately, Pikachu's leisure time is short-lived when he encounters a Pichu on a rooftop across the street. While bantering with each other, Pikachu nearly falls off the building. Following a lucky sequence of events, Pikachu finds himself safe next to Pichu and his brother—but on the opposite side of the road! Because they are familiar with the area, the Pichu brothers volunteer to escort Pikachu back to his friends. As the trio stumble upon a series of obstacles on their journey across the bustling city, Pikachu starts to wonder if he will rejoin his companions on time. [Written by MAL Rewrite]",[],Pokemon: Pichu to Pikachu,,,
96,"Cardcaptor Sakura: Leave it to Kero-chan, Cardcaptor Sakura: Kero's Corner",ケロちゃんにおまかせ！,Cardcaptor Sakura: Leave it to Kero! Theatrical Version,,,,['Movie'],1,Finished Airing,"Jul 15, 2000",,,"['NHK', 'Kodansha', 'Shelty']","['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Comedy', 'Gourmet']",,['Shoujo'],10 min.,G - All Ages,7.32,#2711,#4161,"32,520",35,16601,"Following the events of Cardcaptor Sakura Movie 2: The Sealed Card, Kero and Spinel share a plate of takoyaki (octopus balls). They get into a fight over who gets the last piece, and in the process send it flying out the window. They both chase the takoyaki, and each other, in a mighty effort to be the ""takoyaki captor"". (Source: ANN)","['Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura: Kero-chan ni Omakase!,,,
97,Digimon - Grand Prix - CG Toei Animation Festival,デジモンアドベンチャー3D デジモングランプリ！,,,,,['Movie'],1,Finished Airing,"Jul 20, 2000",,,"None found,","None found,",['Toei Animation'],Original,"['Adventure', 'Comedy', 'Fantasy', 'Sports']",,['Kids'],7 min.,PG - Children,5.70,#11357,#7102,"8,901",5,3920,"Digimon special, Mario Kart style racing.",[],Digimon Adventure 3D: Digimon Grand Prix!,,"['Parody', 'Racing']",
98,Kaze o Mita Shonen,風を見た少年,The Boy Who Saw the Wind,,,Porté par le Vent,['Movie'],1,Finished Airing,"Jul 22, 2000",,,"None found,","None found,","[""Brain's Base""]",Book,"['Adventure', 'Drama', 'Fantasy']",,,1 hr. 37 min.,PG - Children,6.63,#6310,#8029,"6,520",3,2563,"Young boy Amon has mysterious powers. His dad is the cheif scientist for the Empire of the Golden Snake. He's invented weapons for this country in the past, but does not want his boy's powers to be used for destruction so he burns his research and tries to escape the country with his family. The mom and dad die in the escape and only Amon is left. He runs from the military, ends up on an island where he learns about the ancient people who could fly on the wind and talk to animals (as he can). Amon then ends up in a fishermen's village and makes friends with Maria. After this village is attacked by the Golden Snake army, the two run away with a band of rebels. Together, they try to stop the Empire of the Golden Snake from destroying and conquering everything. Based on the book by C.W. Nicol.",[],Kaze wo Mita Shounen,,,
99,"Ojamajo Doremi # Movie, Useless Witch Doremi Sharp, Bothersome Witch Doremi Sharp, Ojamjo Doremi #: Pop and the Queen's Cursed Rose",おジャ魔女どれみ♯,,,,,['Movie'],1,Finished Airing,"Jul 8, 2000",,,"None found,","None found,",['Toei Animation'],Original,,['Mahou Shoujo'],,27 min.,G - All Ages,7.19,#3441,#8365,"5,919",6,2609,"One day Pop was out scavenging with Hana, and found a beautiful rose inside the Queen's garden. Curious, she picked the rose and brought it home. Unwittingly, that rose can cause all wishes to become true, whether good or bad. Good wishes will turn the rose white and bloom, while bad wishes will turn the rose black and wither. After a heated argument with her sister Doremi, Pop wishes that Doremi loses all her magic and be turned into a mouse. Hilarity ensues, as Doremi and the others try to put everything back to normal. (Source: ANN)",[],Ojamajo Doremi Sharp Movie,['Comedy'],,
100,Glass no Chikyuu o Sukue Unico Tokubetsu Hen,ガラスの地球を救え ユニコ特別編,Saving Our Fragile Earth: Unico Special Chapter,,,,['Movie'],1,Finished Airing,"Jul 20, 2000",,,['Tezuka Productions'],"None found,","None found,",['Manga'],,,['Kids'],16 min.,G - All Ages,5.80,#10959,#15531,702,1,224,"This is the fourth original animated piece for the Tezuka Osamu Animation theatre that takes up Tezuka Osamu's message of ""Saving our Fragile Earth"" as its theme, and together with Unico's adventures commemorates the theatre's first anniversary. Unico, a unicorn's child, has dropped down from heaven. During his journey on the north wind, he meets Tsubasa, a tree boy who can speak. The Earth has become totally ruined to the extent that no creature can live there, because humans have drained it of all resources and destroyed the environment. Unico and Tsubasa go on a journey to find a way to make the Earth inhabitable again. They finally meet the Sphinx and the ""time fairy"" at the end of their hard journey. They decide to go back to the past and prevent humans from taking the wrong path. However, they can stay in the past for only five minutes. Will they be able to alter the future of the Earth in such short time? Their adventures to restore the Earth begin... (Source: Official page)",[],Glass no Chikyuu wo Sukue Unico Special,['Fantasy'],,
101,"The Sea's Aurora, Umi no Aurora",海のオーロラ,The Aurora,,,,['Movie'],1,Finished Airing,"Aug 5, 2000",,,['Nippon Television Network'],"None found,","None found,",Unknown,"['Adventure', 'Sci-Fi']",,,1 hr. 31 min.,PG-13 - Teens 13 or older,5.30,#12689,#15539,699,1,150,"Deep-sea archeologist Hiroshi Ibuki is the member of the digging team working at the bottom of the sea hoping to uncover the origins of Earth's existence but instead uncovers a mysterious colony of bacteria which gives off light similar to the Aurora Borealis. The ancient bacteria, once revived, attempt to make the world habitable for themselves —a process that would bring Earth back to its early primal form, killing all current life in the process. (Source: AnimeNFO)",[],The Aurora: Umi no Aurora,,,
102,Soreike! Anpanman: Tears of the Mermaid Princess,それいけ！アンパンマン 人魚姫のなみだ,,,,,['Movie'],1,Finished Airing,"Jul 29, 2000",,,"None found,","None found,",['TMS Entertainment'],Unknown,,,['Kids'],55 min.,PG - Children,5.94,#10238,#15664,679,0,150,12th Anpanman short movie.,[],Sore Ike! Anpanman: Ningyohime no Namida,['Comedy'],,
103,,それいけ!アンパンマン やきそばパンマンとブラックサボテンマン,,,,,['Movie'],1,Finished Airing,"Jul 29, 2000",,,['Tokyo Movie Shinsha'],"None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,['Kids'],25 min.,PG - Children,[],#14564,#17077,499,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,,,
104,,映画 おじゃる丸 約束の夏 おじゃるとせみら,Prince Mackaroo the Movie: The Promised Summer - Ojaru and Semira,,,,['Movie'],1,Finished Airing,"Jul 15, 2000",,,"None found,","None found,",['Gallop'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,,47 min.,G - All Ages,[],#20807,#17716,443,2,,"A short film introduces Semira, a strange boy who comes to play with Ojaru and his chums and bears a marked resemblance to a boy of the same name who spent a summer with the village elders when they were boys, long ago. (Source: AnimeVice)",[],Ojarumaru Yakusoku no Natsu Ojaru to Semira Movie,,,
105,,ムーミン谷のオーロラ,,,,,['Movie'],1,Finished Airing,"Sep 5, 2000",,,"None found,","None found,","None found,",Book,"['Adventure', 'Fantasy', 'Sci-Fi']",,['Kids'],20 min.,G - All Ages,[],#20498,#21399,209,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Muumindani no Aurora,,,
106,"Seikai no Danshou: Birth, Passage of the Stars: Birth, Seikai no Danshou: Tanjyou, Lost Chapter of the Stars: Birth",星界の断章 “誕生”,Crest of the Stars: Birth,,,,['TV Special'],1,Finished Airing,"Aug 25, 2000",,,"['Bandai Visual', 'WOWOW']","['Funimation', 'Bandai Entertainment']",['Sunrise'],['Light novel'],"['Romance', 'Sci-Fi']",,,25 min.,PG-13 - Teens 13 or older,7.04,#4168,#7013,"9,176",12,4290,"This is the story about how Dubus, Lafiel's father, and Plakia after an adventure on a mysterious, abandoned spaceship decided to have a daughter together and why Dubus gave her the name Lafiel. (Source: ANN)","['Sequel (TV) Seikai no Monshou', 'Adaptation (Light Novel) Seikai no Danshou']",Seikai no Danshou: Tanjou,,"['Military', 'Space']",
107,"Rupan Sansei, Lupin III: $1 Money Wars",ルパン三世 1$マネーウォーズ,Lupin III: Missed by a Dollar,,,,['TV Special'],1,Finished Airing,"Jul 28, 2000",,,"['VAP', 'Tohokushinsha Film Corporation']","['Funimation', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Mystery']",['Adult Cast'],['Seinen'],1 hr. 31 min.,PG-13 - Teens 13 or older,7.09,#3928,#7350,"8,198",3,3521,"Lupin & co. compete with a greedy bank president and her goons to solve the mystery leading to a broach, a treasure said to be behind the success of history's most powerful rulers. (Source: ANN)",[],Lupin III: $1 Money Wars,,,
108,,Di Gi Charat サマースペシャル2000,,,,,['TV Special'],4,Finished Airing,"Aug 22, 2000 to Aug 23, 2000",,,['TBS'],['Sentai Filmworks'],['Madhouse'],Original,,,,11 min. per ep.,G - All Ages,6.54,#6815,#9238,"4,538",3,2323,"The Di Gi Charat Summer Special was a four episode series that aired over two days, August 22, 2000 to August 23, 2000. This was the first series that Piyoko appeared in and the plot involves her attempting to hold Dejiko hostage for ransom. • Summer Special 2000 Episode 1 - Here comes Pyoko-nyo! • Summer Special 2000 Episode 2 - It's the Black Gamers-nyo • Summer Special 2000 Episode 3 - The Return of Abarenbou • Summer Special 2000 Episode 4 - Summer Bug (Source: AniDB & Wikipedia)","['Prequel (TV) Di Gi Charat', '']",Di Gi Charat Summer Special 2000,['Comedy'],,
109,GTO Omnibus,グレート・ティーチャー・オニヅカ 総集編,,,,,['TV Special'],2,Finished Airing,"Sep 3, 2000 to Sep 24, 2000",,,"None found,","None found,",['Pierrot'],['Manga'],"['Comedy', 'Drama']",,['Shounen'],35 min. per ep.,R - 17+ (violence & profanity),6.50,#7079,#13167,"1,351",3,373,Recaps of the Great Teacher Onizuka aired on Fuji TV.,[],Great Teacher Onizuka Recaps,,"['Delinquents', 'School']",
110,,クレヨンしんちゃん Specials,,,,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],48 min.,G - All Ages,[],#17451,#15463,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,
