,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Demographics
49,"Project Arms 2, ARMS2",PROJECT ARMS -The 2nd Chapter-,Project ARMS: The 2nd Chapter,['TV'],26,Finished Airing,"Oct 6, 2001 to Mar 30, 2002",['Fall 2001'],Unknown,"None found,","['VIZ Media', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Fantasy']","['Martial Arts', 'School', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),6.98,#4486,#7893,"6,820",8,2561,"The 2nd Chapter continues the story of Ryo Takatsuki and his companions' quest to discover the secret of the mysterious A.R.M.S. they all possess and what the future may hold for them. They now know where the answers lie but to get to them, they must fight a desperate fight of survival against a powerful military corporation that wants their secrets no matter what the cost. (Source: AniDB)","['Prequel (TV) Project ARMS', 'Adaptation (Manga) Arms']",Project ARMS: The 2nd Chapter,,,,,['Shounen'],,
50,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2627,#7912,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,Chibi Maruko-chan,,['School'],['Shoujo'],['Comedy'],
51,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,,23 min. per ep.,PG - Children,5.38,#12487,#8846,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,,,Cubix: Robots pour Tous,['Mecha'],,['Sci-Fi'],
52,Ask Dr. Rin,Dr.リンにきいてみて！,,['TV'],51,Finished Airing,"Mar 5, 2001 to Feb 25, 2002",['Spring 2001'],Mondays at 18:30 (JST),['Nihon Ad Systems'],"None found,",['Studio Comet'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,PG - Children,6.79,#5405,#8940,"5,005",18,1253,"Kanzaki Meirin, a junior high school student, posseses fusui power which can drive away evil spirits away whenever they appeared. She is in fact, the fortune teller Dr. Rin. She is in love with her best friend, soccer club member, Yuuki Asuka. However, Yuuki does not like fortune-telling and superstitious things. (Source: ANN)","['Adaptation (Manga) Dr. Rin ni Kiitemite!', '']",Dr. Rin ni Kiitemite!,,,,['School'],['Shoujo'],,
53,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,['Kids'],,
54,"Shiawase Apartment's Okojo-san, Happy Okojo",しあわせソウのオコジョさん,,['TV'],51,Finished Airing,"Oct 2, 2001 to Sep 24, 2002",['Fall 2001'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Omnibus Promotion']","None found,",['Radix'],['Manga'],,,25 min. per ep.,G - All Ages,6.56,#6676,#9495,"4,159",5,767,"Haruka Tsuchiya is a plain and simple university student who has a pet by the name of Okojo-san. Okojo-san was actually born in one of the mountains in the North and brought to one of the pet shops to be sold. Determined to get out of the pet shop, Okojo-san formulated an escape strategy and ended up in the house of Haruka. There are always funny and strange occurances happening around the two, be it the people or animals who are near them. This is a gag anime in which absurdity is the main feature of the story. (Source: ANN)","['Adaptation (Manga) Okojo-san', '']",Shiawase Sou no Okojo-san,,,,['Pets'],['Shoujo'],['Comedy'],
55,Webdiver,電脳冒険記ウェブダイバー,Brain Adventure Record Webdiver,['TV'],52,Finished Airing,"Apr 6, 2001 to Mar 23, 2002",['Spring 2001'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Animation', 'Nihon Ad Systems']",['Frontier Works'],['Radix'],Original,"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.97,#4528,#10224,"3,310",20,1396,"Set in the year 2100 where the world is tied together by a computer network. The children of the world become Web Divers, adapting their consciousnesses into data, and love to play together in the cyber park called Magical Gate. However, a mysterious computer virus appears beginning to destroy Magical Gate from the inside out. In cyberspace, programs called Web Knights have been created to protect the children. But, the computer virus has turned all the Web Knights against the children. The only Web Knight to escape the ""brainwashing"" is Gladion. Gladion seeks the help of Kaito Yuki, a Web Diver who is in the fourth grade. (Source: ANN)",[],Dennou Boukenki Webdiver,,,,['Mecha'],,,
56,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,['Kids'],,
57,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,['Kids'],,
58,Guystars: Fractions of the Earth,ガイスターズ FRACTIONS OF THE EARTH,Geisters: Fractions of the Earth,['TV'],26,Finished Airing,"Oct 6, 2001 to Mar 30, 2002",['Fall 2001'],Unknown,['TV Osaka'],"None found,",['Plum'],Original,"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,5.68,#11488,#11994,"1,957",1,290,"At the end of the 21st century, a meteorite collision plunged Earth into apocalypse, and the remnants of humanity went in two different directions to survive. The aristocratic Dobias headed into space, while the earthy Shioru went underground. Centuries later, they returned to Earth's surface and are now fighting for control of the planet—that is, when they're not busy fending off a new species of predators known simply as Creatures. Amidst this conflict, an elite team of five soldiers known as Geisters protects humanity from the Creatures and from each other. Although part of the Dobias, the Geisters have recently accepted a soldier of Shioru descent onto the team, and her take-charge personality leaves the other members unsure about her loyalty and usefulness to the group. With Dobias and Shioru tensions heating up on the political floor, Creatures running rampant, and a dangerous new weapon being developed in secret, the Geisters must maintain peace among themselves and the rest of society. (Source: Anime Crash)",[],Geisters: Fractions of the Earth,,,,['Military'],,,
59,Kasumin 1st Series,カスミン (第1シリーズ),Mistin,['TV'],26,Finished Airing,"Oct 13, 2001 to Apr 6, 2002",['Fall 2001'],Unknown,['NHK'],"None found,",['OLM'],Unknown,,,25 min. per ep.,G - All Ages,6.39,#7732,#12111,"1,893",1,629,"Haruno Kasumi is a fourth-grader. Her parents are zoologists who went over to Africa to carry out their research studies. In order to see off her parents, Kasumi arrived at Kasumi Town. In the middle of the town lies an enormous mansion surrounded by the forest. The mansion belongs to the Kasumi household, the family in which Kasumi will be lodging in and taken care of. There is a mysterious aura about the mansion and Kasumi discovers a series of talking appliances. The Kasumi family refers to these creatures as ""Henamon"". In return for living in with the family, Kasumi will be helping out with the household chores such as cooking and washing. Surrounded by various interesting characters, Kasumi begins a new chapter in her life. (Source: ANN)","['Sequel (TV) Kasumin 2nd Season', '']",Kasumin,,,,,['Kids'],['Fantasy'],
60,,트랙시티,Track City,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,,24 min. per ep.,PG - Children,5.94,#10244,#12845,"1,483",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,,,['Racing'],,['Action'],
61,Nonoko,ののちゃん,,['TV'],61,Finished Airing,"Jul 7, 2001 to Sep 28, 2002",['Summer 2001'],Unknown,"None found,","None found,",['Toei Animation'],['4-koma manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,6.07,#9542,#13155,"1,355",1,271,"Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise. (Source: ANN)","['Adaptation (Manga) Tonari no Yamada-kun', '']",Nono-chan,,,,,,,
62,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,['Anthropomorphic'],['Kids'],,
63,"Nanchatte VAMPIYAN, Vampire Kids",バンパイヤン・キッズ,Vampiyan Kids,['TV'],23,Finished Airing,"Oct 13, 2001 to Mar 30, 2002",['Fall 2001'],Saturdays at 18:30 (JST),['Fuji TV'],"None found,","['Production I.G', 'Xebec', 'Trans Arts']",Original,"['Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.94,#10246,#13532,"1,224",2,214,"Have you ever heard of the Vampirians? One noble family of such vegetarian vampires have been banished from Monsterland for their inability to scare humans. To lift the exile set on the family, Papa, the head of the household, must scare 1000 humans. To this end, he attempts to use his magnificent skills in making new inventions, but always and inevitably fails. To complicate things further, Papa's daughter Sue falls in love with a young human boy and no longer wants to return to Monsterland. Will Papa ever get his family back home? (Source: Production I.G.)","['Prequel (Special) Vampiyan Kids: Pilot', '']",Vampiyan Kids,,,,,['Kids'],,
64,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12202,#13610,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
65,Let's Go Quintuplets,ゴーゴー五つ子ら・ん・ど,,['TV'],50,Finished Airing,"Apr 14, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Eiken'],"None found,",['Magic Bus'],Unknown,,,20 min. per ep.,G - All Ages,6.42,#7571,#13941,"1,093",1,388,"The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality.",[],Go! Go! Itsutsugo Land,,,,['School'],,,
66,,ピロッポ,,['TV'],23,Finished Airing,"Oct 11, 2001 to Mar 21, 2002",['Fall 2001'],Unknown,"None found,","None found,",['Studio 4°C'],Other,,,2 min. per ep.,None,5.34,#12590,#14729,888,2,192,"Piroppo is a short series commisioned by Sony for the promotion of their robot dog Aibo. Apparently 54 slots of about 20 seconds each were made, but the dvd release totals 23 named episodes. Created by ISHII Katsuhito, director of Trava Fist Planet and several of the Grasshoppa live action projects, this is a highly original project despite the limited budget. (Source: AniDB)",[],Piroppo,,,,,,['Comedy'],
67,Captain Kuppa Desert Pirate,砂漠の海賊！ キャプテンクッパ,Captain Kuppa,['TV'],26,Finished Airing,"Aug 13, 2001 to Feb 11, 2002",['Summer 2001'],Unknown,"['NHK', 'Sogo Vision']",['Enoki Films'],['Bee Train'],['Manga'],"['Action', 'Adventure']",,25 min. per ep.,G - All Ages,[],#21488,#14913,835,2,,"Sometime in the future, the world was completely dried up and became all desert. They had little rivers and lakes left, which villians and dangerous animals lived. Water has become the most valueable thing on the world. Whoever can control water will rule over the world. (Source: ANN)",[],Sabaku no Kaizoku! Captain Kuppa,,,,,,,
68,"Gyoten Ningen Batsealer, Gyoten Ningen Batseelor, Gyouten Ningen Batseelor, Gyoten Ningen Batoshiiraa",仰天人間バトシーラー,Captain Fatz and the Seamorphs,['TV'],52,Finished Airing,"Apr 7, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Group TAC'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,6.46,#7359,#15215,763,3,190,"With the ability to transcend time, Captain Fatz and comrades embarked on a journey of battle and adventure to gather the eight scattered stone pieces (namely Light, Darkness, Fire, Water, Air, Earth, Wood & Metal) which was granulated by the lord of destruction, in order to restore the chaotic world back to peace.",[],Gyouten Ningen Batsealer,,,,,,,
69,,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,,2 min. per ep.,PG - Children,5.99,#9950,#16838,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,,,['Kids'],['Comedy'],
70,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,,['Music'],['Kids'],,
71,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,1 min. per ep.,PG - Children,[],#15990,#18988,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,['Kids'],,
72,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,6 min. per ep.,PG - Children,[],#18441,#22578,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,,,['Kids'],,
73,,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,11 min. per ep.,PG - Children,[],#18180,#23244,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,['Kids'],,
74,,무지개 요정 통통,,['TV'],19,Finished Airing,"Feb 23, 2001 to Jun 2002",['Winter 2001'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,[],#20473,#23523,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mujigae Yojeong Tongtong,,,,,['Kids'],,
75,Urda: Third Reich,ウルダ,,['ONA'],5,Finished Airing,"Jan 5, 2002 to Jan 5, 2003",,,"None found,",['Media Blasters'],['Romanov Films'],Original,"['Action', 'Sci-Fi']","['Historical', 'Military']",6 min. per ep.,PG-13 - Teens 13 or older,4.42,#13688,#9335,"4,377",4,1995,"This fictional story took place in Europe around 1943. At that time Nazi secretly plotted a plan called Urda. Two agents, Janet and Erna received a task to investigate and prevent the completion of the secret plan. (Source: AniDB)",[],Urda,,,,,,,
76,,ほしのこえ,Voices of a Distant Star,['OVA'],1,Finished Airing,"Feb 2, 2002",,,"None found,","['ADV Films', 'GKIDS']",['CoMix Wave Films'],Original,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Space']",24 min.,PG-13 - Teens 13 or older,7.09,#3977,#1568,"160,852",543,81845,"It is the year 2046, Noboru Terao and Mikako Nagamine are close friends who will soon be graduating junior high school. But after an alien attack on humanity, Mikako is selected for the UN military space expedition set to retaliate against the aliens. Separated, Noboru and Mikako attempt to keep in touch by sending emails to each other with their cell phones. Yet as the expedition journeys farther from Earth, the time it takes for them to transmit and receive each other's messages increases substantially. Hoshi no Koe revolves around the relationship between this couple as they try to stay connected despite the growing distance between them. [Written by MAL Rewrite]","['Adaptation (Light Novel) Hoshi no Koe: The Voices of a Distant Star', 'Adaptation (Manga) Hoshi no Koe Read Manga', 'Adaptation (Novel) Hoshi no Koe: Ai no Kotoba/Hoshi wo Koeru', '']",Hoshi no Koe,Voices of a Distant Star,,Voices of a Distant Star,,,,
77,"Hunter x Hunter OVA, Hunter x Hunter: Yorkshin City Kanketsu-hen",HUNTER×HUNTER Original Video Animation,,['OVA'],8,Finished Airing,"Jan 17, 2002 to Apr 17, 2002",,,"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.31,#269,#1823,"131,339",427,68368,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.","['Prequel (TV) Hunter x Hunter', 'Sequel (OVA) Hunter x Hunter: Greed Island', 'Adaptation (Manga) Hunter x Hunter', '']",Hunter x Hunter: Original Video Animation,,,,,['Shounen'],,
78,,ラブ ひな Again,Love Hina Again,['OVA'],3,Finished Airing,"Jan 26, 2002 to Mar 27, 2002",,,"['Starchild Records', 'Audio Tanaka']","['Bandai Entertainment', 'Discotek Media']",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,28 min. per ep.,PG-13 - Teens 13 or older,7.20,#3366,#2420,"87,397",86,52613,"Keitaro has finally passed the entrance exams, and is officially a Toudai student. But after breaking his leg in an accident in the entrance ceremony, he thought and re-evaluated himself. Having new goals, Keitaro follows Seta on an overseas archeology trip. During his absence, however, all was not well in Hinata Lodge. Urashima Kanako, Keitaro's sister, arrives on the scene. She claims to be the new manager of Hinata Lodge starts to go against all the tenants. Things become even more complicated when they recieve a letter from Keitaro. The tenants and Kanako made a big mess trying to get the letter, but Seta's car crashes in before anyone could read the letter...","['Prequel (TV) Love Hina', 'Adaptation (Manga) Love Hina Read Manga']",Love Hina Again,,,,,['Shounen'],,
79,JoJo's Bizarre Adventure (2000),ジョジョの奇妙な冒険 ADVENTURE,JoJo's Bizarre Adventure (OVA),['OVA'],7,Finished Airing,"May 25, 2000 to Jan 25, 2002",,,"['KlockWorx', 'BEAM Entertainment']","None found,",['APPP'],['Manga'],"['Action', 'Adventure', 'Drama']","['Super Power', 'Vampire']",28 min. per ep.,R+ - Mild Nudity,7.24,#3127,#2459,"85,377",378,37678,"Kujo Jotaro is a normal, popular Japanese high-schooler, until he thinks that he is possessed by a spirit, and locks himself in prison. After seeing his grandfather, Joseph Joestar, and fighting Joseph's friend Muhammad Abdul, Jotaro learns that the ""Spirit"" is actually Star Platinum, his Stand, or fighting energy given a semi-solid form. Later, his mother gains a Stand, and becomes sick. Jotaro learns that it is because the vampire Dio Brando has been revived 100 years after his defeat to Jonathan Joestar, Jotaro's great-great-grandfather. Jotaro decides to join Joseph and Abdul in a trip to Egypt to defeat Dio once and for all.","['Sequel (OVA) JoJo no Kimyou na Bouken', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']",JoJo no Kimyou na Bouken: Adventure,,,,,['Shounen'],,
80,Bible Black: Night of the Walpulgiss,バイブルブラック,Bible Black,['OVA'],6,Finished Airing,"Jul 21, 2001 to Jun 25, 2003",,,"['Milky Animation Label', 'Active']",['Media Blasters'],['Studio Jam'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.58,N/A,#2807,"68,467",580,35687,"Every school has secrets, but few leave a stain that won't wash out. In a certain school, there was once a fun club centered around magic but had turned into murder and a lust for power. Sealed and willfully forgotten, the resulting evil of that day remained chained in the school's basement. Twelve years later, high school student Taki Minase, while inspecting the place where the incident took place, uncloaks the secret plastered in blood—a book of magic called ""Black Bible."" Trying his luck with its love curses, he soon finds out the magic proves real and easily penetrates the hearts and bodies of his fellow classmates. The resulting intercourse leaves the student body very vocal, and Minase's acts do not go unnoticed. What was at first a simple stroke of curiosity becomes much larger and harder to control. Fully swallowed by the unshackled darkness, everyone he knows becomes a victim, including his childhood friend Kurumi Imari. Torn apart, Minase finally realizes his mistakes and that he must reverse them in time if he ever hopes for him and Imari to come together. [Written by MAL Rewrite]","['Prequel (OVA) Bible Black Gaiden', 'Sequel (OVA) Bible Black: New Testament', 'Adaptation (Light Novel) Bible Black: La Noche de Walpurgis', '']",Bible Black,,,,,,['Hentai'],
81,"Deep Imagination, Dan Petory Kyoushu no Yuutsu, Professor Dan Petry's Blues, End of the World, Kigeki, Comedy, Higan, Beyond, Garakuta no Machi, Junk Town",スウェットパンチ,Sweat Punch,['OVA'],5,Finished Airing,"Mar 2, 2002 to Jul 1, 2006",,,"['Grasshoppa!', 'Beyond C.']","None found,",['Studio 4°C'],Original,"['Action', 'Fantasy']","['Historical', 'Mecha']",11 min. per ep.,R+ - Mild Nudity,7.27,#2986,#3790,"39,348",190,16373,Sweat Punch is a series of five Studio 4°C shorts collected as a direct-to-DVD package film entitled Deep Imagination.,[],Sweat Punch,,,,,,,
82,Fushigi Yuugi OVA 3,ふしぎ遊戯 -永光伝,Mysterious Play: Eikoden,['OVA'],4,Finished Airing,"Dec 21, 2001 to Jun 25, 2002",,,"None found,","['Media Blasters', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Adventure', 'Drama', 'Fantasy', 'Romance']",,30 min. per ep.,PG-13 - Teens 13 or older,6.79,#5413,#5280,"18,713",38,9330,"After years of hardships interfered with their love, Miaka Yuuki and Taka Sukunami are finally married and expecting a baby—the pinnacle of their unbreakable bond. Unfortunately, not everyone rejoices alongside the blessed couple. Mayo Sakaki, one of Taka's students, has a crush on him and cannot bear witnessing the pair's flourishing relationship. Upon discovering The Universe of the Four Gods, Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family, Mayo readily ventures inside with hopes of becoming the new priestess of Suzaku and rewriting the story to her advantage. Meanwhile, her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital, Taka must follow Mayo to The Universe of the Four Gods and stop her before the circumstances worsen for his wife and their unborn child. [Written by MAL Rewrite]","['Prequel (OVA) Fushigi Yuugi: Dai Ni Bu', 'Adaptation (Light Novel) Fushigi Yuugi Gaiden']",Fushigi Yuugi: Eikouden,,El Juego Misterioso: Fushigi Yugi Eikoden,Fushigi Yugi Eikoden,['Isekai'],['Shoujo'],,
83,Trava,TRAVA FIST PLANET,,['OVA'],4,Finished Airing,"Mar 2, 2002 to Jul 3, 2002",,,['Grasshoppa!'],"None found,",['Madhouse'],Original,"['Action', 'Comedy', 'Sci-Fi']","['Mecha', 'Space']",13 min. per ep.,PG-13 - Teens 13 or older,6.50,#7051,#5382,"17,756",55,7085,"Ace pilot Trava and his personal mechanic buddy Shinkai, on their way to mark an out-of-the-way planet, pick up Mikuru, a girl with no memory. The three are about to discover that the planet is more than it seems. (Source: ANN)",[],Trava: Fist Planet,,,,,,,
84,,名探偵コナン 16人の容疑者!?,Detective Conan OVA 02: 16 Suspects,['OVA'],1,Finished Airing,"Jan 16, 2002",,,"['Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,25 min.,PG-13 - Teens 13 or older,7.32,#2737,#5402,"17,589",13,9012,"Conan Edogawa and the rest of the gang are invited to Inspector Ninzaburou Shiratori's villa for a small gathering. The party's highlight is Shiratori's prized wine collection—including his most expensive vintage—and a bottle from it will be served for the evening. However, just as this wine is to be brought out, Shiratori finds the bottle smashed on the floor—and the culprit can only be among the 16 people present in the gathering. [Written by MAL Rewrite]",[],Meitantei Conan OVA 02: 16-nin no Yougisha!?,,,,['Detective'],['Shounen'],,
