,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Themes,Demographics
57,花さか天使テンテンくん,,['TV'],43,Finished Airing,"Oct 10, 1998 to Sep 25, 1999",['Fall 1998'],Unknown,"None found,","None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,['Shounen'],25 min. per ep.,G - All Ages,[],#18417,#15889,645,1,,A foolish clumsy angel came to the human world to help a very unlucky boy. But more accidents are then created...,"['Adaptation (Manga) Hanasaka Tenshi Tenten-kun', '']",Hanasaka Tenshi Tenten-kun,Flower Angel Ten-Ten,,,,,,
58,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20602,#16832,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,,
59,ヨシモトムチッ子物語,Yoshimoto Insect Stories,['TV'],47,Finished Airing,"Oct 26, 1998 to Nov 5, 1999",['Fall 1998'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Shin-Ei Animation'],Unknown,,,,40 min. per ep.,PG-13 - Teens 13 or older,[],#16113,#17876,431,1,,A children's series about the daily lives of funny insects. (Source: AniDB),[],Yoshimoto Muchikko Monogatari,,,,,['Comedy'],,
60,ヘリタコぷーちゃん,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Saturdays at 18:30 (JST),"None found,","None found,",['Toei Animation'],Unknown,,,['Kids'],25 min. per ep.,PG - Children,[],#18505,#19227,333,0,,Based on the manga by Sasaki Takemaru.,[],Heli-Tako Puu-chan,Heli-Octopus Puu-Chan,,,,['Comedy'],,
61,スプーンひめのスイングキッチン,,['TV'],34,Finished Airing,"Apr 7, 1997 to Apr 10, 1999",['Spring 1997'],Unknown,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min. per ep.,PG - Children,[],#14599,#19563,311,0,,An NHK toddler's anime following a Spoon Princess and other kitchen themed characters.,[],Spoon-hime no Swing Kitchen,,,,,['Adventure'],,
62,こっちむいてみい子,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,['Shoujo'],8 min. per ep.,G - All Ages,[],#19504,#20210,275,1,,"The Yamada family consists of Miiko, her brother Mamoru and her parents. Both of her parents have work, so they are usually busy during the day and are outside of the house most of the time. The troubles in Yamada family are usually caused by Miiko's lazy character and her clumsiness. (Source: Official Site)","['Adaptation (Manga) Miiko desu!', 'Adaptation (Manga) Kocchi Muite! Miiko']",Kocchi Muite Miiko,"Look This Way, Miiko",,,,,,
63,ストレイシープの大冒険,The Adventure of Stray Sheep,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],5 min. per ep.,G - All Ages,[],#14608,#22477,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,,,,['Adventure'],,
64,遠い世界,Other Worlds,['ONA'],1,Finished Airing,"Feb 1, 1999",,,"None found,","None found,","None found,",Original,"['Drama', 'Romance']",,,1 min.,PG-13 - Teens 13 or older,6.23,#8648,#5431,"17,311",15,10546,"A man and a woman, talking over their relationship.",[],Tooi Sekai,Toi Sekai,,,,,,
65,るろうに剣心―明治剣客浪漫譚―追憶編,Samurai X: Trust and Betrayal,['OVA'],4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,['Aniplex'],"['ADV Films', 'Aniplex of America']",['Studio Deen'],['Manga'],"['Action', 'Drama', 'Romance']",,['Shounen'],29 min. per ep.,R - 17+ (violence & profanity),8.70,#62,#914,"283,628","6,352",140996,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions. [Written by MAL Rewrite]","['Sequel (TV) Rurouni Kenshin: Meiji Kenkaku Romantan', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan']",Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence",Rurouni Kenshin Trust and Betrayal,"Kenshin: El Guerrero Samurai  ""Recuerdos""",Kenshin Le Vagabond: Le Chapitre de la Mémoire,,"['Adult Cast', 'Historical', 'Samurai']",
66,スレイヤーズえくせれんと,Slayers Excellent,['OVA'],3,Finished Airing,"Oct 25, 1998 to Mar 25, 1999",,,['Bandai Visual'],['ADV Films'],['J.C.Staff'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,,29 min. per ep.,PG-13 - Teens 13 or older,7.29,#2887,#4971,"21,731",16,10657,"In these earlier adventures of Lina Inverse and Naga the Serpent, learn how the two rivals first met. In their first adventure, the two rivals meet and run into a vampire during a rescue mission. Next, Lina is hired to be the bodyguard of a rich man's daughter, Sirene. Lina is at first very enthusiastic about it at first, as she is being paid very well, but Sirene keeps spending all of Lina's first half of pay. (She gets the other half later) She puts together a fake kidnapping to teach Sirene a lesson, but when she really gets kidnapped, she must team up with Naga to save her. In the final episode, Lina and Naga find themselves on seperate sides in a fashion war. (Source: ANN)","['Sequel (OVA) Slayers Specials', 'Adaptation (Manga) Slayers Special', 'Adaptation (Light Novel) Slayers Special', '']",Slayers Excellent,Slayers Excellent OVA,,,,,,
67,ハーロック・サーガ ニーベルングの指環,Harlock Saga,['OVA'],6,Finished Airing,"Jan 25, 1999 to Nov 25, 1999",,,"['Bandai Visual', 'Avex Entertainment', '81 Produce']",['Central Park Media'],"['Studio Z5', 'Studio March']",['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Space'],['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),6.63,#6303,#7742,"7,163",6,2789,Captain Herlock is drawn into a saga of intergalactic proportions when the son of a deceased comrade unwittingly forges the Ring of the Niebelung. Evil forces gather to wage war against the last remaining superpowers of the galaxy led by a demented outcast. Herlock must counter the amassed armadas that threaten the last gods and recover the ring before Paradise is lost. (Source: ANN),"['Prequel (TV) Uchuu Kaizoku Captain Herlock', 'Sequel (OVA) Maetel Legend', 'Adaptation (Manga) Nibelung no Yubiwa', '']",Herlock Saga: Nibelung no Yubiwa,Harlock Saga: The Ring of the Nibelung - The Rhein Gold,Harlock Saga: Der Ring des Nibelungen,Harlock Saga: El Anillo de los Nibelungos,Harlock saga 'L'anneau des nibelunghen',,,
68,YU-NO,,['OVA'],4,Finished Airing,"Oct 23, 1998 to Sep 24, 1999",,,['Pink Pineapple'],['NuTech Digital'],['PP Project'],Visual novel,"['Sci-Fi', 'Hentai']",,,28 min. per ep.,Rx - Hentai,4.92,N/A,#9048,"4,813",4,1242,"Takuya's father died during an accident while he was doing research. Worried about his young stepmother, Ayumi, Takuya follows her to Ken point. Watching her and her best friend, Mitsuki, from behind a rock, a sudden flash of light turns into an unearthly beautiful woman. The mysterious woman slips a ring on his finger, and Takuya's travels into a parallel world begins. This ring is the key between Takuya and his different realities. (Source: AniDB)",[],YU-NO,Yuno,,,,,,
69,臭作,,['OVA'],3,Finished Airing,"Feb 26, 1999 to Nov 5, 1999",,,['Pink Pineapple'],['NuTech Digital'],['Production D.M.H'],Visual novel,,['School'],,27 min. per ep.,Rx - Hentai,5.61,N/A,#10365,"3,164",3,1102,"In the girls dormitory of Shukusei Music Academy are the famous daughters of good families. In the middle of the night, the girl's screams echo in the silent academy. Kaori is tied up and at that moment she becomes baptized into disgrace. There is a man whose name is Kato Shusaku who looks down at her with a fiendish grin as she cries in misery... (Source: ANN)","['Sequel (OVA) Shusaku Replay', 'Sequel (OVA) Kisaku Spirit']",Shusaku,Syuusaku,,,,['Hentai'],,
70,ナチュラル,,['OVA'],2,Finished Airing,"Feb 25, 1999 to May 25, 1999",,,['Green Bunny'],"['Central Park Media', 'Kitty Media']","['Arms', 'Triple X']",Visual novel,,,,28 min. per ep.,Rx - Hentai,5.92,N/A,#11210,"2,470",0,853,Rumor's spreading of a hot new couple on campus! A professor is giving the sexy swim star some very special lessons. And this teacher's pet is hot to trot and learning all kinds of new tricks!,"['Sequel (OVA) Natural: Another', 'Adaptation (Light Novel) Natural: Mi mo Kokoro mo']",Natural,Teacher's Pet,,,,['Hentai'],,
71,卒業M ～オレ達のカーニバル～,,['OVA'],2,Finished Airing,"Jan 21, 1999 to Apr 21, 1999",,,"None found,","None found,",['Artland'],['Manga'],,['School'],,27 min. per ep.,PG-13 - Teens 13 or older,5.31,#12674,#11349,"2,369",3,904,"Kato, Shimura, Arai, Nakamoto, and Takagi are friends at an all-boys boarding school. After they get tricked by their school government president, the five must put on a performance of the play ""Little Women."" (Source: ANN)","['Adaptation (Manga) Sotsugyou M', '']",Sotsugyou M: Ore-tachi no Carnival,"Male Graduation, Graduation M, Graduation M: Our Carnival, Sotsugyou M: Ore-tachi no Carnival",,,,['Drama'],,
72,淫獣　ねらわれた花嫁,Bride of Darkness,['OVA'],2,Finished Airing,"Feb 26, 1999 to May 21, 1999",,,['Pink Pineapple'],"['Media Blasters', 'NYAV Post']",['PP Project'],Original,,,,26 min. per ep.,Rx - Hentai,5.31,N/A,#11781,"2,084",5,626,"A young servant, Sanshiro, who has fallen in love with his master's daughter, Momoyo, tortures himself with lustful thoughts as he spies on the buxom young woman from a hole in her ceiling. Full of despair on the day her fiancée returns from abroad to take her away, Sanshiro watches in amazement as Momoyo and her fiancée engage in some depraved S&M activities with each other and various members of the house. As time passes, Sanshiro becomes convinced that these bizarre rituals are designed to summon some sort of demon, and he takes it upon himself to stop Momoyo's fiancée from destroying the woman he loves. (Source: ANN)",[],Injuu Nerawareta Hanayome,Injuh,,,,['Hentai'],,
73,快楽殺人調査官 コージ,Demon Warrior Koji,['OVA'],3,Finished Airing,"Mar 26, 1999 to Jul 23, 1999",,,"None found,",['Critical Mass Video'],['Phoenix Entertainment'],Unknown,,,,42 min. per ep.,Rx - Hentai,5.70,N/A,#11972,"1,966",4,622,"From the creator of Urotsukidoji: Legend of the Overfiend, La Blue Girl, and Demon Beast Invasion! A monster is out for blood, and only the man-demon Koji can hunt down the preternatural killer. Aided by a morbid psychic, he follows the grisly trail of victims to a lonely woman. What unspeakable horrors will he find? And are even Koji's powers enough to curb this devastating threat? (Source: AniDB)",[],Kairaku Satsujin Chousakan Kouji,Koji le guerrier démon,,,,['Hentai'],,
74,女畜,Office Affairs,['OVA'],1,Finished Airing,"Feb 26, 1999",,,['Digital Works'],['Media Blasters'],['Y.O.U.C'],['Manga'],,,,31 min.,Rx - Hentai,4.91,N/A,#12382,"1,716",2,518,"The inter-office sexual politics begin when Ono, a college graduate and recent recruit, is assigned to the ""busiest"" section in the company. While Ono's not afraid of a little hard work, he is not about to let it interfere with his sex life. Ono is still confident that he can handle the toughest job and his girlfriend at the same time. While Rie, his frisky girlfriend from the administration department, remains supportive of his new promotion it`s only a matter of time before jealousy rears its ugly head because Ono's new female manager is Sugiyama whose respected and admired for her management skills along with her voluptuous body....",[],Mechiku,Metiku,,,,['Hentai'],,
75,思春期美少女合体ロボ ジーマイン,,['OVA'],6,Finished Airing,"Feb 25, 1999 to Jul 25, 1999",,,"None found,","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,,,,30 min. per ep.,PG-13 - Teens 13 or older,5.81,#10854,#12806,"1,499",0,595,"Old school is back! And girl power reigns supreme! Ayame, Sumire, Renge, and Satsuki are charged with the protection of the Earth from a powerful new enemy. But these girls may be in for more than they`ve bargained for! They`ll have to not only master the experimental mobile armor: Z-Mind, hold down their part time jobs, all this while keeping their lives... normal! But will this be enough to stop the forces of evil from conquering the Earth? (Source: AniDB)",[],Shishunki Bishoujo Gattai Robo Z-Mind,"The Battling Days of the ""Shitamachi"" Virgins",,,,['Action'],"['Mecha', 'Parody']",
76,JUNK STORY 鉄屑物語,,['OVA'],1,Finished Airing,"Jan 21, 1999",,,"None found,","None found,",['Ripple Film'],['Manga'],"['Action', 'Sci-Fi', 'Hentai']",,,28 min.,Rx - Hentai,4.77,N/A,#13098,"1,374",1,377,Relationship between a well equipped cyborg and the bounty hunter Mariko O'Brian.,"['Adaptation (Manga) Junk Story - Tetsukuzu Monogatari', '']",Junk Story: Tetsukuzu Monogatari,,,,,,,
77,ハイスクール・オーラバスター　光の誕生[めざめ],,['OVA'],3,Finished Airing,"Feb 5, 1999 to Sep 22, 1999",,,"None found,","None found,",['OLM'],Unknown,"['Drama', 'Fantasy']",['Super Power'],,27 min. per ep.,R+ - Mild Nudity,5.83,#10794,#14137,"1,043",1,185,"Animation of a very popular novel series by the writer WAKAGI Mio (若木未生), also adapted as a manga by MORI Makoto (杜 真琴), serialised in LaLa. The novels feature illusatrations by KOUGA Yun (高河 ゆん), and the character designs for the anime are based on these. The OVA is an original story that includes the early parts of the novels. Long ago... going back several centuries, there was a war between the Kuu no mono (空の者) and the You no mono (妖の者) that divided the heaven and earth. 900 years ago, the commander of the Kuu no mono, Kara-ou sealed in the commander of You no mono, Kuna-hi, sacrificing his own life to do so. And this present day, when You no mono has begun to be active again, Kara-ou is reborn as Shinobu Saiga. Coming back to earth, he has begun to make his move again to subdue the You no mono with his aide Kiba. Ryosuke Sakiya is a first year student attending Kouryo High School who has extraordinarily strong psychic powers. He was always hearing and seeing things ordinary people could not. He has a special aura around him and perhaps because of it, he ends up being targeted by the You no mono. One day, when he is on a date at the Tokyo Metropolitan Government Building, he is attacked by a strange power and is saved by the Jutsusha (術士 lit. ""skilled ones"") Jukyuro Satomi and Kisara Izumi. Jutsusha are people who have inherited supernatural powers of Kuu no mono to subdue You no mono who harm people. Ryosuke escapes without any injuries, but cannot resist becoming involved in the battles between these two forces. (Source: AniDB)",[],Highschool Aurabuster: Hikari no Mezame,Highschool Aurabuster: Birth of the Light,,,,,,
78,電脳戦隊ヴギィ'ズ★エンジェル FOREVER AND EVER,,['OVA'],1,Finished Airing,"Jan 25, 1999",,,['BEAM Entertainment'],"None found,",['J.C.Staff'],Unknown,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",['Mecha'],,1 hr. 12 min.,PG-13 - Teens 13 or older,5.73,#11222,#15039,811,1,161,A compilation of the original OVA series with 7 minutes of new content at the end. (Source: AniDB),[],Dennou Sentai Voogie's★Angel: Forever and Ever,,,,,,,
79,タイムレンジャー セザールボーイの冒険 ローマ帝国編,,['OVA'],1,Finished Airing,"Feb 12, 1999",,,"None found,","None found,",['Toei Animation'],Unknown,"['Adventure', 'Sci-Fi']",,,40 min.,None,[],#14913,#19202,334,0,,Based on the original story by Yasumura Ryou.,[],Time Ranger Cesar Boy no Bouken: Roma Teikoku-hen,,,,,,,
80,クマのミナクロと公平じいさん,Kumanominakuro to Kouheijiisann,['OVA'],1,Finished Airing,Jan 1999,,,"None found,","None found,",['Mushi Production'],Book,,,['Kids'],23 min.,G - All Ages,[],#19662,#19617,308,0,,Based on the classic children's book. An elderly man goes to the mountains to look for charcoal. There he finds 2 bear cubs which show him where there were delicious autumn chestnuts and mushrooms. He then is able to meet up with the cubs' mother--a bear he once rescued from a bear trap a long time ago. He then helps the family out by giving them some fattening cow's milks so that they will survive the impending winter. The moral of the story is that man and animal should live in symbiosis.,[],Kuma no Minakuro to Kouhei Jiisan,"Kuma no Minakuro to Kouhei-jiisan, Kuma no Minakuro to Kouhei Jii-san, Kuma no Minakuro to Kouhei-Jii-san",,,,['Drama'],,
81,デジモンアドベンチャー 劇場版,Digimon: The Movie,['Movie'],1,Finished Airing,"Mar 6, 1999",,,"None found,","['Discotek Media', 'Saban Entertainment']",['Toei Animation'],Original,"['Action', 'Fantasy', 'Sci-Fi']",,['Kids'],20 min.,PG - Children,7.61,#1543,#2003,"116,407",405,74704,A brother and sister discover the digital world is more than 1s and 0s when a living creature arrives out of the family computer. The adventures of a group of children start with the appearance of a Digital Monster in the real world. (Source: ANN),"['Sequel (TV) Digimon Adventure', '']",Digimon Adventure Movie,Digimon Adventure Movie,,,,,,
82,遊☆戯☆王,,['Movie'],1,Finished Airing,"Mar 6, 1999",,,['Shueisha'],"None found,",['Toei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",['Strategy Game'],['Shounen'],30 min.,PG-13 - Teens 13 or older,6.87,#5009,#3153,"54,923",105,30881,"The card game ""Duel Monsters"" has become all the rage in Domino City. The rules are simple: two players, known as ""Duelists,"" fight each other with the monster cards they have collected in their decks and deduct Life Points. Each Duelist starts with a total of two thousand Life Points, and whoever loses all of them first is defeated in the battle. One day, a timid boy named Shougo Aoyama buys a deck that contains the ""Red Eyes Black Dragon,"" a legendary card said to bring victory to those courageous enough to fight. Soon, word of the card in Shougo's hands begins to spread, eventually reaching the competitive Duelist Seto Kaiba. Desiring to collect the strongest cards in any way possible, Kaiba invites Shougo and his rival Yuugi Mutou to a Duel Monsters tournament—but will Shougo be able to overcome his fear of losing? [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! (Movie),"Yu-Gi-Oh! The Movie, YuGiOh, Yuu Gi Ou, Yuugiou, Yu-Gi-Oh! (1999)",,,,,,
83,映画 ドラえもん のび太の宇宙漂流記,Doraemon the Movie: Nobita Drifts in the Universe,['Movie'],1,Finished Airing,"Mar 6, 1999",,,['Asatsu DK'],"None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Space'],,1 hr. 33 min.,PG - Children,7.03,#4263,#8354,"5,941",1,3370,"After bragging about receiving a space trip ticket from his father, Suneo concedes they would have to wait quite a while until they can actually go. So, Nobita and co. turns to Doraemon for it, but they were given a space simulation game to play together instead. Unfortunately an accident with another gadget occurred, leaving Suneo and Giant trapped inside the game, only to be picked up by someone from outer space. Nobita, Shizuka and Doraemon then pursued the UFO that has the game inside it which took them all to a real space adventure. (Source: ANN)","['Adaptation (Manga) Daichouhen Doraemon', '']",Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,Doraemon: Nobita Gets Lost in Space,,Doraemon Película 20: Doraemon Odisea en el Espacio,,,,"['Kids', 'Shounen']"
84,ガンドレス,,['Movie'],1,Finished Airing,"Mar 20, 1999",,,"['Nikkatsu', 'Sanctuary']",['Media Blasters'],['Studio Junio'],Unknown,"['Action', 'Sci-Fi']",['Mecha'],,1 hr. 24 min.,R+ - Mild Nudity,5.41,#12401,#8932,"5,021",1,1996,"In 2100, the newly built Bayside City serves as Japan's premier international port. The Angel Arms Company is established by a former policewoman named Takako, to help wage war on terrorism with armed security suits. When the mayor is assassinated, the women of Angel Arms end up protecting the evil crime-lord Hassan, in hopes that his information will help bring down a global terror ring. Takako's back is to the wall as a band of criminals plot to kill Hassan, and the organization's leader is revealed to be the former lover of Angel Arms' own Alisa. (Source: ANN)",[],Gundress,,,,,,,
85,ドラえもん のび太の結婚前夜 The night before a wedding,,['Movie'],1,Finished Airing,"Mar 6, 1999",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,,26 min.,PG - Children,7.20,#3353,#9794,"3,804",0,2074,"Nobita and Doraemon travel into the future to see whether or not Nobita will marry Shizuka. Once they arrive, they find out that instead of travelling to the day of the wedding, they travelled to the day before the wedding. Afterwards, the pair follow the future Nobita and his friends as they try to return a lost cat to its owner. (Source: ANN)",[],Doraemon: Nobita's the Night Before a Wedding,Doraemon: Nobita no Kekkon Zenya,,,,['Fantasy'],,
86,ザ☆ドラえもんズ おかしなお菓子なオカシナナ？,"The☆Doraemons: Strange, Sweets, Strange?",['Movie'],1,Finished Airing,"Mar 6, 1999",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,,16 min.,PG - Children,6.51,#7026,#11998,"1,956",0,926,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],"The☆Doraemons: Strange, Sweets, Strange?",,,,,['Fantasy'],,
87,ドクタースランプ　アラレのびっくりバーン,Doctor Slump: Arale's Surprise,['Movie'],1,Finished Airing,"Mar 6, 1999",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Gag Humor'],['Shounen'],50 min.,PG-13 - Teens 13 or older,6.09,#9424,#12146,"1,868",0,697,"Arale and company arrive at a nice location for a picnic. They soon discover a beautiful stone with strange powers. Before they know it, a dangerous pirate and his mysterious ship invades their peace and steals the stone. Now it is up to them to retrieve the stone before it is used by evil hands. (Source: BakaBT)",[],Dr. Slump Movie 10: Arale no Bikkuriman,Dr. Slump: Arale's Amazing-man,,,,,,
88,部屋/形態,Gestalt,['Movie'],1,Finished Airing,Jan 1999,,,"None found,","None found,","None found,",Original,,,,6 min.,G - All Ages,5.51,#12082,#13700,"1,169",1,462,"Gestalt was shot over the course of a year in a Tokyo dormitory. Each day, Ishida would paint on the wall and photograph it using the available light from the window. The 7-minute long film, which is accompanied by haunting organ music composed by J.S. Bach, consists of those several seconds of film Ishida shot daily. (Source: Midnight Eye)",[],Heya/Keitai,"Thinking and Drawing: Nihon no Shinseiki Art Animation, Thinking and Drawing: Japanese Art Animation of the New Millennium",,,,['Avant Garde'],"['Music', 'Visual Arts']",
89,ゲゲゲの鬼太郎 鬼太郎の幽霊電車,Gegege no Kitarou: Kitarou's Ghost Train,['Movie'],1,Finished Airing,"Mar 20, 1999",,,"None found,","None found,",['Toei Animation'],Unknown,"['Adventure', 'Supernatural']",,,13 min.,G - All Ages,5.79,#10973,#14262,"1,008",0,227,Kitarou and the ghost train.,[],Gegege no Kitarou: Kitarou no Yuurei Densha,,,,,,"['Mythology', 'Super Power']",
90,철인 사천왕,,['Movie'],1,Finished Airing,"Feb 13, 1999",,,"None found,","None found,","None found,",Unknown,"['Action', 'Sci-Fi']",,,1 hr. 15 min.,PG-13 - Teens 13 or older,[],#17250,#19501,314,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chel-in sacheon-wang,"The Steel Force, The King of Iron",,,,,,
91,青山剛昌短編集,Gosho Aoyama's Collection of Short Stories,['Special'],7,Finished Airing,"Mar 17, 1999 to Dec 22, 1999",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],20 min. per ep.,PG-13 - Teens 13 or older,7.28,#2915,#7964,"6,688",9,3083,"GOSHO collection reveals the origin of the smash hit ""Detective Conan."" ""GO"" into his world, and we will ""SHO"" you SEVEN romantic and exciting stories created by GOSHO AOYAMA. WAIT FOR ME (30 min.) A genius inventor, who is still a high school student, has a girlfriend two years older than him. One day, he invents a time machine and attempts to go two years back into the past, to become the same age as her. However, it is she who ultimately uses the machine to travel through time! TEN PLANETS IN THE NIGHT SKY (10 minutes) Meet Baby Conan! Yukiko Kudo is looking for her missing husband. The only clue to find him again is to decipher a mysterious message left for her. Their baby, Shinichi Kudo, one who later becomes the famous high school Detective Conan, will at this age already be offering some important hints for her. THE WANDERING RED BUTTERFLY (7 minutes) A handsome detective, Yusaku Kitakata, receives phone calls from a mysterious woman day after day, with a new case each day. He of course solves them one by one. But the biggest mystery is who is this mysterious woman? PLAY IT AGAIN (30 minutes) Thanks to the mystical powers of a Cherry Blossom Tree, a 70-year-old man with a secret sword technique goes back into the past and becomes the same age as his granddaughter. While enjoying his youth for the second time around, he notices that a player is after his granddaughter. SANTA CLAUS IN SUMMER (30 minutes) Keisuke, a young man of 17, accidentally activates the Earth Destruction System. The destiny of the Earth now depends on whether he can stop the system within 24 hours. However, suddenly amnesia strikes him and he forgets the pin number to stop the system. The time is running out... DETECTIVE GEORGE’S SPECIAL CASE (30 minutes) A girl is fleeing from men in black. She runs into a detective agency and discovers that the detective there is a super-miniature-size, cool dude. He risks his life trying to solve a case for this client. Will they come through in the end? MAKING OF DETECTIVE CONAN (7 minutes) Do you know how to make animation? Everybody wants to see the workings of an animation studio. Based on the concept of Detective Conan, the three sub-characters visit the animation studio of Detective Conan. This episode will surely catch the hearts of Detective Conan fans! (The actual animation is also involved in this special.) (Source: TMS Entertainment, LTD)","['Adaptation (Manga) Aoyama Goushou Tanpenshuu', '']",Aoyama Goushou Tanpenshuu,Aoyama Goushou Tanpen-shuu,,,,,,
92,鉄コン筋クリート,,['Special'],1,Finished Airing,"Jan 1, 1999",,,"None found,","None found,","None found,",['Manga'],"['Action', 'Adventure', 'Supernatural']",['Psychological'],,4 min.,G - All Ages,4.58,#13612,#11525,"2,255",1,912,"Softimage's Michael Arias started the project as a short CG exercise, which then came to the attention of Morimoto, who then agreed to work on the project on the Softimage 3D software. A few months later, Visual Director Wilson Tang and Animation Supervisor Lee Fulton introduced a pilot to the Softimage staff, made entirely on computer with a staff of only 12. The pilot won the Excellence Award at the 3rd Japan Media Arts Festival in the Digital Art Division. (Source: ANN)","['Adaptation (Manga) Tekkon Kinkreet', '']",Tekkon Kinkreet Pilot,"Tekkon Kinkurito Pilot, Treasure Town",,,,,,
93,お正月だよ！ポケットモンスタースペシャル！,,['Special'],1,Finished Airing,"Jan 1, 1999",,,"None found,","None found,",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],1 hr. 30 min.,PG - Children,5.91,#10390,#14234,"1,016",0,270,A recap special of the first seventy-seven episodes of the Pokemon anime.,[],Oshougatsuda yo! Pokemon Special!,It's the New Year! Pocket Monsters Special!,,,,,,
94,ウルトラマンM78劇場 LOVE & PEACE,,['Special'],1,Finished Airing,"Mar 6, 1999",,,"['Bandai Visual', 'Tsuburaya Productions']","None found,","None found,",Other,"['Comedy', 'Sci-Fi']",,['Kids'],22 min.,G - All Ages,5.78,#11020,#14654,905,1,287,"A series of short segments featuring all of the Ultramen and their kaiju opponents, depicted in SD style, living together in harmony and enjoying everyday life. Various activities include domino contests, performing magic, daydreaming, and catching ghosts.",[],Ultraman M78 Gekijou: Love and Peace,"Ultraman M78 Theater Love and Peace, M78 Love and Peace",,,,,"['Parody', 'Space', 'Super Power']",
95,ネオ・ファウスト,,['TV Special'],1,Finished Airing,"Jan 15, 1999",,,['Tezuka Productions'],"None found,","None found,",['Manga'],,,,6 min.,R+ - Mild Nudity,5.55,#11961,#15442,716,0,247,"Tezuka Osamu planned to make an animated version, but the project was always called off. This work was to make his dream come true at last, but he was unfortunately struck by an illness and died when he was working on the synopsis. This was one of his unfinished works. It was aired during NHK's ""Tezuka Osamu, Seikimatsu e no Message"" (手塚治虫・世紀末へのメッセージ) program. (Source: AniDB)","['Adaptation (Manga) Neo Faust', '']",Neo Faust,,,,,['Supernatural'],,
