,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
87,バトルスピリッツ ブレイヴ,,['TV'],50,Finished Airing,"Sep 12, 2010 to Sep 11, 2011",['Fall 2010'],Sundays at 07:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Sunrise'],Card game,"['Adventure', 'Sci-Fi']","['Military', 'Mythology', 'Strategy Game']",24 min. per ep.,PG - Children,7.16,#3580,#8955,"4,976",22,2027,"Two years ago, the world was saved by Dan Bashin and the other light bearers of the cores. Having once risked his life in Grand Rolo's strife, Dan no longer finds passion in the mundanity of everyday card battles. When Dan desires to clash against stronger opponents, he is approached by Mai Shinomiya. She offers to bring him to the future, the stage of a new conflict where Dan's strength is needed. The two arrive in the year 2650, where civilization has been ravaged by the struggle for power between mankind and an otherworldly race known as ""Mazoku."" As humanity begins to crumble under the dominance of the Mazoku, the hardened light bearers are destined to cross paths once more. Armed with new cards from the future, Dan and the other warriors must yet again bear the fate of humanity on their shoulders. [Written by MAL Rewrite]","['Prequel (TV) Battle Spirits: Shounen Gekiha Dan', 'Sequel (ONA) Battle Spirits: Saga Brave']",Battle Spirits: Brave,"Battlespirits: Brave, Battle Spirits Season 3",,,,,,,
88,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9188,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,['Kids'],,,
89,毎日かあさん,Kaasan: Mom's Life,['TV'],142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",['Spring 2009'],Unknown,['Nihon Ad Systems'],"None found,","['Gallop', 'TYO Animations', 'Dongwoo A&E']",['Manga'],"['Comedy', 'Slice of Life']",,20 min. per ep.,PG - Children,7.22,#3273,#10187,"3,347",24,1068,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,[],Mainichi Kaasan,"Mainichi Kaa-san, Every Day Mom",Kaasan Mom's Life,Kaasan Mom's Life,Kaasan Mom's Life,,,['Childcare'],
90,クッキンアイドル　アイ！マイ！まいん！,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",,6 min. per ep.,PG - Children,6.25,#8569,#10689,"2,883",9,739,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,Cooking Idol,,,,['Kids'],,,
91,超智能足球,GGO Football,['TV'],52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014",['Summer 2010'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],Original,"['Comedy', 'Sports']",,22 min. per ep.,G - All Ages,6.58,#6606,#11200,"2,469",10,1204,"As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created. (Source: GGO Football Website)","['Sequel (TV) Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian', '']",Chao Zhi Neng Zu Qiu,AI Football GGO,GGO Football,GGO Football,GGO Football,,,['Team Sports'],
92,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11554,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,['Kids'],,,
93,오스카의 오아시스,Oscar's Oasis,['TV'],78,Finished Airing,"Feb 28, 2011 to Jun 15, 2011",['Winter 2011'],Unknown,"None found,","None found,",['TUBA'],Unknown,,,8 min. per ep.,G - All Ages,6.72,#5783,#11740,"2,101",12,1172,"Oscar is a lizard living in a non-specific desert that has features from several different real deserts, like the Sahara, Kalahari Desert, and North American deserts. An asphalt concrete highway runs through the area, used from time to time by various cargo trucks. Oscar is generally searching for food or water; he sometimes discovers liquid, in bottles or elsewhere, but is usually frustrated from recovering it for drink. An oasis supplies the only fresh water in the area, but its thick population of irascible and hungry crocodiles renders it inaccessible. At considerable personal risk (lizard is a delicacy for chickens), Oscar occasionally manages to steal an egg from a nearby hen coop, and he sometimes explores one of the piles of trash that litter the parched landscape. Popy, a fennec fox; Buck, a vulture; and Harchi, a hyena, inhabit a derelict school bus situated on a neighboring hill, but they mostly race about on a cast-off warehouse or grocery cart powered by Harchi and directed by Popy. Like Oscar, the trio constantly search for food and water - often competing with him, sometimes abusing him as a means, but occasionally cooperating with him when it suits their purpose. The main characters often find themselves falling off cliffs a la Wile E. Coyote chasing the Road Runner, wherein the law of gravity is briefly suspended while the character comes to realize their imminent doom. (Source: Wikipedia)",[],Oscar's Oasis,,,,,,['Comedy'],,
94,たまごっち!,,['TV'],143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012",['Fall 2009'],Unknown,"None found,","None found,",['OLM Digital'],Game,,,25 min. per ep.,G - All Ages,6.34,#8029,#11903,"2,005",11,552,The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. (Source: ANN),"['Sequel (TV) Tamagotchi! Yume Kira Dream', '']",Tamagotchi!,,,,,['Kids'],['Comedy'],,
95,SHIN-MEN,,['TV'],13,Finished Airing,"Nov 26, 2010 to Sep 14, 2012",['Fall 2010'],Unknown,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],Unknown,"['Action', 'Comedy']",,12 min. per ep.,G - All Ages,6.14,#9126,#12049,"1,918",0,476,"The spinoff is set in a parallel world known as Shin Jigen (Shin Dimension). The titular Shin-men team is composed of five heroes with supernatural powers symbolized by fire (Gou), water (Sui), wind (Hyuu), greenery (Nyoki), and iron (Kan). Together, they fight against their enemy, the evil pigs of Ton-Men. (Source: AniDB)",[],Shin-Men,Crayon Shin-chan: Shin-Men,,,,['Seinen'],,['Super Power'],
96,くるねこ,,['TV'],50,Finished Airing,"Jul 3, 2010 to Jul 2, 2011",['Summer 2010'],Saturdays at 11:40 (JST),"['Kadokawa Pictures Japan', 'Kansai Telecasting', 'Tokai Television']","None found,",['DAX Production'],['Manga'],"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,7.00,#4376,#12522,"1,642",1,491,"Second season of the everyday life of the lady with many cats. Based on a blog by the cat owner. Actress Miki Nakatani (Ringu, Densha Otoko) will take over the series' voice acting duty in second season.","['Prequel (TV) Kuruneko', 'Sequel (ONA) Kuruneko (ONA)', 'Adaptation (Manga) Kuruneko', '']",Kuruneko 2nd Season,Kuru Neko 2nd Season,,,,,,['Pets'],
97,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12200,#13598,"1,199",0,443,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
98,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9912,#14257,"1,004",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,Hana Kappa,,,,['Kids'],['Comedy'],,
99,로보카 폴리,,['TV'],26,Finished Airing,"Feb 28, 2011 to Jul 12, 2011",['Winter 2011'],Not scheduled once per week,['RoiVisual'],"None found,","None found,",Original,,,11 min. per ep.,PG - Children,5.40,#12430,#15721,668,0,269,"In Brooms Town, every vehicle has a voice and a personality, and they work together with the human residents in a peaceful harmony. The residents are happy and carefree, but once in a while trouble rears its head. Brooms Town can rest easy, though, for at any sign of danger, the Rescue Team is there. Poli the police car, Roy the fire truck, and Amber the ambulance are joined by their friends as they patrol the streets of Brooms Town and help out its citizens. Robocar Poli is aimed at small children, and has a charming cast of characters composed of rescue vehicles that can transform into humanoid robots. Aimed at teaching children about safety rules, every episode has a moral to be learned. Poli and his friends are here to teach everything from road safety to the value of friendship and teamwork.","['Sequel (TV) Robocar Poli 2', '']",Robocar Poli,,,,,['Kids'],['Comedy'],['Racing'],
100,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17871,#17186,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,,['Kids'],['Horror'],,
101,パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20955,#17411,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,"Panpaka Panties, Panpaka Underwear",,,,['Kids'],['Comedy'],,
102,しまじろう ヘソカ,,['TV'],99,Finished Airing,"Apr 5, 2010 to Mar 26, 2012",['Spring 2010'],Mondays at 07:30 (JST),['Benesse Corporation'],"None found,",['Pierrot Plus'],Original,"['Adventure', 'Comedy', 'Fantasy']",,8 min. per ep.,G - All Ages,[],#14229,#17520,457,0,,Third season of the Shimajirou children's television series.,"['Prequel (TV) Hakken Taiken Daisuki! Shimajirou', 'Sequel (TV) Shimajirou no Wow!']",Shimajirou Hesoka,,,,,['Kids'],,,
103,ちーすい丸,,['TV'],34,Finished Airing,"Jan 15, 2011 to Sep 24, 2011",['Winter 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,5 min. per ep.,G - All Ages,[],#17266,#17870,430,0,,"The battle continues between Chi-Sui Maru, a mosquito, and Nobuo, a common office worker.","['Prequel (TV) Chi-Sui Maru', '']",Chi-Sui Maru 2nd Season,"Chi-Sui Maru 2, Chi-Sui Maru Second Season",,,,,['Comedy'],,
104,깨미,Kemy,['TV'],52,Finished Airing,"Feb 28, 2011 to Aug 23, 2011",['Winter 2011'],Wednesdays at 09:40 (JST),"None found,","None found,","None found,",Original,,,11 min. per ep.,G - All Ages,[],#19373,#20488,259,0,,"Kemy is an animation series with some educational undertones targeting 5~7-year-old kids. The entire series is set against the backdrop of a supermarket. Viewing the animations, children will be able to imagine themselves in amidst all a supermarket has to offer. Children can join Kemy and his quest to figure out the answers to everyday questions. Buka and Chaka do not reprise their roles in this season. (Source: korean-products.com)","['Sequel (TV) Kemy Tamheomdae', '']",Kemy,,,,,['Kids'],,,
105,보글보글 쿡,Bubble Bubble Cook,['TV'],52,Finished Airing,Mar 2010 to May 2011,['Spring 2010'],Unknown,"None found,","None found,",['Studio Vandal'],Original,,,23 min. per ep.,PG - Children,[],#17064,#22098,171,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Bubble Bubble Cook 2nd Season', '']",Bubble Bubble Cook,Bogeulbogeul Kug,,,,['Kids'],['Gourmet'],,
106,缤纷宝宝,,['TV'],200,Finished Airing,Jan 2011 to Feb 2012,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#16962,#22097,171,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Binfen Baobao,,,,,['Kids'],['Adventure'],,
107,快乐椭魔塔,,['TV'],52,Finished Airing,Aug 2010 to Jul 2011,['Summer 2010'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,13 min. per ep.,PG - Children,[],#19619,#22582,151,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Kuaile Tuo Mo Ta: Xiao Zhen Le Fantian', '']",Kuaile Tuo Mo Ta,Toomtoo,,,,['Kids'],,,
108,坦坦小动员,,['TV'],104,Finished Airing,Jul 2010 to Jul 2011,['Summer 2010'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#14750,#22654,149,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tantan Xiao Dongyuan,,,,,['Kids'],,,
109,嗷嗷龙,,['TV'],52,Finished Airing,Dec 2010 to Jun 2011,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,8 min. per ep.,PG - Children,[],#16604,#23229,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ao Ao Long,,,,,['Kids'],['Fantasy'],['Anthropomorphic'],
110,迪迪帮帮总动员,,['TV'],104,Finished Airing,Apr 2010 to May 2011,['Spring 2010'],Unknown,"None found,","None found,","None found,",Original,,,9 min. per ep.,PG - Children,[],#17636,#23943,113,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],DiDi Bang Bang Zongdongyuan,,,,,['Kids'],['Fantasy'],,
111,おべとも学園,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#20777,#23997,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,,,,,['Slice of Life'],['School'],
112,大奇和童话镇,Daqi and Children Story Town,['TV'],200,Finished Airing,Apr 2010 to Jul 2011,['Spring 2010'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#17568,#24240,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Daqi He Tonghua Zhen,,,,,['Kids'],['Fantasy'],,
113,开心果的绿色家园之哈哈森林,,['TV'],52,Finished Airing,Feb 2011 to Aug 2011,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#19242,#24439,103,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kaixin Guo De Luse Jiayuan: Haha Senlin,,,,,['Kids'],['Fantasy'],['Anthropomorphic'],
114,＋チック姉さん,,['ONA'],12,Finished Airing,"May 16, 2011 to Jul 26, 2012",,,"['Lantis', 'DAX Production', 'Asahi Production', 'Good Smile Company']","None found,","['Barnum Studio', 'TYO Animations']",['Manga'],,,2 min. per ep.,PG-13 - Teens 13 or older,7.19,#3442,#1253,"204,887",613,102786,"Iroe Genma is a third-year high school student often referred to as ""Elder Sister"" despite her short height. This troublemaking teenager is the president of her school's Model Club, which is dedicated to building plastic models of various objects and structures, such as cars, boats, and even robots. Joined by her two underclassmen, the violent Hazuki ""Okappa"" Okamoto and the rational Makina ""Makimaki"" Sakamaki, the small group aims to carry out their club duties but are often sidetracked by a myriad of distractions. From battles between club members to lessons on how to confess to your crush, these three schoolgirls get caught up in all sorts of wacky, and downright outrageous situations! [Written by MAL Rewrite]","['Adaptation (Manga) Plastic Neesan', '']",Plastic Neesan,"+tic Nee-san, +tic Elder Sister, Plustic Neesan, Plastic Nee-san, Purasu Chikku Neesan, Plastic Elder Sister",,,,['Seinen'],['Comedy'],['School'],
115,俺の妹がこんなに可愛いわけがない,OreImo Specials,['ONA'],4,Finished Airing,"Feb 22, 2011 to May 31, 2011",,,"['Aniplex', 'AIC', 'Movic', 'ASCII Media Works', 'Bandai Namco Games']",['Aniplex of America'],['AIC Build'],['Light novel'],"['Comedy', 'Romance']",,28 min. per ep.,PG-13 - Teens 13 or older,7.32,#2743,#1313,"195,400",215,123687,"The true end arc of Ore no Imouto. These four episodes branch out after the 11th episode of the main TV series and present an alternative version to the end of the TV series. These episodes contrast with the good end arc of the TV series, which was an original ending written for the anime, and instead closely follows the original story from the light novels.","['Prequel (TV) Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Sequel (TV) Ore no Imouto ga Konnani Kawaii Wake ga Nai.', 'Adaptation (Light Novel) Ore no Imouto ga Konnani Kawaii Wake ga Nai', '']",Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,My Little Sister Can't Be This Cute Specials,,,,,,['Otaku Culture'],
116,爆丸バトルブローラーズ Mechtanium Surge,Bakugan: Mechtanium Surge,['ONA'],46,Finished Airing,Sep 2018 to 2018,,,"None found,",['Nelvana'],['TMS Entertainment'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,G - All Ages,6.24,#8583,#3410,"47,471",73,27726,"After returning from the feuding realms of Gundalia and Neathia, Danma Kuusou and his companions continue their lives on Earth. Now, a year later, the virtual reality world of Bakugan Interspace has finally recovered from the alien invasion and has once again become a place for brawlers to gather and challenge themselves. It turns out, however, that whenever Danma's Bakugan, Pyrus Dragonoid, unleashes his might in battle, the Interspace experiences new disruptions. Unable to harness the incredible powers granted to him by Code Eve—the Bakugan Mother spirit—he struggles to maintain control over the Mechtogan contained within him. When it goes out of control, the mysterious mechanical entity wreaks havoc on the battlefield, attacking friends and foes alike. To make matters worse, Bakugan Interspace is at risk of being infiltrated again. An unknown mastermind is sending mutated Chaos Bakugan into the system in order to brainwash brawlers and take control of the virtual realm. In anticipation of the inevitable confrontation, Danma must find a way to keep the Mechtogan's destructive force at bay and rally the Battle Brawlers once again. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers: Gundalian Invaders', '']",Bakugan Battle Brawlers: Mechtanium Surge,,,,,,,['Strategy Game'],
117,鋼の錬金術師 嘆きの丘[ミロス]の聖なる星 特別動画,Fullmetal Alchemist: The Sacred Star of Milos PV,['ONA'],4,Finished Airing,"Jun 10, 2011 to Jun 30, 2011",,,"None found,",['Funimation'],['Bones'],['Manga'],"['Comedy', 'Fantasy']",,4 min. per ep.,PG-13 - Teens 13 or older,6.80,#5332,#4715,"24,571",20,7310,"To mark the July 2 opening of the Fullmetal Alchemist: The Sacred Star of Milos film, the Pia Eiga Seikatsu website posted an exclusive video ""interview"" with the stars of the film, Edward and Alphonse Elric (as voiced by Romi Park and Rie Kugimiya, respectively). In keeping with the spirit of Hiromu Arakawa's original manga and the two television anime, the interviewer has trouble early on in figuring out who the ""Fullmetal Alchemist"" is. (The interview has cameos by the other stars of the anime.) Also includes 3 ""Study"" sessions with ""Professor"" Mustang, teaching Winry and Hawkeye about Creta and Milos.",[],Fullmetal Alchemist: The Sacred Star of Milos Specials,"Hagane no Renkinjutsushi: Milos no Seinaru Hoshi PV, FMA Movie 2 PV",,,,,,,
118,魔法少女そに子☆マギカ,Puella Magi Sonico Magica,['ONA'],1,Finished Airing,"Apr 1, 2011",,,['Nitroplus'],"None found,","None found,",Other,,"['Mahou Shoujo', 'Music']",1 min.,PG-13 - Teens 13 or older,5.78,#11049,#4975,"21,652",12,10314,"Parody opening for a spin-off of Mahou Shoujo Madoka Magica, starring the characters from the upcoming visual novel game SoniComi by Nitro+. This was released by Nitro+ as an April fools' prank, complete with an official website announcing a full TV series.",[],Mahou Shoujo Sonico★Magica,"Mahou Shoujo Sonico Magika, 	Mahou Shoujo Madoka★Magica April Fools'",,,,,,,
119,ワーキング!!,Wagnaria'!! Announcement Specials,['ONA'],2,Finished Airing,"Apr 1, 2011 to Apr 2, 2011",,,"None found,","None found,",['A-1 Pictures'],['4-koma manga'],,,2 min. per ep.,G - All Ages,6.77,#5469,#5788,"14,697",9,5821,"Several characters announce the new season. Episode 1 - April Fool Announcement (Hana and Daisuke) Episode 2 - True Announcement (Aoi, Popura, and Souta)",[],Working'!! Announcement Specials,,,,,,['Comedy'],,
120,名探偵コナン vs Wooo,Detective Conan vs. Wooo,['ONA'],2,Finished Airing,"Apr 22, 2011 to Jun 23, 2011",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,7 min. per ep.,G - All Ages,6.14,#9176,#8177,"6,240",2,2558,"A web series ""Detective Conan vs. Wooo."" This web short is an advertisement for the Wooo line of televisions in Japan.",[],Meitantei Conan vs. Wooo,,,,,['Shounen'],,['Detective'],
121,CHILDREN,,['ONA'],1,Finished Airing,"Jun 30, 2011",,,"None found,","None found,","None found,",Original,"['Avant Garde', 'Drama']",,4 min.,PG-13 - Teens 13 or older,5.89,#10498,#10118,"3,415",6,1799,A short film by Takuya Okada set in a conformist society. (Source: IMDB),[],Children,,,,,,,['Psychological'],
122,사이퍼즈,,['ONA'],3,Finished Airing,"Jun 8, 2011 to May 14, 2016",,,"None found,","None found,",['Studio Ppuri'],Game,,,2 min. per ep.,PG-13 - Teens 13 or older,5.85,#10666,#10432,"3,107",21,380,"Ep 1: The grand opening animation trailer for the nation-wide launch of the Korean video game Cyphers. Ep 2: ""Cyphers Episode 1: Feather"", fully voiced action-packed animated feature made in 2011. No more were created after this initial one. Ep 3: The commemorative 5th Anniversary animation trailer for the Korean video game Cyphers.",[],Cyphers,,,,,,['Action'],,
123,プリキュアからみんなへの応援ムービー,,['ONA'],1,Finished Airing,"May 20, 2011",,,"None found,","None found,",['Toei Animation'],Original,,,32 sec.,G - All Ages,6.06,#9619,#10871,"2,725",1,899,Support video for the victims and sufferers of the 2011 Japanese earthquake and tsunami featuring all the Precure girls.,[],Precure kara Minna e no Ouen Movie,,,,,,,['Mahou Shoujo'],
124,DEAD GIRL Trailer（デッド・ガール トレーラー）,Dead Girl Trailer,['ONA'],1,Finished Airing,"May 22, 2011",,,"None found,","None found,","None found,",Original,"['Horror', 'Supernatural', 'Suspense']",,1 min.,R - 17+ (violence & profanity),3.57,#13816,#10918,"2,690",0,1663,"Once upon a time, a girl was brutally murdered. Stabbed mercilessly and left for dead, she never received justice and her sadistic killer got away. That was until, through supernatural and unknown forces, she was brought back to life—as a zombie! Powerful, relentless, and hungry, Dead Girl is out for revenge! [Written by MAL Rewrite]",[],Dead Girl Trailer,,,,,,,['Parody'],
125,ケムリクサ,Kemurikusa,['ONA'],2,Finished Airing,"May 1, 2011 to Mar 1, 2012",,,"None found,","None found,",['Yaoyorozu'],Original,"['Action', 'Adventure', 'Sci-Fi']",,14 min. per ep.,G - All Ages,5.87,#10589,#10930,"2,678",0,1065,"Tatsuki's winning entry for the ""24th 3D Anime Contest"" in 2012 which later became a TV anime. It can be found on his youtube channel, irodoriginal.",[],Kemurikusa,,,,,,,,
126,それって♡だからね!,,['ONA'],1,Finished Airing,"Jun 24, 2011",,,"None found,","None found,",['Asahi Production'],Original,,,8 min.,PG-13 - Teens 13 or older,4.91,#13312,#11510,"2,254",1,1069,Anime featuring the idol group AGC38. It is set in the classes of the Musashi Asahigaoka Girls' Academy that the girls attend.,[],Sorette♡Dakara ne!,"Sore tte♡Dakara ne!, AGC38, That's The Way I Love It!",,,,,['Slice of Life'],,
127,Wish me mell,,['ONA'],3,Finished Airing,"Jun 5, 2011 to Jul 20, 2012",,,['Sanrio'],"None found,","None found,",Other,,,1 min. per ep.,G - All Ages,5.38,#12493,#16160,605,1,249,"The characters in Sanrio's ""Wish me mell"" line star in three short specials.",[],Wish Me Mell,"Wish Me Mell: Miracle Circus, Wish Me Mell: Maimai no Humming Concert",,,,['Kids'],['Fantasy'],,
128,裡児のママとお母さん,Uchiko's Mom & Mother,['ONA'],1,Finished Airing,"May 15, 2011",,,"None found,","None found,","None found,",Original,,,52 sec.,G - All Ages,5.04,#13182,#17162,490,0,200,"Uchiko no Mama to Okaasan is about a girl far from home who has a mama and a mother, one of which is a large monster. Rabbit MACHINE is the creator but abandoned the project so all that remains is the preliminary web release.",[],Uchiko no Mama to Okaasan,,,,,,['Suspense'],,
129,カナブンの行進,Scarab Beetle's Parade,['ONA'],1,Finished Airing,"May 4, 2011",,,"None found,","None found,",['Saigo no Shudan'],Original,,,4 min.,R+ - Mild Nudity,4.60,#13589,#17337,472,0,221,"A bizarre early work by Saigo no Shudan. They used children's toy instruments to create the kitschy soundtrack. ""Kanabun"" is the Japanese colloquial name for a drone beetle (Pseudotorynorrhina japonica) which is in the scarab family.",[],Kanabun no Koushin,,,,,,['Avant Garde'],['Music'],
130,ポテッコベイビーズ(2011),,['ONA'],12,Finished Airing,"Apr 22, 2011 to Jul 10, 2011",,,"None found,","None found,",['Shin-Ei Animation'],Original,,,1 min. per ep.,G - All Ages,5.41,#12382,#17693,444,0,173,Anime about potato characters continues.,"['Prequel (ONA) Potecco Babies', '']",Potecco Babies (2011),,,,,,['Comedy'],,
131,西武鉄道駅員タコちゃん,,['ONA'],12,Finished Airing,"Apr 15, 2011 to Feb 29, 2012",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,"['Comedy', 'Slice of Life']","['Detective', 'Parody']",2 min. per ep.,G - All Ages,[],#13965,#18411,389,0,,"Tako-chan joins Seibu Railways in 2011, and gets assigned to Tanashi Station. He finally became a railway employee like he always yearned for, but he constantly keeps making blunders, and so all his work seems to be useless. Will the day come when he can stand on his own? (Source: Official Site)",[],Seibu Tetsudou Ekiin Tako-chan,Seibu Railroad Worker: Tako-chan,,,,,,,
132,東京ハイジ まいにちのこどもうた,,['ONA'],Unknown,Currently Airing,"Apr 6, 2011 to ?",,,['King Records'],"None found,","None found,",Music,,,2 min.,G - All Ages,[],#14945,#19476,314,0,,"A series of animated music videos and short videos teaching children common everyday tasks, such as brushing teeth.",[],Tokio Heidi: Mainichi no Kodomo Uta,Tokyo Heidi,,,,['Kids'],,['Music'],
133,"劇場版『放課後のプレアデス』""マナームービー""予告編",,['ONA'],1,Finished Airing,"May 23, 2011",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,[],#18689,#20207,274,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Houkago no Pleiades: Manner Movie Trailer,,,,,,['Comedy'],,
134,泡芙小姐,Miss Puff,['ONA'],13,Finished Airing,"Apr 1, 2011 to 2011",,,"None found,","None found,",['Hutoon Animation'],Original,,,13 min. per ep.,PG-13 - Teens 13 or older,[],#20964,#23088,134,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Pao Fu Xiaojie 2nd Season', '']",Pao Fu Xiaojie,,,,,,['Slice of Life'],['Adult Cast'],
135,데미안,Demian,['ONA'],1,Finished Airing,"Jun 23, 2011",,,"None found,",['eigoMANGA'],['Studio Goindol'],Original,"['Action', 'Sci-Fi']",,19 min.,PG-13 - Teens 13 or older,[],#17604,#27646,63,0,,"After being accused of stealing military secrets, Dr. Demian escapes from custody and expose corruption within the military; but he's pursued by a strike force that operates an experimental robot that he developed. (Source: eigoMANGA)",[],Demian,,,,,,,['Mecha'],
