,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Synonyms,Genre,German,Spanish,Demographics,French
67,異世界おじさん,Uncle from Another World,['TV'],13,Finished Airing,"Jul 6, 2022 to Mar 8, 2023",['Summer 2022'],Wednesdays at 22:00 (JST),"['Movic', 'AT-X', 'Sammy', 'BS11', 'Kadokawa Media House', 'Kadokawa']","None found,",['Atelier Pontdarc'],['Web manga'],"['Comedy', 'Fantasy']","['Adult Cast', 'Isekai', 'Otaku Culture', 'Parody']",,24 min. per ep.,PG-13 - Teens 13 or older,7.77,#1106,#645,"389,622","2,168",178424,"After a fatal encounter with a truck, Takafumi Takaoka's uncle, Yousuke ""Ojisan"" Shibazaki, lies comatose for 17 years. When he finally regains consciousness, Ojisan begins to ramble in a foreign tongue and reveals that he had been transported to a magical world called Gran Bahamal. Takafumi dismisses his uncle's claims as nonsense until an incantation makes a cup of water hover in the air. In a flash of brilliance, the pair creates a YouTube channel to showcase Ojisan's magical abilities. The responsibility now falls on Takafumi's shoulders to acquaint Ojisan with everything that has transpired during his absence, including getting him up to speed with the internet, new technology, and surprisingly, the outcome of the '90s console war—the result of which was especially distressing for a hardcore SEGA fan. With Ojisan's wisdom from his other world experiences, they grow their YouTube channel and tackle online comments and trolls. The journey of this uncle-nephew duo promises to be anything but conventional. [Written by MAL Rewrite]","['Adaptation (Manga) Isekai Ojisan', '']",Isekai Ojisan,,"Isekai Uncle, Ojisan in Another World",,,,,
68,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#434,#703,"360,541","15,322",164223,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,['Detective'],Detective Conan,,Case Closed,,,
69,不滅のあなたへ Season2,To Your Eternity Season 2,['TV'],20,Finished Airing,"Oct 23, 2022 to Mar 12, 2023",['Fall 2022'],Sundays at 19:00 (JST),"['NHK', 'Kodansha', 'NHK Enterprises']","None found,",['Drive'],['Manga'],"['Adventure', 'Drama', 'Supernatural']",,['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),8.09,#535,#874,"302,041","1,631",113481,"After seeing enough death and tragedy, the immortal Fushi secludes himself on an island, defending himself from enemy Nokkers. However, instead of attacking Fushi in isolation, Nokkers begin targeting the settlements outside of his reach in hopes of luring him out. Soon, a group known as the Guardians—led by Hisame, the descendant of the deceased warrior Hayase—finds Fushi. Inspired by how Fushi protected Janada Island from the Nokkers years ago, the Guardians have grown a considerable following and are recognized throughout the world. Initially reluctant, Fushi allows the Guardians to accompany him to the site of the Nokkers' recent attack. In their village, Fushi meets a few valuable allies, both new and old. But as the conflict with the Nokkers only leads to more loss, Fushi must find the inner strength to face his inevitable sorrow. [Written by MAL Rewrite]","['Prequel (TV) Fumetsu no Anata e', 'Sequel (TV) Fumetsu no Anata e Season 3', 'Adaptation (Manga) Fumetsu no Anata e', '']",Fumetsu no Anata e Season 2,,"To Your Eternity 2nd Season, To You, the Immortal 2nd Season",,,,,
70,魔入りました！入間くん,Welcome to Demon School! Iruma-kun Season 3,['TV'],21,Finished Airing,"Oct 8, 2022 to Mar 4, 2023",['Fall 2022'],Saturdays at 18:25 (JST),"['NHK', 'NHK Enterprises']","None found,",['Bandai Namco Pictures'],['Manga'],"['Comedy', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.82,#1002,#1212,"213,484","1,298",92232,"Following their heroic efforts at Walter Park, the students of the misfit class return to Babyls Demon School after their summer vacation. What awaits them is not only adoration and admiration but also the shocking revelation that, in order to stay in the luxurious Royal One classroom, the entire class must be promoted to Dalet rank before entering the second year. As the Harvest and Music Festivals are right around the corner, there seem to be ample opportunities to rank up. Doing so will not be simple, however, as no class thus far has managed to accomplish such a feat. Hoping to give the misfit class a chance to achieve the improbable, the school appoints special tutors to aid in confronting the challenges that lie ahead. With his sights set beyond Dalet, Iruma Suzuki decides to take strides toward the goal of ranking up, starting with gaining acknowledgement from his special tutor: the short-tempered and selfish Bachiko Barbatos. [Written by MAL Rewrite]","['Prequel (TV) Mairimashita! Iruma-kun 2nd Season', 'Sequel (TV) Mairimashita! Iruma-kun 4th Season', 'Adaptation (Manga) Mairimashita! Iruma-kun', '']",Mairimashita! Iruma-kun 3rd Season,['School'],Welcome to Demon School! Iruma-kun 3rd Season,,,,,
71,うる星やつら,Urusei Yatsura,['TV'],23,Finished Airing,"Oct 14, 2022 to Mar 24, 2023",['Fall 2022'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Fuji TV', 'Shogakukan', 'Fuji Creative']",['Sentai Filmworks'],['David Production'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi']",,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,7.41,#2342,#1332,"191,710","1,235",51603,"When aliens known as the Oni threaten to invade the Earth, they promise to leave under one condition—a randomly-chosen human must win a one-on-one game of tag against Lum, the beautiful daughter of the Oni leader. The ""lucky"" person selected happens to be the lustful and unlucky high schooler Ataru Moroboshi. Given 10 days to attempt to grab Lum's horns, Ataru realizes how impossible the challenge is as he is faced with Lum's extraterrestrial powers. Motivated by a promise of marriage from his childhood friend Shinobu Miyake, Ataru manages to catch Lum off guard. He mistakenly grabs hold of her bikini top first, but he eventually achieves his true goal. Although the game is over, Lum misunderstands that she is the one whom Ataru wants to marry, and she decides to move in with him. The poor student constantly tries to shake off the clingy Lum while doing his best to reconcile with his desired fiancée. After Ataru's heroic feat results in such a disastrous outcome, it is questionable whether luck will ever be on his side. [Written by MAL Rewrite]","['Sequel (TV) Urusei Yatsura (2022) 2nd Season', 'Adaptation (Manga) Urusei Yatsura']",Urusei Yatsura (2022),,"Those Obnoxious Aliens, The Return of Lum, Lum, the Invader Girl",,,,,
72,ゴールデンカムイ,Golden Kamuy Season 4,['TV'],13,Finished Airing,"Oct 3, 2022 to Jun 26, 2023",['Fall 2022'],Mondays at 23:00 (JST),"['NBCUniversal Entertainment Japan', 'Tokyo MX', 'Good Smile Company', 'Sammy', 'Shueisha', 'JR East Marketing & Communications', 'Twin Engine']","None found,","[""Brain's Base""]",['Manga'],"['Action', 'Adventure']","['Adult Cast', 'Historical', 'Military']",['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),8.12,#496,#2117,"106,871",618,39296,"The race to obtain the lost Ainu gold is nearing its peak, as even more formidable ex-prisoners are set on keeping their tattooed skins intact. Saichi ""The Immortal"" Sugimoto and Asirpa can finally move forward together, but Asirpa's time with Kiroranke and Ogata Hyakunosuke has slightly altered her ambition and strengthened her determination. As their party leaves the Russian territory, they gain a peculiar follower. Meanwhile, Toshizou Hijikata's crew makes major moves to get invaluable skins, falling into the poisonous trap of a dangerous convict. Although each group possesses a strong advantage over the others, even First Lieutenant Tokushirou Tsurumi—the most powerful and ruthless contender—cannot advance without Asirpa's help. However, his ominous plans for when they will inevitably meet remain a mystery. [Written by MAL Rewrite]","['Prequel (TV) Golden Kamuy 3rd Season', 'Sequel (TV) Golden Kamuy: Saishuushou', 'Adaptation (Manga) Golden Kamuy', '']",Golden Kamuy 4th Season,,,,,,,
73,クールドジ男子,"Play It Cool, Guys",['TV'],24,Finished Airing,"Oct 11, 2022 to Mar 28, 2023",['Fall 2022'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'AT-X', 'Magic Capsule', 'Avex Pictures']","None found,",['Pierrot'],['Web manga'],,"['Adult Cast', 'Iyashikei']",,11 min. per ep.,PG-13 - Teens 13 or older,7.86,#897,#2192,"102,402","1,089",30603,"Despite their distinctive personalities, Souma Shiki, Hayate Ichikura, Shun Futami, and Takayuki Mima all have one thing in common: though naturally clumsy, the four disguise their embarrassment from tiny slip-ups by maintaining a composed demeanor. However, it is actually the guys' airheaded natures that makes the girls' hearts throb. No matter what happens in their daily lives, the boys do their best not to lose their cool! [Written by MAL Rewrite]","['Adaptation (Manga) Cool Doji Danshi', '']",Cool Doji Danshi,,,['Slice of Life'],,,,
74,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1028,#2399,"87,969","1,328",42153,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,['School'],,,Shin Chan,Shin Chan,,
75,艦これ いつかあの海で,KanColle Season 2: Let's Meet at Sea,['TV'],8,Finished Airing,"Nov 4, 2022 to Mar 25, 2023",['Fall 2022'],Fridays at 00:30 (JST),"None found,","None found,",['ENGI'],Game,"['Action', 'Sci-Fi']","['Anthropomorphic', 'Military', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,6.26,#8526,#3183,"53,783",224,5966,"The dawn of a decisive battle nears in Leyte Gulf against the Abyssal Fleet, the mysterious enemies that occupy the sea. As the only ones capable of fighting them, Kanmusu—young girls possessing the souls of warships—reorganize in preparation. The Shiratsuyu-class destroyer Shigure is assigned to the First Striking Force, Third Section—also known as 1YB3H. Unfortunately for Shigure, 1YB3H consists of the remaining few Kanmusu and serves as a diversionary fleet. Needing to confront the Abyssal Fleet head-on, it may well be their first and final mission together. Even so, Shigure refuses to let the enemy take another comrade from her. As they advance toward Leyte Gulf during this suicidal mission, the members of 1YB3H must support each other and persevere to prove their worth as competent ships. [Written by MAL Rewrite]","['Prequel (TV) Kantai Collection: KanColle', '']",KanColle: Itsuka Ano Umi de,,"KanColle: Someday in that Sea, KanColle 2nd Season, Fleet Girls Collection",,,,,
76,弱虫ペダル LIMIT BREAK,,['TV'],25,Finished Airing,"Oct 9, 2022 to Mar 26, 2023",['Fall 2022'],Sundays at 00:00 (JST),"['TV Tokyo', 'MediaNet', 'TOHO animation', 'Akita Shoten', 'NHK Enterprises']","None found,",['TMS Entertainment'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.41,#2345,#4465,"27,835",148,9539,"Unable to achieve the desired results on the first and second days of the Inter-High competition, members of the Souhoku High Bicycle Racing Club use their frustration as motivation to perform better on the final day of the race. However, it is easier said than done as they are up against the overwhelming talent of Hakone Academy and the shrewd strategies of Kyoto Fushimi High. Despite the challenge, Souhoku members are not disheartened by the obstacles that they need to overcome. After all, no matter what their opponents try, Souhoku will have the last laugh as long as they are the first to cross the finish line. [Written by MAL Rewrite]","['Prequel (TV) Yowamushi Pedal: Glory Line', 'Adaptation (Manga) Yowamushi Pedal']",Yowamushi Pedal: Limit Break,['Racing'],"Yowamushi Pedal 5th Season, Yowapeda 5th Season",['Sports'],,,,
