,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,Demographics
118,,春恋＊乙女,,,,,['OVA'],2,Finished Airing,"Apr 18, 2008 to Jul 18, 2008",,,"['D3', 'White Bear', 'Mediabank']","None found,",['Studio 9 Maiami'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.50,N/A,#7958,"6,695",10,2240,Based on the eroge visual novel Harukoi Otome: En de Gokigenyou by BaseSon.,[],Harukoi Otome,['Harem'],,['Hentai'],
119,,姫奴隷,,,,,['OVA'],2,Finished Airing,"Jun 25, 2008 to Oct 25, 2008",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Gunners'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.94,N/A,#8906,"5,051",15,1677,"Princess Tita is the successor to the throne of the Luvence Kingdom. Tita's sister Liese hired Waldo, a practitioner of black magic to make sure that Tita doesn't rise to power. Waldo has but one condition upon accepting the request: the method is up to his choosing. (Source: TMDB)","['Adaptation (Light Novel) Hime Dorei: Mesu e to Ochiyuku Futago no Oujo', '']",Hime Dorei,,,['Hentai'],
120,Kojin Jugyou,個人授業 THE ANIMATION～Schoolgirl ready for a private lesson～,,,,,['OVA'],2,Finished Airing,"Apr 25, 2008 to May 27, 2008",,,['Pink Pineapple'],"None found,",['Flavors Soft'],['Manga'],,,27 min. per ep.,Rx - Hentai,6.44,N/A,#9217,"4,561",9,1429,"The first episode features the secret, loving relationship between a student and her teacher. The second episode is about a recently orphaned schoolgirl being exploited due to her attempt to keep her family's company afloat, and her brother's efforts to save her.",[],Kojin Jugyou The Animation: Schoolgirl Ready for a Private Lesson,,,['Hentai'],
121,"Ero Scene Replay Ryoujoku & Higo Mode, Picchiri Sukima Naku Ecchi na Omoide Bonus Video",そらのいろ、みずのいろ,,,,,['OVA'],2,Finished Airing,"Jul 28, 2006 to Jun 27, 2008",,,['Nihikime no Dozeu'],"None found,",['Himajin Planning'],Visual novel,,,10 min. per ep.,Rx - Hentai,6.63,N/A,#9560,"4,070",4,1304,DVD Specials,[],"Sora no Iro, Mizu no Iro Ero Specials",['Love Polygon'],,['Hentai'],
122,Amuri in Star Ocean,星の海のアムリ,,,,,['OVA'],3,Finished Airing,"Apr 1, 2008 to Sep 26, 2008",,,['Bandai Visual'],"None found,",['Studio Hibari'],Original,"['Adventure', 'Fantasy', 'Sci-Fi']",,29 min. per ep.,PG-13 - Teens 13 or older,5.70,#11365,#9831,"3,761",6,1124,"The 3D modeled anime is set in Year 019 of the Insonity Progressive Revolution - a future era in which mankind has evolved into a new species called Adapters. Three very young Adapter girls from Japan, China and France set out on a space adventure that will affect the rest of their species. (Source: animekon)","['Adaptation (Manga) Hoshi no Umi no Amuri: Tsuki no Yami no Plugin', '']",Hoshi no Umi no Amuri,,,,
123,"12 Female Teachers, Juuninin no Jukyoushi, Juuninin no Jokyoushi",十二人の女教師,Dirty by the Dozen,,,,['OVA'],2,Finished Airing,"Apr 11, 2008 to Jul 11, 2008",,,['Digital Works'],['Kitty Media'],['Y.O.U.C'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.66,N/A,#11094,"2,551",2,768,"A horny headmaster and his naughty nephews are out to train twelve teachers to be sex slaves. They'll use any scheme in their arsenal to get the hot lady professors to share their carnal knowledge. But even if the women give their bodies over freely, that doesn't mean they'll just take it lying down. The extracurricular activities are nonstop in every nook and cranny of this institute of lustful learning. (Source: AniDB)",[],Juuninin no Onna Kyoushi,,,['Hentai'],
124,Masked Rider Den-O: Imagin Anime,仮面ライダー電王: イマジンあにめ,,,,,['OVA'],10,Finished Airing,"Apr 25, 2008",,,['animate Film'],"None found,","None found,",Other,"['Action', 'Adventure', 'Comedy']",,4 min. per ep.,G - All Ages,6.45,#7391,#12708,"1,547",5,566,Web and DVD based 10 Episode OVA featuring the Imagin stars of the popular 2007 Kamen Rider Den-O live action tv series.,"['Sequel (OVA) Kamen Rider Den-O: Imagin Anime 2', '']",Kamen Rider Den-O: Imagin Anime,['Super Power'],['Kids'],,
125,Yanase Takashi Maerchen Gekijou,やなせたかしメルヘン劇場,,,,,['OVA'],30,Finished Airing,"Apr 23, 2008 to Jul 25, 2008",,,"None found,","None found,",['The Answer Studio'],Unknown,,,21 min. per ep.,PG - Children,[],#15982,#19026,344,1,,A collection of children's stories by Yanase Takashi.,[],Yanase Takashi Märchen Gekijou,,['Kids'],,
126,"Kara no Kyoukai: The Garden of Sinners Movie 4, Borderline of Emptiness: The Hollow Shrine, The Garden of Sinners: garan-no-dou",劇場版 空の境界 the Garden of sinners 第四章『伽藍の洞』,The Garden of Sinners Chapter 4: The Hollow Shrine,the Garden of Sinners Film 4: Der leere Tempel,,the Garden of sinners Film 4: L’abîme du Temple,['Movie'],1,Finished Airing,"May 24, 2008",,,['Notes'],['Aniplex of America'],['ufotable'],['Light novel'],"['Action', 'Fantasy', 'Mystery', 'Suspense']",,46 min.,R - 17+ (violence & profanity),7.82,#997,#1177,"221,483",319,134012,"Following the events of Satsujin Kousatsu (Zen), Shiki Ryougi has been in a coma for two years due to a traffic accident. When she finally awakens, she has no memories of her past and is plagued by a profound loneliness. Even stranger, she notices dark lines encompassing the things around her, and if she touches them she can disassemble the object—something which completely terrifies her. Her friend, Mikiya Kokutou, enlists the help of Touko Aozaki, a mage who can help Shiki understand what her eyes—the ""Mystic Eyes of Death Perception""—are truly capable of and how to use them properly. [Written by MAL Rewrite]","['Prequel (Movie) Kara no Kyoukai Movie 3: Tsuukaku Zanryuu', 'Sequel (Movie) Kara no Kyoukai Movie 5: Mujun Rasen', 'Adaptation (Manga) Kara no Kyoukai: The Garden of Sinners', 'Adaptation (Light Novel) Kara no Kyoukai: The Garden of Sinners']",Kara no Kyoukai Movie 4: Garan no Dou,['Urban Fantasy'],,,
127,The House of Small Cubes,つみきのいえ,La Maison en Petits Cubes,,,,['Movie'],1,Finished Airing,"Jun 10, 2008",,,['Robot Communications'],"None found,",['Oh! Production'],Original,"['Award Winning', 'Drama']",,12 min.,G - All Ages,8.00,#663,#2236,"98,971",476,54716,"In a flooded town where the waters are ever-rising, an old man must constantly build new floors onto his home in order to keep dry. But when his favorite smoking pipe falls into the watery abyss beneath him, he dives into the depths of not only his house, but memories of years past. Tsumiki no Ie is a short film about the everlasting effect of time on one's life—how it can swallow the past entirely, and how one must learn to continue moving forward despite what has already happened. [Written by MAL Rewrite]",[],Tsumiki no Ie,,,,
128,Meitantei Conan: Senritsu no Gakufu [Full Score],名探偵コナン 戦慄の楽譜（フルスコア）,Detective Conan Movie 12: Full Score of Fear,Detektiv Conan Film 12: Die Partitur des Grauens,,Détective Conan Film 12: La mélodie de la Peur,['Movie'],1,Finished Airing,"Apr 19, 2008",,,"['Tokyo Movie Shinsha', 'Big Bang', 'Shogakukan Productions']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,1 hr. 56 min.,PG-13 - Teens 13 or older,7.78,#1088,#3336,"49,629",24,28664,"Serial murders involving all kinds have happened. All the victims are from a Music School led by a famous pianist. Conan and company have been invited to a opening concert of the Music Hall built by the pianist. The biggest attraction of this concert is the world famous violin called ""Stradivarius"" and a special appearance of a singer who has perfect pitch. (Source: ANN)",[],Meitantei Conan Movie 12: Senritsu no Full Score,['Detective'],['Shounen'],,
129,Eiga Crayon Shin-chan: Chou Arashi wo Yobu Kinpoko no Yuusha,クレヨンしんちゃん ちょ～嵐を呼ぶ 金矛の勇者,Crayon Shin-chan: Fierceness That Invites Storm! The Hero of Kinpoko,,Shin Chan Película 16: Shin Chan y la Espada de Oro,,['Movie'],1,Finished Airing,"Apr 19, 2008",,,"['TV Asahi', 'Futabasha']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life', 'Ecchi']",,1 hr. 33 min.,G - All Ages,6.92,#4729,#8296,"6,036",2,3439,"A comical fantasy adventure on a fight against invaders from another world. The ruler of dark world ""Don Kurai,"" Dark, plots to dominate the human world. There is a legend about three treasures and a hero in Don Kurai, and Dark takes over one of the three treasures, a bell of copper, but a man sent other two treasures (a sword of gold and a shield of silver) to the human world. Shinnosuke falls into Dark's trap and opens the door between the human world and Don Kurai, but he becomes the hero selected by the spear of gold. With the power of a girl from Don Kurai, Mata Tami, the Nohara Family transform into various things and fight against Dark. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!', 'Sequel (Movie) Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku']",Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,['School'],['Seinen'],,
130,"Wanted, Love is Protein, Watashi no Coffee Samurai: Jihanki Teki na Kareshi, My Coffee Samurai: A Vending Machine Boyfriend, A Coffee Vending Machine and Its Sword",인디애니박스: 셀마의 단백질 커피,Indie Anibox: Selma's Protein Coffee,,,,['Movie'],1,Finished Airing,"Jun 20, 2008",,,"['KOCCA Animation Studio', 'Arc Studio']","None found,",['Studio Dadashow'],Unknown,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",,1 hr. 15 min.,G - All Ages,5.93,#10287,#10094,"3,440",6,1348,"The 2008 animated omnibus Indie Anibox: Selma's Protein Coffee consists of three inventive short films from up-and-coming directors. Kim Woon Ki's kooky mystery thriller ""Wanted"" is set in a peaceful village suddenly disrupted by heavy rainfall and the appearance of a strange old woman named Selma. Yeon Sang Ho's 3-D animation ""Love is Protein"" is an inventive black comedy about three poor roommates who break their piggy banks to order fried chicken - only to discover their prospective meal is the son of a weeping chicken. Jang Hyung Yoon's surreal ""A Coffee Vending Machine and Its Sword"" follows a swordsman who reincarnates as a coffee vending machine and falls in love at first sight with the maintenance girl. (Source: YesAsia)",[],Indie Anibox: Selma Danbaekjil Coffee,['Samurai'],,,
131,Pokemon Diamond & Pearl Get Together! Pokemon Star Festival,ポケットモンスターダイヤモンドパール・あつまれポケモン星まつり,,,,,['Movie'],1,Finished Airing,"May 31, 2008",,,"None found,","None found,","None found,",Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,22 min.,PG - Children,6.34,#8019,#13761,"1,142",0,289,"Satoshi, a boy who aims to be the world's best Pokemon Master, his partner Pikachu, and his traveling companions Hikari and Takeshi. Since today is the ""Pokemon Star Festival"" various Pokemon have gathered around, one after the other, and so Satoshi and his friends decide to join in!! The shady hosts of the festival are getting everyone fired up, but it seems like our heroes have seen them before? As everyone is enjoying events like the Pokemon Quiz and nighttime star gazing, the Pokemon start to disappear one by one. Even Satoshi's Pikachu goes missing! Can Satoshi and Pikachu make it out of there safely?! (Source: Dogasu's Backpack)",[],Pokemon Diamond & Pearl Atsumare! Pokemon Hoshi Matsuri,,['Kids'],,
132,,キリコ,,,,,['Movie'],1,Finished Airing,Apr 2008,,,"None found,","None found,","None found,",Original,,,4 min.,PG-13 - Teens 13 or older,4.55,#13620,#14752,880,1,449,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chirico,,,['Avant Garde'],
133,"Eagle Talon The Movie 2, Himitsukessha Taka no Tsume The Movie 2: Watashi wo Aishita Kuro Oolong-Cha",秘密結社鷹の爪 THE MOVIE II　私を愛した黒烏龍茶,,,,,['Movie'],1,Finished Airing,"May 31, 2008",,,"None found,","None found,",['DLE'],Unknown,,"['Parody', 'Super Power']",1 hr. 30 min.,G - All Ages,5.40,#12416,#16037,621,0,155,The second Eagle Talon movie.,"['Prequel (Movie) Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu', 'Sequel (TV) Himitsukessha Taka no Tsume Countdown']",Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,,,['Comedy'],
134,She Was Beautiful,그녀는 예뻣다,Life is Cool,,,,['Movie'],1,Finished Airing,"Jun 12, 2008",,,"None found,","None found,","None found,",Original,"['Comedy', 'Drama', 'Romance']",,1 hr. 38 min.,R - 17+ (violence & profanity),[],#18192,#17719,441,0,,"Three thirty-something friends meet each other for the first time in ten years. But when one of them goes on a blind date with a gorgeous girl, things become quite complicated. (Source: Wikipedia)",[],Geunyeoneun Yeppeotda,,,,
135,"If You Were Me: Anima Vision 2 (2008), Byeol byeol i-ya-gi 2",별별이야기 2: 여섯 빛깔 무지개,,,,,['Movie'],6,Finished Airing,"Apr 17, 2008",,,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG-13 - Teens 13 or older,[],#17105,#18389,392,0,,"This film consists of 6 animated shorts produced by the Human Rights Commission of Korea. Like the previous movie, the stories deal with seeing the world through the eyes of people who are different from social norms. The film was nominated for Best Animated Feature in 2008 from the Asia Pacific Screen Awards. 1. ""The Third Wish” (AN Dong-hui, RYU Jeong-wu). A fairy godmother appears before a visually impaired young woman to grant her three wishes. But this is no fairytale. The irritable middle-aged fairy wants to finish her job as soon as possible. Yet she proves to be helpful as she leads the woman through a busy marketplace, which is delightfully reminiscent of ""Amelie"". But it's no walk in the park, as busy urbanites show no consideration for our protagonist. Yet she prevails through obstacles. With a walking stick, she taps together the heels of her shiny new shoes and follows the ""yellow brick road"" (guiding tiles for the visually impaired) around the city. 2. ""Ajukari” (HONG Deok-pyo) is a street-style cartoon. It comically depicts how a certain macho ""complex"" can cripple men. Male circumcision becomes the ultimate standard for being ""manly"" and those who have failed to do the deed are forever fearful of going to public baths. 3. ""Baby"" (LEE Hong-su, LEE Hong-min) portrays the difficulties a career woman faces in having a child. ""I'm not saying you can't have maternity leave, but can you afford to raise a child while working?"" asks her boss. This smart story portrays everything from mother and daughter-in-law relationships to a parody of ""Tazza: The High Rollers"" and hilarious episodes where an ""ambulance bus"" picks up several patients en route. 4. ""Shine Shine Shining"" (KWON Mi-jeong) is drawn like a warm, watercolor storybook for children. Grade schooler Eun-jin is smart and popular, but she has a secret. She hides her curly hair, which she gets from her Filipino mother, in braids. 5. ""Merry Golasmas"" is an adorable claymation, or stop motion animation of models constructed from clay, plasticine, etc. It explores physical discrimination or stereotypes. In an open audition to find a Santa Claus, the real Santas ― one who's black, another who's Asian, a female Santa and one in a wheelchair ― lose to a fake Santa, a pot-bellied, Caucasian. 6. “Lies"" explores homosexuality. Drawn in pastel-like sketches with art deco-esque details, it is a stunning digital cut-out animation, A homosexual man is forced by his parents to marry a woman, while others are pressured to fake having a girlfriend or receive ""therapy"" to become straight. (Source: The Korean Times)","['Prequel (Movie) Byulbyul Iyagi', '']",Byulbyul Iyagi 2,['Psychological'],,['Drama'],
136,Kofun Gal no Coffy: Juuninin to Ikareru Cofun-tachi,古墳ギャルのコフィー ～１２人の怒れる古墳達～,Tumulus Gal Coffy: the 12 Angry Tumuli,,,,['Movie'],1,Finished Airing,"May 24, 2008",,,"None found,","None found,","None found,",Unknown,,,30 min.,G - All Ages,[],#17414,#18740,364,0,,"Coffy and Daniel were practicing the Japanese lion dance for their exhibit in the school festival, when Abukuma-san started yelling at them for being so loud. Coffy's temper snaps, and she hurls his beloved bonsai at him. Daniel becomes convicted for damaging property. What will become of the trial?",[],Cofun Gal no Coffy: Juuninin to Ikareru Cofun-tachi,,,['Comedy'],
137,,葫芦兄弟,Calabash Brothers,,,,['Movie'],1,Finished Airing,"May 27, 2008",,,"None found,","None found,",['Shanghai Animation Film Studio'],Original,,,1 hr. 23 min.,PG - Children,[],#18781,#22543,153,0,,Summary movie of the original Hulu Xiongdi with remastered visuals and sound.,[],Hulu Xiongdi (Movie),,['Kids'],,
138,,それいけ！ アンパンマン ～SLマンと星をうつそう～,,,,,['Movie'],1,Finished Airing,"Apr 26, 2008",,,"None found,","None found,","None found,",Picture book,"['Comedy', 'Fantasy', 'Sci-Fi']",,30 min.,PG - Children,[],#14551,#22864,141,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: SLman to Hoshi wo Utsusou,['Space'],['Kids'],,
139,"Happy Little Submarine, Qianting Zongdongyuan",潜艇总动员,,,,,['Movie'],1,Finished Airing,"May 30, 2008",,,"None found,","None found,","None found,",Unknown,,,1 hr. 21 min.,PG - Children,[],#21220,#23279,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (Movie) Qian Ting Zong Dong Yuan 2', '']",Qian Ting Zong Dong Yuan,,['Kids'],['Adventure'],
140,Baccano! OVA,バッカーノ!,Baccano! Specials,,,Baccano!,['Special'],3,Finished Airing,"Feb 27, 2008 to May 28, 2008",,,['Aniplex'],"['Funimation', 'Aniplex of America']","[""Brain's Base""]",['Light novel'],"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Organized Crime']",28 min. per ep.,R - 17+ (violence & profanity),8.08,#552,#1392,"182,818",307,114371,"In 1929, Ladd Russo spared Graham Specter's life and earned his unwavering loyalty. Three years later, Graham is infuriated upon learning that Ladd was pushed off the train after the events aboard the Flying Pussyfoot. As a man of bizarre yet passionate philosophies, he plans to make an offering to Ladd by kidnapping Eve Genoard and subsequently capturing Jacuzzi Splot, who has been living in the Genoard mansion with his gang. Meanwhile, Jacuzzi and his gang take in an unfamiliar woman, Elmer C. Albatross pays a visit to the prison to meet an old friend, and Czeslaw Meyer runs into the man he hoped he would never see again. These seemingly separate storylines merge, tying up several loose ends and revealing the whole truth of the anomaly that occurred aboard the Advena Avis in 1711. [Written by MAL Rewrite]","['Prequel (TV) Baccano!', 'Adaptation (Manga) Baccano! 1931 The Grand Punk Railroad', 'Adaptation (Manga) Baccano!', 'Adaptation (Light Novel) Baccano!']",Baccano! Specials,,,,
141,,かのこん,,,,,['Special'],12,Finished Airing,"Jun 25, 2008 to Nov 21, 2008",,,"None found,","None found,",['Xebec'],['Light novel'],,,2 min. per ep.,R+ - Mild Nudity,6.39,#7733,#4064,"33,993",27,15077,Uncensored 2-minute DVD Specials of Kanokon.,[],Kanokon Specials,,,['Ecchi'],
142,Zombie-Loan OVA,ZOMBIE-LOAN ゾンビローン,Zombie-Loan,Zombie Loan,,Zombie Loan,['Special'],2,Finished Airing,"Apr 25, 2008",,,"['Xebec', 'Nihon Ad Systems']",['Discotek Media'],['XEBEC M2'],['Manga'],"['Action', 'Horror', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,6.97,#4520,#4336,"29,529",18,15393,The series was originally planned to be 20+ episodes but was cut short due to unknown circumstances. These specials released on the 7th DVD volume continue the story.,"['Prequel (TV) Zombie-Loan', 'Adaptation (Manga) Zombie-Loan']",Zombie-Loan Specials,,['Shounen'],,
143,,ソウルイーターレイトショー,,,,,['Special'],51,Finished Airing,Apr 2008 to Mar 2009,,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Media Factory']",['Funimation'],['Bones'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,1 min. per ep.,PG-13 - Teens 13 or older,6.86,#5015,#4377,"29,067",42,8362,"Additional specials included in two Blu-ray Box volumes of Soul Eater. Originally they were a part of late-night version of dual broadcast of Soul Eater; the regular Monday 6:00 p.m. version and a late-night ""Soul Eater Late Show"" version. Special footage was added at the start and end of the commercial break; the next episode preview was also different from the regular version. (Source: Wikipedia)",[],Soul Eater: Late Night Show,,,,
144,"Aria the Origination Special, Aria the Origination: In That Secret Little Place..., Aria the Origination Episode 5.5",その ちょっぴり秘密の場所に…,Aria the Origination Episode 5.5: That Little Secret Place…,,,Aria The Origination: Un Endroit Plus ou Moins Secret,['Special'],1,Finished Airing,"Jun 25, 2008",,,"['TV Tokyo', 'Media Factory', 'Shochiku', 'Mag Garden']",['Nozomi Entertainment'],['HAL Film Maker'],['Manga'],,,24 min.,G - All Ages,7.95,#726,#4896,"22,426",28,10187,"With Aria Company closed for the day and her friends attending to other matters, Akari Mizunashi seizes this rare opportunity to go on a casual outing around Neo-Venezia with President Aria Pokoteng. Although her Prima Undine gondola training has taken her to many remarkable tourist spots, Akari finds greater exhilaration reveling in the ordinary sights and sounds of the town. As Akari and President Aria stroll through Neo-Venezia on their own exciting itinerary, some familiar faces are not far behind. Drawn into their private tour, they too may discover a new perspective of the city. [Written by MAL Rewrite]","['Adaptation (Manga) Aria', '']",Aria the Origination: Sono Choppiri Himitsu no Basho ni...,['Iyashikei'],['Shounen'],['Slice of Life'],
145,Ef: A Fairy Tale of the Two,ef - a tale of melodies. ~prologue~,,,,,['Special'],1,Finished Airing,"May 10, 2008",,,"None found,","None found,",['Shaft'],Visual novel,,,4 min.,PG-13 - Teens 13 or older,7.22,#3253,#5183,"19,631",10,8242,The prologue of ef - a tale of melodies.,"['Sequel (TV) ef: A Tale of Melodies.', '']",ef: A Tale of Melodies. - Prologue,['Music'],,,
146,Code Geass: Hangyaku no Lelouch R2 Omake Flash - Kaette Kita Baba Gekijou,コードギアス 反逆のルルーシュ おまけFLASH「帰ってきたBABA劇場」,Code Geass: Lelouch of the Rebellion R2 Extra Flash - Baba Theater Redux,,,,['Special'],9,Finished Airing,"Aug 22, 2008 to Apr 24, 2009",,,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,,,1 min. per ep.,PG-13 - Teens 13 or older,5.72,#11279,#5396,"17,616",16,5900,9 flash anime specials included in the Code Geass R2 DVDs and BDs.,[],Code Geass: Hangyaku no Lelouch R2 Omake Flash,['Parody'],,['Comedy'],
147,"Tower of Druaga: The Aegis of Uruk Alternate First Episode, Tower of Druaga: The Aegis of Uruk Special",ドルアーガの塔 〜the Aegis of URUK〜 「ジルの冒険」,Tower of Druaga: The Aegis of Uruk - Jil's Adventure,,,,['Special'],1,Finished Airing,"Apr 4, 2008",,,"None found,",['Funimation'],['Gonzo'],Game,"['Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,7.07,#4061,#5669,"15,469",13,6817,"This is a special ""back-side"" (ura) episode aired on GyaO simultaneously with original broadcast which features the background story from party's side instead of Jil's. (Source: AniDB)",[],Druaga no Tou: The Aegis of Uruk - Jil no Bouken,,,,
148,,ストレンヂア -無皇刃譚-,Sword of the Stranger Pilot,Sword of the Stranger,,Sword of the Stranger,['Special'],1,Finished Airing,"Apr 11, 2008",,,"None found,","None found,",['Bones'],Original,"['Action', 'Adventure']","['Historical', 'Samurai']",3 min.,R - 17+ (violence & profanity),7.01,#4325,#6068,"12,969",26,4897,"Young Nanashi is a drifting samurai under the service of an enigmatic monk who teaches the ways of life. In search for the meaning of life, Nanashi is forced to partake in certain horrendous acts to overcome the corrupt governments of China and Japan. The mysterious and observant samurai is forced to show a dark side to accomplish his goals and rescue society. [Written by MAL Rewrite]",[],Stranger: Mukou Hadan Pilot,,,,
149,,ARIA The ORIGINATION (アリア ジ・オリジネーション ピクチャードラマ),Aria The Origination Picture Drama,,,,['Special'],7,Finished Airing,"Apr 25, 2008 to Oct 25, 2008",,,"None found,",['Nozomi Entertainment'],['HAL Film Maker'],['Manga'],"['Fantasy', 'Sci-Fi', 'Slice of Life']",,7 min. per ep.,G - All Ages,7.00,#4401,#6243,"12,063",15,5234,"The path to becoming a Prima Undine—a guide who can lead tours on her gondola—-is long and arduous, but that does not mean there is no time to enjoy the pleasures Neo-Venezia has to offer! For Akari Mizunashi and her Undine companions, Aika S. Granzchesta and Alice Carroll, participating in various fun activities provides much-needed downtime from their intense Prima Undine training. Joined by friends whom they have met throughout their journey, the girls make unforgettable memories that shine brighter for being in the city of miracles. [Written by MAL Rewrite]",[],Aria the Origination Picture Drama,['Iyashikei'],['Shounen'],,
150,Friagne and Marianne's Why What Shana! Ask Anything Question Box,フリアグネ&マリアンヌのなぜなにシャナ!なんでも質問箱!,,,,,['Special'],8,Finished Airing,"Jan 25, 2008 to Aug 29, 2008",,,"None found,",['Funimation'],['J.C.Staff'],['Light novel'],"['Comedy', 'Fantasy']",,4 min. per ep.,PG-13 - Teens 13 or older,6.37,#7849,#7383,"8,039",1,2337,A series of short specials where Friagne and Marianne explain different terms from the second season of Shakugan no Shana.,"['Prequel (Special) Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako!', '']",Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2,['Urban Fantasy'],,,
151,Blassreiter Navigator,ブラスレイター・ナビ,,,,,['Special'],1,Finished Airing,"Jun 22, 2008",,,"None found,","None found,",['Gonzo'],Original,"['Action', 'Drama', 'Sci-Fi']",,18 min.,R - 17+ (violence & profanity),6.25,#8563,#9301,"4,424",1,1328,This special aired between episodes 11 and 12 and recaps the events of the first eleven episodes.,[],Blassreiter: Navi,['Mecha'],,,
152,Mokke - Toorikaze,もっけ,Mokke Special Episodes,,,,['Special'],2,Finished Airing,"Jan 25, 2008 to May 23, 2008",,,['Kodansha'],"None found,",['Madhouse'],['Manga'],"['Mystery', 'Slice of Life', 'Supernatural']",,23 min. per ep.,PG - Children,6.81,#5291,#11209,"2,466",0,940,Mokke Special Episodes: 1. Toorikaze (Passing Wind) 2. Mitsua Shigaeru,[],Mokke Specials,['Iyashikei'],['Seinen'],,
153,,ひだまりスケッチ,,,,,['Special'],1,Finished Airing,"Jun 4, 2008",,,"['Aniplex', 'Lantis']","None found,",['Shaft'],['4-koma manga'],,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",43 min.,PG-13 - Teens 13 or older,6.33,#8077,#12277,"1,773",0,450,"Recap of Hidamari Sketch series included on the limited edition DVD """"Hidamari Sketch Fan Disc / Mousugu! Hidamari Sketch x 365"".",[],Hidamari Sketch Recap,,,['Slice of Life'],
154,Bamboo Blade Specials,バンブーブレード：ふぁんふ～ふふぇ～ふぉ,,,,,['Special'],2,Finished Airing,"Apr 23, 2008 to Jun 25, 2008",,,"None found,","None found,",['AIC ASTA'],['Manga'],"['Comedy', 'Sports']","['Combat Sports', 'Parody']",3 min. per ep.,G - All Ages,5.52,#12035,#12829,"1,486",1,359,Bamboo Blade specials released on DVD volumes 4 and 6. Done in a chibi flash animation style and set to bizzare scenarios.,[],Bamboo Blade: Fanfu-Fufe-Fo,,,,
155,Doraemon Crayon Shin-chan Haru da! Eiga da! 3-Jikan Anime Matsuri 2,ドラえもん (2005) Specials,,,,,['TV Special'],Unknown,Currently Airing,"Apr 15, 2005 to ?",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,45 min.,PG - Children,6.79,#5403,#12792,"1,503",5,469,"59 Doraemon (2005) TV Specials exist as of January 24, 2018.",[],Doraemon (2005) Specials,,['Seinen'],['Comedy'],
156,Yatterman Episode 12.5 and 25.5,ヤッターマン,,,,,['Special'],2,Finished Airing,"May 5, 2008 to Nov 24, 2008",,,"None found,","None found,",['Tatsunoko Production'],Unknown,"['Adventure', 'Comedy']",,49 min. per ep.,G - All Ages,6.11,#9307,#15013,816,0,217,"Two extended specials. The first one parodies Monta Mino, a famous real life Japanese entertainer. The second one parodies the US television show ""24"".",[],Yatterman Specials,['Parody'],,,
157,,クレヨンしんちゃん Specials,,,,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,48 min.,G - All Ages,[],#17446,#15451,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,['School'],['Seinen'],,
