,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Themes,German,Demographic,Genre,Spanish,Demographics
55,さくらももこ劇場 コジコジ,Coji-Coji,['TV'],100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",['Fall 1997'],Saturdays at 17:30 (JST),['Aniplex'],"None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,25 min. per ep.,G - All Ages,6.28,#8387,#14568,926,1,191,"The only thing that concerns Coji Coji is enjoying life and the wonders of nature. Coji Coji’s friends, on the other hand, are a varied bunch of colorful characters whose many idiosyncrasies have a tendency to create turmoil among one another. Coji Coji’s carefree ways and tendency to shirk responsibility are sometimes a source of frustration, but his childlike wisdom has a way of resolving all of their differences. (Source: AniDB)",[],Sakura Momoko Gekijou: Coji-Coji,"Cojicoji, Koji-koji, Sakura Momoko Theatre: Kojikoji",,,,,,,
56,스피드왕 번개,Wings of Dragon,['TV'],26,Finished Airing,"May 18, 1998 to Aug 18, 1998",['Spring 1998'],Unknown,"None found,","None found,","None found,",['Light novel'],,,24 min. per ep.,None,6.17,#8968,#15068,803,1,264,Lightning Khan and a group of elementary school students compete against another team in a game of rollerblades and RC car racing as they plan to attend the National convention.,[],Seupideuwang Beongae,,,"['School', 'Strategy Game']",,,['Sports'],,
57,たこやきマントマン,Takoyaki Capeman,['TV'],77,Finished Airing,"Apr 4, 1998 to Sep 5, 1999",['Spring 1998'],Unknown,['Youmex'],"None found,",['Pierrot'],Picture book,"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.12,#9288,#15622,686,2,152,"In order to protect the earth from the aliens, the god of Takoyaki created the five warriors of justice, Takoyaki Mantle Man. They risk their lives for justice. Takoyaki Mantle Man has round face, and wear a white cape and octopus belt as their symbol. Red is a leader whose special attack is Pickled Ginger Clash. Green is an energetic and hasty boy whose special attack is Green Onion Nunchaku. Pink is a precocious girl whose special attack is Okaka Flash. Blue is a sweet crybaby whose special attack is Seaweed Buster. Yellow is a cheerful boy whose special attack is Tenkasu Beam. Takoyaki Mantle Man is cute and strong heroic characters, friendly to children. Their enemies are too silly to hate. It is a very lively and amusing story. (Source: ANN)",[],Takoyaki Mant-Man,"Takoyaki Mantoman, Takoyaki Mantman",,,,,,,
58,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,22 min. per ep.,PG - Children,[],#20605,#16833,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,,,
59,ヘリタコぷーちゃん,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Saturdays at 18:30 (JST),"None found,","None found,",['Toei Animation'],Unknown,,,25 min. per ep.,PG - Children,[],#18508,#19229,333,0,,Based on the manga by Sasaki Takemaru.,[],Heli-Tako Puu-chan,Heli-Octopus Puu-Chan,,,,['Kids'],['Comedy'],,
60,スプーンひめのスイングキッチン,,['TV'],34,Finished Airing,"Apr 7, 1997 to Apr 10, 1999",['Spring 1997'],Unknown,['NHK'],"None found,","None found,",Original,,,1 min. per ep.,PG - Children,[],#14600,#19558,311,0,,An NHK toddler's anime following a Spoon Princess and other kitchen themed characters.,[],Spoon-hime no Swing Kitchen,,,,,['Kids'],['Adventure'],,
61,こっちむいてみい子,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,8 min. per ep.,G - All Ages,[],#19507,#20216,275,1,,"The Yamada family consists of Miiko, her brother Mamoru and her parents. Both of her parents have work, so they are usually busy during the day and are outside of the house most of the time. The troubles in Yamada family are usually caused by Miiko's lazy character and her clumsiness. (Source: Official Site)","['Adaptation (Manga) Miiko desu!', 'Adaptation (Manga) Kocchi Muite! Miiko']",Kocchi Muite Miiko,"Look This Way, Miiko",,,,['Shoujo'],,,
62,ストレイシープの大冒険,The Adventure of Stray Sheep,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,5 min. per ep.,G - All Ages,[],#14613,#22482,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,,,,['Kids'],['Adventure'],,
63,ピンカと海のお友達,,['TV'],23,Finished Airing,"Apr 13, 1998 to Sep 21, 1998",['Spring 1998'],Unknown,"None found,","None found,","None found,",Unknown,,,4 min. per ep.,PG - Children,[],#21054,#28040,41,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Pinka to Umi no Otomodachi,,,,,,,,
64,機動戦士ガンダム 第08MS小隊,Mobile Suit Gundam: The 08th MS Team,['OVA'],12,Finished Airing,"Jan 25, 1996 to Jul 25, 1999",,,['Atelier Musa'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,8.00,#671,#2391,"88,713","1,159",48848,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers. As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor. [Written by MAL Rewrite]",[],Kidou Senshi Gundam: Dai 08 MS Shoutai,Kidou Senshi Gundam: Dai 08 MS Shotai,,"['Mecha', 'Military']",,,,,
65,ワンピース 倒せ！海賊ギャンザック,One Piece: Defeat the Pirate Ganzack!,['OVA'],1,Finished Airing,"Jul 26, 1998",,,['Shueisha'],"None found,",['Production I.G'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,28 min.,PG - Children,6.70,#5881,#3594,"43,490",13,23024,"While Luffy and his crew of Zoro and Nami are starving on their small boat, they are attacked by a large monster. Nami is taken away, while Luffy and Zoro wash up on shore. There they meet a young girl, Medaka, and learn of the sad history of the island. The evil Pirate Ganzack has taken away all the men in the village and enslaved them, including Medaka's father. Now Luffy, Zoro, and Medaka must infiltrate Ganzack's base in order to rescue the villagers and Nami. (Source: ANN)","['Adaptation (Light Novel) One Piece: Taose! Kaizoku Ganzack', '']",One Piece: Taose! Kaizoku Ganzack,,,,,['Shounen'],,,
66,ＡＩＫａ,Agent AIKa,['OVA'],7,Finished Airing,"Apr 25, 1997 to Apr 25, 1999",,,['Bandai Visual'],"['Bandai Entertainment', 'Central Park Media']",['Studio Fantasia'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",,27 min. per ep.,R+ - Mild Nudity,5.95,#10167,#3819,"38,836",74,15321,"A catastrophic earthquake has left Tokyo, and most of the Earth for that matter, under the sea. Aika is a salvager who retrieves various remains from the watery ruins. When Aika accepts the dangerous mission of locating and obtaining the mysterious Lagu, she discovers that she's not the only one after it.","['Prequel (OVA) AIKa Zero', '']",AIKa,,,,Agent AIKa,,,,
67,ハンターxハンター,,['OVA'],1,Finished Airing,"Jul 26, 1998",,,"None found,","None found,",['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,25 min.,PG-13 - Teens 13 or older,7.21,#3344,#4287,"30,343",58,13062,"Gon Freecss, a young boy living on Whale Island, manages to catch the local legend called the Master of the Swamp. When he brings the massive fish back to his aunt Mito, she fulfills her promise to allow Gon to take the infamous Hunter Exam. Those who pass the Hunter Exam are granted travel opportunities and privileges that most people can only dream of, so despite its incredible danger, thousands of people apply every year. Gon hopes to follow in the footsteps of his father, a famous Hunter, and discover for himself why being a Hunter is so amazing. As Gon sets out on his journey, he begins to experience the first of many difficulties that the exam will pose. [Written by MAL Rewrite]","['Adaptation (Manga) Hunter x Hunter', '']",Hunter x Hunter Pilot,,,,,['Shounen'],,,
68,銀河英雄伝説外伝／千億の星、千億の光,Legend of the Galactic Heroes Gaiden,['OVA'],24,Finished Airing,"Feb 9, 1998 to Sep 26, 1998",,,"['Kitty Films', 'Tokuma Shoten', 'Wright Staff']",['Sentai Filmworks'],['K-Factory'],Novel,"['Action', 'Drama', 'Sci-Fi']",,26 min. per ep.,R+ - Mild Nudity,8.13,#481,#4652,"25,374",69,9349,"Ginga Eiyuu Densetsu Gaiden is the first of two OVA adaptations of side stories from the Ginga Eiyuu Densetsu novel series. This first adaptation follows the achievements of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire before the fateful Battle of Astarte. The Silver-White Valley Reinhard and Kircheis graduate from their military academy and are immediately sent to the frozen frontier planet Kapche-Lanka. Unbeknownst to them, their new superior schemes to kill Reinhard on behalf of a rival of Reinhard's sister Annerose von Grünewald. Dreams of the Morning, Songs of the Night Reinhard and Kircheis are assigned to the Imperial Military Police, where they uncover the corrupt and oppressive practices of the Empire's law enforcement. They are soon ordered to investigate the murder of a student at their alma mater. Dishonor As Reinhard awaits the bestowal of his new title of Count von Lohengramm, he sends Kircheis to the artificial resort satellite Kreuznach III for a vacation. Restless from the lack of work, Kircheis assists the local police with a drug trafficking case related to an attack on a disgraced former Vice Admiral. A Hundred Billion Stars, a Hundred Billion Lights While Reinhard is still a commodore in charge of only a single squadron, he laments the incompetence of his superiors during a battle against the Free Planets Alliance. Amassing military successes under the direct command of Vice Admiral Richard von Grimmelshausen, Reinhard repeatedly clashes with Hermann von Lüneburg, a commodore and former regimental commander of the Alliance's infamous Rosen Ritter. [Written by MAL Rewrite]","['Sequel (Movie) Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Adaptation (Novel) Ginga Eiyuu Densetsu Gaiden']",Ginga Eiyuu Densetsu Gaiden,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari, Legend of the Galactic Heroes Gaiden: A Hundred Billion Stars, A Hundred Billion Lights, LoGH Gaiden",,"['Military', 'Space']",,,,,
69,ふしぎ遊戯　第二部,Mysterious Play OVA 2,['OVA'],6,Finished Airing,"May 25, 1997 to Oct 25, 1998",,,"None found,","['Media Blasters', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Adventure', 'Fantasy', 'Romance']",,33 min. per ep.,PG-13 - Teens 13 or older,7.24,#3170,#4992,"21,524",41,10788,"After Tamahome is reborn into the real world as Taka Sukunami, it does not take long until he meets Miaka Yuuki again, leading to their romance blooming once more. However, the appearance of Ren Shigyou—a new student at Miaka's high school—disturbs their blissful days. Resentful of the happy lovers, Shigyou uses his unusual manipulative skills to quickly become popular and rally his classmates against Miaka and Taka. As Shigyou's followers unexpectedly attack the pair, the two end up falling from the school's roof into a red light and are transported to The Universe of the Four Gods realm. Returning to the place where Taka once lived as Tamahome, the couple learns that an evil demon is behind the recent events. To make matters worse, Taka risks disappearing from existence unless he recovers his previous life's memories, which are stored in seven jewels. Joining forces with their former companions, Miaka and Taka embark on a quest against the clock to retrieve the precious stones before it is too late. [Written by MAL Rewrite]","['Prequel (OVA) Fushigi Yuugi OVA', 'Sequel (OVA) Fushigi Yuugi: Eikouden', 'Adaptation (Manga) Fushigi Yuugi', '']",Fushigi Yuugi: Dai Ni Bu,"Fushigi Yugi OVA 2, Fushigi Yuugi OVA 2",Fushigi Yugi - The Mysterious Play OAV 2,"['Historical', 'Isekai', 'Martial Arts']",Fushigi Yûgi - The Mysterious Play OVA 2,['Shoujo'],,Fushigi Yugi OVA 2,
70,美少女戦士セーラームーン メモリアル,Pretty Soldier Sailor Moon Memorial,['OVA'],5,Finished Airing,"Aug 7, 1998 to May 21, 1999",,,"None found,","None found,",['Toei Animation'],['Manga'],,['Mahou Shoujo'],1 hr. 30 min. per ep.,PG-13 - Teens 13 or older,7.38,#2440,#5261,"18,888",39,6801,"A summary of each season of the Sailor Moon franchise, narrated by various Sailor Moon characters.",[],Bishoujo Senshi Sailor Moon Memorial,,,,,['Shoujo'],['Romance'],,
71,真(チェンジ!!)ゲッターロボ 世界最後の日,Getter Robo: Armageddon,['OVA'],13,Finished Airing,"Aug 25, 1998 to May 25, 1999",,,"['Bandai Visual', 'Marubeni', 'Dynamic Planning']","['ADV Films', 'Discotek Media']","[""Brain's Base""]",['Manga'],"['Action', 'Adventure', 'Horror', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),7.73,#1211,#5471,"17,048",391,6892,"Dr. Saotome returns from the dead after being seemingly murdered by Getter pilot Nagare Ryoma and threatens the world with his ultimate creation: the Shin Dragon. Ryoma reluctantly teams up with his former co-pilots Jin Hayato and Tomoe Mushashi to combat Dr. Saotome. The pilots must also deal with the mysterious Invaders, aliens that have the ability to possess humans and warp their flesh to form hideous creatures. (Source: Nihon Review)","['Adaptation (Manga) Getter Robo', 'Adaptation (Manga) Getter Robo Go']",Change!! Getter Robo: Sekai Saigo no Hi,"Shin Getter Robo: The Last Day, Change!! Getter Robo: The Final Days of the World, Shin Getter Robo: Sekai Saigo no Hi",,"['Mecha', 'Psychological']",,['Shounen'],,,
72,マクロスダイナマイト7,,['OVA'],4,Finished Airing,"Dec 18, 1997 to Aug 25, 1998",,,"['Bandai Visual', 'Mainichi Broadcasting System', 'Studio Nue', 'Big West']","None found,",['Ashi Productions'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,30 min. per ep.,PG-13 - Teens 13 or older,6.80,#5352,#5770,"14,841",18,6253,"Less than a year after the events that transpired in the Macross 7 TV series, Basara leaves Fire Bomber and travels to the planet Zola. There, he meets a girl named Elma, who is a big fan of Fire Bomber. It is also on this planet where he must once again use his Spiritia powers; this time, to stop an army of poachers and Elma's father Graham from killing a group of space whales travelling within the planetary system.","['Prequel (TV) Macross 7', 'Sequel (TV) Macross F']",Macross Dynamite 7,Macross 7 Dynamite,,"['Mecha', 'Music', 'Space']",,,,,
73,万能文化猫娘ＤＡＳＨ！,All Purpose Cultural Cat Girl Nuku Nuku Dash!,['OVA'],12,Finished Airing,"Sep 23, 1998 to Dec 23, 1998",,,['Movic'],"['ADV Films', 'Discotek Media']",['Ashi Productions'],['Manga'],"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,R - 17+ (violence & profanity),6.30,#8237,#7998,"6,604",10,2573,"It's in the not too distant future. One day Nuku-Nuku dropped in and began to live with the Natsume family. Having lost her memory, Nuku-Nuku assumed the identity of a beautiful girl named Atsuko Higuchi. She was so beautiful and gentle, and besides, she was such a great cook that Ryunosuke, 14, was all smiles. However, after her arrival in town, a series of mysterious incidents started to happen in Maneki City - Experimental machines running haywire, roaring fighter aircraft flying low, mass destruction in the city. In every case, a mysterious girl was spotted at the scene of the incident. (Source: AnimeNfo)",[],Bannou Bunka Neko-Musume DASH!,"Cat Girl Nuku Nuku Dash!, Bannou Bunka Nekomusume Dash!, Cat Girl Nuku Nuku DASH!, All Purpose Cultural Cat Girl Nuku Nuku DASH!, Nuku Nuku Dash",,,,,,,
74,ジオブリーダーズ　File-X　ちびねこ奪還,Geobreeders: (File-X) Get Back The Kitty,['OVA'],3,Finished Airing,"May 21, 1998 to Oct 21, 1998",,,['Victor Entertainment'],['Central Park Media'],['Chaos Project'],['Manga'],"['Adventure', 'Comedy', 'Supernatural']",,30 min. per ep.,R+ - Mild Nudity,6.27,#8437,#9420,"4,261",7,1784,"Taba and the Girls of Kagura Total Security Inc. specialize in jobs where their enemy are ""Phantom Cats"". They have a few run ins with the various Government agencies, as well as a gang of Phantom Cats; blowing up a lot of stuff along the way. When one of their own is kidnapped, they have to get her back. (Source: ANN)","['Sequel (OVA) Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa', 'Adaptation (Manga) Geobreeders']",Geobreeders: File-X Chibi Neko Dakkan,,,,,['Seinen'],,,
75,御先祖賛江,Masquerade,['OVA'],4,Finished Airing,"Sep 25, 1998 to Mar 25, 1999",,,"['Green Bunny', 'BEAM Entertainment']","None found,",['AIC'],Original,"['Comedy', 'Mystery', 'Supernatural', 'Hentai']",,30 min. per ep.,Rx - Hentai,6.13,N/A,#10094,"3,446",9,1073,"Masquerade is the story surrounding the Hiraga bloodline in which Gen is a part of. Recently orphaned, he moves in to his grandmother's house and unwittingly triggers the Hiraga clan's curse in which nearly every member leads a tragically short life. In his grandmother's house, Gen begins to unravel vaguely remembered memories from a dream he's always had. With the help of an American graduate student, they try to uncover the secret of the Hiraga bloodline, the whispered legend of immortality that is locked in his genes, and a way to keep Gen from sharing the same fate that every one of his ancestors before him has suffered. (Source: ANN)","['Sequel (OVA) Zoku Gosenzo Sane', '']",Gosenzo Sane,,,,,,,,
76,ミッドナイトパンサー,,['OVA'],2,Finished Airing,"Aug 25, 1998 to Dec 18, 1998",,,['Green Bunny'],['Central Park Media'],['Arms'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Hentai']",,29 min. per ep.,Rx - Hentai,5.77,N/A,#10477,"3,072",7,1089,"Based on the Best-Selling Comics From CPM Manga! The traveling musical group The Pussycats is the hottest thing around. Lou, Kei and Sonya are three, sexy singers with a legion of screaming fans in every town. But these pussycats have claws. Singers by day, assassins by night. Unbeknownst to their fans, The Pussy Cats are also The Midnight Panthers—female assassins who will kill anyone if the price is right! Their next target is a despotic king who rules by fear and crushes dissension with an iron fist. But for one of the Panthers, it's not just another job... it's personal. (Source: AniDB)","['Adaptation (Manga) Midnight Panther', '']",Midnight Panther,,,,,,,,
77,同窓会,Yesterday Once More,['OVA'],4,Finished Airing,"Mar 27, 1998 to Dec 18, 1998",,,"['Pink Pineapple', 'KSS']",['Kitty Media'],['Arms'],Visual novel,,['Harem'],28 min. per ep.,Rx - Hentai,5.64,N/A,#10967,"2,648",2,793,"A young group of friends meet up for the first time in a very long time after finishing high-school. One of them remembers how once ago a girl left him Daisies and a love letter inside his locker, back in the high-school days. He has three suspects of who this secret lover could be and so there is only one way to know... by having sex with all of them. (Source: AniDB)","['Sequel (OVA) Dousou Kai Again', '']",Dousou Kai,Class Reunion: Yesterday Once More,,,Yesterday Once More,,['Hentai'],,
78,学園ソドム,Professor Pain,['OVA'],2,Finished Airing,"Aug 25, 1998 to Dec 18, 1998",,,['Green Bunny'],"None found,",['Artland'],Visual novel,,,27 min. per ep.,Rx - Hentai,5.44,N/A,#11031,"2,602",2,904,"The students of Aoi College, who are all 19 by the way, have always suspected that Professor Ohse might be some sort of pervert or cretin, but no one could have guessed how depraved he really is. As it turns out, he's really a terrorist who decides to hold the entire campus hostage, and make all of its comely young lasses submit to his desire for torture and depravity. (Source: ANN)",[],Gakuen Sodom,,Les Prisonnière du Campus,,Professor Pain - Gakuen Sodom,,['Hentai'],Professor Pain: The Guilty Party - Gakuen Sodom,
79,同級生2,End of Summer 2,['OVA'],12,Finished Airing,"Mar 22, 1996 to Dec 18, 1996",,,"['Pink Pineapple', 'KSS']","None found,",['Arms'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.59,N/A,#11087,"2,561",1,758,Based on a game by Elf.,"['Prequel (OVA) Doukyuusei: Climax', 'Sequel (OVA) Doukyuusei 2 Special: Sotsugyousei']",Doukyuusei 2,Classmates 2,,,,,['Hentai'],,
80,ショーヨノイド 真琴ちゃん,,['OVA'],2,Finished Airing,"Sep 25, 1998 to Dec 18, 1998",,,['Digital Works'],"None found,",['Y.O.U.C'],Unknown,,,26 min. per ep.,Rx - Hentai,5.30,N/A,#11676,"2,152",8,792,What happens when a mahou shoujo is killed in battle and her mind is transferred to a android whose body is in the shape of a kawaii 12-year-old girl? Why she goes to find her high school boyfriend so they can finish making love! (Source: AniDB),[],Shownoid Mako-chan,"Shownoid Makoto-chan, Shoyonoido Makoto-chan, Shoyonoido Mako-chan, Shoyonoid Makottchan",,,,,['Hentai'],,
81,ジュリエット,,['OVA'],1,Finished Airing,"Sep 4, 1998",,,['Ripple Film'],"None found,",['Public & Basic'],['Manga'],"['Comedy', 'Supernatural', 'Ecchi']",,27 min.,R+ - Mild Nudity,4.20,#13750,#11798,"2,072",1,845,"Based on the manga by U-Jin. This is a story of two siblings, Anzu and Naruto Nozaki, heirs to the fabulous Nozaki fortune. Naruto appears to be an overbearing sis-con. In fact, he's madly in love with Anzu, because they're not blood-related. He confines her to the family mansion for ""security,"" depriving her of companionship and a real life. At age 16, she starts to rebel. She smuggles in a kitten as a pet (Naruto hates cats) and then escapes in a delivery truck. Naruto catches up to her and realizes that she can't be confined like a bird in a cage. He agrees to let have a normal life, but just then, tragedy strikes (Source: Collectr)","['Adaptation (Manga) Juliet', '']",Juliet,,,,,,,,
82,超機動伝説ダイナギガ,Super Mobile Legend Dinagiga,['OVA'],2,Finished Airing,"Jul 15, 1998 to Aug 26, 1998",,,['Polygram Japan'],"None found,",['Studio Deen'],Original,,['Mecha'],27 min. per ep.,PG-13 - Teens 13 or older,4.87,#13369,#12024,"1,943",1,638,"Touno Hikari is learning to pilot robots at a training facility. While she cannot do anything right, her instructors are interested in her for some reason. As the students learn to pilot the robots, they become suspicious of the goal of the training facility. Marie Vlaanderen transfers into the facility, and her instructor says that Marie has been training for all of her life and has the best chance of awakening ""it"". (Source: ANN)",[],Chou Kidou Densetsu DinaGiga,,,,,,['Sci-Fi'],,
83,殻の中の小鳥,,['OVA'],5,Finished Airing,"Sep 24, 1998 to Mar 29, 2000",,,['Discovery'],['Media Blasters'],"None found,",Visual novel,,,29 min. per ep.,Rx - Hentai,5.44,N/A,#12318,"1,750",2,508,"Once, Foster was a young revolutionary. His days were filled money and wine, while his nights were filled with the most beautiful women in Europe. Now, fallen and disgraced, Foster is taken in by a railroad tycoon named Dred Burton. This powerful businessman has some bitter connection to Foster's past, but he still gives the young man a new life. Training high-class prostitutes for Mr. Dread, Foster tries to piece together his shattered past and lost love. One by one, girls are added to his household. The clumsy Leese, the eager Aya, the innocent Ren, and the dignified Clair all must submit to Foster's training, and serve Dred's strange ambitions. (Source: AniDB)","['Sequel (OVA) Hinadori no Saezuri', '']",Kara no Naka no Kotori,The Maiden Diaries,,,,,['Hentai'],,
84,無人島物語Ｘ,Desert Island Story X,['OVA'],4,Finished Airing,"Jul 24, 1998 to Apr 23, 1999",,,['Pink Pineapple'],['NuTech Digital'],['Triple X'],Visual novel,,,24 min. per ep.,Rx - Hentai,5.37,N/A,#12559,"1,622",2,532,"Six vivacious teen girls set out for a vacation at sea that quickly turns into a nightmare they`ll never forget. A wonderful trip turns bad when their yacht gets hijacked by a gang of ruthless criminals then shipwrecked on a deserted island. As the girls struggle to hide from the sex-crazed fiends, tempers flare and betrayal waits in the wings. Can the girls escape with their chastity intact, or will they be even able to escape alive?","['Sequel (OVA) Mujintou Monogatari XX', '']",Mujintou Monogatari X,,,,,,['Hentai'],,
85,テラストーリー,TriAngle,['OVA'],2,Finished Airing,"Aug 14, 1998 to Sep 11, 1998",,,['Daiei'],"None found,","None found,",Visual novel,,,30 min. per ep.,Rx - Hentai,5.38,N/A,#13378,"1,274",0,326,"Keisiuke is a high school student. He falls in love with Misa at first sight. Because he doesn't understand how the girl thinks, he is advised to date with other girls to study. Before the date, he happens to meet Misa and confesses his thought. Several days later, Misa finds him with another girl, and she misunderstands their relations. (Source: AniDB)",[],Terra Story,,,,,,['Hentai'],,
86,Love²ポリス,Love2 Police,['OVA'],1,Finished Airing,"Sep 25, 1998",,,['J.T.P.P.'],"None found,",['Ripple Film'],['Manga'],,,28 min.,Rx - Hentai,5.13,N/A,#13726,"1,160",0,275,The 9th series of Secret Anima adapted from the original manga by Himuro Serika.,[],Love² Police,Secret Anima Series 9 Love2 Police,,,,,['Hentai'],,
87,電脳戦隊ヴギィ'ズ★エンジェル外伝 進め! スーパー★エンジェルス!,,['OVA'],2,Finished Airing,"Aug 21, 1998 to Sep 19, 1998",,,"None found,","None found,",['J.C.Staff'],Unknown,"['Action', 'Comedy', 'Sci-Fi']",,16 min. per ep.,PG-13 - Teens 13 or older,5.59,#11854,#14810,865,0,134,SD parody version of Voogie's Angel based on its radio drama of the same name.,[],Dennou Sentai Voogie's★Angel Gaiden: Susume! Super★Angels!,"Voogie's Angel OVA, Susume! Super Angels!, Dash! Super Angels!",,"['Mecha', 'Parody']",,,,,
88,efficus この想いを君に...,,['OVA'],2,Finished Airing,"Sep 23, 1998 to Oct 23, 1998",,,['Magic Bus'],"None found,","None found,",Visual novel,,,29 min. per ep.,None,5.39,#12463,#15687,676,2,122,"Formerly the kingdom's foundations, now the Efficus Manjuu makes the pocket money of its three princesses and they must step in on its defense... (Source: AniDB)",[],Efficus: Kono Omoi o Kimi ni...,,,,,,,,
89,サムちゃんのおばけなんか怖くない,,['OVA'],1,Finished Airing,Aug 1998,,,['Sanrio'],"None found,","None found,",Original,,,10 min.,G - All Ages,[],#13880,#19738,300,0,,It's Halloween and Tuxedo Sam gets scared by ghosts. He tries to overcome his fears with his friends.,[],Sam-chan no Obake Nanka Kowaku Nai,,,,,['Kids'],['Supernatural'],,
90,からすのパンやさん／どろぼうがっこう,,['OVA'],2,Finished Airing,"Sep 11, 1998",,,"None found,","None found,",['Toei Animation'],Unknown,,,20 min. per ep.,G - All Ages,[],#19328,#20588,254,0,,A double feature based on a best-selling children's books by Satoshi Hako. Karasu no Panya-san is about a crow bakery in the forest run by a couple and their children. Dorobou Gakkou is about the self-explanatory goings-on at an educational institute with a difference. (Source: The Anime Encyclopedia),[],Karasu no Panya-san/Dorobou Gakkou,School for Thieves/Mr. Crow the Baker,,,,['Kids'],,,
91,きょうしつはおばけがいっぱい／ぼくはゆうしゃだぞ,,['OVA'],1,Finished Airing,"Jul 10, 1998",,,"None found,","None found,",['Toei Animation'],Unknown,"['Fantasy', 'Supernatural']",,45 min.,G - All Ages,[],#19718,#20704,247,0,,A double feature based on a best-selling children's books by Makiko Sato. Kyoushitsu wa Obake ga Ippai is about a boy named Dai-kun how tries to overcome his fear of ghosts when the Haunted House at his school festival turns out to be filled with real ghosts. Boku wa Yuusha da zo is about a boy named Hiro-kun who loves Hero video games and ends up switching places with one.,[],Kyoushitsu wa Obake ga Ippai/Boku wa Yuusha da zo,,,,,['Kids'],,,
92,ようこそ！エコロ島,,['OVA'],1,Finished Airing,"Jul 7, 1998",,,"None found,","None found,","None found,",Original,,,17 min.,G - All Ages,[],#16132,#20860,239,0,,"An environmental education film aimed at children. ""From what we can do now, think of a solution, discuss it with peers, and execute a plan!""",[],Youkoso! Ecolo Shima,Welcome! Ecology Island,,,,['Kids'],,,
