,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Themes,Demographic,Genre,Demographics
47,,ピーチガール,Peach Girl: Super Pop Love Hurricane,,,['TV'],25,Finished Airing,"Jan 8, 2005 to Jun 25, 2005",['Winter 2005'],Saturdays at 07:00 (JST),"['TV Tokyo', 'Marvelous Entertainment']",['Funimation'],['Studio Comet'],['Manga'],"['Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.92,#4750,#2098,"108,953",891,53705,"With her gorgeous, tan skin and long, bleached hair, former high school swim team member Momo Adachi seems like the kind of girl who could get any guy she wants. In reality, however, she is only in love with Kazuya ""Toji"" Toujigamori, a baseball player whom she fell for in junior high and who reportedly only likes pale-skinned girls. Despite her attempts to change her appearance, many of her jealous classmates have begun spreading rumors about her promiscuous and ""easy to get with"" personality. Momo's friend Sae Kashiwagi is always there to comfort her, but is secretly the source of the rumors about Momo as part of her own scheme to steal Toji. Further complicating things is Kairi Okayasu, a popular male student at Momo's high school who has publicly declared his love for her and is determined to date her. Hoping to find love in a nearly impossible predicament, Momo must navigate complicated love triangles, back-stabbing friends, and her insecurities about her appearance to discover who she really is. [Written by MAL Rewrite]","['Adaptation (Manga) Peach Girl', '']",Peach Girl,,"['Love Polygon', 'School']",['Shoujo'],,
48,,メジャー （第1シリーズ）,,,,['TV'],26,Finished Airing,"Nov 13, 2004 to May 21, 2005",['Fall 2004'],Saturdays at 18:00 (JST),"['NHK', 'NHK Enterprises', 'Shogakukan Productions']","None found,",['Studio Hibari'],['Manga'],,['Team Sports'],25 min. per ep.,PG-13 - Teens 13 or older,8.20,#387,#2159,"104,572","1,409",52722,"Gorou Honda, a little boy obsessed with baseball, has always admired his father, Shigeharu. Wishing to follow in his father's footsteps, Gorou dreams of becoming a professional baseball player. In turn, his son's starry-eyed admiration encourages Shigeharu to keep persevering, despite his late wife's death and his unsatisfying position on the second-string team Blue Ocean. Unfortunately, an elbow injury forces Shigeharu off the team, and he falls into despair. However, after an offhand joke from his childhood friend, Shigeharu reevaluates his choices and decides to keep playing, leaving behind his prime position as pitcher and taking up the bat. Now motivated more than ever, Gorou works hard to carve his way in the Japanese Little League. [Written by MAL Rewrite]","['Sequel (TV) Major S2', 'Sequel (Movie) Major Movie: Yuujou no Winning Shot', 'Adaptation (Manga) Major', '']",Major S1,,,['Shounen'],['Sports'],
49,"Campus Alice, Alice Academy",学園アリス,Gakuen Alice,,Alice Academy,['TV'],26,Finished Airing,"Oct 30, 2004 to May 14, 2005",['Fall 2004'],Saturdays at 08:06 (JST),"['Aniplex', 'Sogo Vision']",['Nozomi Entertainment'],['Group TAC'],['Manga'],,,25 min. per ep.,G - All Ages,7.64,#1456,#2173,"103,496","1,488",52976,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend! Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru. Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga. [Written by MAL Rewrite]","['Adaptation (Manga) Gakuen Alice', '']",Gakuen Alice,,"['School', 'Super Power']",['Shoujo'],['Comedy'],
50,Freshly Baked!! Ja-pan!,焼きたて!! ジャぱん,Yakitate!! Japan,,,['TV'],69,Finished Airing,"Oct 12, 2004 to Mar 14, 2006",['Fall 2004'],Unknown,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Nozomi Entertainment'],['Sunrise'],['Manga'],"['Comedy', 'Gourmet']",,24 min. per ep.,PG-13 - Teens 13 or older,7.91,#795,#2208,"101,245",927,42264,"While countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution. [Written by MAL Rewrite]","['Adaptation (Manga) Yakitate!! Japan', '']",Yakitate!! Japan,,,['Shounen'],,
51,"Boboboobo Boobobo, Bo-Bobo, Boboboubo Boubobo",ボボボーボ・ボーボボ,Bobobo-bo Bo-bobo,,,['TV'],76,Finished Airing,"Nov 8, 2003 to Oct 15, 2005",['Fall 2003'],Unknown,"['Avex Entertainment', 'Dentsu', 'TV Asahi']","['Discotek Media', 'Illumitoon Entertainment']",['Toei Animation'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,7.50,#1945,#2264,"97,746","1,147",40250,"In a futuristic world, the Maruhage Empire is a militant organization out to steal everyone's hair, and thus their freedom. But a brave man with an afro of gold and nose hairs of steel stands up against their tyranny. Bobobo-bo Bo-bobo, trained in the ways of hair, rescues a teenager named Beauty from the grunts of the Maruhage Empire. Together, they start on a journey to defeat Emperor Tsuru Tsurulina IV. As Bo-bobo meets new friends and battles foes along the way, so too does he begin his quest to save all the hairs of the world! Light-hearted and comical, Bobobo-bo Bo-bobo details a wacky adventure in which Bo-bobo and his companions fight all sorts of villains and deviants within the Maruhage Empire, all the while having a fun and exciting adventure. [Written by MAL Rewrite]","['Adaptation (Manga) Bobobo-bo Bo-bobo', '']",Bobobo-bo Bo-bobo,,"['Gag Humor', 'Parody']",['Shounen'],,
52,,クレヨンしんちゃん,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],21 min.,G - All Ages,7.80,#1030,#2402,"88,082","1,330",42193,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,,['Seinen'],,
53,Sergeant Frog,ケロロ軍曹,Sgt. Frog,,,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",['Parody'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,345","1,283",35926,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,['Shounen'],,
54,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",['Anthropomorphic'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,638",280,30613,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,,['Kids'],,
55,Black Jack 2004,ブラックジャック,,,Black Jack,['TV'],61,Finished Airing,"Oct 11, 2004 to Mar 6, 2006",['Fall 2004'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],"None found,",['Tezuka Productions'],['Manga'],,['Medical'],25 min. per ep.,PG-13 - Teens 13 or older,7.58,#1648,#3838,"38,464",211,13255,"Black Jack is an ""unregistered"" doctor with a clouded, mysterious past. He works with his little assistant Pinoko (who has a massive crush on the doctor), dealing with medical cases not very well known, which can be strange, dangerous, or not known at all. But he is a genius, and can save almost any of his patients' life (as long as they have the money for it, that is), and is known to many around the world, especially to those of medicine and science. He's a man of science himself, and does not believe much until he has seen it, yet it is many times he is surprised by love and nature often overpowering the science he bases his life in. (Source: ANN)","['Prequel (TV Special) Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'Sequel (TV) Black Jack 21', 'Adaptation (Manga) Black Jack', '']",Black Jack (TV),Black Jack,,['Shounen'],['Drama'],
56,,まほらば ~Heartful days~,,,,['TV'],26,Finished Airing,"Jan 10, 2005 to Jun 27, 2005",['Winter 2005'],Mondays at 01:30 (JST),"['Starchild Records', 'TV Tokyo Music']",['Discotek Media'],['J.C.Staff'],['Manga'],"['Comedy', 'Romance']",['Visual Arts'],23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2948,#4502,"27,429",105,10866,"Shiratori Ryuushi is a young artist-in-training, about to start studying at a vocational school. Arriving at his new lodgings, Narutakisou, he finds himself the focus of attention for the collection of weirdos that inhabit the place. He also meets and falls for the landlady, Aoba Kozue, who seems to be both lovely and charming. However, Kozue is not what she seems to be... in fact, she's more. (Source: ANN)","['Adaptation (Manga) Mahoraba', '']",Mahoraba: Heartful Days,,,['Shounen'],,
57,We Are Pretty Cure: Max Heart,ふたりはプリキュア ー マックスハート,Pretty Cure Max Heart,,Pretty Cure Max Heart,['TV'],47,Finished Airing,"Feb 6, 2005 to Jan 29, 2006",['Winter 2005'],Unknown,['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,"['Action', 'Comedy']",['Mahou Shoujo'],24 min. per ep.,G - All Ages,6.99,#4413,#5022,"21,236",51,9175,"Shortly after the fall of the Wicked King, the Queen of the Garden of Light lost her memory and came to Earth, in the form of a 12-year-old girl named Hikari Kujou. Now, she—with the help of Nagisa and Honoka, endowed with new costumes and powers—must find the 12 Heartiels, which hold the key to restoring the Queen's lost memories. For together once again, they are Pretty Cure. (Source: AniDB)","['Prequel (TV) Futari wa Precure', 'Adaptation (Manga) Futari wa Precure: Max Heart']",Futari wa Precure: Max Heart,,,,,
58,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,,Mirmo!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['School'],21 min. per ep.,G - All Ages,7.30,#2838,#5032,"21,099",137,9262,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,,,['Shoujo'],,
59,,ギャラリーフェイク,,,,['TV'],37,Finished Airing,"Jan 9, 2005 to Sep 25, 2005",['Winter 2005'],Unknown,"['TV Tokyo', 'Aniplex']","None found,","['Tokyo Kids', 'Tokyo Movie']",['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.40,#2361,#5572,"16,234",59,4033,"Fujita Reiji is the owner of an art gallery, Gallery Fake. He deals with fake items, and is also familiar with the black market. However, he has a special talent for art, and used to work for the Metropolitan Museum of Art in New York as a curator. (Source: ANN)","['Adaptation (Manga) Gallery Fake', '']",Gallery Fake,,"['Adult Cast', 'Visual Arts']",['Seinen'],['Mystery'],
60,Adventure King Beet,冒険王ビィト,Beet the Vandel Buster,,,['TV'],52,Finished Airing,"Sep 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Illumitoon Entertainment'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,6.92,#4727,#5576,"16,173",16,6935,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.","['Sequel (TV) Bouken Ou Beet Excellion', 'Adaptation (Manga) Boukenou Beet']",Bouken Ou Beet,,,['Shounen'],,
61,Beautiful Joe,ビューティフル ジョー,,,,['TV'],51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",['Fall 2004'],Saturdays at 07:00 (JST),"['TV Tokyo', 'MediaNet', 'Capcom', ""We've Inc.""]",['Geneon Entertainment USA'],['Group TAC'],Game,"['Action', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.76,#5543,#6116,"12,730",28,5766,"Joe, a red-headed movie buff, and Silvia, his girlfriend, are having a bit of relationship trouble. Silvia feels that Joe is taking her for-granted and wants to do something together for once, so Joe decides to take her to see an old action movie featuring his favorite hero, Captain Blue. What started out as a cute movie date takes a turn for the worst when Silvia is pulled into the movie by the leader of the evil organization, Jado. Joe follows her into the mysterious ""Movieland,"" and is granted a powerful device known as a V-Watch by Captain Blue himself. With it, he transforms into the action hero named ""Viewtiful Joe"" and goes off to rescue his girlfriend before she can be used by Jado to take over the world. It's a long road to go from average Joe to full-blown hero, but he'll give it his all to save both his girl and the world—and he'll do it in the most ""view-ti-ful"" way possible.",[],Viewtiful Joe,,,,,
62,Rockman EXE Stream,ロックマンエグゼStream,,,,['TV'],51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",['Fall 2004'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Game,"['Action', 'Adventure', 'Sci-Fi']",,25 min. per ep.,PG - Children,7.06,#4098,#6516,"10,934",30,4422,"A comet burns in the sky, its brilliant light shining down upon the people of Earth. At that time, a giant army of viruses invade the real world, crushing everything in their path. Netto and Enzan use cross fusion to intervene, but are whisked away to an unknown location, only to be confronted by the one responsible for the attack - Duo! (Source: Official Site)","['Prequel (TV) Rockman.EXE Axess', 'Sequel (TV) Rockman.EXE Beast']",Rockman.EXE Stream,,"['Mecha', 'School', 'Strategy Game']",,,
63,,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1936,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,
64,,アガサ・クリスティーの名探偵ポワロとマープル,Agatha Christie's Great Detectives Poirot and Marple,,,['TV'],39,Finished Airing,"Jul 4, 2004 to May 15, 2005",['Summer 2004'],Sundays at 19:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['OLM'],Novel,,['Historical'],25 min. per ep.,G - All Ages,6.87,#4962,#7248,"8,473",26,2612,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.","['Adaptation (Manga) Agatha Christie no Meitantei Poirot to Marple', '']",Agatha Christie no Meitantei Poirot to Marple,,,,['Mystery'],
65,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4018,#7394,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,El Ninja Boy Rantaró,,['Kids'],['Comedy'],
66,Galaxy Force,トランスフォーマー ギャラクシーフォース,Transformers Cybertron,,Transformers Cybertron : Un Nouveau Commencement,['TV'],52,Finished Airing,"Jan 8, 2005 to Dec 31, 2005",['Winter 2005'],Saturdays at 08:00 (JST),"['Takara', 'TV Aichi', 'Tokyu Agency', ""We've Inc.""]",['Hasbro'],['Gonzo'],Other,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.68,#6001,#7805,"6,993",38,3512,"Forced to abandon their home planet of Cybertron due to the threat of a black hole, Optimus Prime prepares to lead his Autobot warriors to Earth. Just as they are leaving, the Autobots are confronted by Vector Prime, who warns them of the threat to the galaxy if the four Cyber Planet Keys are not gathered in time. However, Megatron has plans of his own for the universe. As they embark on the search, they travel to new planets which are inhabited by different Transformer races as well as the Autobots who lead these planets.","['Prequel (TV) Transformers Superlink', '']",Transformers Galaxy Force,,,,,
67,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2626,#7910,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Chibi Maruko-chan,,['Shoujo'],['Comedy'],
68,Onmyou Tai Senki,陰陽大戦記,The Chronicle of the Big Battle between Yin and Yang,,,['TV'],52,Finished Airing,"Nov 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:00 (JST),"None found,","None found,",['Sunrise'],['Manga'],"['Adventure', 'Fantasy', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.12,#3798,#8016,"6,552",31,2050,"Riku Tachibana is an average 1st year junior high school student who was supposed to be living a peaceful, ordinary life, but just after entering junior high he ends up fighting a duel against a mysterious man calling himself “a Warrior of Earth,” and Riku’s life is changed forever! Riku discovers that he is a survivor of the believed extinct “Warriors of Heaven,” Using a device called “DRIVE” and summoning a Shikigami, or “Divine Beast,” called Kogenta to his side, Riku devotes his life to the battle against the Warriors of Earth! (Source: Sunrise)","['Adaptation (Manga) Onmyou Taisenki', '']",Onmyou Taisenki,,,['Shounen'],,
69,Atashinchi,あたしンち,My Family,,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8237,"6,118",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,
70,,デュエル・マスターズ　チャージ,,,,['TV'],52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",['Spring 2004'],Unknown,"None found,","None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy']",,21 min. per ep.,PG-13 - Teens 13 or older,6.17,#9001,#8375,"5,904",3,2934,"Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!? (Source: DuelMasters.wikia.com)","['Prequel (TV) Duel Masters', 'Sequel (TV) Zero Duel Masters']",Duel Masters Charge,,,['Kids'],,
71,"B-Legend! Battle Bedaman: Fire Spirits, Bedaman: Fire Spirits",B-伝説(ビーレジェンド)! バトルビーダマン 炎魂(ファイヤースピリッツ!),Battle B-Daman: Fire Spirits!,,,['TV'],51,Finished Airing,"Jan 10, 2005 to Dec 26, 2005",['Winter 2005'],Mondays at 18:00 (JST),"['Yomiko Advertising', 'Heewon Entertainment']","None found,","None found,",['Manga'],"['Adventure', 'Fantasy']",['Strategy Game'],23 min. per ep.,PG - Children,6.40,#7708,#8536,"5,674",14,2998,"It is not uncommon to wish upon shooting stars. But for B-DaPlayers all around the world, what they seek is not for their wishes to be granted. Gazing upon what many would assume are just rocks shrunk to the size of a pebble by atmospheric entry and fallen to the earth, the fated ones see instead what are known as Strike Shots—powerful marbles originating from the vast and mystical outer space. After achieving triumph in the war against his ultimate foes, Yamato Daiwa continues his journey as a rising B-DaPlayer, looking to obtain a new power worthy of his improved battle gear. [Written by MAL Rewrite]","['Prequel (TV) B-Legend! Battle B-Daman', 'Adaptation (Manga) B-Densetsu! Battle B-Daman']",B-Legend! Battle B-Daman Fire Spirits!,,,['Kids'],,
72,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9190,"4,612",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,['Kids'],,
73,Shen Diao Xia Lu II: Xiang Yang Feng Yun,神鵰俠侶 II 襄陽風雲,Legend of the Condor Hero II,,,['TV'],26,Finished Airing,"Jan 30, 2005 to Sep 2, 2006",['Winter 2005'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",['Historical'],20 min. per ep.,PG-13 - Teens 13 or older,7.23,#3220,#9558,"4,071",5,1536,Sequel to Shin Chou Kyou Ryo: Condor Hero.,"['Prequel (TV) Shin Chou Kyou Ryo: Condor Hero', 'Sequel (TV) Shin Chou Kyou Ryo: Condor Hero III']",Shin Chou Kyou Ryo: Condor Hero II,,,,,
74,,どーもくん,,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7542,#10461,"3,085",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,
