,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Theme,Demographics
123,"Boy Maid Curo-kun: Angel's Song, Shounen Maid Curo-kun: Tenshi no Uta, Shounen Maid Kuro-kun, Anime Syonen Meido Curo-kun: Tenshi no Uta",少年メイドクーロ君 ~天使の歌~,,,,['OVA'],1,Finished Airing,"Sep 23, 2010",,,['Natural High'],"None found,",['Zyc'],['Manga'],"['Boys Love', 'Hentai']",,,33 min.,Rx - Hentai,5.47,N/A,#4979,"21,648",85,10085,"Having accumulated a massive debt, Curo Kazamiya's father has gone into hiding to evade prosecution. Since his mother passed away several years prior, Curo is forced to sell himself into the service of Miisu Hakuryuuin, a wealthy landowner and businessman. To the young boy's utmost surprise, his new owner turns out to be a benevolent master who seems to have no intention of punishing him for his father's sins. Instead, he offers Curo the opportunity to become his servant and gradually pay off the debt with his own labor. Curo is quick to agree, considering himself lucky to escape a far worse fate. However, little does he know that Miisu expects him to do tasks beyond the duties of a regular servant. [Written by MAL Rewrite]","['Adaptation (Manga) Shounen Maid Curo-kun', '']",Shounen Maid Kuuro-kun: Tenshi no Uta,,,,
124,Robotika*Robotikusu,ロボティカ＊ロボティクス,,,,['OVA'],1,Finished Airing,"Aug 16, 2010",,,"None found,",['Sentai Filmworks'],['CoMix Wave Films'],Original,"['Boys Love', 'Sci-Fi']",,,10 min.,PG-13 - Teens 13 or older,6.75,#5617,#5671,"15,459",64,6973,"Haru and Natsu are not human. They do not know what it means to be anything but a robot. Abandoned by their previous owner, Haru and Natsu are taken in by a scientist named Masa. Haru wants to feel, wants to understand how to act human, and wants to know what it means to love. Natsu is just afraid that they will be abandoned again. With Haru striving for positivity, his companion is left alone to drown in his own negative thoughts. Over and over, they ask the same question: what is love? [Written by MAL Rewrite]",[],Robotica*Robotics,,,['Psychological'],
125,"Kure-nai OAD, Kurenai OVA",紅 OVA,,,,['OVA'],2,Finished Airing,"Jul 2, 2010 to Dec 3, 2010",,,['Shueisha'],"None found,","[""Brain's Base""]",['Light novel'],"['Action', 'Comedy']",,,29 min. per ep.,PG-13 - Teens 13 or older,6.80,#5351,#5960,"13,613",3,6728,A Kure-nai OVA featuring new character designs closer to the novel/manga.,"['Adaptation (Light Novel) Kure-nai', 'Adaptation (Manga) Kure-nai']",Kure-nai OVA,,,['Childcare'],
126,,少女戦機 ソウルイーター,,,,['OVA'],1,Finished Airing,"Sep 24, 2010",,,['Lune-Pictures'],"None found,",['Schoolzone'],Visual novel,,,,26 min.,Rx - Hentai,6.29,N/A,#6429,"11,253",22,3269,"Based on an erotic game with the same name by Lune. Ryusuke is about to be kidnapped by Kimaira, but his older sister, Misa, saves him in exchange of herself. He decides to save Misa, and looks for his company, and meets Mikoto. She was also attacked by Kimaira and lost her family. At this very moment, Byakko appears and attacks Mikoto. Mikoto transforms herself into ""Soul Eater"" and has a battle against it. But Mikoto loses and is raped. Ryusuke is depressed to see what is happening in front of him, but Mikoto already decides to take a revenge... (Source: VNDB)",[],Shoujo Senki Soul Eater,,['Hentai'],,
127,,美熟母,,,,['OVA'],2,Finished Airing,"Jul 9, 2010 to Oct 8, 2010",,,['Digital Works'],"None found,",['Y.O.U.C'],Visual novel,,,,27 min. per ep.,Rx - Hentai,6.42,N/A,#7120,"8,840",36,3419,"Yohei happily lives with his mother, Kaho, and his cousin, Fumika. But one day, Kaho tells Yohei that Kaho is actually an older sister of his father, not his mother... She also tells him that his mother passed away long time ago. Yohei is shocked to hear that, but he starts seeing Kaho as a woman, not as his mother. Days later, a woman, Ikue, moves to a house next to his. When Ikue first sees Yohei, she suddenly starts crying and Kaho turns pale. Ikue tells them she is a relative of Yohei's mother and she wants to accept him as an adopted child. Of course, Kaho and Fumika turn it down... From that day, their lewd and erotic life starts... (Source: ErogeShop)",[],Bijukubo,,['Hentai'],,
128,Shin Koihime†Musou OVA,"真 恋姫†無双 群雄, 南の島でバカンスをするのこと~あと, ポロリもあるよ! ~",,,,['OVA'],1,Finished Airing,"Jul 7, 2010",,,['Marvelous Entertainment'],['Sentai Filmworks'],['Doga Kobo'],Visual novel,"['Comedy', 'Fantasy', 'Ecchi']",,,25 min.,R+ - Mild Nudity,6.63,#6338,#7298,"8,304",3,3171,"The story takes place at St. Francesca Academy. After the battle between the students ended, they all go to a southern island.","['Prequel (OVA) Koihime†Musou: Gunyuu, Seitoukaichou no Za wo Neratte Aiarasou no Koto - Ato, Porori mo Aru yo!', '']","Shin Koihime†Musou: Gunyuu, Minami no Shima de Bakansu wo Suru no Koto - Ato, Porori mo Aru yo!",,,,
129,,Je t'aime,,,,['OVA'],1,Finished Airing,"Jul 6, 2010",,,"None found,","None found,",['Production I.G'],Original,,,,11 min.,R - 17+ (violence & profanity),6.47,#7272,#7332,"8,229",15,3973,"Set in Tokyo in the near future, when all humanity has been wiped out, a lonely basset hound wanders around a deserted city. Its only wish is to feel the warmth of a human being once more.",[],Je T'aime,,['Sci-Fi'],,
130,,凌辱ファミレス調教メニュー,,,,['OVA'],2,Finished Airing,"Sep 24, 2010 to Dec 24, 2010",,,"None found,","None found,",['PoRO'],Visual novel,,,,27 min. per ep.,Rx - Hentai,6.44,N/A,#7401,"7,955",31,2746,"Sayaka's family is rich but her parents suddenly go missing. She needs to find a job to make a living but she doesn't know what to do. One day, Yuzuko offers Sayaka a part-time job at a family restaurant. She takes it and starts to work there. But Kuroki, the boss of the restaurant, tells Sayaka that her parents go missing because they failed business and they are up to their neck in debt now. To save them, to pay off their debt is the one and only way. She is at a loss what to do but Kuroki gives her an idea, ""Our restaurant offers special service only during midnight. If you put yourself on the menu book, it will be quicker to pay off the debt."" After business hours, there are waitresses giving sexual service to customers night after night. Sayaka decides to work midnight to save her parents... (Source: ErogeShop)",[],Ryoujoku Famiresu Choukyou Menu,,['Hentai'],,
131,"Absolutely Lovely Children, Zettai Karen Children OAD, ZKC OVA",絶対可憐チルドレン OVA 〜愛多憎生! 奪われた未来?〜,,,,['OVA'],1,Finished Airing,"Jul 16, 2010",,,['Shogakukan-Shueisha Productions'],"None found,",['SynergySP'],['Manga'],"['Action', 'Comedy']",,['Shounen'],25 min.,PG-13 - Teens 13 or older,7.14,#3721,#7599,"7,460",4,2929,An OVA that takes place during the manga's middle school storyline.,"['Prequel (TV) Zettai Karen Children', '']",Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,,,['Super Power'],
132,Hitoriga Counseling,独蛾 THE ANIMATION,,,,['OVA'],4,Finished Airing,"Jun 26, 2009 to Sep 22, 2010",,,['Pink Pineapple'],"None found,","['Office Take Off', 'Cafe de Jeilhouse']",['Manga'],,,,28 min. per ep.,Rx - Hentai,6.22,N/A,#7825,"6,954",18,2540,"On the train to school one day, Shirakawa Sumire is molested. However, when she confides in teacher Takahashi, the nightmare escalates... (Source: AniDB)","['Adaptation (Manga) Hitoriga', '']",Hitoriga The Animation,,['Hentai'],,
133,,姦染3,,,,['OVA'],2,Finished Airing,"Sep 24, 2010 to Dec 24, 2010",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,,29 min. per ep.,Rx - Hentai,6.33,N/A,#7870,"6,858",11,2248,"Four years have passed since the initial outbreak of the Unknown virus epidemic, and the terrifying plague which depopulated the Tohoku region of Japan has been reduced to a mere memory, thanks to drastic quarantine measures coupled with an effective vaccine. But the Unknown virus is not dead yet and soon, very soon, an unescapable doom will fall upon Wataru Ayase and his family and friends, trapping them inside the ""Hell on Earth"" madhouse which originally was their home city, Tokyo... (Source: VNDB)","['Prequel (OVA) Kansen 2: Inzai Toshi', 'Sequel (OVA) Kansen 5: The Daybreak']",Kansen 3: Shuto Houkai,,['Hentai'],,
134,,寝取られファイター ヤリっちんぐ!,The Lewd Boat,,,['OVA'],3,Finished Airing,"Jul 16, 2010 to Feb 18, 2011",,,"['MS Pictures', 'BOOTLEG']",['Kitty Media'],['T-Rex'],['Manga'],,,,21 min. per ep.,Rx - Hentai,6.34,N/A,#7894,"6,812",32,2472,"Ai has been captured and is held hostage at a luxury ship, Harry goes to her rescue but when he arrives he witnesses Ai's humiliation at the hands of Onizaki and his goons. Harry and his friends cant do anything but witness Ai being sexually abused, what's worst Ai will be the main attraction in the ships ""special ring""...",[],Netorare Fighter Yaricchingu!,,['Hentai'],,
135,,乙女蹂躙遊戯～Maiden Infringement Play～,,,,['OVA'],2,Finished Airing,"Aug 27, 2010 to Nov 26, 2010",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,,29 min. per ep.,Rx - Hentai,6.22,N/A,#8412,"5,849",17,1745,"Kurata Ibuki and Miyauchi Akira are two very attractive virgin girls. Happily thinking they just won a prize at a summer resort for week, turns out to be a trick from some upper-class students at their school. The mastermind behind this whole ""abduction"" now have a whole week to train them to sex slaves. Will he successfully turn them to the dark side or will they struggle to the end and prevail?",[],Otome Juurin Yuugi: Maiden Infringement Play,,['Hentai'],,
136,,ToHeart2 adnext,,,,['OVA'],2,Finished Airing,"Sep 23, 2010 to Dec 22, 2010",,,"None found,","None found,",['Chaos Project'],Visual novel,"['Comedy', 'Romance']",,,28 min. per ep.,PG-13 - Teens 13 or older,6.72,#5797,#8554,"5,641",4,2096,"Komaki Manaka daydreams about classmate Kono Takaaki but is too shy to talk to boys. As Takaaki-kun helps her in the library they resolve to have training sessions there, calling each other by first name. When Manaka addresses Takaaki-kun outside the library, his buddy Kosaka Yuji overhears them and tells their classmates how close these two have become, causing a surprising effect on other girls around Takaaki. (Source: ANN)","['Prequel (OVA) To Heart 2 AD Plus', 'Sequel (OVA) To Heart 2: Dungeon Travelers', 'Adaptation (Manga) To Heart 2: Another Days', '']",To Heart 2 Adnext,,,['Harem'],
137,,ネトラレ ～田辺優香の独白～,,,,['OVA'],1,Finished Airing,"Aug 9, 2010",,,['ChiChinoya'],"None found,",['Studio Boogie Nights'],Original,,,,17 min.,Rx - Hentai,5.54,N/A,#8938,"5,003",17,1684,"A housewife gets raped by a random guy and continues to have sex with him while her husband is away. Netorare, used to define a genre of Eroge (Hentai Game), meaning ""Cuckold"". In short, the main protagonist's loved one(s) are taken or seduced away from him and the heroine might be willing or unwilling. This is to cause an emotion of deep jealousy on the viewer.",[],Netorare: Tanabe Yuuka no Dokuhaku,,['Hentai'],,
138,,指先案内人 汁だく接待 おかわり三杯目,Sex Salon,,,['OVA'],3,Finished Airing,"Sep 17, 2010 to Dec 17, 2010",,,['MS Pictures'],['Kitty Media'],['Office No. 8'],Visual novel,,,,22 min. per ep.,Rx - Hentai,5.78,N/A,#9461,"4,203",10,1287,"A much coveted beauty salon popular among young ladies is actually a trap for innocent young women. Guided slowly into perverse activities, they are filmed in secret and blackmailed by the manager and assistant.",[],Yubisaki Annainin Shirudaku Settai Okawari Sanbaime,,['Hentai'],,
139,,せめ♥ちち,,,,['OVA'],2,Finished Airing,"Sep 10, 2010 to Dec 10, 2010",,,['Digital Works'],"None found,",['Y.O.U.C'],['Manga'],,,,27 min. per ep.,Rx - Hentai,5.96,N/A,#9706,"3,894",4,1208,"Kis's father has a disdain for his son's lack of a job and desire to be a painter. When he shows up at his house, his father decides to punish Kis by offering his beloved maid, Nanaly, to strangers while Kis watches.","['Adaptation (Manga) Seme♥Chichi', '']",Seme♥Chichi,,['Hentai'],,
140,,叱って淫語 三咲主任の部下教育編,Scold with Dirty Words,,,['OVA'],1,Finished Airing,"Jul 7, 2010",,,['ChiChinoya'],"None found,",['Studio Boogie Nights'],Original,,,,17 min.,Rx - Hentai,5.57,N/A,#9931,"3,636",6,1272,Chichinoya presents another animation product about a sadistic female boss who assaults you with dirty words! (Source: AniDB),[],Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,,['Hentai'],,
141,,プリズム☆ま～じカル PRISM Generations!,,,,['OVA'],1,Finished Airing,"Aug 27, 2010",,,['Studio G-1Neo'],"None found,",['Asahi Production'],Visual novel,"['Comedy', 'Ecchi']",,,16 min.,R+ - Mild Nudity,4.98,#13240,#10005,"3,542",2,1444,"If there is one thing that magical girls like to do during their free time, relaxing in a hot spring is at the top of the list. But the dangers that await four magical girls at the hot springs differ greatly from the typical evils they fight against. While one of the girls tries to hide their true nature, the appearance of their unsavory older relatives puts further strain on what is supposed to be an enjoyable moment to unwind. [Written by MAL Rewrite]",[],Prism Magical: Prism Generations!,,,['Mahou Shoujo'],
142,Kan'in Tokkyuu: Michi Shio,姦淫特急 満潮,,,,['OVA'],2,Finished Airing,"Aug 6, 2010 to Nov 12, 2010",,,['Digital Works'],"None found,",['Y.O.U.C'],Visual novel,,,,27 min. per ep.,Rx - Hentai,5.65,N/A,#11208,"2,464",5,740,"A rumor spreads among young people that if a person gets on ""that"" train, he/she will disappear.... Most of them don't believe it, but it exists.... It's called Michishio. Michishio was invented to train young girls and make them sex slaves. At first sight, the train is completely the same as a normal train. However, it shows its true self once in a few months. The girls who get on the train are severely trained and become sex slaves.... Seiji is a train conductor. He can do whatever he wants to the girls on the train since he has a special training ability. And another Michishio now departs.... (Source: HimeyaShop)",[],Kanin Tokkyuu Michishio,,['Hentai'],,
143,Tales of Agriculture CGI Anime,もやしもん,,,,['OVA'],1,Finished Airing,"Jul 6, 2010",,,"None found,","None found,",['Shirogumi'],['Manga'],"['Comedy', 'Supernatural']",,,6 min.,PG-13 - Teens 13 or older,6.10,#9372,#11283,"2,418",1,629,"Six minutes long CGI anime of Moyashimon, bundled with the limited edition of the manga volume 9.",[],Moyashimon CGI Anime,,,['School'],
144,"Loups=Garous Picture Drama, Loups=Garous Pilot",ルー=ガルー #Overture,,,,['OVA'],2,Finished Airing,"Aug 27, 2010",,,"None found,",['Sentai Filmworks'],"['Production I.G', 'Trans Arts']",Novel,"['Mystery', 'Sci-Fi']",,,10 min. per ep.,PG-13 - Teens 13 or older,5.44,#12276,#11999,"1,952",0,725,"Picture drama and pilot released on the Loups=Garous #Overture BluRay. It was a stand-alone release separate from the film, it contained various bonus material like the picture drama and pilot as well as staff interviews and trailers.",[],Loups=Garous #Overture,,,,
145,Tono to Issho Anime DVD 1.5,殿といっしょ アニメDVD1.5巻,,,,['OVA'],1,Finished Airing,"Aug 23, 2010",,,"None found,","None found,",['Gathering'],['4-koma manga'],,"['Historical', 'Parody', 'Samurai']",['Seinen'],4 min.,PG-13 - Teens 13 or older,5.73,#11250,#14852,851,0,262,Tono to Issho OVA.,"['Adaptation (Manga) Tono to Issho', '']",Tono to Issho 1.5,,['Comedy'],,
146,PS3 no Tsukai Kata feat. Peeping Life,PS3®のつかいかた -feat.Peeping Life-,,,,['OVA'],6,Finished Airing,"Sep 26, 2010",,,['CoMix Wave Films'],"None found,","None found,",Original,"['Comedy', 'Slice of Life']",,,4 min. per ep.,G - All Ages,5.64,#11650,#16519,559,1,151,Collaboration of Peeping Life and PS3. A DVD containing 6 PS3 related Peeping Life episodes was given out at the 2010 Tokyo Game show.,[],PS3® no Tsukai Kata: feat.Peeping Life,,,,
147,,メカ☆アフロくん,Mecha Afro-kun,,,['OVA'],1,Finished Airing,"Sep 3, 2010",,,"None found,","None found,","None found,",Unknown,,,,32 min.,PG-13 - Teens 13 or older,[],#20106,#17241,482,0,,"It happened in Japan in the near future. The term ""Company"" has been joined in the latest salary cyborg, the Afro-kun ☆ mechanism.",[],Mecha☆Afro-kun,,['Comedy'],,
148,"Karigurashi no Arrietti, The Borrower Arrietty",借りぐらしのアリエッティ,The Secret World of Arrietty,Arrietty y el Mundo de los Diminutos,"Arrietty, Le Petit Monde des Chapardeurs",['Movie'],1,Finished Airing,"Jul 17, 2010",,,"None found,",['Disney Platform Distribution'],['Studio Ghibli'],Novel,"['Award Winning', 'Supernatural']",,,1 hr. 34 min.,G - All Ages,7.89,#841,#681,"371,616","1,366",233137,"While spending the summer at his aunt's house, the young but sickly Shou makes an amazing discovery: after following the house cat into the bushes, he gets a glimpse of a miniature girl about the size of his finger! Calling her kind ""Borrowers,"" as they survive on tiny bits of human possessions, the girl introduces herself as Arrietty. As he discovers that she lives in the house basement with her parents, Pod and Homily, Shou becomes imaginably excited at the idea of such unique neighbors. However, he fails to understand the adversities they face on a daily basis. In addition to keeping their existence hidden, they must also embark on perilous adventures into human territory, from the house to the outdoors, in order to make a living. Despite her parents' warnings, Arrietty befriends Shou, stirring up unexpected events that may change their lives forever. Delighting the eye and conquering the heart, the breath-taking story of a friendship transcending the tensions between two different human kinds begins. [Written by MAL Rewrite]",[],Karigurashi no Arrietty,Arietty: Die Wundersame Welt der Borger,,,
149,"Naruto Movie 7, Gekijouban Naruto Shippuuden: The Lost Tower",劇場版 NARUTO-ナルト-疾風伝 ザ・ロストタワー,Naruto Shippuden the Movie 4: The Lost Tower,,Naruto Shippuden Film 4: The Lost Tower,['Movie'],1,Finished Airing,"Jul 31, 2010",,,['TOHO'],['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],1 hr. 25 min.,PG-13 - Teens 13 or older,7.42,#2259,#969,"267,805",229,153653,"Led by Yamato, Naruto Uzumaki, Sakura Haruno, and Sai are assigned to capture Mukade, a rogue ninja who is pursuing the ancient chakra Ryuumyaku located underneath the Rouran ruins. While the Ryuumyaku has been sealed by the Fourth Hokage, the group fails to prevent Mukade from releasing its power. Consequently, a strong energy burst engulfs both Naruto and Yamato before they can escape. As he awakens in a magnificent yet hostile kingdom, Naruto meets its young queen Saara and three Konohagakure ninjas on a top-secret mission. They reveal to him that he has time-traveled to Rouran 20 years into the past! To make matters worse, Mukade has already infiltrated the royal court, becoming the naive queen's most trusted minister under the alias Anrokuzan. Joining forces with the three ninjas, Naruto must protect Saara's life without fail to stop the villain's plans and return to the present. [Written by MAL Rewrite]","['Adaptation (Light Novel) Gekijouban Naruto: Shippuuden - The Lost Tower', '']",Naruto: Shippuuden Movie 4 - The Lost Tower,Naruto Shippuden Film 4: The Lost Tower,,['Time Travel'],
150,Colourful,カラフル,Colorful: The Motion Picture,Colorful,Colorful,['Movie'],1,Finished Airing,"Aug 21, 2010",,,"['Aniplex', 'Sony Music Entertainment', 'Imagine']",['Sentai Filmworks'],"['Sunrise', 'Ascension']",Novel,"['Award Winning', 'Drama']",,,2 hr. 7 min.,PG-13 - Teens 13 or older,7.74,#1176,#1251,"205,624","1,284",88999,"Upon arriving at the train station of death, an impure soul is granted a second chance at life against his will. Reincarnating into the body of Makoto Kobayashi, a 14-year-old boy who recently committed suicide, the soul is tasked to identify the boy's greatest sin in life within a time limit of six months. Although it remains reluctant toward continuing life as Makoto, the soul soon begins to notice the complexities of people's emotions and actions. Deconstructing the ideas of fractured families and suicide, Colorful explores the intricacies of the daily struggles humans face but are too abashed to confront. [Written by MAL Rewrite]","['Adaptation (Novel) Colorful', '']",Colorful (Movie),Colorful,,['Reincarnation'],
151,"Gekijouban Pocket Monsters Diamond and Pearl: Phantom Ruler Zoroark, Pokemon Diamond & Pearl: Genei no Hasha Zoroark",ポケットモンスター ダイヤモンド&パール 幻影の覇者 ゾロアーク,Pokémon: Zoroark: Master of Illusions,"Pokémon Película 13: Zoroark, el Maestro de las Ilusiones",Pokémon Film 13: Zoroark Le Maitre des Illusions,['Movie'],1,Finished Airing,"Jul 10, 2010",,,"None found,","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Fantasy']",,['Kids'],1 hr. 36 min.,PG - Children,6.87,#4993,#2586,"78,166",31,46435,"The shapeshifting Pokémon Zorua and Zoroark are captured by a mysterious group intent on using their illusory powers for their own gain. They unleash Zoroark on Crown City, forcing her beforehand to take the form of Suicune, Entei, and Raikou, the guardians of the town. As Satoshi and his companions visit Crown City to watch the much-anticipated Pokémon Baccer World Cup, they encounter Zorua, who managed to escape captivity. At the same time, Zoroark goes on a rampage, unaware of Zorua's breakout. Disguised as the Legendary Beast Trio, she starts destroying the city and terrorizing its inhabitants. Will Satoshi manage to stop the deranged Pokémon before Crown City perishes? Will the sudden arrival of long-unseen Celebi change the outcome of the seemingly inevitable clash between Zoroark and the impersonated Legendary Beasts? [Written by MAL Rewrite]","['Adaptation (Manga) Gekijouban Pocket Monster Diamond & Pearl: Genei no Hasha Zoroark', '']",Pokemon Movie 13: Genei no Hasha Zoroark,Pokémon Film 13: Zoroark Meister der Illusionen,,,
152,"Gekijouban Kidou Senshi Gundam 00: A Wakening of the Trailblazer, Gundam Double O Movie",劇場版 機動戦士ガンダム00 -A wakening of the Trailblazer-,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,,,['Movie'],1,Finished Airing,"Sep 18, 2010",,,"['Bandai Visual', 'Sotsu', 'Mainichi Broadcasting System']","['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Space']",,2 hr.,R - 17+ (violence & profanity),7.30,#2808,#2887,"65,103",243,40373,"In the year 2314 AD, the world is at peace. Thanks to the sacrifices of Celestial Being and its mobile suit pilots, the people of Earth experience a time of prosperity and unity, enjoying tranquil lives once thought impossible. Celestial Being, an organization once painted as villains by the Earth Sphere Federation, now exists in public perception as a group of heroes, celebrated in film and culture. When an extraterrestrial threat arrives on Earth, threatening the newly acquired calm stasis, Celestial Being springs back into action. Led by ace pilot Setsuna F. Seiei, the Gundam Meisters of the group battle the hostile alien forces, teaming up with old rivals to protect the human race from certain doom. [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam 00 Second Season', 'Adaptation (Manga) Kidou Senshi Gundam 00: A Wakening of the Trailblazer']",Kidou Senshi Gundam 00 Movie: A Wakening of the Trailblazer,,,,
153,"Breaker Blade 3, Break Blade 3: Scars from an Assassin's Blade",ブレイク ブレイド 第三章 凶刃ノ痕,Broken Blade 3,,,['Movie'],1,Finished Airing,"Sep 25, 2010",,,['KlockWorx'],['Sentai Filmworks'],"['Production I.G', 'Xebec']",['Manga'],"['Action', 'Fantasy']","['Adult Cast', 'Mecha', 'Military']",['Shounen'],47 min.,R - 17+ (violence & profanity),7.76,#1127,#3010,"60,078",28,36399,Third Break Blade movie.,"['Prequel (Movie) Break Blade Movie 2: Ketsubetsu no Michi', 'Sequel (Movie) Break Blade Movie 4: Sanka no Chi', 'Adaptation (Manga) Break Blade', '']",Break Blade Movie 3: Kyoujin no Ato,,,,
154,"Gekijouban Naruto Soyokazeden: Naruto to Mashin to Mitsu no Onegai Dattebayo!!, Naruto: Gentle Breeze Chronicles the Film: Naruto, the Genie, and the Three Wishes Dattebayo!!",劇場版NARUTO －ナルト－ そよ風伝 ナルトと魔神と3つのお願いだってばよ！！,Naruto: The Magic Genie and the Three Wishes,,,['Movie'],1,Finished Airing,"Jul 31, 2010",,,"None found,",['VIZ Media'],['Pierrot'],Original,"['Action', 'Comedy', 'Fantasy']",,['Shounen'],14 min.,PG-13 - Teens 13 or older,6.95,#4606,#3103,"56,807",33,27112,"While enjoying a barbecue alongside team members and peers, Naruto Uzumaki stumbles upon a strange old bottle that houses a genie! The mythical being is willing to grant three wishes, but in a flurry of excitement, Naruto ends up wasting the first two. Outraged, Sasuke Uchiha and Sakura Haruno start fighting with him over the last remaining chance. As the other ninjas join the dispute, the whole matter—before they know it—turns into an all-out brawl for the precious container. [Written by MAL Rewrite]",[],Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,,,['Martial Arts'],
155,"Loups-Garous, Loups=Garous Kihi Subeki Ookami",ルー=ガルー 忌避すべき狼,,,,['Movie'],1,Finished Airing,"Aug 28, 2010",,,['Mixi'],['Sentai Filmworks'],"['Production I.G', 'Trans Arts']",Novel,"['Mystery', 'Sci-Fi', 'Suspense']",,,1 hr. 38 min.,R - 17+ (violence & profanity),6.24,#8611,#5337,"18,182",10,7746,"In a future governed through the lens of a camera, where people eat synthetic food and pursue an online existence in lieu of physical contact, a group of children begin meeting up in the real world. The aloof Ayumi Kono, the genius hacker Mio Tsuzuki, and the socially awkward Hazuki Makino set out to find the fourth member of their group, Yuko Yabe, who has gone missing. With the help of Myao Rei, an unregistered citizen proficient in martial arts, they are able to find Yuko. However, when their situation takes a sudden turn for the worse, the group stumbles headlong into a dark mystery that challenges everything they know about their world. [Written by MAL Rewrite]","['Adaptation (Manga) Loups=Garous: Kihi Subeki Ookami', 'Adaptation (Light Novel) Loups=Garous: Kihi Subeki Ookami']",Loups=Garous,,,,
156,"Kowarekake no Orgol (Movie), Half-Broken Music Box (Movie)",こわれかけのオルゴール,,,,['Movie'],1,Finished Airing,"Sep 11, 2010",,,['ElectromagneticWave'],"None found,",['Actas'],Original,"['Drama', 'Sci-Fi']",,,30 min.,G - All Ages,7.25,#3111,#5534,"16,467",20,6779,"In 2039, helper androids are widespread as general purpose electronics. Keiichiro lost his family in a traffic accident and retired from his band. One day, he finds an old model android in a garbage dump. He takes her home but after taking her to a repair shop he was told she couldn't be repaired so he planned to throw her away, but the next day he finds her making breakfast for him. Thus begin the summer days of a memoryless android and a dreamless boy. Kowarekake no Orgel was originally an independent animation released as an OVA. Later on it received a theatrical release that is a bit different and longer than the original.",[],Kowarekake no Orgel (Movie),,,['Music'],
157,"Metal Fight Beyblade Movie, Gekijouban Metal Fight Beyblade vs Taiyou: Shakunetsu no Shinryakusha Sol Blaze",劇場版メタルファイト ベイブレードVS太陽 ～灼熱の侵略者ソルブレイズ～,,,,['Movie'],1,Finished Airing,"Aug 21, 2010",,,['d-rights'],"None found,",['SynergySP'],['Manga'],"['Adventure', 'Comedy', 'Sports']",,['Kids'],1 hr. 16 min.,PG - Children,6.63,#6319,#7577,"7,519",7,3610,"It's summer vacation. In front of Ginga and Co, who are excited about a Beyblade tournament, Helios, a mysterious youth, stands in their way. In his hands, he possesses ""Sol Blaze"", a Beyblade that has been passed down since ancient times. As intense battle between Ginga vs. Helios unfolds, extreme weather develops throughout the world. (Source: ANN)",[],Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,,,,
158,Anne of Green Gables: Road to Green Gables,赤毛のアン グリーンゲーブルズへの道,,,,['Movie'],1,Finished Airing,"Jul 17, 2010",,,"None found,","None found,",['Nippon Animation'],Novel,,,,1 hr. 39 min.,G - All Ages,6.69,#5929,#10023,"3,524",7,858,"A recap film of the first 6 episodes of the TV series. Anne is an orphan full of imagination. When she arrives at her new home she learns that sometimes you have to be a sensible person too; at the same time her unique character changes, or at least attracts, the people around her. The story covers Anne's growth from about eleven to seventeen years old as she makes friends, goes to school and studies. At a difficult point in her life, Anne will have to make a hard choice and perhaps find a new dream.","['Adaptation (Manga) Akage no Anne', '']",Akage no Anne: Green Gables e no Michi,,['Adventure'],['Historical'],
159,The Messenger from the Sea,海からの使者,,,,['Movie'],1,Finished Airing,"Aug 21, 2010",,,['Katsudou-manga-kan'],"None found,","None found,",Unknown,"['Action', 'Sci-Fi']","['Mecha', 'Super Power']",,8 min.,PG-13 - Teens 13 or older,6.16,#9050,#12276,"1,772",2,885,"An independent anime project by Nosferatu. The film was screened at the Mini-Cinema Tollywood in Shimo-Kitazawa, Setagaya, Tokyo starting Saturday, August 21, 2010. (Source: AniDB)",[],Umi kara no Shisha,,,,
160,Hutch the Honeybee,昆虫物語 みつばちハッチ～勇気のメロディ～,,,,['Movie'],1,Finished Airing,"Jul 31, 2010",,,"['Yahoo! Japan', 'Mainichi Shimbun', 'RKB Mainichi Broadcasting Corporation']","None found,",['Tatsunoko Production'],Unknown,"['Adventure', 'Comedy', 'Drama']",,,1 hr. 40 min.,None,6.24,#8608,#13742,"1,149",1,529,A Hutch movie.,[],Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody,,,,
