,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Themes,French,German,Demographics
53,,テイルズ オブ ジ アビス,Tales of the Abyss,,['TV'],26,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",['Fall 2008'],Unknown,"['Bandai Visual', 'Animax', 'Bandai Namco Games', 'Atelier Musa']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,7.27,#2988,#1890,"125,358",536,50891,"The world of Auldrant is bound by the Score, a series of prophecies from centuries past that dictate the world's future. It is considered an absolute fate that everyone lives by—even people whose actions lead to bloodshed and tears. Using magical abilities known as the Fonic Arts, a war between the nation of Kimlasca-Lanvaldear and the Malkuth Empire is waged in hopes of bringing the Score's foreseen utopia to life. Tales of the Abyss follows Luke von Fabre, who spends his days locked away in his manor after being kidnapped and losing memories as a child. One day, while honing his swordsmanship, a woman named Tear attempts to assassinate his master. Luke defends him, but the clash results in the two being teleported to a distant land. Luke and Tear’s journey back quickly escalates into a quest that will either free the world from the Score's chains or destroy it completely.","['Adaptation (Manga) Tales of the Abyss', '']",Tales of the Abyss,"['Adventure', 'Drama', 'Fantasy']",,,,
54,"Shugo Chara Ninenme, Shugo Chara! Second Year",しゅごキャラ！！どきっ,Shugo Chara!! Doki,,['TV'],51,Finished Airing,"Oct 4, 2008 to Sep 25, 2009",['Fall 2008'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Satelight'],['Manga'],['Comedy'],,['Shoujo'],24 min. per ep.,PG - Children,7.42,#2271,#2127,"106,390",586,56447,"Amu Hinamori and the Seiyo Elementary Guardians continue their quest to seek out and purify X Eggs while in pursuit of the elusive Embryo—an egg said to be able to grant any wish. However, the Guardians must secure the Embryo before it falls into the hands of the nefarious Easter Corporation. As part of their plan to lure out the Embryo, Easter hires Lulu de Morcerf, an aloof girl whose ruby necklace gives her the ability to convert Heart Eggs into Mystery Eggs. These strange Mystery Eggs cannot be purified as easily as X Eggs, and they can force its owner to undergo a Character Transformation. With this growing threat, the Guardians must track down its source and put a stop to them before the matter gets out of hand. Facing insurmountable pressure from these two new objectives, will the Guardians be able to recover the Embryo while also dealing with the Mystery Eggs? [Written by MAL Rewrite]","['Prequel (TV) Shugo Chara!', 'Sequel (TV) Shugo Chara! Party!', 'Adaptation (Manga) Shugo Chara!', '']",Shugo Chara!! Doki,,"['Mahou Shoujo', 'School']",,,
55,"Hell Girl 3, Jigoku Shoujo 3",地獄少女 三鼎,Hell Girl: Three Vessels,,['TV'],26,Finished Airing,"Oct 4, 2008 to Apr 4, 2009",['Fall 2008'],Saturdays at 17:00 (JST),"['Aniplex', 'Tokyo MX']",['Sentai Filmworks'],['Studio Deen'],Original,,['Psychological'],,24 min. per ep.,R - 17+ (violence & profanity),7.60,#1573,#2140,"105,546",277,43207,"Following the events of Jigoku Shoujo Futakomori, Ai Enma, the Hell Girl, has disappeared. Her former companions decide to lead normal lives, until their absent mistress returns to them with a new companion, and in a way that none of them anticipated. Yuzuki Mikage is a normal schoolgirl who soon comes to understand the Hell Girl on an intimate level. During a dream-like trance in the bathtub, Ai kisses Yuzuki and possesses her. So when Yuzuki's friend decides to type in the name of their teacher in the Hell Correspondence website, Ai makes use of Yuzuki's body to accomplish her own task of ferrying the teacher's soul to hell. Yuzuki is disturbed by her new circumstances and wonders why she was chosen to continue Ai's work. Unfortunately for her, the Hell Girl and her assistants resume operation of Hell Correspondence, and she is dragged along for the ride towards hell itself. [Written by MAL Rewrite]","['Prequel (TV) Jigoku Shoujo Futakomori', 'Sequel (TV) Jigoku Shoujo: Yoi no Togi', 'Adaptation (Manga) Jigoku Shoujo', '']",Jigoku Shoujo Mitsuganae,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",,,,
56,,クレヨンしんちゃん,Shin Chan,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],,['School'],['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,067","1,330",42189,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,"['Comedy', 'Ecchi']",,,Shin Chan,
57,Sergeant Frog,ケロロ軍曹,Sgt. Frog,,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],,['Parody'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,330","1,281",35920,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,"['Comedy', 'Sci-Fi']",,,,
58,"Absolutely Lovely Children, ZKC",絶対可憐チルドレン,Psychic Squad,,['TV'],51,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",['Spring 2008'],Sundays at Unknown,"['TV Tokyo', 'Half H.P Studio', 'Shogakukan Productions']",['Sentai Filmworks'],['SynergySP'],['Manga'],,['Super Power'],['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2910,#3379,"48,206",123,12580,"They're cute, adorable and three of the most powerful Espers the world has ever seen: Kaoru, the brash psychokinetic who can move objects with her mind; Shiho, the sarcastic and dark natured psychometric able to pick thoughts from people's minds and read the pasts of inanimate objects like a book; and Aoi, the most collected and rational of the three, who has the ability to teleport herself and the others at will. So what to do with these potential psychic monsters in the making? Enter B.A.B.E.L., the Base of Backing ESP Laboratory, where hopefully ""The Children"" and others like them can become part of the answer to an increasing wave of psychic evolution. It's a win-win solution... Unless you're Koichi Minamoto, the overworked young man stuck with the unenviable task of field commanding a team of three pre-teen girls! (Source: Sentai Filmworks)","['Sequel (OVA) Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?', 'Adaptation (Manga) Zettai Karen Children']",Zettai Karen Children,"['Action', 'Comedy']",,,,
59,,ゴルゴ13,Golgo 13,,['TV'],50,Finished Airing,"Apr 12, 2008 to Mar 28, 2009",['Spring 2008'],Saturdays at 01:23 (JST),"['TV Tokyo', 'Sotsu', 'Half H.P Studio']",['Sentai Filmworks'],['The Answer Studio'],['Manga'],,['Adult Cast'],['Seinen'],24 min. per ep.,R+ - Mild Nudity,7.51,#1937,#3523,"45,120",245,12227,"Golgo 13 is not his real name. Then again, neither is Duke Togo, Tadashi Togo, or any number of the aliases he goes by. A man of mystery, not even the world's most prominent intelligence agencies can determine who Golgo really is, or just where he came from. But all agree that his skills are nothing short of legendary. Armed with a custom M16, Golgo is willing to take any job for any agency, from the FBI to the KGB. He has completed every contract he has ever taken and will work for anyone who can meet his price. He is both the greatest weapon and the greatest threat to any nation; no one is safe once they are in Golgo’s sights.","['Prequel (Movie) Golgo 13', 'Prequel (OVA) Golgo 13: Queen Bee', 'Adaptation (Manga) Golgo 13', '']",Golgo 13 (TV),"['Action', 'Adventure', 'Drama', 'Suspense']",,Golgo 13,,
60,,鉄のラインバレル,Linebarrels of Iron,,['TV'],24,Finished Airing,"Oct 3, 2008 to Mar 20, 2009",['Fall 2008'],Unknown,"['Akita Shoten', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],['Manga'],,['Mecha'],['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),6.89,#4889,#3573,"44,038",90,19212,"Fourteen-year-old Kouichi Hayase's life has always been a mediocre one, if not dismal. However, those days of being bullied by classmates and escaping to a fantasy of being a hero are put to an end when a certain ""accident"" bestows on him a girl and a gigantic humanoid robot called ""LINEBARREL."" The extraordinary power that Kouichi obtains puts him and everything around him on a sudden rollercoaster ride of battles, intrigues and friendship! During the course of his adventure, the boy starts to learn what life has to offer; he meets new friends, bids farewell to the old ones, but most of all he now has considerable responsibilities and is forced to confront the world around him. (Source: Official site)","['Adaptation (Manga) Kurogane no Linebarrel', '']",Kurogane no Linebarrels,"['Action', 'Sci-Fi']",,,,
61,"Kyou Kara Maou! Dai San Series, Kyou Kara Maoh! Third Series, Kyou Kara Maoh! Season 3, Maruma Third Series",今日からマ王！第3シリーズ,,Kyou kara Maou! Temporada 3,['TV'],39,Finished Airing,"Apr 3, 2008 to Feb 19, 2009",['Spring 2008'],Thursdays at 23:02 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],['Studio Deen'],['Light novel'],,['Isekai'],['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.72,#1231,#3934,"36,337",123,14500,"At the end of season 2. Yuuri defeats Shinou, but since Shinou had been defeated, Yuuri and Murata could no longer go to the Shin Makoku. However, because Yuuri had fought and defeated him, his powers had surpassed that of Shinou's, resulting in him being able to rely on his own power to return to Shin Makoku. After the ceremony at the age of 16, Yuuri slowly begins to discover that much has happened while he was away. The ten officials of the noble family have decided to make Wolfram the next Maou, but now that Yuuri has returned and taken back his role as Maou, complications arise when one noble disagrees with Yuuri returning to the throne. In addition, an ancient secret society that threatens the peace of both humans and Mazoku has risen, and a fight for the throne that now leaves the nobles wondering who is the legitimate Maou.","['Prequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Fantasy']",,Kyou kara Maou! Saison 3,Kyou kara Maou! Staffel 3,
62,,きらりん☆レボリューション,Kirarin Revolution,,['TV'],153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009",['Spring 2006'],Fridays at 18:00 (JST),"['MediaNet', 'Sony Music Entertainment', 'Shogakukan Productions']","None found,","['SynergySP', 'G&G Entertainment']",['Manga'],,['Showbiz'],['Shoujo'],22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4008,#4052,"34,211",275,14283,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love. One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS. Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol. (Source: Wikipedia)","['Adaptation (Manga) Kirarin☆Revolution', '']",Kirarin☆Revolution,"['Comedy', 'Drama', 'Romance']",,,,
63,Astro Fighter Sunred,天体戦士サンレッド,,,['TV'],26,Finished Airing,"Oct 3, 2008 to Mar 28, 2009",['Fall 2008'],Unknown,['flying DOG'],"None found,",['AIC ASTA'],['Manga'],['Comedy'],,['Seinen'],13 min. per ep.,PG-13 - Teens 13 or older,7.76,#1117,#4864,"22,866",201,6919,"Tentai Senshi Sunred is the magnificent story of the conflict between good and evil that takes place in the city of Kawasaki. Sunred, ally of justice, is dedicated to stopping the evil organization Florsheim on their quest for world domination, while General Vamp and his minions are constantly thinking up new schemes to defeat Sunred. In what sounds like a typical story, the characters make all the difference. Our hero Sunred is rude, violent, and lazy, playing pachinko all day and leeching off of his girlfriend Kayoko Uchida. Meanwhile General Vamp is polite, conscientious, and an ideal homemaker who cooks, mothers his minions, and discusses housekeeping with Kayoko, who bickers constantly with Sunred. Even the monsters of Florsheim tend to be adorable and harmless. Each episode is comprised of several shorts weighing in at anywhere from a few minutes to a few seconds, and explores the daily lives of these sworn enemies. This is the story of the battle between good and evil that takes place in Kawasaki. [Written by MAL Rewrite]","['Sequel (TV) Tentai Senshi Sunred 2nd Season', 'Adaptation (Manga) Tentai Senshi Sunred']",Tentai Senshi Sunred,,"['Gag Humor', 'Parody', 'Super Power']",,,
64,,ドラえもん (2005),,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,['Anthropomorphic'],,25 min.,PG - Children,7.71,#1259,#5003,"21,420",239,9589,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),"['Comedy', 'Sci-Fi']",,,,"['Kids', 'Shounen']"
65,"Titania, Taitania",タイタニア,Tytania,,['TV'],26,Finished Airing,"Oct 9, 2008 to Mar 26, 2009",['Fall 2008'],Thursdays at 23:32 (JST),"['Kodansha', 'Sogo Vision', 'Magic Capsule', 'Happinet Pictures', 'Sony PCL', 'MICO']",['Sentai Filmworks'],['Artland'],['Light novel'],,,,24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5390,#5119,"20,214",35,7578,"One Man vs. an Empire! Through fear and conquest, the Empire of Valdana holds the future of most of human space within its iron hands, and for generations, those hands have belonged to the Landless Lords of the ruling Tytania dynasty. But now the foundation of the empire is crumbling, pockets of rebellion are forming and when a mission sent to punish the city-state of Euriya is shockingly defeated, the man responsible becomes the target of a galaxy-wide manhunt! For Fan Hyurlick, architect of Tytania's first defeat, glory becomes desperation as his own side betrays him. Now Fan must not only save his own life, but somehow turn the tables on opponents who have whole worlds to command! (Source: Sentai Filmworks)","['Adaptation (Manga) Tytania', 'Adaptation (Light Novel) Tytania']",Tytania,"['Adventure', 'Romance', 'Sci-Fi']","['Military', 'Psychological', 'Space']",,,
66,"Blue Dragon: Tenkuu no Nana Ryuu, Blue Dragon: The Seven Dragons of Heaven",BLUE DRAGON 天界の七竜,Blue Dragon: Trials of the Seven Shadows,,['TV'],51,Finished Airing,"Apr 5, 2008 to Mar 28, 2009",['Spring 2008'],Unknown,['TV Tokyo'],['VIZ Media'],['Pierrot'],Game,,,,20 min. per ep.,PG - Children,6.55,#6781,#5242,"19,046",21,8422,"After the events of the Blue Dragon series, Shu and Bouquet join a resistance group to fight General Rogi's army of invasion.They encounter a mysterious child , Noi, who has the power to revive Shu's shadow counter-part Blue Dragon, and save her from the pursuit of a red dragon. Now Shu and his company have to set foot once again on a journey to discover the purpose of the dragons, undergo their tests and stop the chains of events which threatens the fate of humanity. (Source: ANN)","['Prequel (TV) Blue Dragon', 'Adaptation (Manga) Blue Dragon: Tenkai no Shichi Ryuu - Kuuchuu Toshi no Tatakai']",Blue Dragon: Tenkai no Shichi Ryuu,"['Adventure', 'Comedy', 'Fantasy']",,,,
67,,サザエさん,Mrs. Sazae,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],,,,24 min.,G - All Ages,6.14,#9130,#7130,"8,800",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,"['Comedy', 'Slice of Life']",,,,
68,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,El Ninja Boy Rantaró,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],['Comedy'],,['Kids'],10 min.,G - All Ages,7.08,#4017,#7391,"8,013",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,,,
69,Yuna & Stitch,スティッチ！,Stitch!,,['TV'],25,Finished Airing,"Oct 8, 2008 to Mar 25, 2009",['Fall 2008'],Wednesdays at 19:26 (JST),"['TV Asahi', 'Disney Platform Distribution']","None found,",['Madhouse'],Other,,,['Kids'],25 min. per ep.,PG - Children,6.08,#9484,#7900,"6,795",14,2508,"A spin-off series of Disney's Lilo & Stitch. In the new story, the alien creature Stitch is running off on the mad scientist Jumba's space scooter when he gets caught in a space storm and has to make an emergency landing at Izayoi Island, the southermost tip of Japan. There, he meets Yuuna, a spirited fourth-grade girl who happens to know karate. Yuuna tells Stitch about the Stone of Chitama, a mysterious object that can make any wish come true. However, he has to perform 43 good deeds to receive his wish. (Source: ANN)","['Sequel (Special) Stitch!: Piko Kara no Chousenjou', '']",Stitch!,"['Adventure', 'Comedy']",,,,
70,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,Chibi Maruko-chan,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],['Comedy'],['School'],['Shoujo'],23 min.,G - All Ages,7.34,#2626,#7914,"6,770",62,2187,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,,,
71,Spooky Kitaro,ゲゲゲの鬼太郎 (2007),,,['TV'],100,Finished Airing,"Apr 1, 2007 to Mar 29, 2009",['Spring 2007'],Sundays at 09:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],,,,23 min. per ep.,G - All Ages,6.94,#4653,#7953,"6,699",13,2193,"The classic tale of Gegege no Kitaro told yet again. The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji. One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver.","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2007),"['Comedy', 'Fantasy', 'Horror']",,,,
72,Atashinchi,あたしンち,My Family,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],,,,25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,114",63,2770,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,"['Comedy', 'Slice of Life']",,,,
73,"Yattaman New Series, Yattaman Remake, Yattaaman 2, Yatterman (2008)",ヤッターマン,,,['TV'],60,Finished Airing,"Jan 14, 2008 to Sep 27, 2009",['Winter 2008'],Unknown,"None found,","None found,",['Tatsunoko Production'],Original,,['Parody'],,25 min. per ep.,G - All Ages,6.54,#6853,#8838,"5,158",10,1405,Remake of the Yatterman series.,"['Adaptation (Manga) Yatterman', '']",Yatterman,"['Adventure', 'Comedy']",,,,
74,Usavich 3,ウサビッチ III,Usavich III,,['TV'],13,Finished Airing,"Oct 13, 2008 to May 25, 2009",['Fall 2008'],Unknown,"None found,","None found,",['Kanaban Graphics'],Original,['Comedy'],,,1 min. per ep.,PG-13 - Teens 13 or older,7.05,#4165,#9098,"4,738",6,2883,The adventures of Putin and Kirenenko continue after they escaped from jail.,"['Prequel (TV) Usavich II', 'Sequel (TV) Usavich IV']",Usavich III,,,,,
75,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,,,['Kids'],24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"['Comedy', 'Fantasy']",,,,
76,"Battle Spirits: Shonen Toppa Bashin, Battle Spirits Season 1",バトルスピリッツ 少年突破バシン,,,['TV'],50,Finished Airing,"Sep 7, 2008 to Sep 6, 2009",['Fall 2008'],Unknown,"['Toei Animation', 'Sotsu', 'Nagoya Broadcasting Network']","None found,",['Sunrise'],Card game,,['Strategy Game'],['Shounen'],23 min. per ep.,PG - Children,6.37,#7879,#9411,"4,269",13,1511,"Energetic and thrill-seeking sixth grader Toppa Bashin has his mind set on only one thing—the card game Battle Spirits. Bearing a ruby pendant inherited from his missing father, Bashin heads to school every day with excitement: not for academics, but for card battling, much to the chagrin of his peers. One day, Bashin encounters J, the child prodigy champion of Battle Spirits, who bears a similar pendant. Star-struck, Bashin challenges J to a battle. However, the battle he gets is one he did not anticipate; the two are teleported to a mysterious arena in the sky—the Isekai World—where Spirits from the game become real. Feeling that his dream is finally within arm's reach, Bashin dives headfirst into the Isekai World, encountering other card battlers with extraordinary pendants. While making his way to the top, he slowly realizes that there is more to Battle Spirits than he ever imagined. [Written by MAL Rewrite]",[],Battle Spirits: Shounen Toppa Bashin,,,,,
77,,おねがい♪マイメロディ きららっ★,,,['TV'],52,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",['Spring 2008'],Sundays at 09:30 (JST),['Sanrio'],"None found,",['Studio Comet'],Unknown,,,,20 min. per ep.,G - All Ages,6.54,#6838,#10685,"2,887",6,540,Sequel to Onegai My Melody Sukkiri.,"['Prequel (TV) Onegai My Melody Sukkiri♪', '']",Onegai♪My Melody Kirara★,"['Comedy', 'Fantasy']",,,,
78,,デュエル・マスターズ クロス,,,['TV'],100,Finished Airing,"Apr 5, 2008 to Mar 27, 2010",['Spring 2008'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Original,,,['Kids'],10 min. per ep.,PG-13 - Teens 13 or older,6.26,#8500,#11209,"2,466",2,861,"Shobu and friends fight the remaining Fua Duelists in order to defeat Zakira. Once again, they face off against the old members of Fua Duelists at the World Championship tournament. Shobu also found the terrible fate his friends faced because of these duelists in their past. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Zero', 'Sequel (TV) Duel Masters Cross Shock']",Duel Masters Cross,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,,
79,,ネットゴーストPIPOPA,Web Ghosts PiPoPa,Web Ghosts PiPoPa,['TV'],51,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",['Spring 2008'],Unknown,['Milky Cartoon'],"None found,",['Studio Hibari'],Original,,,['Kids'],24 min. per ep.,G - All Ages,6.77,#5509,#11277,"2,423",7,842,About a young boy named Akigawa Yuta who gets sucked into a virtual world through his cell phone. He meets three strange creatures that travel with him on Yuta's adventure in this strange new world.,[],Net Ghost Pipopa,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,Web Ghosts PiPoPa,Web Ghosts PiPoPa,
80,,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,,,['Kids'],10 min.,G - All Ages,6.39,#7746,#11556,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,,,
81,,ライブオン CARDLIVER 翔,,,['TV'],51,Finished Airing,"Oct 5, 2008 to Sep 27, 2009",['Fall 2008'],Unknown,"['Sotsu', 'Sakura Create']","None found,",['TMS Entertainment'],['Manga'],['Fantasy'],['Strategy Game'],,23 min. per ep.,PG - Children,6.27,#8452,#12953,"1,427",3,325,"Kakeru is a big fan of the Live On card game, like so many kids his age. However he loses every time he plays, no matter how hard he tries. Things change when one day Kakeru saves a small dog-like creature chased by weird people. The “dog” is in fact a Create Monster and gives Kakeru an unusual Live Change card, which in turn allows Kakeru to protect his newfound friend… And gets him involved in something he did not expect… (Source: ANN)",[],Live On Cardliver Kakeru,,,,,
