,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Spanish,Genre,Demographics
50,Kimi-kiss pure rouge,キミキス pure rouge,KimiKiss: Pure Rouge,,,['TV'],24,Finished Airing,"Oct 7, 2007 to Mar 23, 2008",['Fall 2007'],Unknown,"['Bandai Visual', 'Lantis']",['Sentai Filmworks'],['J.C.Staff'],Visual novel,"['Drama', 'Romance']",['School'],24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3044,#2338,"92,075",295,41595,"Kouichi Sanada and Kazuki Aihara's childhood friend Mao Mizusawa has returned after living in France for a couple of years. Kouichi is surprised to learn that, since her parents are remaining overseas for the time being, his mother has agreed to let Mao stay with them. The three friends help each other deal with the ups and downs of high school romance. (Source: ANN)","['Adaptation (Manga) KimiKiss: Various Heroines', '']",KimiKiss Pure Rouge,,,,,
51,,バンブーブレード,Bamboo Blade,,,['TV'],26,Finished Airing,"Oct 2, 2007 to Apr 1, 2008",['Fall 2007'],Tuesdays at 01:30 (JST),"['AIC', 'Square Enix', 'd-rights', 'Studio Tulip', 'KlockWorx', 'flying DOG']",['Funimation'],['AIC ASTA'],['Manga'],"['Comedy', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2853,#2366,"90,386",280,41566,"Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and willing to join the kendo team?","['Adaptation (Manga) Bamboo Blade', '']",Bamboo Blade,"['Combat Sports', 'School']",['Seinen'],,,
52,,クレヨンしんちゃん,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],21 min.,G - All Ages,7.80,#1030,#2402,"88,069","1,330",42190,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['Seinen'],Shin Chan,,
53,Sergeant Frog,ケロロ軍曹,Sgt. Frog,,,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",['Parody'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,331","1,281",35923,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,['Shounen'],,,
54,,ドラゴノーツ-ザ・レソナンス-,Dragonaut - The Resonance,,,['TV'],25,Finished Airing,"Oct 4, 2007 to Mar 27, 2008",['Fall 2007'],Unknown,"['Nihon Ad Systems', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],Original,"['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.57,#6631,#2572,"79,078",117,34150,"Twenty years prior to the story's beginning, an asteroid headed for Earth destroys Pluto. Due to Pluto's destruction, the asteroid, which is dubbed Thanatos, becomes temporarily stagnant. Now, in order to avoid Earth's impending destruction, the International Solarsystem Development Agency (ISDA) works on the ""D-Project"", and creates the ""Dragonaut"" after finding a dragon egg under the ocean. This weapon's primary purpose is to destroy the asteroid when the time comes. However, they soon find out that the asteroid is not their only threat, as powerful dragon-like creatures, which are bent on destruction, appear on Earth. After witnessing a murder by one of the creatures, Jin Kamishina, a lonely 18-year-old boy who lost his family in a shuttle accident two years ago, gets involved in the mysteries of the dragons and becomes the chosen pilot of the Dragonaut. Helping him on his journey is Toa, a mysterious girl who saves him from falling to his death after the creature attacks him. As they get deeper into the mysteries of the dragons, they encounter new friends and enemies, and also begin to develop a closer relationship. (Source: Wikipedia)","['Adaptation (Manga) Dragonaut: The Resonance', '']",Dragonaut: The Resonance,,,,,
55,"Private Evil-Eye Nougami Neuro, Demon Detective Nougami Neuro",魔人探偵 脳噛ネウロ,Neuro: Supernatural Detective,,,['TV'],25,Finished Airing,"Oct 3, 2007 to Mar 26, 2008",['Fall 2007'],Wednesdays at 01:29 (JST),"['VAP', 'Shueisha']","None found,",['Madhouse'],['Manga'],"['Comedy', 'Mystery', 'Supernatural']",,23 min. per ep.,R - 17+ (violence & profanity),7.58,#1659,#2786,"69,483",595,28467,"Yako Katsuragi is an acclaimed high school detective, who, despite her young age, has solved many cases. In fact, there seems to be no case that she cannot solve, or any culprit that escapes justice. But within the walls of her detective agency lies the secret to her prolific crime-solving skills: the cases are actually solved by her assistant, Neuro Nougami. However, to call Neuro an ordinary man would be incorrect. In reality, he is a demon, who came to the human world in search of the ultimate mystery, having already solved every mystery in the demon world. With Yako as his proxy, he feasts on the negative energy released by humans when they commit crimes. Thus, he promises to help Yako solve the mystery of her father's death. But to do so, he must avoid drawing too much attention to himself, which is why Yako plays the role of the detective. As Yako desperately searches for the truth of her father's death, the unlikely duo continues to solve case after case in order to satisfy Neuro's ravenous appetite. [Written by MAL Rewrite]","['Adaptation (Manga) Majin Tantei Nougami Neuro', '']",Majin Tantei Nougami Neuro,"['Detective', 'Mythology']",['Shounen'],,,
56,,レンタルマギカ,Rental Magica,,,['TV'],24,Finished Airing,"Oct 8, 2007 to Mar 24, 2008",['Fall 2007'],Mondays at 00:00 (JST),"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Nozomi Entertainment'],['Zexcs'],['Light novel'],"['Action', 'Mystery', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.98,#4487,#2914,"63,809",109,22069,"Due to his father's disappearance, Itsuki Iba has to take over the family business: a magician dispatch service. Their family employs countless magicians and other supernatural beings in order to send them out to help those who need magical assistance. As a leader, Itsuki now has to be tough, commanding, and reliable, but there's one problem, he's a coward. Also, in order to run a successful business, he must connect with his employees, which is more difficult than it seems due to his personality. But not only does he have to deal with his own employees, he also has to deal with those who threaten the family business. (Source: CrunchyRoll)","['Adaptation (Manga) Rental Magica', 'Adaptation (Light Novel) Rental Magica']",Rental Magica,,,,,
57,,ブルー・ドラゴン,,,,['TV'],51,Finished Airing,"Apr 7, 2007 to Mar 29, 2008",['Spring 2007'],Saturdays at 09:00 (JST),['Pony Canyon'],['VIZ Media'],['Pierrot'],Game,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,6.40,#7708,#3095,"57,045",116,29234,"As Shu's village was being attacked by an unknown enemy, he and his friends, Jiro and Kluke decide to defend their home. They soon meet warrior Zola and receive the powers of Shadow, an ability that let's them transform their shadow into a powerful monster. Shu receives one of the most powerful monsters, Blue Dragon, and they all set out to defeat their enemy. (Source: ANN)","['Sequel (TV) Blue Dragon: Tenkai no Shichi Ryuu', '']",Blue Dragon,,,,,
58,,湾岸ミッドナイト,,,,['TV'],26,Finished Airing,"Jun 15, 2007 to Sep 13, 2008",['Summer 2007'],Unknown,['OB Planning'],"None found,",['A.C.G.T.'],['Manga'],,['Racing'],25 min. per ep.,PG-13 - Teens 13 or older,7.49,#1985,#3403,"47,591",652,18538,"From dusk until dawn, street racers gather on a Tokyo highway—the Wangan Route—in search of only one thing: speed. Among them, a newcomer attracts the attention of the route's veterans after he purchases a Nissan Fairlady Z, a car infamously nicknamed The Devil Z. The newcomer ignores the warnings of Eriko Asakura, who lost her brother, Akio, in an accident involving the same vehicle. The Devil Z's new owner, who coincidentally shares the exact same name as Eriko's brother, becomes bewitched by the car's mysterious power—even after crashing twice. Now a high school dropout who works to pay for his car repairs, Akio befriends regular street racers of the area: the legendary owner of the Porsche 911 Turbo, a car known on the streets as ""Blackbird;"" the genius surgeon Tatsuya Shima; and Reina Akikawa, who works as a model by day and displays unparalleled skill in her Nissan Skyline GT-R by night. Thanks to these connections, Akio manages to find the retired designer of The Devil Z's engine, a solitary man named Jun Kitami. Following his meeting with Akio, Jun resumes building overpowered yet dangerous engines. Meanwhile, the racers of the Wangan Route are caught in a desperate race against The Devil Z with no clear end in sight. [Written by MAL Rewrite]","['Adaptation (Manga) Wangan Midnight', '']",Wangan Midnight,,['Seinen'],,['Action'],
59,"Saiunmono, Saimono, Saiunkoku Monogatari Dai 2 Series",彩雲国物語 第2シリーズ,Tales of Saiunkoku,,,['TV'],39,Finished Airing,"Apr 7, 2007 to Mar 8, 2008",['Spring 2007'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","None found,",['Madhouse'],['Light novel'],"['Adventure', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,8.00,#675,#3622,"42,903",204,18438,"Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region. However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority. Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities? [Written by MAL Rewrite]","['Prequel (TV) Saiunkoku Monogatari', 'Adaptation (Manga) Saiunkoku Monogatari', 'Adaptation (Light Novel) Saiunkoku Monogatari', '']",Saiunkoku Monogatari 2nd Season,"['Historical', 'Reverse Harem']",['Shoujo'],,,
60,,きらりん☆レボリューション,Kirarin Revolution,,,['TV'],153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009",['Spring 2006'],Fridays at 18:00 (JST),"['MediaNet', 'Sony Music Entertainment', 'Shogakukan Productions']","None found,","['SynergySP', 'G&G Entertainment']",['Manga'],"['Comedy', 'Drama', 'Romance']",['Showbiz'],22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4008,#4052,"34,220",275,14287,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love. One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS. Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol. (Source: Wikipedia)","['Adaptation (Manga) Kirarin☆Revolution', '']",Kirarin☆Revolution,,['Shoujo'],,,
61,Shion no Oh,しおんの王 - The Flowers of Hard Blood,The Flowers of Hard Blood,,,['TV'],22,Finished Airing,"Oct 14, 2007 to Mar 23, 2008",['Fall 2007'],Unknown,"['Yomiko Advertising', 'Pony Canyon', 'Fuji TV', 'DAX Production', 'Fujipacific Music', 'Universal Music Japan']","None found,",['Studio Deen'],['Manga'],"['Drama', 'Mystery', 'Suspense']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,7.49,#1980,#4110,"33,327",94,11567,"Defying the odds, middle school student Shion Yasuoka is becoming a rising star of the professional shogi world. Despite losing her family at a young age and being unable to speak due to the trauma, in her loving adoptive family and at the shogi association, she has found the necessary emotional support to move on with her life and very demanding career. Her talent attracts the attention of Satoru Hani, a successful businessman and brother of the current ""Meijin""—the title given to the defending champion of Japan's most prestigious shogi tournament. He decides to organize a tournament open to both men and women, including professional and amateur players, and urges Shion to participate in the competition. However, Satoru seems to know a lot about Shion's troubled past, and his actions bring suspicion from Shion's friend Ayumi Saitou and the police—who are still investigating the death of Shion's loved ones. As the end of Satoru's tournament approaches, Shion starts remembering events related to the night when she lost everything and will have to show her mental fortitude to defeat her opponents and foil the plans of the culprits who ruined her life. [Written by MAL Rewrite]","['Adaptation (Manga) Shion no Ou: The Flowers of Hard Blood.', '']",Shion no Ou,,,,,
62,,デルトラクエスト,Deltora Quest,,,['TV'],65,Finished Airing,"Jan 6, 2007 to Mar 29, 2008",['Winter 2007'],Saturdays at 08:00 (JST),"['Dentsu', 'Genco', 'Kodansha', 'Half H.P Studio']",['Flatiron Film Company'],['OLM'],Book,"['Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.09,#3967,#4223,"31,137",220,13133,"Long ago, the blacksmith Adin forged a belt of seven powerful gems, one from each of the seven tribes of Deltora. Wielding the belt's unparalleled power, he repelled the Shadow Lord's attempt to overthrow the kingdom. Adin was crowned king of Deltora, but he never forgot that the enemy remained unbeaten. Centuries later, memory of the Shadow Lord has become faded and almost forgotten, and the people of Deltora see their monarchy as detached and uncaring. Much to their dismay, the Shadow Lord strikes once more, breaking the Belt of Deltora by scattering the seven gems across the continent. Jarred, a close friend of the young king Endon, assists him and his wife in escaping from the castle as the Shadow Lord takes over, and they part ways to go into hiding. The Shadow Lord now reigns over Deltora and many years pass under his tyrannical rule. However, there is a glimmer of hope in Jarred's son Lief, whom he has lovingly raised and trained to find the scattered gemstones and reassemble the Belt of Deltora. Along with his companions Barda and Jasmine, Lief must face devious enemies and dangerous beasts to oust the Shadow Lord and return peace to Deltora. [Written by MAL Rewrite]","['Adaptation (Manga) Deltora Quest', '']",Deltora Quest,,['Kids'],,,
63,"Jyuushin Enbu, Jushin Enbu",獣神演武 - HERO TALES -,Hero Tales,Hero Tales,Hero Tales,['TV'],26,Finished Airing,"Oct 8, 2007 to Mar 31, 2008",['Fall 2007'],Mondays at 02:00 (JST),"['Square Enix', 'Genco', 'Tohokushinsha Film Corporation']",['Funimation'],['Studio Flag'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],24 min. per ep.,PG-13 - Teens 13 or older,6.81,#5281,#4424,"28,439",37,10401,"For citizens of the Ken Empire, justice is a myth. Lord Keiro, the deranged Shogun of the Imperial Army, blazes a trail of terror across the countryside in search of the sacred sword that will make him a god. Standing in his way is Taito, an omnipotent star reborn in human form—a young hero who vows to use his celestial strength to avenge those slaughtered by the villainous Shogun. Taito's mystical powers steer him toward a violent showdown with Keiro, and if used recklessly, his newfound abilities could shred the very fabric of his being. To master the art of control and become a heroic martial artist, Taito must seek the guidance of others like him: the seven star-born warriors with the strength to shatter a corrupt empire. (Source: RightStuf)","['Adaptation (Manga) Juushin Enbu', '']",Juushin Enbu: Hero Tales,,['Shounen'],Hero Tales,,
64,,ドラえもん (2005),,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Anthropomorphic'],25 min.,PG - Children,7.71,#1258,#5003,"21,426",239,9593,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,"['Kids', 'Shounen']"
65,,もっけ,,,,['TV'],24,Finished Airing,"Oct 3, 2007 to Mar 16, 2008",['Fall 2007'],Wednesdays at 02:45 (JST),"['Kodansha', 'Nagoya Broadcasting Network']","None found,","['Madhouse', 'Tezuka Productions']",['Manga'],"['Mystery', 'Slice of Life', 'Supernatural']",['Iyashikei'],24 min. per ep.,PG - Children,7.03,#4235,#5496,"16,776",30,3792,"This is a story about two sisters: Shizuru, is a high school student who is able to see ghosts while her younger sister, Mizuki, is haunted by these apparitions. Frustrated by their abilities, their parents decided to entrust the sisters into the care of their grandparents who live in the countryside. As they adapt to life in the countryside, Shizuru and Mizuki begin to learn about the importance of coexisting nature with these apparitions. (Source: ANN)","['Adaptation (Manga) Mokke', '']",Mokke,,['Seinen'],,,
66,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi Specials,攻殻機動隊 STAND ALONE COMPLEX タチコマな日々,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,,,['TV'],12,Finished Airing,"May 2, 2007 to Apr 13, 2008",['Spring 2007'],Unknown,"None found,","None found,",['Production I.G'],['Manga'],"['Comedy', 'Sci-Fi']",['Mecha'],3 min. per ep.,PG - Children,7.19,#3431,#6096,"12,803",7,3769,"Tachikoma TV series that aired on Animax. Unlike the previous ""Tachikoma na Hibi,"" which were auxiliary episodes to the main Ghost in the Shell SAC and 2nd GIG, the special version has longer stories based on various Japanese and Orthodox folklore. Later re-released on a BD box with all the Tachikoma shorts.",[],Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),,,,,
67,"Taiho Shichauzo: Full Throttle, Taiho Shichau zo (2007)",逮捕しちゃうぞ フルスロットル,You're Under Arrest: Full Throttle,,,['TV'],23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008",['Fall 2007'],Unknown,['TBS'],['Sentai Filmworks'],['Studio Deen'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3546,#6428,"11,257",6,3908,"Miyuki Kobayakawa, fresh from forensics training in the United States and Natsumi Tsujimoto, from completing Japanese Self-Defense Force (JSDF) ranger training return in the long-awaited 3rd season of the highly popular series. This time, the duo rejoins active duty at Bokuto Police Department, fighting against crime using their wits and brawn, plus having some misadventures along the way. (Source: ANN)","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Prequel (TV) Taiho Shichau zo Special', 'Prequel (TV Special) Taiho Shichau zo: Nagisa no Koutsuu Yuudou']",Taiho Shichau zo: Full Throttle,"['Adult Cast', 'Detective', 'Workplace']",['Seinen'],,,
68,"Lovely Detective Labyrinth, Great Detective Labyrinth",素敵探偵☆ラビリンス,Fantastic Detective Labyrinth,Fantastic Detective Labyrinth,Fantastic Detective Labyrinth,['TV'],25,Finished Airing,"Oct 3, 2007 to Mar 26, 2008",['Fall 2007'],Unknown,['Sotsu'],['Nozomi Entertainment'],['Studio Deen'],['Manga'],"['Mystery', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.64,#6244,#6544,"10,766",16,2813,"In a forgotten town known as the old capital of Tokyo, strange and mysterious crimes are progressively occuring. These supernatural occurances are beyond comprehension and bring fear and terror to the people. Only one person is not intimidated by the evil underlying these occurances and is willing to challenge them: Hyuga Mayuki, a young boy detective who holds a special insight power that allows him to uncover the real truth behind these occurances. (Source: ANN)","['Adaptation (Manga) Suteki Tantei Labyrinth', '']",Suteki Tantei Labyrinth,,['Shounen'],Fantastic Detective Labyrinth,,
69,,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9130,#7130,"8,801",39,1934,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,
70,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4017,#7391,"8,013",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,['Kids'],El Ninja Boy Rantaró,['Comedy'],
71,"Ryusei no Rockman Tribe, Shooting Star Rockman Tribe, Mega Man Shooting Star Tribe",流星のロックマン トライブ,Megaman Star Force Tribe,,,['TV'],21,Finished Airing,"Nov 3, 2007 to Mar 29, 2008",['Fall 2007'],Unknown,['Half H.P Studio'],"None found,",['Xebec'],Game,,,10 min. per ep.,PG - Children,6.94,#4628,#7787,"7,038",20,3012,"The second series is to follow the events of the second video game, focusing on the lost continent of Mu. The ancient civilization vanished ages ago, and a few of its remnants still exist as myths and legends called UMAs (unidentified lifeforms). The UMAs begin merging with humans in order to search for the treasures of Mu, the powerful ooparts, which will give them the power to revive Mu. After Subaru and War-Rock encounter several unusual enemies, they meet a professor named Doctor Orihime who sends them on a quest to find the ooparts and stop the UMAs. Using the ooparts, Rockman is able to take new forms, including Thunder Berserk, Fire Dinosaur, and Green Shinobi. (Source: Wikipedia)","['Prequel (TV) Ryuusei no Rockman', '']",Ryuusei no Rockman Tribe,,,,['Adventure'],
72,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2626,#7911,"6,775",62,2187,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,['Shoujo'],Chibi Maruko-chan,['Comedy'],
73,Spooky Kitaro,ゲゲゲの鬼太郎 (2007),,,,['TV'],100,Finished Airing,"Apr 1, 2007 to Mar 29, 2009",['Spring 2007'],Sundays at 09:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Horror']",,23 min. per ep.,G - All Ages,6.94,#4653,#7951,"6,703",13,2197,"The classic tale of Gegege no Kitaro told yet again. The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji. One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver.","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2007),,,,,
74,Atashinchi,あたしンち,My Family,,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8234,"6,116",63,2770,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,
75,"Tottoko Hamutarou Hai!, Tottoko Hamutarou: Norisuta Haai!",とっとこハム太郎は〜い!,Hamtaro Hai!,,,['TV'],77,Finished Airing,"Apr 5, 2006 to Mar 28, 2008",['Spring 2006'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,,['Anthropomorphic'],5 min. per ep.,PG - Children,6.75,#5628,#8403,"5,860",9,2306,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. (Source: Wikipedia)","['Prequel (TV) Tottoko Hamtarou', '']",Tottoko Hamtarou Hai!,,['Kids'],,['Adventure'],
