,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Theme,Genre,German,Spanish,Demographics,French
157,,西行纪之狂王,,['ONA'],9,Finished Airing,"Feb 28, 2024 to Mar 13, 2024",,,"['Tencent Animation & Comics', 'Tencent Penguin Pictures']","None found,",['BYMENT'],['Manga'],"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",17 min. per ep.,PG-13 - Teens 13 or older,[],#15408,#16581,546,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xi Xing Ji: Kuang Wang,,,,,,,
158,,隐世宗门掌教,Hidden Sect Leader,['ONA'],52,Finished Airing,"Mar 23, 2024 to Sep 7, 2024",,,"['iQIYI', 'Tianshi Wenhua']","None found,","None found,",Original,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",11 min. per ep.,PG-13 - Teens 13 or older,[],#16034,#16515,553,1,,"Jiang Beichen traveled to a fantasy world and accidentally got the strongest master system, and established the ""Xiandao Sect"". In the early days of the sect, he had to rely on abducting the son of luck to upgrade the sect. Every day, he had to pretend to be a master and bluff a group of talented disciples who admired him. Slowly, Jiang Beichen discovered that his small sect had really become the top hidden sect! (Source: iQIYI, translated)",[],Yin Shizong Men Zhang Jiao,,,,,,,
159,Great Doctor Miss Nine,神医九小姐 第二季,,['ONA'],20,Finished Airing,"Feb 11, 2024 to Apr 7, 2024",,,['Tencent Penguin Pictures'],"None found,",['Suoyi Technology'],Novel,"['Fantasy', 'Romance']",,10 min. per ep.,PG-13 - Teens 13 or older,6.63,#6350,#16664,537,0,134,Second season of Shenyi Jiu Xiaojie.,"['Prequel (ONA) Shenyi Jiu Xiaojie', '']",Shenyi Jiu Xiaojie 2nd Season,,,,,,,
160,,떳다 그녀!! another step,There She Is!! Another Step,['ONA'],1,Finished Airing,"Mar 30, 2024",,,"None found,","None found,","None found,",Original,,,12 min.,G - All Ages,6.74,#5655,#16523,555,0,176,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Tteotda Keunyeo!!', '']",Tteotda Keunyeo!! Another Step,,['Anthropomorphic'],['Comedy'],,,,
161,,小绿和小蓝 第五季,Beryl and Sapphire 5th Season,['ONA'],12,Finished Airing,"Mar 13, 2024 to May 29, 2024",,,"None found,","None found,","None found,",['Web manga'],"['Boys Love', 'Comedy', 'Drama', 'Fantasy']",,8 min. per ep.,PG-13 - Teens 13 or older,[],#15550,#16830,519,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Xiao Lu He Xiao Lan 4th Season', '']",Xiao Lu He Xiao Lan 5th Season,,,,,,,
162,JX3: Chivalrous Hero Shen Jianxin 3rd Season Part 2,剑网3·侠肝义胆沈剑心 第三季,,['ONA'],12,Finished Airing,"Jan 26, 2024 to Apr 5, 2024",,,"['bilibili', 'Seasun Pictures']","None found,",['Shengying Animation'],Game,"['Action', 'Adventure', 'Comedy']","['Historical', 'Martial Arts']",23 min. per ep.,PG-13 - Teens 13 or older,[],#16475,#17296,474,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3rd Season', 'Sequel (ONA) Jian Wang 3: Shen Jianxin de 365 Tian']",Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3rd Season Part 2,,,,,,,
163,,I.CINNAMOROLL Animation,,['ONA'],Unknown,Currently Airing,"Oct 5, 2023 to ?",,,['Sanrio'],"None found,",['J.C.Staff'],Original,,"['Anthropomorphic', 'Iyashikei']",2 min.,G - All Ages,[],#21443,#17178,484,2,,"In Cinnamoroll's origin story, a white dog flew down from the skies one day and was discovered by a female Cafe Cinnamon worker. The ""I.Cinnamoroll"" brand depicts an alternate world that poses a what-if question: What if Cinnamoroll had not met the Cafe Cinnamon worker on that fateful day? The ""I"" in the title stands for both the English first-person pronoun ""I"" and the Japanese word ""ai"" (love), and it represents the brand's theme of taking care of one's own body and mind. (Source: ANN)",[],I.Cinnamoroll Animation,['Kids'],,['Slice of Life'],,,,
164,Pokémon: A Good Day for a Dream,良辰有梦,A Good Day for a Dream,['ONA'],1,Finished Airing,"Feb 2, 2024",,,['The Pokemon Company International'],"None found,",['HMCH'],Game,,,2 min.,G - All Ages,6.57,#6657,#17279,475,0,206,"Liang Chen You Meng is a Pokémon animated short that was released on Weibo, Douyin, and Bilibili in mainland China on February 2, 2024 in celebration of Chinese New Year. (Source: Bulbapedia)",[],Liang Chen You Meng,['Kids'],,['Slice of Life'],,,,
165,"The Unknown ""Tale of Momowarou""",知られざる「モモワロウ物語」,The Untold Story of Pecharunt,['ONA'],2,Finished Airing,"Jan 11, 2024 to Jan 15, 2024",,,"None found,","None found,","['Calf Studio', 'P.I.C.S.']",Game,,,2 min. per ep.,G - All Ages,6.25,#8562,#17635,445,0,199,Signboards depicting one of Kitakami's oldest folktales are scattered throughout the land—yet none of them make mention of Pecharunt. What could be the true tale of this Mythical Pokémon?​ (Source: YouTube),[],"Shirarezaru ""Momowarou Monogatari""",['Kids'],,['Fantasy'],,,,
166,,剑仙在此 第2季,The Sword Immortal is Here,['ONA'],50,Finished Airing,"Jan 27, 2024 to Jul 6, 2024",,,['iQIYI'],"None found,",['Xing Yi Kai Chen'],['Web manga'],"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Martial Arts', 'School']",11 min. per ep.,PG-13 - Teens 13 or older,[],#16477,#17957,419,3,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Jian Xian Zai Ci', '']",Jian Xian Zai Ci 2nd Season,,,,,,,
167,Stars*Collection Special,ホロスターズ☆サバイバル～俺たちの開拓生活～,Holostars★Survival: Our Frontier Life,['ONA'],1,Finished Airing,"Mar 18, 2024",,,"None found,","None found,",['Hololive Production'],Other,,,2 min.,PG-13 - Teens 13 or older,5.99,#9974,#18742,361,0,125,A short following the eccentric and hilarious daily lives of the Holostars VTubers in a survival setting!,[],Holostars★Survival: Oretachi no Kaitaku Seikatsu,,,['Comedy'],,,,
168,,神龙星主,Dragon Star Lord,['ONA'],48,Finished Airing,"Jan 20, 2024 to Jun 22, 2024",,,['iQIYI'],"None found,",['Ruo Hong Culture'],['Web manga'],"['Action', 'Fantasy', 'Sci-Fi']",,9 min. per ep.,PG-13 - Teens 13 or older,[],#14113,#18818,353,1,,"Gu Zhengfeng was originally the divine dragon that guarded the Dragon Star. He was seriously injured in an ancient battle with alien enemies and fell into a long sleep. He wakes up and finds that the Dragon Star has changed, and is now called evil. In order to investigate and retrieve the treasure hidden in the Dragon King Academy, he changed into a human form and entered as a tutor in the Dragon Slaying Department. (Source: TVDB)",[],Shenlong Xing Zhu,,,,,,,
169,,MFゴースト BATTLE DIGEST,,['ONA'],1,Finished Airing,"Mar 19, 2024",,,"None found,","None found,",['Felix Film'],['Manga'],,,1 hr. 7 min.,PG-13 - Teens 13 or older,[],#17720,#18508,379,0,,Compilation film re-editing the original MF Ghost into a movie format.,[],MF Ghost Battle Digest,['Seinen'],['Racing'],,,,,
170,,咸鱼哥 第二季,Salted Fish 2nd Season,['ONA'],13,Finished Airing,"Feb 15, 2024 to May 2, 2024",,,"None found,","None found,",['717 Animation Studio'],Original,"['Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,[],#15461,#19617,304,1,,"The carefree Brother Xianyu is still enjoying an ordinary and happy daily life on Yushen Island. The gods from the Nantianmen Group broke the original peace of the island in order to investigate the stolen divine tablets. As unexpected events happened one after another, the mysteries surrounding the ""Fish God"" and ""Seren"" slowly unfolded due to Brother Xianyu's unexpected involvement. Faced with racial differences and worldly prejudices, how will Brother Xianyu use his unique way of doing things to pass this test... (Source: Bilibili, translated)","['Prequel (ONA) Xian Yu Ge Specials', '']",Xian Yu Ge 2nd Season,,,,,,,
171,,KICKS AND PUNK,,['ONA'],1,Finished Airing,"Mar 22, 2024",,,"None found,","None found,",['Nippon Animation'],Original,,,10 min.,PG-13 - Teens 13 or older,[],#16925,#19424,316,0,,"""Let's go. In search of treasure"" Nike, a punky outsider girl, runs through the city of the future! In a city where the transportation infrastructure has developed dramatically and walking is no longer necessary, Nike runs alone in her favorite sneakers. Her goal is to get sneakers from the legendary manufacturer ""Dynameros"", which can only be obtained on the black market. As Nike runs despite being chased by a horde of cyber police, a woman appears in front of her. That woman is none other than Sherry, the daughter of the president of ""Fractal Walter"", a major company that created the era. What kind of story will the encounter between these two opposing people produce? (Source: Official site, translated)",[],Kicks And Punk,,,['Sci-Fi'],,,,
172,"The Metaverse, Bai Jia Jue: The Strange Stories of Jianghu",百家诀之江湖诡事录,,['ONA'],16,Finished Airing,"Mar 3, 2024 to Jun 2, 2024",,,['iQIYI'],"None found,","None found,",Web novel,"['Action', 'Adventure', 'Sci-Fi']",,19 min. per ep.,PG-13 - Teens 13 or older,[],#19379,#19678,300,0,,"In the future city, science and robots have become necessities in people's lives. The research, development and use of technology maintain a delicate balance between the scientific ethics committee, the technology chaebol, and the third-party security system company Mosh. Wang Xiaoyun, the only son of the Wang Group, was assassinated by an illegal robot while he was out hunting. Everyone in his entourage was spared. The balance of power has been broken, and the undercurrent is surging. Bai Wuxie, captain of the 24th Operation Team in charge of public security, found Zhang Bingyi and Shang Weiyang, consultants who are good at mechanical networks, to assist in the investigation. After several on-site investigations, it was discovered that the murderer turned out to be a product of the ""robot oligarchy"" Aibozer Company. At the same time, Mosh also encountered a security crisis, and everything seemed to be driven by someone behind the scenes. Zhang Bingyi, Bai Wuxie and Mo Shangshuang from Mosh Company were forced to form a special operations team to find out the truth behind the scenes. (Source: iQIYI, translated)",[],Bai Jia Jue Zhi: Jianghu Gui Shi Lu,,,,,,,
173,,ちこまる,,['ONA'],1,Finished Airing,"Jan 25, 2024",,,"['Shogakukan-Shueisha Productions', 'dugout']","None found,",['Pie in the sky'],['Web manga'],,,1 min.,PG - Children,[],#19922,#19773,295,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chikomaru Episode 0,,['Anthropomorphic'],,,,,
174,,我靠充值当武帝 第二季,Make Money To Be King 2nd Season,['ONA'],30,Finished Airing,"Feb 24, 2024 to May 25, 2024",,,"None found,","None found,",['Suoyi Technology'],Unknown,"['Action', 'Fantasy']",,8 min. per ep.,PG-13 - Teens 13 or older,[],#15310,#19791,294,0,,Second season of Wo Kao Chongzhi Dang Wudi.,"['Prequel (ONA) Wo Kao Chongzhi Dang Wudi', '']",Wo Kao Chongzhi Dang Wudi 2nd Season,,['Martial Arts'],,,,,
175,,"非人哉 春节特辑, 非人哉 龙年特辑",,['ONA'],1,Finished Airing,"Feb 2, 2024",,,"None found,","None found,","None found,",['Manga'],"['Comedy', 'Supernatural']",,11 min.,PG-13 - Teens 13 or older,[],#20559,#19849,291,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Fei Ren Zai 2nd Season Part 2', '']",Fei Ren Zai Spring Festival Special,,['Mythology'],,,,,
176,,BRIDGE -My Little Friends-,,['ONA'],1,Finished Airing,"Mar 22, 2024",,,"None found,","None found,",['Studio GOONEYS'],Original,,,9 min.,G - All Ages,[],#19661,#19679,301,0,,"""I'll let you meet Shiro. I promise!"" Jin the cat promised Mugi, who was grieving over the loss of his beloved dog Shiro. Jin loves Mugi very much, and after hearing the story of the Rainbow Bridge from his owner Kageyama, he decided to let Mugi meet Shiro at the end of the rainbow! Will Jin be able to save Mugi from her sadness? He invites the pigeons and squirrels from the neighborhood, and now Jin's big plan begins! (Source: Official site, translated)",[],Bridge: My Little Friends,,['Pets'],['Fantasy'],,,,
177,,云中居三子,The Mirage House in the Clouds,['ONA'],26,Finished Airing,"Jan 17, 2024 to May 29, 2024",,,['iQIYI'],"None found,",['Escape Velocity Animation'],Other,"['Action', 'Fantasy']","['Historical', 'Martial Arts']",14 min. per ep.,PG-13 - Teens 13 or older,[],#16172,#20244,268,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yun Zhongju San Zi,,,,,,,
178,,地下城与勇士之破界少女,Brave The Darkness:The Breakthrough Girl,['ONA'],12,Finished Airing,"Jan 18, 2024 to Mar 28, 2024",,,"None found,","None found,","None found,",Unknown,,,24 min. per ep.,PG-13 - Teens 13 or older,[],#20284,#21214,214,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dixia Cheng Yu Yongshi: Po Jie Shaonu,,,['Fantasy'],,,,
179,,火神之天启之子,Huo Shen: The Burning Man,['ONA'],1,Finished Airing,"Jan 28, 2024",,,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Fantasy']",,1 hr. 7 min.,PG-13 - Teens 13 or older,[],#21403,#21839,182,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Huo Shen: Tianqi Zhizi,,,,,,,
180,,Reバース ちょこりば,,['ONA'],24,Finished Airing,"Mar 20, 2024 to Jun 7, 2024",,,"None found,","None found,","None found,",Card game,,,56 sec. per ep.,G - All Ages,[],#18847,#22380,159,0,,Mini anime released on the official Rebirth YouTube channel.,[],Rebirth ChocoReba,,['Strategy Game'],['Comedy'],,,,
181,,ど根性ガエルやねん,,['ONA'],25,Finished Airing,"Feb 22, 2024 to Mar 29, 2024",,,['KDDI'],"None found,",['DLE'],Other,,,1 min. per ep.,PG - Children,[],#20309,#22873,139,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dokonjo Gaeru Yanen,,,['Comedy'],,,,
182,,アミーバス！,,['ONA'],18,Finished Airing,"Mar 29, 2024",,,"['TV Tokyo', 'Half H.P Studio', 'Exa International']","None found,",['Studio Crocodile'],Original,"['Comedy', 'Gourmet']",,1 min. per ep.,G - All Ages,[],#19183,#23243,127,0,,"Terry and Small are two amoebas who live inside the stomach of Nakamoto, a gluttonous boy. However, Nakamoto is unaware of the existence of microorganisms. Are they good? Bad? Neutral? What he does know is that he loves eating and playing. (Source: Official site, translated)",[],Amebas!,,,,,,,
183,,玄帝传说,,['ONA'],200,Currently Airing,"Mar 28, 2024 to ?",,,"None found,","None found,","None found,",Novel,"['Action', 'Adventure', 'Fantasy']",,7 min. per ep.,PG-13 - Teens 13 or older,[],#15922,#23667,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xuan Di Chuanshuo,,['Historical'],,,,,
184,,元气奇事2,Soul Knight Strange Tales 2,['ONA'],12,Finished Airing,"Jan 18, 2024 to Jan 29, 2024",,,"None found,","None found,","None found,",Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,7 min. per ep.,PG-13 - Teens 13 or older,[],#16139,#23877,113,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Yuanqi Qi Shi', '']",Yuanqi Qi Shi 2,,,,,,,
185,Ikimono-san x Ikkyuu-san Collab,一休ものさん,,['ONA'],1,Finished Airing,"Jan 9, 2024",,,"None found,","None found,",['Toei Animation'],Other,"['Avant Garde', 'Comedy']",,1 min.,G - All Ages,[],#21481,#23757,116,0,,A collaboration between Ikimono-san and Ikkyuu-san.,[],Ikkyuumono-san,,,,,,,
186,,声優と夜あそびANIMATION いくだもも！そびー,,['ONA'],8,Finished Airing,"Mar 11, 2024 to Mar 15, 2024",,,"None found,","None found,","None found,",Other,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#13920,#24095,108,0,,"Short animation featuring Say You to Yoasobi Abema show mascot character, and the hosts voicing other characters.",[],Say You to Yoasobi Animation: Ikuda Momo! Sobi-,,,['Comedy'],,,,
187,,パンダなりきりたいそう,,['ONA'],Unknown,Currently Airing,"Mar 2, 2024 to ?",,,['Toei Animation'],"None found,","[""Monster's Egg""]",Picture book,,"['Anthropomorphic', 'Music']",1 min.,G - All Ages,[],#18461,#24663,98,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Panda Narikiri Taisou,['Kids'],,,,,,
188,,호러나이츠,Horror Nights,['ONA'],8,Finished Airing,"Feb 16, 2024",,,"None found,","None found,","None found,",Original,"['Horror', 'Supernatural']",,16 min. per ep.,R - 17+ (violence & profanity),[],#21232,#24942,95,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Holeonaicheu,,,,,,,
189,,不白吃古诗词漫游记,,['ONA'],45,Finished Airing,"Jan 14, 2024 to Feb 28, 2024",,,"None found,","None found,","None found,",Other,,,2 min. per ep.,G - All Ages,[],#19669,#25831,81,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Bu Bai Chi Gu Shici Man Youji 2nd Season', '']",Bu Bai Chi Gu Shici Man Youji,['Kids'],['Historical'],['Comedy'],,,,
190,,星Xからのラッコ,,['ONA'],Unknown,Currently Airing,"Mar 27, 2024 to ?",,,"None found,","None found,",['Kachidoki Studio'],Original,"['Comedy', 'Sci-Fi']",,3 min.,PG-13 - Teens 13 or older,[],#21299,#25937,80,0,,"Currently, there are only three sea otters in Japan. In fact, one of them is an alien who was stranded on Earth and disguised himself to hide. Various marine creatures come to consult with this highly intelligent sea otter-like alien every day. (Source: YouTube, translated)",[],Hoshi X kara no Rakko,,,,,,,
191,,たまごっちショートアニメ,Tamagotchi Short Animation,['ONA'],4,Finished Airing,"Mar 1, 2024",,,['Bandai'],"None found,","None found,",Game,,"['Anthropomorphic', 'Video Game']",2 min. per ep.,G - All Ages,[],#14705,#26634,72,0,,A short series focusing on the lives of Tamagotchi and their caretakers.,"['Sequel (ONA) Tamagotchi Short Anime 2nd Season', '']",Tamagotchi Short Anime,,,['Comedy'],,,,
192,,奶龙与小七之大战暴暴龙,,['ONA'],26,Finished Airing,"Jan 25, 2024 to ?",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Fantasy']",,8 min. per ep.,PG - Children,[],#18056,#27989,38,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nai Long Yu Xiao Qi: Dazhan Baobao Long,['Kids'],,,,,,
193,"My Happy Marriage OVA, My Happy Shape, Figures of Happiness, My Happy Marriage Episode 13",わたしの幸せな結婚 わたしの 幸せのかたち,My Happy Marriage: The Shape of My Happiness,['OVA'],1,Finished Airing,"Mar 15, 2024",,,"None found,","None found,",['Kinema Citrus'],Novel,"['Fantasy', 'Romance']","['Adult Cast', 'Historical']",23 min.,PG-13 - Teens 13 or older,7.54,#1814,#3592,"43,391",105,17947,"Though hesitant, Miyo Saimori decides she is finally ready to attend a party with her fiancé Kiyoka Kudou. She has been practicing the etiquette needed for such an occasion with the help of Kiyoka's sister, Hazuki. At first, Miyo feels pressured by all the attention she receives; however, she eventually grows used to the unfamiliar environment and makes new acquaintances. Through these encounters, Miyo learns more about her family's past and the significance of creating connections with others. [Written by MAL Rewrite]","['Prequel (TV) Watashi no Shiawase na Kekkon', 'Sequel (TV) Watashi no Shiawase na Kekkon 2nd Season', 'Adaptation (Manga) Watashi no Shiawase na Kekkon', 'Adaptation (Novel) Watashi no Shiawase na Kekkon']",Watashi no Shiawase na Kekkon: Watashi no Shiawase na Katachi,,,,,,,
194,,満たされて目覚める朝に、地味な朝食を The Animation,,['OVA'],1,Finished Airing,"Feb 22, 2024",,,['Showten'],"None found,",['Blue bread'],['Manga'],,,18 min.,Rx - Hentai,6.97,N/A,#9543,"4,077",15,1672,"Koutarou and Sayaka, who were both dumped by their lovers, meet at a class reunion, and end up spending the night together at Koutarou’s house. The two have polar opposite views on love and personalities, but their physical chemistry is outstanding, and they spend a night connecting both body and mind. (Source: Official site)","['Adaptation (Doujinshi) Mitasarete Mezameru Asa ni, Jimi na Choushoku wo', '']","Mitasarete Mezameru Asa ni, Jimi na Choushoku wo The Animation",,,['Hentai'],,,,
195,,NO 猥婦 NO LIFE！,,['OVA'],Unknown,Currently Airing,"Feb 23, 2024 to ?",,,"['Queen Bee', 'Mediabank']","None found,",['Blue bread'],['Manga'],,,22 min.,Rx - Hentai,6.28,N/A,#9841,"3,727",26,1026,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) No Wife No Life!', '']",No Waifu No Life!,,,['Hentai'],,,,
196,,フルール THE ANIMATION,,['OVA'],Unknown,Currently Airing,"Jan 26, 2024 to ?",,,['Pink Pineapple'],"None found,",['Studio 1st'],['Manga'],,,20 min.,Rx - Hentai,6.92,N/A,#10078,"3,439",19,1014,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Fleur The Animation,,,['Hentai'],,,,
197,,断れない母,,['OVA'],2,Finished Airing,"Mar 15, 2024 to May 24, 2024",,,['Queen Bee'],"None found,",['Blue bread'],['Manga'],,,20 min. per ep.,Rx - Hentai,6.41,N/A,#10792,"2,785",10,1112,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kotowarenai Haha,,,['Hentai'],,,,
198,,おじさんで埋める穴 THE ANIMATION,,['OVA'],Unknown,Currently Airing,"Mar 29, 2024 to ?",,,['Pink Pineapple'],"None found,",['Shion'],['Manga'],,,15 min.,Rx - Hentai,6.50,N/A,#11208,"2,457",9,731,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ojisan de Umeru Ana The Animation,,,['Hentai'],,,,
199,,69~偽りの微笑~,,['OVA'],2,Finished Airing,"Feb 22, 2024 to Apr 26, 2024",,,"None found,","None found,",['Nur'],Original,,,23 min. per ep.,Rx - Hentai,6.14,N/A,#11394,"2,332",6,785,"She is a girl with excellent grades, modest personality, reserved and smiling face. Midori Aoi is a smiling girl who has been making a desperate effort to produce a ""smiley face"". Today, Midori is enjoying a blissful moment of smiling and being loved not only by the opposite sex but also by the same sex. The result of the recent examination was an unexpected mistake, and she has fallen far from her position. Midori is in a hurry to find a way out of this situation, but her opponent is her homeroom teacher, Izumi Kuwabara, who is rumored to be a slacker. However, the opponent is much tougher than she had imagined, and she unintentionally uses the following method...... This is Ms. Yoshimura, the teacher's fiancée, isn't it? What is playing on Midori's phone is a scene of his teacher's fiancée, Maho Yoshimura, having fun with multiple students. Midori is brought to a dangerous negotiation with Izumi's leaping hands and bare flesh...... Midori realizes her blunder when she feels the pain of a towering rod poking deep into her first bud and twisting it....... (Source: Getchu, translated)",[],69: Itsuwari no Bishou,,,['Hentai'],,,,
200,,シニシスタ,,['OVA'],Unknown,Currently Airing,"Jan 26, 2024 to ?",,,"None found,","None found,",['Majin'],Game,,,20 min.,Rx - Hentai,4.94,N/A,#11983,"1,950",9,586,"Rabiane is a nun sent by the church with increased physical strength. Her task is to save the city of Essaria, which has been destroyed by monsters, and to fight all the monsters. So she sets off to hunt the monsters through dark forests. It's a true nightmare; soon she finds herself unarmed by the brutal monsters. What will she do?",[],SiNiSistar,,,['Hentai'],,,,
201,,ルインズシーカー,,['OVA'],Unknown,Currently Airing,"Mar 29, 2024 to ?",,,"None found,","None found,",['Majin'],Game,,,14 min.,Rx - Hentai,5.39,N/A,#12369,"1,708",1,441,"In a world full of dungeons with mystical monsters, there are brave people who take on the challenge of exploring them. One of these people is our protagonist. However, the unthinkable happens during her first exploration: she falls into a trap and is cursed with a curse that makes her attractive to monsters. Will she be able to get rid of the curse?",[],Ruins Seeker,,,['Hentai'],,,,
202,First Trip Alone,はじめての二人っきり旅行,,['OVA'],1,Finished Airing,"Mar 13, 2024",,,"None found,","None found,","None found,",Music,,,4 min.,PG-13 - Teens 13 or older,6.20,#8847,#12780,"1,502",7,235,"A short animation released with the limited edition of the LIPxLIP album ""Umarete Kita Koto ni Kansha Shinasai!""",[],Hajimete no Futarikkiri Ryokou,,['Music'],,,,,
203,Haikyu!! Final Movie,劇場版ハイキュー!! ゴミ捨て場の決戦,Haikyu!! Movie: The Dumpster Battle,['Movie'],1,Finished Airing,"Feb 16, 2024",,,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']","None found,",['Production I.G'],['Manga'],,"['School', 'Team Sports']",1 hr. 24 min.,PG-13 - Teens 13 or older,8.62,#90,#1454,"173,557","1,469",68587,"Kenma Kozume has never considered volleyball fun or thrilling: it is merely something he is good at. But now Nekoma High School's volleyball team has qualified for the Spring Nationals and prepares to battle their long-standing rivals—Karasuno. Now, Kenma has to analyze the most confounding and resilient team and lead Nekoma to victory against them. Moreover, he will play against his friend Shouyou Hinata, Karasuno's short but incredibly proficient middle blocker. Karasuno has never been able to beat Nekoma in practice matches. Even so, despite his usual indifference, Kenma feels a tinge of excitement at the prospect of facing Karasuno in a high-stakes official game with no do-overs. To advance to the semifinals and ultimately restore their team's former glory, Karasuno must find a way to overcome Kenma's brilliant strategy and defeat Nekoma in their own territory. [Written by MAL Rewrite]","['Prequel (TV) Haikyuu!! To the Top Part 2', 'Sequel (Movie) Haikyuu!! Final Part 2', 'Adaptation (Manga) Haikyuu!!', 'Adaptation (Light Novel) Gekijouban Haikyuu!!: Gomisuteba no Kessen']",Haikyuu!! Movie: Gomisuteba no Kessen,['Shounen'],,['Sports'],,,,
204,,映画 ギヴン 柊mix,given The Movie: Hiiragi Mix,['Movie'],1,Finished Airing,"Jan 27, 2024",,,['Blue Lynx'],"None found,",['Lerche'],['Manga'],"['Boys Love', 'Drama']",,1 hr. 10 min.,PG-13 - Teens 13 or older,8.02,#646,#3926,"36,407",197,5408,"Hiiragi Kashima and Shizusumi ""Shizu"" Yagi's band ""syh"" is set to debut, but they run into trouble when their support guitarist leaves. Although Hiiragi often clashes with Ritsuka Uenoyama—the smug boyfriend of his childhood friend Mafuyu Satou—Hiiragi convinces him to perform as their temporary member. Despite their friction, Hiiragi acknowledges Uenoyama's talent and respects his hard work—to the point of asking him to complete an old song that Mafuyu's ex-boyfriend, Yuki Yoshida, left behind. In between writing, recording, and filming a music video, Hiiragi comes to terms with his love for the aloof Shizu and wrestles with how to convey his feelings. Meanwhile, ""given""—composed of Uenoyama, Mafuyu, and their bandmates Haruki Nakayama and Akihiko Kaji—receives an offer to debut as well. The members are ready and beyond excited, save for Mafuyu, who has never before thought about playing music professionally. As Uenoyama attempts to understand Yuki and replicate his unique sound, Mafuyu steps back to ponder over the looming changes in his life, fearing what the uncertain future may bring. [Written by MAL Rewrite]","['Prequel (Movie) Given Movie 1', 'Sequel (Movie) Given Movie 3: Umi e', 'Adaptation (Manga) Given', '']",Given Movie 2: Hiiragi Mix,,['Music'],,,,,
205,"DeDeDeDe, DDDD",デッドデッドデーモンズデデデデデストラクション,Dead Dead Demons Dededede Destruction,['Movie'],2,Finished Airing,"Mar 22, 2024 to May 24, 2024",,,['GAGA'],"None found,",['Production +h.'],['Manga'],"['Drama', 'Sci-Fi']",,2 hr. per ep.,PG-13 - Teens 13 or older,7.51,#1931,#4204,"31,392",95,1909,"When you look up at the sky, what do you see? A blue sky? Freedom? A hopeful future? The people of Tokyo see none of these. Instead, an ominous alien mothership looms overhead, engulfing the city skyscape. Three years ago, they came. The arrival of the ""Invaders"" sparked the greatest war humanity had ever faced—one that threatened to end the world. The Japanese government scrambled to fight the Invaders. Weapons were mass-produced, sparking controversy and pacifist movements. That day, everything changed. And yet, nothing has changed. Kadode Koyama and Ouran Nakagawa live their final days like they always have: going to school, playing with friends, and doing what any carefree high school girl would do. As they grow up, they come to learn what it truly means to be an adult, in a world where adults seem to be demons who only deceive and destroy. They come to learn the real threat to humanity is not the Invaders, but humanity itself. [Written by MAL Rewrite]","['Adaptation (Manga) Dead Dead Demons Dededede Destruction', '']",Dead Dead Demons Dededede Destruction,['Seinen'],['School'],,,,,
