,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Spanish,French,Theme,German,Genre,Demographics
111,,乳母,Milk Money,['OVA'],2,Finished Airing,"Apr 9, 2004 to Jul 9, 2004",,,['Digital Works'],"None found,",['Y.O.U.C'],Original,,,28 min. per ep.,Rx - Hentai,5.81,N/A,#8044,"6,501",21,2751,"To relieve herself of the pain of her unsuckled mother's milk, she takes a job as a wet-nurse. But she is abruptly dismissed when she is found to be ""too attached"" to her young charge... Years Later, Kyoko tells her teenaged daughter Marika that she breast-fed one of her classmates, a boy named Toji, and brings him home for dinner. Kyoko and Toji's passion for each other is reignited, while Marika can't get her new ""big brother"" out of her head. Discovering the truth about Toji and Kyoko, Marika demands that Toji choose between them. Little does she know that her mother has a way of becoming violently jealous. (Source: AniDB)",[],Uba,,,,,,['Hentai'],
112,Kininaru Feeling,キニナル キモチ,,['OVA'],4,Finished Airing,"Apr 29, 2004 to Aug 11, 2006",,,['Office AO'],"None found,",['Schoolzone'],['Manga'],,,13 min. per ep.,Rx - Hentai,6.13,N/A,#9136,"4,689",12,1724,"Contains three sexy elevator stories! Illusional Elevator Rikako Sawada was there for an interview, not knowing she was getting more! Told to change into an elevator girl's uniform, she waited in the elevator as a man stepped in. Right after the door closed, the man started molesting Rikako! What will happen to her? Will she get the job? Wife in the Box The elevator stops suddenly. Trapped inside are a housewife and a salary-man. The man had pictured her naked body, and imagined having her. Surprised at first, the housewife would gradually scream in delight. Will the two be all right in the closed elevator...? Pervert Brassiere When the cursed bra is worn, the wearer would be molested and raped; however, the curious Yoko tradeed it for her own bra, not knowing what would happen. Inside the company elevator on her way home, the molesting and rape begin. Is it the magic power of the curse or the power of lewdness and lust? (Source: RightStuf)",[],Kininaru Kimochi,,,,,,['Hentai'],
113,,ファミレス戦士プリン,Sex Warrior Pudding,['OVA'],3,Finished Airing,"May 25, 2004 to Feb 25, 2005",,,"['Milky Animation Label', 'MS Pictures']",['JapanAnime'],['Big Wing'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.28,N/A,#9142,"4,687",15,1594,"By a sudden order from this father, Shuta happened to work as the manager of the family restaurant, A la mode. There Nishino Purin, whom he had adored, was also working. Though he spent dreamlike days in which he was served sexual treatment by the cute clerks, it didn't last long. He knew another face of the A la mode, it was an organization to protect the Earth. To his surprise, they were the fighters who protected the peace of the Earth. They wielded the Kokoro-energy, which is the energy generated by putting their minds and Shuta's together in order to fight against the evil syndicate, Libido-Kingdom. Will Shuta and the Famires (short for Family Restaurant) fighters be able to save the peace of the Earth while dipping into this harem situation? (Source: AnimeNfo)",[],Famiresu Senshi Purin,,,,,,['Hentai'],
114,,SINKAN シンカン,T&A Teacher,['OVA'],1,Finished Airing,"May 28, 2004",,,"None found,",['Critical Mass Video'],['Shinkuukan'],['Manga'],,,26 min.,Rx - Hentai,5.75,N/A,#9530,"4,110",12,1306,"Be good, or you might get punished... Everyone looks up to Ayaka. She's one of the most beautiful professors at the academy, with bright eyes, big breasts, and a brilliant smile. But she's got a tough side, too: she's coach of the Karate Club. Treat her well, and you'll be rewarded with all sorts of sexy favors... but get on her bad side, and you'll be flat on your back in no time. So far, there's only been one guy bold enough to anger Ayaka: a brash new student named Togawa. One night, he finds Ayaka having a one-woman orgy in the gym shower room and decides to step in. Will Ayaka's temper flare up once again, or will she be swept up by her lustful desires?","['Adaptation (Manga) Sinkan', '']",Sinkan,,,,,,['Hentai'],
115,Tristia of the Deep Blue Sea,蒼い海のトリスティア,,['OVA'],2,Finished Airing,"Apr 23, 2004 to Jul 23, 2004",,,"None found,","None found,",['ufotable'],Visual novel,,,27 min. per ep.,PG - Children,5.60,#11789,#9538,"4,100",2,1762,"An ocean city, Tristia. Tristia used to be prospering playing an important role of the maritime trade, and it was as beautiful as to be praised as ""marine jewelry"". However, that was a long time ago. The attack of the dragons deprived the city of their original brightness. The people in Tristia worked hard to reconstruct their city, but everything they did went wrong, and the city became desolated on the contrary. At the end of their hope, they asked a Great Artisan for the recovery of the city, Prospero Flanka. Prospero was a legendary inventor who had revived cities that otherwise would have been ruined. The long-awaited day came when the Great Artisan Prosper arrived in the city... However, it was only one girl who stood at the port of the city. Prospero sent his grand daughter, Nanoka, for him. (Source: AnimeNfo)","['Adaptation (Light Novel) Aoi Umi no Tristia: Hontou no Takaramono', '']",Aoi Umi no Tristia,,,,['Mecha'],,['Adventure'],
116,"Lime Iro Senkitan Nankoku Yume Roman, Raimuiro Senkitan: The South Island Dream Romantic Adventure (OAV), Southern Romance Story",らいむいろ戦奇譚 南国夢浪漫,,['OVA'],2,Finished Airing,"Apr 23, 2004 to Jun 25, 2004",,,"['KSS', 'Soft Garage']","None found,",['Studio Hibari'],Visual novel,"['Action', 'Comedy', 'Ecchi']",,28 min. per ep.,R - 17+ (violence & profanity),6.05,#9678,#9604,"4,020",2,1493,"With the battleship Amanohara seriously damaged and in need of repair, it lands on an island where a Gogyou festival has just begun. Shintaro Umakai and his five female students, known as Raimu Unit, enjoy a period of peace on the island. However, the enemy still pursues them. Umakai and his unit deal with the enemy while the five girls try to draw his attention. (Source: ANN)","['Prequel (TV) Lime-iro Senkitan', 'Sequel (TV) Lime-iro Ryuukitan X']",Lime-iro Senkitan: Nankoku Yume Roman,,,,['Mecha'],,,
117,MOFF3.5,Memories Off 3.5 [メモリーズオフ3.5],,['OVA'],4,Finished Airing,"May 12, 2004 to Oct 20, 2004",,,"None found,","None found,","['Picture Magic', 'Rikuentai']",Visual novel,"['Drama', 'Romance']",,27 min. per ep.,PG-13 - Teens 13 or older,6.11,#9339,#9719,"3,890",0,1582,"This series is made up of two seperate stories with a few overlapping characters. The first story, Omoide no Kanata e, is about Shogo and his current girlfriend Neo. Kanata, a former girlfriend of Shogo's shows up one day and causes Shogo and Neo to think about their current situations. The second story, Inori no Todoku Koro, is about girl called Inori and her boyfriend Isshu. They had made a promise to always go to the fireworks festival together, since that was the place that they orginally became a couple. This year, Isshu says he cannot attend because of his work so Inori goes alone and recalls the previous two years. (Source: ANN)","['Sequel (OVA) Memories Off #5 Togireta Film The Animation', '']",Memories Off 3.5,,,,,,,
118,,ストラトス・フォー OVA,,['OVA'],2,Finished Airing,"May 28, 2004 to Aug 1, 2004",,,['Bandai Visual'],['Bandai Entertainment'],['Studio Fantasia'],Original,"['Comedy', 'Sci-Fi']",,28 min. per ep.,PG-13 - Teens 13 or older,6.66,#6153,#9826,"3,776",1,1545,"After successfully returning to Earth on the renovated Stratos 4, the four main characters are visited by the Comet Blasters Chizuru Kubo and Annette Kerry, who bring them a shocking video. Meanwhile, Orbital Station 7 is in serious trouble... This two-episode OVA comes between the first and second seasons. (Source: ANN, edited by Glenn Magus Harvey)","['Prequel (TV) Stratos 4', 'Sequel (OVA) Stratos 4 Advance']",Stratos 4 OVA,,,,['Military'],,,
119,,妖香の剣,Samurai XXX,['OVA'],2,Finished Airing,"May 28, 2004 to Jul 23, 2004",,,['Green Bunny'],"['Media Blasters', 'Kitty Media']","None found,",Original,"['Adventure', 'Comedy', 'Hentai']",,28 min. per ep.,Rx - Hentai,6.04,N/A,#9984,"3,570",5,1229,"Feudal Japan was a land beset with warfare and strife. Families were torn asunder and siblings were divided by conflict and chaos. Matagoro Yoshimura has been hired by the feudal lords to seek out a treasure of incredible wealth —but there's a catch... the only way to find this cache is by gathering the pieces of the map that have been hidden on the backs of female ninja scattered throughout the land. The only time these hidden maps will reveal themselves is when the ninja carrying it is in the throes of passion. Is Yoshimura ""up"" to the task of putting together the puzzle pieces and finding the treasure? (Source: AniDB)",[],Youkou no Ken,,,,,,,
120,,Wind -a breath of heart- OVA,,['OVA'],3,Finished Airing,"Jun 25, 2004 to Dec 22, 2004",,,['KSS'],"None found,",['Venet'],Visual novel,"['Drama', 'Romance', 'Supernatural']",,29 min. per ep.,PG-13 - Teens 13 or older,6.14,#9136,#10156,"3,380",1,1434,"Kazenone City, it is a city that made people feel nostalgic and wonder. It was also the home country of Okano Makoto and his little sister, Hinata. They came back this town in order to look for their mother who had disappeared suddenly. Their friends and childhood friends welcomed their return. Makoto began to notice something important through the encounter with them. With the tone of a harmonica, and with their thoughts in their hearts, the fantastic tale began in this mysterious town. (Source: AnimeNfo)","['Adaptation (Manga) Wind: A Breath of Heart', '']",Wind: A Breath of Heart OVA,,,,['School'],,,
121,,未亡人～ぬめり合う肉欲と淫らに濡れる蜜壺～,Widow,['OVA'],2,Finished Airing,"Jun 25, 2004 to Oct 25, 2004",,,"['Milky Animation Label', 'MS Pictures']",['Media Blasters'],['Studio Jam'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.87,N/A,#10253,"3,272",6,1098,"Kaori comes to his late brother's estate to visit his widowed sister in law, and finds a mysterious video. It shows his brother with his wife and the two other ladies of the house, Chiyoko and Miyuki. In what looks like an underground room, he submits the women to constant sexual perversions until they can't live without it. Will the secrets of his late brother provide the key to Kaori's mysterious headaches and sleepless nights? (Source: ANN)",[],Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,,,,,,['Hentai'],
122,,鬼作 ～魂～,Kisaku Spirit: The Letch Lives,['OVA'],3,Finished Airing,"May 28, 2004 to Jul 22, 2005",,,['Pink Pineapple'],"None found,",['Himajin Planning'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.10,N/A,#10264,"3,258",8,1154,"After Kisaku died, he had a strong desire that his spirit was still wandering around. Yuri noticed a guy who resembled Kisaku, but he was actully a hard worker named Kusaki, who had a good nature and was far different from Kisaku. When they first met, Kisaku's spirit appeared and started to haunt Kusaki. Eventually Kisaku took over Kusaki. (Source: AnimeNfo)","['Prequel (OVA) Shusaku', 'Prequel (OVA) Kisaku']",Kisaku Spirit,,,,,,['Hentai'],
123,,ギャラクシーエンジェルS,,['OVA'],1,Finished Airing,"Apr 23, 2004",,,['Bandai Visual'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Madhouse'],Unknown,"['Comedy', 'Sci-Fi']",,24 min.,PG-13 - Teens 13 or older,6.86,#5033,#10812,"2,782",2,1025,Galaxy Angel 3 TV special that contains 2 stories.,[],Galaxy Angel S,,,,,,,
124,,まかせてイルか！,Grrl Power!,['OVA'],1,Finished Airing,"Jun 10, 2004",,,"None found,",['ADV Films'],['CoMix Wave Films'],['Manga'],"['Action', 'Award Winning', 'Comedy']",,24 min.,G - All Ages,6.29,#8356,#11156,"2,502",3,1251,"Meet Umi, Sora and Ao, the three hardest working school girls in all of Japan. As the proprietors of the best odd-jobs service around, they'll take on any task and guarantee the result! Unfortunately, spending your whole day doing other people's homework and cleaning sewers doesn't leave much time to go to school yourself, so when the girls take on the task of convincing someone else to go back to school, it may prove to be their hardest job ever! Have these junior Jills of all trades finally met their match? Find out in Grrl Power! (Source: ADV Films)","['Adaptation (Manga) Makasete Iruka!', '']",Makasete Iruka!,,,,['School'],,,
125,"Suika Special, Wet Summer Days Special",水夏 ~SUIKA~「真夏の贈り物」,,['OVA'],1,Finished Airing,"Apr 25, 2004",,,"None found,","None found,",['APPP'],Visual novel,"['Drama', 'Fantasy', 'Hentai']",,14 min.,Rx - Hentai,5.85,N/A,#11775,"2,087",2,695,A fourth episode that was released as an extra in the Suika boxset.,[],Suika: Manatsu no Okurimono,,,,,,,
126,,魔法戦士スイートナイツ 〜ヒロイン凌辱指令〜,,['OVA'],2,Finished Airing,"Apr 23, 2004 to Aug 27, 2004",,,"None found,","None found,",['Shindeban Film'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.44,N/A,#12017,"1,945",1,490,Based on a H game by Triangle.,[],Mahou Senshi Sweet Knights: Heroine Ryoujoku Shirei,,,,,,['Hentai'],
127,,アンバランスガール,,['OVA'],1,Finished Airing,"Jun 16, 2004",,,"None found,","None found,","None found,",Unknown,,,41 min.,Rx - Hentai,4.95,N/A,#13349,"1,283",2,331,CG hentai based on a game.,[],Imbalance Girl,,,,,,['Hentai'],
128,Hikaru no Go: Special Character DVD - Memories,ヒカルの碁 TVシリーズ超総集編「MEMORIES」,,['OVA'],1,Finished Airing,"Jun 30, 2004",,,"None found,","None found,",['Pierrot'],['Manga'],"['Comedy', 'Supernatural']",,1 hr. 20 min.,PG-13 - Teens 13 or older,6.31,#8227,#13635,"1,189",0,333,"Recap of Hikaru no Go included in the ""Special Character DVD ~Memories~"" disc.",[],Hikaru no Go: Memories,['Shounen'],,,['Strategy Game'],,,
129,,ステディ×スタディ,,['OVA'],1,Finished Airing,"May 26, 2004",,,['Idea Factory'],"None found,","None found,",Visual novel,,,24 min.,PG-13 - Teens 13 or older,5.02,#13199,#13947,"1,092",0,240,"Nakane Makoto is a freshman in the private school of Kamimori Academy in Harajuku. He enters the drama club because his best friend, Wakabayashi asked him to do so, but it turns out the club is on the verge of dissolution. A girl from Makoto's class, Saitou Koyuki is also a member of the club. In the meanwhile, Makoto's schoolmate since junior high - now a student of the other class - Abegawa Nozomi seeks to launch a so called ""study club"". Both clubs get into a pinch, as the student council won't finance their activity for this year, and even the day of a performance is approaching... Can the drama club survive this crisis? (Source: AniDB)",[],Steady x Study,,,,,,['Romance'],
130,"Kono Shihai kara no Sotsugyou, Yutaka Ozaki",～この支配からの卒業～ 尾崎豊,,['OVA'],1,Finished Airing,"Apr 21, 2004",,,"None found,","None found,",['Toei Animation'],Unknown,,,33 min.,None,[],#19554,#14336,984,1,,"A compilation OVA of 5 stories portraying the life of Ozaki Yutaka, a famous Japanese musician in the 80s and early 90s who died young.",[],Kono Shihai kara no Sotsugyou: Ozaki Yutaka,,,,['Historical'],,['Slice of Life'],
131,Appleseed (2004),アップルシード,,['Movie'],1,Finished Airing,"Apr 17, 2004",,,"['Mainichi Broadcasting System', 'TOHO', 'TYO Animations', 'TYO', 'Geneon Entertainment']","['Sentai Filmworks', 'Geneon Entertainment USA']",['Digital Frontier'],['Manga'],"['Action', 'Sci-Fi']","['Mecha', 'Military']",1 hr. 45 min.,R - 17+ (violence & profanity),7.05,#4128,#2633,"76,067",185,42327,"Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. (Source: ANN)","['Sequel (Movie) Appleseed Saga Ex Machina', '']",Appleseed (Movie),,Appleseed,Appleseed,,Appleseed,,
132,,名探偵コナン 銀翼の奇術師[マジシャン],Detective Conan Movie 08: Magician of the Silver Sky,['Movie'],1,Finished Airing,"Apr 17, 2004",,,"['Yomiuri Telecasting', 'TOHO', 'Nippon Television Network', 'Shogakukan', 'Audio Planning U', 'Shogakukan Productions']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,1 hr. 48 min.,PG-13 - Teens 13 or older,8.05,#597,#3036,"59,211",47,34704,"After receiving a letter from the thief Kaitou Kid, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope. Thinking he has deciphered Kid's riddle, Kogorou personally shows up to the newly constructed space theater where Juri is acting in the play ""Josephine"" in order to catch Kid in the act. The next day, Conan and the gang are invited by Juri to her holiday home, to celebrate the thwarting of Kid's plan and the success of the play. However, their triumph crumbles when a murder occurs during the flight there. Although unintentional, this sets off a series of events that escalate to catastrophic results. Conan and Kid, unlikely allies that they are, must work together to save both their friends and every other passenger aboard the plane. [Written by MAL Rewrite]",[],Meitantei Conan Movie 08: Ginyoku no Magician,['Shounen'],,Detektiv Conan Film 8: Le Magicien aux Ailes D'Argenté,['Detective'],Detektiv Conan Film 8: Der Magier mit den Silberschwingen,,
133,"Eiga Crayon Shin-chan: Arashi o Yobu! Yuhi no Kasukabe Boys, Crayon Shin-chan: The Storm Called: The Kasukabe Boys of the Evening Sun",映画 クレヨンしんちゃん　嵐を呼ぶ！夕陽のカスカベボーイズ,,['Movie'],1,Finished Airing,"Apr 17, 2004",,,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,1 hr. 37 min.,G - All Ages,7.19,#3412,#8985,"4,941",4,2614,"A fantasy action set in a world of Western films. One day the Nohara family, Kasukabe Defense Forces (Shinnosuke Nohara and his mates: Kazama-kun, Nene-chan, Masao-kun and Bo-chan), and other people living in Kasukabe City get lost in a world within a Wild West film, which is a city ruled by an evil governor named Justice. The time progression has been stopped there because the film is unfinished but people are losing their memories about the past little by little. To go back to their former world, the Kasukabe Defense Forces tries to defeat Governor Justice and finish the film before everyone loses their memories. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road', 'Sequel (Movie) Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3-pun Dai Shingeki']",Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,['Seinen'],Shin Chan Película 12: Le Llamaban Shin Chan.,,['Historical'],,,
134,,劇場版「超変身コス∞プレイヤー VS暗黒宇宙将軍」,,['Movie'],1,Finished Airing,"Apr 28, 2004",,,['m.o.e.'],"None found,","['Imagin', 'Studio Live']",Original,"['Adventure', 'Comedy', 'Sci-Fi']",,10 min.,PG-13 - Teens 13 or older,4.65,#13559,#10872,"2,727",2,1210,"A short 10 minute film by the non-existent ""Houchiku Movie Corporation."" After destroying the dark castles and finally defeating the enemy, Scarlett leaves the group to continue on. While Koto and her friends are together, she meets up again with Scarlett expectantly. A new, powerful enemy is back and must be defeated at all costs, he is more powerful than all of the others... but it will take all of their powers to combine and work together as one...","['Prequel (Special) Chou Henshin Cosprayers Specials', '']",Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,,,,,,,
135,,ASTRO BOY 鉄腕アトム〜月面基地・消えたロボットの謎〜,,['Movie'],1,Finished Airing,"May 29, 2004",,,"None found,","None found,","None found,",['Manga'],,"['Mecha', 'Space']",Unknown,G - All Ages,6.56,#6695,#12818,"1,494",1,478,A planetarium film of Tetsuwan Atom. There's strange incidents occurring on the lunar base. A rocket was launched for the space station but it needs help. Can Atom save the space station?,"['Adaptation (Manga) Astro Boy: Tetsuwan Atom', '']",Astro Boy: Tetsuwan Atom - Getsumen Kichi - Kieta Robot no Nazo,['Kids'],,,,,['Sci-Fi'],
136,"McDull Movie 2, McDull: The Prince of the Pineapple Bun with Butter, Mak Dau BoloYao WongZi",麥兜菠蘿油王子,"McDull, Prince de la Bun",['Movie'],1,Finished Airing,"Jun 24, 2004",,,['Bliss Pictures'],"None found,","None found,",Unknown,,,1 hr. 17 min.,G - All Ages,6.42,#7592,#18229,403,4,129,"McDull, Prince de la Bun is a 2004 animated Hong Kong film directed by Yuen Toe. Telling the life a the fictional pig McDull, it is a sequel to My Life as McDull (2001) and it was followed by McDull, the Alumni (2006). (Source: Wikipedia)","['Prequel (Movie) McDull: Gushi', '']",McDull: Boluo You Wang Zi,['Kids'],,,['Anthropomorphic'],,['Comedy'],
137,,ムーミン谷の物語　星と花のセレナーデ,,['Movie'],1,Finished Airing,"May 23, 2004",,,"None found,","None found,","None found,",Book,"['Adventure', 'Fantasy']",,45 min.,G - All Ages,[],#20500,#21815,186,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Muumindani no Monogatari: Hoshi to Hana no Serenade,['Kids'],,,,,,
138,"Detective Conan Movie 08: Promo Special, Detective Conan Movie 08: Magician of the Silver Sky Special, Detective Conan Movie 08 Pre-Release Special",名探偵コナン 銀翼のタイムトラベル,Detective Conan Movie 08: Time Travel of the Silver Sky Recap,['TV Special'],1,Finished Airing,"Apr 30, 2004",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Mystery']",,25 min.,PG-13 - Teens 13 or older,7.80,#1041,#4894,"22,465",8,11016,"Professor Agasa has created a computer program that can give you the identity of anyone in the world. He decides to use it on figuring out who Kaitou Kid is. Before he does, the program gives him a history of the Kid, as well as preview clips of the eighth movie. When he is about to finally figure out who the Kid is, Kid appears on the computer screen, announcing he has hacked the program. (Source: detectiveconanworld)",[],Meitantei Conan Movie 08: Ginyoku no Time Travel Recap,,,,,,,
139,Chrno Crusade: Az no Hoshuu Jugyou,クロノクルセイド　アズでもわかるクロノクルセイド講座,Chrono Crusade: Azmaria's Lessons,['Special'],11,Finished Airing,"May 28, 2004 to Mar 25, 2005",,,"None found,","['ADV Films', 'Funimation']",['Gonzo'],['Manga'],"['Adventure', 'Comedy', 'Supernatural']","['Historical', 'Mythology']",3 min. per ep.,PG-13 - Teens 13 or older,6.49,#7152,#6527,"10,904",10,3726,"Azmaria Hendrick gives some background information on characters and the setting, with flashback scenes from the Chrno Crusade series itself. Released with DVD volumes 2-12.",[],Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,,,,,,,
140,"MariMite, La Vierge Marie Vous Regarde, The Virgin Mary is Watching You",マリア様がみてる,Maria Watches Over Us,['Special'],7,Finished Airing,"Apr 4, 2004 to Oct 23, 2004",,,"None found,",['Nozomi Entertainment'],['Studio Deen'],['Light novel'],"['Comedy', 'Girls Love']",,1 min. per ep.,PG - Children,7.28,#2950,#6717,"10,153",7,4780,A series of specials included on the Maria-sama ga Miteru DVD releases.,[],Maria-sama ga Miteru Specials,['Shoujo'],,,['School'],,,
141,Recca no Honoo,烈火の炎 FINAL BURNING,Flame of Recca: Final Burning,['Special'],1,Finished Airing,"Jun 10, 2004",,,['Fuji TV'],"None found,",['Pierrot'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']","['Martial Arts', 'School', 'Super Power']",32 min.,PG-13 - Teens 13 or older,6.99,#4436,#7631,"7,395",8,2702,"This episode explains why the title of the series is ""Flame of Recca"". The things that happened in this short OAV was in the last volume, volume 33, of the tankoubon of Flame of Recca.","['Prequel (TV) Rekka no Honoo', 'Adaptation (Manga) Rekka no Honoo']",Rekka no Honoo: Final Burning,['Shounen'],,,,,,
142,"Kimi ga Nozomu Eien Tokuten Eizou, Kimi ga Nozomu Eien: Gundam Parody",君が望む永遠 特典映像,,['Special'],1,Finished Airing,"Jun 25, 2004",,,"['Studio Fantasia', 'Age']","None found,","None found,",Original,,"['Mecha', 'Parody', 'Space']",2 min.,R+ - Mild Nudity,5.48,#12182,#7893,"6,817",2,2624,Kimi ga Nozomu Eien parodying the Gundam series in two minutes.,[],Kimi ga Nozomu Eien Special,,,,,,['Sci-Fi'],
143,Daphne in the Brilliant Blue Specials,光と水のダフネ,,['Special'],2,Finished Airing,"Apr 23, 2004 to Oct 22, 2004",,,"None found,",['Sentai Filmworks'],['J.C.Staff'],Original,"['Action', 'Comedy', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.65,#6194,#9932,"3,642",0,1489,"Two bonus episodes that take place during the course of the series, approximately halfway through it seems. They are entitled 'Everything you always wanted to know about Nereids (but were afraid to ask)' and 'Heaven can wait for Maia Mizuki'. These stories are more lighthearted and comedic in tone, bordering on silly.",[],Hikari to Mizu no Daphne Specials,,,,,,,
144,Smash Hit! Specials,ヒットをねらえ!,,['Special'],4,Finished Airing,"May 19, 2004 to Jun 30, 2004",,,['m.o.e.'],"None found,","['Imagin', 'Studio Live']",Original,"['Comedy', 'Ecchi']",,14 min. per ep.,PG-13 - Teens 13 or older,5.41,#12409,#11851,"2,040",0,874,DVD only specials.,[],Hit wo Nerae! Specials,,,,,,,
145,,ストラトス・4.1 ~DUTCH ROLL~,,['Special'],1,Finished Airing,"May 28, 2004",,,"None found,",['Bandai Entertainment'],['Studio Fantasia'],Original,"['Action', 'Sci-Fi']","['Military', 'Parody']",4 min.,PG-13 - Teens 13 or older,5.78,#11020,#14005,"1,077",1,306,This short episode comes along with the first episode of the OVA.,[],Stratos 4 OVA: Stratos 4.1 - Dutch Roll,,,,,,,
146,,高橋留美子劇場 人魚の森,Mermaid Forest Specials,['Special'],2,Finished Airing,"May 19, 2004",,,"None found,",['Geneon Entertainment USA'],['TMS Entertainment'],['Manga'],"['Drama', 'Fantasy', 'Horror', 'Mystery']",,24 min. per ep.,R - 17+ (violence & profanity),6.72,#5794,#14533,936,1,304,DVD-only episodes 12-13 of Takahashi Rumiko Gekijou Ningyo no Mori that adapt the Ningyo no Kizu chapter.,"['Prequel (TV) Takahashi Rumiko Gekijou Ningyo no Mori', '']",Takahashi Rumiko Gekijou Ningyo no Mori Specials,['Shounen'],,,,,,
147,,クレヨンしんちゃん Specials,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,48 min.,G - All Ages,[],#17447,#15453,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,['Seinen'],,,['School'],,,
148,"Backkom, Bernard",Contact,Contact,['Special'],1,Finished Airing,"Jun 21, 2004",,,"None found,","None found,",['RG Animation Studios'],Original,"['Comedy', 'Sci-Fi']",,1 min.,G - All Ages,4.78,#13451,#15493,707,0,354,A Backkom short about him meeting an alien.,"['Sequel (Special) Contact 2', '']",Contact,['Kids'],,,,,,
149,,ちぃちゃんとヒゲおじさん,,['TV Special'],10,Finished Airing,"Jun 21, 2004 to Apr 21, 2010",,,['NHK'],"None found,","None found,",Original,,,5 min. per ep.,PG - Children,[],#17298,#19388,321,0,,A simple slice of life kids claymation about Chii-chan and her bearded uncle and their neighborhood animals friends.,[],Chii-chan to Hige Ojisan,['Kids'],,,,,['Slice of Life'],
