,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Demographic,Demographics
99,"Linetown, raintaun",ラインタウン,Line Town,,,,['TV'],50,Finished Airing,"Apr 3, 2013 to Mar 26, 2014",['Spring 2013'],Wednesdays at Unknown,['Shogakukan Music & Digital Entertainment'],"None found,","None found,",Other,,,24 min. per ep.,PG-13 - Teens 13 or older,6.27,#8451,#13803,"1,127",1,259,"Featuring characters from NHN's popular app such as Moon, Brown, Connie, James, Jessica, and Sally living happily together in Line Town.",[],Line Town,['Comedy'],['Workplace'],['Kids'],
100,A Duck's Life,ぢべたぐらし あひるの生活,,,,,['TV'],39,Finished Airing,"Apr 7, 2013 to Mar 30, 2014",['Spring 2013'],Unknown,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,G - All Ages,5.74,#11209,#14075,"1,056",1,256,"The story follows the daily life of a group of birds, including a duck, an old nihilistic great grey owl, and a gluttonous Caique parrot. (Source: ANN)","['Sequel (ONA) Dibetagurashi: Ahiru no Seikatsu - Ahiru no Sumu Shima', 'Adaptation (Manga) Dibetagurashi']",Dibetagurashi: Ahiru no Seikatsu,,,,
101,Hana Kappa,はなかっぱ,,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9911,#14262,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,['Comedy'],,['Kids'],
102,,しあわせ配達おみくじタネコ,,,,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14202,#14339,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,['Comedy'],,,
103,,たまごっち! ゆめキラドリーム,,,,,['TV'],49,Finished Airing,"Sep 10, 2012 to Aug 29, 2013",['Fall 2012'],Unknown,"None found,","None found,",['OLM'],Unknown,,,23 min. per ep.,G - All Ages,6.04,#9708,#14446,951,1,168,"Mametchi and his friends return to study abroad at Dream Town, a place that supports the dreams of all who live there. At Dream Town, Mametchi meets the aspiring idol singer Yumemitchi, Kiraritchi and other new characters as they all follow their own dreams. (Source: ANN)","['Prequel (TV) Tamagotchi!', 'Sequel (TV) Tamagotchi! Miracle Friends']",Tamagotchi! Yume Kira Dream,['Comedy'],,['Kids'],
104,"Man Lan, Shalen",侠岚,,,,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9656,#14686,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,,,,
105,,しまじろうのわお!,,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,8 min.,G - All Ages,[],#14234,#15595,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,['Kids'],
106,Eagle Talon MAX,秘密結社鷹の爪 MAX,,,,,['TV'],38,Finished Airing,"Apr 5, 2013 to Feb 21, 2014",['Spring 2013'],Unknown,"None found,","None found,",['DLE'],Unknown,,"['Parody', 'Super Power']",5 min. per ep.,PG-13 - Teens 13 or older,6.01,#9893,#15808,655,0,137,Sequel to the previous season.,"['Prequel (TV) Himitsukessha Taka no Tsume NEO', 'Sequel (TV) Himitsukessha Taka no Tsume EX']",Himitsukessha Taka no Tsume MAX,['Comedy'],,,
107,Bakushishi Gasshin Ziguru Hazeru,爆獣合神ジグルハゼル,,,,,['TV'],6,Finished Airing,"Apr 6, 2013 to Dec 2013",['Spring 2013'],Not scheduled once per week,"None found,","None found,",['Production Reed'],Other,,,2 min. per ep.,PG - Children,[],#16784,#15852,647,1,,"The anime is based on MegaHouse's line of Ziguru Hazeru (literally, ""Jiggle and Pop Out"") mecha toys that allow people to remove parts from the joints and add different parts in their place. In addition, if one combines together Hazeru Gokuu, Hazeru Sagojo, and Hazeru Hakkai, the resulting mecha will be Hazeru Seioh, allowing for users to combine their toys together. The ZIGURUHAZERU animated series is based on the upcoming original toy line of the same name from MegaHouse, featuring cool robot toys modelled after characters from the famous Journey to the West tale.",[],Bakujuu Gasshin Ziguru Hazeru,['Action'],['Mecha'],,
108,,トレインヒーロー,,,,,['TV'],26,Finished Airing,"Apr 2, 2013 to Sep 26, 2013",['Spring 2013'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,,,24 min. per ep.,G - All Ages,[],#15001,#16175,603,6,,"2100A.D. The world has entered a new age of super high-speed railways. The World Railway Conference has introduced the Laser Rail, a whole new form of travel in which trains are no longer confined to the ground. To operate on the Laser Rail, the Train Base is established. Here, trains from across the globe, installed with artificial intelligences and robot bodies. Thus the Train Heroes are born. Within the Train Base, these Train Heroes undergo strict training sessions. On occasion, they are called upon to assist in disaster rescue and relief. (Source: AniDB)","['Sequel (Movie) Train Heroes Movie', '']",Train Heroes,,,['Kids'],
109,,鉄人28号ガオ!,,,,,['TV'],151,Finished Airing,"Apr 6, 2013 to Mar 26, 2016",['Spring 2013'],Saturdays at 04:52 (JST),['Fuji TV'],"None found,","['Eiken', 'TYO Animations']",['Manga'],,,5 min. per ep.,G - All Ages,[],#14813,#16154,605,0,,"This series of anime shorts, roughly five minutes in length, will focus on protagonist Shoutarou Kaneda's everyday life instead of focusing on battle scenes as previous Tetsujin 28 titles have done. The visuals of the title robot, its nemesis Black Ox, and other elements will have a pop-art style. (Source: ANN)",[],Tetsujin 28-gou Gao!,['Slice of Life'],['Mecha'],,
110,Annyeong Jaduya,안녕 자두야,Hello Jadoo,,,,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,6.17,#8984,#16110,610,3,162,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,['Comedy'],,['Kids'],
111,Kayochu,かよえ！チュー学,Kayoe! Chugaku,,,,['TV'],425,Finished Airing,"Jun 6, 2011 to Mar 28, 2014",['Summer 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,,1 min. per ep.,None,[],#19340,#16420,569,1,,Wada transfers from the Kansai region to the Toukai region in middle school. The story follows his new set of friends as their fivesome enjoy their everyday lives. All the characters' are names are based on Chunichi Dragons baseball team which is located in the Toukai region.,[],Kayoe! Chuugaku,['Comedy'],['School'],,
112,Rice Monster Pap,ごはんかいじゅうパップ,,,,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#18207,#16440,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,,['Kids'],
113,Yowamon,よわむしモンスターズ,,,,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,1 min.,PG - Children,[],#16132,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,,['Kids'],
114,,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17865,#17178,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,['Horror'],,['Kids'],
115,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,,,,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20949,#17402,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,['Comedy'],,['Kids'],
116,,パンダのたぷたぷ,,,,,['TV'],431,Finished Airing,"Apr 2, 2012 to Nov 29, 2013",['Spring 2012'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,30 sec. per ep.,G - All Ages,[],#20944,#17655,444,0,,"A short anime featuring the zodiac animals with a panda named Taputapu as the main character. Each episode is focuses on having a proverb, moral, or uplifting value.",[],Panda no Taputapu,,,['Kids'],
117,,ぴっちぴち♪しずくちゃん,,,,,['TV'],52,Finished Airing,"Oct 5, 2012 to Sep 27, 2013",['Fall 2012'],Fridays at 08:00 (JST),['Sotsu'],"None found,",['Asahi Production'],['Manga'],,,15 min. per ep.,PG - Children,[],#21026,#17658,446,0,,Third season of Pururun! Shizuku-chan.,"['Prequel (TV) Pururun! Shizuku-chan Aha', '']",Picchipichi Shizuku-chan,['Comedy'],,['Kids'],
118,,ともだち8にん,,,,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14954,#17776,437,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,['Comedy'],,['Kids'],
119,Fight! Oden-kun,がんばれ！おでんくん,The Adventure of Oden-kun,,,,['TV'],102,Finished Airing,"Jan 12, 2013 to Dec 27, 2014",['Winter 2013'],Saturdays at Unknown,['Sotsu'],"None found,",['Kachidoki Studio'],Picture book,,,3 min. per ep.,G - All Ages,[],#18107,#17976,422,2,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Prequel (TV) Oden-kun', '']",Ganbare! Oden-kun,['Comedy'],,,
120,Brinken: Finger Skate Generation,翼空之巅,Brinken: Skate Revolution,,,,['TV'],40,Finished Airing,"Apr 2013 to Apr 2, 2015",['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Sports']",,23 min. per ep.,G - All Ages,[],#16028,#18160,406,2,,"In a city of the future, many kids can play with Finger Skateboards--skateboards that can move a simulated character in a battle at will of the player. Our main character enters shop and joins the game along with his 3 friends. They kids go on many adventures and compete against Alexander, the son of a rival company competing against the original shop.",[],Yi Kong Zhi Dian,,,['Kids'],
121,,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20938,#18311,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,['Kids'],
122,Dancer Clinoppe,踊り子クリノッペ,,,,,['TV'],26,Finished Airing,"May 9, 2013 to Nov 28, 2013",['Spring 2013'],Unknown,['GREE'],"None found,",['TYO Animations'],Unknown,"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,[],#20780,#18455,386,0,,"The surreal, comical television anime follow the daily life of Clinoppe and an office lady named Onei-san. (Source: ANN) Based on GREE's Odoriko Clinoppe Creature-Raising Game.",[],Odoriko Clinoppe,,,,
123,"Hi Totobi, Hello Totobi",안녕 토토비,,,,,['TV'],104,Finished Airing,"Jul 20, 2011 to Sep 25, 2013",['Summer 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,20 min. per ep.,PG - Children,[],#16592,#19085,338,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Annyeong Totobi,,,['Kids'],
124,,リトル・チャロ4 英語で歩くニューヨーク,Little Charo 4: New York Again,,,,['TV'],36,Finished Airing,"Apr 3, 2013 to Dec 18, 2013",['Spring 2013'],Wednesdays at 22:00 (JST),['NHK'],"None found,",['Spooky graphic'],Original,,,5 min. per ep.,G - All Ages,[],#19834,#19411,319,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Little Charo', '']",Little Charo 4: Eigo de Aruku New York,['Adventure'],['Educational'],['Kids'],
125,"Mianju Zhanshen, 面具战神",마스크 마스터즈,,,,,['TV'],26,Finished Airing,"Apr 20, 2013 to Oct 19, 2013",['Spring 2013'],Unknown,"None found,","None found,","None found,",Unknown,"['Action', 'Adventure']",,22 min. per ep.,PG - Children,[],#20059,#19698,302,2,,"A show about siblings in which one is chosen by a certain power of an animal, and this older brother finds new friends along his adventure. With his friends he seeks greater animals harming innocent people and places. Having to save his loved ones and challenge people who are stronger than him.","['Sequel (TV) Chao Bian Wu Shou', '']",Mask Masters,,,,
126,,빨간 자전거,Red Bicycle,,,,['TV'],302,Finished Airing,"Jan 22, 2013 to Apr 3, 2015",['Winter 2013'],Unknown,"None found,","None found,","None found,",['Manga'],,,4 min. per ep.,G - All Ages,[],#21141,#20966,232,0,,"Against the backdrop of a rural village with a beautiful landscape, Imhwa-ri, a postman riding a red bicycle, tells the story of our daily life with all of our sadness, joy, pain, and laughter. Let's meet with the postman on a red bicycle! (Source: YouTube)","['Adaptation (Manhwa) The Red Bicycle', '']",Ppalgan Jajeongeo,['Slice of Life'],,['Kids'],
127,"Kijeu CSI Gwahagsusadae, Kids CSI",키즈 CSI 과학수사대,,,,,['TV'],104,Finished Airing,"Jul 9, 2012 to Sep 15, 2014",['Summer 2012'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Mystery']",,23 min. per ep.,G - All Ages,[],#19414,#21375,208,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kijeu CSI,,,['Kids'],
128,Miaenmailobos,미앤마이로봇,Me & My Robot,,,,['TV'],52,Finished Airing,Feb 2013 to Nov 2013,['Winter 2013'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Sci-Fi']",,13 min. per ep.,PG - Children,[],#20089,#22272,164,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Me & My Robot,,['School'],['Kids'],
129,,키오카,,,,,['TV'],78,Finished Airing,"Jan 2, 2012 to Oct 16, 2013",['Winter 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,8 min. per ep.,PG - Children,[],#19442,#22401,159,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kioka,,,['Kids'],
130,,数学荒岛历险记3,,,,,['TV'],40,Finished Airing,Nov 2011 to Dec 2013,['Fall 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG - Children,[],#14401,#22606,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuxue Huang Dao Lixian Ji 2', 'Sequel (TV) Huang Dao Lixian Ji: Luo Ke He Biancheng Mao']",Shuxue Huang Dao Lixian Ji 3,,,['Kids'],
131,,嵩山奇缘,,,,,['TV'],26,Finished Airing,Feb 2012 to Oct 2013,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,17 min. per ep.,PG - Children,[],#14471,#22726,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Songshan Qi Yuan,,,['Kids'],
132,,미술탐험대,Art Odyssey,,,,['TV'],52,Finished Airing,"Aug 29, 2011 to Dec 12, 2013",['Summer 2011'],Unknown,['EBS'],"None found,",['Iconix Entertainment'],Original,,,11 min. per ep.,PG - Children,[],#20320,#23161,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Misultamheomdae,['Fantasy'],['Mahou Shoujo'],['Kids'],
133,Qi Cai Shi Jie,七彩世界,,,,,['TV'],26,Finished Airing,May 2013 to Aug 2013,['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,14 min. per ep.,PG - Children,[],#21243,#23178,131,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Qicai Shijie,,,['Kids'],
134,,少年师爷之信义小侠客,,,,,['TV'],26,Finished Airing,Apr 2013 to Nov 2013,['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#14070,#23878,114,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Ren Shanxing Tianxia', 'Sequel (TV) Shaonian Shiye: Zhili Wanshitong']",Shaonian Shiye: Xinyi Xiao Xiake,,['Historical'],['Kids'],
135,,少年师爷之知礼万事通,,,,,['TV'],26,Finished Airing,Apr 2013 to Aug 2013,['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#14074,#23961,112,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Xinyi Xiao Xiake', 'Sequel (TV) Shaonian Shiye: Yongzhe Chuang Jiangnan']",Shaonian Shiye: Zhili Wanshitong,,['Historical'],['Kids'],
136,,参娃与天池怪兽,,,,,['TV'],78,Finished Airing,Sep 2012 to Oct 2014,['Fall 2012'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#17120,#24151,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Can Wa Yu Tianchi Guaishou,['Fantasy'],,['Kids'],
137,,太公奇书,,,,,['TV'],26,Finished Airing,Jan 2013 to Aug 2013,['Winter 2013'],Unknown,"None found,","None found,","None found,",Unknown,,,12 min. per ep.,PG - Children,[],#14683,#24271,106,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taigong Qi Shu,,,['Kids'],
138,,八闽精灵夺宝记,,,,,['TV'],26,Finished Airing,Mar 2013 to Dec 2013,['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#16702,#24555,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ba Min Jingling Duo Bao Ji,['Fantasy'],,['Kids'],
139,,꼬마신랑 쿵도령,Little Groom Koong,,,,['TV'],26,Finished Airing,"Mar 19, 2013 to Sep 10, 2013",['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,24 min. per ep.,PG - Children,[],#19472,#24613,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kkoma Sinlang Kung Dolyeong,['Comedy'],,['Kids'],
140,,十二生肖之马上就好,,,,,['TV'],40,Finished Airing,Feb 2013 to Oct 2013,['Winter 2013'],Unknown,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG - Children,[],#14173,#24895,96,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shi Er Shengxiao: Mashang Jiu Hao,,,['Kids'],
141,"My Little Sister Can't Be This Cute 2 Specials, Ore no Imouto ga Konna ni Kawaii Wake ga Nai 2 Specials",俺の妹がこんなに可愛いわけがない。,OreImo 2 Specials,,,,['ONA'],3,Finished Airing,"Aug 18, 2013",,,"['Aniplex', 'Movic', 'ASCII Media Works', 'Bandai Namco Games']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.31,#8193,#1681,"145,654",185,92915,Episodes 14–16 of OreImo 2 which finish adapting the OreImo novels.,"['Prequel (TV) Ore no Imouto ga Konnani Kawaii Wake ga Nai.', 'Adaptation (Manga) Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Adaptation (Light Novel) Ore no Imouto ga Konnani Kawaii Wake ga Nai', '']",Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,,['Otaku Culture'],,
142,Saiki Kusuo no Psi Nan,斉木楠雄のΨ難,,,,,['ONA'],1,Finished Airing,"Aug 4, 2013",,,['Opera House'],"None found,",['J.C.Staff'],['Manga'],,"['School', 'Super Power']",16 min.,PG-13 - Teens 13 or older,7.18,#3466,#3522,"45,114",117,20686,"Anime adaptation of the Saiki Kusuo no Ψ-nan manga by Asou Shuichi, telling the story about a male high school student named Kusuo Saiki. He possesses supernatural powers that cause unfortunate events in his everyday life. (Source: ANN)","['Adaptation (Manga) Chounouryokusha Saiki Kusuo no Ψ-nan 0', 'Adaptation (Manga) Saiki Kusuo no Ψ-nan']",Saiki Kusuo no Ψ-nan (ONA),['Comedy'],,['Shounen'],
143,Robot Girls Z 00,ロボットガールズZ 0,,,,,['ONA'],1,Finished Airing,"Jul 30, 2013",,,"None found,","None found,",['Toei Animation'],Original,,"['Anthropomorphic', 'Parody']",4 min.,PG-13 - Teens 13 or older,6.09,#9458,#9766,"3,826",0,1482,Episode 0 of Robot Girls Z.,"['Sequel (Special) Robot Girls Z', '']",Robot Girls Z Episode 0,['Comedy'],,,
144,"Valvrave the Liberator Special Edition - Edited, Valvrave the Liberator Specials, Valvrave the Liberator Recaps",革命機ヴァルヴレイヴ「スペシャルエディション」EDITED,,,,,['ONA'],3,Finished Airing,"Sep 20, 2013 to Sep 22, 2013",,,"None found,","None found,",['Sunrise'],Unknown,"['Action', 'Sci-Fi']","['Mecha', 'Space']",1 hr. 5 min. per ep.,R - 17+ (violence & profanity),6.19,#8865,#10059,"3,479",1,978,"Three edited ONAs that summarize Valvrave the Liberator 1st season were broadcasted on Nico Nico Live on September 20-22, 2013. They are also were included in BD and DVD limited edition volume one of Kakumeiki Valvrave 2nd Season.",[],Kakumeiki Valvrave Recaps,,,,
145,,Petting a Dog,,,,,['ONA'],1,Finished Airing,"Jul 15, 2013",,,"None found,","None found,","None found,",Original,,,16 sec.,G - All Ages,3.93,#13776,#11744,"2,097",5,1322,A man and his dog share an intimate moment. [Written by MAL Rewrite],[],Petting a Dog,['Slice of Life'],,,
146,Promise,約束,,,,,['ONA'],1,Finished Airing,"Aug 13, 2013",,,"None found,","None found,","None found,",Original,,,6 min.,G - All Ages,6.52,#6957,#12796,"1,501",1,851,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yakusoku (ONA),['Drama'],['Music'],,
147,Lemon Home Animation Theater,レモンホームアニメ劇場,,,,,['ONA'],3,Finished Airing,"Jul 31, 2013 to Oct 31, 2017",,,"None found,","None found,","None found,",Original,,,2 min. per ep.,G - All Ages,4.86,#13365,#12887,"1,460",1,927,A scientist brings a lemon to life to fight crime.,[],Lemon Home Animation Gekijou,['Comedy'],,,
148,,KY系JCクウキちゃん,,,,,['ONA'],6,Finished Airing,"Aug 5, 2013 to Sep 9, 2013",,,['CoMix Wave Films'],"None found,","None found,",Original,,,3 min. per ep.,PG-13 - Teens 13 or older,5.38,#12480,#14222,"1,015",0,432,"On the first day as a transfer student, Betao comes to meet one girl. Her name is... Kuuki Yominashi! (Her initials ""KY"" mean ""being unable to read the situation/mood."") When Betao with glasses and Kuuki with skippers meet with each other, the gears of fate starts to spin. The contemporary story, intersecting lives; a story of duty, human nature and friendship. Let's begin the story of a KY-style high school girl Kuuki-chan! (Source: AnimeBancho)",[],KY-kei JC Kuuki-chan,['Comedy'],['School'],,
149,,Peeping Life ユーチューバ―くん,,,,,['ONA'],4,Finished Airing,"Aug 8, 2013 to Aug 29, 2013",,,['CoMix Wave Films'],"None found,","None found,",Original,,,5 min. per ep.,G - All Ages,4.30,#13714,#14552,927,1,388,YouTuber-kun meeting different YouTube celebrities.,[],Peeping Life: YouTuber-kun,['Comedy'],,,
150,,バディ スピリッツ,,,,,['ONA'],1,Finished Airing,"Sep 3, 2013",,,"None found,","None found,","None found,",['Manga'],,,2 min.,G - All Ages,5.21,#12898,#14622,909,1,373,"In 202x, robots have become essential partner for humans. One day, a silver security robot went out of control regardless of its emergency shutdown and people were in panic. The robot military unit ""SARF"" established in the metropolitan police begins their mission! (Source: Hero's web)","['Adaptation (Manga) Buddy Spirits', '']",Buddy Spirits,['Action'],['Mecha'],,
151,,ヌードバッター鉄雄,,,,,['ONA'],1,Finished Airing,Jul 2013,,,"None found,","None found,","None found,",Original,"['Comedy', 'Sports']",,4 min.,R+ - Mild Nudity,4.64,#13564,#14820,858,1,467,An independent production by Takashi Taniguchi.,[],Nude Batter Tetsuo,,['Team Sports'],,
152,,映画『R100』×「豆しば」オリジナルマナ,,,,,['ONA'],1,Finished Airing,"Sep 11, 2013",,,"None found,","None found,","None found,",Other,,,1 min.,PG-13 - Teens 13 or older,4.72,#13503,#15348,730,0,365,"A movie theater manners collaboration between Mameshiba and the feature film R100, which was released nationwide in Japan on October 5, 2013. The film is about a salaryman who joins a BDSM club that starts to leak into his family life--it is considered a sex drama comedy film.",[],"""R100"" x Mameshiba Original Manners",['Comedy'],,,
153,Shirona,白菜アニメ,,,,,['ONA'],4,Finished Airing,"Jul 15, 2013 to Apr 14, 2021",,,"None found,","None found,","None found,",Original,"['Comedy', 'Romance']",,4 min. per ep.,PG - Children,5.46,#12231,#15533,698,0,152,School Life of Hakusai and her friends. Produced by Lamaze P (ラマーズP) in collaboration with Studio Piapro and broadcasted on Nico Nico.,[],Hakusai Anime,,['School'],,
154,PonQue,ポンコツクエスト～魔王と派遣の魔物たち～,,,,,['ONA'],Unknown,Currently Airing,"Aug 22, 2013 to ?",,,['VAP'],"None found,",['Pie in the sky'],Original,"['Comedy', 'Fantasy']",,3 min.,PG - Children,[],#21091,#15694,671,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ponkotsu Quest: Maou to Haken no Mamono-tachi,,['Parody'],,
155,Passionate Detective Agency,熱血探偵事務所,,,,,['ONA'],5,Finished Airing,"Sep 16, 2013 to Oct 15, 2013",,,['CoMix Wave Films'],"None found,","None found,",Unknown,"['Comedy', 'Mystery']",,3 min. per ep.,PG-13 - Teens 13 or older,5.24,#12838,#15839,650,1,255,It is year 40XX in the Universal Era. The story takes place on Jinmen planet which is quite far away in the universe. This is a passionate tale about a human-faced dog and his troubled comrades. (Source: Anime Bancho),[],Nekketsu Tantei Jimusho,,['Parody'],,
156,,キズナ,,,,,['ONA'],1,Finished Airing,"Sep 19, 2013",,,"None found,","None found,","None found,",Original,,,3 min.,G - All Ages,5.71,#11304,#16292,586,0,275,A Norton (anti-virus company) commissioned anime from Tekken showing a man who tries to protect his coworkers but caves under the social pressure. He finds himself scared and alone only for a girl to come and protect him (emotionally) and together they protect each other.,[],Kizuna (ONA),['Drama'],,,
