,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,German,Spanish,Theme,Demographics
53,Offside (2001),オフサイド,,['TV'],39,Finished Airing,"May 10, 2001 to Jan 31, 2002",['Spring 2001'],Unknown,['Animax'],"None found,",['Ashi Productions'],['Manga'],"['Drama', 'Sports']",,,23 min. per ep.,G - All Ages,7.09,#3939,#9128,"4,705",26,1890,"Goro Kumagaya is an established, tall middle-school goalkeeper who wanted to enter Yokonan high-school that is considered to be among the elites in terms of its football club, only to fail and end up in the lowly-ranked school opposite to Yokonan because of an accident. However, he met Shingo, Hideki and Kazuhito Oda who are all skillful footballers there and together in the Kawasaki High School football club, they challenge Yokonan and any other schools that they have to face in order to improve and become the champions. Any setbacks that they face would instead be an opportunity for a better improvement; one of which was the discovery of Goro's natural talent as an ace striker. (Source: ANN)","['Adaptation (Manga) Offside', '']",Offside (TV),,,,,['Team Sports'],
54,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,,
55,,真・女神転生 デビチル,,['TV'],50,Finished Airing,"Oct 7, 2000 to Sep 29, 2001",['Fall 2000'],Saturdays at 07:30 (JST),"None found,","None found,",['Tokyo Movie'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Mythology', 'Video Game']",['Kids'],23 min. per ep.,PG - Children,6.50,#7039,#9979,"3,574",2,931,A series based off of the Shin Megami Tensei: Devil Children franchise.,"['Sequel (TV) Shin Megami Tensei Devil Children: Light & Dark', 'Adaptation (Manga) Shin Megami Tensei Devil Children']",Shin Megami Tensei Devil Children,,,,,,
56,Webdiver,電脳冒険記ウェブダイバー,Brain Adventure Record Webdiver,['TV'],52,Finished Airing,"Apr 6, 2001 to Mar 23, 2002",['Spring 2001'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Animation', 'Nihon Ad Systems']",['Frontier Works'],['Radix'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG - Children,6.97,#4528,#10224,"3,310",20,1396,"Set in the year 2100 where the world is tied together by a computer network. The children of the world become Web Divers, adapting their consciousnesses into data, and love to play together in the cyber park called Magical Gate. However, a mysterious computer virus appears beginning to destroy Magical Gate from the inside out. In cyberspace, programs called Web Knights have been created to protect the children. But, the computer virus has turned all the Web Knights against the children. The only Web Knight to escape the ""brainwashing"" is Gladion. Gladion seeks the help of Kaito Yuki, a Web Diver who is in the fourth grade. (Source: ANN)",[],Dennou Boukenki Webdiver,,,,,['Mecha'],
57,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,
58,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,
59,I Love You! BuBu ChaCha,だいすき! ぶぶチャチャ,I love BuBu ChaCha,['TV'],26,Finished Airing,"May 10, 2001 to Nov 29, 2001",['Spring 2001'],Unknown,['Amino'],"None found,",['Daume'],Original,,,['Kids'],25 min. per ep.,G - All Ages,7.03,#4263,#11761,"2,093",6,1023,"The anime talks about a little boy, Randy, whose dog, Chacha, died in an accident and was reincarnated into a living toy car. Each episode is told like the chapter of a storybook, where Randy learns a valuable thing in life with his cartoonish and goofy friend Chacha. Randy meets several friends in his neighbourhood, such as Catherine, the tall blonde girl in red long socks who rides a bicycle, or Mary, a little hot-tempered brunette girl dressed as a maid and who carries around a mop. (Source: ANN)","['Prequel (TV) Norimono Oukoku BuBu ChaCha', '']",Daisuki! BuBu ChaCha,,,,,['Pets'],
60,,바스토프 레몬,BASToF Syndrome,['TV'],26,Finished Airing,"May 3, 2001 to Nov 15, 2001",['Spring 2001'],Unknown,"None found,",['ADV Films'],['Dongwoo A&E'],Unknown,"['Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9320,#12664,"1,568",2,389,"The story takes place in the year 2097 and in the city of Xenon. An ultimate cyber game, where players fight as bio-mechanical cyber robots, has been developed. However, there's something wrong. The game's cyberspace and the real world are linked. The damage that occurs in the game's cyberspace creates destruction in the city of Xenon. This all started when players heard a painful scream, saw a ghostly face, and a powerful scent of lemon overcame them. To solve this mystery, the creator of the game assembles a ""Dream Team,"" which is the top three gamers in all of Xenon. The team is composed of rebellious and arrogant teens, who, have to overcome their attitudes and fears to find the answers, answers to the mystery that are much bigger than just the game. (Source: Wikipedia)",[],Genei Toushi Bastof Lemon,,,,,['Mecha'],
61,Mighty Cat Masked Niyander,ニャニがニャンだー ニャンダーかめん,,['TV'],83,Finished Airing,"Feb 6, 2000 to Sep 30, 2001",['Winter 2000'],Sundays at 07:00 (JST),"['Nagoya Broadcasting Network', 'Tokyu Agency']","None found,",['Sunrise'],Picture book,,,['Kids'],25 min. per ep.,PG - Children,6.85,#5076,#12777,"1,510",9,715,"One day a normal cat boy got a power to transform into a super ""kamen cat."" Whenever he heard people saying ""help"" he would dash right over there and help them fight against enemies.",[],Nyani ga Nyandaa Nyandaa Kamen,,['Comedy'],,,,
62,,パチスロ貴族 銀,,['TV'],23,Finished Airing,"Apr 12, 2001 to Sep 20, 2001",['Spring 2001'],Unknown,"['Actas', 'Yomiko Advertising', 'Fuji TV']","None found,",['A-Line'],['Manga'],"['Action', 'Suspense']","['Adult Cast', 'High Stakes Game', 'Strategy Game']",,22 min. per ep.,None,5.90,#10461,#12799,"1,503",0,196,"Ginya Otonashi is a college dropout who works part-time for a pachislot publishing company while aspiring to become a novelist. One day, Ginya comes across a secret organization and gets pulled into a competition to become #1 in ""Pachi Battle,"" which is all a part of the Slotseum, a pachislot competition. (Source: ANN)",[],Pachislo Kizoku Gin,,,,,,
63,,트랙시티,Track City,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,,,24 min. per ep.,PG - Children,5.94,#10244,#12843,"1,484",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,['Action'],,,['Racing'],
64,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,,['Anthropomorphic'],
65,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,
66,Let's Go Quintuplets,ゴーゴー五つ子ら・ん・ど,,['TV'],50,Finished Airing,"Apr 14, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Eiken'],"None found,",['Magic Bus'],Unknown,,,,20 min. per ep.,G - All Ages,6.42,#7571,#13942,"1,093",1,388,"The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality.",[],Go! Go! Itsutsugo Land,,,,,['School'],
67,"Weekly! Story Land, Shuukan! Story Land",週刊ストーリーランド,,['TV'],56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",['Fall 1999'],Thursdays at 20:00 (JST),['Nippon Television Network'],"None found,","['Nippon Animation', 'VAP', 'Satelight', 'Shin-Ei Animation', 'Tokyo Movie']",Original,"['Comedy', 'Drama', 'Slice of Life']",,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7131,#13970,"1,086",0,158,"This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [謎の老婆] (tvss), Meibugyou Bun-san [名奉行・文さん], Jo Keibu Jinguuji Youko [女警部・神宮寺葉子], Remon Suzumori's Soudanjo [鈴森なんでも相談所]. (Source: animated-divots.net)",[],Shuukan Storyland,,,,,,
68,,蓝猫淘气3000问,3000 Whys Of Blue Cat,['TV'],3057,Finished Airing,"Oct 8, 1999 to Aug 2001",['Fall 1999'],Not scheduled once per week,['Beijing Sunchime Happy Culture Company'],"None found,","None found,",Original,"['Adventure', 'Comedy']",,,11 min. per ep.,PG - Children,6.05,#9678,#14603,918,0,228,"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble. (Source: Wikipedia)",[],Lan Mao,,,,,,
69,"Gyoten Ningen Batsealer, Gyoten Ningen Batseelor, Gyouten Ningen Batseelor, Gyoten Ningen Batoshiiraa",仰天人間バトシーラー,Captain Fatz and the Seamorphs,['TV'],52,Finished Airing,"Apr 7, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Group TAC'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,,25 min. per ep.,PG - Children,6.46,#7359,#15215,763,3,190,"With the ability to transcend time, Captain Fatz and comrades embarked on a journey of battle and adventure to gather the eight scattered stone pieces (namely Light, Darkness, Fire, Water, Air, Earth, Wood & Metal) which was granulated by the lord of destruction, in order to restore the chaotic world back to peace.",[],Gyouten Ningen Batsealer,,,,,,
70,,ぐるぐるタウン　はなまるくん,,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,,,['Kids'],25 min. per ep.,G - All Ages,6.08,#9516,#16260,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,,['Comedy'],,La Pandilla de Hanamaru,['Anthropomorphic'],
71,,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20601,#16833,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,
72,Sushi Seal,すしあざらし,,['TV'],30,Finished Airing,"Jan 20, 2001 to Sep 29, 2001",['Winter 2001'],Saturdays at 16:55 (JST),"None found,","None found,",['M.S.C'],Picture book,,,,2 min. per ep.,PG - Children,[],#14647,#17833,434,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sushi Azarashi,,['Comedy'],,,,
73,,探偵少年カゲマン,,['TV'],39,Finished Airing,"Apr 10, 2001 to Jan 16, 2002",['Spring 2001'],Unknown,['Shogakukan Productions'],"None found,",['Studio Hibari'],Unknown,"['Comedy', 'Mystery']",,,11 min. per ep.,G - All Ages,[],#14758,#17920,427,0,,Kageman is a boy who wants to become the best detective in the world. Each of the self-contained episode features a fun guessing game and unriddling of a case. (Source: AniDB),[],Tantei Shounen Kageman,,,,,,
74,Tangoo & Ullashong,탱구와 울라숑,,['TV'],26,Finished Airing,"Mar 23, 2001 to Oct 12, 2001",['Spring 2001'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Comedy']",,,22 min. per ep.,PG - Children,[],#14682,#18716,368,4,,The series follows a boy named Tangoo and a robot named Ullashong.,[],Taeng-gu & Ulasyong,,,,,['Mecha'],
75,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,['Kids'],3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,,,['Music'],
76,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15990,#19000,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,,
77,,デジタル所さん,Mr.Digital Tokoro,['TV'],245,Finished Airing,"Oct 2, 2000 to Sep 28, 2001",['Fall 2000'],Not scheduled once per week,"['VAP', 'Nippon Television Network']","None found,",['Polygon Pictures'],Original,,,,3 min. per ep.,G - All Ages,[],#17648,#19774,299,0,,CGI shorts about famous Japanese comedian George Tokoro.,[],Digital Tokoro-san,,['Comedy'],,,,
78,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],6 min. per ep.,PG - Children,[],#18441,#22582,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,,,,
79,,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],11 min. per ep.,PG - Children,[],#18180,#23238,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,,
80,,무지개 요정 통통,,['TV'],19,Finished Airing,"Feb 23, 2001 to Jun 2002",['Winter 2001'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],25 min. per ep.,PG - Children,[],#20473,#23510,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mujigae Yojeong Tongtong,,,,,,
81,,キクマナ,,['ONA'],1,Finished Airing,"Jul 14, 2001",,,"None found,","None found,",['Studio Rikka'],Original,,,,6 min.,PG-13 - Teens 13 or older,5.69,#11434,#6899,"9,536",8,4686,"This work ""Kikumana"" is an animation of a girl called Kikumana who acts like in a stage performance, the role defeated by such an ill circumstance though she tries to find herself. The primal aim is to get the audience feeling a strange atmosphere spread from this work. The image has a pictorial atmosphere and a documentary touch at the same time. Unrealistic phenomena take place there. (Source: AniDB)",[],Kikumana,,['Avant Garde'],,,['Psychological'],
82,,ののちゃんシアター,,['ONA'],85,Finished Airing,"Sep 3, 2001 to Dec 28, 2001",,,['Asahi Shimbun'],"None found,",['Opera House'],['4-koma manga'],,,,40 sec. per ep.,G - All Ages,[],#20732,#17867,431,0,,Animated shorts focusing on the Yamada family.,"['Adaptation (Manga) Tonari no Yamada-kun', '']",Nono-chan Theater,,['Comedy'],,,,
83,JoJo's Bizarre Adventure (2000),ジョジョの奇妙な冒険 ADVENTURE,JoJo's Bizarre Adventure (OVA),['OVA'],7,Finished Airing,"May 25, 2000 to Jan 25, 2002",,,"['KlockWorx', 'BEAM Entertainment']","None found,",['APPP'],['Manga'],"['Action', 'Adventure', 'Drama']","['Super Power', 'Vampire']",['Shounen'],28 min. per ep.,R+ - Mild Nudity,7.24,#3126,#2459,"85,382",378,37681,"Kujo Jotaro is a normal, popular Japanese high-schooler, until he thinks that he is possessed by a spirit, and locks himself in prison. After seeing his grandfather, Joseph Joestar, and fighting Joseph's friend Muhammad Abdul, Jotaro learns that the ""Spirit"" is actually Star Platinum, his Stand, or fighting energy given a semi-solid form. Later, his mother gains a Stand, and becomes sick. Jotaro learns that it is because the vampire Dio Brando has been revived 100 years after his defeat to Jonathan Joestar, Jotaro's great-great-grandfather. Jotaro decides to join Joseph and Abdul in a trip to Egypt to defeat Dio once and for all.","['Sequel (OVA) JoJo no Kimyou na Bouken', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']",JoJo no Kimyou na Bouken: Adventure,,,,,,
84,Bible Black: Night of the Walpulgiss,バイブルブラック,Bible Black,['OVA'],6,Finished Airing,"Jul 21, 2001 to Jun 25, 2003",,,"['Milky Animation Label', 'Active']",['Media Blasters'],['Studio Jam'],Visual novel,,,,28 min. per ep.,Rx - Hentai,6.58,N/A,#2807,"68,472",580,35686,"Every school has secrets, but few leave a stain that won't wash out. In a certain school, there was once a fun club centered around magic but had turned into murder and a lust for power. Sealed and willfully forgotten, the resulting evil of that day remained chained in the school's basement. Twelve years later, high school student Taki Minase, while inspecting the place where the incident took place, uncloaks the secret plastered in blood—a book of magic called ""Black Bible."" Trying his luck with its love curses, he soon finds out the magic proves real and easily penetrates the hearts and bodies of his fellow classmates. The resulting intercourse leaves the student body very vocal, and Minase's acts do not go unnoticed. What was at first a simple stroke of curiosity becomes much larger and harder to control. Fully swallowed by the unshackled darkness, everyone he knows becomes a victim, including his childhood friend Kurumi Imari. Torn apart, Minase finally realizes his mistakes and that he must reverse them in time if he ever hopes for him and Imari to come together. [Written by MAL Rewrite]","['Prequel (OVA) Bible Black Gaiden', 'Sequel (OVA) Bible Black: New Testament', 'Adaptation (Light Novel) Bible Black: La Noche de Walpurgis', '']",Bible Black,,['Hentai'],,,,
85,Love Hina Episode 28,ラブひなFINAL SELECTION ～アニメ総集編&LOVE HINA LIVE in 東京BAY N.K.～,Love Hina Final Selection,['OVA'],1,Finished Airing,"Sep 5, 2001",,,"None found,",['Bandai Entertainment'],['Xebec'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,['Shounen'],28 min.,PG-13 - Teens 13 or older,7.14,#3687,#4122,"33,243",28,15658,"Love Hina Final Selection, tells the story of Love Hina. Then gives Keitaro's final selection of girl, for those unfamiliar with Love Hina, Keitaro is the main character, surrounded by girls in an all girl dorm, he is 20 unlucky and eventually becomes a cool, respected hero to the girls, they all end up having a crush on him and he must choose, this OVA features his decision.",[],Love Hina Final Selection,,,,,['Harem'],
86,"X - Yochou, X OVA: Episode 0, X - An Omen",X -エックス-第零話 予兆,X: An Omen,['OVA'],1,Finished Airing,"Aug 25, 2001",,,"['Bandai Visual', 'Kadokawa Shoten', 'd-rights', 'chara-ani.com']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Action', 'Drama', 'Fantasy', 'Mystery']",,['Shoujo'],22 min.,PG-13 - Teens 13 or older,6.76,#5545,#5849,"14,302",6,6689,"In this prequel to the ""X"" TV series, a beautiful, young, bedridden dreamgazer named Kakyou remembers the life and death of a remarkable young woman whom he met in dreams. He also recounts his dreams of a tragic future in which the fate of the Earth will be decided. (Source: ANN)","['Prequel (OVA) Tokyo Babylon', 'Sequel (TV) X', 'Adaptation (Manga) X', '']",X OVA,,,,,['Super Power'],
87,,エクスドライバー,,['OVA'],6,Finished Airing,"Jul 25, 2000 to Sep 25, 2001",,,"['Bandai Visual', 'Xebec', 'Dentsu', 'Genco', 'Triangle Staff', 'Ashi Productions']",['Media Blasters'],['Actas'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6095,#6135,"12,628",36,5225,"eX-Driver is set in the future, where all transportation is easily controlled by AI. Though, like all machines, they tend to break down, lose control, or get re-programmed. This is where three high schoolers with non-AI cars—a Subaru WRX, a Caterham Super 7, and a Lotus Europa—come in to save the day and make sure the public is safe at all times. (Source: ANN, edited)","['Prequel (Movie) eX-Driver: Nina & Rei Danger Zone', 'Sequel (Movie) eX-Driver the Movie']",eX-Driver,,,,,['Racing'],
88,Happy Lesson OVA,HAPPY☆LESSON,,['OVA'],5,Finished Airing,"Jul 19, 2001 to May 23, 2003",,,['KSS'],['ADV Films'],"['Studio Kyuuma', 'Venet', 'Chaos Project']",Unknown,"['Comedy', 'Romance']","['Harem', 'School']",,30 min. per ep.,PG-13 - Teens 13 or older,6.58,#6616,#6197,"12,341",14,4803,"One guy. Five girls. One roof. It's a recycled idea, but it never gets old. Happy Lesson is a kinetic take on an old genre. Chitose shares his house with five ladies. One might think the continued attention of this many girls would be a good thing, but too much attention can prove to be painful. Did I mention they're also instructors at his school (hence the title)? Not only is he the subject of their abuse at home, but at school as well. Even when things finally calm down at night, all the rooms are taken so Chitose must sleep on the couch. (Source: AniDB)","['Adaptation (Manga) Happy★Lesson: Mama Sensei wa Saikou!', '']",Happy☆Lesson,,,,Happy☆Lesson Ovas,,
89,,マジンカイザー,Mazinkaiser,['OVA'],7,Finished Airing,"Sep 25, 2001 to Sep 20, 2002",,,"['Bandai Visual', 'Bee Media', 'Dynamic Planning']","['ADV Films', 'Discotek Media']","[""Brain's Base""]",['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",,['Shounen'],28 min. per ep.,R+ - Mild Nudity,7.32,#2736,#6294,"11,849",68,4977,"Dr. Hell and his Mechanical Beasts are back, and they're more dangerous than ever before. Kouji Kabuto and Tetsuya Tsurugi fight a fierce battle against these hellish machines, which are under the command of Baron Ashura. Unfortunately, they are defeated, with Kouji's Mazinger Z being captured and Tetsuya's Great Mazinger seriously damaged by the enemy. The devious Dr. Hell quickly converts the captured robot into Ashura Mazinger and uses it to attack the Photo Power Lab. At the same time, Kouji is missing in action, which leaves Testuya to defend the lab in the damaged Great Mazinger. But the forces of Dr. Hell are too strong, even for a brave pilot such as Tetsuya, and all seems to be lost. The battle seems to be drawing to a close, until an overpowering blast fired by an unknown robot destroys the entire Mechanical Beast army. Could this mysterious robot be the legendary Mazinkaiser, and who is piloting it?","['Sequel (OVA) Mazinkaiser: Shitou! Ankoku Dai Shougun', 'Adaptation (Manga) Mazinkaiser']",Mazinkaiser,,,,,['Mecha'],
90,"Hanaukyo Maids, Maid in Hanaukyo",花右京メイド隊,,['OVA'],3,Finished Airing,"Sep 19, 2001 to Nov 7, 2001",,,['m.o.e.'],"None found,",['Daume'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,['Shounen'],14 min. per ep.,R+ - Mild Nudity,6.64,#6276,#6672,"10,304",5,4844,"In this three-episode OVA, Taro learns more about Cynthia`s life as herself and her alter-ego Grace. He also undergoes training with his bodyguard Konoe. And finally, Ikuyo dupes Taro in spending a whole day disguised as a maid. (Source: ANN)","['Prequel (TV) Hanaukyou Maid-tai', '']",Hanaukyou Maid-tai OVA,,,,,['Harem'],
91,,グッドモーニング・コール,,['OVA'],1,Finished Airing,"Aug 2, 2001",,,"['Nihon Ad Systems', 'Shueisha']","None found,","['Production I.G', 'Trans Arts']",['Manga'],"['Comedy', 'Drama', 'Romance']",,['Shoujo'],19 min.,PG - Children,6.06,#9595,#7608,"7,445",4,3925,"One year has passed since Nao and Uehara accidently moved into the same apartment. Since then, they have become an official couple. With Uehara's 16th birthday coming up, Nao's biggest worry is what to buy him. Everything is going smoothly- that is, until Nao realizes Uehara's birthday has already passed and she spent it acting as a cut model for the handsome hair stylist, Asai. (Source: ANN)","['Adaptation (Manga) Good Morning Call', '']",Good Morning Call,,,,,['School'],
92,"Crimson Lotus, Red Lotus, BloodShadow",紅蓮,Blood Shadow,['OVA'],3,Finished Airing,"Sep 7, 2001 to Mar 29, 2002",,,['Discovery'],['Critical Mass Video'],['AT-2'],Visual novel,,,,29 min. per ep.,Rx - Hentai,6.11,N/A,#8201,"6,199",15,1864,"In a world where demons lurk behind every shadow, ready to ravage any woman who crosses their path, murder and bloodshed are a way of life. A team of feisty female fighters known as the Crimson Lotus is humanity's last hope for survival. When tragedy strikes and one of their members is slaughtered, it's time for the Crimson Lotus to destroy the demons at their source, and bathe the underworld in the blood of vengeance!",[],Guren,Blood Shadow,['Hentai'],Blood Shadow,,['Harem'],
93,One: To a Shining Season,ONE ～輝く季節へ～,,['OVA'],4,Finished Airing,"Aug 10, 2001 to May 24, 2002",,,['KSS'],"None found,",['Arms'],Visual novel,"['Drama', 'Supernatural']",,,27 min. per ep.,PG-13 - Teens 13 or older,5.05,#13168,#9179,"4,635",7,1691,"Orihara Kouhei returns to his town after a long disappearance to fullfil the promises he made to several girls in his childhood. He suffered from memory loss, and carries a tragic past. An strange ambience surrounds the OVA...It's almost like a dream, like memories from the past trying to come together in one piece but without being able to... (Source: ANN)","['Sequel (OVA) One: Kagayaku Kisetsu e - True Stories', '']",One: Kagayaku Kisetsu e,,,,,,
