,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,Synonyms,Demographic,German,Spanish,French,Demographics
106,侠岚,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,,"['Historical', 'Martial Arts']",25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9661,#14671,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",,"Man Lan, Shalen",,,,,
107,GON -ゴン-(第2期),,['TV'],26,Finished Airing,"Apr 4, 2015 to Sep 26, 2015",['Spring 2015'],Saturdays at 09:14 (JST),['TV Tokyo'],"None found,",['Daewon Media'],['Manga'],,,12 min. per ep.,G - All Ages,6.03,#9755,#15049,804,3,300,Continuation of the Gon series.,"['Prequel (TV) Gon', '']",Gon 2nd Season,"['Action', 'Adventure']",,Gon (2015),['Kids'],,,,
108,くつだる。,,['TV'],48,Finished Airing,"Apr 2, 2014 to Sep 16, 2015",['Spring 2014'],Wednesdays at 18:45 (JST),['NHK'],"None found,",['Egg'],['Manga'],,,9 min. per ep.,PG - Children,[],#19683,#15081,795,1,,"In a Tokyo suburb small town, there lives a girl named Nekota Kaoru. Being born into a normal family, being raised in a normal way, this spring she'll become a normal happy middle-schooler. However, since young age, Nekota had an abnormal ability to see Imadoki youkai (Modern Monster). And she has kept it a secret from others...",[],KutsuDaru.,"['Fantasy', 'Slice of Life']",['School'],Kutsushita ga Daru Daru ni Nacchau Wake: Imadoki Youkai Zukan,['Kids'],,,,
109,猫ピッチャー,,['TV'],51,Finished Airing,"May 3, 2014 to Mar 29, 2016",['Spring 2014'],Tuesdays at 20:00 (JST),"None found,","None found,","None found,",['4-koma manga'],,"['Anthropomorphic', 'Team Sports']",2 min. per ep.,G - All Ages,6.05,#9694,#15179,767,1,210,A story about Cat pitcher Mi-Tarou's actions. It is a 23-koma that serialized in Yomiuri Shimbun Sunday.,"['Adaptation (Manga) Neko Pitcher', '']",Neko Pitcher,"['Comedy', 'Sports']",,,['Kids'],,,,
110,グッド・モーニング!!!ドロンジョ,,['TV'],243,Finished Airing,"Mar 30, 2015 to Mar 25, 2016",['Spring 2015'],Not scheduled once per week,"['Nippon Television Network', 'Kate Arrow']","None found,",['Oddjob'],Original,['Comedy'],,1 min. per ep.,G - All Ages,5.65,#11624,#15327,733,0,152,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Ohayou Hakushon Daimaou', '']",Good Morning!!! Doronjo,,['Parody'],Doronjo ZIP!,,,,,
111,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,,,8 min.,G - All Ages,[],#14228,#15589,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,"['Adventure', 'Comedy', 'Fantasy']",,,['Kids'],,,,
112,たまごっち! たまともだいしゅーGO,,['TV'],26,Finished Airing,"Apr 2, 2015 to Sep 24, 2015",['Spring 2015'],Thursdays at 18:00 (JST),"None found,","None found,",['OLM'],Game,,,24 min. per ep.,G - All Ages,[],#14722,#15783,658,0,,New Tamagotchi! anime series.,"['Prequel (TV) GO-GO Tamagotchi!', '']",Tamagotchi! Tamatomo Daishuu GO,"['Comedy', 'Fantasy']",,Tamagotchi! Tamatomo Dai Shu-GO,['Kids'],,,,
113,おまかせ! みらくるキャット団,,['TV'],32,Finished Airing,"Mar 31, 2015 to Feb 23, 2016",['Spring 2015'],Tuesdays at 18:45 (JST),['NHK'],"None found,",['OLM Digital'],Original,['Comedy'],,9 min. per ep.,G - All Ages,[],#20819,#16020,622,0,,"Nakagawa owns 10 cats in real life, and she adores one in particular named Mamitasu, the anime's namesake. The anime depicts the slapstick comedy of the idiosyncratic 10 cats and the folks in the unusual ""Nakagawa family."" (Source: ANN)",[],Omakase! Miracle Cat-dan,,['Super Power'],"Leave it to Mamitasu, Omakase Mamitasu",['Kids'],,,,
114,にゃん符,,['TV'],124,Finished Airing,"Feb 22, 2014 to Sep 29, 2016",['Winter 2014'],Not scheduled once per week,"None found,","None found,",['MMDGP'],Original,['Comedy'],,1 min. per ep.,G - All Ages,[],#20754,#16088,613,1,,"Shorts that feature music note cats. The series premiered on February 22, 2014 on television; the first episode was published on an official YouTube channel that same day. The whole world is in love with character illustrations of cats, dogs, and bears. A brand-new show, and the first of its kind in Japan, featuring nothing but cat characters for cat lovers started airing in February 2014. A variety of cat characters designed by Japan's topnotch creators and illustrators are animated and they are voiced by popular KAWAII (cute) anime voice actors. This show is a must-see not just for the fans of cat characters but for all anime lovers! (Source: YouTube)",[],Nyanfuru,,['Music'],"Nyanfu, Nyanfull",,,,,
115,秘密結社鷹の爪 DO,,['TV'],38,Finished Airing,"Apr 3, 2015 to Mar 4, 2016",['Spring 2015'],Fridays at 18:20 (JST),"None found,","None found,",['DLE'],Original,['Comedy'],"['Parody', 'Super Power']",5 min. per ep.,PG-13 - Teens 13 or older,5.57,#11910,#16116,609,0,117,Sequel to the previous season of the flash anime series.,"['Prequel (TV) Himitsukessha Taka no Tsume EX', 'Sequel (ONA) Himitsukessha Taka no Tsume GT']",Himitsukessha Taka no Tsume DO,,,Secret Society Eagle Talon Just Do It,,,,,
116,鉄人28号ガオ!,,['TV'],151,Finished Airing,"Apr 6, 2013 to Mar 26, 2016",['Spring 2013'],Saturdays at 04:52 (JST),['Fuji TV'],"None found,","['Eiken', 'TYO Animations']",['Manga'],['Slice of Life'],,5 min. per ep.,G - All Ages,[],#14808,#16148,605,0,,"This series of anime shorts, roughly five minutes in length, will focus on protagonist Shoutarou Kaneda's everyday life instead of focusing on battle scenes as previous Tetsujin 28 titles have done. The visuals of the title robot, its nemesis Black Ox, and other elements will have a pop-art style. (Source: ANN)",[],Tetsujin 28-gou Gao!,,['Mecha'],,,,,,
117,안녕 자두야,Hello Jadoo,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,['Comedy'],,11 min. per ep.,PG - Children,6.16,#9060,#16106,610,3,160,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,,,Annyeong Jaduya,['Kids'],,,,
118,ハッピージョージ,,['TV'],52,Finished Airing,"Apr 3, 2015 to Apr 1, 2016",['Spring 2015'],Fridays at 02:05 (JST),"['Sotsu', 'Kate Arrow']","None found,",['Kachidoki Studio'],Original,['Comedy'],,1 min. per ep.,G - All Ages,[],#18429,#16381,574,0,,A comedic family of Americans experience life in Japan.,[],Happy Jozy,,,Happy George,,,,,
119,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,,30 sec.,G - All Ages,[],#18204,#16436,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,"['Action', 'Comedy']",,Rice Monster Pap,['Kids'],,,,
120,출동! 슈퍼윙스,Super Wings,['TV'],52,Finished Airing,"Sep 1, 2013 to Feb 25, 2016",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,['Adventure'],,12 min. per ep.,PG - Children,5.86,#10652,#16600,548,1,210,"Super Wings follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery, Jett encounters new problems that he must solve with the help of his friends the ""Super Wings"": Dizzy, Jerome and Donnie. Together, the team explores different countries and learns the diversity of new cultures. (Source: Official YouTube channel)","['Sequel (TV) Chuldong! Super Wings 2', '']",Chuldong! Super Wings,,['Racing'],,['Kids'],Super Wings,Super Wings. ¡Siempre Cumplimos!,Super Wings,
121,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,1 min.,PG - Children,[],#16128,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,,Yowamon,['Kids'],,,,
122,ぐらＰ＆ろで夫,,['TV'],61,Finished Airing,"Oct 19, 2014 to Dec 29, 2015",['Fall 2014'],Not scheduled once per week,['Lantis'],"None found,",['Pie in the sky'],Original,['Comedy'],,2 min. per ep.,PG-13 - Teens 13 or older,[],#18240,#16800,525,1,,"Rodeo is a normal high school boy who aims to be like GRANRODEO. Gra-P, a self-proclaimed music producer who comes from the future, tries to help him.","['Sequel (Special) Gra-P & Rodeo: Band wo P', 'Sequel (TV) Gra-P & Rodeo II']",Gra-P & Rodeo,,['Music'],"GuraP & Rodeo, GraP & RodeO",,,,,
123,パンパカパンツ おNEW！,,['TV'],26,Finished Airing,"Apr 4, 2015 to Oct 10, 2015",['Spring 2015'],Saturdays at 05:25 (JST),['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,['Comedy'],,5 min. per ep.,G - All Ages,[],#20950,#17176,488,0,,Follows a pig whose family's mission is to collect underpants.,"['Sequel (TV) Panpaka Pants W-O-New!', '']",Panpaka Pants O-New!,,,Panpaka Pantsu,['Kids'],,,,
124,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,['Horror'],"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17862,#17183,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,['Kids'],,,,
125,パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,['Comedy'],,15 sec. per ep.,G - All Ages,[],#20946,#17399,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,,"Panpaka Panties, Panpaka Underwear",['Kids'],,,,
126,ふなっしーのふなふなふな日和,,['TV'],130,Finished Airing,"Mar 30, 2015 to Sep 25, 2015",['Spring 2015'],Not scheduled once per week,['Nippon Television Network'],"None found,",['Asahi Production'],Original,,,1 min. per ep.,G - All Ages,[],#18034,#17654,446,0,,"Funassyi, the popular pear-shaped mascot character of the Tokyo suburb Funabashi, will premiere its own series of television anime shorts on March 30. The Funassyi no Funafunafuna Hiyori (Funassyi's Aimless Days) shorts will run every weekyday within the morning variety program Sukkiri!! Besides Funassyi, the anime will feature the brand-new character Guressyi (voiced by Lynn) and Nashigami-sama (Naoki Tatsuta). (Source: ANN)",[],Funassyi no Funafunafuna Biyori,"['Comedy', 'Slice of Life']",,"Funassyi's Aimless Days, Funassyi no Funafunafuna Hiyori",['Kids'],,,,
127,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,['Comedy'],,1 min. per ep.,G - All Ages,[],#14949,#17777,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,,['Kids'],,,,
128,コトリサンバ,Kotori Samba,['TV'],240,Finished Airing,"Apr 6, 2015 to Mar 9, 2016",['Spring 2015'],Unknown,['Shogakukan Music & Digital Entertainment'],"None found,","None found,",Game,['Comedy'],,1 min. per ep.,G - All Ages,[],#19553,#18137,409,0,,"Kotori are people who love singing and dancing. Protecting the island they reside on is a calm and anxious Melonia (Melon), a weak and lazy Chocola (Chocolate), a friendly Berrina (Berry) who is fashionable as heck.",[],Kotori Samba,,['Music'],,,,,,
129,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20935,#18314,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,['Kids'],,,,
130,わしも 第3期,,['TV'],44,Finished Airing,"Mar 30, 2015 to Sep 22, 2015",['Spring 2015'],Not scheduled once per week,['NHK'],"None found,",['Studio Deen'],Picture book,,,10 min. per ep.,G - All Ages,[],#15258,#18587,376,0,,Third season of Washimo series.,"['Prequel (TV) Washimo 2nd Season', 'Sequel (TV) Washimo 4th Season']",Washimo 3rd Season,"['Comedy', 'Sci-Fi', 'Slice of Life']",['School'],Wasimo Third Season,['Kids'],,,,
131,로봇트레인,,['TV'],32,Finished Airing,"Feb 26, 2015 to Nov 18, 2015",['Winter 2015'],Unknown,"['CJ ENM', 'York Animation']","None found,",['Studio BAZOOKA'],Original,,,13 min. per ep.,PG - Children,[],#21388,#21292,211,0,,"Set in the ""Train World"" where all citizens are trains. However, among the residents there are special trains that can transform into robots, the Robot Trains. Featuring our 5 train heroes, with special powers: Kay, Alf, Duck, Selly and Victor - and their exciting adventures. Can the Robot Trains save the village from the evil dark forces that be? (Source: IMDB)","['Sequel (TV) Robot Trains Season 2', '']",Robot Trains,,['Anthropomorphic'],Lobosteulein,['Kids'],,,,
132,翻开这一页,Story in the Book,['TV'],49,Finished Airing,"Oct 3, 2014 to Sep 13, 2017",['Fall 2014'],Unknown,"None found,","None found,","None found,",Original,,"['Historical', 'School']",13 min. per ep.,G - All Ages,[],#17910,#22256,165,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Fan Kai Zhe Yi Ye,,,,['Kids'],,,,
133,헬로카봇 스페셜 시즌2,,['TV'],26,Finished Airing,"May 30, 2015 to Dec 12, 2015",['Spring 2015'],Unknown,"None found,","None found,","None found,",Original,['Action'],"['Mecha', 'Racing']",12 min. per ep.,PG - Children,[],#18501,#23558,121,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot', 'Sequel (TV) Hello Carbot Season 3']",Hello Carbot Season 2,,,,['Kids'],,,,
134,검정 고무신  4,,['TV'],26,Finished Airing,"May 11, 2015 to Aug 10, 2015",['Spring 2015'],Unknown,"None found,","None found,","None found,",['Manga'],,,14 min. per ep.,PG - Children,[],#18166,#24777,98,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Geomjeong Gomusin', '']",Geomjeong Gomusin 4,,,,['Kids'],,,,
135,검정 고무신 4기,,['TV'],13,Finished Airing,"May 11, 2015 to Aug 10, 2015",['Spring 2015'],Unknown,"None found,","None found,","None found,",['Manga'],['Comedy'],,24 min. per ep.,PG - Children,[],#18170,#25635,86,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Geomjeong-gomusin 3rd Season', '']",Geomjeong-gomusin 4th Season,,,,['Kids'],,,,
136,「モンスター娘のいる日常」ほぼ毎日○○！生っぽい動画,Monster Musume: Almost Daily ◯◯! Sort of Live Video,['ONA'],60,Finished Airing,"Jul 8, 2015 to Sep 29, 2015",,,['TOHO animation'],['Sentai Filmworks'],['Lerche'],['Manga'],,"['Anthropomorphic', 'Urban Fantasy']",34 sec. per ep.,PG-13 - Teens 13 or older,6.51,#7017,#3325,"49,757",55,20600,"Anime shorts that offer a secret candid look at the daily lives of Monster Musume. The shorts will update almost every weekday, but each short will be available for 24 hours only. The weekends will have a digest version summarizing the week's videos. (Source: ANN)",[],Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,"['Comedy', 'Fantasy']",,"Almost Daily __! Sort of Live Video, Monster Musume WEB Shorts",['Seinen'],,,,
137,ヘタリア The World Twinkle,Hetalia: The World Twinkle,['ONA'],15,Finished Airing,"Jul 3, 2015 to Oct 9, 2015",,,['Frontier Works'],['Funimation'],['Studio Deen'],['Manga'],['Comedy'],"['Anthropomorphic', 'Gag Humor', 'Historical', 'Parody']",5 min. per ep.,PG-13 - Teens 13 or older,7.19,#3425,#3614,"43,038",240,19762,"United Kingdom and America have to put aside their centuries of differences and cooperate if they want to stand a chance against Italy and Germany on the African Front. After being defeated by a questionable border defense system, France swears vengeance on Germany. In another part of the world, the Nordic countries discuss how similar they are to each other, much to Finland's dismay. Meanwhile, Sealand embarks on a very ambitious quest to search for the other micronations after befriending Wy and Seborga. [Written by MAL Rewrite]","['Prequel (ONA) Hetalia: The Beautiful World', 'Sequel (ONA) Hetalia World★Stars', 'Adaptation (Manga) Hetalia Axis Powers', '']",Hetalia: The World Twinkle,,,,,,,,
138,日本アニメ（ーター）見本市,Japan Anima(tor)'s Exhibition,['ONA'],35,Finished Airing,"Nov 7, 2014 to Oct 9, 2015",,,['Dwango'],"None found,","['Sunrise', 'Khara', 'Studio Rikka', 'Bridge', 'Kamikaze Douga', 'Trigger', 'Graphinica', 'Studio Colorido', 'dwarf', 'Sola Digital Arts', ""Steve N' Steven"", 'StealthWorks']",Original,,"['Mecha', 'Military', 'Music', 'School', 'Space']",8 min. per ep.,R+ - Mild Nudity,7.32,#2741,#3607,"43,064",145,12472,"Nihon Animator Mihonichi is a collaborative series of standalone anime shorts with the support of various directors and studios. Aiming to expose new animators to a worldwide audience, these small works offer a glimpse into the future of the industry, featuring rising talents, cutting-edge techniques, and experimental aesthetic designs. [Written by MAL Rewrite]","['Adaptation (Manga) The Ultraman', 'Adaptation (Manga) Ochibi-san', 'Adaptation (Manga) Bikachou Shinshi Kaikoroku', '']",Nihon Animator Mihonichi,"['Action', 'Avant Garde', 'Fantasy', 'Sci-Fi', 'Supernatural', 'Ecchi']",,"Japan Animator Expo, The Dragon Dentist, Hill Climb Girl, Me!Me!Me!, Carnage, Nishi-Ogikubo, Until You Come to Me, Tomorrow From There",,,,,
139,雛蜂-B.E.E-,School Shock,['ONA'],6,Finished Airing,"Jul 23, 2015 to Dec 17, 2015",,,['Yaoqi'],"None found,",['Haoliners Animation League'],['Manga'],,"['Mecha', 'School']",16 min. per ep.,R - 17+ (violence & profanity),5.84,#10734,#5464,"17,066",21,4841,"In 2017, a group of genius scientists achieve a remarkable breakthrough in bioengineering. However, all the new technologies are put into military use, beginning a new round of arms race. Vanguards, as the most significant achievement of the modern bioengineering and the most advanced weapon, are widely utilized in the race. Although vanguards are exceptionally combat-effective, their life expectancy is shortened by the nanomachines they use. Usually, most vanguards will retire from the army after a number of years in service. The heroine Liuli has also consumed too much of her lifespan after executing missions for a long time. With only 380 days left in her life, Liuli receives a new mission, to rescue a hostage being held in a civilian facility. It is without doubt a difficult mission for a vanguard like Liuli, who only knows how to kill and battle. However, Liuli obediently decides to accept the mission in the end. During the mission, Liuli surprisingly finds that the man who holds the hostage was once a vanguard. The former vanguard Zhongrong Zhou cries and asks the government to hand over the son of Eden. As a vanguard, Liuli feels deep contempt against Zhou. To eliminate the scum of the vanguards, a battle between two vanguards begins... (Source: Official site, edited)","['Adaptation (Manhua) Chu Feng', '']",Chu Feng: B.E.E,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",,"Hinabachi: BEE, Young Bee",,,,,
140,黑白无双,The Unparalleled Black & White,['ONA'],12,Finished Airing,"Jul 9, 2015 to Feb 25, 2016",,,"None found,","None found,",['Wawayu Animation'],['Manga'],,,10 min. per ep.,PG-13 - Teens 13 or older,6.14,#9168,#6314,"11,698",22,1568,"A story about two young demons who are always slacking off at work, a place that happens to be an organization that vows to keep the balance between the worlds of the living and dead by killing humans! (Source: Cave Scanlations)","['Sequel (ONA) Heibai Wushang 2nd Season', 'Adaptation (Manhua) Heibai Wushang']",Heibai Wushang,"['Action', 'Comedy', 'Supernatural']",,Black and White Warriors,,,,,
141,择天记,,['ONA'],13,Finished Airing,"Jul 15, 2015 to Dec 23, 2015",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,,,18 min. per ep.,PG-13 - Teens 13 or older,6.82,#5239,#7127,"8,791",37,2457,"At the beginning of time, a mystical meteor came crashing down from outer space and scattered all over the world. A piece of it landed in the Eastern Continent. There were mysterious totems carved upon the meteor, and people gathered around it wanting to discover its usage. They discovered the Way, and established The Tradition. Several thousand years later, the fourteen years old orphan Chen Chang Shang left his master to cure his illness and change his fate. He brought a piece of marriage vow with him to the capital, thus began the journey of a rising hero. (Source: Binggo&Corp)","['Sequel (ONA) Ze Tian Ji 2nd Season', '']",Ze Tian Ji,"['Action', 'Adventure', 'Fantasy']",,"Way of Choices, Fighter of the Destiny",,,,,
142,ロボットガールズZプラス,Robot Girls Z Plus,['ONA'],6,Finished Airing,"May 20, 2015 to Oct 2, 2015",,,"['Nippon Columbia', 'LandQ studios']","None found,",['Toei Animation'],Original,['Comedy'],"['Anthropomorphic', 'Parody']",8 min. per ep.,PG-13 - Teens 13 or older,6.29,#8373,#7512,"7,664",1,3498,"Robot Girls Z+, the new Robot Girls Z anime, will be six monthly shorts that will debut next spring. The protagonists of Team Z will appear in the new shorts, along with the reformed Team G, Team LOD, Team Gou, and characters that first appeared in the franchise's online game. The new shorts' story will be based two classic ""Toei Manga Matsuri"" films, Great Mazinger tai Getter Robo (Great Mazinger Vs. Getter Robo) and Great Mazinger tai Getter Robo G - Kuuchuu Dai-Gekitotsu (Great Mazinger Vs. Getter Robo G - The Great Space Encounter). (Source: ANN)","['Prequel (Special) Robot Girls Z', '']",Robot Girls Z Plus,,,Robot Girls Z+,,,,,
143,コクハク,,['ONA'],1,Finished Airing,"Aug 27, 2015",,,"None found,","None found,","None found,",Original,['Horror'],,40 sec.,R - 17+ (violence & profanity),2.40,#13850,#7592,"7,455",17,5430,"Beside a certain building, a girl appears to meet an important person. She is shy and carefully prepares herself before delivering what she has come to convey. Reaching behind her back, she lets her feelings come forth... But is it a confession of love, or something else entirely? [Written by MAL Rewrite]",[],Kokuhaku,,,,,,,,
144,UNDER THE DOG アンシアちゃん,UNDER THE DOG Anthea-chan,['ONA'],1,Finished Airing,"Aug 8, 2015",,,"None found,","None found,",['Kinema Citrus'],Original,,,3 min.,PG-13 - Teens 13 or older,4.62,#13574,#9226,"4,544",0,1888,Surprise special for the 1 year anniversary for Under the Dog's Kickstarter campaign.,[],Under the Dog: Anthea-chan,"['Action', 'Comedy']",['Parody'],Under the Dog Short Animation,,,,,
145,ぷれぷれぷれあです特別編,Overlord: Ple Ple Pleiades - Special Edition,['ONA'],1,Finished Airing,"Sep 30, 2015",,,"None found,","None found,",['Studio PuYUKAI'],['Light novel'],['Comedy'],,5 min.,PG-13 - Teens 13 or older,6.24,#8634,#10928,"2,676",0,1011,"A special edition of ""Pure Ple Pleiades"" released in commemoration of the release of the first volume of the TV anime ""Overlord"" BD & DVD.",[],Ple Ple Pleiades Special Edition,,['Parody'],,,,,,
146,彼女が漢字を好きな理由。,,['ONA'],2,Finished Airing,"Sep 14, 2015 to Oct 13, 2015",,,['Beyond C.'],"None found,",['Studio 4°C'],Original,['Slice of Life'],,2 min. per ep.,PG - Children,5.49,#12146,#11492,"2,264",0,875,Anime shorts created by Studio 4℃ as a collaboration with the Japan Kanji Aptitude Test.,[],Kanojo ga Kanji wo Suki na Riyuu.,,['School'],Why She Loves Kanji,,,,,
147,オシリスの天秤,,['ONA'],10,Finished Airing,"Aug 1, 2015 to Sep 23, 2015",,,['Fuji TV'],"None found,","None found,",Original,,,6 min. per ep.,R - 17+ (violence & profanity),5.79,#10996,#11507,"2,254",8,166,"The protagonist is a mysterious assassin. In order to decide whether or not to carry out requests for assassination, he meets his targets to make a final judgment. (Source: Official website)","['Sequel (ONA) Osiris no Tenbin: Season 2', '']",Osiris no Tenbin,"['Drama', 'Supernatural', 'Suspense']",,,,,,,
148,MILPOM★,,['ONA'],6,Finished Airing,"Sep 5, 2015 to Sep 29, 2017",,,"None found,","None found,",['Bandai Namco Pictures'],Original,['Comedy'],,6 min. per ep.,PG-13 - Teens 13 or older,5.10,#13093,#12794,"1,501",6,564,"The story takes place in a certain ordinary town where it is natural for everyone to wear an animal costume head. It depicts the everyday life of the main character MILPOM and her friends who live there, filled with the essence of Kawaii and a little bit cynical girls. (Source: Crunchyroll)",[],MILPOM★,,,,,,Milpom,,
149,诡水疑云,,['ONA'],12,Finished Airing,"Jul 16, 2015 to Apr 7, 2016",,,"None found,","None found,","None found,",['Web manga'],,,11 min. per ep.,PG-13 - Teens 13 or older,5.73,#11252,#13044,"1,394",0,286,"A villa, involved in strange circumstances in the 1990s, is bulldozed and new homes are built on top. The ostensibly peaceful town and its inhabitants will soon have its cover blown wide open. Mysterious forces are at play, rooted in a disturbing truth.",[],Qui Shui Yi Yun,"['Horror', 'Mystery', 'Supernatural']",,,,,,,
150,超機動街区 KASHIWA-NO-HA,,['ONA'],3,Finished Airing,"Sep 30, 2015 to Oct 28, 2023",,,"['Rakuonsha', 'Yamato Works']","None found,","None found,",Original,['Action'],,3 min. per ep.,G - All Ages,5.07,#13129,#13880,"1,104",1,319,"ーThe day the city had moved, our future began to move.ー The year is 2018. Kashiwa City, Chiba Prefecture, Kashiwanoha Smart City. A family had come to the model room tour of the tower apartment in ""Park City Kashiwanoha Campus The Gate Tower"". With excellent facilities the family begins a new life in this city based on the environment. However, suddenly the after leaving, the ground shakes violently and a giant robot appears from where their tower apartment once stood. Or rather, their tower apartment has become a giant robot. The family is stunned. What the heck is happening in this town? What secret is hidden in this town? (Source: Official YouTube channel, edited)",[],Chou Kidougai-ku: Kashiwa-no-Ha,,['Mecha'],,,,,,
151,色を喰うアクマ,The Color Eater,['ONA'],1,Finished Airing,"Aug 24, 2015",,,['Kaibutsu'],"None found,","['TYMOTE', 'Spoon']",Original,['Avant Garde'],,1 min.,G - All Ages,5.43,#12325,#13876,"1,105",2,583,Anthology produced by Adobe Creative Cloud's Japan division to promote their software suite. It showcases the talents of various Japanese experimental animators.,[],Iro wo Kuu Akuma,,['Music'],,,,,,
152,語りべ少女ほのか,,['ONA'],1,Finished Airing,"Jul 28, 2015",,,"None found,","None found,",['Ishikawa Pro'],Original,,,10 min.,G - All Ages,5.10,#13091,#14312,988,0,409,"Kataribe Shoujo Honoka is an original animation to promote the city of Tono in Iwate Prefecture, Japan.",[],Kataribe Shoujo Honoka,"['Slice of Life', 'Supernatural']",,,,,,,
153,GO! SAMURAI,,['ONA'],1,Finished Airing,"Aug 7, 2015",,,"None found,","None found,","None found,",Original,['Action'],,6 min.,PG-13 - Teens 13 or older,5.60,#11795,#14965,823,0,368,Animated short by Keiichiro Kimura about a single samurai that fights for his life against 100 of his vicious enemies.,[],Go! Samurai,,['Samurai'],,,,,,
154,疯味英雄,Beyond the Worlds,['ONA'],13,Finished Airing,"Sep 16, 2015 to Jul 3, 2016",,,"None found,","None found,",['YHKT Entertainment'],Original,,,16 min. per ep.,PG-13 - Teens 13 or older,6.31,#8235,#15853,645,2,193,Heroes of old appear to return peace to earth.,"['Sequel (ONA) Huan Jing Nuo De Lin', '']",Feng Wei Ying Xiong,"['Action', 'Fantasy']",,Crazy Heroes,,,,,
