,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Theme,Themes,Genre,Demographics
138,스톤에이지: 전설의 펫을 찾아서,Stone Age: The Legendary Pet,['TV'],26,Finished Airing,"Jul 12, 2017 to May 2, 2018",['Summer 2017'],Unknown,"None found,","None found,",['Iconix Entertainment'],Game,,['Kids'],10 min. per ep.,G - All Ages,[],#14594,#18730,363,0,,"An animated adaptation of the mobile game of the same name. Each episode is composed of two stories. The story is set in the future, after the destruction of machine civilization which leaves humans in a more primitive state. Dinosaurs, woolly mammoths, saber-tooth tigers, etc. roam free, as their species were brought back to life and modified to be friendlier thanks to cloning fossil samples during the machine civilization era. Children can become Stone Leaders by having one of these creatures as a ""pet"" which they can do friendly battles with against others.",[],Stone Age: Jeonseol-ui Pes-eul Chaj-aseo,,,,,,,['Fantasy'],
139,わしも-wasimo-(第5シリーズ),,['TV'],44,Finished Airing,"Apr 3, 2017 to Nov 14, 2017",['Spring 2017'],Unknown,"None found,","None found,",['Studio Deen'],Picture book,"['Comedy', 'Sci-Fi', 'Slice of Life']",['Kids'],10 min. per ep.,G - All Ages,[],#15262,#18845,355,0,,Fifth season of the Washimo series.,"['Prequel (TV) Washimo 4th Season', 'Sequel (TV) Washimo 6th Season']",Washimo 5th Season,Wasimo 5,,,,['School'],,,
140,猪猪侠 超星萌宠,GG Bond Season 13: Agent G,['TV'],124,Finished Airing,"May 27, 2017 to Dec 28, 2017",['Spring 2017'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],15 min. per ep.,G - All Ages,[],#16361,#19371,321,0,,"Attempting to make GG Bond the partner for Iron Fist, Mr. Mihoo disguised himself as a school teacher, showing GG Bond the charm of interstellar shuttling. GG Bond took his invitation and became an agent. As GG Bond’s pet and mission partner, Iron Fist had the power to absorb everything. His biggest secret was that his stomach linked to the infinite fifth dimension. One day Iron Fist ate the stone of eternal energy. The universe would lose balance without the stone. GG Bond had to enter into Iron Fist’s fifth dimension searching for it. After all adventures and difficulties, he finally brought it out and saved the world. (Source: Official YouTube channel)","['Prequel (TV) Zhu Zhu Xia: Meng Xiang Shou Wei Zhe', 'Sequel (TV) Zhu Zhu Xia: Jing Qiu Xiao Yingxiong']",Zhu Zhu Xia: Chao Xing Meng Chong,"GG Bond 13, GG Bond: Super Agent G",,,,['Super Power'],,['Sci-Fi'],
141,런닝맨,,['TV'],48,Finished Airing,"Jul 29, 2017 to Oct 12, 2018",['Summer 2017'],Saturdays at 11:30 (JST),"None found,","None found,","None found,",Other,"['Action', 'Adventure']",['Kids'],10 min. per ep.,G - All Ages,[],#18977,#19914,290,6,,"The Soul Tree, the great source of our race. But for its ultimate power and by those whose minds were blinded by it, it also became the catastrophic cause that had brought never-ending wars between the tribes. Tortured by the agonies of the wars, the leaders of the tribes finally came to a peace agreement that they would instead open a competition. Players, equipped with special watches and shields, compete against each other as winner’s tribe would be awarded with Materion, the sacred fruit of the Soul Tree. These brave players, who throw themselves in this fierce fight, we call them the Runningman. (Source: Official YouTube Channel)",[],Running Man,Runningman The Animation,,,,,,,
142,타오르지마 버스터,,['TV'],44,Finished Airing,"Jan 7, 2017 to Apr 11, 2019",['Winter 2017'],Unknown,['Studio Goindol'],"None found,","None found,",Original,,['Kids'],15 min. per ep.,PG - Children,[],#14751,#21972,176,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taoleujima Beoseuteo,,,,,['Mecha'],,['Comedy'],
143,지오메카 캡틴다이노,,['TV'],26,Finished Airing,"Aug 21, 2017 to Feb 12, 2018",['Summer 2017'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",['Kids'],10 min. per ep.,PG - Children,[],#20797,#22028,174,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Geo Mecha: Beast Guardian', '']",Geo Mecha: Captain Dino,,,,,['Mecha'],,,
144,헬로 카봇 시즌5,,['TV'],52,Finished Airing,"Feb 18, 2017 to Mar 31, 2018",['Winter 2017'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],11 min. per ep.,PG - Children,[],#21139,#23482,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 4', 'Sequel (TV) Hello Carbot Season 6']",Hello Carbot Season 5,,,,,,"['Mecha', 'Racing']",['Action'],
145,로이와 함께하는 소방안전 이야기,Fire Safety with Roy,['TV'],26,Finished Airing,"Aug 29, 2017 to Nov 21, 2017",['Summer 2017'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],6 min. per ep.,PG - Children,[],#18953,#23746,117,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Roy wa Hamkkehaneun Sobanganjeon Iyagi,,,,,,"['Educational', 'Racing']",['Comedy'],
146,一人之下2,Hitori no Shita - The Outcast 2,['ONA'],24,Finished Airing,"Oct 27, 2017 to May 18, 2018",,,['Tencent Animation & Comics'],"None found,",['Haoliners Animation League'],['Web manga'],"['Action', 'Supernatural']",,24 min. per ep.,R - 17+ (violence & profanity),7.37,#2481,#2579,"78,695",137,31246,"Chou Soran must participate in the Raten Taishou to uncover his grandfather's secrets and the key to Fou Houhou's past. Though Houhou trains Soran, will that be enough to defeat powerful enemies who all seem out to get him while they struggle for power and victory in the tournament? [Written by fullmeltdownalch]","['Prequel (TV) Yi Ren Zhi Xia', 'Prequel (TV Special) Yi Ren Zhi Xia Recap', 'Sequel (ONA) Yi Ren Zhi Xia: Fanwai Pian', 'Sequel (ONA) Yi Ren Zhi Xia 3: Rushi Pian']",Yi Ren Zhi Xia 2,"Hitori no Shita: The Outcast 2nd Season, hitorinoshita - The Outcast",Hitori no Shita - The Outcast 2,Hitori no Shita: The Outcast Temporada 2,Hitori no Shita: The Outcast Saison 2,['Super Power'],,,
147,お見合い相手は教え子、強気な、問題児。,"My Matchmaking Partner Is My Student, An Aggressive Troublemaker",['ONA'],12,Finished Airing,"Oct 2, 2017 to Dec 18, 2017",,,['Studio Mausu'],"None found,",['Seven'],['Web manga'],,['Josei'],4 min. per ep.,Rx - Hentai,5.64,N/A,#2971,"61,839",169,22065,"Teacher Nano Saikawa hasn't given much thought to marriage, but her father's friend wants her to have a marriage interview with his son, Souichirou Takamiya. After the interview, they spend the day together. As they gradually become more comfortable with one another, Souichirou asks for her hand in marriage. Things quickly heat up between them, and the two wind up in bed together. However, when she removes his glasses, she discovers he is not Souichirou; he is actually one of her problem students, Souji Kuga! Souji's explanation is watertight: when he realized his brother was to be Nano's intended, Souji posed as him in order to be with her. And what's more, he is even confident that his family will approve of their marriage. However, an illicit relationship with a student is the last thing Nano wants. But will she be able to resist his charms, especially when her body begins to ache for his? [Written by MAL Rewrite]","['Adaptation (Manga) Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.', '']","Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.","My Marriage Partner is My Student, a Cocky Troublemaker, My Marriage Interview Partner is a Student, Strong, and a Problem Child",,,,['School'],,['Hentai'],
148,愛神巧克力 2期,Cupid’s Chocolates II,['ONA'],15,Finished Airing,"Dec 21, 2017 to Apr 5, 2018",,,"['Tencent Animation & Comics', 'bilibili']","None found,",['B.CMAY PICTURES'],['Web manga'],"['Comedy', 'Romance']",,19 min. per ep.,PG-13 - Teens 13 or older,7.03,#4258,#3777,"39,623",113,14929,"Jiang Hao Yi, a normal, high school student who is extremely scared of getting into trouble, suddenly becomes the Harem King of his school when a bunch of beautiful girls confess to him! Unfortunately for Jian Hao, he doesn't know any of the girls who have confessed to him... What on Earth is happening?","['Prequel (ONA) Aishen Qiaokeli-ing...', 'Prequel (ONA) Aishen Qiaokeli-ing: Wanjie Jinian']",Aishen Qiaokeli-ing...II,"Cupid's Chocolates 2nd Season, Aishen Qiaokeli Jinxingshi 2nd Season",,,,,"['Harem', 'School']",,
149,「映画 中二病でも恋がしたい！ -Take On Me-」ミニドラマ『公開直前の・・・回顧劇場』,"Love, Chunibyou and Other Delusions!: Take On Me Mini-Theater",['ONA'],24,Finished Airing,"Nov 17, 2017 to Jan 5, 2018",,,"None found,","None found,",['Kyoto Animation'],['Light novel'],,,20 sec. per ep.,G - All Ages,6.93,#4659,#5124,"20,140",37,6824,"Short anime clips published on the official twitter account to advertise the movie, Chuunibyou demo Koi ga Shitai! Movie: Take On Me.",[],Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,,,,,,,['Comedy'],
150,妹さえいればいい。,,['ONA'],6,Finished Airing,"Oct 8, 2017 to Dec 10, 2017",,,"None found,","None found,",['SILVER LINK.'],['Light novel'],,,2 min. per ep.,PG-13 - Teens 13 or older,6.48,#7191,#5782,"14,752",10,5087,"Original ""chibi"" styled animations of Imouto sae Ireba Ii. posted on the anime's official Twitter channel. Also included on the BD/DVD releases.","['Sequel (Special) Imouto sae Ireba Ii. (ONA) Specials', '']",Imouto sae Ireba Ii. (ONA),,,,,,,['Comedy'],
151,ROAD TO YOU,,['ONA'],3,Finished Airing,"Oct 11, 2017 to Oct 2, 2019",,,['Calf Studio'],"None found,","['Sunrise', 'The Answer Studio', 'Ijigen Tokyo']",Original,"['Drama', 'Romance']",,3 min. per ep.,G - All Ages,6.57,#6657,#6130,"12,637",18,3615,"A trilogy of commercials for Dunlop Tyres Japan created to promote their Winter Maxx line of snow tires. Kimi e to Tsuzuku Michi Amidst a snowfall, a father and daughter, a young couple, and two coworkers must learn to work through their intermingled feelings as they come together for the town's light show on the riverside. Hoshifuru Oka no Yakusoku For Yui's 20th birthday, she and her mother pay a visit to the old observatory they used to go to every year in her youth. As they approach the snowy summit, Yui recalls memories of visiting the spot with her late father. Kioku ni Mau Konayuki A boy and girl fall in love but are forced to break up when the girl decides to move to France to study. Heartbroken, the boy chases after her as she drives away in the snowstorm. [Written by MAL Rewrite]",[],Road to You,"Road to You: The Road That Goes on to You, Road to You: Promise of the Starry Hill, Road to You: The Snow That Dances in Memories, Road to You: Kimi e to Tsuzuku Michi, Road to You: Hoshifuru Oka no Yakusoku, Road to You: Kioku ni Mau Konayuki",,,,,,,
152,少女週末授業,Girls' Last Class,['ONA'],12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",,,['Kadokawa'],"None found,",['Studio PuYUKAI'],['Manga'],,,1 min. per ep.,G - All Ages,6.48,#7217,#6205,"12,260",15,5541,"Super deformed parody shorts of Shoujo Shuumatsu Ryokou streamed on Kadokawa's official YouTube channel. They follow Chito and Yuuri in a classroom setting exploring what ""school"" might have been for people when civilization was still around.",[],Shoujo Shuumatsu Jugyou,Girls' Weekend Class,,,,,"['Parody', 'School']",['Comedy'],
153,まほよめ,,['ONA'],24,Finished Airing,"Oct 10, 2017 to Mar 24, 2018",,,"None found,","None found,","['W-Toon Studio', 'DMM.futureworks']",['Manga'],,,50 sec. per ep.,G - All Ages,6.65,#6205,#6357,"11,508",16,4107,"As the television anime Mahoutsukai no Yome debuts a new episode every week, one new 30-second episode of the series of shorts will debut every week on the official Twitter every Tuesday. The previous week's episode will no longer be available when each new episode debuts. (Source: ANN)","['Prequel (ONA) MahoYome: Aisatsu', '']",MahoYome,"The Ancient Magus' Bride, The Magician's Bride, Magic Bride, Maho Yome",,,,['Parody'],,,
154,まほよめ 「#0あいさつ」,MahoYome: Greeting,['ONA'],1,Finished Airing,"Oct 3, 2017",,,"None found,","None found,","['W-Toon Studio', 'DMM.futureworks']",['Manga'],,,46 sec.,G - All Ages,6.01,#9849,#6692,"10,214",4,3990,"The official Twitter account for Mahoutsukai no Yome began streaming an episode 0 of the MahoYome anime shorts on Tuesday. In the episode, Chise, Elias, and Ruth debate about who should speak, and Chise eventually introduces the anime. (Source: ANN)","['Sequel (ONA) MahoYome', '']",MahoYome: Aisatsu,"MahoYome Episode 0, The Ancient Magus' Bride, The Magician's Bride, Magic Bride, #0 Aisatsu, #0 Greeting, Maho Yome",,,,['Parody'],,,
155,我是江小白,I'm Joybo,['ONA'],12,Finished Airing,"Nov 9, 2017 to Jan 24, 2018",,,"None found,","None found,",['2:10 Animation'],Original,"['Drama', 'Romance', 'Slice of Life']",,21 min. per ep.,PG-13 - Teens 13 or older,7.06,#4105,#7311,"8,252",20,1635,"Ten years ago, Jiang Xiaobai lost all his memories due to a traumatic event he no longer remembers. Now working as a trainee in Editorial Office No.2 of Wen Zheng Magazine, a literary periodical based in Chongqing, he is excited to begin a new chapter of his life: in two days, he finishes his probationary period and officially starts his job as an editor. He gives no thought to his recurring dream of a girl whose face can never clearly see. That evening, one of Jiang Xiaobai's seniors passes him the task of rushing to the airport to escort the idiosyncratic rising author Tong Li, who has returned from America to launch her first serialized novel in Chinese. As punishment for this senior reneging on his own duties, Jiang Xiaobai replaces him as Tong Li's new editor. Though they get off to a rough start, Tong Li soon recognizes Jiang Xiaobai as someone precious from her high school days. Before they know it, the wheels of fate are set in motion, as Jiang Xiaobai slowly uncovers clues about a long-forgotten girl from his past. [Written by MAL Rewrite]","['Sequel (ONA) Wo Shi Jiang Xiaobai (2018)', '']",Wo Shi Jiang Xiaobai,Wo Shi Jiang Xiao Bai,,,,,,,
156,エスカクロン,,['ONA'],2,Finished Airing,"Nov 3, 2017",,,"['DIVE II Entertainment', 'Avex Pictures']",['Sentai Filmworks'],['Lerche'],Other,"['Sci-Fi', 'Slice of Life']",,24 min. per ep.,PG-13 - Teens 13 or older,6.39,#7722,#7318,"8,241",7,2301,"The story follows the two titular girls Escha and Chron, whose contrasting personalities are like the sun and moon. The two girls are from Terminal, a future post-apocalyptic world that's empty and monochrome. The two girls cross worlds and arrive in the present day, which they call Transit. As Escha and Chron experience the light (scenery) and sound (music) of the real world, the future world of Terminal gradually changes into a more vivid world. (Source: ANN)",[],Escha Chron,,,,,,"['CGDCT', 'Music']",,
157,狐妖小红娘 南国,Fox Spirit Matchmaker 6th Season,['ONA'],26,Finished Airing,"Nov 24, 2017 to Jun 22, 2018",,,"['Tencent Animation & Comics', 'bilibili', 'Tencent Penguin Pictures']","None found,",['Haoliners Animation League'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,19 min. per ep.,PG-13 - Teens 13 or older,7.33,#2698,#7463,"7,790",16,2140,The 6th season of Huyao Xiao Hongniang,"['Prequel (ONA) Huyao Xiao Hongniang: Qian Yan', 'Sequel (ONA) Huyao Xiao Hongniang: Zhu Ye', 'Adaptation (Manhua) Xiangsishu Xia', '']",Huyao Xiao Hongniang: Nan Guo,"Fox Spirit Matchmaker: Southern Kingdom, Little Foxspirit Matchmaker Season 6, Enmusubi no Youko-chan",,,,['Historical'],,,
158,ガールズ&パンツァー 第63回戦車道全国高校生大会 総集編,Girls und Panzer Compilation: The 63rd National High School Sensha-do Games,['ONA'],1,Finished Airing,"Nov 11, 2017",,,"None found,","None found,",['Actas'],Original,,,2 hr. 2 min.,PG-13 - Teens 13 or older,7.19,#3422,#8207,"6,161",4,1424,A compilation of Girls & Panzer! and Girls & Panzer: Kore ga Hontou no Anzio-sen desu!.,[],Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,"Girls und Panzer, Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Soushuuhen",,,,,"['CGDCT', 'Military', 'School']",['Action'],
159,モンストアニメ 後編「消えゆく宇宙編」,Monster Strike The Fading Cosmos,['ONA'],13,Finished Airing,"Oct 7, 2017 to Jan 6, 2018",,,"['XFLAG', 'XFLAG Pictures']","None found,",['Yokohama Animation Laboratory'],Game,"['Action', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,6.37,#7841,#8716,"5,345",5,1201,"Second Part to Monsuto Anime, it is not animated in full CG like its predecessor. ""When the red moon rises, the apocalypse shall visit the world..."" After many monster battles, Ren and his friends finally set all of the energy points free. But immediately afterward, Nostradamus gave a prophecy warning of a bleak future, enveloping all who heard it in indescribable anxiety. As the gang mulls over the prophecy, Mana is still struggling to understand Miroku's declaration that she holds ""the power to change the world."" After watching her for some time, Walpurgis tells Mana a truth she had been hiding from her. Meanwhile, Madarame is preparing to announce a new project to the world. What are his plans? And what did Walpurgis tell Mana? Are Ren and his friends headed for the dark future in the prophecy? The story finally reaches its exciting climax! (Source: Crunchyroll)","['Prequel (ONA) Monster Strike Anime', 'Sequel (ONA) Monster Strike The Animation Episode 0', 'Sequel (ONA) Monster Strike The Animation', '']",Monster Strike Anime: Kieyuku Uchuu-hen,"Monster Strike 3, MonSt Anime: The Fading Cosmos, Monsuto Anime",Monster Strike: The Fading Cosmos,Monster Strike: The Fading Cosmos,Monster Strike: The Fading Cosmos,['Video Game'],,,
160,国民老公带回家 第三季,,['ONA'],12,Finished Airing,"Oct 25, 2017 to Jan 10, 2018",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Wawayu Animation'],Novel,"['Drama', 'Romance']",,12 min. per ep.,PG-13 - Teens 13 or older,5.98,#10026,#8799,"5,213",9,1287,The third season of Guomin Laogong Dai Huijia.,"['Prequel (ONA) Guomin Laogong Dai Huijia 2nd season', 'Sequel (ONA) Guomin Laogong Dai Huijia 4th Season']",Guomin Laogong Dai Huijia 3rd Season,"How to Steal 55 Kisses 3rd Season, Bringing Back Home Mr. Perfect 3rd Season, Taking Everybody's Husband Home 3rd Season",,,,,,,
161,特別総集編「Dies_irae Marie's Memory『未知に通ず軌跡』」,,['ONA'],1,Finished Airing,"Dec 29, 2017",,,"None found,","None found,",['A.C.G.T.'],Visual novel,,,23 min.,R - 17+ (violence & profanity),5.78,#11031,#8853,"5,129",4,1157,Recap of the first nine episodes of Dies Irae from Marie's point of view.,[],"Dies Irae: Marie's Memory ""Michi ni Tsuuzu Kiseki""","Dies Irae Tokubetsu Soushuuhen: Marie's Memory ""Michi ni Tsuuzu Kiseki"", Day of Wrath, Dies Irae Recap",,,,['Super Power'],,['Action'],
162,いたずら魔女と眠らない街,Sorcery in the Big City,['ONA'],1,Finished Airing,"Dec 1, 2017",,,['XFLAG'],"None found,","['SANZIGEN', 'XFLAG Pictures']",Original,"['Action', 'Fantasy']",,40 min.,G - All Ages,5.91,#10382,#8932,"5,010",5,1976,"The story is set in New York which is lit up with Christmas lights. Tokyo Metropolitan Police officer Akari Kido is directing traffic while on her international exchange training program, when a witch-like character pulls a ""Christmas Party"" prank. Just before a runaway trailer truck smashes into Akari, a mysterious girl suddenly appears and shouts, ""I'm going to protect New York and Akari!"" (Source: ANN)",[],Itazura Majo to Nemuranai Machi,The Mischievous Witch and the City That Never Sleeps,Soecery in the Big City,Magia en la Gran Ciudad,Soecery in the Big City,['Detective'],,,
163,シンデレラガールズ劇場 火曜シンデレラシアター 第2期,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 2nd Season,['ONA'],13,Finished Airing,"Oct 3, 2017 to Dec 26, 2017",,,"['Frontier Works', 'Half H.P Studio', 'Nippon Columbia', 'Bandai Namco Entertainment', 'Anime Consortium Japan', 'Kadokawa']",['Crunchyroll'],"['Gathering', 'Lesprit']",['4-koma manga'],,,2 min. per ep.,PG-13 - Teens 13 or older,6.50,#7068,#9161,"4,647",0,1877,Bonus segments of Cinderella Girls Gekijou 2nd Season streamed on The iDOLM@STER Cinderella Girls Mobage following the television broadcast.,"['Prequel (ONA) Cinderella Girls Gekijou: Kayou Cinderella Theater', 'Sequel (ONA) Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season', 'Adaptation (Manga) Cinderella Girls Gekijou', '']",Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season,"THE IDOLM@STER CINDERELLA GIRLS Theater: Tuesday Cinderella Theater 2nd Season, Idolmaster Cinderella Girls Theater: Tuesday Cinderella Theater 2nd Season, Cingeki (Web) 2nd Season",THE IDOLM@STER CINDERELLA GIRLS Theater (Web) Staffel 2,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) Temporada 2,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) Saison 2,,,['Comedy'],
164,ひとり暮らしの小学生,,['ONA'],10,Finished Airing,"Oct 10, 2017 to Dec 12, 2017",,,['Anime Beans'],"None found,",['Signal.MD'],['4-koma manga'],"['Comedy', 'Gourmet', 'Slice of Life']",,3 min. per ep.,G - All Ages,6.50,#7081,#9304,"4,412",12,1441,"Rin Suzune is a nine-year-old girl who, due to her parents' deaths, lives alone and runs her family's restaurant by herself. Since she is a child, she lacks the proper knowledge to cook good food and manage a business, so her attempts to make money are unsuccessful. To make matters worse, she is bullied in school for being poor! But through it all, Rin remains resilient. Although her restaurant's food is not the greatest, local residents are drawn to the establishment, hoping to lend Rin a hand because of her sincere nature. [Written by MAL Rewrite]","['Adaptation (Manga) Hitorigurashi no Shougakusei', '']",Hitorigurashi no Shougakusei,"Hitori Kurashi no Shougakusei, Grade Schooler Living Alone",,,,,,,
165,神契幻奇谭,The Legend of Ancient Soul,['ONA'],24,Finished Airing,"Oct 31, 2017 to May 15, 2018",,,['Tencent Penguin Pictures'],"None found,",['Mili Pictures'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural']",,13 min. per ep.,PG-13 - Teens 13 or older,5.80,#10934,#9674,"3,921",10,249,"Years ago, the gods fought against each other before being sealed away. However their artifacts remained in the souls of the HuaXia clan as part of a contract and hope that someday in the future, they will awaken once more using those artifacts. (Source: Baka-Updates Manga)",[],Shen Qi Huan Qi Tan,"Shenqi Huanqitan, Shen Qi, Shenqi",,,,['School'],,,
166,武庚纪之天启,,['ONA'],42,Finished Airing,"Dec 29, 2017 to Oct 5, 2018",,,['Tencent Penguin Pictures'],"None found,",['Sparkly Key Animation Studio'],['Manga'],"['Action', 'Fantasy', 'Supernatural']",,16 min. per ep.,PG-13 - Teens 13 or older,7.39,#2413,#9802,"3,778",10,1528,"At the end of the Shang dynasty of ancient China, Emperor Shou defied the will of the Gods. He openly declared to lead the people and to resist against the gods. Zi Shou bravely fought against Tian Kui, but only received laughter from the gods watching from above. He was then killed by Tian (another greater god) and broke the Immortal Phoenix armor. Wu Geng then woke up in the body of Ah Gou and realized he has now a wife named Bai Cai...","['Prequel (ONA) Wu Geng Ji', 'Sequel (ONA) Wu Geng Ji Zhi San Jie', 'Adaptation (Manhua) Feng Shen Ji', '']",Wu Geng Ji Zhi Tianqi,"Wu Geng Ji 2nd Season, Wu Geng Ji: Tian Qi, Wu Geng Ji II, Feng Shen Ji, The Legend and the Hero, Chronicles of the God's Order",,,,,"['Historical', 'Martial Arts']",,
167,傾福さん,,['ONA'],1,Finished Airing,"Dec 28, 2017",,,"None found,","None found,",['Yaoyorozu'],Original,,,5 min.,G - All Ages,5.84,#10738,#10370,"3,148",3,1603,"Incorporating the earlier two parts and adding additional footage as an epilogue, Keifuku-san features the adventures of a young girl in a railway conductor uniform and a floating manta ray as they explore an otherworldly space. The video features direction by Tatsuki, animation by Hirayasu, and art by Yukko (all members of animation studio irodori), as well as the voice talents of Yumiri Hanamori. (Source: Crunchyroll)",[],Keifuku-san,Keifukusan,,,,,,['Fantasy'],
168,アグレッシブ烈子,Hot Minute: Aggretsuko,['ONA'],1,Finished Airing,"Oct 10, 2017",,,['Sanrio'],"None found,","None found,",Other,,['Kids'],1 min.,G - All Ages,6.02,#9834,#11775,"2,082",1,810,"Retsuko, aka ""Aggretsuko"", is being interviewed for Hot Topic's Hot Minute series.",[],Hot Minute: Aggretsuko,,,,,,,['Comedy'],
169,CMFU学院：绅士击击剑,,['ONA'],24,Finished Airing,"Nov 21, 2017 to May 2, 2018",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,"['Romance', 'Sports']",,11 min. per ep.,PG-13 - Teens 13 or older,6.08,#9503,#11891,"2,008",3,147,"The recruitment of new students in various clubs of CMFU Academy is in full swing. Freshman Minnie has joined the CMFU Fencing Club because of her fascination with ""Three Musketeers"". The swordsman contest is coming soon, and the president Chu Zhuoran intends to conduct an internal trial in the fencing club to select contestants for the swordsman contest. Minnie was excluded because of her zero foundation, but she didn't get discouraged and approached the president Chu Zhuoran to ask for fair participation in the selection. In desperation, Chu Zhuoran decided to give Minnie a week to personally train her. The Fencing Club of the Yunzong Academy in the same city also came here, not only to find out the strength of the newly recruited female swordsmen of CMFU, but Lian Kai, the president of the Fencing Club of the Yunzong Academy, had a holiday with A Qiao, a member of the CMFU Fencing Club. This series shows how the CMFU Academy Fencing Club prepares for the swordsman competition and Minnie's growth as a zero-base fencer, conveys the charm of campus sports, encourages more audiences to learn about fencing and love the sport of fencing. (Source: Tencent video)",[],CMFU Xueyuan: Shenshi Ji Jijian,,,,,,"['Combat Sports', 'School']",,
170,おにゃんこポン,,['ONA'],12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",,,['Asmik Ace'],"None found,",['Kyotoma'],Other,,,3 min. per ep.,G - All Ages,4.53,#13632,#12204,"1,816",1,820,"Onyankopon watched over people long ago, but one day an old woman accidentally hit Onyankopon in the head with a mallet while mashing yams. Since then, Onyankopon has been nervous about greeting people directly, and so sends subordinates to speak to them and solve their problems. He will use Afrobeat and dance to help Japanese high school girls with problems such as dieting, love, and cramming for exams. (Source: ANN)",[],Onyankopon,,,,,,"['Music', 'School']",['Comedy'],
171,枪神记,,['ONA'],12,Finished Airing,"Dec 8, 2017 to Feb 23, 2018",,,['Tencent Penguin Pictures'],"None found,",['Mokai Technology'],Game,"['Action', 'Sci-Fi']",,21 min. per ep.,PG-13 - Teens 13 or older,6.43,#7512,#12344,"1,725",4,478,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Qiang Shen Ji: Tegong Shijie Pian', '']",Qiang Shen Ji,Age of Gunslingers,,,,,,,
172,恋するシロクマ 特別版,,['ONA'],3,Finished Airing,"Nov 1, 2017 to Jan 31, 2018",,,"None found,","None found,","None found,",['Manga'],,['Josei'],1 min. per ep.,G - All Ages,6.34,#8007,#12478,"1,663",2,585,"Shochiku began streaming a new short for the for the ""petit anime"" of Koisuru Shirokuma. The new short, titled ""Hyouheki Don"" (Ice Wall Slam), is a web-only exclusive, and cannot be seen in theaters unlike the other shorts. The short begins with Seal attempting to escape the sleeping Polar Bear, still fearing that Polar Bear will eat him. But before Seal can get far, Polar Bear wakes up and runs to him. Seal pleads to Polar Bear not to eat him, but Polar Bear instead performs a kabe-don on Seal with a nearby ice wall. (Source: ANN)","['Adaptation (Manga) Koisuru Shirokuma', '']",Koisuru Shirokuma Tokubetsu-ban,"A Polar Bear in Love, Hyouheki Don, Koi Suru Shirokuma, Ai no Omosa",,,,['Anthropomorphic'],,['Comedy'],
173,アニメガタリズ: ユクトシ、クルトシ,,['ONA'],1,Finished Airing,"Dec 31, 2017",,,"None found,","None found,",['WAO World'],Original,,,3 min.,PG-13 - Teens 13 or older,5.65,#11611,#12490,"1,656",1,475,Special short episode of Animegataris streamed on Niconico-douga.,[],"Animegataris: Yuku Toshi, Kuru Toshi","Anime-Gataris: The Passing Year, The Coming Year, Animegataris Omake",,,,,,['Comedy'],
174,なまくら刀・くノ一編,,['ONA'],1,Finished Airing,"Nov 8, 2017",,,"None found,","None found,","None found,",Original,,,45 sec.,R+ - Mild Nudity,4.57,#13610,#12572,"1,605",0,820,"Namakura Gatana's 100th anniversary has now been honored with a ""Kunoichi Chapter"" sequel from noted anime shorts director Akitarou Daichi. Like a lot of his personal pieces, it's a bit crude... (Source: Crunchyroll)","['Prequel (Movie) Namakura Gatana', '']",Namakura Gatana: Kunoichi-hen,Namakura Gatana: Kunoichi Chapter,,,,['Samurai'],,['Ecchi'],
