,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,Demographics,German,Spanish
75,ライディーン,Reideen,['TV'],26,Finished Airing,"Feb 4, 2007 to Sep 1, 2007",['Winter 2007'],Saturdays at 19:00 (JST),['Tohokushinsha Film Corporation'],['Sentai Filmworks'],['Production I.G'],Original,"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6937,#6850,"9,714",8,3199,"Saiga is a normal high school student with a gift in mathematics. His daily routine is disrupted when his family gets news that his Father's remains have been discovered—a noted archeologist and researcher who had gone missing while exploring a site many years before. Among his remains were notes and artifacts that needed to be identified by the family near a notable triangular mountain in Japan known as ""Japan's pyramid"", a place suspected by some to be man-made. A meteor containing a strange robotic lifeform falls from the sky and begins to cause destruction, putting Saiga in danger and causing a mysterious bracelet from his father's research to activate and merge him with an ancient robot burried within the pyramid—a robot the runes describe as Reideen. It is now up to Saiga and guardian Reideen to fight against this unknown alien threat from the sky. (Source: ANN)","['Adaptation (Manga) Reideen', '']",Reideen,"Reideen (2007), Raideen",,,,['Mecha'],,,
76,鋼鉄三国志,,['TV'],25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007",['Spring 2007'],Unknown,['Nihon Ad Systems'],"None found,",['Picture Magic'],Unknown,,,23 min. per ep.,PG-13 - Teens 13 or older,6.29,#8349,#6949,"9,402",14,2783,"The Imperial Seal has been passed down through the generations since ancient times. It confers great power unto the warriors that it chooses. This is the story of those warriors. It is a time of chaos and of civil war. It is a time when great armies clash in titanic battles and great heroes carve their names in history. It is also a time of death and destruction, when the people of the land live in constant fear of the sword. Onto this stage steps the reluctant Rikuson (Lu Xun), whose family had been the guardians of the Imperial Seal up until it was stolen by Sonsaku. At the behest of his mentor Rikuson offers his services to Sonsaku with the intention of confirming the will of the Imperial Seal. However, assassins strike down Sonsaku and the Imperial Seal is lost. So begins, Rikuson’s journey to recover the Imperial Seal and discover his destiny. (Source: AniDB)","['Sequel (Special) Koutetsu Sangokushi Special', '']",Koutetsu Sangokushi,,['Adventure'],,,['Historical'],,,
77,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9155,#7129,"8,805",39,1935,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
78,風の少女エミリー,,['TV'],26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",['Spring 2007'],Unknown,['NHK'],"None found,",['TMS Entertainment'],Novel,,,25 min. per ep.,G - All Ages,7.35,#2578,#7255,"8,445",28,2926,"Based on the Emily of New Moon novel by Lucy Maud Montgomery. Emily is an orphan who gets sent to live with her relatives on Prince Edward Island, after her father dies. In New Moon she lives with her Aunt Elizabeth, Aunt Laura, and Cousin Jimmy, and learns to adapt with the help of her imagination and new friends. (Source: ANN)",[],Kaze no Shoujo Emily,"Kaze no Shojo Emily, Emily of the New Moon",['Drama'],,,['Historical'],,,
79,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4010,#7391,"8,013",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",['Comedy'],['Kids'],,,,,El Ninja Boy Rantaró
80,機神大戦 ギガンティック・フォーミュラ,,['TV'],26,Finished Airing,"Apr 5, 2007 to Sep 27, 2007",['Spring 2007'],Unknown,"['Bandai Visual', 'TV Tokyo Music']","None found,","[""Brain's Base""]",Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5431,#7614,"7,424",8,2467,"2035 A.D. The heads of ancient giant idols were excavated all over the world. Using those twelve stones statues, Humanity had barely overcome the threat of extinction called the ""Equatorial Winter"". But the stone statues had forced Humanity to construct colossal suits of armor as their bodies and demanded that the humans fight each other. (Source: ANN)",[],Kishin Taisen Gigantic Formula,"Apo Mekhanes Theos Gigantic Formula, Mechanical Divine War Gigantic Formula, War Gods Battle: Gigantic Formula",['Sci-Fi'],,,['Mecha'],,,
81,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2613,#7911,"6,777",62,2188,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,['Comedy'],['Shoujo'],,['School'],,,Chibi Maruko-chan
82,ゲゲゲの鬼太郎 (2007),,['TV'],100,Finished Airing,"Apr 1, 2007 to Mar 29, 2009",['Spring 2007'],Sundays at 09:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Horror']",,23 min. per ep.,G - All Ages,6.94,#4643,#7951,"6,704",13,2197,"The classic tale of Gegege no Kitaro told yet again. The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji. One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver.","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2007),Spooky Kitaro,,,,,,,
83,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2457,#8235,"6,116",63,2770,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,,,,,
84,とっとこハム太郎は〜い!,Hamtaro Hai!,['TV'],77,Finished Airing,"Apr 5, 2006 to Mar 28, 2008",['Spring 2006'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,,,5 min. per ep.,PG - Children,6.75,#5589,#8403,"5,860",9,2306,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. (Source: Wikipedia)","['Prequel (TV) Tottoko Hamtarou', '']",Tottoko Hamtarou Hai!,"Tottoko Hamutarou Hai!, Tottoko Hamutarou: Norisuta Haai!",['Adventure'],['Kids'],,['Anthropomorphic'],,,
85,スパイダーライダーズ ～よみがえる太陽～,Spider Riders: Resurrected Sun,['TV'],26,Finished Airing,"Apr 14, 2007 to Oct 13, 2007",['Spring 2007'],Saturdays at 17:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'Cookie Jar Entertainment']","None found,",['Bee Train'],Novel,"['Action', 'Adventure']",,23 min. per ep.,PG - Children,6.70,#5914,#8795,"5,220",8,2309,"The battle against the Insectors to save the Inner World rages on, as Hunter Steele and the Spider Riders defend Arachna. With the help of his friends—Igneous, an intelligent young royal officer of Arachna's military; Magma, a foolhardy warrior; and Corona, a kind-hearted girl—crisis has been averted—but not for long. News of the Kingdom of Nuuma being attacked by the Insectors is soon brought to the attention of the Spider Riders, who are reluctant to leave Arachna undefended. But past favors need to be repaid, so they decide to travel across the Inner Ocean to protect the Kingdom of Nuuma. Entrusted with finding four of the Oracle's keys locked away by the leader of the Insectors, Hunter and his friends strive to bring about peace once and for all. Spider Riders: Yomigaeru Taiyou is the epic conclusion to the Spider Riders series. Will the four Oracle Keys find their way to Hunter and the Spider Riders, or will Mantid and the Insectors finally have their wish granted, conquering the Inner World for themselves? [Written by MAL Rewrite]","['Prequel (TV) Spider Riders: Oracle no Yuusha-tachi', '']",Spider Riders: Yomigaeru Taiyou,,,,,['Mecha'],,,
86,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6607,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,['Kids'],,,,,
87,おねがい マイメロディ すっきり♪,,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 24, 2008",['Spring 2007'],Sundays at 09:30 (JST),['Sanrio'],"None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,10 min. per ep.,PG - Children,6.95,#4609,#9600,"4,020",11,955,The third series of Onegai My Melody.,"['Prequel (TV) Onegai My Melody: Kurukuru Shuffle!', 'Sequel (TV) Onegai♪My Melody Kirara★']",Onegai My Melody Sukkiri♪,,,,,,,,
88,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7528,#10461,"3,084",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,,,,
89,ゼロ デュエル・マスターズ,,['TV'],12,Finished Airing,"Apr 9, 2007 to Sep 28, 2007",['Spring 2007'],Unknown,"None found,","None found,",['SynergySP'],Original,"['Adventure', 'Comedy', 'Sports']",,23 min. per ep.,PG-13 - Teens 13 or older,6.01,#9894,#10738,"2,842",1,998,"It is featured in an alternate universe where Shobu had lost his duel against Hakuoh in their duel back in the Season 1 episode ""Just Duel It"". A mysterious organization is interested in fledgling duelist Shobu Kirifuda's ability to bring Duel Master creatures to life. With the support of his friends, Shobu duels with passion, discipline, and heart as he strives to be like his father and become the next Kaijudo master. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Charge', 'Sequel (TV) Duel Masters Zero']",Zero Duel Masters,,,['Kids'],,['Strategy Game'],,,
90,少女チャングムの夢,,['TV'],26,Finished Airing,"Mar 14, 2007 to Sep 19, 2007",['Spring 2007'],Unknown,['Heewon Entertainment'],"None found,","None found,",Other,"['Adventure', 'Comedy', 'Gourmet']",,24 min. per ep.,None,7.29,#2889,#11326,"2,387",14,957,Second season of Jang Geum's Dream.,"[""Prequel (TV) Dae Jang Geum: Jang Geum's Dream"", '']",Dae Jang Geum: Jang Geum's Dream 2,"Shoujo Changumu no Yume, Janggeum's Dream, Changumu no Yume - Dae Jang Geum, 장금이의 꿈",,,,['Historical'],,,
91,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7741,#11558,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,,,,
92,太極千字文,Tai Chi Chasers,['TV'],39,Finished Airing,"Apr 29, 2007 to Jan 20, 2008",['Spring 2007'],Unknown,"['KBS', 'Iconix Entertainment']",['4Kids Entertainment'],"['Toei Animation', 'JM Animation']",Other,"['Action', 'Adventure', 'Fantasy']",,27 min. per ep.,PG - Children,6.35,#7968,#12125,"1,877",8,609,"After a strange and devastating attack on his home, a young boy named Rai is shocked to discover he's a secret descendent of the Tigeroids: an ancient race of peaceful beings locked in a struggle with the ruthless and cunning Dragonoids. In a parallel universe called Suhn, the Tigeroids and Dragonoids are battling furiously to recover 500 lost tai chi characters. Whoever retrieves these precious and potent symbols will possess the ultimate power to rule their realm…and destroy their enemies. As Rai hones his innate tai chi skills to fight the Dragonoids, he must find the lost tai chi and battle to become one of the champion Tai Chi Chasers! (Source: 4Kids Entertainment)",[],Taichi Senjimon,,,,,,,,
93,シュガーバニーズ,Sugar Bunnies,['TV'],26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",['Spring 2007'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,,,11 min. per ep.,G - All Ages,6.01,#9881,#12908,"1,451",7,253,"Random cutesy edutainment tales aimed at small children, featuring animated speaking plushy toys. Aired inside the anime corner of the Kitty's Paradise TV block.","['Sequel (Special) Sugar Bunnies: Taisetsu na Tomodachi e...', '']",Sugar Bunnies,,,['Kids'],,,,,
94,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10350,#13243,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Kids'],,['Anthropomorphic'],,,
95,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12200,#13604,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
96,人造昆虫カブトボーグ V×V,,['TV'],52,Finished Airing,"Oct 5, 2006 to Oct 11, 2007",['Fall 2006'],Unknown,"['Sony Pictures Entertainment', 'Studio Comet', 'Nihon Ad Systems', 'Animax']","None found,","['G&G Entertainment', 'G&G Direction']",Unknown,"['Action', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,6.01,#9841,#14253,"1,010",7,283,"BorgBattles between KabutoBorgs have become popular enough to hold world tournaments. The main character Ryuusei is an enthusiast of these battles. Along with his friends Katsuji and Ken, he continues fighting against new enemies day after day.",[],Jinzou Konchuu Kabutoborg VxV,Artificial Insect KABUTO BORG Victory by Victory,,,,['Strategy Game'],,,
97,祝! (ハピ☆ラキ)ビックリマン,,['TV'],46,Finished Airing,"Oct 15, 2006 to Sep 30, 2007",['Fall 2006'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,6.28,#8403,#14345,982,1,348,Continuation of the Bikkuriman Series. Genki Seihikari and his friends join the adventure in order to save seven gods of the White Galaxy.,"['Prequel (TV) Bikkuriman 2000', '']",Happy☆Lucky Bikkuriman,,,['Kids'],,,,,
98,르브바하프 왕국 재건설기,,['TV'],26,Finished Airing,"May 21, 2007 to Nov 26, 2007",['Spring 2007'],Unknown,['Studio Kaab'],"None found,","None found,",Unknown,"['Comedy', 'Drama']",,20 min. per ep.,None,[],#21367,#14722,888,1,,"Three people are hiding out in a cabin by the foothills. Van is the prince from the now-defunct Revbahaf Kingdom, Kona – his hand maiden, and Sian – his philosopher and tutor. Chased by enemies, these three individuals earn the kindness of Aaron, who feeds them at the cabin. By helping out with Aaron’s chores, the former royal family learns to live a peaceful life getting by, rather than plotting a revenge on the neighboring country which invaded them. Together they try to rebuild the Kingdom of Revbahaf. (Source: Manhwa101)",[],Revbahaf Wang-gug Jaegeon-soelgi,"Revbahaf Kingdom Rebuilding Story, The Legend of Prince Van, Revbahaf: The Story of Rebuilding the Kingdom",,,,,,,
99,ぜんまいざむらい,,['TV'],215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",['Spring 2006'],Unknown,['Aniplex'],"None found,","['A-1 Pictures', 'No Side']",Original,,,5 min. per ep.,G - All Ages,5.85,#10667,#15132,783,2,233,"200 years ago, Zenmai Zamurai was a thief by profession. While stealing from a house one night, he fell down a well and died. He was then resurrected by Daifukunokami and a wind-up key was placed on his head. If the key wound down, Zennosuke would die. The only way the key can be wound is by Zennosuke doing good deeds. In order to achieve this end, he is given the Dango-ken, which is a sword with Japanese Dumplings skewered onto it. Whenever Zenmai Zamurai sees people doing injustice or generally being out of control, he uses his sword to shoot the dumplings into their mouths. When the dumplings are eaten, the people suddenly become happy and realize the error of their ways. He helps out the people of his village in many ways, big and small. Whenever he has done well, a rainbow comes out of the sky to wind up his key. -Wikipedia",[],Zenmai Zamurai,,['Comedy'],['Kids'],,,,,
100,サルゲッチュ ～オンエアー～2nd,,['TV'],51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007",['Fall 2006'],Unknown,"None found,","None found,",['Xebec'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,10 min. per ep.,PG - Children,5.93,#10275,#15156,777,3,182,Saru Getchu: On Air sequel.,"['Prequel (TV) Saru Getchu: On Air', '']",Saru Getchu: On Air 2nd,"Saru! Get You: On Air, Ape Escape",,['Kids'],,,,,
101,ぷるるんっ！しずくちゃん,,['TV'],51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007",['Fall 2006'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],,,24 min. per ep.,G - All Ages,[],#21177,#15806,655,1,,"The series revolves around a playful young child named Shizuku-Chan. He, alongside his schoolmates, friends, and family lives a life of dangerous adventures in the Shizuku Forest. (Source: Wikipedia)","['Sequel (TV) Pururun! Shizuku-chan Aha', '']",Pururun! Shizuku-chan,,['Comedy'],['Kids'],,,,,
102,味楽る!ミミカ,Miracle! Mimika,['TV'],225,Finished Airing,"Apr 3, 2006 to Mar 13, 2009",['Spring 2006'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Original,"['Gourmet', 'Slice of Life']",,10 min. per ep.,G - All Ages,[],#20319,#16050,619,0,,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook. (Source: AnimeNfo)",[],Miracle! Mimika,Miracle Mimika,,['Kids'],,,,,
103,おでんくん,,['TV'],156,Finished Airing,"Aug 4, 2005 to Feb 27, 2009",['Summer 2005'],Unknown,['Studio Egg'],"None found,","None found,",Picture book,,,7 min. per ep.,G - All Ages,[],#20789,#17014,506,1,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Sequel (TV) Ganbare! Oden-kun', '']",Oden-kun,Odenkun,['Comedy'],,,,,,
104,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17875,#17191,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,['Horror'],['Kids'],,,,,
105,ロビーとケロビー,Robby & Kerobby,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 30, 2008",['Spring 2007'],Unknown,"['Aniplex', 'Yomiko Advertising', ""We've Inc.""]","None found,",['A-1 Pictures'],Original,,,10 min. per ep.,G - All Ages,[],#21389,#17409,466,0,,A story of the adventures of Robby and Kerobby along with their other friends.,[],Robby to Kerobby,Robikero,['Comedy'],['Kids'],,,,,
106,パンツぱんくろう,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19434,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,,['Kids'],,,,,
107,チビナックス2.0,,['TV'],25,Finished Airing,"Apr 14, 2007 to Oct 13, 2007",['Spring 2007'],Saturdays at 21:54 (JST),"None found,","None found,","None found,",Other,,,3 min. per ep.,G - All Ages,[],#17286,#20141,279,0,,The second season of Chibinacs with a brand new protagonist.,"['Prequel (TV) Chibinacs', 'Sequel (TV) Chibinacs 3']",Chibinacs 2.0,Chibinacs,['Comedy'],,,,,,
108,크리스탈요정 지스쿼드,Z-Squad,['TV'],26,Finished Airing,"Dec 4, 2006 to Sep 10, 2007",['Winter 2007'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,[],#17455,#20556,254,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Crystal-yojeong Z-Squad,"Crystal Fairy Z-Squad, Keuliseutal-yojeong Jiseukwodeu",,['Kids'],,,,,
109,火星娃之古代大家故事,,['TV'],54,Finished Airing,Jan 2007 to Dec 2007,['Winter 2007'],Unknown,"None found,","None found,","None found,",Unknown,,,11 min. per ep.,PG - Children,[],#18809,#22514,154,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Huoxing Wa: Zhi Gudai Dajia Gushi,,,['Kids'],,,,,
110,火星娃冒险乐园,,['TV'],53,Finished Airing,May 2007 to Aug 2007,['Spring 2007'],Unknown,"None found,","None found,","None found,",Unknown,,,11 min. per ep.,PG - Children,[],#18793,#22782,144,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Huo Xing Wa: Maoxian Leyuan,,,['Kids'],,,,,
111,消失的文明,,['TV'],13,Finished Airing,Apr 2007 to Sep 2008,['Spring 2007'],Unknown,"None found,","None found,","None found,",Original,,,22 min. per ep.,PG - Children,[],#15719,#24271,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiaoshi de Wenming,,,['Kids'],,,,,
112,最終試験くじら,,['ONA'],12,Finished Airing,"Aug 25, 2007 to Nov 10, 2007",,,['Starchild Records'],['Media Blasters'],['Zexcs'],Visual novel,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",,5 min. per ep.,PG-13 - Teens 13 or older,4.93,#13294,#8303,"6,017",3,2056,"Like snow falling in summer, like a cicada lamenting the coming of winter... In a town watched over by a whale in the sky... the extraordinary is made ordinary. Spectacles that could never be given form are instead given flesh and soul. And in their midst, the story of a miracle that comes to pass in this town of miracles incarnate... For Kuonji, this newly-discovered vision is a thing of wonder and fright – a sentiment not shared by his peers. Under its watchful gaze, Kuonji chats with and hangs out with his somewhat unusual friends. Whether it's with Nina and her striped panties, cat-loving Sacchan, the strange alien Allen or a variety of other busty, skimpily-dressed babes, Kuonji finds himself in the middle of ecchi situations galore! Welcome to the world of Final Examination Kujira. (Source: BakaBT) Based on a game by Circus.","['Adaptation (Light Novel) Saishuu Shiken Kujira', '']",Saishuu Shiken Kujira,Final Examination Kujira,,,,['School'],,,
113,Deep Sea Tentacle,Deep Sea Tentacle,['ONA'],1,Finished Airing,"Jul 16, 2007",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,4.50,#13657,#16921,513,0,263,Abstract short film by Kojirou Shishido featuring creatures in the ocean.,[],Deep Sea Tentacle,,['Avant Garde'],,,['Music'],,,
114,Drawing!!,Drawing!!,['ONA'],1,Finished Airing,"Jul 9, 2007",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.06,#13149,#18779,361,1,163,Abstract short film by Kojirou Shishido.,[],Drawing!!,,['Avant Garde'],,,['Music'],,,
115,ワカメビルディング,Seaweed Buildings,['ONA'],1,Finished Airing,"Jul 25, 2007",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,4.94,#13282,#19264,330,0,160,Abstract short film by Kojirou Shishido featuring seaweed and sea urchins.,[],Wakame Buildings,,['Avant Garde'],,,['Music'],,,
