,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Themes,Demographic,Genre,Spanish,Demographics
84,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11556,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,['Kids'],,,
85,,ライブオン CARDLIVER 翔,,['TV'],51,Finished Airing,"Oct 5, 2008 to Sep 27, 2009",['Fall 2008'],Unknown,"['Sotsu', 'Sakura Create']","None found,",['TMS Entertainment'],['Manga'],,['Strategy Game'],23 min. per ep.,PG - Children,6.27,#8452,#12953,"1,427",3,325,"Kakeru is a big fan of the Live On card game, like so many kids his age. However he loses every time he plays, no matter how hard he tries. Things change when one day Kakeru saves a small dog-like creature chased by weird people. The “dog” is in fact a Create Monster and gives Kakeru an unusual Live Change card, which in turn allows Kakeru to protect his newfound friend… And gets him involved in something he did not expect… (Source: ANN)",[],Live On Cardliver Kakeru,,,,,['Fantasy'],,
86,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13602,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
87,"KUPU! Bean sesame!, Kupuu!! Mamegoma!",クプ~!!まめゴマ!,,['TV'],51,Finished Airing,"Jan 10, 2009 to Dec 26, 2009",['Winter 2009'],Unknown,"['Sotsu', 'San-X', 'Shufu to Seikatsusha']","None found,",['TMS Entertainment'],Unknown,,,12 min. per ep.,PG - Children,[],#19684,#14028,"1,069",4,,"The story revolves around a palm-sized seal named Mameta, the other seals (Cherry-chan, Soda-kun, Lemon-chan, Candy-chan), and the Mamekawa family that raises the seals. (Source: ANN)",[],Kupu~!! Mamegoma!,,,,['Kids'],,,
88,,マッハガール,,['TV'],26,Finished Airing,"Sep 13, 2008 to Sep 14, 2009",['Fall 2008'],Unknown,"None found,","None found,",['Tatsunoko Production'],Original,,['Racing'],3 min. per ep.,G - All Ages,5.29,#12711,#14158,"1,034",1,201,"A spin-off of Mach Go Go Go (aka: Speed Racer). The titular Mach Girl is, according to Anime News Network, ""a girl named Lip who wanders the land to compete in high-stakes races with her Mach Pink three-wheeler.""",[],Mach Girl,,,,,['Comedy'],,
89,"Sugar Bunnies 3, Sugarbunnies",シュガーバニーズ フルール,,['TV'],26,Finished Airing,"Apr 7, 2009 to Sep 29, 2009",['Spring 2009'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,,,11 min. per ep.,PG - Children,5.98,#10006,#14386,964,3,144,Sequel to Sugar Bunnies Chocolate! Aired inside the anime corner of the Kitty's Paradise TV block.,"['Prequel (Special) Sugar Bunnies Chocolate! Specials', 'Sequel (Special) Sugar Bunnies Fleur Specials']",Sugar Bunnies Fleur,,,,['Kids'],,,
90,"Uchi no 3Shimai, Uchi no San Shimai",うちの3姉妹,,['TV'],102,Finished Airing,"Apr 8, 2008 to Mar 30, 2010",['Spring 2008'],Unknown,"None found,","None found,","['Toei Animation', 'Studio Animal']",Other,"['Comedy', 'Slice of Life']",,23 min. per ep.,G - All Ages,6.32,#8131,#14736,883,1,185,"The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it.",[],Uchi no 3 Shimai,,,,,,,
91,Hadaka no Ookami,ネイキッドウルブズ,,['TV'],52,Finished Airing,"Apr 6, 2009 to Mar 28, 2010",['Spring 2009'],Unknown,"['Pony Canyon', 'Kyotoma']","None found,",['Kate Arrow'],Original,"['Comedy', 'Sports']",['Combat Sports'],5 min. per ep.,PG - Children,5.67,#11530,#14749,879,4,300,"In the Flash-animated television comedy series, a sumo wrestler named Mikoshiarashi travels around the world to train to become the Yokozuna, the Grand Sumo Champion. He meets colorful characters along the way as he is determined to meet his goals.",[],Naked Wolves,,,,['Kids'],,,
92,,뽀롱뽀롱 뽀로로 3,Pororo the Little Penguin 3,['TV'],52,Finished Airing,"May 4, 2009 to Oct 27, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Unknown,,,5 min. per ep.,G - All Ages,5.71,#11315,#16328,582,0,228,A direct continuation of the second season. This time there are aliens and a robot friend that hangs out with the gang.,"['Prequel (TV) Porong Porong Pororo 2', 'Sequel (TV) Porong Porong Pororo 4']",Porong Porong Pororo 3,,,,['Kids'],['Sci-Fi'],Pororo el Pequeño Pingüino Serie 3,
93,An Elephant Which Grants A Dream,夢をかなえるゾウ,,['TV'],12,Finished Airing,"Jan 13, 2009 to Dec 27, 2009",['Winter 2009'],Unknown,"None found,","None found,",['Studio Deen'],['Manga'],,,10 min. per ep.,G - All Ages,[],#16185,#16415,569,0,,"It's about an ordinary office worker Fumiyama Fumio, who gains self-confidence by the advices of an Indian god, Ganesha.",[],Yume wo Kanaeru Zou,,,,,['Comedy'],,
94,,はっけん たいけん だいすき! しまじろう,,['TV'],101,Finished Airing,"Apr 7, 2008 to Mar 29, 2010",['Spring 2008'],Unknown,"None found,","None found,","['Studio Kikan', 'Pierrot Plus']",Original,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,G - All Ages,6.16,#9065,#16529,557,1,126,Second season of the Shimajirou children's television series.,"['Prequel (TV) Shima Shima Tora no Shimajirou', 'Sequel (TV) Shimajirou Hesoka']",Hakken Taiken Daisuki! Shimajirou,,,,['Kids'],,,
95,,ねぎぼうずのあさたろう,,['TV'],48,Finished Airing,"Oct 12, 2008 to Sep 27, 2009",['Fall 2008'],Unknown,"None found,","None found,",['Toei Animation'],Picture book,"['Adventure', 'Comedy']",['Historical'],25 min. per ep.,None,[],#20610,#16849,521,0,,Based on a picture book about a onion-headed samurai named Asatarou.,[],Negibouzu no Asatarou,,,,,,,
96,,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,,5 min. per ep.,PG - Children,[],#17873,#17189,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,"['Historical', 'Performing Arts']",['Kids'],['Horror'],,
97,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20959,#17401,467,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,,,['Kids'],['Comedy'],,
98,,롤링 스타즈,Rolling Stars,['TV'],26,Finished Airing,"Apr 15, 2009 to Oct 21, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Unknown,,['Team Sports'],26 min. per ep.,PG - Children,[],#21420,#18619,374,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Rolling Seutajeu,,,,['Kids'],['Sports'],,
99,School of Show Laughter,笑いのSHOW学校,,['TV'],20,Finished Airing,"Mar 30, 2009 to Mar 8, 2010",['Spring 2009'],Unknown,"['NHK', 'Milky Cartoon', 'Opera House']","None found,","None found,",Original,,,1 min. per ep.,PG - Children,[],#15261,#20182,276,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Warai no Show Gakkou,,,,['Kids'],['Comedy'],,
100,,깨미랑 부카채카,"Kemy & Buka, Chaka",['TV'],156,Finished Airing,"Feb 23, 2009 to Feb 10, 2010",['Winter 2009'],Mondays at 09:25 (JST),"None found,","None found,","None found,",Original,,,9 min. per ep.,G - All Ages,[],#19378,#20329,268,0,,"This anime is a fusion of 3D CGI and live-action. Majority of the episodes are Kemy, Buka, and Chaka in their animated club house but other parts of the episodes are the characters imposed on live footage of nature. The program solves various questions by looking at the world with the vision of infants who are still immature in the world.",[],Kemy Lang Buka Chaka,,,,['Kids'],['Adventure'],,
101,,일지매,,['TV'],26,Finished Airing,"May 5, 2009 to Nov 2, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Other,"['Action', 'Drama', 'Romance']",['Historical'],Unknown,PG-13 - Teens 13 or older,[],#18868,#20632,251,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Iljimae,,,,,,,
102,,新忍者玉丸,,['TV'],26,Finished Airing,"Dec 27, 2008 to Dec 19, 2009",['Winter 2009'],Unknown,"None found,","None found,","None found,",Original,,['Martial Arts'],5 min. per ep.,G - All Ages,[],#14260,#20795,242,0,,The second season of Ninja Tamamaru.,"['Prequel (TV) Ninja Tamamaru', 'Sequel (TV) Ninja Tamamaru: Toukaidou Gojuusan-ji']",Shin Ninja Tamamaru,,,,['Kids'],,,
103,,神兽金刚,,['TV'],46,Finished Airing,"Jan 15, 2009 to Dec 31, 2010",['Winter 2009'],Tuesdays at 08:30 (JST),"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",['Mecha'],15 min. per ep.,G - All Ages,[],#14113,#22144,170,0,,"Many years ago, the ambitious Dark Emperor who wanted to rule the universe endangered the environment and destroyed peace. In order to stop him, the leader of the universe, Big Dipper King, finally sealed the Dark Emperor under the polar ice rocks after a great battle. In order to prevent the Dark Emperor from breaking the seal, the Big Dipper King discovered the six God Beasts of the Earth under the guidance of the Earth’s monks. Fusing technology and the energy of the Big Dipper, he created six God Beasts Mechas and left behind his son, the Qilin King. The six God Beast Mechas are Qilin, Qinglong, Baihu, Xuanwu, Zhuque, and Yinglong. Only six children with super powers can pilot these God Beasts.","['Sequel (TV) Shen Shou Jin Gang 2: Tianshen De Shou', '']",Shen Shou Jin Gang,,,,['Kids'],,,
104,,우리는 명탐정,,['TV'],52,Finished Airing,Mar 2009 to Feb 2010,['Spring 2009'],Unknown,"None found,","None found,","None found,",Original,,['School'],24 min. per ep.,PG - Children,[],#15138,#22294,164,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ulineun Myeong-tam-jeong,,,,['Kids'],['Mystery'],,
105,,吉祥猫可可,Copy Cat,['TV'],26,Finished Airing,Jan 2009 to Jan 2011,['Winter 2009'],Unknown,"None found,","None found,","None found,",Unknown,,,12 min. per ep.,PG - Children,[],#19112,#23593,121,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jixiang Mao Keke,,,,['Kids'],['Fantasy'],,
106,,おべとも学園,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,['School'],2 min. per ep.,G - All Ages,[],#20781,#24012,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,,,,['Slice of Life'],,
107,,星猫漫游记,,['TV'],26,Finished Airing,Feb 2009 to Feb 2010,['Winter 2009'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#15803,#24415,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Xing Mao Man Youji: San Jincun', '']",Xing Mao Man Youji,,,,['Kids'],['Fantasy'],,
108,,ヘタリア Axis Powers,Hetalia Axis Powers,['ONA'],52,Finished Airing,"Jan 24, 2009 to Mar 5, 2010",,,"['Frontier Works', 'DAX Production']",['Funimation'],['Studio Deen'],['Web manga'],,,5 min. per ep.,PG-13 - Teens 13 or older,7.25,#3099,#1000,"260,575","4,257",129017,"In a tumultuous era of World Wars and general uncertainty for the future, Germany did not expect that his only constant allies would be North Italy and Japan. Despite being a descendant of the once-powerful Ancient Rome, North Italy is weak, useless, and overly in love with pasta. In contrast, Japan is reliable and pragmatic, but has strange obsessions that would bewilder anyone. Believing he drew the short end of the straw, Germany must think of a way to make this unlikely alliance work. To rub salt into the wound, the chaotic Allied Forces arrive, determined to stop the Axis Powers in their tracks. While they all share a common goal, none of the Allies can set aside their centuries of differences to fight as a cohesive front. As conflicts continue, these personified nations act out the events of World Wars I and II in a comedic and entertaining manner. [Written by MAL Rewrite]","['Sequel (ONA) Hetalia World Series', 'Adaptation (Manga) Hetalia Axis Powers']",Hetalia Axis Powers,,,"['Anthropomorphic', 'Gag Humor', 'Historical', 'Parody']",,['Comedy'],,
109,Eve's Time,イヴの時間,Time of Eve,['ONA'],6,Finished Airing,"Aug 1, 2008 to Sep 18, 2009",,,"['Directions', 'Code', 'Trick Block']",['AnimEigo'],['Studio Rikka'],Original,"['Sci-Fi', 'Slice of Life']",,18 min. per ep.,PG-13 - Teens 13 or older,7.99,#684,#1344,"190,367","1,251",80555,"In future Japan, in a time when android housekeepers have become commonplace, society strictly abides by the Three Laws of Robotics, which all androids must follow. Under the influence of the Robot Ethics Committee, androids are treated the same way as lesser technology, such as household appliances. However, a minority with an adoration for androids exists, categorized as ""android-holics,"" and are shunned by the general public. Rikuo Sakisaka was raised to accept society's precept about androids, and is perfectly aware that they are not human. That is, until the day he discovers a strange message buried within the activity logs of his household android, Sammy. This leads him to Eve no Jikan, a cafe with only one rule that its patrons must adhere to: there must be no distinction made between humans and androids. Curiosity drives Rikuo to learn more about the shop, and he attempts to unearth the reason behind Sammy's peculiar behavior. [Written by MAL Rewrite]","['Adaptation (Manga) Eve no Jikan', '']",Eve no Jikan,Time of Eve,Time of Eve,,,,,
110,,その花びらにくちづけを 玲緒麻衣だいありぃ,,['ONA'],10,Finished Airing,"Sep 26, 2009 to Nov 27, 2009",,,['ChuChu'],"None found,","None found,",Visual novel,"['Comedy', 'Girls Love']",['School'],7 min. per ep.,PG-13 - Teens 13 or older,6.51,#7025,#6029,"13,222",33,2982,Short picture episodes of Reo and Mai during their daily life as a couple.,[],Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,,,,,,,
111,Kidou Senshi Gundam Senki: Avant Title,機動戦士ガンダム戦記 アバンタイトル,Mobile Suit Gundam Battlefield Record: Avant-Title,['ONA'],1,Finished Airing,"Sep 3, 2009",,,"None found,","None found,",['Sunrise'],Game,,,7 min.,PG-13 - Teens 13 or older,6.24,#8602,#10159,"3,377",1,1190,"A short animation serving as a prequel to the events depicted in the PlayStation 3 game, Mobile Suit Gundam: Battlefield Record U.C. 0081. (Source: AniDB)",[],Kidou Senshi Gundam Senki: Avant Title,,,"['Mecha', 'Space']",,['Sci-Fi'],,
112,,おんたま!,,['ONA'],5,Finished Airing,"Aug 7, 2009 to Nov 6, 2009",,,"None found,","None found,",['Encourage Films'],['Manga'],"['Comedy', 'Slice of Life']",,12 min. per ep.,G - All Ages,6.62,#6411,#10399,"3,130",3,1278,Ichigo is a little girl who is distressed by the failing relationship between her mother and father (who is actually her step-father). After school one day she meets a driver of a magical bus and finds herself taking a ride in the bus. The bus transports her to the past to shortly after her mother and real father met. Perhaps she is meant to do something that will help her parents stay together and love one another further into the future. (Source: ANN),"['Adaptation (Manga) Ontama!', '']",Ontama!,,,,['Seinen'],,,
113,"Kirby of the Stars Special Episode: Take it Down! The Crustacean Monster Lobzilla,Kirby of the Stars: Beat the Crustaceous Demon Beast Lobzilla!, Kirby Right Back at Ya HD Episode 101 Kirby 3D (3DS Special)",星のカービィ～特別編～ 倒せ!!甲殻魔獣エビゾウ,,['ONA'],1,Finished Airing,"Aug 9, 2009",,,['Nintendo'],"None found,","None found,",Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,8 min.,PG - Children,5.95,#10190,#11600,"2,197",6,999,"Special 3-D animated short based on Kirby: Right Back at Ya!. It was released on the Wii channel in Japan. It features the never-before-seen monster named Lobzilla. Fire Kirby makes a special appearance, as does a new Kirby ability exclusive to the short called Kabuki. Seeing that Nightmare Enterprises is active and Dedede's transporter is operative, this episode may have taken place before episodes 96-100. (Source: Kirby Wikia)",[],Hoshi no Kirby:  Taose!! Koukaku Majuu Ebizou,,,,,,,
114,"Umimonogatari Anata ga Itekuretakoto, Sea Story, Kanon to Iku Amamikoshima",うみものがたり 夏音と行く天神子島,Umi Monogatari: Seeing Amamiko Island with Kanon,['ONA'],13,Finished Airing,"Jul 1, 2009 to Sep 25, 2009",,,"None found,","None found,",['Zexcs'],Game,,,1 min. per ep.,PG-13 - Teens 13 or older,5.90,#10428,#11768,"2,088",0,439,"Short ONA specials of Umi Monogatari that were originally released on the official website and later included on DVD volumes. Kanon (and sometimes other characters) tours the viewer around Amamiko Island, while also commenting about characters and events from the series.",[],Umi Monogatari: Kanon to Iku Amamikoshima,,,,,['Comedy'],,
115,,星に願いを Fantastic Cat,,['ONA'],1,Finished Airing,"Aug 3, 2009",,,"None found,","None found,",['Barnum Studio'],Original,"['Adventure', 'Sci-Fi']",,39 min.,PG-13 - Teens 13 or older,6.02,#9833,#11774,"2,084",0,808,"Space age fairytale from the faraway future... Planet Magracia is a center for commerce with busy space traffic. A girl named Lilly is intrigued by an enigmatic new girl in her school. She's the same age as Lilly but mature compared to other students in her class. Regarded aloof, she hasn't made any friend yet, it seems. Her name is Hikari. Lilly can only watch her from distance, hoping for an opportunity to talk to her. Then one day, a strange cat-like creature shows up in class, changing their ordinary life.","['Prequel (ONA) Hoshi ni Negai wo: Cold Body + Warm Heart', '']",Hoshi ni Negai wo: Fantastic Cat,,,,,,,
116,Yanesen marching song,やねせんおんど,,['ONA'],1,Finished Airing,"Jul 30, 2009",,,"None found,","None found,","None found,",Original,,['Music'],1 min.,G - All Ages,5.14,#13024,#15935,636,0,316,A cat drums while a group of cats dance to a marching song.,[],Yanesenondo,,,,,,,
117,,USABAND,,['ONA'],1,Finished Airing,"Sep 10, 2009",,,"None found,","None found,","None found,",Original,,['Music'],1 min.,G - All Ages,5.04,#13183,#16748,533,0,256,"Short music video, with original music by Asami Ike. Music inspired by Beck's song Tropicalia.",[],Usaband,,,,,,,
118,"Eagle Talon, The Frogman Show",鷹の爪団 × BALLAD勝手に宣伝ムービー,,['ONA'],1,Finished Airing,"Sep 9, 2009",,,"None found,","None found,","None found,",Original,,['Parody'],6 min.,G - All Ages,5.21,#12889,#18008,420,0,107,A promotional episode where the Eagle Talon team goes to Toho Cinemas to see Ballad: Namonaki Koi no Uta. At the very end the short promotes the 3rd Himitsukessha Taka no Tsume film coming out in three months.,[],Taka no Tsume x Ballad Katte ni Senden Movie,,,,,['Comedy'],,
119,Shinjuku Shin-chan: Traffic Safety for Good Kids,新宿シンちゃん　よいこの交通安全,,['ONA'],1,Finished Airing,"Aug 25, 2009",,,"None found,","None found,","None found,",Unknown,,['Educational'],15 min.,G - All Ages,5.61,#11771,#18086,414,0,137,Shinjuku Shin-chan teaches kids about traffic safety.,"['Prequel (ONA) Shinjuku Shin-chan Patrol: Warui Otona ni Ki wo Tsukete', '']",Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,,,,['Kids'],,,
120,,セロラちゃん,,['ONA'],3,Finished Airing,"Jul 3, 2009 to Aug 31, 2009",,,"None found,","None found,",['DLE'],Original,,,3 min. per ep.,G - All Ages,5.38,#12493,#18386,393,0,137,Nichirei Foods' mascot Acerola-chan gets her own web anime.,[],Acerola-chan,,,,,['Comedy'],,
121,Noobow: Mini Theater,ぬ～ぼ～なこころ,,['ONA'],52,Finished Airing,"Aug 3, 2009 to 2010",,,"None found,","None found,","None found,",Unknown,,,1 min. per ep.,PG - Children,5.87,#10600,#18476,384,1,123,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Noobow: Na Kokoro,,,,['Kids'],['Slice of Life'],,
122,,HELLSING OVA,Hellsing Ultimate,['OVA'],10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012",,,"['GDH', 'Geneon Entertainment USA', 'Shounen Gahousha']",['Funimation'],"['Madhouse', 'Satelight', 'Graphinica']",['Manga'],"['Action', 'Horror', 'Supernatural']",,49 min. per ep.,R - 17+ (violence & profanity),8.35,#243,#181,"971,031","22,614",502419,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead. Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil. In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare. [Written by MAL Rewrite]","['Prequel (Special) Hellsing: The Dawn', 'Adaptation (Manga) Hellsing']",Hellsing Ultimate,,,"['Adult Cast', 'Gore', 'Military', 'Vampire']",['Seinen'],,,
123,"Higurashi no Naku Koro ni 3rd Season, Higurashi no Naku Koro ni Dai San Ki",ひぐらしのなく頃に礼,Higurashi: When They Cry – Rei,['OVA'],5,Finished Airing,"Feb 25, 2009 to Aug 21, 2009",,,"['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'Movic']",['Sentai Filmworks'],['Studio Deen'],Visual novel,"['Horror', 'Mystery', 'Suspense']",,29 min. per ep.,PG-13 - Teens 13 or older,7.40,#2367,#1274,"200,559",475,106322,"The infamous series of unexplainable murders in Hinamizawa have been solved and the chains of fate have broken due to the efforts of Rika Furude and her friends. Rika believes she has finally obtained the normal and peaceful life she desired with her friends; however, she is proven wrong when the wheels of fate begin turning once again after an unfortunate accident. Rika suddenly finds herself in a ""perfect"" world, the constant cycle of brutal killings having never taken place, where all of her friends are content and satisfied. Not wanting to abandon the world that she fought so hard for, she learns she must destroy an essential ""key"" to get back. But can Rika abandon the faultless world she is given the chance to live in, after all of her battles have brought her this far? [Written by MAL Rewrite]","['Prequel (TV) Higurashi no Naku Koro ni Kai', 'Sequel (TV) Higurashi no Naku Koro ni Gou', 'Adaptation (Light Novel) Higurashi no Naku Koro ni Matsuri: Hajisarashi-hen', 'Adaptation (Manga) Higurashi no Naku Koro ni Rei: Saikoroshi-hen']",Higurashi no Naku Koro ni Rei,,,"['Gore', 'Psychological']",,,,
124,"To-LOVE-Ru OVA, Trouble OVA, To Love You OVA",To LOVEる -とらぶる-,,['OVA'],6,Finished Airing,"Apr 3, 2009 to Apr 2, 2010",,,['Shueisha'],"None found,",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,25 min. per ep.,R+ - Mild Nudity,7.24,#3148,#1398,"181,845",286,103321,"Episode 01: Rito becomes a Woman Lala invents a gizmo to make her bust bigger. However, this invention of hers accidentally turns Rito into a woman. Episode 02: Rito and Mikan Feeling lonely because Rito is always spending time with Lala, Mikan storms out of the house. While Rito and Lala are out looking for her a few flashbacks from the past, showing Rito and Mikan as kids, are shown. Episode 03: Welcome to the Southern Resort!! Haruna wins an island resort trip for ten females. Rito gets turned into a dog by one of Lala's inventions and somehow ends up on the island as well. Episode 04: Trouble Quest Rito and the girls become trapped inside an RPG game where the objective is to save Lala and defeat the evil witch Kyouko. Episode 05: Nana and Momo Lala's sisters cause mischief for Rito and his harem at a cherry blossom viewing. Episode 06: Draft, Metamorphose, Hand & Tail Yami and Yui confront with a senior, causing Yui to lose her panties. Mikan finds Peke taking snapshots of new clothing while shopping. Suddenly, a stranger steals her bag. As Rito tries to explore Lala's cleaned-up bedroom, he accidentally activates one of Lala's invention, fusing his hand to Lala's tail.","['Adaptation (Manga) To LOVE-Ru', '']",To LOVE-Ru OVA,To Love Ru - OVA,,"['Harem', 'School']",['Shounen'],,,
125,,コードギアス 反逆のルルーシュ R2 Special Edition Zero Requiem,Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem,['OVA'],1,Finished Airing,"Jul 24, 2009",,,"None found,","None found,",['Sunrise'],Original,,,1 hr. 56 min.,R - 17+ (violence & profanity),7.78,#1095,#3314,"50,385",85,18848,An OVA summarizing all 25 episodes of season 2.,"['Prequel (OVA) Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion', '']",Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,,,"['Mecha', 'Military', 'Super Power']",,['Action'],,
126,Nodame Cantabile OAD,のだめカンタービレ OVA,,['OVA'],1,Finished Airing,"Aug 10, 2009",,,"None found,","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Romance']",,21 min.,PG-13 - Teens 13 or older,7.41,#2323,#4385,"28,982",9,14793,"Yukihisa Matsuda, principal conductor of the Rising Star Orchestra, arrives in Paris to perform Wagner's Tannhäuser Overture as a guest conductor for the Recyl Symphony Orchestra. When Matsuda overhears the orchestra members praising Shinichi Chiaki, the budding Japanese conductor of the Roux-Marlet Orchestra, he can barely contain his contempt at there being another ""Black-Haired Noble"" in the same city. Freshly dumped by his mistress following the performance, Matsuda catches Chiaki and takes him out to drink under the pretense of discussing career. But much to Chiaki's chagrin, the subject soon turns to Chiaki's own special someone. [Written by MAL Rewrite]",[],Nodame Cantabile OVA,,,"['Adult Cast', 'Music']",['Josei'],,,
127,Mahou Sensei Negima! OVA Mahou Sekai,魔法先生ネギま! ~もうひとつの世界~,,['OVA'],4,Finished Airing,"Sep 17, 2009 to Aug 17, 2010",,,"None found,","None found,","['Shaft', 'Studio Pastoral']",['Manga'],"['Action', 'Adventure', 'Supernatural', 'Ecchi']",,29 min. per ep.,PG-13 - Teens 13 or older,7.54,#1794,#4619,"25,833",35,9298,"This is a series of OVAs covering some of the Magic World manga arc by Ken Akamatsu, starting with chapters 184 through 188.","['Prequel (OVA) Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba', 'Sequel (Movie) Mahou Sensei Negima! Movie: Anime Final', 'Adaptation (Manga) Mahou Sensei Negima!', '']",Mahou Sensei Negima!: Mou Hitotsu no Sekai,,,,['Shounen'],,,
128,The Story of 15 Beautiful Girls Adrift,15美少女漂流記,,['OVA'],3,Finished Airing,"Aug 3, 2009 to May 2, 2011",,,['HoriPro'],"None found,",['T-Rex'],Original,"['Comedy', 'Hentai']",['Harem'],26 min. per ep.,Rx - Hentai,6.77,N/A,#4630,"25,665",162,10538,"After a heavy storm, Kazuma Shiraishi finds himself stranded on an uninhabited island somewhere in the Pacific. However, his situation may not be so unlucky, as 15 beautiful women are also marooned alongside him. Kazuma seizes the chance to have sex with these ladies, all while recording his raunchy deeds with three cameras he miraculously found lying on the shore. [Written by MAL Rewrite]","['Adaptation (Manga) 15 Bishoujo Hyouryuuki', '']",15 Bishoujo Hyouryuuki,,,,,,,
