,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Themes,Genre,Demographics
56,,ぐるぐるタウン　はなまるくん,,,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,,['Anthropomorphic'],['Kids'],25 min. per ep.,G - All Ages,6.08,#9516,#16258,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,,La Pandilla de Hanamaru,,['Comedy'],
57,,날아라 슈퍼보드,The Flying Superboard,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20601,#16828,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,
58,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,['Music'],['Kids'],3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,,,
59,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15990,#18988,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,
60,,마일로의 대모험,Milo's Bug Quest,,['TV'],26,Finished Airing,"Nov 26, 1999 to May 12, 2000",['Fall 1999'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],25 min. per ep.,PG - Children,[],#19964,#22450,156,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mailloui Daemoheom,,,,,
61,,ストレイシープの大冒険,The Adventure of Stray Sheep,,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],5 min. per ep.,G - All Ages,[],#14611,#22481,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,,,['Adventure'],
62,"Fooly Cooly, Furi Kuri",フリクリ,FLCL,,['OVA'],6,Finished Airing,"Apr 26, 2000 to Mar 16, 2001",,,"['Starchild Records', 'King Records']",['Funimation'],"['Gainax', 'Production I.G']",Original,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Suspense']",,,25 min. per ep.,PG-13 - Teens 13 or older,8.03,#624,#228,"857,077","31,703",450365,"Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America, Naota takes it upon himself to look after everything Tasuku left behind—from his top bunk bed to his ex-girlfriend Mamimi Samejima, who hasn't stopped clinging to Naota since Tasuku left. Little does Naota know, however, that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara, a Vespa-riding, bass guitar-wielding, pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet, when Haruko takes up residence at his parents' home, Naota finds himself dragged into the heart of the greatest battle for supremacy that Earth—and quite possibly the entire universe—has ever seen. [Written by MAL Rewrite]","['Sequel (Movie) FLCL Progressive', 'Adaptation (Manga) FLCL', 'Adaptation (Light Novel) FLCL', '']",FLCL,,FLCL Furi Kuri,"['Mecha', 'Parody', 'Psychological']",,
63,JoJo's Bizarre Adventure (2000),ジョジョの奇妙な冒険 ADVENTURE,JoJo's Bizarre Adventure (OVA),,['OVA'],7,Finished Airing,"May 25, 2000 to Jan 25, 2002",,,"['KlockWorx', 'BEAM Entertainment']","None found,",['APPP'],['Manga'],"['Action', 'Adventure', 'Drama']",,['Shounen'],28 min. per ep.,R+ - Mild Nudity,7.24,#3126,#2459,"85,382",378,37681,"Kujo Jotaro is a normal, popular Japanese high-schooler, until he thinks that he is possessed by a spirit, and locks himself in prison. After seeing his grandfather, Joseph Joestar, and fighting Joseph's friend Muhammad Abdul, Jotaro learns that the ""Spirit"" is actually Star Platinum, his Stand, or fighting energy given a semi-solid form. Later, his mother gains a Stand, and becomes sick. Jotaro learns that it is because the vampire Dio Brando has been revived 100 years after his defeat to Jonathan Joestar, Jotaro's great-great-grandfather. Jotaro decides to join Joseph and Abdul in a trip to Egypt to defeat Dio once and for all.","['Sequel (OVA) JoJo no Kimyou na Bouken', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']",JoJo no Kimyou na Bouken: Adventure,,,"['Super Power', 'Vampire']",,
64,,天使禁猟区,Angel Sanctuary,Angel Sanctuary,['OVA'],3,Finished Airing,"May 25, 2000 to Aug 25, 2000",,,"['Bandai Visual', 'Lantis', 'Audio Tanaka']","['Media Blasters', 'Central Park Media']",['HAL Film Maker'],['Manga'],"['Action', 'Drama', 'Romance', 'Supernatural']",['Reincarnation'],['Shoujo'],29 min. per ep.,R+ - Mild Nudity,6.24,#8635,#3290,"51,019",187,27515,"Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down. Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself. As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?","['Adaptation (Manga) Tenshi Kinryouku', '']",Tenshi Kinryouku,Angel Sanctuary,Angel Sanctuary,,,
65,,メゾフォルテ,,,['OVA'],2,Finished Airing,"May 25, 2000 to Jun 25, 2001",,,['Green Bunny'],"['Media Blasters', 'SoftCel Pictures']",['Arms'],Original,"['Action', 'Comedy', 'Sci-Fi', 'Hentai']",,,30 min. per ep.,Rx - Hentai,6.62,N/A,#3950,"35,958",110,16711,"For some individuals, baseball is more than just a game. Momokitchi Momoi, an underworld boss and the owner of a professional team known as the ""Peach Twisters,"" seems to be the perfect example. There is only one punishment for players who have let him down: death. Terrible as he may sound, there is someone even more wicked than him—his daughter, Momomi. The three members of the Danger Service Agency—Mikura Suzuki, Tomohisa Harada, and Kenichi Kurokawa—are tasked with kidnapping Momokitchi and taking down his criminal empire. Surrounded by armed bodyguards, he is bound to be a risky target. However, born with a gun in hand, Mikura is used to dancing with danger. The only unknown quantity is Momomi, reputed to be a cold-blooded killer with a twisted mind. Should she stand in the DSA's way, Suzuki might finally find herself a worthy opponent. [Written by MAL Rewrite]","['Sequel (TV) Mezzo DSA', '']",Mezzo Forte,,,,,
66,Amon: The Apocalypse of Devilman,AMON デビルマン黙示録,Amon: Apocalypse of Devilman,,['OVA'],1,Finished Airing,"May 24, 2000",,,"['Aniplex', 'Dynamic Planning']","None found,",['Studio Live'],['Manga'],"['Horror', 'Supernatural']",,['Seinen'],45 min.,R+ - Mild Nudity,6.49,#7146,#4568,"26,721",143,12775,"Fear runs rampant throughout Tokyo with the revelation that demons in fact exist amongst us. Paranoia and the darker side of humanity boils onto the streets as people turn on one another, suspecting that anyone could in fact be a demon hiding in human clothing. Amidst the growing tensions, tragedy strikes Akira causing his mind to snap, retreating into his subconscious, allowing his Devilish alter-ego Amon to break free from Akira's cage of flesh and wreak havoc on both human and demons alike.","['Adaptation (Manga) Amon: Devilman Mokushiroku', '']",Amon: Devilman Mokushiroku,,,"['Gore', 'Mythology', 'Psychological']",,
67,"Legend of the Galactic Heroes Gaiden: Spiral Labyrinth, LoGH Gaiden: Spiral Labyrinth",銀河英雄伝説外伝 螺旋迷宮,Legend of the Galactic Heroes Gaiden (1999),,['OVA'],28,Finished Airing,"Dec 24, 1999 to Jul 21, 2000",,,"['Tokuma Shoten', 'Tokuma Japan', 'Wright Staff']",['Sentai Filmworks'],['K-Factory'],Novel,"['Action', 'Drama', 'Sci-Fi']",,,26 min. per ep.,R - 17+ (violence & profanity),8.06,#581,#5015,"21,291",27,7864,"Ginga Eiyuu Densetsu Gaiden (1999) is the second of two OVA adaptations of side stories from the Ginga Eiyuu Densetsu novel series. This second adaptation follows the achievements of Yang Wen-li of the Free Planets Alliance before the fateful Battle of Astarte, and continues the tales of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire. Spiral Labyrinth Yang is propelled to the spotlight after his famous evacuation of civilians from El Facil. Following an unofficial double promotion and a flurry of media attention, he chronicles his research of the Year 730 Mafia—a close-knit group of Alliance military officers centered around the famed tactician Bruce Ashbey. He investigates a startling claim by Ashbey's deceased widow that may have enormous political ramifications: that the great war hero was not killed in action but murdered. The Mutineer Reinhard and Kircheis are posted on the destroyer Hameln II, docked at Iserlohn Fortress. After gaining the respect of the crew, Reinhard's leadership is tested when the captain is severely wounded and passes command authority to Reinhard, the next-highest ranking officer on deck. The Duelist While Reinhard and Kircheis are working in the Imperial capital Odin, Reinhard learns of a mining rights dispute involving Dorothea von Schaffhausen, a friend of his sister Annerose von Grünewald. Upon hearing that Count Herxheimer intends to settle the matter with a duel, Reinhard volunteers to represent the Schaffhausen family. The Retriever After falling out of favor with the nobility, Count Herxheimer is trying to escape to the Free Planets Alliance with a stolen Seffle particle generator prototype. Reinhard is tasked with retrieving both the prototype and the defector, but is only assigned the cruiser Hässliche Entlein due to the confidential nature of the mission. The Third Battle of Tiamat To commemorate the 30th year of the reign of Kaiser Friedrich IV, the Empire announces a large-scale military campaign against the Free Planets Alliance. In the ensuing clash between the Imperial expeditionary force and three Alliance fleets, Reinhard's timely intervention shapes the tides of war. [Written by MAL Rewrite]","['Sequel (Movie) Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Adaptation (Novel) Ginga Eiyuu Densetsu Gaiden']",Ginga Eiyuu Densetsu Gaiden (1999),,,"['Adult Cast', 'Military', 'Space']",,
68,,ヤーリマクイーン,Sex Demon Queen,,['OVA'],1,Finished Airing,"Jun 25, 2000",,,['Green Bunny'],"['Media Blasters', 'NYAV Post']",['AIC'],Unknown,"['Comedy', 'Fantasy', 'Hentai']",,,29 min.,Rx - Hentai,6.01,N/A,#9428,"4,256",14,1761,"The sorceress Kuri uses her magic to defend herself from perverted monsters and demons, but her partner, Rima, would much rather do perverted things than defend herself. When the two save a woman from a gang rape, they catch the eye of an evil Sex Queen and her dog-demons. When the sex demons release the passions of Kuri and Rima, even the duo`s formidable powers will be useless. Don`t miss it as all four girls redefine the meaning of Doggie Style! (Source: AniDB)",[],Yarima Queen,,,"['Mythology', 'Parody']",,
69,,伝心　まもって守護月天！,,,['OVA'],8,Finished Airing,"Jun 23, 2000 to Nov 30, 2001",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,['Shounen'],30 min. per ep.,PG-13 - Teens 13 or older,6.46,#7350,#9454,"4,219",6,1639,"In the peaceful life of modern Japan, Shaorin and Tasuke explore their relationship amid familiar interventions and new challenges. Shaorin begins to discover why she chose to stay with Tasuke, and Tasuke begins to learn the depth of his love toward Shaorin. (Source: ANN)","['Prequel (TV) Mamotte Shugogetten!', '']",Denshin Mamotte Shugogetten,,,,,
70,Fragile Hearts,こわれもの,Slave Doll - Maid to Order,,['OVA'],3,Finished Airing,"May 20, 2000 to Nov 20, 2000",,,['Soft on Demand'],"['Media Blasters', 'Kitty Media']",['M&M'],Unknown,,,,30 min. per ep.,Rx - Hentai,5.52,N/A,#9778,"3,826",5,1106,"Aki is an Andromaid, half android, half maid. Created to infiltrate the house of Kenichi, she disguises herself as an ordinary housekeeper. Her mission is to capture a sample of Kenichi`s superior sperm, but she ends up with more than she bargained for. Will her android heart find love after comforting her sad new master? (Source: AniDB)","['Sequel (OVA) Kowaremono II', '']",Kowaremono,,,,['Hentai'],
71,,Refrain Blue (リフレインブルー),Refrain Blue,,['OVA'],3,Finished Airing,"Jun 23, 2000 to Oct 27, 2000",,,['Pink Pineapple'],"None found,",['PP Project'],Visual novel,"['Drama', 'Romance']",,,25 min. per ep.,R+ - Mild Nudity,5.70,#11387,#10419,"3,121",1,1169,"A trip to the beach turns out to be more than expected for two people who are mourning the losses of their beloved. Perhaps a mysterious girl known as the ""Umi Warabe"" can help them to heal their wounds and move on with their lives. Matsunaga Yoshihiro is the chaperone for a group of high-school students on a summer trip to the beach. One night he saves one of the students, Morisawa Nao, as she attempts to drown herself. She had been on this same trip a year ago, with her fiancee, who was later killed in a plane crash. As these two get to know each other, we find that Yoshihiro also has a painful secret from his past. Watching over everything is a mysterious young girl who somehow is always there at decisive moments. (Source: ANN)",[],Refrain Blue,,,,,
72,,名探偵コナン インターネット謎のメール事件,Detective Conan: The Internet - The Mysterious E-mail Case,,['OVA'],1,Finished Airing,"Jun 23, 2000",,,['Shogakukan'],"None found,","None found,",['Manga'],,['School'],['Kids'],14 min.,G - All Ages,6.43,#7497,#10698,"2,882",3,628,An educational Meitantei Conan OVA where the Shounen Tantei-dan (Detective Boys/The Junior Detective League) have to do a school research project in the library when they receive a mysterious email that leads them on an educational scavenger hunt. This OVA was released as a bundle with Shogakukan's Nijuuisseiki Kodomo Hyakka Kagaku-kan Dai 2-ban (WOW!) (21st Century Children's Encyclopedia Science Museum 2nd Edition (WOW!)). It uses animated characters on top of live-action backgrounds.,[],Meitantei Conan: Internet Nazo no Mail Jiken,,,,['Mystery'],
73,Fairy in the Forest,フェアリーフォレスト レミちゃん,Fairy Forest Remi-chan,,['OVA'],1,Finished Airing,"Apr 21, 2000",,,"['Adult Source Media', 'Obtain Future']","None found,","None found,",Unknown,,,,21 min.,Rx - Hentai,4.53,N/A,#10929,"2,683",3,1055,Take a mystical journey to an enchanted forest where this fairy will fulfill your every sexual desire... But will his dark past manifest itself in the form of love or anger and lead them down a dark road? (Source: AniDB),[],Fairy Forest Remi-chan,,,,['Hentai'],
74,,エンドレス セレナーデ,,,['OVA'],1,Finished Airing,"Apr 14, 2000",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,,33 min.,Rx - Hentai,5.52,N/A,#11353,"2,364",3,802,"Based on the visual novel by DISKDREAM. Yuji can't deny it —he's infatuated with Satsuki. She's the center of his every waking thought, the star of his every wet dream… There's just one major problem. Satsuki is his late brother's fiance. Now, a year after his brother's death, Yuji is hoping the day has finally come to make his move, but a steamy night with Miki, the shy red-headed girl at work, could change everything. Should he be with the girl he's always wanted, or the girl who's always wanted him?",[],Endless Serenade,,,,['Hentai'],
75,Sex Crime,煌きの姉弟妹 ～SEX CRIME～,,,['OVA'],1,Finished Airing,"May 25, 2000",,,['Shinyusha'],"None found,","None found,",['Manga'],,,,29 min.,Rx - Hentai,5.28,N/A,#11707,"2,138",5,582,"A brother and sister story, they are unrelated siblings that lived together for a long time. Will he be able to keep his feelings in check, or will they become something more?","['Adaptation (Manga) Sex Crime', '']",Kirameki no Kyoudai: Sex Crime,,,,['Hentai'],
76,Pink Riders,69 핑크 라이더스,,,['OVA'],1,Finished Airing,"Jun 30, 2000",,,"None found,","None found,","None found,",Unknown,,,,51 min.,Rx - Hentai,4.54,N/A,#12171,"1,848",4,548,"Korean animation, consists of 7 stories not particularly related to each other, though some of them are. (Source: AniDB)","['Sequel (OVA) 69 Pink Riders 2', '']",69 Pink Riders,,,,['Hentai'],
77,,トライゼット,,,['OVA'],1,Finished Airing,"Jun 9, 2000",,,"None found,","None found,","None found,",Unknown,,,,37 min.,Rx - Hentai,4.96,N/A,#13701,"1,168",2,301,No synopsis has been added for this series yet. Click here to update this information.,[],Try Z,,,,['Hentai'],
78,,微熱 ～約束のとき～,,,['OVA'],1,Finished Airing,"May 5, 2000",,,"None found,","None found,",['G.P Entertainment'],Unknown,,,,31 min.,Rx - Hentai,4.97,N/A,#14043,"1,067",0,282,No synopsis has been added for this series yet. Click here to update this information.,[],Binetsu: Yakusoku no Toki,,,,['Hentai'],
79,Space Travelers The Movie,スペーストラベラーズ The Animation,Space Travelers,,['OVA'],1,Finished Airing,"Jun 23, 2000",,,"['Fuji TV', 'Robot Communications']",['Media Blasters'],"None found,",Unknown,,['Space'],,59 min.,PG-13 - Teens 13 or older,5.26,#12789,#14348,982,0,285,"In the New Cosmic Century 038, humanity is suddenly attacked by an unknown alien civilization known as the Orbital Ring System. Soon, the entire Earth Civilization Sphere has been cut off from the space colonies, and is under the control of the ORS. Only Hayabusha Jetter, along with his band of misfit space pirates and smugglers, can break through ORS lines. (Source: Wikipedia)",[],Space Travelers The Animation,,,,['Sci-Fi'],
80,Virtually Real - Virtual Stars,バーチャルスター2000,,,['OVA'],6,Finished Airing,"Apr 19, 2000",,,['Pony Canyon'],"None found,","None found,",Unknown,,['Music'],,5 min. per ep.,R+ - Mild Nudity,5.15,#13011,#15292,747,0,208,"Meet mysterious Miharu, awesome Aya, ruthless Ryoko, mind-blowing Misty, youthful Yukari and heavenly Hikary in a stunning series of computer-generated femininity. In Super Sonic Jet Girl, you'll enter a hellish nightclub where lingerie-clad Miharu defends herself in a most personal fashion. Chat places the longingly lovely Aya on the streets of your dreams. In Run & Run, Yukari breathes hard and races fast - to nowhere. A Jellyfish Day finds the blonde bombshell Hikary starring in a music video about her private passions. Ryoko inhabits Yamag's Garage, an arena of ""Pure Mind,"" ""Love,"" and a very ""Beautiful Face."" And Misty mesmerizes in a music video in which she brags: ""I'm your magnet of love, and I'm here to serve you."" (Source: AniDB)",[],Virtual Star 2000,,,,['Action'],
81,,越後の昔ばなし あったてんがのぉ,Tales from the Snow Country,,['OVA'],1,Finished Airing,May 2000,,,['Mushi Production'],"None found,","None found,",Unknown,,['Mythology'],['Kids'],30 min.,G - All Ages,[],#17870,#18433,389,0,,"A collection of four folk tales from Koshiji (from 2005, part of Nagaoka), Niigata prefecture (Echigo is the old name of Niigata). Episode 1: The Azuki Mochi and the Frog A mean old woman tells an azuki mochi to turn into a frog, if her daughter-in-law wants to eat it. The daughter-in-law hears this, and... Episode 2: Satori A woodcutter warms himself at the fire of deadwood, when a spirit in the form of an eyeball appears in front of him. The spirit guesses each of the woodcutter's thoughts right... Episode 3: The Fox's Lantern An old man, who got lost in the night streets, finds a lantern with a beautiful pattern, which was lost by a fox spirit. The next day, he returns it reluctantly, and what he sees... Episode 4: The Three Paper Charms An apprentice priest, who lost his way, accidentally puts up at the hut of the mountain witch. To avoid being eaten, he uses three paper charms to get back to the temple... (Source: Official site)",[],Echigo no Mukashibanashi: Attaten Ganoo,,,,['Horror'],
82,,さる・るるる,,,['OVA'],4,Finished Airing,"Apr 5, 2000",,,"None found,","None found,","None found,",Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#13949,#22781,144,0,,Episode 1 - Rururururu Episode 2 - Saru Rururu Episode 3 - Gaikotsu-san Episode 4 - Kabu-san Tonda (Source: Official Site),[],Saru Rururu,,,,,
83,Jinrou,人狼 JIN-ROH,Jin-Roh: The Wolf Brigade,"Jin-Roh, la Brigade des Loups",['Movie'],1,Finished Airing,"Jun 3, 2000",,,"['Bandai Visual', 'ING']","['Bandai Entertainment', 'Discotek Media']",['Production I.G'],['Manga'],"['Action', 'Award Winning', 'Drama', 'Romance', 'Suspense']",,,1 hr. 42 min.,R - 17+ (violence & profanity),7.78,#1081,#1326,"193,095","2,080",83197,"In an alternate history, following World War II, civil unrest and terrorism run rampant in a devastated Japan under foreign occupation. During a botched interception of underground munitions being transferred by a terrorist organization, Constable Kazuki Fuse, a soldier in an elite counter-terrorism unit, witnesses the true terror of human nature. He fails to prevent a teenage girl from carrying out a desperate suicide bombing that subsequently causes immense destruction to Tokyo. With mental scars and his competence under question, Fuse is sent back to the military academy for re-evaluation. Unbeknownst to him, he will soon be caught up in a web of government conspiracies that have the power to determine the future of all of Japan. As Fuse treads the fine line between human and beast, he ultimately discovers to which side he truly belongs. [Written by MAL Rewrite]","['Adaptation (Manga) Kenrou Densetsu', '']",Jin-Rou,Jin-Roh,Jin-Roh,"['Adult Cast', 'Military', 'Psychological']",,
84,Escaflowne: The Movie,エスカフローネ,Escaflowne: A Girl in Gaea,Escaflowne: Le Film,['Movie'],1,Finished Airing,"Jun 24, 2000",,,"['Atelier Musa', 'Omnibus Promotion']","['Funimation', 'Bandai Entertainment']","['Bones', 'Sunrise']",Original,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']",,,1 hr. 37 min.,PG-13 - Teens 13 or older,7.05,#4135,#2647,"75,293",226,33014,"Hitomi Kanzaki is in a very depressed mood. She only wants to sleep and fade away. Her misery summons Lord Folken who sends her to Gaea. The people of Gaea think she is the Wing Goddess, who can call upon the legendary Dragon Armor called Escaflowne. On Gaea, King Van, the sole survior of the White Dragon Clan, is also in a depressed state. Swearing an oath to get his revenge on the Black Dragon Clan that obliterated Van's kingdom, he lives by the sword. Now that the Wing Goddess has finally appeared, she posseses Gaea's world fate in her heart. Escaflowne will either lead Gaea to peace or total ruin. (Source: ANN)",[],Escaflowne,Escaflowne: Der Film,Escaflowne: La Película,"['Isekai', 'Mecha']",,
85,Detective Conan Movie 04: Captured in Her Eyes,瞳の中の暗殺者,Case Closed Movie 04: Captured In Her Eyes,Detektiv Conan Film 4: L'assassins dans Ses Yeux,['Movie'],1,Finished Airing,"Apr 22, 2000",,,"['Yomiuri Telecasting', 'Polygram Japan', 'TOHO', 'Shogakukan', 'Audio Planning U', 'Polydor Records', 'Shogakukan Productions']",['Funimation'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],1 hr. 39 min.,PG-13 - Teens 13 or older,8.02,#634,#2887,"65,163",100,39035,"On a rainy afternoon, the Detective Boys witness a murder across the street. Barred by traffic, the culprit slips away and Conan Edogawa is left a single clue by a dying detective. Days later, another detective is found murdered in a parking lot, leaving the police rattled. Suspicious that the culprit is one of their own, everyone in the police department without an alibi is suspect. But despite being on high alert, they are outmaneuvered and suffer yet another attack—this time with Ran Mouri finding herself in the crossfire. Traumatized, Ran wakes in the hospital with retrograde amnesia, remembering nothing about her life. Soon released, she struggles to remember her past and grows fearful of not regaining her memories before being targeted by the killer for what she witnessed. As she is guarded by friends and family, it is up to Conan to piece together the clues and find who the murderer is before they strike again. [Written by MAL Rewrite]",[],Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Detektiv Conan Film 4: Der Killer in ihren Augen,,,,
86,"Eiga Crayon Shin-chan: Arashi wo Yobu Jungle, Crayon Shin-chan: The Storm Called The Jungle",映画 クレヨンしんちゃん　嵐を呼ぶジャングル,,,['Movie'],1,Finished Airing,"Apr 22, 2000",,,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy']",,['Seinen'],1 hr. 28 min.,G - All Ages,7.39,#2424,#6996,"9,237",9,5728,"An adventure set in a south island. Shinnosuke with his parents and friends joined a tour with the preview of Action Kamen's new movie 'South Sea Millennium Wars' on a luxury liner, but a funky guy who names himself Paradise King and his slave gang of gibbon monkeys took away all the adults to a south island. Gotaro Go, an actor playing the role of Action Kamen, with Shinnosuke, fights a martial-arts battle and air battle against Paradise King. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen', 'Sequel (Movie) Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu']",Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,,Shin Chan Película 8: Perdidos en la Jungla,,,
87,,Auto Mommy,Auto Mommy,,['Movie'],1,Finished Airing,Apr 2000,,,"None found,","None found,",['Sovat Theater'],Unknown,,,,12 min.,PG-13 - Teens 13 or older,[],#16695,#16178,603,1,,"Parents who don't want to take care of their child leave parenting to the mail ordered robot ""Auto Mommy"" and allow their child to be raised in isolation. One day, they take a look at the monitor to check the child, and then they see the child wearing dog skin and hiding his face. This is not good, the parents think, because they can't send the child to school like this. So they make Auto Mommy peel the dog skin off the child, only to find that the child became a plant without a human face.",[],Auto Mommy,,,,['Fantasy'],
88,,WIND,,,['Movie'],1,Finished Airing,Apr 2000,,,"None found,","None found,","None found,",Original,,,,5 min.,G - All Ages,5.41,#12392,#19200,334,0,133,"Beginning with a photograph of a pinhole camera by photographer Yoshiyasu Suzuka, a detailed abstract animation develops in a jet-black space.",[],Wind,,,,['Avant Garde'],
89,,ゲゲゲの鬼太郎　妖怪ポストに聞いてみよう！～目玉おやじのなぜなぜ子供相談室～,,,['Movie'],1,Finished Airing,"Apr 22, 2000",,,"None found,","None found,","None found,",['Manga'],"['Adventure', 'Sci-Fi', 'Supernatural']",,['Kids'],1 hr.,G - All Ages,[],#18154,#21696,193,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Gegege no Kitarou: Youkai Post ni Kiitemiyou! Medama Oyaji no Naze Naze Kodomo Soudanshitsu,,,"['Mythology', 'Space']",,
90,,ギブリーズ,,,['Special'],2,Finished Airing,"Apr 8, 2000 to Jul 19, 2002",,,"None found,","None found,",['Studio Ghibli'],Original,,,,18 min. per ep.,PG - Children,6.36,#7912,#7448,"7,840",6,2821,"Two Ghibli created shorts about the happenings in a fictional animation studio, presumably based to some extent on their own.",[],Ghiblies,,,,['Comedy'],
91,"Persona 2: Innocent Sin, Persona 2: Eternal Punishment",ペルソナ 2 -Another Self-,,,['Special'],1,Finished Airing,"Jun 29, 2000",,,['Atlus'],"None found,",['Satelight'],Game,"['Action', 'Fantasy', 'Supernatural']",['Mythology'],,5 min.,PG-13 - Teens 13 or older,6.29,#8365,#7870,"6,871",11,1767,"Animated promotional trailer for the Persona 2: Innocent Sin, a game for PlayStation. Included as a bonus on the Persona 2: Eternal Punishment Bonus Disc.",[],Persona 2: Another Self,,,,,
92,"Seikai no Monshou Movie, Crest of the Stars Special Edition",星界の紋章 総集編,,,['TV Special'],1,Finished Airing,"Apr 7, 2000",,,"['Bandai Visual', 'WOWOW']","None found,",['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']",,,1 hr. 30 min.,PG-13 - Teens 13 or older,7.12,#3805,#9663,"3,953",2,1431,A compilation of the Seikai no Monshou series with additional footage.,[],Seikai no Monshou Special,,,"['Military', 'Space']",,
93,,クレヨンしんちゃん Specials,,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],48 min.,G - All Ages,[],#17451,#15462,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,,,
