,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Synonyms,Spanish,German,French,Genre,Demographics
55,はれときどきぶた,Tokyo Pig,['TV'],61,Finished Airing,"Jul 3, 1997 to Sep 29, 1998",['Summer 1997'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Aniplex', 'TV Tokyo Music']","None found,",['Group TAC'],Picture book,,,23 min. per ep.,PG - Children,6.49,#7163,#12569,"1,616",7,411,Tokyo Pig is the wacky and crazy story of a young boy named Spencer and his magical pet pig named Sunny. This is the wierd adventures of these two wierdos. (Source: ANN),[],Hare Tokidoki Buta (TV),['Parody'],,,,,,['Comedy'],
56,学級王ヤマザキ,"King of Classroom, Yamazaki",['TV'],54,Finished Airing,"Oct 27, 1997 to Nov 27, 1998",['Fall 1997'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Magic Bus'],['Manga'],,,24 min. per ep.,G - All Ages,6.12,#9249,#12828,"1,490",4,666,"Yamazaki comes to Earth from an other planet, hoping to conquer our planet. But he soon realizes, that in order to conquer the world, he has to conquer a his own classroom first. That's why he comes up with lots of different ideas to get everybody to follow him. Also, he spends most of his time making Tatsuya (the class rep.) miserable. Having his loyal and strange dog Watanabe always by his side, and the help from his grandparents, Yamazaki is always doing crazy things with his class, completely forgetting his primary goal, and only thinking in becoming ""The King of the Class"". (Source: ANN)",[],Gakkyuu Ou Yamazaki,,,"Gakkyuuou Yamazaki, Gakkyu-oh Yamazaki, King of Classroom, Yamaza",,,,['Comedy'],
57,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10326,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,['Anthropomorphic'],['Kids'],,,,,,
58,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
59,녹색전차 해모수,Hamos: The Green Chariot,['TV'],26,Finished Airing,"Dec 12, 1997 to Jun 12, 1998",['Winter 1998'],Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Fantasy']",,30 min. per ep.,PG - Children,6.23,#8694,#13885,"1,108",7,324,"The Planet Terra, once called a morning star in galactic system, was so beautiful. However, Terra is now under crisis that it may disappear with big explosion in universe due to the pollution and warfare. Dr. Chaco is the only one who knows the key of saving the planet Terra. The only way to save Terra is to make rainbow system work with seven mysterious crystals. To find 7 crystals, Dr. Chaco holds a race to achieve his plot to build his own universal dynasty with the power of the crystals. Riding Hamos Rick joins the race not knowing Dr. Chaco''s plot. Rick comes to know the secret of the crystals on the way of the race, tries to revive the planet Terra. This causes a war between Dr. Chaco and Rick to get the 7 crystals and rainbow system. (Source: tvkanald.rs)",[],Nogsaegjeoncha Hamos,,,Niji no Senki Irisu,,,,,
60,超特急ヒカリアン,Super Express Hikarian,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",,7 min. per ep.,G - All Ages,6.15,#9077,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,,['Kids'],Hikarian: Great Railroad Protector,,,,,
61,さくらももこ劇場 コジコジ,Coji-Coji,['TV'],100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",['Fall 1997'],Saturdays at 17:30 (JST),['Aniplex'],"None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,25 min. per ep.,G - All Ages,6.28,#8387,#14568,926,1,191,"The only thing that concerns Coji Coji is enjoying life and the wonders of nature. Coji Coji’s friends, on the other hand, are a varied bunch of colorful characters whose many idiosyncrasies have a tendency to create turmoil among one another. Coji Coji’s carefree ways and tendency to shirk responsibility are sometimes a source of frustration, but his childlike wisdom has a way of resolving all of their differences. (Source: AniDB)",[],Sakura Momoko Gekijou: Coji-Coji,,,"Cojicoji, Koji-koji, Sakura Momoko Theatre: Kojikoji",,,,,
62,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,22 min. per ep.,PG - Children,[],#20605,#16833,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,,,
63,ヘリタコぷーちゃん,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Saturdays at 18:30 (JST),"None found,","None found,",['Toei Animation'],Unknown,,,25 min. per ep.,PG - Children,[],#18508,#19229,333,0,,Based on the manga by Sasaki Takemaru.,[],Heli-Tako Puu-chan,,['Kids'],Heli-Octopus Puu-Chan,,,,['Comedy'],
64,スプーンひめのスイングキッチン,,['TV'],34,Finished Airing,"Apr 7, 1997 to Apr 10, 1999",['Spring 1997'],Unknown,['NHK'],"None found,","None found,",Original,,,1 min. per ep.,PG - Children,[],#14600,#19558,311,0,,An NHK toddler's anime following a Spoon Princess and other kitchen themed characters.,[],Spoon-hime no Swing Kitchen,,['Kids'],,,,,['Adventure'],
65,こっちむいてみい子,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,8 min. per ep.,G - All Ages,[],#19507,#20216,275,1,,"The Yamada family consists of Miiko, her brother Mamoru and her parents. Both of her parents have work, so they are usually busy during the day and are outside of the house most of the time. The troubles in Yamada family are usually caused by Miiko's lazy character and her clumsiness. (Source: Official Site)","['Adaptation (Manga) Miiko desu!', 'Adaptation (Manga) Kocchi Muite! Miiko']",Kocchi Muite Miiko,,['Shoujo'],"Look This Way, Miiko",,,,,
66,ストレイシープの大冒険,The Adventure of Stray Sheep,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,5 min. per ep.,G - All Ages,[],#14613,#22482,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,['Kids'],,,,,['Adventure'],
67,ヨコハマ買い出し紀行,,['OVA'],2,Finished Airing,"May 21, 1998 to Dec 2, 1998",,,['Aniplex'],"None found,",['Ajia-do'],['Manga'],"['Sci-Fi', 'Slice of Life']",,29 min. per ep.,G - All Ages,7.43,#2222,#3586,"43,773",436,16212,"After a disaster leaves the world in a state of decline, the remaining human population lives out their lives peacefully and quietly in the twilight of the human age. Alpha Hatsuseno is an android who works at a cafe bordering Yokohama that rarely gets visitors, and is waiting for her owner to return. One day, another android, the courier Kokone Takatsu, brings Alpha a package from her master. Inside is a camera, given to Alpha so she can take pictures to reminisce about. Yokohama Kaidashi Kikou is a slow and contemplative anime that follows an android girl as she takes beautiful pictures and experiences touching moments, all amidst a calming sense of peace. [Written by MAL Rewrite]","['Sequel (OVA) Yokohama Kaidashi Kikou: Quiet Country Cafe', 'Adaptation (Manga) Yokohama Kaidashi Kikou']",Yokohama Kaidashi Kikou,['Iyashikei'],['Seinen'],"YKK, Yokohama Shopping Log, Yokohama Shopping Trip",,,,,
68,FAKE,,['OVA'],1,Finished Airing,"Apr 21, 1998",,,"None found,",['Media Blasters'],['J.C.Staff'],['Manga'],"['Boys Love', 'Comedy', 'Mystery']","['Adult Cast', 'Detective']",58 min.,R - 17+ (violence & profanity),6.50,#7075,#4903,"22,380",67,11519,"New York Police Department partners Dee Laytner and Randy ""Ryo"" Maclean are on a vacation in the English countryside—which Dee has sneakily set up as an opportunity to seduce Ryo. As romantic tensions steadily build, Ryo spots a dead body floating in an otherwise tranquil lake. With their intimate holiday suddenly interrupted, the pair must decide what they think is more important: solving a case or each other. [Written by MAL Rewrite]","['Adaptation (Manga) Fake Read Manga', '']",Fake,,,,,,,,
69,マクロスダイナマイト7,,['OVA'],4,Finished Airing,"Dec 18, 1997 to Aug 25, 1998",,,"['Bandai Visual', 'Mainichi Broadcasting System', 'Studio Nue', 'Big West']","None found,",['Ashi Productions'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Mecha', 'Music', 'Space']",30 min. per ep.,PG-13 - Teens 13 or older,6.80,#5352,#5770,"14,841",18,6253,"Less than a year after the events that transpired in the Macross 7 TV series, Basara leaves Fire Bomber and travels to the planet Zola. There, he meets a girl named Elma, who is a big fan of Fire Bomber. It is also on this planet where he must once again use his Spiritia powers; this time, to stop an army of poachers and Elma's father Graham from killing a group of space whales travelling within the planetary system.","['Prequel (TV) Macross 7', 'Sequel (TV) Macross F']",Macross Dynamite 7,,,Macross 7 Dynamite,,,,,
70,ゴルゴ１３　ＱＵＥＥＮ　ＢＥＥ,Golgo 13: Queen Bee,['OVA'],1,Finished Airing,"May 21, 1998",,,['Filmlink International'],['Urban Vision'],['Tezuka Productions'],['Manga'],"['Action', 'Adventure', 'Drama']","['Adult Cast', 'Military']",56 min.,R+ - Mild Nudity,6.57,#6638,#6336,"11,648",10,5111,"Master assassin Golgo 13 is hired by the advisor of presidential candidate Robert Hardy to assassinate ""Queen Bee,"" the beautiful and deadly leader of a South American guerilla army. Golgo, however, finds this job too easy and digs further information to find out the true connection between Hardy and Queen Bee. (Source: ANN)","['Prequel (Movie) Golgo 13', 'Sequel (TV) Golgo 13 (TV)', 'Adaptation (Manga) Golgo 13', '']",Golgo 13: Queen Bee,,['Seinen'],,,Golgo 13: Die Bienenkönigin,,,
71,AIKa Special TRIAL,,['OVA'],1,Finished Airing,"May 25, 1998",,,"None found,",['Bandai Entertainment'],['Studio Fantasia'],Original,,,12 min.,R+ - Mild Nudity,5.63,#11670,#7171,"8,673",6,3630,A bonus episode about Aika and company moving to a new office.,[],AIKa: Special Trial,,,"Agent Aika Special, Agent Aika Episode 4.5, Agent Aika Moving Out",,,,['Ecchi'],
72,クィーン・エメラルダス,,['OVA'],4,Finished Airing,"Jun 5, 1998 to Dec 18, 1999",,,"['Bandai Visual', 'Four Some', 'Dynamic Planning', 'Multi Access Company']",['ADV Films'],['OLM'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,36 min. per ep.,PG-13 - Teens 13 or older,6.82,#5226,#7221,"8,555",15,3124,"In a far distant future, a would-be master race seeks to dominate the galaxy. Against these merciless Afressians, mankind has just one hope: the mysterious female warrior known as Emeraldas. Driven by the tortured memory of her lost love, Emeraldas sails the Sea of Stars like a privateer of old, blasting the forces of tyranny into atoms with an amazing array of futuristic weapons. But when the devious Commander Eldomain kidnaps a group of innocent civilians, Emeraldas is drawn into a deadly trap from which even she may not escape! (Source: ADV Films)","['Adaptation (Manga) Queen Emeraldas Read Manga', '']",Queen Emeraldas,['Space'],['Shounen'],,,,,,
73,バトルアスリーテス大運動会,Battle Athletes,['OVA'],6,Finished Airing,"May 25, 1997 to Jun 25, 1998",,,"['TV Tokyo', 'Genco', 'Pioneer LDC']","['Discotek Media', 'Geneon Entertainment USA']",['AIC'],Original,"['Comedy', 'Sci-Fi', 'Sports', 'Ecchi']",,32 min. per ep.,PG-13 - Teens 13 or older,6.44,#7446,#8060,"6,468",7,2334,"It is the year 4999 - mankind has long abandoned war in favor of intergalactic competition through athletic events. One of which is an all-female contest for the coveted ""Cosmo Beauty"" title. Akari Kanzaki has just entered the University Satellite in hopes of becoming the latest Cosmic Beauty - a title held by her mother long ago. On her first few days in the university, she meets new friends, encounters fierce rivals, and struggles to become the best of all the Battle Athletes. (Source: ANN)","['Adaptation (Manga) Battle Athletes Daiundoukai', '']",Battle Athletess Daiundoukai,['Space'],,Battle Athletes OVA,,,,,
74,夢で逢えたら,If I See You in My Dreams,['OVA'],3,Finished Airing,"Apr 21, 1998 to Dec 19, 1998",,,['TBS'],['Media Blasters'],['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance', 'Ecchi']",,27 min. per ep.,PG-13 - Teens 13 or older,6.35,#7958,#8090,"6,406",10,2646,"Yume de Aetara is a story about one guy Fuguno Masuo (a complete loser when it comes to relationship with women) and two girls: Shiozaki Nagisa and Hamaoka Miho. Since the story is pretty simple (and hilariously funny), further explanation will spoil everything (take the hint: watch it yourself!) (Source: AniDB)","['Adaptation (Manga) Yume de Aetara', '']",Yume de Aetara,,['Seinen'],"Yume de Aetara (1999), Yume de Aetara OAV",,,,,
75,教科書にないッ!,Very Private Lesson,['OVA'],2,Finished Airing,"Apr 21, 1998 to May 21, 1998",,,['Toei Video'],['Media Blasters'],['AIC'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,39 min. per ep.,R+ - Mild Nudity,5.41,#12375,#8336,"5,965",8,2323,"Oraku is a lucky man. He has a comfortable job teaching at a local High School. He has Satsuki, a fellow teacher whom he hopes to marry someday. He has Aya, a beautiful student who has fallen in love with him. He has Aya's father, a wealthy man who wants so much for his little girl to be happy that he has sent her to live with Oraku. Oraku is a very lucky man. Of course Aya loves nothing more than to come on to Oraku by lounging around his apartment half naked. Unfortunately for Oraku, Aya's father happens to be wealthy because he is a major crime boss, and he will have Oraku slowly murdered if Aya doesn't remain absolutely pure. Now Oraku must not only restrain himself, but also protect Aya from the hordes of men and woman at school who'd love to get their hands on her body. And of course, if Satsuki or any of the other teachers find out that Oraku is living with one of his students, he will be permanently dismissed from the teaching profession! Oh yes Oraku is lucky... (Source: AniDB)","['Adaptation (Manga) Kyoukasho ni Nai!', '']",Kyoukasho ni Nai!,['School'],['Seinen'],Not in the Textbook!,,,,,
76,宇宙の騎士テッカマンブレード,Tekkaman Blade: Twin Blood,['OVA'],1,Finished Airing,"Jun 5, 1998",,,"None found,",['Media Blasters'],['Tatsunoko Production'],Original,"['Action', 'Sci-Fi']",,10 min.,R - 17+ (violence & profanity),6.95,#4585,#9367,"4,337",5,1510,"Twin Blood is an alternate version of Blade and Evil's first battle, with drastically different character and mecha designs from the rest of the series. Blade/D-Boy does not need Pegas to transform and the armor more closely resembles the Radam humanoids from Tekkaman Blade II.",[],Uchuu no Kishi Tekkaman Blade OVA: Twin Blood,['Mecha'],,Uchuu no Kishi Tekkaman Blade - S1 Twin Blood,,,,,
77,ジオブリーダーズ　File-X　ちびねこ奪還,Geobreeders: (File-X) Get Back The Kitty,['OVA'],3,Finished Airing,"May 21, 1998 to Oct 21, 1998",,,['Victor Entertainment'],['Central Park Media'],['Chaos Project'],['Manga'],"['Adventure', 'Comedy', 'Supernatural']",,30 min. per ep.,R+ - Mild Nudity,6.27,#8437,#9420,"4,261",7,1784,"Taba and the Girls of Kagura Total Security Inc. specialize in jobs where their enemy are ""Phantom Cats"". They have a few run ins with the various Government agencies, as well as a gang of Phantom Cats; blowing up a lot of stuff along the way. When one of their own is kidnapped, they have to get her back. (Source: ANN)","['Sequel (OVA) Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa', 'Adaptation (Manga) Geobreeders']",Geobreeders: File-X Chibi Neko Dakkan,,['Seinen'],,,,,,
78,地獄先生ぬ～べ～,Hell Teacher Nube,['OVA'],3,Finished Airing,"Jun 12, 1998 to May 14, 1999",,,['Toei Video'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Comedy', 'Horror', 'Supernatural']","['Mythology', 'School']",29 min. per ep.,PG-13 - Teens 13 or older,7.13,#3757,#9615,"4,006",6,1518,Continuation of the TV series.,"['Prequel (TV) Jigoku Sensei Nube', '']",Jigoku Sensei Nube OVA,,['Shounen'],,,,,,
79,サイキック フォース,,['OVA'],2,Finished Airing,"May 25, 1998",,,['Broccoli'],"None found,",['Triangle Staff'],Game,"['Action', 'Sci-Fi']",,31 min. per ep.,PG-13 - Teens 13 or older,5.24,#12849,#10626,"2,940",3,1342,"There are two kinds of people in the world, normal and psychics. Psychics are rare, powerful and feared. Burn Griffith met and befriended one of them, Keith Evans, two years ago. Now he has been looking for his friend, but when he finally succeeds, something's not right. The world has changed, and so has Keith. (Source: ANN)","['Adaptation (Manga) Psychic Force Comic Anthology', '']",Psychic Force,['Super Power'],,,,,,,
80,聖少女艦隊バージンフリート,Virgin Fleet,['OVA'],3,Finished Airing,"Apr 25, 1998 to Oct 25, 1998",,,['BEAM Entertainment'],['Central Park Media'],['AIC'],Unknown,"['Fantasy', 'Sci-Fi']","['Military', 'School']",29 min. per ep.,PG-13 - Teens 13 or older,5.17,#12976,#10725,"2,855",0,1217,"In the pre-WWII era, Nakano Naval Academy's special school for girls is codenamed ""Virgin Fleet"". These girls are gifted with a special form of power known as ""Virgin Energy"". With the fear of another Russo-Japanese war imminent, rookie pilot Shiokaze Umino must hone her powers to save Japan from complete destruction. (Source: AniDB)",[],Seishoujo Kantai Virgin Fleet,,,,,,,,
81,同窓会,Yesterday Once More,['OVA'],4,Finished Airing,"Mar 27, 1998 to Dec 18, 1998",,,"['Pink Pineapple', 'KSS']",['Kitty Media'],['Arms'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.64,N/A,#10967,"2,648",2,793,"A young group of friends meet up for the first time in a very long time after finishing high-school. One of them remembers how once ago a girl left him Daisies and a love letter inside his locker, back in the high-school days. He has three suspects of who this secret lover could be and so there is only one way to know... by having sex with all of them. (Source: AniDB)","['Sequel (OVA) Dousou Kai Again', '']",Dousou Kai,['Harem'],,Class Reunion: Yesterday Once More,,Yesterday Once More,,['Hentai'],
82,同級生2,End of Summer 2,['OVA'],12,Finished Airing,"Mar 22, 1996 to Dec 18, 1996",,,"['Pink Pineapple', 'KSS']","None found,",['Arms'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.59,N/A,#11087,"2,561",1,758,Based on a game by Elf.,"['Prequel (OVA) Doukyuusei: Climax', 'Sequel (OVA) Doukyuusei 2 Special: Sotsugyousei']",Doukyuusei 2,,,Classmates 2,,,,['Hentai'],
83,宇宙の騎士テッカマンブレード,Tekkaman Blade: Burning Clock,['OVA'],1,Finished Airing,"Jun 5, 1998",,,"None found,",['Media Blasters'],['Tatsunoko Production'],Original,"['Action', 'Sci-Fi']",,9 min.,R - 17+ (violence & profanity),6.57,#6670,#11088,"2,560",2,913,"The first OVA, Burning Clock, tells the story of the Aiba family, goes into further detail about Shinya and Takaya's rivalry.",[],Uchuu no Kishi Tekkaman Blade OVA: Burning Clock,['Mecha'],,,,,,,
84,宇宙の騎士テッカマンブレード,Tekkaman Blade: Missing Link,['OVA'],1,Finished Airing,"Jun 5, 1998",,,"None found,",['Media Blasters'],['Tatsunoko Production'],Original,"['Action', 'Sci-Fi']",,5 min.,R - 17+ (violence & profanity),5.97,#10080,#11267,"2,435",1,829,"The third, Missing Link, deals with the events between Tekkaman Blade and Tekkaman Blade II.",[],Uchuu no Kishi Tekkaman Blade OVA: Missing Link,['Mecha'],,,,,,,
85,放課後恋愛クラブ-恋のエチュード-,Casual Romance Club,['OVA'],2,Finished Airing,"Apr 24, 1998 to Aug 21, 1998",,,['Pink Pineapple'],"None found,",['Dangun Pictures'],Visual novel,,,31 min. per ep.,Rx - Hentai,5.03,N/A,#12137,"1,874",2,518,Based on an adult game by Libido.,[],Houkago Renai Club: Koi no Étude,,,"Koikura, Houkago Renai Club: Koi no Eetude, Houkago Renai Club, Afterschool Romance Club",,,,['Hentai'],
86,闘神都市Ⅱ,Tournament of the Gods: Title Match,['OVA'],3,Finished Airing,"Dec 19, 1997 to Jun 27, 1998",,,['Pink Pineapple'],['SoftCel Pictures'],['AIC'],Visual novel,"['Adventure', 'Fantasy', 'Hentai']",,29 min. per ep.,Rx - Hentai,5.63,N/A,#12335,"1,744",2,517,"Sid enters a tournament. Shortly after he is crowned champion, the fallen Angel Aquross infects him with a hideous disease that requires him to steal the life energy of Angels or be in constant pain. The only relief lies in a drug that kills the pain, but causes sexual urges that cannot be denied. Now, Sid must defeat the evil Aquross. (Source: ANN)",[],Toushin Toshi II,,,Toshin Toshi 2,,,,,
87,ピアニスト,The Pianist,['OVA'],1,Finished Airing,"Jun 25, 1998",,,['J.T.P.P.'],['NuTech Digital'],['Ripple Film'],['Manga'],,,26 min.,Rx - Hentai,5.09,N/A,#12386,"1,714",0,592,"When a famous pianist is badly injured, his hopes for the future are shattered. To aid his recovery, Yuna, a lovely android with a heart of gold, will do anything to help...",[],Pianist,,,,,,,['Hentai'],
88,Rhythm 恋の律動〈りずむ〉,Pure Love,['OVA'],2,Finished Airing,"Jun 11, 1998 to Jan 8, 1999",,,['Daiei'],"None found,",['Project Team Sarah'],Visual novel,,,31 min. per ep.,Rx - Hentai,4.97,N/A,#13861,"1,114",2,320,"Hiro is a high school student with a very strong penchant for adventure. Legend has it that there's something truly wonderful hidden around his hometown, the only problems are trying to figure out what it is, and where to find it. After discovering a book filled with strange text in the college library, he recruits his friend Puri to translate it for him. She determines that there is indeed a legend involving a hero and his companions, teaming up together to find a magical cave. Meanwhile, a young woman named Fauna is afflicted with a very unusual condition that causes to her to yearn for sex uncontrollably while she sleep walks. Due to the possible dangers this puts her into, she and her friends are concerned enough to entertain the possibility of a local superstition. Allegedly, there's a flower that can help cure any ailment, and if true, could be the solution to Fauna's problems. Neither of the parties in Rhythm: Koi no Rhythm realize that their separate paths are one in the same, and their intersection will lead them on an adventure none of them will ever forget.",[],Rhythm: Koi no Rhythm,,,Koi no Ritsudou,,,,['Hentai'],
89,新・男樹,,['OVA'],2,Finished Airing,"May 16, 1998 to Sep 4, 1998",,,"None found,","None found,","None found,",['Manga'],,,40 min. per ep.,R+ - Mild Nudity,[],#14271,#18347,396,0,,"The sequel to the trilogy Otokogi which follows the steps of Kyosuke Murata's only son, and the gang that he have made which gets into conflict with the local Yakuza which Kyosuke is at the head of. Eventually his son lands in prison, and things take a different turn. (Source: marowak51)","['Prequel (OVA) Otokogi', '']",Shin Otokogi,['Organized Crime'],['Seinen'],,,,,,
90,名探偵コナン １４番目の標的,Case Closed Movie 02: The Fourteenth Target,['Movie'],1,Finished Airing,"Apr 18, 1998",,,"['Audio Planning U', 'Shogakukan Productions']",['Funimation'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,1 hr. 39 min.,PG-13 - Teens 13 or older,7.88,#875,#2842,"66,784",78,40828,"A mysterious attacker has appeared and is assaulting people whose names contain a number from the standard deck of cards in descending order. When Conan Edogawa points out that all the victims are related to the now famous detective Kogorou Mouri, suspicion immediately falls upon the recently released convict Jou Murakami, as Kogorou was the one responsible for his arrest ten years prior. With potential victims still at risk, Conan and the police are determined to catch the culprit. As the case gradually unfolds, both Conan and his friend Ran Mouri learn more about her parents' separation and the truth on what transpired a decade ago. [Written by MAL Rewrite]",[],Meitantei Conan Movie 02: 14-banme no Target,['Detective'],['Shounen'],"Detective Conan Movie 02: The Fourteenth Target, Meitantei Conan Movie 02: Jyuuyonbanme no Target",Detective Conan Película 2: La Decimocuarta Víctima,Detektiv Conan Film 2: Das 14. Ziel,Détective Conan Film 2: La Quatorzième Cible,,
91,映画 クレヨンしんちゃん　電撃！ブタのヒヅメ大作戦,,['Movie'],1,Finished Airing,"Apr 18, 1998",,,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,1 hr. 39 min.,G - All Ages,7.08,#3994,#8375,"5,907",2,3165,"A full-scale action film with tastes of the ""'007"" series and Jackie Chan's movies. The members of the secret organization for world peace 'SML', code-named 'Oiroke' (sexual attractiveness) and 'Kinniku' (muscle), who join hands with the Nohara family and Kasukabe Defense Forces (Shinnosuke Nohara and his mates: Kazama-kun, Nene-chan, Masao-kun and Bo-chan), and fight against the evil organization 'Buta no Hizume' (Pig's Hoof), who tries to conquer the world by using a computer virus. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki', 'Sequel (Movie) Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen']",Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,['School'],['Seinen'],"Eiga Crayon Shin-chan: Dengeki! Buta no Hizume Daisakusen, Crayon Shin-chan: Blitzkrieg! Pig's Hoof's Secret Mission",Shin Chan Película 6: Operación Rescate,,,,
92,ようこそロードス島へ！,Welcome to Lodoss Island!,['Movie'],1,Finished Airing,"Apr 25, 1998",,,['AIC'],"None found,","None found,",Novel,,,35 min.,G - All Ages,6.08,#9498,#10983,"2,634",3,1227,"This movie is the compilation of the 27 mini-parody episode trailers that ran at the end of every Record of Lodoss War: Chronicles of the Heroic Knight episode, which featured characters depicted in their chibi forms.",[],Youkoso Lodoss-tou e!,['Parody'],,,,,,['Comedy'],
93,MAZE☆爆熱時空 天変脅威の大巨人,,['Movie'],1,Finished Airing,"Apr 25, 1998",,,"None found,","None found,",['J.C.Staff'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Magical Sex Shift', 'Mecha']",42 min.,PG-13 - Teens 13 or older,5.98,#9997,#13731,"1,156",2,167,"Long time ago, there was peace until the giants decide to wake up after years and years of slumber.The three priestesses sisters who were guarding their shrine had to retreat to seek help and who better to ask Maze for help. (Source: Maze Of The Haze)","['Prequel (TV) Maze☆Bakunetsu Jikuu (TV)', '']",Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,,['Shounen'],Maze Bakunetsu Jikuu Movie,,,,,
94,蓮如物語,,['Movie'],1,Finished Airing,"Apr 25, 1998",,,"None found,","None found,",['Toei Animation'],Unknown,,,1 hr. 26 min.,None,[],#21359,#15764,663,0,,"A dramatization based on the novel ""The Story of Rennyo"" by Hiroyuki Itsuki.",[],Rennyo Monogatari,['Historical'],,The Story of Rennyo,,,,['Drama'],
