,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,French,Demographic,Themes,Spanish,Theme,Genre,Demographics
52,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,345","1,283",35926,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,Sergeant Frog,,,['Shounen'],,,['Parody'],,
53,月詠 −MOON PHASE−,Tsukuyomi: Moon Phase,['TV'],25,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",['Fall 2004'],Tuesdays at 01:30 (JST),['Omnibus Promotion'],['Funimation'],['Shaft'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,6.93,#4703,#2564,"79,415",282,31067,"Freelance photographer Kouhei Morioka is traveling to a castle in Germany to take photos of paranormal activity for his friend Hiromi Anzai, editor of an occult magazine. Upon entering the castle, he's confronted by a young girl in a white dress and cat ears who calls herself Hazuki. She takes a keen interest in Kouhei and offers him a kiss, but she instead reveals herself to be a vampire, sucks his blood, and turns him into her slave. Much to Hazuki's dismay, however, Kouhei is unaffected by her bite. Hoping to escape the castle and her possessive butler Vigo, Hazuki instead forces Kouhei to help her. With the help of his powerful exorcist cousin Seiji Midou, the two make it out safely. Finally free, Hazuki flees to Japan in search of her mother. Not long after Kouhei returns home, he discovers Hazuki has nested in his home, where he reluctantly allows her to stay. Meanwhile, other vampires set out to find the missing Hazuki. Equal parts gothic and adorable, Tsukuyomi: Moonphase is a charming and mystical story where two unlikely allies form a unique bond in an attempt to defy a society of immortals. [Written by MAL Rewrite]","['Adaptation (Manga) Tsukiyomi', '']",Tsukuyomi: Moon Phase,,,,['Seinen'],,,['Vampire'],,
54,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",11 min. per ep.,PG - Children,7.86,#898,#2835,"67,022",669,39822,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,,,Doraemon,['Anthropomorphic'],,"['Kids', 'Shounen']"
55,とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,638",280,30613,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",Hamtaro,Hamtaro,['Kids'],,Hamtaro,['Anthropomorphic'],,
56,タクティクス,,['TV'],25,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",['Fall 2004'],Unknown,['MediaNet'],['Manga Entertainment'],['Studio Deen'],['Manga'],"['Mystery', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.18,#3471,#3649,"42,341",169,14658,"Ichinomiya Kantarou grew up with the ability to see demons, but was isolated and bullied by others who did not share the same gift. Instead, he became being friends with the demons, gaining a great attachment to their existence. One day, Kantarou was told about the strongest demon, the one known as the ogre-eating Tengu. Amazed by the news of his strength, Kantarou vowed to find this demon who was far stronger than any other, deciding to call him Haruka when he did so. Since this time, Kantarou searched far and wide for the ogre-eating Tengu with no luck, making his living by becoming a folklore writer and demon-buster. On a particular job, Kantarou had finally found news of a nearby shrine supposedly the place where the ogre-eating Tengu was sealed.","['Adaptation (Manga) Tactics', '']",Tactics,,,,['Shounen'],"['Historical', 'Mythology']",,,,
57,ブラックジャック,,['TV'],61,Finished Airing,"Oct 11, 2004 to Mar 6, 2006",['Fall 2004'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],"None found,",['Tezuka Productions'],['Manga'],,25 min. per ep.,PG-13 - Teens 13 or older,7.58,#1648,#3838,"38,464",211,13255,"Black Jack is an ""unregistered"" doctor with a clouded, mysterious past. He works with his little assistant Pinoko (who has a massive crush on the doctor), dealing with medical cases not very well known, which can be strange, dangerous, or not known at all. But he is a genius, and can save almost any of his patients' life (as long as they have the money for it, that is), and is known to many around the world, especially to those of medicine and science. He's a man of science himself, and does not believe much until he has seen it, yet it is many times he is surprised by love and nature often overpowering the science he bases his life in. (Source: ANN)","['Prequel (TV Special) Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'Sequel (TV) Black Jack 21', 'Adaptation (Manga) Black Jack', '']",Black Jack (TV),Black Jack 2004,,Black Jack,['Shounen'],,Black Jack,['Medical'],['Drama'],
58,ファンタジックチルドレン,Fantastic Children,['TV'],26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",['Fall 2004'],Tuesdays at 01:00 (JST),['Hakuhodo DY Media Partners'],['Bandai Entertainment'],['Nippon Animation'],Original,"['Adventure', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1952,#3980,"35,412",293,8723,"A group of enigmatic white-haired children has been spotted at different times and places in Europe for over 500 years. Always with the appearance of 11-year-olds, they behave far more mature than they should be, never grow old, and seem to have supernatural power. What they have been seeking is a girl, and the only clue they have is a picture with a crescent moon. Now, in the year of 2012, an athletic boy named Tohma is about to be involved in this centuries-long mystery. (Source: ANN)","['Sequel (Special) Fantastic Children: Befort no Kodomo-tachi no Sonogo', 'Adaptation (Manga) Fantastic Children: Tokei Jikake no Tabibito-tachi']",Fantastic Children,,,,,,,,,
59,魔法少女隊アルス,Tweeny Witches,['TV'],40,Finished Airing,"Apr 9, 2004 to Mar 4, 2005",['Spring 2004'],Fridays at 18:20 (JST),"['Sogo Vision', 'Tohokushinsha Film Corporation', 'Beyond C.']",['Media Blasters'],['Studio 4°C'],Original,"['Adventure', 'Comedy', 'Fantasy']",9 min. per ep.,PG-13 - Teens 13 or older,7.03,#4227,#4185,"31,968",89,7090,"Arusu believes in magic. With all her heart, she believes that magic is possible and that it can be used for good deeds and fun games. But suddenly, she finds herself transported into another world, ruled by a mysterious elite of witches—and these witches don't seem to be in it for the fun. They're hard at work capturing sprites, the native magical beings of the world, and forcing them into slavery. Once Arusu realizes that her new surroundings aren't just a dream, she sets out to change things. (Source: ANN)",[],Mahou Shoujo-tai Arusu,"Mahou Shoujo-tai Alice, Mahou Shoujotai, Magic-Girl Squad: Alice, Magical Girl Squad Arusu",,,,,,['Isekai'],,
60,遙かなる時空の中で〜八葉抄〜,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,['TV'],26,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",['Fall 2004'],Wednesdays at 01:00 (JST),"None found,",['Bandai Visual USA'],['Yumeta Company'],Visual novel,"['Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,6.99,#4415,#4600,"26,183",116,8187,"Akane Motomiya and her friends Tenma and Shimon are pulled by a demon into another world, where Akane becomes the Priestess of the Dragon God. The people of this world tell her that she is the only one who can stop the demons from taking over; meanwhile, the demons want to use her power for their own ends. Luckily, Akane has the Hachiyou, eight men with powers of their own who are sworn to protect the Dragon Priestess. (Source: ANN)","['Sequel (OVA) Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko', 'Sequel (Special) Harukanaru Toki no Naka de: Hachiyou Shou Specials', 'Adaptation (Manga) Harukanaru Toki no Naka de', '']",Harukanaru Toki no Naka de: Hachiyou Shou,"HaruToki, Haruka 8, Haruka naru Toki no Naka de TV, Harukanaru Toki no Nakade - Hachiyosho -, In a Distant Time",,Harukanaru Toki No Naka De: Hachiyou Shou a Tale of the Eight Guardian,,"['Isekai', 'Mythology', 'Reverse Harem']",,,,
61,ジパング,,['TV'],26,Finished Airing,"Oct 8, 2004 to Apr 1, 2005",['Fall 2004'],Fridays at 01:25 (JST),"['Marvelous Entertainment', 'Animax', 'Pony Canyon', 'TBS']",['Geneon Entertainment USA'],['Studio Deen'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.49,#1990,#4757,"24,095",197,8234,"A Ripple in Time Turns the Crucial Tide of WWII. Scheduled for routine military exercises, Commander Kadomatsu and the crew of Japan's newest and most modern Battlecruiser, The Mirai, are ready to test out the ship's state-of-the-art Aegis System. Instead, they find themselves transported back to June 4th, 1942—date of the crucial Battle of Midway, where the Japanese fleet was dealt a crippling blow. When an overzealous Kadomatsu rescues one of the battle's victims, Kusaka, from a sinking zero fighter, the Mirai's fate is sealed. The crew pledges not to do anything to alter the past further. However, they're now forced to fight a U.S. submarine in a battle that should never have occurred. Thus setting off a chain of events that may forever change the flow of history! (Source: Geneon Entertainment USA, edited)","['Adaptation (Manga) Zipang', '']",Zipang,,,,['Seinen'],"['Adult Cast', 'Historical', 'Military', 'Time Travel']",,,,
62,わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",21 min. per ep.,G - All Ages,7.30,#2838,#5032,"21,099",137,9262,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",,Mirmo!,['Shoujo'],,,['School'],,
63,風人物語,Windy Tales,['TV'],13,Finished Airing,"Sep 11, 2004 to Feb 26, 2005",['Fall 2004'],Not scheduled once per week,"['Tohokushinsha Film Corporation', 'Hakuhodo DY Media Partners', 'Sky Perfect Communications', 'Culture Publishers', 'Fonishia']",['Sentai Filmworks'],['Production I.G'],Original,"['Slice of Life', 'Supernatural']",25 min. per ep.,G - All Ages,7.22,#3258,#5081,"20,575",126,4715,"Nao, an 8th grader, is one of the only two members of a Digital Camera Club, where she also serves as the manager. It's a mystery that she shoots nothing else but the skies and clouds. One day, she finds a cat on a rooftop where she usually shoots her camera. It's a cat that knows how to manipulate the flow of a wind. Shocked to find a strange animal, Nao loses her footing and falls off from the rooftop! Miki is the other member of the club, and also Nao's best friend. Mr. Taiki is the teacher who's taught the cat how to manipulate the flow of a wind. Ryoko is a girl who has a huge crush on Mr. Taiki. And there's Jun, who helps Nao and Miki look for a cat that can fly. Then, there's Yukio, who is the widow of Mr. Taiki's deceased brother. On the outskirts of this big city, a town off the ""Wind Handlers,"" has been formed—and a mysterious Wind Festival is about to begin... (Source: Production I.G)",[],Fuujin Monogatari,,,,,"['Iyashikei', 'School']",,,,
64,お伽草子,Otogi Zoshi: The Legend of Magatama,['TV'],26,Finished Airing,"Jul 7, 2004 to Mar 30, 2005",['Summer 2004'],Unknown,"['VAP', 'Nippon Television Network']",['Media Blasters'],['Production I.G'],Original,"['Adventure', 'Drama', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4763,#5257,"18,914",48,4716,"The year is 972 A.D. in Kyoto, the capital of ancient Japan. Kyoto is becoming a corrupt and run-down city; selfish samurai and onmyoji, who care only about gaining political power are everywhere. To make matters worse the city is suffering from famine and widespread disease. Unable to ignore the condition of the city any longer, the Imperial Court decides to send Minamoto no Raiko, a famous samurai well-known for his archery skills, to recover a legendary gem said to hold mysterious power to save the world. However Raiko also falls ill to disease. Instead his youngest sister, Hikaru, decides secretely to make the journey in his place. Hikaru meets many people, and has many adventures while on her trip for the legendary gem. (Source: ANN)","['Adaptation (Manga) Otogizoushi', '']",Otogizoushi,,,Legend Of The Magatama,,,,['Historical'],,
65,冒険王ビィト,Beet the Vandel Buster,['TV'],52,Finished Airing,"Sep 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Illumitoon Entertainment'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG - Children,6.92,#4727,#5576,"16,173",16,6935,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.","['Sequel (TV) Bouken Ou Beet Excellion', 'Adaptation (Manga) Boukenou Beet']",Bouken Ou Beet,Adventure King Beet,,,['Shounen'],,,,,
66,吟遊黙示録 マイネリーベ,,['TV'],13,Finished Airing,"Nov 4, 2004 to Feb 3, 2005",['Fall 2004'],Thursdays at 22:30 (JST),['Rondo Robe'],"None found,",['Bee Train'],Visual novel,"['Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,6.44,#7458,#5934,"13,811",30,4373,"The first season begins with introducing the characters, their past and their ambitions. Orpherus, Eduard, Camus, Lui, and Naoji are five noblemen who attend the prestigious Rozenstolz academy, and who are a part of the Strahl class—a class for potential candidates for the advisory positions in the royal palace in the small European country of Kuchen. Isaac is an English writer who visits Kuchen. While still students, the five noblemen are forced to deal with corrupted politicians, secret agents, attempted murder and ambitious individuals from both inside and outside of school who threatens to break the fragile peace in their country, and even assassinate the king.","['Sequel (TV) Ginyuu Mokushiroku Meine Liebe Wieder', 'Adaptation (Manga) Meine Liebe: Eien Naru Traumerei']",Ginyuu Mokushiroku Meine Liebe,"Meine Liebe, My Love",Meine Liebe,,,,,,,
67,ビューティフル ジョー,,['TV'],51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",['Fall 2004'],Saturdays at 07:00 (JST),"['TV Tokyo', 'MediaNet', 'Capcom', ""We've Inc.""]",['Geneon Entertainment USA'],['Group TAC'],Game,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.76,#5543,#6116,"12,730",28,5766,"Joe, a red-headed movie buff, and Silvia, his girlfriend, are having a bit of relationship trouble. Silvia feels that Joe is taking her for-granted and wants to do something together for once, so Joe decides to take her to see an old action movie featuring his favorite hero, Captain Blue. What started out as a cute movie date takes a turn for the worst when Silvia is pulled into the movie by the leader of the evil organization, Jado. Joe follows her into the mysterious ""Movieland,"" and is granted a powerful device known as a V-Watch by Captain Blue himself. With it, he transforms into the action hero named ""Viewtiful Joe"" and goes off to rescue his girlfriend before she can be used by Jado to take over the world. It's a long road to go from average Joe to full-blown hero, but he'll give it his all to save both his girl and the world—and he'll do it in the most ""view-ti-ful"" way possible.",[],Viewtiful Joe,Beautiful Joe,,,,,,,,
68,ゾイド・フューザーズ,Zoids Fuzors,['TV'],26,Finished Airing,"Oct 3, 2004 to Apr 3, 2005",['Fall 2004'],Unknown,['Shogakukan Productions'],"None found,",['Tokyo Kids'],Unknown,"['Action', 'Adventure', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,6.39,#7763,#6329,"11,666",17,5216,"R.D. is a delivery boy who works for a company called Mach Storm in order to earn money to search for the legendary Alpha Zoid. A Zoid that he heard rumours about from his dad that he passionately believes in. Mach Storm also doubles as a Zoid Battling team. In R.D.'s first Coliseum Zoid Battle, he encounters a team that can fuse Zoids. R.D. soon discovers that he has a Zoid that can computably fuse with his Zoid, Liger Zero. After this happens R.D.'s adventure to discover the truth about the Alpha Zoid begins. (Source: ANN)",[],Zoids Fuzors,,,,,,,['Mecha'],,
69,ロックマンエグゼStream,,['TV'],51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",['Fall 2004'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Game,"['Action', 'Adventure', 'Sci-Fi']",25 min. per ep.,PG - Children,7.06,#4098,#6516,"10,934",30,4422,"A comet burns in the sky, its brilliant light shining down upon the people of Earth. At that time, a giant army of viruses invade the real world, crushing everything in their path. Netto and Enzan use cross fusion to intervene, but are whisked away to an unknown location, only to be confronted by the one responsible for the attack - Duo! (Source: Official Site)","['Prequel (TV) Rockman.EXE Axess', 'Sequel (TV) Rockman.EXE Beast']",Rockman.EXE Stream,Rockman EXE Stream,,,,"['Mecha', 'School', 'Strategy Game']",,,,
70,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1937,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,,
71,アガサ・クリスティーの名探偵ポワロとマープル,Agatha Christie's Great Detectives Poirot and Marple,['TV'],39,Finished Airing,"Jul 4, 2004 to May 15, 2005",['Summer 2004'],Sundays at 19:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['OLM'],Novel,,25 min. per ep.,G - All Ages,6.87,#4962,#7248,"8,473",26,2612,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.","['Adaptation (Manga) Agatha Christie no Meitantei Poirot to Marple', '']",Agatha Christie no Meitantei Poirot to Marple,,,,,,,['Historical'],['Mystery'],
72,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,10 min.,G - All Ages,7.08,#4018,#7394,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,,['Kids'],,El Ninja Boy Rantaró,,['Comedy'],
73,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,23 min.,G - All Ages,7.34,#2626,#7910,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,,,['Shoujo'],,Chibi Maruko-chan,['School'],['Comedy'],
74,陰陽大戦記,The Chronicle of the Big Battle between Yin and Yang,['TV'],52,Finished Airing,"Nov 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:00 (JST),"None found,","None found,",['Sunrise'],['Manga'],"['Adventure', 'Fantasy', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,7.12,#3798,#8016,"6,552",31,2050,"Riku Tachibana is an average 1st year junior high school student who was supposed to be living a peaceful, ordinary life, but just after entering junior high he ends up fighting a duel against a mysterious man calling himself “a Warrior of Earth,” and Riku’s life is changed forever! Riku discovers that he is a survivor of the believed extinct “Warriors of Heaven,” Using a device called “DRIVE” and summoning a Shikigami, or “Divine Beast,” called Kogenta to his side, Riku devotes his life to the battle against the Warriors of Earth! (Source: Sunrise)","['Adaptation (Manga) Onmyou Taisenki', '']",Onmyou Taisenki,Onmyou Tai Senki,,,['Shounen'],,,,,
75,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",25 min. per ep.,G - All Ages,7.38,#2439,#8237,"6,118",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,,,,,,
76,デュエル・マスターズ　チャージ,,['TV'],52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",['Spring 2004'],Unknown,"None found,","None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy']",21 min. per ep.,PG-13 - Teens 13 or older,6.17,#9001,#8375,"5,904",3,2934,"Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!? (Source: DuelMasters.wikia.com)","['Prequel (TV) Duel Masters', 'Sequel (TV) Zero Duel Masters']",Duel Masters Charge,,,,['Kids'],,,,,
77,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",24 min.,PG - Children,6.58,#6587,#9190,"4,612",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,['Kids'],,,,,
78,かいけつゾロリ,Kaiketsu Zorori,['TV'],52,Finished Airing,"Feb 1, 2004 to Feb 6, 2005",['Winter 2004'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Unknown,"['Adventure', 'Comedy']",24 min. per ep.,PG - Children,7.08,#4005,#9507,"4,142",45,1617,"Adapted from the popular storybooks of the same name by Yutaka Hara, Kaiketsu Zorori follows the adventures of a scheming fox named Zorori, who is determined to become the King of Mischief with his very own castle and beautiful bride. Although Zorori is notorious for his pranks and tricks, his conniving plots often backfire and end up helping his targets, and despite appearing to be villainous and immoral, he is actually caring and sentimental. Nevertheless, Zorori has the wits, intelligence, and dexterity to always find a solution out of the most hopeless of situations. Travelling with a pair of twin boar bandits, Ishishi and Noshishi, he continues on his journey to make his deceased mother proud.","['Sequel (TV) Majime ni Fumajime Kaiketsu Zorori', '']",Kaiketsu Zorori,,,Zorori - Le Magnifique,,,,,,
