,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Spanish,Themes,Genre,Demographics
51,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",21 min. per ep.,G - All Ages,7.30,#2839,#5032,"21,100",137,9263,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,,Mirmo!,['School'],['Shoujo'],,,,
52,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,,,['Shounen'],Kochikame,"['Adult Cast', 'Detective', 'Gag Humor']",['Comedy'],
53,"Habitat Ground Jewdo, Heat Guy Jay, HeatGuy-J",ヒートガイジェイ,HeatGuy J,['TV'],25,Finished Airing,"Oct 2, 2002 to Mar 26, 2003",['Fall 2002'],Wednesdays at 01:50 (JST),"['Bandai Visual', 'TBS']","['Funimation', 'Geneon Entertainment USA']",['Satelight'],Original,"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.12,#3828,#5119,"20,285",73,7285,"In the city of Judoh, Claire Leonelli has inherited leadership of the Mafia group ""Vampire"" following the death of his father. To keep Claire's and other criminal activities in check, the city's Bureau of Urban Safety has Special Services Division operative Daisuke Aurora and the super android codenamed ""J"" (whose identity is apparently kept in secrecy, as androids are banned in the city). With both of them around, crime now has little room to breathe in Judoh. (Source: ANN)","['Adaptation (Manga) Heat Guy J', '']",Heat Guy J,,Heat Guy J,,,Heat Guy J,"['Detective', 'Organized Crime']",,
54,Hanada Shonen-Shi,花田少年史,,['TV'],25,Finished Airing,"Oct 2, 2002 to Mar 26, 2003",['Fall 2002'],Unknown,"['VAP', 'Nippon Television Network']","None found,",['Madhouse'],['Manga'],"['Comedy', 'Drama', 'Supernatural']",23 min. per ep.,R+ - Mild Nudity,7.98,#690,#5486,"16,871",165,5058,"Ichiro Hanada is a hyperactive little boy who lives with his parents, sister, and grandfather in a rural town. He is always up to some kind of mischief, often teasing his sister or making rude comments to others. Consequently, his mother constantly scolds him, and even the neighbours express disturbance from time to time on how rowdy he can be. One day, after pulling a terrible prank, Ichiro sprints onto the streets as his mother chases him. He steals a nearby bicycle and takes on a dangerous route, eventually being hit by a truck. Miraculously, he survives the crash, requiring nine stitches to the back of his head and balding for the surgery. However, the near-death experience gains him the ability to see ghosts—the last thing he needs in his life. Since Ichiro is the only one who can communicate with them, several ghosts of people who have recently died come to him, seeking help to fulfill their last wishes before achieving enlightenment. Each adventure with a ghost leaves the young and curious boy with a different lesson that gradually makes him wiser. [Written by MAL Rewrite]","['Adaptation (Manga) Hanada Shounen-shi', '']",Hanada Shounen-shi,,,,['Seinen'],,,,
55,"Petite Pri Yuushi, Puchi Puri Yuushi",ぷちぷり＊ユーシィ,Petite Princess Yucie,['TV'],26,Finished Airing,"Sep 30, 2002 to Mar 24, 2003",['Fall 2002'],Mondays at 18:00 (JST),"None found,",['ADV Films'],"['Gainax', 'AIC']",Game,"['Comedy', 'Fantasy']",25 min. per ep.,G - All Ages,7.40,#2386,#5543,"16,431",96,6615,"Despite recently turning 17, the otherwise ordinary Yucie still has the body of a child. Having stopped growing past the age of 10, Yucie yearns to fully mature into an adult body. One day, she is chosen as a candidate for the title of ""Platinum Princess,"" given once in a thousand years to whoever is worthy of the Eternal Tiara—a mysterious crown said to grant any wish. She's not alone either, as four other candidates also compete to have their own wishes granted by the crown. As a result, Yucie enrolls at the nearby Princess Academy in order to grow her heart and work towards becoming qualified for the Eternal Tiara. With her family, rivals, and even the principal of the academy there to lend a hand, will Yucie's much-desired wish finally come true? [Written by MAL Rewrite]","['Adaptation (Manga) Puchi Puri Yuushi', '']",Puchi Pri*Yucie,,,,,,,,
56,,ホイッスル！,,['TV'],39,Finished Airing,"May 6, 2002 to Feb 3, 2003",['Spring 2002'],Unknown,['Marvelous Entertainment'],"None found,",['Studio Comet'],['Manga'],,24 min. per ep.,G - All Ages,7.36,#2536,#5670,"15,478",79,7317,"Kazamatsuri Shou's dream has always been to become a professional soccer player, but he has one problem: he's not very good at the game. He was accepted to the prestigious Musashi no Mori Junior High, known for its top rate soccer team, but he was never able to rise beyond the rank of third stringer. After transferring to Sakura Jousui Junior High, he can finally play soccer. And, with the support of his new friends and teammates, his strong determination, and lots of hard work, his soccer skills are developing rapidly and setting Shou well on his way to achieving his dream. (Source: ANN)","['Adaptation (Manga) Whistle!', '']",Whistle!,,,,['Shounen'],,"['School', 'Team Sports']",['Sports'],
57,,オーバーマン キングゲイナー,,['TV'],26,Finished Airing,"Sep 7, 2002 to Mar 22, 2003",['Fall 2002'],Saturdays at 19:05 (JST),"['Bandai Visual', 'WOWOW']","['Bandai Entertainment', 'Sentai Filmworks', 'Discotek Media']",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,6.93,#4687,#5769,"14,846",43,4567,"Sometime in the distant future, mankind is forced to live in domed cities while the rest of the world is left to recover from years of environmental hardships. In the Siberian Dome-polis, professional gamer Gainer Sanga and mercenary Gain Bijou commandeer an Overman and lead a mass exodus out of the city. (Source: ANN)","['Adaptation (Manga) Overman King Gainer', '']",Overman King Gainer,,,['Mecha'],,,,,
58,"Weiss Kreuz Gluehen, Weiss Kreuz Gluhen, White Cross Glowing",ヴァイスクロイツ・グリーエン,Knight Hunters Eternity,['TV'],13,Finished Airing,"Nov 28, 2002 to Mar 20, 2003",['Fall 2002'],Unknown,"['animate Film', 'Kids Station', 'Movic']",['Media Blasters'],['ufotable'],Original,"['Action', 'Drama']",24 min. per ep.,R - 17+ (violence & profanity),6.51,#7029,#6475,"11,089",22,4154,"Koua is an academy that brings Japanese's most talented people and students together. The mission is to train talented people to bear the world's future leadership. However, recently, the suicide rate in the academy is increasing and there is hardly any information being released to the public. Fujimiya Aya is sent to infiltrate this school carrying out criminal investigation and disguise himself as a teacher. In fact, actually, there is a connection between Koua academy and the global terrorist activities that are frequently occur. Therefore Persia assigns Hidaka Ken and Kudou Youji as well into this mission to solve the truth and connection of the incident behind Koua academy. (Source: AniDB)","['Prequel (TV) Weiß Kreuz', 'Prequel (OVA) Weiß Kreuz OVA']",Weiß Kreuz Glühen,,,,,,,,
59,Galaxy Angel AA,ギャラクシーエンジェルＡ; ギャラクシーエンジェルＡＡ,Galaxy Angel A,['TV'],26,Finished Airing,"Oct 6, 2002 to Mar 31, 2003",['Fall 2002'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Broccoli', 'Yomiko Advertising']","['Nozomi Entertainment', 'Bandai Entertainment']",['Madhouse'],Original,"['Comedy', 'Sci-Fi']",24 min. per ep.,PG - Children,7.28,#2927,#6583,"10,634",19,4761,"Their mission is to locate and retrieve the mysterious Lost Technology, even though these girls have never been known to stick to their mission. Milfeulle, Forte, Ranpha, Mint, and Vanilla are back for another round of hilarity. The Galaxy Angels have sworn to protect the galaxy one planet at a time. Now with some competition with the newly-formed Twin Star Brigade, they continue to find themselves in the center of chaos... though usually they're the ones at fault for its cause. (Source: ANN)","['Prequel (TV) Galaxy Angel Z', 'Sequel (TV) Galaxy Angel 4']",Galaxy Angel 3,,,,,,,,
60,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
61,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,10 min.,G - All Ages,7.08,#4020,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,,['Kids'],El Ninja Boy Rantaró,,['Comedy'],
62,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,['School'],['Shoujo'],Chibi Maruko-chan,,['Comedy'],
63,"Di Gi Charat Panyo Panyo, DiGi Charat Panyo Panyo",ぱにょぱにょ　デ・ジ・キャラット,,['TV'],48,Finished Airing,"Jan 6, 2002 to Apr 3, 2003",['Winter 2002'],Unknown,['Broccoli'],"None found,",['Madhouse'],Unknown,,8 min. per ep.,G - All Ages,6.64,#6230,#8020,"6,549",14,2488,"Deijiko is the princess of the planet of Di Gi Charat. After reading a book, she is influenced to want to help everyone be happy. She leaves the castle and pretends to be a normal girl. She tries to make everyone happy by taking various jobs around the town and thereby making all sorts of new friends and inevitably, enemies. (Source: ANN)","['Sequel (TV) Di Gi Charat', '']",Panyo Panyo Di Gi Charat,,,,,,,['Comedy'],
64,Atashinchi,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,,,,
65,,プラトニック・チェーン,,['TV'],24,Finished Airing,"Oct 5, 2002 to Mar 29, 2003",['Fall 2002'],Saturdays at 02:25 (JST),"None found,","None found,",['ACiD FiLM'],Novel,"['Sci-Fi', 'Slice of Life']",6 min. per ep.,PG-13 - Teens 13 or older,5.72,#11303,#8436,"5,820",25,1129,"In the near future, technology has made a few leaps and bounds, and videophones and constant wireless internet access are available to everyone. However, it would seen that the government has been careless and a skilled hacker was able to break into the national information archive. Using the data held there he creates the Platonic Chain website for people to discover information about themselves and their friends. Words start to spread quickly that there is a site that enables you to look up anything. Coincidentally, three young girls, Hitomi, Rika, and Kanae, are able to access the site. (Source: ANN)","['Adaptation (Manga) Platonic Chain', '']",Platonic Chain,,,,,,,,
66,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,,Cubix: Robots pour Tous,['Mecha'],,,,['Sci-Fi'],
67,Bomberman Jetterz,ボンバーマン ジェッターズ,,['TV'],52,Finished Airing,"Oct 2, 2002 to Sep 24, 2003",['Fall 2002'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems']","None found,",['Studio Deen'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",23 min. per ep.,G - All Ages,6.90,#4809,#8841,"5,160",56,1914,"Deep Space, many different cultures have come together to live on planet Jet. To keep the peace an organization known as the Jetters is formed. This space police group fight against the villains known as the ""Hige hige dan"" making sure that the universe is safe. The leader of the Jetters Mighty is a powerful Bomberman, who is looked up to and respected....his brother however is a lazy crude slacker named Shirobon. Suddenly Mighty disappears and Shiro finds himself placed in a new situation. Shiro steps up and become a responsible Bomberman, and with the new friends he made of the Jetters it may become possible for him to be the next ""Jetters leader."" (Source: ANN)",[],Bomberman Jetters,,,['Space'],,,,,
68,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,['Kids'],,,,
69,"Asobotto Senki Goku, Anbot Senki Gokyuu, Association Robot Goku",アソボット戦記五九,Monkey Typhoon,['TV'],52,Finished Airing,"Oct 1, 2002 to Sep 30, 2003",['Fall 2002'],Tuesdays at 18:30 (JST),['TV Tokyo'],"None found,",['Studio Egg'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6527,#9567,"4,068",8,1480,"Four years into the future, the world has lost its balance... 10 thousand metres of vast woodland is gone, preventing humans to live and leaving a desert to spread endlessly. And so, they head into the world of Meshichi, to live together with the Anbots. As if guided by fate, Sanzou and Gokyuu meet. Traveling together, Sanzou - a young man shrouded in mystery, Gokyuu - the strongest and worst Anbot around, Tongoh - an Anbot fond of drinking, Jou - someone who is great with machines, Suuji - a female Anbot thief, and last but not least, Mioto. And so, their journey begins to the boundless East, to the land where the sun was born! (Source: AnimeNfo)","['Adaptation (Manga) Assobot Goku', '']",Asobot Senki Gokuu,,,,['Shounen'],,,,
70,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,['Kids'],,,,
71,,奇鋼仙女ロウラン,Strange Steel Fairy Rouran,['TV'],28,Finished Airing,"Nov 15, 2002 to May 30, 2003",['Fall 2002'],Unknown,['Starchild Records'],"None found,",['Zexcs'],Original,"['Action', 'Fantasy']",12 min. per ep.,PG-13 - Teens 13 or older,5.69,#11433,#10704,"2,879",3,769,"When the secret occult society, Shiromorishuua, sends a huge monster to attack Tokyo, ASY, a peace-keeping organization in Japan, retaliates with a Gousen (metal faery). ASY's Gousen annihilates the creature after driving it into open ocean. Although successful, a surprise attack follows. A girl, floating in midair and glowing with radiance, strikes with a beam of light. This girl is ""Rouran."" She knows neither her identity, her origins, nor why whenever she senses the Gousen or Kyoushi (reanimated corpses) she transforms into an avenging angel. As Rouran worries about her mysterious existence, Tetsuya kindly watches over her in Tokyo Arcadia, a settlement of expatriates and dissidents. (Source: AniDB)",[],Kikou Sennyo Rouran,,,['Mecha'],,,,,
72,,真･女神転生Ｄチルドレン ライト＆ダーク,,['TV'],52,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",['Fall 2002'],Unknown,"None found,","None found,",['Actas'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",24 min. per ep.,PG - Children,6.44,#7428,#10913,"2,698",3,730,"A series based off of the Shin Megami Tensei Devil Children: Light & Dark games (known as DemiKids in the U.S.). The year is 200X. Jin, Akira and Lena are three child hood friends who like mysterious things. One day in the library, along with the mysterious transfer student Ami, they find the ""Akuma Compendium"". They chanted an incantation in the book and, to their surprise, devils appeared. Ami then told Jin and Akira that they are the Devil Children that will decide the fate of the world. She hands them their Devil Risers. The group then pass through the ""Door of Time"" to the land of Valhalla where they fight an evil ruler known as Imperius who plans on conquering all of the world. The Nakama of Jin is Rand, a Sol Lion, and Akira's is Gale, a Hylon. (Source: Wikipedia.org)","['Prequel (TV) Shin Megami Tensei Devil Children', '']",Shin Megami Tensei Devil Children: Light & Dark,,,,['Kids'],,"['Mythology', 'Video Game']",,
73,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,['Kids'],,,,
74,"Shin Seiki Den Mars, Mars, New Century Legend Mars, Mars the Terminator",神世紀伝マーズ,,['TV'],13,Finished Airing,"Oct 31, 2002 to Feb 6, 2003",['Fall 2002'],Unknown,"['MediaNet', 'AT-X', 'Tsuburaya Productions']","None found,","['Plum', 'Studio Guts']",['Manga'],"['Action', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,5.46,#12246,#11844,"2,046",1,760,"While reporting on a recently formed volcanic island, journalist Iwakura finds a stranded young man with no memories. News of the incident catches the attention of a mysterious person called Rush, who tracks down the amnesiac and explains to him the truth about his identity. The young man is named Mars and, like Rush, he is not originally from Earth. Mars was dispatched with one mission: to command a tremendously powerful robot named Gaia to destroy Earth when it becomes clear that humans are attempting to extend their influence into outer space. As a precaution, Gaia is programmed to self-destruct, taking the planet along with it, in the event that Mars dies. In light of Mars' amnesia, Rush agrees to give him 10 days to study Earth's history and decide his course of action. Mars must now choose whether to follow through with his duty or fight to save humanity. [Written by MAL Rewrite]","['Adaptation (Manga) Mars', '']",Shinseikiden Mars,,,['Mecha'],['Shounen'],,,,
75,,ふぉうちゅんドッグす,,['TV'],39,Finished Airing,"Jul 4, 2002 to Mar 29, 2003",['Summer 2002'],Unknown,"None found,","None found,",['Vega Entertainment'],Original,,25 min. per ep.,None,6.46,#7354,#12331,"1,744",5,592,"A French Bulldog is adopted from the Happy Kennel by a girl named Ai and is given the name Alex. She tells him stories and reads to him from a book titled The Adventures of Freddy about dog who leaves home to find the Fortune Tree. However, he is separated from Ai when he mistakenly follows a girl wearing the same clothes as Ai on a bus. Adopting the name Freddy, after the hero in Ai's storybook, Alex begins his quest to return to Ai. But before he can return to his owner, Freddy and his new friends must find the Fortune Tree and save it from dying, otherwise all the humans in the world will lose their good will and no longer care about their pets. (Source: Wikipedia)",[],Fortune Dogs,,,['Pets'],,,,['Adventure'],
76,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Anthropomorphic'],['Kids'],,,,
77,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
78,"Hikarian 2: Lightning Attack Express, Lightning Super Express Hikarian",電光超特急ヒカリアン,,['TV'],52,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Unknown,"['TV Tokyo', 'Tokyo Kids']","None found,","None found,",Unknown,"['Action', 'Adventure']",25 min. per ep.,G - All Ages,6.30,#8242,#13803,"1,132",2,261,The second season of Chou Tokkyuu Hikarian.,"['Prequel (TV) Chou Tokkyuu Hikarian', '']",Denkou Chou Tokkyuu Hikarian,,,,['Kids'],,,,
79,"Fishing Fool Diary, Diary of a Fishing Fool",釣りバカ日誌,,['TV'],36,Finished Airing,"Nov 2, 2002 to Sep 13, 2003",['Fall 2002'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life']",24 min. per ep.,G - All Ages,[],#15035,#14573,926,1,,"Hamazaki Densuke (Hama-chan) is an unavaricious white-collar worker who does not have any interest in success and self-protection. Even though he incurs the wrath of his superior and stir ill feelings from his wife, Hama-chan prefers to take things at his own stride and goes fishing. He feels that there are more important things in life than work and enjoys the simple things in life such as fishing. (Source: ANN)","['Adaptation (Manga) Tsuribaka Nisshi', '']",Tsuri Baka Nisshi,,,,,,,,
80,Kasumin 2nd Series,カスミン (第2シリーズ),,['TV'],26,Finished Airing,"Oct 5, 2002 to Apr 5, 2003",['Fall 2002'],Unknown,['NHK'],"None found,",['OLM'],Unknown,,25 min. per ep.,G - All Ages,[],#19340,#14956,828,2,,Second season of Kasumin,"['Prequel (TV) Kasumin', 'Sequel (TV) Kasumin 3rd Season']",Kasumin 2nd Season,,,,['Kids'],,,['Fantasy'],
81,,ペコラ,Pecola,['TV'],26,Finished Airing,"Oct 6, 2002 to Mar 30, 2003",['Fall 2002'],Unknown,"['Yomiko Advertising', 'Nelvana']","None found,",['Milky Cartoon'],Picture book,,25 min. per ep.,G - All Ages,5.82,#10839,#15587,692,6,214,"Pecola is an orphaned penguin who lives with Pecolias, his Grandfather. Cube Town is an isolated small coastal village with such features as an art museum, beach, lighthouse (which has the number 36 above its entrance) and canal. It is located adjacent to Crescent Bay surrounded by the Rookery Mountains coastal range and served by regular ships (including a weekly freighter) that deliver mail, foodstuffs and other supplies plus occasional tourists from a nearby large metropolis named Cubic City. The heights above it lead into Glacier Valley which is snowbound even during summer. (Source: Wikipedia)",[],Pecola,,,,['Kids'],,,,
82,,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,2 min. per ep.,PG - Children,5.99,#9948,#16840,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,,['Kids'],,,['Comedy'],
83,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,['Music'],['Kids'],,,,
