,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Genres,Demographics,French,Theme,German
56,"Chisana Kyoujin Mikuroman, The Small Giant Microman, Microman MagnePowers",小さな巨人ミクロマン,,['TV'],52,Finished Airing,"Jan 4, 1999 to Dec 27, 1999",['Winter 1999'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Pierrot'],Other,,"['Mecha', 'Super Power']",,25 min. per ep.,G - All Ages,6.33,#8065,#12388,"1,712",3,595,3 kids meet 5 micro-sized superheroes from another world who enlist in their aid in fighting off alien invaders.,[],Chiisana Kyojin Microman,,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,,
57,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,,,['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,"['Adventure', 'Comedy', 'Fantasy']",,,['Anthropomorphic'],
58,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,,,,5 min. per ep.,G - All Ages,5.47,#12200,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,"['Comedy', 'Slice of Life']",,,,
59,BuBu ChaCha,ぶぶチャチャ,,['TV'],26,Finished Airing,"Apr 29, 1999 to Nov 25, 1999",['Spring 1999'],Thursdays at 18:00 (JST),"None found,","None found,",['Daume'],Original,,,,20 min. per ep.,G - All Ages,6.63,#6323,#13634,"1,189",2,456,"Bubu Chacha is about a dog who died due to a fateful accident and was resurrected as a toy car. Together, he and Randy learn many new things about the world and about friendship that never dies.","['Sequel (TV) Daisuki! BuBu ChaCha', '']",Norimono Oukoku BuBu ChaCha,,"['Comedy', 'Slice of Life']",,,['Pets'],
60,Hikarian: Great Railroad Protector,超特急ヒカリアン,Super Express Hikarian,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,,,['Kids'],7 min. per ep.,G - All Ages,6.15,#9076,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,,"['Action', 'Adventure']",,,,
61,"Cojicoji, Koji-koji, Sakura Momoko Theatre: Kojikoji",さくらももこ劇場 コジコジ,Coji-Coji,['TV'],100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",['Fall 1997'],Saturdays at 17:30 (JST),['Aniplex'],"None found,",['Nippon Animation'],['Manga'],,,,25 min. per ep.,G - All Ages,6.28,#8386,#14568,926,1,191,"The only thing that concerns Coji Coji is enjoying life and the wonders of nature. Coji Coji’s friends, on the other hand, are a varied bunch of colorful characters whose many idiosyncrasies have a tendency to create turmoil among one another. Coji Coji’s carefree ways and tendency to shirk responsibility are sometimes a source of frustration, but his childlike wisdom has a way of resolving all of their differences. (Source: AniDB)",[],Sakura Momoko Gekijou: Coji-Coji,,"['Comedy', 'Fantasy']",,,,
62,,イソップ・ワールド,,['TV'],26,Finished Airing,"Apr 5, 1999 to Dec 31, 1999",['Spring 1999'],Mondays at 18:30 (JST),"None found,","None found,",['Sunrise'],Original,['Adventure'],,['Kids'],11 min. per ep.,G - All Ages,5.76,#11093,#15334,735,1,199,"Three kids living in the Watermill Village were planning a picnic in the mountains. Of course Pico, a young hamster kid wanted to go to the mountain peak with her friends Tocho and Fufu. The three of them fall in a hidden lake beneath the mountains and discovered a giant fish named Aesop floating. The knew that the fish wanted to fly again, in order to do that, they must collect mystical scales all across the world. Because of this, they start their search for the mystical scales in order for Aesop's dream to come true. (Source:ANN)",[],Aesop's World,,,,,,
63,"Takoyaki Mantoman, Takoyaki Mantman",たこやきマントマン,Takoyaki Capeman,['TV'],77,Finished Airing,"Apr 4, 1998 to Sep 5, 1999",['Spring 1998'],Unknown,['Youmex'],"None found,",['Pierrot'],Picture book,,,,24 min. per ep.,PG - Children,6.12,#9287,#15622,686,2,152,"In order to protect the earth from the aliens, the god of Takoyaki created the five warriors of justice, Takoyaki Mantle Man. They risk their lives for justice. Takoyaki Mantle Man has round face, and wear a white cape and octopus belt as their symbol. Red is a leader whose special attack is Pickled Ginger Clash. Green is an energetic and hasty boy whose special attack is Green Onion Nunchaku. Pink is a precocious girl whose special attack is Okaka Flash. Blue is a sweet crybaby whose special attack is Seaweed Buster. Yellow is a cheerful boy whose special attack is Tenkasu Beam. Takoyaki Mantle Man is cute and strong heroic characters, friendly to children. Their enemies are too silly to hate. It is a very lively and amusing story. (Source: ANN)",[],Takoyaki Mant-Man,,"['Comedy', 'Sci-Fi']",,,,
64,Flower Angel Ten-Ten,花さか天使テンテンくん,,['TV'],43,Finished Airing,"Oct 10, 1998 to Sep 25, 1999",['Fall 1998'],Unknown,"None found,","None found,",['Nippon Animation'],['Manga'],,,['Shounen'],25 min. per ep.,G - All Ages,[],#18417,#15889,645,1,,A foolish clumsy angel came to the human world to help a very unlucky boy. But more accidents are then created...,"['Adaptation (Manga) Hanasaka Tenshi Tenten-kun', '']",Hanasaka Tenshi Tenten-kun,,"['Comedy', 'Fantasy']",,,,
65,,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],,,,22 min. per ep.,PG - Children,[],#20602,#16832,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,"['Action', 'Adventure', 'Comedy']",,,,
66,Susie-chan & Marvy,スージーちゃんとマービー,Little Susie and Marvy,['TV'],104,Finished Airing,"Apr 5, 1999 to Feb 3, 2000",['Spring 1999'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Unknown,['Comedy'],,['Kids'],15 min. per ep.,None,[],#14650,#17685,445,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Susie-chan to Marvy,,,,,,
67,,ヨシモトムチッ子物語,Yoshimoto Insect Stories,['TV'],47,Finished Airing,"Oct 26, 1998 to Nov 5, 1999",['Fall 1998'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Shin-Ei Animation'],Unknown,['Comedy'],,,40 min. per ep.,PG-13 - Teens 13 or older,[],#16113,#17876,431,1,,A children's series about the daily lives of funny insects. (Source: AniDB),[],Yoshimoto Muchikko Monogatari,,,,,,
68,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15991,#18999,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,,
69,,ストレイシープの大冒険,The Adventure of Stray Sheep,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,['Adventure'],,['Kids'],5 min. per ep.,G - All Ages,[],#14612,#22487,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,,,,,
70,Moopon,ムーぽん,,['TV'],52,Finished Airing,"Apr 3, 1999 to Mar 25, 2000",['Spring 1999'],Sundays at Unknown,"None found,","None found,","None found,",Unknown,['Comedy'],,['Kids'],55 sec. per ep.,PG - Children,[],#20502,#24739,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Muupon 2nd Season', '']",Muupon,,,,,,
71,,KASHURA – Cardinal Funk,,['ONA'],1,Finished Airing,"Aug 1, 1999",,,"None found,","None found,",['Anon Pictures'],Original,,,,4 min.,G - All Ages,[],#19340,#21098,226,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Kashura II', '']",Kashura: Cardinal Funk,,,,,['Music'],
72,"Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence",るろうに剣心―明治剣客浪漫譚―追憶編,Samurai X: Trust and Betrayal,['OVA'],4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,['Aniplex'],"['ADV Films', 'Aniplex of America']",['Studio Deen'],['Manga'],,"['Adult Cast', 'Historical', 'Samurai']",['Shounen'],29 min. per ep.,R - 17+ (violence & profanity),8.70,#62,#914,"283,628","6,352",140996,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions. [Written by MAL Rewrite]","['Sequel (TV) Rurouni Kenshin: Meiji Kenkaku Romantan', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan']",Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Kenshin: El Guerrero Samurai  ""Recuerdos""","['Action', 'Drama', 'Romance']",,Kenshin Le Vagabond: Le Chapitre de la Mémoire,,Rurouni Kenshin Trust and Betrayal
73,Kidou Senshi Gundam: Dai 08 MS Shotai,機動戦士ガンダム 第08MS小隊,Mobile Suit Gundam: The 08th MS Team,['OVA'],12,Finished Airing,"Jan 25, 1996 to Jul 25, 1999",,,['Atelier Musa'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,,"['Mecha', 'Military']",,24 min. per ep.,PG-13 - Teens 13 or older,8.00,#671,#2391,"88,717","1,159",48851,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers. As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor. [Written by MAL Rewrite]",[],Kidou Senshi Gundam: Dai 08 MS Shoutai,,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",,,,
74,,グラビテーション,,['OVA'],2,Finished Airing,"Jul 23, 1999 to Sep 22, 1999",,,"['Aniplex', 'animate Film', 'Movic']",['Nozomi Entertainment'],['Plum'],['Manga'],,"['Adult Cast', 'Music', 'Showbiz']",['Shoujo'],26 min. per ep.,R - 17+ (violence & profanity),6.88,#4955,#4089,"33,707",81,18672,"Bad Luck's lead singer and lyricist, Shindou Shuichi, is a total wreck. With deadlines for the band's next album looming, the pressure is on, but the normally energetic Shuichi has become listless and fallen into a writing slump. It's all because Yuki - the great love of his life - has suddenly become cold and distant. Depressed and anxious, Shuichi doesn't want to think about lyrics - he just wants to know how to get Yuki to talk to him! Now, thanks to Shuichi's big mouth bragging to the press about how talented he is, the band can't even hire someone else to write the lyrics for them. If they don't manage to break Shuichi out of his slump soon, it could mean the end of Bad Luck for good! (Source: RightStuf)","['Adaptation (Light Novel) Gravitation: The Novel', '']",Gravitation: Lyrics of Love,,"['Boys Love', 'Comedy']",,,,
75,,菜々子解体診書,Amazing Nurse Nanako,['OVA'],6,Finished Airing,"Jul 5, 1999 to Mar 24, 2000",,,"['Genco', 'Pioneer LDC']","['Media Blasters', 'Geneon Entertainment USA']",['Radix'],Original,,"['Mecha', 'Medical', 'Military']",,27 min. per ep.,R+ - Mild Nudity,5.51,#12092,#6081,"12,898",27,5209,"Nanako is a an inept apprentice nurse to the brilliant young Dr. Kouji. Now for some reason, Nanako is always being targeted by various elements which makes Nanako wonder if she has done anything wrong. But there are certain secrets to Nanako's past that only Dr. Kouji and his family know about.",[],Nanako Kaitai Shinsho,,"['Comedy', 'Sci-Fi', 'Ecchi']",,,,Amazing Nurse Nanako
76,Wordsworth,ワーズ・ワース,,['OVA'],5,Finished Airing,"Aug 25, 1999 to Nov 25, 2000",,,['Green Bunny'],['NuTech Digital'],['Arms'],Visual novel,,,,28 min. per ep.,Rx - Hentai,6.72,N/A,#7003,"9,211",38,3707,"The legend has survived for generation. The Words Worth tablet, which will unlock the secrets of the Universe for the one who can decipher it, has been shattered. The warring tribes of Light and Shadow blame each other, and their accusations lead to all out war! Astral, the undisciplined heir to the throne of the Shadow Forces, lusts for his bride-to-be, Sharon. But Sharon, an accomplished warrior herself, feels her body drawn toward Caesar, the Shadow Tribe`s bravest swordsman. Sharon battles alongside Caesar during an assault by the Light Forces, and her ferocious beauty captivates Sir Fabris, the leader of the Tribe of Light. Fabris` army loses the battle, but he vows that he will one day get Sharon into his bed, the hard way, if necessary. Meanwhile, Astral takes his sexual frustrations out on Maria, a Light Tribe sorceress who has been taken captive. As Astral penetrates Maria, Sir Fabris prepares to launch a penetration of his own: a full-scale attack on the Tribe of Shadow! (Source: AnimeNfo)","['Prequel (OVA) Words Worth Gaiden', 'Adaptation (Light Novel) Words Worth']",Words Worth,,"['Adventure', 'Fantasy', 'Hentai']",,,['Mythology'],
77,,クィーン・エメラルダス,,['OVA'],4,Finished Airing,"Jun 5, 1998 to Dec 18, 1999",,,"['Bandai Visual', 'Four Some', 'Dynamic Planning', 'Multi Access Company']",['ADV Films'],['OLM'],['Manga'],,,['Shounen'],36 min. per ep.,PG-13 - Teens 13 or older,6.82,#5226,#7221,"8,555",15,3124,"In a far distant future, a would-be master race seeks to dominate the galaxy. Against these merciless Afressians, mankind has just one hope: the mysterious female warrior known as Emeraldas. Driven by the tortured memory of her lost love, Emeraldas sails the Sea of Stars like a privateer of old, blasting the forces of tyranny into atoms with an amazing array of futuristic weapons. But when the devious Commander Eldomain kidnaps a group of innocent civilians, Emeraldas is drawn into a deadly trap from which even she may not escape! (Source: ADV Films)","['Adaptation (Manga) Queen Emeraldas Read Manga', '']",Queen Emeraldas,,"['Action', 'Adventure', 'Sci-Fi']",,,['Space'],
78,Harlock Saga: The Ring of the Nibelung - The Rhein Gold,ハーロック・サーガ ニーベルングの指環,Harlock Saga,['OVA'],6,Finished Airing,"Jan 25, 1999 to Nov 25, 1999",,,"['Bandai Visual', 'Avex Entertainment', '81 Produce']",['Central Park Media'],"['Studio Z5', 'Studio March']",['Manga'],,,['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),6.63,#6306,#7742,"7,163",6,2789,Captain Herlock is drawn into a saga of intergalactic proportions when the son of a deceased comrade unwittingly forges the Ring of the Niebelung. Evil forces gather to wage war against the last remaining superpowers of the galaxy led by a demented outcast. Herlock must counter the amassed armadas that threaten the last gods and recover the ring before Paradise is lost. (Source: ANN),"['Prequel (TV) Uchuu Kaizoku Captain Herlock', 'Sequel (OVA) Maetel Legend', 'Adaptation (Manga) Nibelung no Yubiwa', '']",Herlock Saga: Nibelung no Yubiwa,Harlock Saga: El Anillo de los Nibelungos,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,Harlock saga 'L'anneau des nibelunghen',['Space'],Harlock Saga: Der Ring des Nibelungen
79,,太陽の船　ソルビアンカ,Sol Bianca: The Legacy,['OVA'],6,Finished Airing,"Sep 24, 1999 to Oct 6, 2000",,,['Pioneer LDC'],['Geneon Entertainment USA'],['AIC'],Original,,"['Mecha', 'Space']",,29 min. per ep.,R+ - Mild Nudity,6.34,#8027,#8195,"6,209",15,2519,"Thousands of years into the future, mankind has colonized other planets across the galaxy and completely forgotten about Earth. On one part of the galaxy, the female space pirates and their colossal starship Sol Bianca get a surprise when a young girl named Mayo stows away on board the ship. The crew then embarks on a journey to Earth to find the whereabouts of Mayo's parents and discover the secrets of the lost planet. (Source: ANN)",[],Sol Bianca: Taiyou no Fune,,"['Adventure', 'Sci-Fi']",,Sol Bianca : The Legacy,,Sol Bianca : The Legacy
80,Yuno,YU-NO,,['OVA'],4,Finished Airing,"Oct 23, 1998 to Sep 24, 1999",,,['Pink Pineapple'],['NuTech Digital'],['PP Project'],Visual novel,,,,28 min. per ep.,Rx - Hentai,4.92,N/A,#9048,"4,813",4,1242,"Takuya's father died during an accident while he was doing research. Worried about his young stepmother, Ayumi, Takuya follows her to Ken point. Watching her and her best friend, Mitsuki, from behind a rock, a sudden flash of light turns into an unearthly beautiful woman. The mysterious woman slips a ring on his finger, and Takuya's travels into a parallel world begins. This ring is the key between Takuya and his different realities. (Source: AniDB)",[],YU-NO,,"['Sci-Fi', 'Hentai']",,,,
81,,シーバス１-２-３,Sorcerer on the Rocks,['OVA'],2,Finished Airing,"Aug 21, 1999 to Sep 21, 1999",,,['Teichiku Entertainment'],['ADV Films'],['Daume'],['Manga'],,,,27 min. per ep.,R+ - Mild Nudity,5.87,#10572,#9279,"4,475",3,1891,Ruthless sorcerer Chivas Scotch is hired by a count named Cuttlefish to destroy an evil monster attacking a nearby village. But things go awry when Chivas fails to destroy the monster and he's forced to transfer his spirit in the body of his beautiful servant Gin Fizz. (Source: ANN),[],Chivas 1-2-3,,"['Action', 'Comedy', 'Fantasy', 'Supernatural', 'Ecchi']",,,,
82,,KISSより…,A Heat for All Seasons,['OVA'],3,Finished Airing,"Jul 9, 1999 to Nov 19, 1999",,,['Digital Works'],['Media Blasters'],['Phoenix Entertainment'],Visual novel,['Hentai'],,,29 min. per ep.,Rx - Hentai,5.81,N/A,#10765,"2,825",2,986,"Classes are not easy for Masato, a college student and aspiring novelist. Of course, with all the beautiful women in his life, it's hard to get studying done. There is the tough Rie, the cute Miku, the energetic Chieri, the faithful Kanna, and his high school sweetheart, Chihiro. With all these women to choose from, Masato is about to discover that there just aren't enough seasons in the year.",[],Kiss yori...,,,,,,Zum ersten Mal verliebt
83,"My Dread is School!, School is Dreadful! Kanako Inuki Shout Collection",犬木加奈子絶叫コレクション 学校がこわい!,,['OVA'],1,Finished Airing,"Aug 6, 1999",,,"['Kadokawa Shoten', 'Toei Video']","None found,",['Toei Animation'],['Manga'],['Horror'],,,40 min.,PG-13 - Teens 13 or older,5.64,#11639,#10741,"2,844",4,994,"Based on the comic ""Inuki Kanako Queen's Collection"" by Inuki Kanako. Bukida is disliked by all the students in his class because of his unpleasant face. However, he loves a girl named Matsuko and so he stalks her. Though Matsuko rejects him, Bukida fancies she likes him at heart. One day, Bukida is killed in a traffic accident. Matsuko feels relieved. But Bukida appeared to her as the living dead. Bukida says, ""I love you forever, even though I am dead!"".","['Adaptation (Manga) Bukita-kun', '']",Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,,,,,,
84,"Tokyo Jushoden, Ten Warriors of Tokyo, 10 Tokyo Warriors",倒凶十将伝,Ten Tokyo Warriors,['OVA'],3,Finished Airing,"Jul 23, 1999 to Jan 21, 2000",,,"['KSS', 'Kitty Films']",['Media Blasters'],['Zexcs'],Unknown,,,,26 min. per ep.,PG-13 - Teens 13 or older,5.25,#12821,#10941,"2,670",2,990,"Long ago, in feudal Japan, there was a fierce warrior named the Demon King. He controlled a band of demons, known as the Kyouma. Only the powers of ten warriors sealed the Demon King away and kept the Kyouma under control. But now, Lord Shindigan, a powerful Kyouma is planning to free the Demon King, and the reincarnations of the ten warriors must band together and save the earth. (Source: ANN)","['Sequel (OVA) Tokyo Juushouden: Fuuma Gogyou Denshou', '']",Tokyo Juushouden,La Leyenda de los 10 Guerreros de Tokio. El Origen,"['Action', 'Adventure', 'Supernatural']",,,,
85,,ディテクティブ file.1禁断の愛,Bondage House,['OVA'],1,Finished Airing,"Jul 29, 1999",,,['Green Bunny'],['Media Blasters'],['P core'],['Manga'],['Hentai'],,,28 min.,Rx - Hentai,4.96,N/A,#11340,"2,376",2,751,"Private detective Takayasu Higishino rescues Ayane from two men who cornered her in an alley. Ayane is startled by Takayasu's appearance, he looks just like her presumedly dead brother Shingo. Shingo's car accident occured under strange circumstances, and Ayane has hired Takayasu to help her find out what really happened. Takayasu suspects Ayane's family maybe involved, so he heads back with Ayane to her family mansion, posing as Shingo, hoping to uncover the truth. (Source: ANN)",[],Detective File 1: Kindan no Ai,,,,,,
86,"My Life as a Chicken, My Life As...",マイ ライフ アズ,,['OVA'],1,Finished Airing,"Jul 22, 1999",,,['Five Ways'],['NuTech Digital'],['Meltdown'],['Manga'],,,,34 min.,Rx - Hentai,4.91,N/A,#11459,"2,297",6,803,"It's been six months since Yasunari ran away from home. He is saved from the streets by Fumi and Rino (Aurora Snow), and ends up living with them as their pet. Along with his friend Chie (Britttany Andrews), he is introduced to a new world of S & M, and group sex. He publishes his new sexual experience in a magazine, which ends up in the hands of his brother, Tomoyasu. Tomoyasu is desperate to find his brother. He is seriously upset after finding that his brother is enjoying his new life as a pet. When a new tutor, Serina, arrives unexpectedly, he takes out his anger and fustration of his broken home on Serina by forcing himself on her. Unknown to Tomoyasu, Serina is the friend of Yasunari's three masters! (Source: AniDB)","['Adaptation (Manga) My Life As', '']",My Life As,,"['Comedy', 'Hentai']",,,,
87,"Dokyusei 2 Special, Classmates 2 Special: Graduation, Graduate",同級生２ Special　卒業生,,['OVA'],3,Finished Airing,"Sep 10, 1999 to Mar 10, 2000",,,['Pink Pineapple'],"None found,","None found,",Unknown,['Ecchi'],"['Harem', 'School']",,28 min. per ep.,R+ - Mild Nudity,5.10,#13095,#11648,"2,171",2,632,Based on the game by ELF.,"['Prequel (OVA) Doukyuusei 2', '']",Doukyuusei 2 Special: Sotsugyousei,,,,,,
88,,ピッコマンの鬼畜道 ～真夜中のみるくパーティー～,Midnight Milk Party,['OVA'],1,Finished Airing,"Sep 25, 1999",,,['Shinyusha'],"['Media Blasters', 'Kitty Media']","None found,",['Manga'],['Hentai'],,,27 min.,Rx - Hentai,5.23,N/A,#12052,"1,921",3,622,"When a pretty college student with a perfect record decides to have one little adventure before graduation, it turns out to be one big problem. Her starring role in an adult video lands her plenty of admirers, ready to blackmail her for pleasure!",[],Pikkoman no Kichikumichi: Mayonaka no Milk Party,,,,,,
89,"Hi-iro no Koku, Secret of a Housewife, Time Colored Scarlet, Scarlet Moment, Hitozuma Inran Choukyou: Etsuko no Himitsu",緋色の刻,,['OVA'],5,Finished Airing,"Sep 18, 1999 to Sep 15, 2000",,,['Five Ways'],"None found,",['Meltdown'],['Manga'],['Hentai'],,,27 min. per ep.,Rx - Hentai,5.16,N/A,#12172,"1,848",8,562,Based on the manga by Sanbun Kyouden. A housewife gets raped by a bunch of men. As it turns out she likes it and her life becomes a succession of perverted sexual adventures. (Source: AniDB),"['Adaptation (Manga) Hiiro no Koku', '']",Hiiro no Koku,,,,,,
90,Breakage,BREAK-AGE,,['OVA'],1,Finished Airing,"Sep 25, 1999",,,"['Studio Nem', 'BEAM Entertainment']","None found,",['Ripple Film'],['Manga'],,,['Shounen'],43 min.,PG-13 - Teens 13 or older,5.61,#11740,#12749,"1,525",0,579,"In 2007, the inhabitants of Danger Planet II fight their battles using remote-controlled robots or ""virtual puppets."" Kirio Nimura is a high school student and the strongest puppeteer on the planet, until he falls for Sairi Takahara, who insists that nobody may make advances until they have beaten her puppet, Benkei. (Source: Anime Encyclopedia)","['Adaptation (Manga) Break-Age', '']",Break-Age,,"['Romance', 'Sci-Fi']",,,['Mecha'],
91,,聖操奴隷,,['OVA'],2,Finished Airing,"Aug 22, 1999 to Jan 27, 2000",,,['Five Ways'],"None found,",['Meltdown'],['Manga'],['Hentai'],,,28 min. per ep.,Rx - Hentai,4.77,N/A,#12849,"1,478",1,358,Shigeki is quite a normal student who constantly searches for adventures with young women. (Source: AniDB),[],Ayatsuri Ningyou,,,,,,
92,Tottoko Hamutaro: Anime Dechu!,とっとこ ハム太郎 アニメ でちゆ!,,['OVA'],1,Finished Airing,"Sep 15, 1999",,,"None found,","None found,","None found,",['Manga'],['Adventure'],,['Shoujo'],27 min.,G - All Ages,6.13,#9211,#13282,"1,309",0,380,"This was the first attempt at an animated adaptation of Hamtarou, and consists of four short episodes. Crawling Around, Hamtarou (ドラマ ~ もぐりこんだら ハム太郎): Natsumi comes home and finds Hamtarou is missing from his cage. Shortly after, Hamtarou is revealed to be hiding under Natsumi's blanket, where he introduces himself to the viewer. Hamuchanzu Corner ~ Biscuits in the Vase (ハムちゃんずコーナー ~ つぼの中のビスケット): Hamtarou and the Ham-Hams help Bijou retrieve a biscuit she had dropped while running on the roof posts. After multiple attempts to retrieve the cookie fail, Hamtarou suggests that he be lowered down into the vase, like a prize-catching crane machine. With this plan, Hamtarou is able to retrieve Bijou's biscuit. The vase wobbles and he begins to fall, but the dog wakes up and rescues the hamster by catching him with a pillow. With Hamtarou saved, Bijou hugs Hamtarou graciously and the episode ends as Hamtarou watches the dog slip away to go back to sleep. I Love You, Natsumi-chan (ドラマ ~ 大好き、なつみちゃん): The episode opens with Hamtarou having a bit of a manly montage; he seems like he has something important to do. Before she leaves for school, Natsumi tells Hamtarou she likes him while petting him. In response, without her understanding, Hamtarou confesses to Natsumi that he loves her romantically, but knows that Natsumi only loves him as a companion. She then has to leave for school and meets her classmate, Shirohara, to walk with him. Hamtarou wishes to become rivals with the schoolboy, who he knows Natsumi has a crush on. He spends the day venting and whining to Wanta about how Shirohara has beaten him for Natsumi's affection, and eventually tires himself out. At the end of the day, however, Natsumi tells Hamtarou that she loves him very much, which makes him very happy. Hamuchanzu Corner ~ Yellow Happiness (ハムちゃんずコーナー ~ 黄色いしあわせ): Hamtarou and the Ham-Hams appear to be on a scheme to get some sunflower seeds. (Source: Wikia)","['Adaptation (Manga) Hamtaro', '']",Tottoko Hamtarou: Anime Dechu!,,,,,,
93,,保健室で逢いましょう,,['OVA'],1,Finished Airing,"Aug 27, 1999",,,"['Allure', 'Mediabank']","None found,","None found,",Unknown,['Hentai'],,,40 min.,Rx - Hentai,4.89,N/A,#13573,"1,212",1,267,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hokenshitsu de Aimashou,,,,,,
