,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Demographic,Theme,Spanish,Genre,Demographics
49,"Astroboy, Astro Boy (2003)",アストロボーイ・鉄腕アトム,Astro Boy (2003),['TV'],50,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Unknown,"['Sony Pictures Entertainment', 'Dentsu', 'Mill Creek Entertainment']","None found,",['Tezuka Productions'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,G - All Ages,7.08,#3984,#4560,"26,787",169,12178,"At the Ministry of Science, fervent Professor Ochanomizu alongside his coworkers strive to reactivate Atom—the first robot with a human heart. Atom is the masterpiece of enigmatic Professor Umatarou Tenma, who built the android to replace his deceased son Tobio. However, while Tenma inexplicably shut down his brainchild and disappeared, Ochanomizu refuses to let such a major breakthrough in science go to waste. Despite having the appearance of a nine-year-old, Atom not only possesses incredible strength and intelligence, but he is also endowed with a remarkable conscience and compassion that rivals humans. Sadly, the mechanical boy soon faces rejection and learns that not everyone is as welcoming as Ochanomizu. Although automatons have integrated into society, they are accepted only as tools and even seen as an upcoming threat to mankind's dominion. Dreaming of a world where people and robots can prosper together, Atom dedicates his existence to protecting the lives of both and inspiring them to form genuine bonds. [Written by MAL Rewrite]","['Prequel (TV) Atom: The Beginning', 'Adaptation (Manga) Tetsuwan Atom', 'Adaptation (Manga) Astro Boy: Tetsuwan Atom', '']",Astro Boy: Tetsuwan Atom,,Astro Boy,['Shounen'],['Super Power'],Astro Boy,,
50,Stellvia of the Universe,宇宙のステルヴィア,Stellvia,['TV'],26,Finished Airing,"Apr 3, 2003 to Sep 25, 2003",['Spring 2003'],Thursdays at 01:00 (JST),"['Starchild Records', 'TV Tokyo Music']","['Discotek Media', 'Geneon Entertainment USA']",['Xebec'],Original,"['Action', 'Romance', 'Sci-Fi']","['Mecha', 'Space']",23 min. per ep.,PG-13 - Teens 13 or older,7.33,#2687,#4605,"26,102",124,10103,"In the year 2167, a wave of radiation released by the supernova of the nearby star Hydrus Beta caused cataclysmic damage on Earth, leaving millions dead. Now, it is the year 2356. United to rebuild Earth, humanity prepares for the supernova's second wave of destruction. In order to protect the planet from future harm, massive space colonies called ""Foundations"" have been built throughout the Solar System. Acting as centers for both knowledge and exploration, it is at one of these Foundations—the Stellvia—that Shima Katase applies to be a preparatory student against her mother's wishes, aspiring to see space directly with her own eyes. At the Stellvia, Katase trains to become a pilot and hopes to be selected for the ""Great Mission"" to shield Earth from the second wave. While she struggles with both her pilot classes and her tumultuous social life, she slowly grows into someone who might just be able to protect humanity. [Written by MAL Rewrite]","['Adaptation (Manga) Uchuu no Stellvia', '']",Uchuu no Stellvia,,,,,,,
51,,ハングリーハート Wild Striker,,['TV'],52,Finished Airing,"Sep 11, 2002 to Sep 10, 2003",['Fall 2002'],Wednesdays at Unknown,"None found,","None found,",['Nippon Animation'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.54,#1825,#4610,"25,996",245,13881,"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success. Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recognize Kyousuke's potential and want to see his return to the game for their own reasons. With an opportunity to play soccer again, Kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world. [Written by MAL Rewrite]","['Adaptation (Manga) Hungry Heart', '']",Hungry Heart: Wild Striker,,,['Shounen'],['Team Sports'],,['Sports'],
52,,ディア・ボーイズ,Hoop Days,['TV'],26,Finished Airing,"Apr 7, 2003 to Sep 29, 2003",['Spring 2003'],Mondays at 01:00 (JST),['OB Planning'],['Bandai Entertainment'],['A.C.G.T.'],['Manga'],"['Drama', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,6.77,#5483,#4849,"23,038",52,10615,"Aikawa Kazuhiko was the captain of Tendoji high school prestigious basketball team. He moves into a new town to attend Mizuho high school and joins its basketball team. However, Mizuho high's basketball team is far from being prestigious, in fact, it's now defunct. Nevertheless to say, Kazuhiko's persistence, passion and basketball skills inspired other team members of the dysfunctional basketball team to gear up and start practicing again. The goal is to play in the national tournaments where all young basketball players meet their opponents to compete with them. The tale of youth of the five protagonists: Fujiwara Takumi, Ishii Tsutomu, Dobashi Kenji, Miura Ranmaru and Aikawa Kazuhiko have just began along with the live of Mizuho high school basketball team. (Source: AnimeNfo)","['Adaptation (Manga) Dear Boys', '']",Dear Boys,,Hoop Days,['Shounen'],['Team Sports'],,,
53,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",,21 min. per ep.,G - All Ages,7.30,#2839,#5032,"21,100",137,9263,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,,Mirmo!,['Shoujo'],['School'],,,
54,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,,['Shounen'],,Kochikame,['Comedy'],
55,,エスアザーワイズ,E's Otherwise,['TV'],26,Finished Airing,"Apr 1, 2003 to Sep 23, 2003",['Spring 2003'],Tuesdays at 18:00 (JST),['Sotsu'],['ADV Films'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Military', 'Super Power']",23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6610,#5436,"17,273",26,7355,"Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belongs to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization. (Source: ANN)","[""Adaptation (Manga) E's"", '']",E's Otherwise,,,['Shounen'],,,,
56,,ガドガード,,['TV'],26,Finished Airing,"Apr 16, 2003 to Sep 25, 2003",['Spring 2003'],Thursdays at 02:58 (JST),"['HAL Film Maker', 'Media Factory', 'Imagica', 'Amber Film Works', 'Imagine']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],Original,"['Action', 'Adventure', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.64,#6271,#5734,"15,130",27,5180,"Several hundred years in the future, the resources of the Earth runs out, and the progression of the human race has stagnated. The world is now divided into ""Units."" A boy named Hajiki Sanada lives with his mother and sister in Unit 74, in a place called ""Night Town,"" in which all electricity is shut down at midnight. The key in this story is an object called the GAD. GADs have the ability to reconstruct materials while reacting to feelings of an organic life. The size and shape of the resulting product seem to be different depending on the kinds of feelings that the life possesses. When Hajiki comes in contact with one by accident, it transforms into a huge robot—a Tekkoudo, or ""Iron Giant""—which Hajiki names Lightning. And soon he realizes that he isn't the only one with a Tekkoudo, and must find out how to deal with those others who he feels are the ""same"" as himself. (Source: ANN)",[],Gad Guard,,,,['Mecha'],,,
57,Transformers Legend of Micron,超ロボット生命体トランスフォーマー マイクロン伝説,Transformers Armada,['TV'],52,Finished Airing,"Jan 10, 2003 to Dec 26, 2003",['Winter 2003'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Columbia', 'TV Tokyo Music']",['Hasbro'],['Actas'],Other,"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.82,#5182,#6513,"10,942",54,5948,"On the mechanical planet of Cybertron live super robotic organisms known as Transformers. There, mainly consisting of convoys, the Cybertron army, and their old enemy Destron fell into conflict to gain hold of a new power to join their side. A new breed of Transformers known as the Microns. But, grieving over the battle the Microns set off to the other end of the universe. 4 million years later, on Earth, 3 young children activated a mysterious panel inside a cave. And somehow, that was the dormant Micron...","['Sequel (TV) Transformers Superlink', '']",Chou Robot Seimeitai Transformers Micron Densetsu,Transformers Armada,Transformers Armada,,['Mecha'],,,
58,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
59,DiGi Charat Nyo,デ・ジ・キャラットにょ,,['TV'],104,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Sundays at 09:30 (JST),"['TV Osaka', 'Broccoli']",['Bandai Entertainment'],['Madhouse'],Unknown,"['Comedy', 'Fantasy', 'Sci-Fi']",,12 min. per ep.,G - All Ages,7.05,#4131,#7180,"8,651",50,3085,"Di Gi Charat (a.k.a. Dejiko) - along with Petit Charat (a.k.a. Puchiko) and Gema - travels to Earth as part of her training to become a full-fledged princess. They crash on a small town in Japan, where they meet the Omocha brothers (who spend most of their time thinking how cute Puchiko is) and Mr. & Mrs. Ankoro (an elderly couple that makes Japanese sweets). (Source: ANN)",[],Di Gi Charat Nyo,,,,,,,
60,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4018,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,['Kids'],,El Ninja Boy Rantaró,['Comedy'],
61,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,['Shoujo'],['School'],Chibi Maruko-chan,['Comedy'],
62,Atashinchi,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,,,
63,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,,Cubix: Robots pour Tous,,['Mecha'],,['Sci-Fi'],
64,Bomberman Jetterz,ボンバーマン ジェッターズ,,['TV'],52,Finished Airing,"Oct 2, 2002 to Sep 24, 2003",['Fall 2002'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems']","None found,",['Studio Deen'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,23 min. per ep.,G - All Ages,6.90,#4809,#8841,"5,160",56,1914,"Deep Space, many different cultures have come together to live on planet Jet. To keep the peace an organization known as the Jetters is formed. This space police group fight against the villains known as the ""Hige hige dan"" making sure that the universe is safe. The leader of the Jetters Mighty is a powerful Bomberman, who is looked up to and respected....his brother however is a lazy crude slacker named Shirobon. Suddenly Mighty disappears and Shiro finds himself placed in a new situation. Shiro steps up and become a responsible Bomberman, and with the new friends he made of the Jetters it may become possible for him to be the next ""Jetters leader."" (Source: ANN)",[],Bomberman Jetters,,,,['Space'],,,
65,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,['Kids'],,,,
66,"Asobotto Senki Goku, Anbot Senki Gokyuu, Association Robot Goku",アソボット戦記五九,Monkey Typhoon,['TV'],52,Finished Airing,"Oct 1, 2002 to Sep 30, 2003",['Fall 2002'],Tuesdays at 18:30 (JST),['TV Tokyo'],"None found,",['Studio Egg'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6527,#9567,"4,068",8,1480,"Four years into the future, the world has lost its balance... 10 thousand metres of vast woodland is gone, preventing humans to live and leaving a desert to spread endlessly. And so, they head into the world of Meshichi, to live together with the Anbots. As if guided by fate, Sanzou and Gokyuu meet. Traveling together, Sanzou - a young man shrouded in mystery, Gokyuu - the strongest and worst Anbot around, Tongoh - an Anbot fond of drinking, Jou - someone who is great with machines, Suuji - a female Anbot thief, and last but not least, Mioto. And so, their journey begins to the boundless East, to the land where the sun was born! (Source: AnimeNfo)","['Adaptation (Manga) Assobot Goku', '']",Asobot Senki Gokuu,,,['Shounen'],,,,
67,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,,,
68,,真･女神転生Ｄチルドレン ライト＆ダーク,,['TV'],52,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",['Fall 2002'],Unknown,"None found,","None found,",['Actas'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Mythology', 'Video Game']",24 min. per ep.,PG - Children,6.44,#7428,#10913,"2,698",3,730,"A series based off of the Shin Megami Tensei Devil Children: Light & Dark games (known as DemiKids in the U.S.). The year is 200X. Jin, Akira and Lena are three child hood friends who like mysterious things. One day in the library, along with the mysterious transfer student Ami, they find the ""Akuma Compendium"". They chanted an incantation in the book and, to their surprise, devils appeared. Ami then told Jin and Akira that they are the Devil Children that will decide the fate of the world. She hands them their Devil Risers. The group then pass through the ""Door of Time"" to the land of Valhalla where they fight an evil ruler known as Imperius who plans on conquering all of the world. The Nakama of Jin is Rand, a Sol Lion, and Akira's is Gale, a Hylon. (Source: Wikipedia.org)","['Prequel (TV) Shin Megami Tensei Devil Children', '']",Shin Megami Tensei Devil Children: Light & Dark,,,['Kids'],,,,
69,"Machine Robo Rescue, Sortie!",出撃！マシンロボレスキュー,,['TV'],53,Finished Airing,"Jan 8, 2003 to Jan 3, 2004",['Winter 2003'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Bandai Visual', 'Lantis']","None found,",['Sunrise'],Unknown,"['Action', 'Sci-Fi']",,23 min. per ep.,PG - Children,6.86,#5012,#11034,"2,598",9,1168,"In the future, age is not a factor to determine whether someone can perform a certain task or not, but special talent and training. An organization, Machine Robo Rescue (MRR), was established for robots and children to become partner and rescue people from danger. Then 12 children with various abilities were selected and introduced as part of this program: Robo Rescue! Meet Oozora Taiyou, one of the children who were chosen as a part of MRR program. After being late on his first day of training, he went to perform a hot rescue with JETROBO. However, a mysterious Robot from mysterious organization, ""The Star""(?), appeared before MRR team to interfere with the rescue. What are the motives of the mysterious organization? And what are their goals? Life as one of the children chosen as part of MRR has started for Oozora Taiyou. Bumpy and hard training is just ahead for MRR team in order to protect many people's life! (Source: AnimeNfo)",[],Shutsugeki! Machine Robo Rescue,,,,['Mecha'],,,
70,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,,,
71,,クラッシュギアNitro,,['TV'],50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",['Winter 2003'],Unknown,"None found,","None found,",['Sunrise'],Unknown,,,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9150,#11642,"2,175",4,1009,"Story about a young boy name: Mahha Masaru, who dreamt of having a crush gear fight with the others even though he doesn't have his very own crush gear! One day, a sudden chance came to him and he got the legendary crush gear which look similer to the one that was used by Kouya Marino and finally he can go and paticipate in his own crush gear fight with his friends and foe!!","['Adaptation (Manga) Crush Gear N', '']",Crush Gear Nitro,,,,['Racing'],,['Sports'],
72,,FIRESTORM　ファイアーストーム,,['TV'],26,Finished Airing,"Apr 6, 2003 to Sep 28, 2003",['Spring 2003'],Sundays at 09:00 (JST),"['Madhouse', 'TV Tokyo']",['Enoki Films'],['Trans Arts'],Original,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'Military']",25 min. per ep.,PG-13 - Teens 13 or older,5.46,#12233,#12509,"1,652",1,313,"It is the year 2104 AD. The terrible war is over and peace seemed close in the world. However, there is one thing that can bring down this peace. That is the criminal organisation who's power and actions are widespread across the world... The Black Orchid. From the main countries of the world, the ""Storm Force"" was formed to take down the Black Orchid. They are also known under the code name ""Fire Storm"". (Source: AniDB)",[],Firestorm,,,,,,,
73,"Croquette!, Corokke!",コロッケ！,Croket!,['TV'],104,Finished Airing,"Apr 7, 2003 to Mar 27, 2005",['Spring 2003'],Mondays at 18:30 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,20 min. per ep.,G - All Ages,6.88,#4949,#12563,"1,618",4,614,"The ""Forbidden Treasure"" is an extraordinary artefact who can grant any wishes. The people seeking it are called the Bankers, and our hero, Corokke, is one of them.","['Adaptation (Manga) Croket!', '']",Croket!,,,['Kids'],,,,
74,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Kids'],['Anthropomorphic'],,,
75,,時空冒険記　ゼントリックス,Zentrix,['TV'],26,Finished Airing,"Apr 5, 2003 to Sep 27, 2003",['Spring 2003'],Unknown,['Imagi'],['Bandai Entertainment'],"None found,",Original,"['Adventure', 'Sci-Fi']",,25 min. per ep.,PG - Children,6.25,#8528,#13268,"1,313",6,455,"The series is set in Zentrix City, a seemingly ""perfect"" city. Emperor Jarad is a scientist who with the help of scientists Dr. Roark and Dr. Coy, created a super-computer called OmnicronPsy, which manages all of the city's higher and day-to-day functions, controlling a wide variety of machines and robots, allowing humankind to live a seemingly ""perfect"" life. However OmnicronPsy, using His super-intelligence, decides that it would make a better ruler than Jarad, and starts to break down the coding that stops him from revolting and harming the Royal Family. Discovering this, Jarad and Dr. Roark head back in time 7 years to stop the revolt from ever happening. To accomplish this they plan to shut down the six Zentrium chips that power OmnicronPsy. Upon discovering this, Jarad's daughter and only heir, Princess Megan, proceeds to follow him to the past while OmnicronPsy concurrently undoes his restriction codes and sends his Robo Guards to hunt her down.",[],Jikuu Boukenki Zentrix,,Zentrix,,['Mecha'],,,
76,"Plusters, Journey of Adventure: PLUSTERWORLD",冒険遊記プラスターワールド,Adventure Hero Pluster World,['TV'],52,Finished Airing,"Apr 3, 2003 to Mar 25, 2004",['Spring 2003'],Thursdays at 18:00 (JST),['TV Tokyo'],"None found,","['Actas', ""Brain's Base""]",Original,"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,G - All Ages,6.23,#8667,#13495,"1,235",4,312,"According to the legend, the once peaceful ""Pluster World"" plunged into chaos and darkness due to the manifestation of the evil MINASUTA. At that time, selected Plusters were combined with humans, and successfully sealed away the evil MINASUTA. It was then believed that the peace which had returned would continue forever. Greenery and trees filled the land, flowers bloomed everywhere, living creatures soar in the blue sky, run on the land, and swim in the seas. However, this peacefulness was once again lost due to reappearance of the MINASUTA... Now, the fusion of Plusters and Humans once again opens the door for a hot adventure! (Source: aniDB)",[],Bouken Yuuki Pluster World,,,,,,,
77,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
78,Kasumin 3rd Series,カスミン (第3シリーズ),,['TV'],26,Finished Airing,"Apr 9, 2003 to Oct 1, 2003",['Spring 2003'],Unknown,['NHK'],"None found,",['OLM'],Unknown,,,25 min. per ep.,PG - Children,6.23,#8683,#14259,"1,009",2,399,"Kasumi Haruno is a fourth grade student. She came to Kasumi Town to see off her zoologist parents on their trip to Africa to do research. In the center of the town, surrounded by forest, is the large mansion belonging to the Kasumi family where Kasumi will be staying from now on. Kasumi passes through the mansion's gate right away, but a strange atmosphere emanates from somewhere in the Kasumi Forest. When he finally makes it to the mansion, there are talking appliances! It would seem that members of the Kasumi family were youkai called ""Henamon"". Kasumi never dreamed she would end up living with a family of Henamon. She is very busy doing the cooking, laundry, and cleaning in exchange for living there. Surrounded by mysterious companions, what will become of Kasumi's new life? (Source: AniDB)","['Prequel (TV) Kasumin 2nd Season', '']",Kasumin 3rd Season,,,['Kids'],,,['Fantasy'],
