,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Theme,Demographic,Genre,Demographics
48,,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",21 min.,G - All Ages,7.80,#1030,#2402,"88,094","1,330",42201,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['School'],['Seinen'],,
49,,ドラえもん,Doraemon,,Doraemon,,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",11 min. per ep.,PG - Children,7.86,#898,#2835,"67,030",669,39827,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,['Anthropomorphic'],,,"['Kids', 'Shounen']"
50,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,Hamtaro,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,,['Anthropomorphic'],['Kids'],,
51,"Beyblade Revolution, Beyblade GRevolution",爆転シュート　ベイブレードＧレボリューション,Beyblade G Revolution,,,,['TV'],52,Finished Airing,"Jan 6, 2003 to Dec 29, 2003",['Winter 2003'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights']","['Nelvana', 'Discotek Media']",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",20 min. per ep.,PG - Children,6.97,#4524,#3279,"51,171",233,31500,"After keeping their BitBeasts out of harm's way, a new world championship tournament is announced, but the defending champions can't all be on the same team. Their friendship will be tested and tried as each Bladebreaker goes on a quest to prove why they are the best Beyblader around. Tyson, Max, Ray, Kai, and newcomer Daichi, must keep up their winning ways...even if they must face each other. But, after the tournament is over, what awaits them is an old foe, Boris, taking over the BBA and transforming it into BEGA, the Beyblade Entertainment Global Association. To save Beybladers of the entire world from BEGA's corruption, the Bladebreakers must reunite once again... (Source: ANN)","['Prequel (TV) Bakuten Shoot Beyblade 2002', '']",Bakuten Shoot Beyblade G Revolution,,,['Shounen'],,
52,,サイボーグ009 THE CYBORG SOLDIER,Cyborg 009,,,,['TV'],50,Finished Airing,"Oct 14, 2001 to Oct 13, 2002",['Fall 2001'],Unknown,"['TV Tokyo', 'Shaft', 'Avex Entertainment', ""Brain's Base""]","['Sony Pictures Entertainment', 'Discotek Media']",['Japan Vistec'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3092,#3943,"36,093",192,13416,"Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization. Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.","['Sequel (Special) Cyborg 009: The Cyborg Soldier - Kami no Ubugoe', 'Adaptation (Manga) Cyborg 009']",Cyborg 009: The Cyborg Soldier,,,['Shounen'],,
53,"Hoshi no Kirby, Kirby of the Stars",星のカービィ,Kirby: Right Back at Ya!,,,,['TV'],100,Finished Airing,"Oct 6, 2001 to Sep 27, 2003",['Fall 2001'],Saturdays at 19:30 (JST),"['CBC Television', 'Nintendo']",['4Kids Entertainment'],['Studio Sign'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",24 min. per ep.,PG - Children,6.92,#4734,#3956,"35,881",370,18022,"A diminutive pink creature orbiting in space called ""Kirby"" crash lands into Dream Land. Once getting acquainted with the citizens who live there in Cappy Town, he begins to defend the town from the monsters that King Dedede, the self-proclaimed ruler of Cappy Town, orders from the evil Nightmare Enterprises. (Source: ANN)",[],Hoshi no Kirby,,['Parody'],,,
54,,明日のナージャ,Tomorrow's Nadja,,Nadja Applefields,,['TV'],50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",['Winter 2003'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,"['Adventure', 'Drama', 'Romance']",24 min. per ep.,G - All Ages,7.59,#1598,#4012,"34,853",288,12181,"This story takes place about one hundred years ago. Nadja is a bright, cheerful girl who was raised in an orphanage near London, England. Nadja was entrusted to the orphanage when she was a baby. So she thought her father and mother were dead. But before her thirteenth birthday, she found out that her mother might be alive.. Nadja sets out on a journey to find her mother! With all of Europe as the stage, Nadja's exciting adventure begins! (Source: AniDB)","['Adaptation (Manga) Ashita no Nadja', '']",Ashita no Nadja,,['Historical'],,,
55,"Pokemon Housoukyoku, Shuukan Pokemon Housoukyoku, Pokemon Hoso, Pocket Monsters Housoukyoku",ポケットモンスター サイドストーリー,Pokémon Chronicles,,Pokémon Chronicles,Pokémon Chronicles,['TV'],16,Finished Airing,"Dec 3, 2002 to Sep 28, 2004",['Winter 2003'],Tuesdays at 19:00 (JST),['Shogakukan Productions'],['4Kids Entertainment'],['OLM'],Game,"['Adventure', 'Comedy', 'Fantasy']",20 min. per ep.,PG - Children,6.89,#4904,#4080,"33,853",15,16956,"While Satoshi continues on his quest to become the best, many others will experience their own unique journey through the Pokémon world—researchers, professors, Gym Leaders, Team Rocket members, Trainers, and even Pokémon. Some are familiar faces and others are strangers at first, but what they all have in common is a love of adventure—especially when it involves Pokémon! (Source: Official site)",[],Pokemon Side Stories,,,['Kids'],,
56,,ハングリーハート Wild Striker,,,,,['TV'],52,Finished Airing,"Sep 11, 2002 to Sep 10, 2003",['Fall 2002'],Wednesdays at Unknown,"None found,","None found,",['Nippon Animation'],['Manga'],,23 min. per ep.,PG-13 - Teens 13 or older,7.54,#1825,#4610,"25,996",245,13881,"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success. Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recognize Kyousuke's potential and want to see his return to the game for their own reasons. With an opportunity to play soccer again, Kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world. [Written by MAL Rewrite]","['Adaptation (Manga) Hungry Heart', '']",Hungry Heart: Wild Striker,,['Team Sports'],['Shounen'],['Sports'],
57,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,,,Mirmo!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",21 min. per ep.,G - All Ages,7.30,#2839,#5032,"21,100",137,9263,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,,['School'],['Shoujo'],,
58,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,,Kochikame,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"['Adult Cast', 'Detective', 'Gag Humor']",,['Shounen'],['Comedy'],
59,Transformers Legend of Micron,超ロボット生命体トランスフォーマー マイクロン伝説,Transformers Armada,Transformers Armada,,Transformers Armada,['TV'],52,Finished Airing,"Jan 10, 2003 to Dec 26, 2003",['Winter 2003'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Columbia', 'TV Tokyo Music']",['Hasbro'],['Actas'],Other,"['Action', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.83,#5182,#6513,"10,941",54,5947,"On the mechanical planet of Cybertron live super robotic organisms known as Transformers. There, mainly consisting of convoys, the Cybertron army, and their old enemy Destron fell into conflict to gain hold of a new power to join their side. A new breed of Transformers known as the Microns. But, grieving over the battle the Microns set off to the other end of the universe. 4 million years later, on Earth, 3 young children activated a mysterious panel inside a cave. And somehow, that was the dormant Micron...","['Sequel (TV) Transformers Superlink', '']",Chou Robot Seimeitai Transformers Micron Densetsu,,['Mecha'],,,
60,,サザエさん,Mrs. Sazae,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,
61,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,10 min.,G - All Ages,7.08,#4018,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,['Kids'],['Comedy'],
62,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,['School'],['Shoujo'],['Comedy'],
63,Atashinchi,あたしンち,My Family,,,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,
64,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",로보짱 큐빅스,Cubix,,,Cubix: Robots pour Tous,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,,['Mecha'],,['Sci-Fi'],
65,Bomberman Jetterz,ボンバーマン ジェッターズ,,,,,['TV'],52,Finished Airing,"Oct 2, 2002 to Sep 24, 2003",['Fall 2002'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems']","None found,",['Studio Deen'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",23 min. per ep.,G - All Ages,6.90,#4809,#8841,"5,159",56,1914,"Deep Space, many different cultures have come together to live on planet Jet. To keep the peace an organization known as the Jetters is formed. This space police group fight against the villains known as the ""Hige hige dan"" making sure that the universe is safe. The leader of the Jetters Mighty is a powerful Bomberman, who is looked up to and respected....his brother however is a lazy crude slacker named Shirobon. Suddenly Mighty disappears and Shiro finds himself placed in a new situation. Shiro steps up and become a responsible Bomberman, and with the new friends he made of the Jetters it may become possible for him to be the next ""Jetters leader."" (Source: ANN)",[],Bomberman Jetters,,['Space'],,,
66,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,['Kids'],,
67,"Asobotto Senki Goku, Anbot Senki Gokyuu, Association Robot Goku",アソボット戦記五九,Monkey Typhoon,,,,['TV'],52,Finished Airing,"Oct 1, 2002 to Sep 30, 2003",['Fall 2002'],Tuesdays at 18:30 (JST),['TV Tokyo'],"None found,",['Studio Egg'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6527,#9567,"4,068",8,1480,"Four years into the future, the world has lost its balance... 10 thousand metres of vast woodland is gone, preventing humans to live and leaving a desert to spread endlessly. And so, they head into the world of Meshichi, to live together with the Anbots. As if guided by fate, Sanzou and Gokyuu meet. Traveling together, Sanzou - a young man shrouded in mystery, Gokyuu - the strongest and worst Anbot around, Tongoh - an Anbot fond of drinking, Jou - someone who is great with machines, Suuji - a female Anbot thief, and last but not least, Mioto. And so, their journey begins to the boundless East, to the land where the sun was born! (Source: AnimeNfo)","['Adaptation (Manga) Assobot Goku', '']",Asobot Senki Gokuu,,,['Shounen'],,
68,"Maju Sensen The Apocalypse, Demon Beast Battle Front The Apocalypse, Demon Beast Phalanx TV",魔獣戦線 THE APOCALYPSE,Beast Fighter: The Apocalypse,,,Beast Fighter: L'Apocalypse,['TV'],13,Finished Airing,"Feb 23, 2003 to May 18, 2003",['Winter 2003'],Unknown,['Dynamic Planning'],['Discotek Media'],['Magic Bus'],['Manga'],"['Action', 'Supernatural']",24 min. per ep.,R+ - Mild Nudity,5.30,#12710,#10233,"3,301",2,942,"An entire city is destroyed by two monstrous and omnipotent beings. Genzou Kuruma, a scientist but also the leader of a sect wishes to awake God, but first, he needs a special kind of blood for it. His son, Shinichi Kuruma, and a young girl, Ayaka Sanders, possess that blood, and he will do anything to capture them and take their blood for God's Awakening, and so, humanity will be lost. Shinichi, along Ayaka and Tomizoro (Tommy), are escaping from Genzou Kuruma's ""New Humans"" (genetically altered humans who can turn into monsters), while Shinichi only wishes for revenge against his father. He, like the other ""New Humans"", has the power to summon different beasts from his body. With this power, he will fight until Genzou Kuruma is killed by his own hands. (Source: ANN)","['Adaptation (Manga) Majuu Sensen', '']",Majuu Sensen: The Apocalypse,"['Mythology', 'Super Power']",,['Shounen'],,
69,,どーもくん,,,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,
70,,奇鋼仙女ロウラン,Strange Steel Fairy Rouran,,,,['TV'],28,Finished Airing,"Nov 15, 2002 to May 30, 2003",['Fall 2002'],Unknown,['Starchild Records'],"None found,",['Zexcs'],Original,"['Action', 'Fantasy']",12 min. per ep.,PG-13 - Teens 13 or older,5.69,#11433,#10704,"2,879",3,769,"When the secret occult society, Shiromorishuua, sends a huge monster to attack Tokyo, ASY, a peace-keeping organization in Japan, retaliates with a Gousen (metal faery). ASY's Gousen annihilates the creature after driving it into open ocean. Although successful, a surprise attack follows. A girl, floating in midair and glowing with radiance, strikes with a beam of light. This girl is ""Rouran."" She knows neither her identity, her origins, nor why whenever she senses the Gousen or Kyoushi (reanimated corpses) she transforms into an avenging angel. As Rouran worries about her mysterious existence, Tetsuya kindly watches over her in Tokyo Arcadia, a settlement of expatriates and dissidents. (Source: AniDB)",[],Kikou Sennyo Rouran,,['Mecha'],,,
71,,真･女神転生Ｄチルドレン ライト＆ダーク,,,,,['TV'],52,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",['Fall 2002'],Unknown,"None found,","None found,",['Actas'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",24 min. per ep.,PG - Children,6.44,#7428,#10913,"2,698",3,730,"A series based off of the Shin Megami Tensei Devil Children: Light & Dark games (known as DemiKids in the U.S.). The year is 200X. Jin, Akira and Lena are three child hood friends who like mysterious things. One day in the library, along with the mysterious transfer student Ami, they find the ""Akuma Compendium"". They chanted an incantation in the book and, to their surprise, devils appeared. Ami then told Jin and Akira that they are the Devil Children that will decide the fate of the world. She hands them their Devil Risers. The group then pass through the ""Door of Time"" to the land of Valhalla where they fight an evil ruler known as Imperius who plans on conquering all of the world. The Nakama of Jin is Rand, a Sol Lion, and Akira's is Gale, a Hylon. (Source: Wikipedia.org)","['Prequel (TV) Shin Megami Tensei Devil Children', '']",Shin Megami Tensei Devil Children: Light & Dark,"['Mythology', 'Video Game']",,['Kids'],,
72,"Machine Robo Rescue, Sortie!",出撃！マシンロボレスキュー,,,,,['TV'],53,Finished Airing,"Jan 8, 2003 to Jan 3, 2004",['Winter 2003'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Bandai Visual', 'Lantis']","None found,",['Sunrise'],Unknown,"['Action', 'Sci-Fi']",23 min. per ep.,PG - Children,6.86,#5011,#11035,"2,598",9,1168,"In the future, age is not a factor to determine whether someone can perform a certain task or not, but special talent and training. An organization, Machine Robo Rescue (MRR), was established for robots and children to become partner and rescue people from danger. Then 12 children with various abilities were selected and introduced as part of this program: Robo Rescue! Meet Oozora Taiyou, one of the children who were chosen as a part of MRR program. After being late on his first day of training, he went to perform a hot rescue with JETROBO. However, a mysterious Robot from mysterious organization, ""The Star""(?), appeared before MRR team to interfere with the rescue. What are the motives of the mysterious organization? And what are their goals? Life as one of the children chosen as part of MRR has started for Oozora Taiyou. Bumpy and hard training is just ahead for MRR team in order to protect many people's life! (Source: AnimeNfo)",[],Shutsugeki! Machine Robo Rescue,,['Mecha'],,,
73,,おじゃる丸,Prince Mackaroo,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,
74,,クラッシュギアNitro,,,,,['TV'],50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",['Winter 2003'],Unknown,"None found,","None found,",['Sunrise'],Unknown,,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9151,#11641,"2,175",4,1009,"Story about a young boy name: Mahha Masaru, who dreamt of having a crush gear fight with the others even though he doesn't have his very own crush gear! One day, a sudden chance came to him and he got the legendary crush gear which look similer to the one that was used by Kouya Marino and finally he can go and paticipate in his own crush gear fight with his friends and foe!!","['Adaptation (Manga) Crush Gear N', '']",Crush Gear Nitro,,['Racing'],,['Sports'],
75,Greek & Roman Mythology: Olympus Guardian,그리스 로마 신화-올림포스 가디언,,,,,['TV'],39,Finished Airing,"Dec 11, 2002 to Jul 31, 2003",['Winter 2003'],Unknown,"None found,","None found,","None found,",Other,"['Adventure', 'Fantasy']",25 min. per ep.,None,6.15,#9085,#12727,"1,539",3,251,The animated form of the Korean manhwa.,[],Greek Roman Sinhwa: Olympus Guardian,,['Historical'],,,
76,,しましまとらのしまじろう,,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,['Anthropomorphic'],['Kids'],,
77,,親子クラブ,,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,
