,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Genre,Theme,Spanish,German,Demographics
121,裏路地ダイヤモンド,,['OVA'],1,Finished Airing,"Dec 21, 2001",,,"None found,","None found,",['Studio 4°C'],Unknown,,,,40 min.,PG-13 - Teens 13 or older,5.54,#11983,#13481,"1,240",0,213,"Uraroji Diamond is a very interactive DVD which takes you inside a Studio-4C-style town with all the weirdness inside, while you scour for episodes (very short, black and white, weird episodes). (Source: AnimeDB)",[],Urarochi Diamond,Uraroji Diamond,,['Adventure'],,,,
122,カラカラ様のひみつ,,['OVA'],1,Finished Airing,"Nov 25, 2001",,,['Pak Production'],"None found,","None found,",Unknown,,,,30 min.,Rx - Hentai,5.27,N/A,#13836,"1,122",1,330,"Akimitsu went to his grandfather's village, and he was sacrificed to ""Karakara-sama"", the god of the water. However it was a beautiful and lovely girl that appeared. Her name was Moeki, and she said she had to have sex as a ritual. Not to mention, he couldn't reject her, and he made love with her. After that, when she came back to the heaven, she noticed that she had forgot to ask the way to come back. Because he couldn't let her alone, they began to live together. Then, their sweet life began... or so someone thought, but there already two beautiful devil girls, Hibki and Kodama, were living in his town. Immediately, they began to attack Akimitsu. (Source: AnimeNfo)",[],Karakara-sama no Himitsu,,,['Hentai'],,,,
123,コ・コ・ロ・・・,,['OVA'],2,Finished Airing,"Dec 21, 2001 to Jun 21, 2002",,,['Japan Home Video'],"None found,","None found,",Visual novel,,,,28 min. per ep.,Rx - Hentai,5.14,N/A,#13991,"1,080",1,284,"Kuonji Souji seems to have it all going for him. He is handsome, popular and excels at his club activities. His past is another thing altogether -as a boy, he was raped repeatedly by his foster parents. The years have passed, and he has tried to forget by repressing those memories. They are still there, though, and come to him as hallucinations. Who is the raven-haired beauty he keeps seeing in those visions? Does she hold the key to unlock his past? (Source: AniDB)",[],Ko Ko Ro,Co Co Lo,,['Hentai'],,,,
124,SMノススメ,,['OVA'],1,Finished Airing,"Oct 21, 2001",,,['Milky Animation Label'],"None found,","None found,",Visual novel,,,,29 min.,Rx - Hentai,4.93,N/A,#14372,974,1,246,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],SM no Susume,SM no Susume,,['Hentai'],,,,
125,車畜 ～車の中で飼ってます～,,['OVA'],1,Finished Airing,"Nov 25, 2001",,,"None found,","None found,","None found,",Visual novel,,,,28 min.,Rx - Hentai,5.08,N/A,#14377,972,0,245,Based on the game by Arkham Products.,[],Shachiku: Kuruma no Naka de Kattemasu,,,['Hentai'],,,,
126,完全勝利ダイテイオー,,['OVA'],1,Finished Airing,"Dec 22, 2001",,,"None found,","None found,",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']",,['Kids'],7 min.,PG - Children,5.24,#12842,#14506,941,1,399,"When an alien force attacks Earth, a giant sword falls onto the campus of Paradise Elementary School, transforming it into a flying vessel. The fate of the planet lies with one group of kids who must pilot powerful mecha to stop the invaders before it's too late! (Source: Anime-Planet) Note: Originally planned as a TV anime series, this ended up as a promotional video for its manga serialization on magazine Monthly Daiteioh.",[],Kanzen Shouri Daiteiou,"Kanzen Shouri Daiteioh, Eldran series #4",,,['Mecha'],,,
127,ハローキティのシンデレラ,Hello Kitty in Cinderella,['OVA'],1,Finished Airing,"Nov 23, 2001",,,['Sanrio'],"None found,","None found,",Other,,,['Kids'],15 min.,G - All Ages,5.81,#10888,#14722,887,1,302,Hello Kitty version of Cinderella.,[],Hello Kitty no Cinderella (OVA),Hello Kitty's Animation Theater 9a,Hello Kitty: Cendrillon,['Fantasy'],,,,
128,ハローキティの桃太郎,Hello Kitty in Momotaro,['OVA'],1,Finished Airing,"Oct 26, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],15 min.,G - All Ages,5.81,#10890,#14880,846,2,266,Kitty and friends re-create the story of Momotarou.,[],Hello Kitty no Momotarou,Hello Kitty's Animation Theater 8a,,['Fantasy'],,Hello Kitty y sus Amigos: Momotaro,,
129,等身大マイラバー～ミナミ対メカミナミ～,,['OVA'],1,Finished Airing,"Oct 26, 2001",,,"['D3', 'Allure', 'Mediabank']","None found,","None found,",Unknown,,,,25 min.,Rx - Hentai,4.91,N/A,#15007,817,1,218,"A young man receives a life-size nude girl in the mail. Not knowing where she came from or who sent her, he tries to figure things out when his little sister, Minami, arrives home. Needless to say, Minami is quite disturbed that her brother has named his new sex doll 'Minami' also...",[],Toushindai My Lover: Minami tai Mecha-Minami,Be Lifesized My Lover - Mechanic Minami vs. Human Minami,,['Hentai'],,,,
130,ハローキティの雪の女王,Hello Kitty and Dear Daniel in The Snow Queen,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],14 min.,G - All Ages,5.89,#10504,#15120,788,1,241,Kitty and friends recreate the story of The Snow Queen.,[],Hello Kitty no Yuki no Joou,Hello Kitty's Animation Theater 13a,,['Fantasy'],,Hello Kitty y sus Amigos: La Reina de las Nieves,,
131,ハローキティのおやゆびひめ,Hello Kitty in Thumbelina,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],15 min.,G - All Ages,5.59,#11857,#15261,753,0,231,Hello Kitty movie starring the titular character as Thumbelina.,[],Hello Kitty no Oyayubi-hime (OVA),Hello Kitty's Animation Theater 12a,,['Fantasy'],,,,
132,ハローキティのマッチ売りの少女,Hello Kitty in The Little Match Girl,['OVA'],1,Finished Airing,"Nov 23, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],10 min.,G - All Ages,5.95,#10187,#15440,717,1,225,Hello Kitty re-creates the story of The Little Match Girl.,[],Hello Kitty no Match Uri Shoujo,Hello Kitty's Animation Theater 10b,,['Fantasy'],,,,
133,ハローキティのくるみ割り人形,Hello Kitty in The Nutcracker,['OVA'],1,Finished Airing,"Oct 26, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],15 min.,G - All Ages,5.83,#10796,#15688,676,0,213,Hello Kitty version of The Nutcracker.,[],Hello Kitty no Kurumi Wari Ningyou,Hello Kitty's Animation Theater 7a,,['Fantasy'],,Hello Kitty y sus Amigos: El Cascanueces,,
134,ハローキティの長靴をはいた猫,Hello Kitty in Puss in Boots,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],15 min.,G - All Ages,5.86,#10651,#15733,666,0,207,Kitty and friends recreate the story of Puss in Boots.,[],Hello Kitty no Nagagutsu wo Naita Neko,Hello Kitty's Animation Theater 11a,Hello Kitty: Le Chat Botté,['Fantasy'],,Hello Kitty y sus Amigos El Gato con Botas,,
135,アヒルのペックルのアヒルのドレイクステール,Pekkle in Drakestail,['OVA'],1,Finished Airing,"Nov 23, 2001",,,['Sanrio'],"None found,","None found,",Other,,,['Kids'],10 min.,G - All Ages,5.59,#11846,#15857,646,3,180,Drakestail Pekkle lends money to the King who flings it away.,[],Ahiru no Pekkle no Ahiru no Drakestail,"Hello Kitty's Animation Theater 9b, The Duck's Drakestail",,['Fantasy'],,Hello Kitty y sus Amigos: El Patito Drakestail,,
136,ハローキティの3匹の子ぶた,"Hello Kitty, Mimmy and Dear Daniel in the Three Little Pigs",['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],7 min.,G - All Ages,5.74,#11211,#15903,639,0,183,Kitty and friends re-create the story of The Three Little Pigs.,[],Hello Kitty no Sanbiki no Kobuta,Hello Kitty's Animation Theater 13b,Hello Kitty :Les Trois Petits Cochons,['Fantasy'],,Hello Kitty y sus Amigos: Los tres Cerditos,,
137,アヒルのペックルのみにくいあひるの子,Pekkle in the Ugly Duckling,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],10 min.,G - All Ages,5.60,#11787,#16277,588,2,172,Pekkle stars in the story of The Ugly Duckling.,[],Ahiru no Pekkle no Minikui Ahiru no Ko,Hello Kitty's Animation Theater 11b,,['Fantasy'],,,,
138,サイバードール FeiFei,Virtually Real: Cybervenus FeiFei,['OVA'],6,Finished Airing,"Nov 21, 2001",,,"['Pony Canyon', 'Fuji TV', 'Digital Media Lab', 'Blue Moon Studio Inc.']","None found,","None found,",Unknown,"['Avant Garde', 'Sci-Fi']",,,5 min. per ep.,R+ - Mild Nudity,5.35,#12567,#16443,567,0,146,"Short CG clips compiled to an artsy DVD experience. FeiFei is a ""virtual idol"", the clips are entirely computer generated, except for the longest story where FeiFei is placed in a natural environment. (Source: AniDB)",[],Cybervenus FeiFei,,,,,,,
139,ポムポムプリンのウサギとカメ,Pom Pom Purin in the Tortoise and the Hare,['OVA'],1,Finished Airing,"Oct 26, 2001",,,['Sanrio'],"None found,","None found,",Other,,,['Kids'],10 min.,G - All Ages,5.53,#12014,#16494,561,0,158,Pom Pom Purin competes in a race with a tortoise and a hare.,[],Pom Pom Purin no Usagi to Kame,Hello Kitty's Animation Theater 8b,,['Fantasy'],,,,
140,けろけろけろっぴのアラジンと魔法のランプ,Keroppi in Aladdin and the Magic Lamp,['OVA'],1,Finished Airing,"Nov 23, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],15 min.,G - All Ages,5.93,#10292,#16811,523,1,149,Keroppi re-creates the story of Aladdin and the Wonderful Lamp.,[],Kerokero Keroppi no Aladdin to Mahou no Lamp,"Hello Kitty's Animation Theater 10a, Aladdin & His Wonderful Lamp",,['Fantasy'],,,,
141,ポムポムプリンの北風と太陽,Pom Pom Purin in the Northwind and the Sun,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Sanrio'],"None found,","None found,",Unknown,,,['Kids'],10 min.,G - All Ages,5.66,#11582,#16813,523,0,144,Pom Pom Purin recreates the story of The Northwind and the Sun.,[],Pom Pom Purin no Kitakaze to Taiyou,Hello Kitty's Animation Theater 12b,,['Fantasy'],,,,
142,コロコロクリリンの田舎のネズミ 都会のネズミ,Korokoro Kuririn in The Country Mouse and the Town Mouse,['OVA'],1,Finished Airing,"Oct 26, 2001",,,['Sanrio'],"None found,","None found,",Book,,,['Kids'],7 min.,G - All Ages,5.75,#11163,#17110,494,0,158,Sanrio's version of The Country Mouse and the City Mouse.,[],Korokoro Kuririn no Inaka no Nezumi Tokai no Nezumi,Hello Kitty's Animation Theater 7b,,['Fantasy'],,,,
143,私たちの暮らしと土木,,['OVA'],3,Finished Airing,Nov 2001,,,['Mushi Production'],"None found,","None found,",Original,,"['Historical', 'Samurai']",['Kids'],20 min. per ep.,G - All Ages,[],#15286,#19746,300,0,,"The 3-part series commissioned by Japan Construction Training Center for educational purposes (to elementary schools originally) shows how civil engineering has developed Japan into the country it is now. Part 1: Takes place in the Nara period and covers Chinese Buddhist monks which came to Japan and taught the people Buddhism and how to construct and fix bridges and pods to improve the lives of farmers suffering from drought and taxes in what is currently the Hyoujo Prefecture. Part 2: Takes place in the Sengoku period and covers Takeda Shingen and how the Kai Province was always plagued by the violent river rains dues to the mountain region surrounding them to them causing the Kofu Basin to flood. He funneled man-power into developing a system of flood control using stone embankments and planting tree lines. The civil engineering project is also the foundation for the Roushigumi which later became the Shinsengumi in the Edo period. Part 3: Takes place in the Edo period and covers the Meiji government wantin to catch up with the rest of the world's technology and hired many foreigners to implement the success of the Western world's industrial revolution. ""Contract foreigners"" (oyatoi gaikokujin) brought knowledge of: lighthouses, railways, ports, water supplies, improved flood control, and education. The railways specifically were handled by the British railway engineer Edmund Morel who was a mere 28 year old. The project was completed in 2 years connecting Tokyo to Yokohama in 1872 as Japan's first railroad and first two railroad stations. Unfortunately Morel had tuberculosis and died in right before the projected completed but he advised many Japanese scholars and engineers on railway production in his own home til his dead which lead to the boom of ever-so-famous-and-successful Japanese railway system.",[],Watashitachi no Kurashi to Doboku,"Civil Engineering and Our Lives, Watashi-tachi no Kurashi to Doboku Series",,,,,,
144,犬夜叉 時代を越える想い,InuYasha the Movie: Affections Touching Across Time,['Movie'],1,Finished Airing,"Dec 22, 2001",,,"['Yomiuri Telecasting', 'TOHO', 'Nippon Television Network', 'Shogakukan', 'Yomiuri TV Enterprise', 'Shogakukan Productions']",['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Mythology', 'Time Travel']",['Shounen'],1 hr. 39 min.,PG-13 - Teens 13 or older,7.56,#1718,#2123,"106,883",184,58503,"During their quest in the feudal era to recover the shards of the miraculous Shikon Jewel, Inuyasha, Kagome Higurashi, and their friends become the target of Menoumaru Hyouga—a demon awakened by one of the Shikon fragments, now in pursuit of Inuyasha's heirloom sword Tessaiga. Following a clash between the fathers of Inuyasha and Menoumaru, the weapon is the only means to restore Menoumaru his rightful family heritage. However, upon ambushing Inuyasha, Menoumaru discovers that Tessaiga's owner alone can wield it. Determined to achieve his objective regardless, he kidnaps Kagome to force Inuyasha to use his blade and release the sealed powers of the Hyouga clan. With their dependable companions' assistance, Inuyasha and Kagome oppose Menoumaru, unaware that his sinister intentions and alarming potential will endanger not only their world but also its distant future. [Written by MAL Rewrite]",[],InuYasha Movie 1: Toki wo Koeru Omoi,"Inu Yasha: Toki wo Koeru Omoi, InuYasha: Love That Transcends Time",InuYasha Le Film: Au-delà du Temps,,,Inuyasha la Película: La Batalla a través del Tiempo,InuYasha Der Film: Affections Touching Across Time,
145,スレイヤーズぷれみあむ,,['Movie'],1,Finished Airing,"Dec 22, 2001",,,"['Starchild Records', 'chara-ani.com', 'GANSIS']",['ADV Films'],['HAL Film Maker'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,33 min.,PG-13 - Teens 13 or older,7.14,#3710,#5075,"20,707",8,10094,"Lina and Gourry travel to a seaside town named Acassi, where octopus tentacle is a delicacy. However, the octopus meat carries a curse that dooms the eater to only speak Takogo (octopus language). Amelia, Zelgadiss, and Xelloss all show up, and the main four characters (Lina, Gourry, Ameria, Zelgadiss) get cursed. The octopi enlist the power of a mazoku to get rid of the humans once and for all. The white sorceress Ruma must learn the cure to the curse from her long-lost master in order to save the town. (Source: ANN)","['Prequel (TV) Slayers Next', 'Sequel (TV) Slayers Try', 'Adaptation (Manga) Slayers Premium', '']",Slayers Premium,Slayers Movie 5,,,,,Slayers Premium -The Movie-,
146,サクラ大戦 活動写真,Sakura Wars: The Movie,['Movie'],1,Finished Airing,"Dec 22, 2001",,,"['Kadokawa Shoten', 'Sega', 'Imagica', 'chara-ani.com', 'Imagine']","['Funimation', 'Geneon Entertainment USA']",['Production I.G'],Game,"['Adventure', 'Sci-Fi']","['Mecha', 'Performing Arts']",,1 hr. 25 min.,PG-13 - Teens 13 or older,6.41,#7615,#7566,"7,547",5,3471,"The Imperial Fighting Troupe is called again to defend Tokyo against the demons. However, this time, the Douglas-Stewart Company is selling a superior fighting machine that will revolutionize Japan's defense and make the Flower Division obsolete. However, the girls suspect something may be wrong when members of their team begin to vanish! But what can they do when their division has been placed on indefinite stand-by status? (Source: Geneon)","['Prequel (OVA) Sakura Taisen: Gouka Kenran', 'Sequel (OVA) Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re', 'Sequel (OVA) Sakura Taisen: New York', '']",Sakura Taisen: Katsudou Shashin,,Sakura Wars: The Movie,,,Sakura Wars: The Movie,,
147,劇場版　Di Gi Charat[デ・ジ・キャラット]　星の旅,Di Gi Charat Movie: A Trip To The Planet,['Movie'],1,Finished Airing,"Dec 22, 2001",,,"None found,","None found,",['Madhouse'],Original,,,,21 min.,PG-13 - Teens 13 or older,6.65,#6187,#9286,"4,465",3,2102,"Dejiko decided to take a vacation and visit her home, Planet Di Gi Charat, together with Puchiko, Gema, and (accidentally) Rabi~en~Rose. However, Piyoko and her aids would not let go this chance to capture her. (Source: ANN)","['Prequel (Special) Di Gi Charat Natsuyasumi Special', '']",Di Gi Charat: Hoshi no Tabi,"Gekijouban Di Gi Charat: Hoshi no Tabi, DiGi Charat Movie: A Trip To The Planet, DiGi Charat Hoshi no Tabi",,['Comedy'],,,,
148,くじらとり,The Whale Hunt,['Movie'],1,Finished Airing,"Oct 1, 2001",,,"None found,","None found,",['Studio Ghibli'],Picture book,"['Adventure', 'Award Winning']",,,16 min.,G - All Ages,6.30,#8265,#9372,"4,330",1,566,"A group of elementary school children play in their classroom, imagining that they are on a boat in the ocean. This fantasy becomes reality, and soon all the students find themselves stranded in the deep blue sea, looking for their own Moby Dick. Some of the kids want to harpoon the whale, others want to take its picture, and many of the kids are afraid and just want to return home. In the end, a gentle Totoro-esque whale shows up and plays with the children until their fantasy ends and they are again back in school. (Source: Nausicaa.net)",[],Kujiratori,Kujira Tori,,,,,,
149,とっとこハム太郎 ハムハムランド大冒険,Hamtaro Movie 1: Ham Ham Land Big Adventure,['Movie'],1,Finished Airing,"Dec 15, 2001",,,['Shogakukan Productions'],"None found,",['TMS Entertainment'],Unknown,"['Adventure', 'Comedy']",,['Kids'],50 min.,PG - Children,6.63,#6346,#10387,"3,143",4,1245,"It's Laura's birthday, and Laura isn't paying much attention to him. Hamtaro then went with the ham-hams to ham ham land. Hamtaro is searching for the magic sunflower seed, but, he will have to battle Maou-hamu for it.",[],Tottoko Hamtarou Movie 1: Ham-Ham Land Daibouken,"Hamtaro the Movie, Hamutarou",,,,,,
150,シャム猫 -ファーストミッション-,,['Movie'],1,Finished Airing,"Oct 6, 2001",,,['Maxell E-Cube'],"None found,",['Buyuu'],['Manga'],,,,1 hr. 30 min.,R - 17+ (violence & profanity),5.70,#11394,#15113,791,0,173,"The first animated version of ""Siamese Cat,"" a classic work by famous Monkey Punch. The government secretly organizes a counter-terrorism eradication unit under the Cabinet Research Office to combat the frequent terrorist crimes in Tokyo in the early 21st century. Jun and Naomi, who work as DJs for a popular radio show, team up under the code name ""Siamese Cats"" to gather information and calm down incidents more quickly than the police or military.",[],The Siamese: First Mission,Siam Neko: First Mission,,['Action'],,,,
151,袋,,['Movie'],1,Finished Airing,"Nov 22, 2001",,,['Konami'],"None found,","None found,",Game,"['Horror', 'Suspense']","['Psychological', 'Video Game']",,3 min.,R+ - Mild Nudity,4.91,#13323,#15662,680,0,320,"Fukuro (Japanese for ""bag"" or ""sack"") is a 3-minute short film from 2001. It features Pyramid Head and a Lying Figure from Silent Hill 2, the Fukuro Lady, and many monsters from early sketches for Silent Hill 2. The film contains disturbing, surreal imagery. Credits go to Masahiro Ito (series art director) for creature design and to Akira Yamaoka (series composer) for the music. It has been published on Art of Silent Hill, Lost Memories: The Art & Music of Silent Hill, and The Silent Hill Experience. (Source: Silent Hill Wiki)",[],Fukuro,"Bag, Sack, Art of Silent Hill",,,,,,
152,麥兜故事,My Life as McDull,['Movie'],1,Finished Airing,"Dec 15, 2001",,,['Bliss Pictures'],"None found,","None found,",Unknown,,,['Kids'],1 hr. 15 min.,G - All Ages,6.25,#8536,#16651,543,1,190,"McDull is not the brightest kid on the block, but he continually tries to do his best and please his mother. Although it seems that he may not be destined for great things in life as his mother wishes, McDull never gives up. The story focuses on several tales about McDull and his childhood. This is told as a narrative reflection of a now adult McDull. These tales muddle up in imaginative uses of Cantonese and heaps of local Hong Kong culture. From tales about a turkey dinner to dreams of following in Lee Lai-shan's footsteps, McDull faces ebbs and flows with his demanding but devoted mother. (Source: Wikipedia)","['Sequel (Movie) McDull: Boluo You Wang Zi', '']",McDull: Gushi,"McDull Movie 1, Mak Dau Goo Si",,['Comedy'],['Anthropomorphic'],,,
153,RUN=DIM 네서스의 반란,,['Movie'],1,Finished Airing,"Nov 10, 2001",,,"None found,","None found,","['Idea Factory', 'Digital Dream Studios']",Game,"['Action', 'Sci-Fi']",,,1 hr. 21 min.,PG-13 - Teens 13 or older,[],#21454,#22604,152,0,,Korean compilation movie of the previously released TV series.,[],Run=Dim: Naeseoseu-ui Banran,"Run=Dim Movie, Reondim: Naeseoseu-ui Banran",,,['Mecha'],,,
154,あずまんが大王（劇場短編）,Azumanga Daioh: The Very Short Movie,['Special'],1,Finished Airing,"Dec 25, 2001",,,['Kadokawa Shoten'],['ADV Films'],['J.C.Staff'],['4-koma manga'],,"['CGDCT', 'Gag Humor', 'School']",,6 min.,PG-13 - Teens 13 or older,7.06,#4115,#3493,"45,831",27,25360,"In this short movie featuring familiar characters from Azumanga Daioh, Osaka is yet again having a strange dream of Chiyo-Chan's pigtails being posessed. As Chiyo-Chan's pigtails bounce out of the window, who knows if young Chiyo will ever be happy again. (Source: ANN)",[],Azumanga Daiou: Gekijou Tanpen,Azumanga Daiou: The Very Short Movie,,['Comedy'],,,,
155,ポケットモンスター クリスタル ～ライコウ 雷の伝説～,Pokémon: The Legend of Thunder!,['TV Special'],1,Finished Airing,"Dec 30, 2001",,,['Shogakukan Productions'],['4Kids Entertainment'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],1 hr. 9 min.,PG - Children,6.83,#5206,#4668,"25,194",7,13653,"Kenta, a Pokemon master in the making, meets up with his childhood friend, Marina, at a Pokemon Center, to see how their skills have developed. Their battle is interrupted by a thunderstorm and the arrival of Bashou and Buson, two Roketto-Dan members using the Crystal System (which attracts Electric-type Pokemon). Their ultimate goal is to, under the guidance of Shiranui-hakase, bring Pokemon back to Sakaki. Kenta and Marina stumble upon this plan, and they try to stop it, but things get more difficult when the legendary Pokemon Raikou is captured. (Source: ANN)",[],Pokemon Crystal: Raikou Ikazuchi no Densetsu,Pocket Monsters Crystal: Raikou - Legend of Thunder,,,,,,
156,i -wish you were here- ～あなたがここにいてほしい～,Zaion: I Wish You Were Here,['TV Special'],4,Finished Airing,"Oct 4, 2001 to Nov 24, 2001",,,"['GDH', 'Media Factory']",['ADV Films'],['Gonzo'],Original,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",,,27 min. per ep.,R - 17+ (violence & profanity),5.97,#10049,#6487,"11,029",14,4100,"In the future, a meteor crashes into Earth and brings with it a virulent form of life. This virus is known as M34 and attacks humans, turning them into vicious monsters. Most of the human population is wiped out, thus government agencies are formed to fight the virus. One of the groups, NOA, inserts nanomachines into the bodies of its soldiers; these machines allow them to transform and fight off the infected. Unfortunately, the virus mutates and becomes too strong for NOA to handle. Now the fate of the world rests in the hands of 16-year-old girl with the power to defeat the virus. (Source: AniDB)",[],I: Wish You Were Here,Anata ga Koko ni Itehoshii,,,,,,
157,まほろまてぃっく 年末スペシャル,,['TV Special'],1,Finished Airing,"Dec 14, 2001",,,"None found,","None found,","['Gainax', 'Shaft']",['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,['Seinen'],24 min.,R+ - Mild Nudity,6.88,#4917,#7851,"6,913",2,2898,Recap episode.,[],Mahoromatic End Year Special,"Mahoromatic Episode 10.5, Mahoromatic Recap, Mahoromatic Special, Mahoromatic: Nenmatsu Special",,,['Military'],,,
158,コロの大さんぽ,Koro's Big Day Out,['Special'],1,Finished Airing,"Oct 1, 2001",,,"None found,","None found,",['Studio Ghibli'],Original,,,,14 min.,G - All Ages,6.56,#6718,#9995,"3,560",1,466,"This is a short film about 15 minutes long, which was shown for a limited time only at the Ghibli Museum. Koro is a puppy owned by a little girl in a small town. One day she leaves the front gate ajar when she goes to school. Koro slips out and wanders the streets of the town. He is picked up by a girl riding a bicycle, but slips away at the level train crossing. He meets a friendly old dog and his kindly owners, while his mistress and her father ride around town putting up ""Lost"" signs on the power poles. Koro eventually falls asleep under a delivery van, whose driver gives him a ride. When he gets near home, Koro smells the familiar neighborhood and leaps out of the truck and into the arms of his delighted mistress.",[],Koro no Dai Sanpo,Koro's big walk,,['Adventure'],['Pets'],,,
159,ぼくの地球を守って 	～金色の時 流されて～,Please Save My Earth: The Passing of the Golden Age,['Special'],1,Finished Airing,"Oct 24, 2001",,,['Victor Entertainment'],"None found,",['Production I.G'],['Manga'],"['Drama', 'Romance', 'Sci-Fi']",,['Shoujo'],29 min.,PG-13 - Teens 13 or older,6.44,#7447,#11854,"2,040",4,484,"Please Save My Earth Music Image Video: The Passing of the Golden Age contains six music videos with footage not seen in the OVA and scenes taken from the manga, as well as a slightly different version of the OVA ending sequence, and the ending credits for the image videos. (Source: Wikipedia) See more info for additional information about these music videos.",[],Boku no Chikyuu wo Mamotte: Kiniro no Toki Nagarete,,,,['Music'],,,
160,クレヨンしんちゃん Specials,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],48 min.,G - All Ages,[],#17451,#15463,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,,['School'],,,
161,ユンカース・カム・ヒア パイロットフィルム,,['Special'],1,Finished Airing,"Dec 21, 2001",,,"None found,",['Bandai Entertainment'],['Triangle Staff'],Novel,,,,3 min.,G - All Ages,6.08,#9518,#16193,601,0,212,The pilot for Junkers Come Here included with the DVD release of the movie. It was produced in 1993.,[],Junkers Come Here Pilot Film,,,['Slice of Life'],,,,
162,それいけ!アンパンマン アンパンマンとちいさなサンタのクリスマス,,['TV Special'],1,Finished Airing,"Dec 21, 2001",,,"None found,","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']","['Anthropomorphic', 'Super Power']",,48 min.,PG - Children,[],#14501,#27961,50,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Anpanman to Chiisana Santa no Christmas,,,,,,,
