,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographic,German,Demographics
54,Hikarian: Great Railroad Protector,超特急ヒカリアン,Super Express Hikarian,,,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",,7 min. per ep.,G - All Ages,6.15,#9077,#14330,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,,,['Kids'],,
55,,ビックリマン2000,,,,['TV'],68,Finished Airing,"Nov 1, 1999 to Feb 22, 2001",['Fall 1999'],Mondays at 18:30 (JST),['Studio Comet'],"None found,","None found,",Unknown,"['Adventure', 'Fantasy']",,24 min. per ep.,G - All Ages,5.93,#10269,#14368,974,0,400,More adventures of Bikkuriman.,"['Prequel (TV) Super Bikkuriman', 'Sequel (TV) Happy☆Lucky Bikkuriman']",Bikkuriman 2000,,,['Kids'],,
56,,蓝猫淘气3000问,3000 Whys Of Blue Cat,,,['TV'],3057,Finished Airing,"Oct 8, 1999 to Aug 2001",['Fall 1999'],Not scheduled once per week,['Beijing Sunchime Happy Culture Company'],"None found,","None found,",Original,"['Adventure', 'Comedy']",,11 min. per ep.,PG - Children,6.05,#9678,#14603,918,0,228,"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble. (Source: Wikipedia)",[],Lan Mao,,,,,
57,"Moonlight Mask, The Familiar Moonlight Mask-kun, Little Moonlight Rider",ごぞんじ！月光仮面くん,,,,['TV'],25,Finished Airing,"Oct 3, 1999 to Mar 26, 2000",['Fall 1999'],Unknown,['TV Tokyo'],"None found,","['Actas', 'TMS Entertainment']",Other,"['Comedy', 'Sci-Fi']",['Parody'],25 min. per ep.,G - All Ages,6.18,#8928,#14685,898,1,166,"Gekkou Kamen is retired on the moon, so his trusty motorbike returns to Earth to find a new hero to take over the job of defending the Earth from alien invaders.",[],Gozonji! Gekkou Kamen-kun,,,,,
58,,ぐるぐるタウン　はなまるくん,,La Pandilla de Hanamaru,,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,,['Anthropomorphic'],25 min. per ep.,G - All Ages,6.08,#9516,#16259,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,['Comedy'],,['Kids'],,
59,,날아라 슈퍼보드,The Flying Superboard,,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,22 min. per ep.,PG - Children,[],#20601,#16829,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,
60,Susie-chan & Marvy,スージーちゃんとマービー,Little Susie and Marvy,,,['TV'],104,Finished Airing,"Apr 5, 1999 to Feb 3, 2000",['Spring 1999'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Unknown,,,15 min. per ep.,None,[],#14649,#17684,445,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Susie-chan to Marvy,['Comedy'],,['Kids'],,
61,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,['Music'],3 min. per ep.,G - All Ages,[],#17566,#18893,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,['Kids'],,
62,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,1 min. per ep.,PG - Children,[],#15990,#18995,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,['Kids'],,
63,,마일로의 대모험,Milo's Bug Quest,,,['TV'],26,Finished Airing,"Nov 26, 1999 to May 12, 2000",['Fall 1999'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,[],#19964,#22450,156,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mailloui Daemoheom,,,['Kids'],,
64,,ストレイシープの大冒険,The Adventure of Stray Sheep,,,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,5 min. per ep.,G - All Ages,[],#14611,#22481,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,['Adventure'],,['Kids'],,
65,Moopon,ムーぽん,,,,['TV'],52,Finished Airing,"Apr 3, 1999 to Mar 25, 2000",['Spring 1999'],Sundays at Unknown,"None found,","None found,","None found,",Unknown,,,55 sec. per ep.,PG - Children,[],#20501,#24772,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Muupon 2nd Season', '']",Muupon,['Comedy'],,['Kids'],,
66,,アノン戦隊レンジャー5,,,,['ONA'],1,Finished Airing,"Jan 26, 2000",,,"None found,","None found,",['Anon Pictures'],Original,,,2 min.,G - All Ages,4.67,#13548,#17334,475,0,233,Anon Pictures' parody of Super Sentai opening sequences.,[],Anon Sentai Ranger 5,,"['Music', 'Parody', 'Super Power']",,,
67,"Legend of the Galactic Heroes Gaiden: Spiral Labyrinth, LoGH Gaiden: Spiral Labyrinth",銀河英雄伝説外伝 螺旋迷宮,Legend of the Galactic Heroes Gaiden (1999),,,['OVA'],28,Finished Airing,"Dec 24, 1999 to Jul 21, 2000",,,"['Tokuma Shoten', 'Tokuma Japan', 'Wright Staff']",['Sentai Filmworks'],['K-Factory'],Novel,"['Action', 'Drama', 'Sci-Fi']",,26 min. per ep.,R - 17+ (violence & profanity),8.06,#581,#5015,"21,291",27,7864,"Ginga Eiyuu Densetsu Gaiden (1999) is the second of two OVA adaptations of side stories from the Ginga Eiyuu Densetsu novel series. This second adaptation follows the achievements of Yang Wen-li of the Free Planets Alliance before the fateful Battle of Astarte, and continues the tales of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire. Spiral Labyrinth Yang is propelled to the spotlight after his famous evacuation of civilians from El Facil. Following an unofficial double promotion and a flurry of media attention, he chronicles his research of the Year 730 Mafia—a close-knit group of Alliance military officers centered around the famed tactician Bruce Ashbey. He investigates a startling claim by Ashbey's deceased widow that may have enormous political ramifications: that the great war hero was not killed in action but murdered. The Mutineer Reinhard and Kircheis are posted on the destroyer Hameln II, docked at Iserlohn Fortress. After gaining the respect of the crew, Reinhard's leadership is tested when the captain is severely wounded and passes command authority to Reinhard, the next-highest ranking officer on deck. The Duelist While Reinhard and Kircheis are working in the Imperial capital Odin, Reinhard learns of a mining rights dispute involving Dorothea von Schaffhausen, a friend of his sister Annerose von Grünewald. Upon hearing that Count Herxheimer intends to settle the matter with a duel, Reinhard volunteers to represent the Schaffhausen family. The Retriever After falling out of favor with the nobility, Count Herxheimer is trying to escape to the Free Planets Alliance with a stolen Seffle particle generator prototype. Reinhard is tasked with retrieving both the prototype and the defector, but is only assigned the cruiser Hässliche Entlein due to the confidential nature of the mission. The Third Battle of Tiamat To commemorate the 30th year of the reign of Kaiser Friedrich IV, the Empire announces a large-scale military campaign against the Free Planets Alliance. In the ensuing clash between the Imperial expeditionary force and three Alliance fleets, Reinhard's timely intervention shapes the tides of war. [Written by MAL Rewrite]","['Sequel (Movie) Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Adaptation (Novel) Ginga Eiyuu Densetsu Gaiden']",Ginga Eiyuu Densetsu Gaiden (1999),,"['Adult Cast', 'Military', 'Space']",,,
68,"Brave King GaoGaiGar Final, King of Braves GaoGaiGar Final, Yuusha Ou GaoGaiGar Final, Yuusha-Oh GaoGaiGar Final",勇者王ガオガイガーFINAL,GaoGaiGar Final,,,['OVA'],8,Finished Airing,"Jan 21, 2000 to Mar 21, 2003",,,"None found,",['Discotek Media'],['Sunrise'],Original,"['Adventure', 'Drama', 'Sci-Fi']",,32 min. per ep.,PG-13 - Teens 13 or older,8.09,#533,#6401,"11,366",193,4898,"Following Gutsy Galaxy Guard's victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG—with Guy Shishio and the newly-constructed GaoFighGar—team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur's ranks is Renais Cardiff Shishioh, a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG's bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it's too late. (Source: ANN, edited)","['Prequel (TV) Yuusha-Ou GaoGaiGar', '']",Yuusha-Ou GaoGaiGar Final,,"['Mecha', 'Super Power']",,,
69,The Clockwork Ones,からくりの君,Puppet Princess,,,['OVA'],1,Finished Airing,"Mar 24, 2000",,,['TOHO'],['Media Blasters'],['TMS Entertainment'],['Manga'],"['Action', 'Comedy', 'Fantasy', 'Horror']",,41 min.,R+ - Mild Nudity,6.49,#7109,#6570,"10,674",19,3999,"In an obscure corner of feudal Japan, a clumsy young girl carrying a massive box searches for a legendary ninja. That girl is Rangiku Ayawatari—the sole survivor of the Ayuwatari clan—and she seeks revenge against Lord Sadayoshi Karimata, the man who slaughtered her family and stole the secrets of her father's prized puppet collection. However, in place of the legendary ninja, Rangiku finds Yasaburou Manajiri, a vagabond who is being pursued by ""deathless ninjas""—strange, fearless warriors who can survive seemingly fatal blows. Upon discovering that they share a common enemy, the pair team up to defeat the cruel lord and rid the world of strange puppets that conceal a horrible secret. [Written by MAL Rewrite]","['Adaptation (Manga) Yoru no Uta', '']",Karakuri no Kimi,,"['Historical', 'Martial Arts', 'Samurai']",['Shounen'],,
70,Black Jack: The Child Who Came from the Sky,ブラック・ジャック 空からきた子ども,,,,['OVA'],1,Finished Airing,"Mar 22, 2000",,,"None found,","None found,",['Tezuka Productions'],['Manga'],,['Medical'],22 min.,PG-13 - Teens 13 or older,6.72,#5753,#9698,"3,909",2,1401,"An army plane defects from the U-ran (Uranium) Union and lands in Black Jack's garden carrying a family. Their purpose is to have their son, who is suffering from an incurable disease, treated by Black Jack. But it is beyond even BJ's ability to cure the disease.","['Adaptation (Manga) Black Jack', '']",Black Jack: Sora kara Kita Kodomo,['Drama'],,['Shounen'],,
71,"Angelique: White Wing Memoirs, Angelique OVA 1",アンジェリーク　～白い翼のメモワール～,,,,['OVA'],2,Finished Airing,"Mar 25, 2000 to Jun 27, 2000",,,['Koei'],"None found,",['Yumeta Company'],Visual novel,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",,30 min. per ep.,PG-13 - Teens 13 or older,5.75,#11148,#9798,"3,801",4,1330,"Angelique... ...started as a dating simulation game for girls back in 1994 on the Super Famicom. The player took on the role of Angelique Limoges, an ordinary schoolgirl summoned to the Sanctuary of the Queen of the Cosmos. She had been chosen to compete in a contest to determine the next Queen. Angelique was clumsy and foolish in comparison to her rival, Rosalia de Cartagena, a refined girl who had been training since birth to compete in the Queen Examination. What was this Examination, anyway? The girls had to use the powers, or Sacrea, of the Queen's nine Guardians to cultivate a barren continent. The girl whose population reached the center island connecting the two continents would become the next Queen. But with the nine handsome Guardians around, it was hard to decide between power or love... Made up of 4 OVAs, each of which has multiple parts. (Source: Neo-Romance)","['Prequel (OVA) Angelique', 'Sequel (OVA) Angelique: Seichi yori Ai wo Komete', 'Sequel (OVA) Angelique: Twin Collection', '']",Angelique: Shiroi Tsubasa no Memoire,,,['Shoujo'],,
72,,ラヴ ウェーブ,Luv Wave,,,['OVA'],3,Finished Airing,"Mar 31, 2000 to Oct 27, 2000",,,"['Pink Pineapple', 'Discovery']",['NuTech Digital'],['Triple X'],Visual novel,"['Action', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Hentai']",['Detective'],27 min. per ep.,Rx - Hentai,5.87,N/A,#9944,"3,624",3,1179,"Takikawa Kanako, a secret agent that specialize in information and assassination. He has a robot girl for assistant. So far, they have 100% success rate, but their new target doesn't seem to want to stay dead. While finding out what's going on, they have to deal with a world network stopping virus and a strange new drug. Can he remember and how much does she love him? (Source: AnimeNfo)",[],Luv Wave,,,,,
73,,鬼点睛,,,Oni Tensei,['OVA'],4,Finished Airing,"Mar 25, 2000 to Sep 25, 2000",,,['Green Bunny'],['Media Blasters'],['AIC'],Original,"['Horror', 'Supernatural', 'Hentai']",,24 min. per ep.,Rx - Hentai,6.09,N/A,#9978,"3,578",4,1097,"There is an ancient legend that says if a tattoo is drawn to perfection, it will come to life. Reiko Kure is a female detective with a strange massacre on her hands. Some kind of huge animal savagely murdered thirteen members of the mafia, and only the quiet Ema Nozomi was left at the scene. Ema is taken into protective custody. However, every man left with her is killed, and every woman left with her is raped. There are no clues, except the innocent Ema's strange tattoo, perfectly depicting a demon. (Source: ANN)",[],Oni-Tensei,,,,,
74,,ファーストＫｉｓｓ☆物語,First Kiss Story,,,['OVA'],1,Finished Airing,"Feb 14, 2000",,,['Broccoli'],"None found,",['Garyuu Studio'],Visual novel,"['Drama', 'Romance']",,31 min.,PG-13 - Teens 13 or older,4.87,#13372,#10074,"3,471",2,1746,"Moments before her upperclassman, Yoshihiko, left for college, Kana Orikura finally built up the courage to confess her love to him. Sharing their first kiss, the two decided to enter a relationship—a dream come true for Kana. Since that first moment, however, Kana and Yoshihiko have struggled with their relationship, resulting in Kana feeling lonely and depressed. But things take an unexpected turn when Shougo Hayakawa—the young and attractive teacher assigned to Kana's class—starts living in her house! Will Kana betray Yoshihiko for this new contender, or remain loyal to the man who took her first kiss? [Written by MAL Rewrite]",[],First Kiss Monogatari,,,,,
75,,脅迫～終わらない明日～,The Blackmail: Tomorrow Never Ends,,,['OVA'],3,Finished Airing,"Jan 14, 2000 to Jun 23, 2000",,,['Pink Pineapple'],['NuTech Digital'],['Production D.M.H'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.76,N/A,#10168,"3,369",5,1184,Yumiko is a school girl wanting revenge for her best friend recording her being gang-raped. So now she aims to rape every single friend her former best friend ever had. (Source: ANN),"['Adaptation (Light Novel) Kyouhaku: Owaranai Ashita', '']",Kyouhaku: Owaranai Ashita,['Hentai'],,,,
76,,緊縛の館 〜略奪〜,Bondage Mansion,,,['OVA'],2,Finished Airing,"Feb 18, 2000 to May 18, 2000",,,['Digital Works'],['Nozomi Entertainment'],['Y.O.U.C'],Visual novel,,,30 min. per ep.,Rx - Hentai,5.35,N/A,#10894,"2,714",3,915,"Yukio Mimura and Reika Uehara live in there family's mansion peacefully. They have feelings for each other and are sure that they will live happy together. One night, Hayato Mimura, their cousin, arrives saying he wants them out of the house. Yukio doesn't agree with this and begins to think of any way they could settle this. Hayate comes up with a contest that their fathers did to win the house before them. That contest is to see who can be the first one to break Reika. Whoever breaks her, will be the winner and keeper of the house. (Source: ANN)","['Adaptation (Light Novel) Ryakudatsu: Kinbaku no Yakata Kanketsu-hen', '']",Kinbaku no Yakata: Ryakudatsu,['Hentai'],,,,
77,,淫夢~生贄の宴~,Inmu: Feast of Victims,,,['OVA'],2,Finished Airing,"Jan 21, 2000 to Apr 28, 2000",,,['Pink Pineapple'],['NuTech Digital'],['PP Project'],Original,"['Supernatural', 'Hentai']",['Mythology'],28 min. per ep.,Rx - Hentai,5.57,N/A,#11055,"2,586",5,769,"The first night-Yuumi is raped by a sexual molester on her way to school. She cant cry out. He violently molests her over and over again. Somehow she escapes from him but ever since then she feels as though someone is watching her all the time in the toilet, in the shower, wherever she is, someone's eyes follow her. The second night- The haughty woman fashion designer blames a subordinate who made a mistake. Soon she becomes imprisoned, totally nude, inside of the public telephone booth. But it was just the beginning of the revenge Third night (Inside of the water) Izumi Hinagawa is the star of the swimming club to who all the aspire. Aki Sakuragi was one of them. In the shower room, Izumi found a white panty inside a plastic bah that someone had forgotten. She confirms that it belongs to Aki. Ixumi slowly opens a panty and presses it to her nose. She said ""Aki"". The truth is Izumi is a lesbian and has feelings for Aki. Then, the next day, Izumi approaches Aki at poolside. From this moment, they are guided into the sexual world. Dear angels you shall experience the pleasure of paradise. Fourth night (The Box) when Aoi wakes up she is in the dark and there is a wall of concrete on all sides. There is only a bed frame, the light In the ceiling and the iron door. Aoi is startled when the door opens and then locked. Then, men rape Aoi by turns. She is humiliated and tries to remember, ""How long have I been here?"" The reality is that her state between the real and fantasy began when she opened the little box that she bought from the strange antique shop. (Source: AnimeOnDVD)","['Sequel (OVA) Inmu 2', '']",Inmu: Ikenie no Utage,,,,,
78,Teacher's Pet (2),ナチュラル Another,Teacher's Pet,,,['OVA'],2,Finished Airing,"Feb 25, 2000 to Jun 25, 2000",,,['Green Bunny'],['Kitty Media'],"['Arms', 'Triple X']",Visual novel,,,27 min. per ep.,Rx - Hentai,5.98,N/A,#11161,"2,501",2,843,The story is about a young girl who falls in love with her teacher who was formally her sister's boyfriend. Although tension builds as he falls for another another female teacher and rumors of him and the student. (Source: ANN),"['Prequel (OVA) Natural', 'Adaptation (Light Novel) Natural: Another Story']",Natural: Another,['Hentai'],,,,
79,"Dokyusei 2 Special, Classmates 2 Special: Graduation, Graduate",同級生２ Special　卒業生,,,,['OVA'],3,Finished Airing,"Sep 10, 1999 to Mar 10, 2000",,,['Pink Pineapple'],"None found,","None found,",Unknown,,,28 min. per ep.,R+ - Mild Nudity,5.10,#13096,#11648,"2,171",2,632,Based on the game by ELF.,"['Prequel (OVA) Doukyuusei 2', '']",Doukyuusei 2 Special: Sotsugyousei,['Ecchi'],"['Harem', 'School']",,,
80,Kaishun,回春,Sacrilege,,,['OVA'],2,Finished Airing,"Jan 28, 2000 to Feb 25, 2000",,,['Mediabank'],['Central Park Media'],['Studio Kyuuma'],Unknown,,,27 min. per ep.,Rx - Hentai,5.35,N/A,#12021,"1,945",3,604,A carnal cult uses illicit drugs to transform men into sex-crazed monsters. Police partners and lesbian lovers Atsuko and Kei are investigating a shady drug deal when they stumble upon the shocking truth. Can our frisky friends interrupt their love-play long enough to cuff the criminals?,[],Rejuvenation,['Hentai'],,,,
81,,サンゴの海と王子,The Prince and the Coral Sea,,,['OVA'],1,Finished Airing,Feb 2000,,,['Shinano Kikaku'],"None found,",['Toei Animation'],Original,,,31 min.,PG-13 - Teens 13 or older,5.36,#12531,#14840,858,0,295,"On the island of Okinawa, driven by his kindhearted nature, a boy named Ray determines to stop the destruction of the island's natural forests and coral reef, no matter what he has to give. What will he give to stop a tidal wave from killing the island's people?",[],Sango no Umi to Ouji,['Fantasy'],,,,
82,,それいけ! アンパンマン おうたとてあそび たのしいね,,,,['OVA'],2,Finished Airing,"Mar 20, 2000 to Nov 22, 2000",,,['Tokyo Movie Shinsha'],"None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,41 min. per ep.,PG - Children,[],#14550,#17953,425,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,,,['Kids'],,
83,One Piece: The Movie,ONE PIECE,One Piece: The Movie,One Piece: La Película,One Piece: Le Film,['Movie'],1,Finished Airing,"Mar 4, 2000",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,50 min.,PG-13 - Teens 13 or older,7.09,#3940,#1682,"145,722",425,82711,"Many years ago, Woonan, a legendary pirate, plundered one-third of the world's gold and stashed it away on his secret island shrouded in mystery. In the present, Luffy and the rest of the Straw Hats continue on their journey to the Grand Line. They are robbed by a group of bandits. Led by their captain, El Drago, these same bandits are headed towards Woonan's famed island. Even though the Straw Hat Pirates must now recover their stolen treasure, they have gained another objective: to discover the lost island, its treasures, and learn about the legend of Woonan. [Written by MAL Rewrite]",[],One Piece Movie 01,,,['Shounen'],One Piece: Der Film,
84,"Digimon: Our War Game!, Digimon: Children's War Game!",デジモンアドベンチャー ぼくらのウォーゲーム！,Digimon: The Movie,,Digimon: Le Film,['Movie'],1,Finished Airing,"Mar 4, 2000",,,"None found,","['Discotek Media', 'Saban Entertainment']",['Toei Animation'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,41 min.,PG - Children,7.80,#1031,#2514,"82,121",375,50821,"This movie takes place after the Adventure series ends. It begins when a new Digimon Egg is found on the internet, and manages to penetrate into almost every computer system in Japan. When the egg hatches, it's identified as a new kind of Digimon, a Virus-type. It sustains itself by eating data from various system, and starts wreaking havok in Japan. As it consumes more and more data, it continues to evolve. And Taichi and Koushiro decide it's time to stop it. They're off, sending Agumon and Tentomon through the internet to fight off this new enemy. But, with the Virus controlling systems like the American military, all too soon, this digital menace may become all too real. Calling in the help of Yamato and Takeru, they hope that they can stop what's already begun, and maybe save this world a second time. (Source: AniDB)","['Prequel (TV) Digimon Adventure', 'Sequel (TV) Digimon Adventure 02']",Digimon Adventure: Bokura no War Game!,,,['Kids'],Digimon: Der Film,
85,Doraemon: Nobita and the Legend of the Sun King,映画 ドラえもん のび太の太陽王伝説,Doraemon the Movie: Nobita's the Legend of the Sun King,Doraemon Película 21: Doraemon y el Imperio Maya,,['Movie'],1,Finished Airing,"Mar 11, 2000",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",['Historical'],1 hr. 31 min.,PG - Children,7.38,#2446,#6159,"12,517",9,8065,"Doraemon and its friends open a hole in the time and they're travel to the Country of Mayana, a lost Mayan civilization in the jungle. There, Nobita will know its perfect double, prince Thio, heir to the throne. Both will decide to interchange papers to try to save to the Country of Mayana of the claws of the infernal Ledina witch and her evil forces. (Source: ANN)","['Adaptation (Manga) Daichouhen Doraemon', '']",Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,,,,,"['Kids', 'Shounen']"
86,,ドラえもん おばあちゃんの思い出,Doraemon: A Grandmother's Recollections,Doraemon. Recuerdos de la Abuela,,['Movie'],1,Finished Airing,"Mar 4, 2000",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,"['Award Winning', 'Comedy', 'Fantasy', 'Sci-Fi']",,27 min.,PG - Children,7.37,#2491,#9494,"4,158",5,2283,"Nobita misses his granny that died a few years ago, so Doraemon takes Nobita to the past to see his grandmother one more time. But they face through a lot of things such as the younger selves of Nobita and his friends, and young Nobita's mother that doesn't recognize Nobita or Doraemon. (Source: Wikipedia)",[],Doraemon: Obaachan no Omoide,,,,,"['Kids', 'Shounen']"
87,Black Jack: Tezuka World Movie,ブラック・ジャック おばあちゃん,Black Jack: Grandma,,,['Movie'],1,Finished Airing,"Mar 11, 2000",,,['Beijing Sharaku Art'],"None found,","None found,",['Manga'],,['Medical'],10 min.,PG-13 - Teens 13 or older,6.37,#7880,#10674,"2,904",1,975,"These original short animated films are shown in the ""300 Inch Theater"" at the Tezuka Osamu World in the Kyoto Station Bldg, as well as a two-picture show including animated films from among Tezuka Osamu's major Manga, and one focuses on historic episodes of Kyoto. In this theatre, the Phoenix plays the role of storyteller, introducing two films. The Phoenix chooses a story entitled ""Old Woman"" (""Oba-chan"") from numerous episodes of ""Black Jack"" to discuss the theme of how much love can grow in this short lifetime. In the story, there is a seemingly greedy old woman who is always asking her daughter-in-law for money, and her son and his wife become fed up with the old woman's behaviour. Naturally, there are constant quarrels in the family, and their quiet ordinary life seems to have been lost. After accidentally coming to know the family, Black Jack learns that the old woman had her young son, who was dying at the time, treated and saved by a noted doctor who claimed a great amount of money. She has, in fact, been paying for the treatment over some tens of years. Because of her great love for her son, the old woman devoted her entire life to paying for the treatment. Not aware of his mother's act, the son feels helplessly hammered and squeezed by his mother and his wife. But when he finally comes to know the truth, he is deeply impressed with the love of his mother, who valued her son's life more than her own. Black Jack asks him if he could love her just as much as she loved him. Explaining that only love valued more highly than life can live forever, the Phoenix then tells a story about the move of the capital to Heian, which was a great national project and an attempt to infuse a city with eternal life. (Source: Official site)","['Adaptation (Manga) Black Jack', '']",Black Jack: Obaa-chan,,,['Shounen'],,
88,alice,Ａ・ＬＩ・ＣＥ,A.LI.CE,,,['Movie'],1,Finished Airing,"Feb 5, 2000",,,['GAGA'],['Arts Magic'],"None found,",Original,,,1 hr. 25 min.,PG-13 - Teens 13 or older,4.66,#13562,#11059,"2,582",4,798,"In the year 2000, Alice Hayashi wins a trip to the moon in a sweepstake. However, when her shuttle launches, something goes terribly wrong, and the next thing she knows, she has crashed somewhere in a frozen wasteland. Before she can get her bearings, strange soldiers begin to attack her, forcing her to flee. Eventually, Alice meets a young man called Yuan, who tells her that she is in Lapland in the year 2030. The soldiers pursuing her belong to Nero, an enigmatic leader who controls the world through his supercomputer. He is also responsible for reducing the Earth's population by over seven billion. Convinced that Nero has something to do with her time jump, Alice, Yuan, and the android maid Maria journey to Kingdom, the shadowy fortress that Nero rules from. [Written by MAL Rewrite]","['Adaptation (Manga) A.LI.CE', '']",A.LI.CE,['Sci-Fi'],,,,
89,The Doraemons: Dokidoki Wildcat Engine,ザ☆ドラえもんズ ドキドキ機関車大爆走！,,,,['Movie'],1,Finished Airing,"Mar 11, 2000",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,17 min.,PG - Children,6.50,#7048,#11504,"2,263",0,1076,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],The☆Doraemons: Dokidoki Kikansha Daibakusou!,,,,,"['Kids', 'Shounen']"
90,,ジャングル大帝,,,,['Movie'],1,Finished Airing,"Mar 18, 2000",,,['Beijing Sharaku Art'],"None found,","None found,",['Manga'],"['Adventure', 'Drama']",,9 min.,G - All Ages,6.08,#9517,#14214,"1,021",2,366,This is one of a number of original animated short films made for viewing at Tezuka Osamu World's Tezuka Osamu Animation Theater in Kyoto. (Source: ANN),[],Jungle Taitei (2000),,,,,
91,,本能寺の変,,,,['Movie'],1,Finished Airing,"Mar 18, 2000",,,['Tezuka Productions'],"None found,","None found,",Unknown,,,6 min.,PG-13 - Teens 13 or older,[],#18670,#20299,271,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Jungle Taitei (2000)', '']",Honnouji no Hen,,"['Historical', 'Samurai']",,,
