,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,Genre,Demographics
61,"Takoyaki Mantoman, Takoyaki Mantman",たこやきマントマン,Takoyaki Capeman,,['TV'],77,Finished Airing,"Apr 4, 1998 to Sep 5, 1999",['Spring 1998'],Unknown,['Youmex'],"None found,",['Pierrot'],Picture book,"['Comedy', 'Sci-Fi']",,,24 min. per ep.,PG - Children,6.12,#9287,#15622,686,2,152,"In order to protect the earth from the aliens, the god of Takoyaki created the five warriors of justice, Takoyaki Mantle Man. They risk their lives for justice. Takoyaki Mantle Man has round face, and wear a white cape and octopus belt as their symbol. Red is a leader whose special attack is Pickled Ginger Clash. Green is an energetic and hasty boy whose special attack is Green Onion Nunchaku. Pink is a precocious girl whose special attack is Okaka Flash. Blue is a sweet crybaby whose special attack is Seaweed Buster. Yellow is a cheerful boy whose special attack is Tenkasu Beam. Takoyaki Mantle Man is cute and strong heroic characters, friendly to children. Their enemies are too silly to hate. It is a very lively and amusing story. (Source: ANN)",[],Takoyaki Mant-Man,,,,,
62,Flower Angel Ten-Ten,花さか天使テンテンくん,,,['TV'],43,Finished Airing,"Oct 10, 1998 to Sep 25, 1999",['Fall 1998'],Unknown,"None found,","None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,['Shounen'],25 min. per ep.,G - All Ages,[],#18417,#15889,645,1,,A foolish clumsy angel came to the human world to help a very unlucky boy. But more accidents are then created...,"['Adaptation (Manga) Hanasaka Tenshi Tenten-kun', '']",Hanasaka Tenshi Tenten-kun,,,,,
63,,날아라 슈퍼보드,The Flying Superboard,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20602,#16832,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,
64,,ヨシモトムチッ子物語,Yoshimoto Insect Stories,,['TV'],47,Finished Airing,"Oct 26, 1998 to Nov 5, 1999",['Fall 1998'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Shin-Ei Animation'],Unknown,,,,40 min. per ep.,PG-13 - Teens 13 or older,[],#16113,#17876,431,1,,A children's series about the daily lives of funny insects. (Source: AniDB),[],Yoshimoto Muchikko Monogatari,,,,['Comedy'],
65,,ストレイシープの大冒険,The Adventure of Stray Sheep,,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],5 min. per ep.,G - All Ages,[],#14612,#22487,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,,,['Adventure'],
66,"Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence",るろうに剣心―明治剣客浪漫譚―追憶編,Samurai X: Trust and Betrayal,Kenshin Le Vagabond: Le Chapitre de la Mémoire,['OVA'],4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,['Aniplex'],"['ADV Films', 'Aniplex of America']",['Studio Deen'],['Manga'],"['Action', 'Drama', 'Romance']",,['Shounen'],29 min. per ep.,R - 17+ (violence & profanity),8.70,#62,#914,"283,628","6,353",140996,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions. [Written by MAL Rewrite]","['Sequel (TV) Rurouni Kenshin: Meiji Kenkaku Romantan', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan']",Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Adult Cast', 'Historical', 'Samurai']",Rurouni Kenshin Trust and Betrayal,"Kenshin: El Guerrero Samurai  ""Recuerdos""",,
67,Kidou Senshi Gundam: Dai 08 MS Shotai,機動戦士ガンダム 第08MS小隊,Mobile Suit Gundam: The 08th MS Team,,['OVA'],12,Finished Airing,"Jan 25, 1996 to Jul 25, 1999",,,['Atelier Musa'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,8.00,#671,#2391,"88,717","1,159",48851,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers. As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor. [Written by MAL Rewrite]",[],Kidou Senshi Gundam: Dai 08 MS Shoutai,"['Mecha', 'Military']",,,,
68,,ＡＩＫａ,Agent AIKa,,['OVA'],7,Finished Airing,"Apr 25, 1997 to Apr 25, 1999",,,['Bandai Visual'],"['Bandai Entertainment', 'Central Park Media']",['Studio Fantasia'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",,,27 min. per ep.,R+ - Mild Nudity,5.95,#10166,#3819,"38,836",74,15322,"A catastrophic earthquake has left Tokyo, and most of the Earth for that matter, under the sea. Aika is a salvager who retrieves various remains from the watery ruins. When Aika accepts the dangerous mission of locating and obtaining the mysterious Lagu, she discovers that she's not the only one after it.","['Prequel (OVA) AIKa Zero', '']",AIKa,,Agent AIKa,,,
69,Harlock Saga: The Ring of the Nibelung - The Rhein Gold,ハーロック・サーガ ニーベルングの指環,Harlock Saga,Harlock saga 'L'anneau des nibelunghen',['OVA'],6,Finished Airing,"Jan 25, 1999 to Nov 25, 1999",,,"['Bandai Visual', 'Avex Entertainment', '81 Produce']",['Central Park Media'],"['Studio Z5', 'Studio March']",['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Space'],['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),6.63,#6306,#7742,"7,163",6,2789,Captain Herlock is drawn into a saga of intergalactic proportions when the son of a deceased comrade unwittingly forges the Ring of the Niebelung. Evil forces gather to wage war against the last remaining superpowers of the galaxy led by a demented outcast. Herlock must counter the amassed armadas that threaten the last gods and recover the ring before Paradise is lost. (Source: ANN),"['Prequel (TV) Uchuu Kaizoku Captain Herlock', 'Sequel (OVA) Maetel Legend', 'Adaptation (Manga) Nibelung no Yubiwa', '']",Herlock Saga: Nibelung no Yubiwa,,Harlock Saga: Der Ring des Nibelungen,Harlock Saga: El Anillo de los Nibelungos,,
70,,てなもんやボイジャーズ,,,['OVA'],4,Finished Airing,"Jun 25, 1999 to Dec 18, 1999",,,['Bandai Visual'],['Bandai Entertainment'],['Pierrot'],Original,"['Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",['Mecha'],,28 min. per ep.,PG-13 - Teens 13 or older,6.25,#8549,#8276,"6,061",7,2052,"Paraila was an agent for a war organization in the space, but suddenly the supreme court of planets accused her of betrayal and she was forced to be a fugitive to escape from jail. Now she forms a team with a clueless school teacher, a bazooka lover girl and Paraila's former sidekick. They will battle against Paraila's enemies, and try to go to earth to escape from space justice. (Source: ANN)",[],Tenamonya Voyagers,,,,,
71,"Gensomaden Saiyuki OVA, Gensomaden Saiyuki Premium, Saiyuki Premium",最遊記,Saiyuki,,['OVA'],2,Finished Airing,"Apr 23, 1999 to Aug 27, 1999",,,"None found,","None found,",['Tokyo Kids'],['Manga'],"['Adventure', 'Supernatural']",['Mythology'],['Shounen'],30 min. per ep.,PG-13 - Teens 13 or older,7.00,#4388,#8520,"5,703",10,2028,"The story of Sanzo and his three companions in their quest to the west, to stop the resurrection of Gyuumao. On the way they are fighting youkai, getting into trouble and helping the townspeople.",[],Saiyuuki (OVA),,,,,
72,Yuno,YU-NO,,,['OVA'],4,Finished Airing,"Oct 23, 1998 to Sep 24, 1999",,,['Pink Pineapple'],['NuTech Digital'],['PP Project'],Visual novel,"['Sci-Fi', 'Hentai']",,,28 min. per ep.,Rx - Hentai,4.92,N/A,#9048,"4,813",4,1242,"Takuya's father died during an accident while he was doing research. Worried about his young stepmother, Ayumi, Takuya follows her to Ken point. Watching her and her best friend, Mitsuki, from behind a rock, a sudden flash of light turns into an unearthly beautiful woman. The mysterious woman slips a ring on his finger, and Takuya's travels into a parallel world begins. This ring is the key between Takuya and his different realities. (Source: AniDB)",[],YU-NO,,,,,
73,Tokimemo OVA,ときめきメモリアル 〜forever with you〜,,,['OVA'],2,Finished Airing,"Jun 17, 1999 to Oct 8, 1999",,,"None found,","None found,",['Pierrot'],Visual novel,"['Drama', 'Romance']",['School'],,41 min. per ep.,PG-13 - Teens 13 or older,6.05,#9654,#9860,"3,733",2,1397,"Tokimeki Memorial brings together the twelve young girls from Kirameki High School, but revolves around the main girl, Fujisaki Shiori. The story starts at the beginning of the third school year, which is the last year before the main character can choose a girl and date her at the graduation. (Souce: AnimeNfo)",[],Tokimeki Memorial: Forever With You,,,,,
74,Melty Lancer: The Animation,メルティランサー,,,['OVA'],6,Finished Airing,"May 25, 1999 to May 25, 2000",,,"None found,",['Bandai Entertainment'],['Gonzo'],Game,"['Adventure', 'Comedy', 'Sci-Fi']",['Space'],,28 min. per ep.,PG-13 - Teens 13 or older,5.85,#10680,#10451,"3,095",6,1204,"Meltylancer is a Galaxy Police Organization unit comprised by six girls, all of which who have their own special skills and talents. A year has passed since the unit's disbandment, but a new threat leaves the GPO no choice but to recall all the members. With a new commander and a new aide, Meltylancer is deployed once again. (Source: ANN)",[],Melty Lancer,,,,,
75,,サムライスピリッツ2 アスラ斬魔伝,Samurai Spirits 2,,['OVA'],2,Finished Airing,"Jun 25, 1999 to Sep 30, 1999",,,"None found,","None found,",['Ajia-do'],Game,"['Action', 'Fantasy']",,,30 min. per ep.,R - 17+ (violence & profanity),6.06,#9625,#10513,"3,039",2,1365,"One hundred years after their deaths at the hands of a former colleage, six legendary holy warriors are reborn to seek justice against the teammate who betrayed them into the hands of an evil god. Based upon one of the most popular video games of all time, Samurai Shodown is a sprawling feature-length saga of reincarnation and revenge, featuring some of the most spectacular battle sequences ever animated! Join Charlotte, Wan Fu, Nakoruru, Galford and Tamtam as they search the feudal province of Edo questing for their lost comrade, Haohmaru, and their sworn nemesis Shirou Amakusa. Will the followers of the divine light triumph over the forces of the dark, or is the course of history destined to repeat itself? Before their hundred-year journey has ended, six samurai will prove that the only thing stronger than their holy blades is the steel of their wills! (Source: AniDB)","['Prequel (TV Special) Samurai Spirits: Haten Gouma no Shou', '']",Samurai Spirits 2: Asura Zanmaden,"['Martial Arts', 'Samurai', 'Super Power']",,,,
76,,名探偵コナン 縄文体験やってみよう!,Detective Conan: Let's Experience the Jomon Period!,,['OVA'],1,Finished Airing,"Jun 25, 1999",,,"None found,","None found,","None found,",['Manga'],,['Historical'],['Kids'],15 min.,PG-13 - Teens 13 or older,5.91,#10386,#11223,"2,464",1,561,"An educational Meitantei Conan OVA where the Shounen Tantei-dan (Detective Boys/The Junior Detective League) go on a field trip with Ran to learn about the Jomon Period of Japan, which is the earliest historical era of Japan. This OVA was released as a bundle with Shogakukan's Nijuuisseiki Kodomo Hyakka Rekishi-kan (21st Century Children's Encyclopedia History Museum). It uses animated characters on top of live-action backgrounds.",[],Meitantei Conan: Jomon Taiken Yatte Miyou!,,,,,
77,Sins of the Flesh,聖贄 (いけにえ),,,['OVA'],1,Finished Airing,"Apr 30, 1999",,,['Digital Works'],['Media Blasters'],['Y.O.U.C'],['Manga'],,,,30 min.,Rx - Hentai,5.54,N/A,#11427,"2,324",3,795,"Adolpho has his heart set on a life of service to God, that is untill he met the engaged village girl Michaella. After that innocent encounter, Adolpho starts getting midnight visits from a hedonistic devil that appeears startlingly like Michaella. Confused, Adolpho decides to confront Michaella with his new feelings, which can lead to dire consequences for both. (Source: ANN)",[],Ikenie,,,,['Hentai'],
78,Yokubou Byoutou,原罪病棟,The Ward of Original Sin,,['OVA'],2,Finished Airing,"Jun 22, 1999 to Nov 18, 1999",,,['Five Ways'],"None found,",['Meltdown'],['Manga'],,,,27 min. per ep.,Rx - Hentai,5.09,N/A,#12872,"1,471",0,374,"After the death of Haruki's mother she is taken by her until now unknown father, Shunkei, to Kazumi hospital. The nurses of this hospital seem to have purged into greed, and show absolute bondage to the doctor. Who made these women change in such a way? And which role plays there Haruki's father?",[],Genzai Byoto,,,,['Hentai'],
79,,真 学校の幽霊,,,['OVA'],1,Finished Airing,"Jun 11, 1999",,,"None found,","None found,","['Group TAC', 'JCF']",Original,"['Horror', 'Supernatural', 'Suspense']",,,40 min.,PG-13 - Teens 13 or older,6.08,#9479,#14653,906,0,122,"Following the popularity of the original omnibus OVA, this release offers 4 more stories but in animation only.","['Prequel (OVA) Gakkou no Yuurei', '']",Shin Gakkou no Yuurei,"['Mythology', 'School']",,,,
80,Detective Conan Movie 03: The Last Wizard of the Century,名探偵コナン 世紀末の魔術師,Case Closed Movie 03: The Last Wizard of the Century,Détective Conan Film 3: Le Magicien de la fin du siècle,['Movie'],1,Finished Airing,"Apr 17, 1999",,,"['Yomiuri Telecasting', 'Polygram Japan', 'TOHO', 'Shogakukan', 'Audio Planning U', 'Shogakukan Productions']",['Funimation'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],1 hr. 40 min.,PG-13 - Teens 13 or older,8.03,#630,#2797,"68,962",85,41742,"Kaitou Kid dares to challenge the police once more, setting his sights on the Russian Imperial Easter Egg. With the date, time, and place, the Osaka police force scrambles to stop him. But this time, Kid may have bitten off more than he can chew—Conan Edogawa, Heiji Hattori, and numerous others are also trying to get their hands on the jeweled egg. As the race for possession of the egg escalates, a string of murders threatens those after it, and at the same time the tragic truth behind the Romanov Dynasty is finally revealed. At the center of these developments, it is up to Conan to solve the gruesome murders and catch Kid, all while protecting those close to him and concealing his identity. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan: Seikimatsu no Majutsushi', '']",Meitantei Conan Movie 03: Seikimatsu no Majutsushi,,Detektiv Conan Film 3: Der Magier des letzten Jahrhunderts,,,
81,"Tenchi Muyo Movie 3: Tenchi Forever!, Tenchi Muyo in Love 2 - Distant Memories",天地無用！　ｉｎ　ＬＯＶＥ２　遥かなる想い,Tenchi Forever!,,['Movie'],1,Finished Airing,"Apr 24, 1999",,,"['Genco', 'Pioneer LDC', 'Nippon Cultural Broadcasting']","['Funimation', 'Geneon Entertainment USA']",['AIC'],Original,"['Drama', 'Romance', 'Sci-Fi']",,,1 hr. 35 min.,R+ - Mild Nudity,7.20,#3382,#5420,"17,438",27,8416,"Tenchi runs off into the woods to spend some time alone after his friends have another argument. While lost in thought, he hears a voice coming from a camellia tree. Tenchi approaches it and vanishes through a portal. Six months later, Tenchi still has not returned home. Though most have given up the idea of ever finding him, his friends refuse to lose hope and have split up into two teams. Aeka and Ryoukou remain on Earth to investigate while Washuu, Sasami, Kiyone, and Mihoshi comb the rest of the galaxy in search. Their efforts eventually pay off when Tenchi's energy is picked up on their radar. However, the happy reunion will have to wait as the girls gear up for their biggest challenge yet—Tenchi seems to have completely forgotten them and is living happily with another woman. Instead of solving their problems, finding Tenchi has left them with even more questions. [Written by MAL Rewrite]","['Prequel (Movie) Tenchi Muyou! in Love', 'Adaptation (Manga) Tenchi Muyou! in Love 2: Eternal Memory']",Tenchi Muyou! in Love 2: Harukanaru Omoi,,,,,
82,,1001 Nights,,,['Movie'],1,Finished Airing,"Apr 24, 1999",,,"None found,","None found,","None found,",Other,"['Avant Garde', 'Fantasy', 'Romance']",['Mythology'],,23 min.,R+ - Mild Nudity,6.30,#8233,#5571,"16,255",62,6048,"Presented in the form of a feverish love dream, 1001 Nights (based on Amano`s book of artwork) is the first performance of the groundbreaking ""Filmharmonic"" series, which presents new orchestral works by film composers in tandem with short films made by A-list directors. Nights is the series's only animated work, and plans originally called for the film to be completely computer animated. (Source: AniDB)",[],1001 Nights,,,,,
83,Taiho Shichauzo The Movie,逮捕しちゃうぞ　the MOVIE,You're Under Arrest The Movie,,['Movie'],1,Finished Airing,"Apr 29, 1999",,,"['Bandai Visual', 'Victor Entertainment', 'TBS']",['ADV Films'],['Studio Deen'],['Manga'],"['Action', 'Comedy', 'Drama']",,['Seinen'],1 hr. 29 min.,PG-13 - Teens 13 or older,7.39,#2409,#6640,"10,437",13,4405,"Bokutou Precinct rarely deals with criminals more nefarious than speeding sportscar drivers. So when Officers Nikaido Yoriko and Aoi Futaba find a cache of illegal firearms in a stolen car, and a rash of traffic control malfunctions snarls traffic along Tokyo's streets, it is up to Tokyo's finest to figure out what's gone wrong. And of course, it'll take the talents of Kobayakawa Miyuki and Tsujimoto Natsumi to crack the case. But will Miyuki's trusty Mini-Pat and Natsumi's fierce determination be enough to stop a devious mastermind from exploiting the weaknesses of the system and crippling Tokyo—and the world—for good? (Source: AnimeNfo)","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Prequel (TV) Taiho Shichau zo Special', 'Prequel (TV Special) Taiho Shichau zo: Nagisa no Koutsuu Yuudou']",Taiho Shichau zo The Movie,"['Adult Cast', 'Detective', 'Workplace']",,,,
84,"Eiga Crayon Shin-chan: Bakuhatsu! Onsen Wakuwaku Daikessen, Crayon Shin-chan: Explosion! The Hot Spring's Feel Good Final Battle/Kureshin Paradise! Made in Saitama",映画 クレヨンしんちゃん　爆発！温泉わくわく大決戦,,,['Movie'],1,Finished Airing,"Apr 17, 1999",,,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],1 hr. 50 min.,G - All Ages,6.77,#5481,#8944,"5,001",2,2535,"The Nohara family and ""Onsen G-Men"", the secret government agency maintaining all the hot springs in Japan, fight against ""Yuzame"", a bath-hating terrorist organization plotting to wipe out all the hot springs in Japan. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen', 'Sequel (Movie) Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle']",Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,,,Shin Chan Película 7: Spa Wars: La Guerra de los Balnearios,,
85,"Marco ~Haha wo Tazunete Sanzen Ri~, Marco the Movie - 3000 Leagues in Search of Mother, From the Apennines to the Andes: The Movie, Marco Movie: Haha eo Tazunete Sanzenri",Marco: 母をたずねて三千里,,,['Movie'],1,Finished Airing,"Apr 2, 1999",,,"None found,","None found,",['Nippon Animation'],Book,"['Adventure', 'Drama']",,,1 hr. 29 min.,G - All Ages,7.03,#4230,#10670,"2,908",0,1004,"In the 19th century, Genoa (Italy), 9-year-old Marco must face separation from his mother Anna, who leaves for work in Argentina to escape heavy taxes and a deep economic depression. Remaining at home with his father-a doctor at the hospital for the poor-Marco cannot help but miss his mother. When Anna suddenly stops writing to them, Marco becomes anxious about her and decides to travel all the way to Argentina by himself. Marco sets out a long and arduous adventure of over 10,000 miles. All he carries with him is love, courage, friendship and a longing to see his mother again. The story will take you on an exciting journey across the Atlantic, the Andes, and the spiritual border as we watch Marco come of age. (Source: AnimeNfo)",[],Marco: Haha wo Tazunete Sanzenri,,,"Marco, la película: No te Vayas Mamá",,
86,Zeno: Unlimited Love,ゼノ かぎりなき愛に,,,['Movie'],1,Finished Airing,"May 15, 1999",,,['Robot Communications'],"None found,","None found,",Unknown,,['Historical'],,1 hr. 12 min.,G - All Ages,6.40,#7699,#14221,"1,018",3,266,"Zeno: Kagirinaki Ai ni is a movie about life and work of Brother Zenon Zebrowski, a Polish missionary in Japan. Brother Zenon was renown for his charitable work among victims of war and the poor in Japan.",[],Zeno: Kagirinaki Ai ni,,,,['Drama'],
87,,エデュテイメントプラネタリウム ドラえもんとさがそう 宇宙のともだち,,,['Movie'],1,Finished Airing,"Jun 19, 1999",,,"None found,","None found,","None found,",['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",['Space'],['Kids'],Unknown,PG - Children,[],#17874,#16341,581,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Edutainment Planetarium Doraemon to Chigasou: Uchuu no Tomodachi,,,,,
88,,手塚治虫の宇宙 W3（ワンダースリー）〜銀河連盟の使者〜,,,['Movie'],1,Finished Airing,"Jun 11, 1999",,,"None found,","None found,","None found,",['Manga'],,,['Kids'],31 min.,G - All Ages,[],#14831,#20151,279,0,,"A planetarium film exclusive to the Kyoto via the Joyo City Cultural Center's planetarium. In part a promotion for the Kyoto Tezuka Osamu World that opened the same year (which closed in 2011), a decade after Osamu's passing. It revolves around the Wonder 3 cast from the Galactic Federation with the inclusion of Atom from Tetsuwan Atom as they introduce constellations to the viewer.","['Adaptation (Manga) Wonder 3', '']",Tezuka Osamu no Uchuu Wonder 3: Ginga Renmei no Shisha,,,,['Sci-Fi'],
89,,宇宙船地球号ＳＯＳ　～鉄腕アトムと考えるみんなの未来～,,,['Movie'],1,Finished Airing,"May 30, 1999",,,"None found,","None found,","None found,",['Manga'],"['Action', 'Adventure', 'Sci-Fi']",['Space'],['Kids'],Unknown,G - All Ages,[],#15124,#20921,235,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Uchuu Senchi Kyuugou SOS: Tetsuwan Atom to Kangaeru Minna no Mirai,,,,,
90,"Future Hero Next Generation Outlaw Star, Starward Warrior Knight Outlaw Star",星方武侠アウトロースター,Outlaw Star,,['Special'],2,Finished Airing,"Dec 18, 1998 to Apr 25, 1999",,,"['Sotsu', 'Victor Entertainment']","['Funimation', 'Bandai Entertainment']",['Sunrise'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",,,25 min. per ep.,R+ - Mild Nudity,7.06,#4100,#7296,"8,321",3,3833,"Unaired episodes of Seihou Bukyou Outlaw Star included in the eighth and twelfth volumes of the VHS, designated as episodes 16 and 23.",[],Seihou Bukyou Outlaw Star Specials,,,,,
91,"City Hunter: Live on Stage, City Hunter: Death of Evil Ryo Saeba",シティーハンタースペシャル 緊急生中継!?凶悪犯冴羽リョウの最期,City Hunter: Death of the Vicious Criminal Ryo Saeba,City Hunter: La Mort de City Hunter,['TV Special'],1,Finished Airing,"Apr 23, 1999",,,"None found,",['Discotek Media'],['Sunrise'],['Manga'],,,['Shounen'],1 hr. 31 min.,PG-13 - Teens 13 or older,7.35,#2564,#7928,"6,764",8,2706,"City Hunter, Saeba Ryo, after months of idleness, finally scores a client and it is none other than the beautiful Mega City TV newscaster, Sayaka, who fears for her life. What's more, the enemy are her employers who are ready to resort to any means necessary to kill her. Ryo takes on the might of a TV station in a bid to save Sayaka, but finds that all is not what it seems...","['Sequel (TV Special) City Hunter: Goodbye My Sweetheart', 'Sequel (OVA) City Hunter: Ryou no Propose']",City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,,City Hunter: Death of the Vicious Crminal Ryou Saeba,City Hunter: La Muerte del Río Saeba,,
92,"Taiho Shichauzo Special, Taiho Shichau zo Special, You're Under Arrest Episode 52",逮捕しちゃうぞ 渚の交通誘導,You're Under Arrest: Diverting Traffic at the Beach,,['TV Special'],1,Finished Airing,"Apr 2, 1999",,,"['Bandai Visual', 'TBS']",['AnimEigo'],['Studio Deen'],['Manga'],"['Action', 'Comedy', 'Mystery']",,['Seinen'],24 min.,PG-13 - Teens 13 or older,7.00,#4391,#8141,"6,327",3,2803,"Summer arrives to Bokuto Station. Miyuki and Natsumi have to work on a beach road protecting the safety of the civilians that are enjoying their summer vacations. Suffering because of the heat, the two officers were having problems remaining calm, but then, some pickpocket appeared on the beach causing a ruckus. The girls will do their best to catch the thief, control the traffic and enjoy their summer day.","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Sequel (TV) Taiho Shichau zo Special', 'Sequel (Movie) Taiho Shichau zo The Movie']",Taiho Shichau zo: Nagisa no Koutsuu Yuudou,"['Adult Cast', 'Detective', 'Workplace']",,,,
93,,クレヨンしんちゃん Specials,,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],48 min.,G - All Ages,[],#17453,#15465,711,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,,,
94,Yuusha-Ou GaoGaiGar Episodes 14.5 and 43.2,勇者王ガオガイガー BLOCKADED NUMBERS,,,['Special'],2,Finished Airing,"Apr 8, 1999",,,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],,9 min. per ep.,G - All Ages,[],#16218,#20875,238,0,,Special episodes released with the PlayStation game. They were later included in the Blu-ray Box of Yuusha-Ou GaoGaiGar.,[],Yuusha-Ou GaoGaiGar: Blockaded Numbers,,,,,
