,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Spanish,Demographics
50,The Gargoyle of the Yoshinagas,吉永さん家のガーゴイル,Gargoyle of Yoshinaga House,,,['TV'],13,Finished Airing,"Apr 2, 2006 to Jun 25, 2006",['Spring 2006'],Sundays at 02:05 (JST),"None found,",['Sentai Filmworks'],['Studio Hibari'],['Light novel'],"['Comedy', 'Fantasy', 'Slice of Life']",,,24 min. per ep.,PG - Children,6.76,#5545,#8448,"5,801",5,2156,"When Yoshinaga Futaba wins the first prize in a lottery, the prize turns out to be a stone gargoyle. More surprising yet, the gargoyle turns out to be alive. (Source: ANN)","['Adaptation (Light Novel) Yoshinaga-san Chi no Gargoyle', '']",Yoshinaga-sanchi no Gargoyle,,,,
51,,아이언 키드,Eon Kid,,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Unknown,"None found,",['Manga Entertainment'],['Daewon Media'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,24 min. per ep.,G - All Ages,6.90,#4820,#8673,"5,428",43,2968,"In a futuristic world, young Marty stumbles upon a bionic arm which endows him with superhuman powers and put him at the centre of a centuries-old struggle between good and evil. His teenager heart will now begin a long-way training together with two loyal friends: Buttons, his robo-puppy, and the brave Ally. (Source: Official website)",[],Iron Kid,,,,
52,,格闘美神 武龍[ウーロン] REBIRTH,Fighting Beauty Wulong Rebirth,,,['TV'],25,Finished Airing,"Apr 2, 2006 to Oct 1, 2006",['Spring 2006'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Action', 'Comedy']","['Martial Arts', 'School']",['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),6.85,#5063,#9311,"4,410",4,1180,Mao Lan continues growing into her path in life through what she learns while fighting. Her grandfather thinks that she has grown complacent and decides to train an adversary for her next Prime Mat appearance. Training with her friends and companions Mao Lan slowly advances through life. (Source: AniDB),"['Prequel (TV) Kakutou Bijin Wulong', 'Adaptation (Manga) Kakutou Bijin Wulong']",Kakutou Bijin Wulong: Rebirth,,,,
53,"BakéGyamon, Gekifu Bakegyamon",妖逆門,,,,['TV'],51,Finished Airing,"Apr 3, 2006 to Mar 26, 2007",['Spring 2006'],Mondays at 18:00 (JST),"['TV Tokyo', 'Dentsu']","None found,",['Radix'],['Manga'],"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Strategy Game']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.63,#6285,#9577,"4,055",16,1025,"Sanshirou's chances of having an adventure are slim to none in his tiny island hometown, until the day a mysterious stranger invites him to play a game... Without warning, Sanshirou is taken to a backwards universe to play BakéGyamon—a game pitting monsters against monsters. Along the way he meets other players who have a particular reason for being there—to obtain the wish that is granted to the winner. But how far can Sanshirou get when the monsters he's been paired with are a bunch of little mud balls?! (Source: VIZ Media)","['Adaptation (Manga) Bakegyamon', '']",Bakegyamon,,,,
54,"Hime-sama Goyojin, Hime-sama Goyoujin, Princess, Be Careful!",姫様ご用心,Princess Beware,,,['TV'],12,Finished Airing,"Apr 13, 2006 to Jul 20, 2006",['Spring 2006'],Thursdays at 00:00 (JST),['Bandai Visual'],"None found,",['Nomad'],Original,,,,24 min. per ep.,G - All Ages,6.34,#8053,#10292,"3,231",4,1269,"Himeko is supposed to be a common high school student... until she happens to obtain a crown and she becomes a princess. Since then, Nana, the true princess, follows her around to take the crown back. In addition, Leslie and Caren, the thieves, appear to rob her of the crown, and her peaceful life turns into turmoil. (Source: AnimeNfo)",[],Himesama Goyoujin,['Comedy'],,,
55,"Put it All in the Ring 1: Japan vs USA Battle Story, Ring ni Kakero S2",リングにかけろ1 日米決戦編,Ring ni Kakero 1 Episode: The Pacific War,,,['TV'],12,Finished Airing,"Apr 6, 2006 to Jun 12, 2006",['Spring 2006'],Unknown,['Marvelous Entertainment'],"None found,",['Toei Animation'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.53,#6909,#10639,"2,925",1,1133,"Immediately after Ryuuji Takane won the Champion Carnival, the U.S. Junior Champion Black Shaft appeared, and challenged the best Japan has to offer, just before the World Tournament is about to happen. Now Ryuuji, Takeshi Kawai, Kazuki Shinatora, Ishimatsu Katori, and Superstar Jun Kenzaki have to prove to not only Black Shaft, but the world, that they are truly world-class boxers before the World Tournament starts. But Shaft is not recruiting boxers for his challenge, but instead gets a life-timer criminal from Death Row, the leader of the Great Angels, one of the toughest gangs in America, a mysterious woman, and the ""Dark Emperor of the South"". Also, Shaft negotiates with Don Juliano, the Italian Junior Champion, just in case... (Source: ANN)","['Prequel (TV) Ring ni Kakero 1', 'Sequel (TV) Ring ni Kakero 1: Shadow-hen', 'Adaptation (Manga) Ring ni Kakero', '']",Ring ni Kakero 1: Nichibei Kessen-hen,['Sports'],['Combat Sports'],,
56,Saru! Get You: On Air,サルゲッチュ ～オンエアー～,Ape Escape,,,['TV'],26,Finished Airing,"Apr 8, 2006 to Sep 30, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Xebec'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,['Kids'],15 min. per ep.,PG - Children,6.05,#9644,#12936,"1,440",5,417,"An evil monkey, Specter, has escaped a circus, using a mind-controlling device which allows him to become smarter and have access to controlling the monkeys. Kakeru is called over by a professor in order to capture all the monkeys, including the one's who's controlling them: Specter. (Source: ANN)","['Sequel (TV) Saru Getchu: On Air 2nd', '']",Saru Getchu: On Air,,,,
57,The Frogman Show,秘密結社 鷹の爪,Eagle Talon,Eagle Talon,Eagle Talon,['TV'],11,Finished Airing,"Apr 6, 2006 to Jun 15, 2006",['Spring 2006'],Unknown,['Kaeruotoko Shokai'],"None found,",['DLE'],Original,,"['Parody', 'Super Power']",,9 min. per ep.,PG-13 - Teens 13 or older,6.12,#9259,#13035,"1,400",1,382,"Eagle Talon is a secret society based in Kojimachi, Tokyo. With plans for world domination, their attempts are continually foiled by Deluxe Fighter, the superhero who always manages to save the day. This comedy of their frivolous lives is definitely not to be missed!","['Sequel (Movie) Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu', '']",Himitsukessha Taka no Tsume,['Comedy'],,Eagle Talon,
58,,ハローキティ りんごの森のファンタジー,Hello Kitty: The Fantasy of the Apple Forest,,,['TV'],13,Finished Airing,"Apr 4, 2006 to Sep 19, 2006",['Spring 2006'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,"['Comedy', 'Fantasy']",,['Kids'],9 min. per ep.,PG - Children,6.02,#9830,#13348,"1,283",7,383,"Kitty and Mimmy come upon the Apple Forest thanks to the help of a forest fairy. The fairy kingdom welcomes them as the ""Twin Heroines"" and ask that they save the princess. The key to the rescue is a golden apple and so the sisters' adventure begins.","['Sequel (TV) Hello Kitty: Ringo no Mori no Mystery', '']",Hello Kitty: Ringo no Mori no Fantasy,,,Hello Kitty y sus Amigos: Fantasía en el Bosque de las Manzanas,
59,,アクビガール,,,,['TV'],26,Finished Airing,"Apr 2, 2006 to Sep 24, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Tatsunoko Production'],Unknown,"['Comedy', 'Fantasy']",,,4 min. per ep.,PG - Children,5.63,#11670,#13915,"1,099",0,297,"Akubi-chan is a cute magical girl. She is good at magic, she can turn into any form by tapping a tambourine, and she can grant any dream or wishes. Usually, Akubi-chan is in a vase, but when Ruru-chan, the owner of the vase, yarns (akubi), Akubi-chan pops out of the vase. Ruru-chan is in the 1st grade in elementary school, but she is little precocious and loves secretly her classmate Itoshi-kun living next-door. Akubi-chan uses various magic to make them good friends, but she always fails. However, for her best friend Ruru-chan, Akubi-chan gets out of the vase and taps the tambaine to play Cupid. (Source: Animenfo)",[],Akubi Girl,,,,
60,,吉宗,,,,['TV'],24,Finished Airing,"Apr 6, 2006 to Sep 14, 2006",['Spring 2006'],Unknown,"None found,","None found,","['AIC Spirits', 'Ginga Ya', 'Gonzino']",Other,,,,24 min. per ep.,PG - Children,5.88,#10554,#14472,948,0,239,"It is the end of the Edo Era, a flourishing period when stylish civilians, samurai and old-fashioned farmers live peacefully together. However, if you take a closer look at their lives, you'll notice that it is actually a parallel world in which modern conveniences, such as cellular phones, personal computers, microwave ovens, motorcycles, subways, and so on, exist. If you enter a night club, you'll find young people dancing to blaring trance music. However, you will also find that they wear kimonos, that the darkness is illuminated by candles, and that the stage is covered by tatami mats! While the people reflect the fashions and manners of the Edo Era, they reside within a strange world where the ""present"" and the ""past"" coexist. Welcome to the Yoshimune world that no one has ever seen! (Source: AnimeNfo)",[],Yoshimune,['Comedy'],['Historical'],,
61,,新星輝デュエル・マスターズ フラッシュ,,,,['TV'],24,Finished Airing,"Apr 10, 2006 to Mar 23, 2007",['Spring 2006'],Unknown,['G&G Entertainment'],"None found,",['SynergySP'],Original,,,['Kids'],21 min. per ep.,G - All Ages,5.69,#11407,#14608,917,0,212,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shinseiki Duel Masters Flash,['Comedy'],,,
62,"Shibawanko's Spirit of Wa, Shibawanko's Japanese Spirit, Shibawanko's Spirit of Tradition",しばわんこの和のこころ,,,,['TV'],80,Finished Airing,"Apr 5, 2006 to Mar 14, 2007",['Spring 2006'],Wednesdays at 23:00 (JST),"['Hakusensha', 'NHK Enterprises']","None found,",['Three-d'],Unknown,,,['Kids'],2 min. per ep.,G - All Ages,[],#14211,#14919,834,1,,"Based on a japanese children`s book by Yoshie Kawaura. Shiba-wanko, a Shiba-inu dog, and Miike-nyanko, a calico cat, live together in a classic Japanese-style house with the traditional Japanese alcove called a tokonoma. Shiba-wanko is a very gentle and hardworking soul who does all of the cleaning, laundry and cooking in the house. Miike-nyanko is a different type all together, being rather temperamental and not very good with housework. Together, these two learn the manners and customs associated with events such as the proper Japanese way to treat one`s guests, preparing for a Japanese New Year and how to enjoy the kimono, the traditional Japanese costume. Each chapter covers a specific topic which has to do with living in ""Wa"" (the Japanese-style spirit of peace and harmony) throughout the changing seasons. (Source: AniDB)",[],Shibawanko no Wa no Kokoro,,['Educational'],,
63,,ぜんまいざむらい,,,,['TV'],215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",['Spring 2006'],Unknown,['Aniplex'],"None found,","['A-1 Pictures', 'No Side']",Original,,,['Kids'],5 min. per ep.,G - All Ages,5.85,#10698,#15132,783,2,233,"200 years ago, Zenmai Zamurai was a thief by profession. While stealing from a house one night, he fell down a well and died. He was then resurrected by Daifukunokami and a wind-up key was placed on his head. If the key wound down, Zennosuke would die. The only way the key can be wound is by Zennosuke doing good deeds. In order to achieve this end, he is given the Dango-ken, which is a sword with Japanese Dumplings skewered onto it. Whenever Zenmai Zamurai sees people doing injustice or generally being out of control, he uses his sword to shoot the dumplings into their mouths. When the dumplings are eaten, the people suddenly become happy and realize the error of their ways. He helps out the people of his village in many ways, big and small. Whenever he has done well, a rainbow comes out of the sky to wind up his key. -Wikipedia",[],Zenmai Zamurai,['Comedy'],,,
64,Miracle Mimika,味楽る!ミミカ,Miracle! Mimika,,,['TV'],225,Finished Airing,"Apr 3, 2006 to Mar 13, 2009",['Spring 2006'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Original,"['Gourmet', 'Slice of Life']",,['Kids'],10 min. per ep.,G - All Ages,[],#20319,#16053,619,0,,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook. (Source: AnimeNfo)",[],Miracle! Mimika,,,,
65,Rascal in the Snag Forest,ぽかぽか森のラスカル,,,,['TV'],52,Finished Airing,"Apr 1, 2006 to Mar 24, 2007",['Spring 2006'],Unknown,"None found,","None found,",['Nippon Animation'],Unknown,,,['Kids'],5 min. per ep.,G - All Ages,[],#21087,#17188,489,1,,"Rascal is an energetic racoon, who lives in a secret forest called ""The Snag Forest"". Although sometimes his mother scolds him when he does mischief, the engaging and kind personality of Rascal always makes him popular in the forest. This series depicts everyday adventures of Rascal, and his cheerful friends such as Rilulu, a cute girl racoon, Rock'n, a skunk who loves to play music, Iggy, a mouse who always eats nuts and a lot more!! (Source: AniDB)",[],Poka Poka Mori no Rascal,,,,
66,,えほん寄席,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#17875,#17193,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,['Horror'],,,
67,"Hula Kapper, Furakappa",フラカッパー,,,,['TV'],78,Finished Airing,"Apr 1, 2006 to Dec 21, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Office AO'],Original,,,,3 min. per ep.,G - All Ages,[],#18774,#17380,468,1,,Some sort of educationnal anime for children. A bit of humoristic.,"['Sequel (Special) Hula Kappa: Owakare-kai (2) Atarashii wo Tomodachi', '']",Hula Kappa,['Comedy'],,,
68,"Kofun Gal no Coffy, The Frogman Show",古墳ギャルのコフィー,Tumulus Gal Coffy,,,['TV'],11,Finished Airing,"Apr 6, 2006 to Jun 15, 2006",['Spring 2006'],Unknown,"None found,","None found,","None found,",Unknown,,,,11 min. per ep.,PG-13 - Teens 13 or older,[],#17408,#17600,452,0,,"The TV adaptation of the ONA series. Unlike the ONA, which has 10 episodes, this series has 11 episodes.","['Sequel (TV) Cofun Gal no Coffy Campus Life', '']",Cofun Gal no Coffy (TV),['Comedy'],['Parody'],,
69,McDull and Chinese Culture,春田花花中華博物館,,,,['TV'],5,Finished Airing,Apr 2006 to May 2006,['Spring 2006'],Unknown,['RTHK'],"None found,","None found,",Unknown,,"['Anthropomorphic', 'Historical']",['Kids'],22 min. per ep.,G - All Ages,[],#20091,#18619,373,1,,Featuring McDull going through Chinese cultures with children.,[],McDull: Chuntian Huahua Zhonghua Bowuguan,['Comedy'],,,
70,Tama & Friends: Search for It! The Magic Puni-Puni Stone,タマ&フレンズ 探せ!魔法のプニプニストーン,,,,['TV'],26,Finished Airing,"May 6, 2006 to Nov 4, 2006",['Spring 2006'],Saturdays at Unknown,"None found,","None found,","['Group TAC', 'Dongwoo A&E']",Other,"['Adventure', 'Comedy']",,['Kids'],24 min. per ep.,G - All Ages,[],#14727,#19383,322,1,,"A spin-off of Tama & Friends taking place in a fantasy world. Tama, along with his friends Shima and Hat, have to find magic stones accross the universe. (Source: Anilist)",[],Tama & Friends: Sagase! Mahou no Punipuni Stone,,,,
71,,チビナックス,,,,['TV'],25,Finished Airing,"Apr 13, 2006 to Sep 28, 2006",['Spring 2006'],Thursdays at 21:54 (JST),"None found,","None found,","None found,",Other,,,,3 min. per ep.,G - All Ages,[],#17285,#19945,289,0,,TEAM NACS (also known as Team Canucks) are a surreal comedy troupe from Hokkaido who star in this short series. (Source: The Anime Encyclopedia),"['Sequel (TV) Chibinacs 2.0', '']",Chibinacs,['Comedy'],,,
72,Old Master Q Fantasy Zone Battle II,老夫子之魔界夢戰記 II,Old Master Q Series 2: Fantasy Zone Battle,,,['TV'],13,Finished Airing,"Jun 1, 2006 to Jun 16, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],['4-koma manga'],"['Adventure', 'Comedy']",,,22 min. per ep.,G - All Ages,[],#19746,#22956,139,0,,"A continuation of the first season. Old Master Q, Big Potato, and Mr. Chin transport into various classic storyworlds to rescue their father and save the story from being ruined by the Devil King.","['Prequel (TV) Lao Fu Zi: Mojie Meng Zhanji', 'Sequel (TV) Lao Fu Zi 3', 'Adaptation (Manhua) Old Master Q', '']",Lao Fu Zi: Mojie Meng Zhanji II,,,,
73,NARUTO,ナルト,Naruto,,,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,502","82,495",2044479,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,['Martial Arts'],,
74,OP,ONE PIECE,One Piece,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,955","234,770",1419863,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,
75,,BLEACH - ブリーチ -,Bleach,,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,075,170","78,061",1188869,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,
76,Fate - Stay Night,Fate/stay night,Fate/stay night,,,['TV'],24,Finished Airing,"Jan 7, 2006 to Jun 17, 2006",['Winter 2006'],Saturdays at 01:30 (JST),"['Frontier Works', 'TBS', 'KlockWorx', 'Notes', 'Geneon Entertainment']","['Sentai Filmworks', 'Geneon Entertainment USA']",['Studio Deen'],Visual novel,"['Action', 'Fantasy', 'Romance']",,,24 min. per ep.,R - 17+ (violence & profanity),7.27,#3011,#182,"971,060","7,406",530275,"After a mysterious inferno kills his family, Shirou is saved and adopted by Kiritsugu Emiya, who teaches him the ways of magic and justice. One night, years after Kiritsugu's death, Shirou is cleaning at school, when he finds himself caught in the middle of a deadly encounter between two superhumans known as Servants. During his attempt to escape, the boy is caught by one of the Servants and receives a life-threatening injury. Miraculously, he survives, but the same Servant returns to finish what he started. In desperation, Shirou summons a Servant of his own, a knight named Saber. The two must now participate in the Fifth Holy Grail War, a battle royale of seven Servants and the mages who summoned them, with the grand prize being none other than the omnipotent Holy Grail itself. Fate/stay night follows Shirou as he struggles to find the fine line between a hero and a killer, his ideals clashing with the harsh reality around him. Will the boy become a hero like his foster father, or die trying? [Written by MAL Rewrite]","['Prequel (TV) Fate/Zero 2nd Season', 'Adaptation (Manga) Fate/stay night']",Fate/stay night,,['Urban Fantasy'],,
77,,蟲師,Mushi-Shi,Mushi-Shi,Mushi-Shi,['TV'],26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",['Fall 2005'],Sundays at 03:40 (JST),"['Avex Entertainment', 'Marvelous Entertainment', 'SKY Perfect Well Think', 'Delfi Sound']",['Funimation'],['Artland'],['Manga'],"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,8.65,#76,#224,"863,822","27,535",287469,"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows. This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence. So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life. Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer. It could, after all, lead to the meaning of life itself. [Written by MAL Rewrite]","['Sequel (TV Special) Mushishi: Hihamukage', 'Sequel (TV) Mushishi Zoku Shou', 'Adaptation (Manga) Mushishi Read Manga', '']",Mushishi,,,Mushi-Shi,
78,,エルゴプラクシー,Ergo Proxy,,,['TV'],23,Finished Airing,"Feb 25, 2006 to Aug 12, 2006",['Winter 2006'],Saturdays at 19:00 (JST),"['WOWOW', 'Rondo Robe', 'Geneon Entertainment USA', 'Geneon Entertainment']",['Funimation'],['Manglobe'],Original,"['Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Psychological']",,25 min. per ep.,R - 17+ (violence & profanity),7.90,#834,#325,"678,359","14,148",248068,"Within the domed city of Romdo lies one of the last human civilizations on Earth. Thousands of years ago, a global ecological catastrophe doomed the planet; now, life outside these domes is virtually impossible. To expedite mankind's recovery, ""AutoReivs,"" humanoid-like robots, have been created to assist people in their day-to-day lives. However, AutoReivs have begun contracting an enigmatic disease called the ""Cogito Virus,"" which grants them self-awareness. Re-l Mayer, the granddaughter of Romdo's ruler, is assigned to investigate this phenomenon alongside her AutoReiv partner, Iggy. But what begins as a routine investigation quickly spirals into a conspiracy as Re-l is confronted by humanity's darkest sins. Elsewhere in Romdo, an AutoReiv specialist by the name of Vincent Law must also face his demons when surreal events begin occurring around him. Re-l, Iggy, Vincent, and the child AutoReiv named Pino will form an unlikely faction as they struggle to uncover Romdo's mysteries and discover the true purpose of the mythical beings called ""Proxies."" [Written by MAL Rewrite]","['Adaptation (Manga) Ergo Proxy: Centzon Hitchers and Undertaker', '']",Ergo Proxy,,,,
79,Blood Plus,ブラッドプラス,Blood+,,,['TV'],50,Finished Airing,"Oct 8, 2005 to Sep 23, 2006",['Fall 2005'],Saturdays at 18:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'eNa']",['Sony Pictures Entertainment'],['Production I.G'],Original,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']","['Gore', 'Military', 'Vampire']",,23 min. per ep.,R - 17+ (violence & profanity),7.61,#1540,#650,"387,052","4,434",162229,"Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year. However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past. [Written by MAL Rewrite]","['Adaptation (Manga) Blood+', 'Adaptation (Light Novel) Blood+']",Blood+,,,,
80,Detective Conan,名探偵コナン,Case Closed,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,852","15,330",164344,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,['Detective'],,
