,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,German,Spanish,French,Theme,Genre,Demographics
207,ストライク・ザ・ブラッドⅢ,,['OVA'],10,Finished Airing,"Dec 19, 2018 to Sep 25, 2019",,,"['Movic', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Hakuhodo DY Music & Pictures', 'Kadokawa']","None found,","['SILVER LINK.', 'Connect']",['Light novel'],"['Action', 'Fantasy', 'Ecchi']",,26 min. per ep.,R+ - Mild Nudity,6.97,#4515,#1872,"127,345",166,49807,It was announced at a Dengeki Game Festival stage event that the Strike the Blood light novel series will get a third OVA release. It will cover until the end of Seisen-hen. (Source: MAL news),"['Prequel (OVA) Strike the Blood II', 'Sequel (OVA) Strike the Blood IV', 'Adaptation (Manga) Strike the Blood', 'Adaptation (Light Novel) Strike the Blood']",Strike the Blood III,"['Harem', 'School', 'Urban Fantasy', 'Vampire']",Strike the Blood Third,,,,,,
208,モブサイコ100 第一回霊とか相談所慰安旅行～ココロ満たす癒やしの旅～,Mob Psycho 100 II: The Spirits and Such Consultation Office's First Company Outing ~A Healing Trip That Warms the Heart~,['OVA'],1,Finished Airing,"Sep 25, 2019",,,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","None found,",['Bones'],Original,"['Action', 'Comedy', 'Supernatural']",,24 min.,PG-13 - Teens 13 or older,7.65,#1426,#2053,"112,656",89,65101,"The staff of the Spirits and Such Consultation Office—Arataka Reigen, Shigeo ""Mob"" Kageyama, Ritsu Kageyama, Katsuya Serizawa, and the spirit Ekubo—head to the Zebra Prefecture for a relaxing hot spring vacation. Their all-expenses-paid trip is sponsored by the owner of the Ibogami Hot Springs, who has asked Reigen to investigate claims of paranormal activity in the area. On the train ride to the inn, the exhausted Reigen and Serizawa quickly fall asleep, only to wake up and discover that they have been transported to a ghostly parallel world! Bewildered about how they got there, Reigen and Serizawa must find a way to escape in time to enjoy their day off. [Written by MAL Rewrite]",[],Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,,Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~,,,,,,
209,生徒会役員共＊ OAD,,['OVA'],10,Finished Airing,"May 16, 2014 to Sep 17, 2020",,,['Starchild Records'],"None found,",['GoHands'],['4-koma manga'],,['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),7.84,#947,#2503,"82,529",97,34138,OVAs of Seitokai Yakuindomo* which were either bundled with the limited editions of the manga volumes or as standalone OVAs.,"['Prequel (TV) Seitokai Yakuindomo*', 'Adaptation (Manga) Seitokai Yakuindomo']",Seitokai Yakuindomo* OVA,"['Gag Humor', 'School']","Seitokai Yakuindomo 2 OVA, Seitokai Yakuindomo* OAD, Seitokai Yakuindomo 2 OAD, SYD* OVA, SYD 2 OVA",,,,,['Comedy'],
210,とつくにの少女,"The Girl From the Other Side: Siúil, a Rún",['OVA'],1,Finished Airing,"Sep 10, 2019",,,"['Production I.G', 'flying DOG', 'Sound Team Don Juan', 'Mag Garden']","None found,",['Wit Studio'],['Manga'],,['Shounen'],10 min.,G - All Ages,7.56,#1738,#2892,"64,879",279,22593,"Let not an Outsider touch thee, Lest thou shalt be cursed forever. Once upon a time, in a land far away that was divided into two realms... The Outside was roamed by teratomorphic creatures who had the power to curse whoever they touched. Humans could live safely only in the Inside. But when a lost little girl from the Inside named Shiva, and a demonic beast-looking Outsider simply known as ""Teacher"" initiate a quiet coexistence on the same side of the forest, their bond seems to transcend their incompatible natures. It is the beginning of a folktale about two outcasts -one human, one inhuman- who linger in the hazy twilight that separates night from day. (Source: Production I.G)","['Sequel (OVA) Totsukuni no Shoujo (2022)', 'Adaptation (Manga) Totsukuni no Shoujo']",Totsukuni no Shoujo,,Foreign Girl,,,,,['Supernatural'],
211,ゆるゆり、,,['OVA'],1,Finished Airing,"Sep 18, 2019",,,['Sotsu'],"None found,",['Lay-duce'],['Manga'],"['Comedy', 'Girls Love']",,31 min.,PG-13 - Teens 13 or older,7.69,#1322,#4054,"34,174",59,13050,"Akari Akaza, Chinatsu Yoshikawa, Kyouko Toshinou, and Yui Funami return to commemorate an exciting occasion! Despite their initial bizarre celebration ideas, they decide to hold a party at their Amusement Club room. With the help of friends from the Student Council, they start preparing for the big day—with a surprise planned for a special someone. Join the girls as they work together to create an enjoyable and memorable party, all the while interacting with one another with their cute and unique quirks. [Written by MAL Rewrite]","['Prequel (TV) Yuru Yuri San☆Hai!', 'Adaptation (Manga) Yuru Yuri']","Yuru Yuri,","['CGDCT', 'Gag Humor', 'School']","YuruYuri,, Yuru Yuri Ten",,,,,,
212,ご注文はうさぎですか?? ~Sing For You~,Is the Order a Rabbit?? OVA,['OVA'],1,Finished Airing,"Sep 26, 2019",,,"None found,","None found,",['production doA'],['4-koma manga'],,,25 min.,PG-13 - Teens 13 or older,7.76,#1130,#4471,"27,848",96,12494,"Chino Kafuu returns to Rabbit House with a horrified look on her face. When questioned by her friends, she explains to them that she had just agreed to sing the solo section of a song for her class’ graduation ceremony. Although they congratulate their friend on her important role, Chino reveals that she has stage fright, but is determined to overcome it before the ceremony takes place.With the support of her friends and special training from Rize Tedeza, will Chino be able to overcome her stage fright? Gochuumon wa Usagi Desu ka??: Sing for You is a wholesome and heart-warming short story featuring Chino and the other girls from the cafe. [Written by MAL Rewrite]","['Prequel (Movie) Gochuumon wa Usagi desu ka?? Dear My Sister', 'Sequel (TV) Gochuumon wa Usagi desu ka? Bloom']",Gochuumon wa Usagi desu ka?? Sing for You,"['CGDCT', 'Iyashikei', 'Workplace']","Gochuumon wa Usagi desu ka? OVA, GochiUsa OVA",,,,,['Slice of Life'],
213,ゴールデンカムイ OAD,,['OVA'],3,Finished Airing,"Mar 19, 2019 to Sep 18, 2020",,,"None found,","None found,",['Geno Studio'],['Manga'],"['Action', 'Adventure']",['Seinen'],22 min. per ep.,R - 17+ (violence & profanity),7.51,#1937,#4702,"24,747",17,10289,1. Koi wo Shita kara Datsugoku Suru Koto ni Shita/Kyoufu no Moudoku Dai Shitou! Hokkaido Ouchi ni Kyodai Hebi wa Sonzai Shita! (Love Made Me Escape from Prison/The Terrifying Battle of Deadly Poison! A Massive Snake Deep in the Hokkaido Wilderness!) 2. Monster 3. Shiton Doubutsuki,"['Adaptation (Manga) Golden Kamuy', '']",Golden Kamuy 2nd Season OVA,"['Adult Cast', 'Historical', 'Military']",,,,,,,
214,エッチなお姉ちゃんに搾られたい,,['OVA'],2,Finished Airing,"Jul 5, 2019 to Aug 2, 2019",,,['Lune-Pictures'],"None found,",['T-Rex'],['Manga'],,,15 min. per ep.,Rx - Hentai,7.40,N/A,#5354,"17,962",196,8527,Based on the doujin manga by Joy Ride/Yorokobi No Kuni.,[],Ecchi na Oneechan ni Shiboraretai,,,,,,,['Hentai'],
215,じょしラク！,,['OVA'],6,Finished Airing,"Sep 6, 2019 to Jun 2, 2023",,,['Lune-Pictures'],"None found,",['T-Rex'],['Manga'],"['Sports', 'Hentai']",,16 min. per ep.,Rx - Hentai,7.38,N/A,#5401,"17,558",139,7822,"A guy by the name of Kuroda-sensei is given a job as the new coach/adviser of the girls lacrosse club in a all female school called Felinus Academy for Girls but... it turns out to be a bumpy ride as he encounters sex fiends among the squad, and his adventures begins as he attempts to gain their respect as adviser. (Source: MU)","['Adaptation (Manga) Joshi Luck!', '']",Joshi Luck!,"['Harem', 'School']",,,,,,,
216,思春期セックス,,['OVA'],4,Finished Airing,"Jun 7, 2019 to Feb 5, 2021",,,['Mary Jane'],"None found,",['Studio 1st'],['Manga'],,,16 min. per ep.,Rx - Hentai,7.17,N/A,#5774,"14,790",71,6026,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shishunki Sex', '']",Shishunki Sex,,,,,,,['Hentai'],
217,超次元ゲイム ネプテューヌ THE ANIMATION,Hyperdimension Neptunia OVA,['OVA'],3,Finished Airing,"Jul 8, 2019 to Sep 8, 2022",,,['Frontier Works'],"None found,",['Okuruto Noboru'],Game,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",,26 min. per ep.,PG-13 - Teens 13 or older,7.16,#3580,#6026,"13,230",29,4136,"The four goddesses alongside their sisters—Nepgear, Uni, Rom, and Ram—meet at a famous mountain resort in Lastation Kingdom seeking that nostalgic ""summer vacation"" feeling. But their plan to sit back and relax in a hot spring is interrupted when the younger sisters are swept into a portal leading to a parallel universe! The seemingly unfortunate situation takes a comical turn when they are greeted by a familiar face. [Written by MAL Rewrite]",[],Choujigen Game Neptune The Animation OVA,,,,,,,,
218,堕ちモノRPG 聖騎士ルヴィリアス,,['OVA'],4,Finished Airing,"Jul 26, 2019 to Dec 27, 2019",,,"None found,","None found,",['Majin'],Game,"['Fantasy', 'Hentai']",,16 min. per ep.,Rx - Hentai,6.87,N/A,#6650,"10,363",73,4198,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ochi Mono RPG Seikishi Luvilias,,,,,,['Mythology'],,
219,真夜中のオカルト公務員「ひとりぼっちの吸血鬼」/「サクラの森の満開の下」,Midnight Occult Civil Servants: Lonely Vampire/Beneath the Cherry Tree Forest in Full Bloom,['OVA'],2,Finished Airing,"Sep 25, 2019",,,"None found,","None found,",['LIDENFILMS'],['Manga'],"['Mystery', 'Supernatural']",['Shoujo'],27 min. per ep.,PG-13 - Teens 13 or older,7.14,#3695,#6687,"10,231",3,3901,2 Unaired Episodes of Mayonaka no Occult Koumuin.,"['Prequel (OVA) Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to', 'Adaptation (Manga) Mayonaka no Occult Koumuin']",Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki/Sakura no Mori no Mankai no Shita,"['Adult Cast', 'Mythology', 'Workplace']",,,,,,,
220,まじもじるるも 完結編,,['OVA'],2,Finished Airing,"Jul 9, 2019",,,"None found,","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Supernatural', 'Ecchi']",['Shounen'],27 min. per ep.,PG-13 - Teens 13 or older,7.41,#2319,#6847,"9,716",18,4269,Bundled with the with the ninth limited edition volume of the Majimoji Rurumo: Houkago no Mahou Chuugakusei manga.,"['Prequel (TV) Majimoji Rurumo', 'Adaptation (Manga) Majimoji Rurumo', 'Adaptation (Manga) Majimoji Rurumo: Makai-hen', '']",Majimoji Rurumo: Kanketsu-hen,,"Majimoji Rurumo OVA, Majimoji Rurumo OAD, Magimoji Rurumo OVA, Magimoji Rurumo OAD",,,,['School'],,
221,姫様LOVEライフ!,Princess Love Life!,['OVA'],4,Finished Airing,"May 31, 2019 to Jun 26, 2020",,,"None found,","None found,",['PoRO'],Visual novel,,,23 min. per ep.,Rx - Hentai,6.68,N/A,#7119,"8,829",21,3196,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Himesama Love Life!,,,,,,,['Hentai'],
222,少女教育RE,,['OVA'],2,Finished Airing,"Jul 5, 2019 to Sep 6, 2019",,,['Mary Jane'],"None found,",['New Generation'],Visual novel,,,15 min. per ep.,Rx - Hentai,6.61,N/A,#7705,"7,210",45,3104,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shoujo Kyouiku RE,,Girl's Education RE,,,,,['Hentai'],
223,鬼灯の冷徹 第2期 OAD,,['OVA'],3,Finished Airing,"Sep 20, 2019 to Sep 1, 2020",,,"None found,","None found,",['PINE JAM'],['Manga'],"['Comedy', 'Fantasy']",['Seinen'],22 min. per ep.,PG-13 - Teens 13 or older,7.54,#1826,#8173,"6,242",8,1409,"Bundled with the limited editions of 29th, 30th, and 31st volumes of the Hoozuki no Reitetsu manga.","['Adaptation (Manga) Hoozuki no Reitetsu', '']",Hoozuki no Reitetsu 2nd Season OVA,,"Cool-headed Hoozuki 2nd Season OVA, Hozuki no Reitetsu 2nd Season OVA",,,,['Mythology'],,
224,そしてわたしはおじさんに...,And to Uncle Kazu,['OVA'],4,Finished Airing,"Jul 26, 2019 to Oct 29, 2021",,,"None found,","None found,",['Nur'],Original,,,25 min. per ep.,Rx - Hentai,6.28,N/A,#8251,"6,087",22,2090,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Soshite Watashi wa Ojisan ni...,,,,,,,['Hentai'],
225,僕と先生と友達のママ,,['OVA'],2,Finished Airing,"Aug 30, 2019 to Oct 25, 2019",,,"['Queen Bee', 'Mediabank']","None found,",['Blue bread'],['Manga'],,,20 min. per ep.,Rx - Hentai,6.20,N/A,#8278,"6,046",24,2680,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Boku to Sensei to Tomodachi no Mama', '']",Boku to Sensei to Tomodachi no Mama,,,,,,,['Hentai'],
226,素晴らしき国家の築き方,,['OVA'],2,Finished Airing,"Sep 14, 2019 to Sep 28, 2019",,,['BOMB! CUTE! BOMB!'],"None found,","None found,",Game,,,14 min. per ep.,Rx - Hentai,6.18,N/A,#9584,"4,032",6,1372,Ariadne just became the princess of the small country Avon. But already it's in a deep financial crisis. In an effort to save the country she declares that Avon must focus on developing their sex industry. (Source: Translated from DlSite),[],Subarashiki Kokka no Kizukikata,,,,,,,['Hentai'],
227,porte,,['OVA'],1,Finished Airing,"Aug 21, 2019",,,['Warner Music Japan'],"None found,","None found,",Original,,,3 min.,PG - Children,6.62,#6419,#10419,"3,114",3,1033,Concept movie released in Keina Suda's 2nd EP,[],Porte,,,,,,,,
228,天気の子,Weathering with You,['Movie'],1,Finished Airing,"Jul 19, 2019",,,"['TOHO', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting', 'STORY', 'Lawson Entertainment']",['GKIDS'],['CoMix Wave Films'],Original,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",,1 hr. 52 min.,PG-13 - Teens 13 or older,8.27,#312,#156,"1,058,213","12,889",636678,"Tokyo is currently experiencing rain showers that seem to disrupt the usual pace of everyone living there to no end. Amidst this seemingly eternal downpour arrives the runaway high school student Hodaka Morishima, who struggles to financially support himself—ending up with a job at a small-time publisher. At the same time, the orphaned Hina Amano also strives to find work to sustain herself and her younger brother. Both fates intertwine when Hodaka attempts to rescue Hina from shady men, deciding to run away together. Subsequently, Hodaka discovers that Hina has a strange yet astounding power: the ability to call out the sun whenever she prays for it. With Tokyo's unusual weather in mind, Hodaka sees the potential of this ability. He suggests that Hina should become a ""sunshine girl""—someone who will clear the sky for people when they need it the most. Things begin looking up for them at first. However, it is common knowledge that power always comes with a hefty price... [Written by MAL Rewrite]","['Adaptation (Novel) Shousetsu Tenki no Ko', 'Adaptation (Manga) Tenki no Ko']",Tenki no Ko,,,"Weathering With You: Das Mädchen, das die Sonne berührte",El  Tiempo Contigo (Weathering With You),Les Enfants du Temps,,,
229,映画 この素晴らしい世界に祝福を！紅伝説,KonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson,['Movie'],1,Finished Airing,"Aug 30, 2019",,,"['Half H.P Studio', 'Nippon Columbia', 'Toranoana', 'MAGES.', '81 Produce', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'Sony Music Solutions']","None found,",['J.C.Staff'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,1 hr. 30 min.,PG-13 - Teens 13 or older,8.42,#182,#241,"833,425","4,985",527087,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic. When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang. There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke. [Written by MAL Rewrite]","['Prequel (TV) Kono Subarashii Sekai ni Shukufuku wo! 2', 'Sequel (TV) Kono Subarashii Sekai ni Shukufuku wo! 3', 'Adaptation (Manga) Kono Subarashii Sekai ni Shukufuku wo!', 'Adaptation (Light Novel) Kono Subarashii Sekai ni Shukufuku wo!']",Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"['Isekai', 'Parody']","KonoSuba Movie, Eiga Kono Subarashii Sekai ni Shukufuku wo!",Konosuba -God's Blessing on This Wonderful World!- Legend of Crimson,KonoSuba: God's Blessing on This Wonderful World!: Legend of Crimson,Konosuba -God's Blessing on This Wonderful World!- Legend of Crimson,,,
230,ヴァイオレット・エヴァーガーデン 外伝 -永遠と自動手記人形-,Violet Evergarden: Eternity and the Auto Memory Doll,['Movie'],1,Finished Airing,"Sep 6, 2019",,,"['Shochiku', 'ABC Animation']",['Funimation'],['Kyoto Animation'],['Light novel'],,,1 hr. 31 min.,PG-13 - Teens 13 or older,8.41,#196,#537,"449,572","1,664",264202,"Isabella, the daughter of the noble York family, is enrolled in an all-girls academy to be groomed into a dame worthy of nobility. However, she has given up on her future, seeing the prestigious school as nothing more than a prison from the outside world. Her family notices her struggling in her lessons and decides to hire Violet Evergarden to personally tutor her under the guise of a handmaiden. At first, Isabella treats Violet coldly. Violet seems to be able to do everything perfectly, leading Isabella to assume that she was born with a silver spoon. After some time together, Isabella begins to realize that Violet has had her own struggles and starts to open up to her. Isabella soon reveals that she has lost contact with her beloved younger sister, Taylor Bartlett, whom she yearns to see again. Having experienced the power of words through her past clientele, Violet asks if Isabella wishes to write a letter to Taylor. Will Violet be able to help Isabella convey her feelings to her long-lost sister? [Written by MAL Rewrite]","['Adaptation (Light Novel) Violet Evergarden Gaiden', '']",Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,,Violet Evergarden Side Story: Eternity and the Auto Memory Doll,Violet Evergarden und das Band der Freundschaft,Violet Evergarden Gaiden: La Eternidad y la Muñeca de Recuerdos Automáticos,Violet Evergarden: Eternité et la Poupée de Souvenirs Automatiques,,['Drama'],
231,ハロー・ワールド,,['Movie'],1,Finished Airing,"Sep 20, 2019",,,"['Yomiuri Telecasting', 'TV Osaka', 'Mainichi Broadcasting System', 'Movic', 'TOHO', 'Memory-Tech', 'Tokyo MX', 'Shueisha', 'Kansai Telecasting', 'CyberAgent', 'JR East Marketing & Communications', 'LINE Corporation', 'Marui Group', 'Lawson Entertainment', 'Hikari TV']","None found,",['Graphinica'],Original,"['Drama', 'Romance', 'Sci-Fi']",,1 hr. 37 min.,PG-13 - Teens 13 or older,7.49,#1999,#936,"275,065","1,514",120867,"The year is 2027, and the city of Kyoto has undergone tremendous technological advancement. Within the city live two classmates: Naomi Katagaki, a socially awkward and introverted boy; and Ruri Ichigyou, a girl with a cold personality who is often blunt with people. Despite sharing Ruri's love of reading, Naomi is afraid to approach her due to her unfriendly nature. One day, while out on a walk, Naomi witnesses a crimson aurora pierce through the sky for a brief moment before vanishing. Shortly after, he encounters a three-legged crow and a mysterious hooded man, who reveals himself to be Naomi from 10 years in the future, explaining that he has come to change an imminent tragic event that happens to Ruri soon after they start dating. Initially taking his words with a grain of salt, present-day Naomi follows his future self's instructions and starts getting closer to Ruri, determined to save her. Will he be able to change the future? [Written by MAL Rewrite]","['Adaptation (Novel) Hello World', 'Adaptation (Manga) Hello World']",Hello World,,,,,,,,
232,劇場版『ONE PIECE STAMPEDE』（スタンピード）,One Piece: Stampede,['Movie'],1,Finished Airing,"Aug 9, 2019",,,"None found,",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],1 hr. 41 min.,PG-13 - Teens 13 or older,8.19,#409,#1250,"205,555",675,127151,"Monkey D. Luffy and the Straw Hats arrive aboard the Sunny to the Pirates Festival, the world's largest celebration created by and for pirates. Buena Festa, the festival organizer, invites the Straw Hats and all Worst Generation crews to partake in the festivities. Luring even Shichibukai and Marines to its shores, it seems that no pirate or sailor can resist the enticing secrets that the event hides behind its glamor. The festival's contest is simple: find one of the treasures Gol D. Roger left behind. As the competition progresses, the various pirate crews fight each other in a free-for-all battle royale—that is, until the sudden appearance of an unexpected pirate drastically changes the game. [Written by MAL Rewrite]","['Adaptation (Light Novel) Gekijouban One Piece: Stampede', '']",One Piece Movie 14: Stampede,,,One Piece Film 14: Stampede,One Piece Película 14: Estampida,One Piece Film 14: Stampede,,,
233,二ノ国,,['Movie'],1,Finished Airing,"Aug 23, 2019",,,"None found,","None found,",['OLM'],Game,"['Action', 'Adventure', 'Fantasy']",,1 hr. 46 min.,PG-13 - Teens 13 or older,6.44,#7480,#2832,"66,986",65,33830,"Best friends Yuu, Haru, and Kotona enjoy a tranquil high school life together. One day, however, a suspicious man pursues and stabs Kotona—a catastrophe that Yuu and Haru fail to prevent. While hastily carrying the girl to the hospital, the two boys are nearly hit by a truck but miraculously remain unharmed. Instead, they find themselves in a fairy-tale-like kingdom with an exotic diversity of people and wonderful creatures. To their surprise, the boys discover that Yuu, who has been confined to a wheelchair since childhood, can now walk! Yet they have no time to ponder the puzzling situation, as their friend is gone. Setting off to find Kotona, Yuu and Haru stop at a local pub to inquire about her. But upon inspecting a picture of Asha, the kingdom's princess, the two have a shocking revelation. Narrating an extraordinary adventure in a magical world, Ni no Kuni demonstrates the special connection between two separate yet parallel worlds and its manifestation of the bonds between individuals. [Written by MAL Rewrite]",[],Ni no Kuni,,NiNoKuni,,,,['Isekai'],,
234,全职高手之巅峰荣耀,The King's Avatar: For the Glory,['Movie'],1,Finished Airing,"Aug 16, 2019",,,"['bilibili', 'China Literature Limited', 'Colored Pencil Animation Japan']","None found,",['Colored Pencil Animation'],Web novel,,,1 hr. 38 min.,PG-13 - Teens 13 or older,8.07,#572,#3190,"53,603",137,24752,"Two years ago, Glory started out as just another MMORPG, but its real-world influence has grown as more countries begin to recognize esports as an official sport. Now, in China, arrangements are being made to hold the first professional league of Glory, culminating in the Glory Championship. Friends Ye Qiu and Su Muqiu both aspire to make a career out of esports. However, due to personal reasons, Ye Qiu has been hesitant until now to chase his dream onto the national stage. When the two boys finally agree to form their own team, they are supported by Tao Xuan, their boss and the owner of Excellent Era internet cafe, after which they name their team. And so, Team Excellent Era sets their sights on defeating all opponents who stand in their way of reaching the ultimate summit of Glory. [Written by MAL Rewrite]","['Sequel (ONA) Quanzhi Gaoshou', '']",Quanzhi Gaoshou: Dianfeng Rongyao,,"Quan Zhi Gao Shou Movie, Full-Time Expert Movie, Master of Skills Movie, The King's Avatar Movie",,,,['Video Game'],['Action'],
235,銀河英雄伝説 Die Neue These 星乱,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 1,['Movie'],4,Finished Airing,"Sep 27, 2019",,,['Shochiku'],"None found,",['Production I.G'],Novel,"['Drama', 'Sci-Fi']",,25 min. per ep.,R - 17+ (violence & profanity),8.07,#561,#4197,"31,573",73,15116,"The Free Planets Alliance's invasion of the Galactic Empire has failed after supply mismanagement led to heavy losses. Unwilling to abort the expedition despite being greatly outnumbered, Fleet Admiral Lazar Lobos orders the remaining Alliance fleets to gather in the Amritsar Starzone for a final stand against the incoming counterattack. Strategic genius Fleet Admiral Reinhard von Lohengramm leads the Imperial forces into this decisive battle with an overwhelming advantage. However, his rival, tactical magician Vice Admiral Yang Wen-li of the Alliance, once again makes up for the incompetence of his superiors and stages a narrow escape for himself and his fellow soldiers. Though both Reinhard and Yang are displeased with the outcome—the former for his imperfect victory and the latter for the tremendous casualties—their attention must turn to the bubbling political unrest on both sides of the galaxy. [Written by MAL Rewrite]","['Prequel (TV) Ginga Eiyuu Densetsu: Die Neue These - Kaikou', 'Sequel (Movie) Ginga Eiyuu Densetsu: Die Neue These - Seiran 2', 'Adaptation (Manga) Ginga Eiyuu Densetsu', 'Adaptation (Manga) Ginga Eiyuu Densetsu']",Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Adult Cast', 'Military', 'Space']",Ginga Eiyuu Densetsu: Die Neue These 2nd Season,Legend of the Galactic Heroes: Die Neue These,La Leyenda de los Héroes de la Galaxia: La Nueva Tesis. Stellar War Parte 1,Legend of the Galactic Heroes: Die Neue These,,,
236,劇場版 Free!-Road to the World-夢,Free! -Road to the World- the Dream,['Movie'],1,Finished Airing,"Jul 5, 2019",,,"None found,",['Crunchyroll'],"['Kyoto Animation', 'Animation Do']",Original,,,1 hr. 39 min.,PG-13 - Teens 13 or older,7.72,#1250,#4300,"30,076",42,7984,Recap of the Free!: Dive to the Future TV series featuring new scenes.,"['Sequel (Movie) Free! Movie 4: The Final Stroke - Zenpen', '']",Free! Movie 3: Road to the World - Yume,,"Free! 3rd Season Movie, Free! Dive to the Future Movie",,,,['School'],['Sports'],
237,羅小黑戰記,The Legend of Hei,['Movie'],1,Finished Airing,"Sep 7, 2019",,,"None found,","None found,",['HMCH'],Original,"['Adventure', 'Drama', 'Fantasy']",,1 hr. 41 min.,G - All Ages,8.30,#286,#4342,"29,472",401,10208,"Luo Xiaohei is a young monster who normally takes the form of a small black cat. Living freely in the forests, gradual deforestation and human development force him to flee and find a new home. Wandering the city streets, the black cat struggles to survive until he encounters Feng Xi, a fellow monster who takes Xiaohei to an isolated island inhabited by a small group of monsters. Excited to find what he thinks is his new home, Xiaohei lives with the monsters for only a short time before Wuxian, a human Guild Executor, arrives on the island in pursuit of Feng Xi. Feng Xi and his companions manage to teleport off the island, leaving Xiaohei and Wuxian alone. Though Xiaohei refuses to cooperate with the man who attacked his friends, Wuxian forces the black cat to travel to the Guild along with him. Embarking on an uncertain journey, Xiaohei is exposed to a new perspective on the relations between humans and monsters in a rapidly changing world. [Written by MAL Rewrite]","['Sequel (ONA) Luo Xiao Hei Zhan Ji', '']",Luo Xiao Hei Zhan Ji (Movie),,The Legend of Luoxiaohei,,La Leyenda de Hei,,,,
238,劇場版 ポケットモンスター ミュウツーの逆襲evolution,Pokémon: Mewtwo Strikes Back - Evolution,['Movie'],1,Finished Airing,"Jul 12, 2019",,,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO', 'Shogakukan', 'TOMY Company', 'JR East Marketing & Communications']",['The Pokemon Company International'],"['OLM', 'OLM Digital', 'Sprite Animation Studios']",Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],1 hr. 36 min.,PG - Children,6.18,#8953,#4354,"29,363",10,16300,"When researchers discover and exploit a fossil of the Mythical Pokémon Mew, they unleash a creation that goes against the very laws of nature: Mewtwo, a Legendary Pokémon intended for use as a tool of destruction. But as Mewtwo becomes aware of its own dubious origin, it begins to resent its human creators and seeks revenge—and Satoshi, Pikachu, and their friends find themselves at the center of its rampage! With the future of the Pokémon world at stake, will our heroes be able to overcome Mewtwo’s challenge…and will Mewtwo be able to find a new meaning for its life? (Source: Official site)","['Adaptation (One-shot) Pokémon: Mewtwo no Gyakushuu', 'Adaptation (Manga) Mewtwo no Gyakushuu Evolution']",Pokemon Movie 22: Mewtwo no Gyakushuu Evolution,,Gekijouban Pocket Monsters: Mewtwo no Gyakushuu Evolution,,Pokémon Película 22: Mewtwo contraataca — Evolución,,,,
