,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Demographic,Spanish,Genre,German,Demographics
48,キン肉マンII世,Ultimate Muscle,,['TV'],51,Finished Airing,"Jan 9, 2002 to Dec 25, 2002",['Winter 2002'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","['4Kids Entertainment', 'Discotek Media']",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,6.91,#4756,#5270,"18,786",70,9631,"Kinnikuman II Sei takes place several years after the events of the original Kinnikuman. Mantarou Kinniku is the 59th prince of Planet Kinniku and son of the renowned wrestler, King Suguru. Lazy, immature, and cowardly, Mantarou seems to have little in common with his heroic father. When a powerful group calling themselves the dMP threatens the Earth, only someone as powerful as Kinnikuman stands a chance against them. Not knowing the current whereabouts of the King, a plan is formed to have his son Mantarou take up the mantle. The idea of fighting super villains does not sit well with Mantarou, who initially runs away from his duty. He flees to Earth where he encounters Meat, his father’s old trainer. Despite Mantarou's shortcomings, Meat sees King Suguru in him, and believes he can set the prince on the right path. Thus begins Mantarou's journey to better himself and save the world.","['Prequel (TV) Kinnikuman: Kanpeki Chоujin Shiso-hen Season 2', 'Sequel (TV) Kinnikuman II Sei: Ultimate Muscle', 'Adaptation (Manga) Kinnikuman II-sei', '']",Kinnikuman II Sei,"Kinnikuman Nisei, Kinnikuman Second Generations, Ultimate Muscle: The Kinnikuman Legacy",['Combat Sports'],,,,,
49,おジャ魔女どれみドッカ〜ン！,,,['TV'],51,Finished Airing,"Feb 3, 2002 to Jan 26, 2003",['Winter 2002'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.73,#1223,#5276,"18,737",304,8431,"Hana now becomes a peer of the Ojamajo. When Majotourbillon's spirit revives, the witches now have to break her curse. From the help from Pao-chan, Doremi, Hana, and the other witches are able to defeat the curses. (Source: ANN)","['Prequel (TV) Motto! Ojamajo Doremi', '']",Ojamajo Doremi Dokkaan!,Useless Witch Doremi Kaboom!,['Mahou Shoujo'],,,['Comedy'],,
50,ホイッスル！,,,['TV'],39,Finished Airing,"May 6, 2002 to Feb 3, 2003",['Spring 2002'],Unknown,['Marvelous Entertainment'],"None found,",['Studio Comet'],['Manga'],,"['School', 'Team Sports']",24 min. per ep.,G - All Ages,7.36,#2536,#5669,"15,479",79,7317,"Kazamatsuri Shou's dream has always been to become a professional soccer player, but he has one problem: he's not very good at the game. He was accepted to the prestigious Musashi no Mori Junior High, known for its top rate soccer team, but he was never able to rise beyond the rank of third stringer. After transferring to Sakura Jousui Junior High, he can finally play soccer. And, with the support of his new friends and teammates, his strong determination, and lots of hard work, his soccer skills are developing rapidly and setting Shou well on his way to achieving his dream. (Source: ANN)","['Adaptation (Manga) Whistle!', '']",Whistle!,,,['Shounen'],,['Sports'],,
51,サイキックアカデミー煌羅万象,Psychic Academy,,['TV'],24,Finished Airing,"Mar 29, 2002 to Sep 13, 2002",['Spring 2002'],Unknown,"['Starchild Records', 'GANSIS', 'Omnibus Promotion']",['Tokyopop'],['E&G Films'],['Manga'],"['Comedy', 'Romance', 'Ecchi']","['Love Polygon', 'School', 'Super Power']",11 min. per ep.,PG-13 - Teens 13 or older,6.18,#8953,#6190,"12,377",12,5080,"Insecure Ai Shiomi begins attending the prestigous Psychic Academy for psychically gifted students, following in the footsteps of his legendary older brother. (Source: ANN)","['Adaptation (Manga) Psychic Academy Oura Bansho', '']",Psychic Academy,Psychic Academy Aura Banshou,,['Seinen'],,,,
52,神鵰侠侶 コンドルヒーロー,Legend of the Condor Hero,,['TV'],26,Finished Airing,"Apr 11, 2001 to Oct 28, 2002",['Spring 2001'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#6905,"9,516",38,2863,"Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love. (Source: ANN)","['Sequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero,Shen Diao Xia Lu,['Historical'],,,,,
53,サザエさん,Mrs. Sazae,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9129,#7129,"8,812",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
54,忍たま乱太郎,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4018,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,['Kids'],El Ninja Boy Rantaró,['Comedy'],,
55,激闘! クラッシュギアTURBO,,,['TV'],68,Finished Airing,"Oct 7, 2001 to Jan 26, 2003",['Fall 2001'],Unknown,['Bandai Visual'],"None found,",['Sunrise'],Original,,,25 min. per ep.,G - All Ages,6.84,#5127,#7496,"7,731",38,4196,After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.,"['Sequel (Movie) Gekitou! Crush Gear Turbo: Kaizabaan no Chousen', 'Adaptation (Manga) Gekitou! Crush Gear Turbo']",Gekitou! Crush Gear Turbo,,,,,['Sports'],Crush Gear Turbo,
56,ちびまる子ちゃん,Little Miss Maruko,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2627,#7912,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,['School'],['Shoujo'],Chibi Maruko-chan,['Comedy'],,
57,ぱにょぱにょ　デ・ジ・キャラット,,,['TV'],48,Finished Airing,"Jan 6, 2002 to Apr 3, 2003",['Winter 2002'],Unknown,['Broccoli'],"None found,",['Madhouse'],Unknown,,,8 min. per ep.,G - All Ages,6.64,#6230,#8020,"6,548",14,2488,"Deijiko is the princess of the planet of Di Gi Charat. After reading a book, she is influenced to want to help everyone be happy. She leaves the castle and pretends to be a normal girl. She tries to make everyone happy by taking various jobs around the town and thereby making all sorts of new friends and inevitably, enemies. (Source: ANN)","['Sequel (TV) Di Gi Charat', '']",Panyo Panyo Di Gi Charat,"Di Gi Charat Panyo Panyo, DiGi Charat Panyo Panyo",,,,['Comedy'],,
58,あたしンち,My Family,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,,,,
59,로보짱 큐빅스,Cubix,Cubix: Robots pour Tous,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,,23 min. per ep.,PG - Children,5.38,#12487,#8846,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",['Mecha'],,,['Sci-Fi'],,
60,それいけ！アンパンマン,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,['Kids'],,,,
61,しあわせソウのオコジョさん,,,['TV'],51,Finished Airing,"Oct 2, 2001 to Sep 24, 2002",['Fall 2001'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Omnibus Promotion']","None found,",['Radix'],['Manga'],,,25 min. per ep.,G - All Ages,6.56,#6676,#9495,"4,159",5,767,"Haruka Tsuchiya is a plain and simple university student who has a pet by the name of Okojo-san. Okojo-san was actually born in one of the mountains in the North and brought to one of the pet shops to be sold. Determined to get out of the pet shop, Okojo-san formulated an escape strategy and ended up in the house of Haruka. There are always funny and strange occurances happening around the two, be it the people or animals who are near them. This is a gag anime in which absurdity is the main feature of the story. (Source: ANN)","['Adaptation (Manga) Okojo-san', '']",Shiawase Sou no Okojo-san,"Shiawase Apartment's Okojo-san, Happy Okojo",['Pets'],['Shoujo'],,['Comedy'],,
62,爆闘宣言ダイガンダー,Daigunder,,['TV'],39,Finished Airing,"Apr 5, 2002 to Dec 27, 2002",['Spring 2002'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Animation', 'Victor Entertainment']","None found,","[""Brain's Base""]",Original,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.82,#5245,#9631,"3,983",21,2189,"Akira Akebono, a young boy who is competing in a robot tournament where many of the robots are capable of transforming into animal forms. Akira wants to win the ultimate prize, the Titan Belt, with the help of his group of robots, all of which are capable of forming into the robot Daigunder. Daigunder is the creation of Akira's father, Professor Hajime Akebono. Together with a girl named Haruka, they compete under the name of Team Akira. However, Team Akira faces opposition from not only their competition, but a robot named Ginzan who is under the control of the evil Professor Maelstrom. (Source: ANN)",[],Bakutou Sengen Daigunder,"Bakutou Sengen Daigander, Bakutoh Sengen Daigunder",['Mecha'],,,,,
63,どーもくん,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,,,
64,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,,,
65,ワイルド7 another　謀略運河,Wild 7 Another,,['TV'],13,Finished Airing,"Apr 27, 2002 to Aug 31, 2002",['Spring 2002'],Saturdays at 11:00 (JST),"None found,",['Discotek Media'],['E&G Films'],['Manga'],"['Action', 'Adventure', 'Mystery']","['Detective', 'Gore']",24 min. per ep.,R - 17+ (violence & profanity),5.13,#13060,#12858,"1,474",1,337,"A big transatlantic ship, full of rich and important people for international business, has been taken by a group of terrorists. The only hope for their rescue is in the hands of a Japanese man known as Japa, but first, he must hire seven companions to help him, and together they will be the Wild Seven. The main plot occurs in the waters of Nicaragua's Canal. (Source: ANN)","['Prequel (OVA) Wild 7', '']",Wild 7 Another Bouryaku Unga,Wild 7 Swirling Canal,,['Shounen'],,,,
66,ののちゃん,,,['TV'],61,Finished Airing,"Jul 7, 2001 to Sep 28, 2002",['Summer 2001'],Unknown,"None found,","None found,",['Toei Animation'],['4-koma manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,6.07,#9542,#13155,"1,355",1,271,"Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise. (Source: ANN)","['Adaptation (Manga) Tonari no Yamada-kun', '']",Nono-chan,Nonoko,,,,,,
67,しましまとらのしまじろう,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,['Anthropomorphic'],['Kids'],,,,
68,ベイベーばあちゃん,Baby Grandma,,['TV'],53,Finished Airing,"Apr 8, 2002 to Dec 4, 2002",['Spring 2002'],Not scheduled once per week,"['Bandai Visual', 'NHK', 'Bandai']","None found,","None found,",Original,"['Comedy', 'Drama']",,7 min. per ep.,G - All Ages,6.44,#7443,#13566,"1,213",0,359,"Amika is a elementary school student who dreams of becoming an idol. Her grandmother is a harsh yet wealthy woman who lives on a remote island that she owns. When her grandmother passed away, Amika's life begins to appear subtle changes. Not long after the passing of her grandmother, Amika's mother gave birth to a baby girl. Ironically, Amika's little sister looks and behaves exactly like her grandmother. (Source: ANN)",[],Baby Baachan,,,,,,,
69,親子クラブ,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12202,#13610,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
70,電光超特急ヒカリアン,,,['TV'],52,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Unknown,"['TV Tokyo', 'Tokyo Kids']","None found,","None found,",Unknown,"['Action', 'Adventure']",,25 min. per ep.,G - All Ages,6.30,#8243,#13803,"1,132",2,261,The second season of Chou Tokkyuu Hikarian.,"['Prequel (TV) Chou Tokkyuu Hikarian', '']",Denkou Chou Tokkyuu Hikarian,"Hikarian 2: Lightning Attack Express, Lightning Super Express Hikarian",,['Kids'],,,,
71,キックオフ２００２,Kick Off (2002),,['TV'],26,Finished Airing,"Feb 18, 2002 to Sep 2, 2002",['Winter 2002'],Mondays at 18:02 (JST),"['Half H.P Studio', 'KBS']","None found,","None found,",Game,,,23 min. per ep.,PG - Children,[],#19415,#15721,669,0,,"A soccer animation produced for the 2002 FIFA World Cup co-hosted by Korea and Japan. The main characters are two young men, a Japanese playmaker and a Korean striker. Friendship with teammates, their growth as soccer players, etc. are drawn. (Source: Wikipedia)",[],Kick Off 2002,,['Team Sports'],,,['Sports'],,
72,レッチュ ゲッチュ サルゲッチュ,,,['TV'],76,Finished Airing,"Apr 8, 2002 to Sep 30, 2002",['Spring 2002'],Unknown,"None found,","None found,","None found,",Game,,,45 sec. per ep.,PG - Children,5.56,#11926,#16254,594,1,131,"The monkeys are up to no good again, but this time they're on the ""heroes"" side. Performing no good magic shows, cloning themselves with a ninja Jutsu and filling UFO catchers with themselves are just a few of the tricks they're pulling, while at the same time trying to adapt themselves to the human lifestyle.","['Prequel (Special) Letchu, Getchu, Saru Getchu Episode 0', '']","Letchu, Getchu, Saru Getchu","Let You, Get You, Saru Get You, Ape Escape: Let Me Get You",,,,['Comedy'],,
73,フォルツァ！ひでまる,,,['TV'],26,Finished Airing,"Apr 6, 2002 to Sep 28, 2002",['Spring 2002'],Unknown,['Nihon Ad Systems'],"None found,",['Gallop'],['Manga'],,,25 min. per ep.,G - All Ages,[],#18016,#16362,578,1,,"A soccer anime with a cast of wacky animals in sports getup seems far out of its time in the early 21st century, but it was the year of the World Cup in Japan and South Korea, and the very young audience sees these tropes with fresh eyes. Hidemaru is a feisty fox; his friends include bunnies, dogs, horses, and a couple of hefty hippo girls. Based on a manga Hidemaru the Soccer Boy by Makoto Mizobuchi, serialized in CoroCoro Comics. (Source: AnimeVice)",[],Forza! Hidemaru,"Go for It! Hidemaru, Go for It! Mario, Forza! Hidemaru, Forza! Mario, Forutsa! Mario, Forutsa! Hidemaru",['Team Sports'],,,['Sports'],,
74,ストレイシープ ポーのちっちゃな大冒険,,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,,2 min. per ep.,PG - Children,5.99,#9950,#16838,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,['Kids'],,['Comedy'],,
75,だんご3兄弟あっという間劇場,,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",['Music'],['Kids'],,,,
76,哈皮父子,Happy Father Happy Son,,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,6 min. per ep.,PG - Children,[],#18441,#22578,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,"Ha Pi Fuzi, Happy Father and Son",,['Kids'],,,,
77,검정 고무신,Black Rubber Shoes,,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,11 min. per ep.,PG - Children,[],#18180,#23244,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,['Kids'],,,,
78,해로와 토레미,Hero & Amy,,['TV'],26,Finished Airing,"Jan 18, 2002 to Aug 20, 2002",['Winter 2002'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,[],#18353,#23417,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Haerowa Toremi,Turtle Hero,,['Kids'],,,,
79,銀河鉄道９９９,,,['ONA'],6,Finished Airing,"Sep 9, 2002 to Jul 2004",,,"None found,","None found,",['Toei Animation'],Unknown,"['Adventure', 'Drama', 'Sci-Fi']",,15 min. per ep.,G - All Ages,6.07,#9572,#12850,"1,481",1,332,A flash animation remake of the Ginga Tetsudou 999 series.,"['Adaptation (Manga) Ginga Tetsudou 999', '']",Ginga Tetsudou 999 (ONA),Galaxy Express 999 (ONA),['Space'],,,,,
80,GEISYA WARS,,,['ONA'],1,Finished Airing,"Jul 16, 2002",,,"None found,","None found,",['Anon Pictures'],Unknown,"['Action', 'Comedy', 'Sci-Fi']",,2 min.,G - All Ages,5.14,#13038,#20714,247,0,105,"The young Padawan, Geisya Skywalker, has grown tied of training recently.",[],Geisya Wars,,['Parody'],,,,,
81,スウェットパンチ,Sweat Punch,,['OVA'],5,Finished Airing,"Mar 2, 2002 to Jul 1, 2006",,,"['Grasshoppa!', 'Beyond C.']","None found,",['Studio 4°C'],Original,"['Action', 'Fantasy']","['Historical', 'Mecha']",11 min. per ep.,R+ - Mild Nudity,7.27,#2986,#3790,"39,348",190,16373,Sweat Punch is a series of five Studio 4°C shorts collected as a direct-to-DVD package film entitled Deep Imagination.,[],Sweat Punch,"Deep Imagination, Dan Petory Kyoushu no Yuutsu, Professor Dan Petry's Blues, End of the World, Kigeki, Comedy, Higan, Beyond, Garakuta no Machi, Junk Town",,,,,,
82,ふたりエッチ,Step Up Love Story,Step Up Love Story,['OVA'],4,Finished Airing,"Jul 26, 2002 to Jan 22, 2004",,,['Half H.P Studio'],['Media Blasters'],['Chaos Project'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,27 min. per ep.,R+ - Mild Nudity,6.31,#8224,#3835,"38,558",86,17870,"Makoto and Yura Onoda are a newly-wed couple with zero sexual experience. Yura is a shy and naive 25-year-old woman whose good looks grab men's attention, something that she dislikes because she gets embarrassed very easily. Her husband Makoto is of the same age, but as opposed to his wife, he loves having dirty thoughts about other women. Physically though, Makoto is truly faithful to Yura. Both of them may be virgins, but now that they are married, they are ready to dive into the world of sex, ""practicing"" as often as possible. However, the world of sex is complex, so they need all the help they can get to find their way through it. Thankfully, their friends, acquaintances, and porn media lend them a helping hand.","['Sequel (OVA) Futari Ecchi (2014)', 'Adaptation (Manga) Futari Ecchi']",Futari Ecchi,Futari H,['Adult Cast'],['Seinen'],,,Manga Love Story - Step Up Love Story,
83,.hack//LIMINALITY,.hack//Liminality,,['OVA'],4,Finished Airing,"Jun 20, 2002 to Apr 10, 2003",,,"['Bandai Visual', 'Bandai', 'CyberConnect2']",['Bandai Entertainment'],['Bee Train'],Original,,,33 min. per ep.,PG-13 - Teens 13 or older,6.58,#6600,#4029,"34,662",34,17021,"While playing the newly released MMORPG ""The World,"" Minase Mai and Tomonari Kasumi collapse in the real world and are sent to the hospital after hearing a mysterious sound. Only Mai recovers, while her friend Kasumi slips into a mysterious coma. Mai is later approached by the creator of ""The World,"" Tokuoka Junichiro, who unveils to her that, just like her friend, six other players across the country also collapsed while playing ""The World"" and are now in mysterious comas. What exactly is ""The World,"" what is this mysterious sound Mai keeps on hearing, and why are people slipping into comas from this game? Minase, Junichiro, and their acquaintances set off to get to the bottom of this problem before any further harm happens. [Written by MAL Rewrite]",[],.hack//Liminality,Hack OVA,['Video Game'],,,['Mystery'],,
84,バイブルブラック 外伝,Bible Black Origins,Bible Black Origine,['OVA'],2,Finished Airing,"May 25, 2002 to Aug 25, 2002",,,"['Milky Animation Label', 'Active']",['Media Blasters'],['Studio Jam'],Visual novel,"['Supernatural', 'Hentai']",,28 min. per ep.,Rx - Hentai,6.66,N/A,#4451,"28,103",71,14498,"After their rejected request to create a formal student magic club, Hiroko Takashiro, Saki Shidou, and Rie Morita are forced to continue practicing witchcraft in their free time only. One day, Rie comes across a dusty, hand-written book. Found on a sales pile in an antique shop, the manuscript seems to be nothing more than a foreign curiosity. Upon translating the book, the girls discover simple spells designed to bend an unsuspecting victim to the user's will and impose one's sexual desires on them. Realizing they have come into possession of a mighty weapon, the group begins fulfilling different requests of other students—be it for love, vengeance, or sexual desire. As the situation spirals out of control, the magic club gradually transforms into a cult of blood, lust, and human sacrifice. [Written by MAL Rewrite]","['Sequel (OVA) Bible Black', '']",Bible Black Gaiden,,,,,,,
