,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Theme,French,Genre,Demographics
49,"Shura no Toki - Age of Chaos, Shura no Toki",陸奥圓明流外伝 修羅の刻,Time of Shura,['TV'],26,Finished Airing,"Apr 6, 2004 to Sep 28, 2004",['Spring 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Marvelous Entertainment', 'Media Factory']",['Media Blasters'],['Studio Comet'],['Manga'],,"['Historical', 'Martial Arts', 'Samurai']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.54,#1796,#4639,"25,574",135,10310,"Legends tell of an invincible martial art known as Mutsu Enmei-Ryu, an unarmed style that allows the user to defeat any number of armed opponents using incredible speed and strength. This is the story of three generations of those who bear the name Mutsu, and their encounters and battles with the strongest fighters of their era. (Source: ANN)","['Adaptation (Manga) Mutsu Enmei-ryuu Gaiden: Shura no Toki', '']",Mutsu Enmei Ryuu Gaiden: Shura no Toki,,,,L'Ère des Shura,['Action'],
50,"Saiyuki Reload Gunlock, SRG",最遊記RELOAD GUNLOCK,Saiyuki Gunlock,['TV'],26,Finished Airing,"Apr 2, 2004 to Sep 24, 2004",['Spring 2004'],Fridays at 01:30 (JST),"None found,",['Geneon Entertainment USA'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",,['Josei'],24 min. per ep.,PG-13 - Teens 13 or older,7.37,#2506,#4721,"24,547",48,8877,"The Sanzo Ikkou continues its westward journey, on a mission to prevent a demonic resurrection. As Genjo Sanzo, Cho Hakkai, Sha Gojyo, and Son Goku fight their way to their goal, their path is fraught with internal strife. When they encounter a formidable pair of adversaries from the west, the cohesion of the group -- and the fate of the mission -- may be at stake. (Source: ANN)","['Prequel (TV) Saiyuuki Reload', 'Sequel (TV) Saiyuuki Reload Blast', 'Adaptation (Manga) Saiyuuki Reload', '']",Saiyuuki Reload Gunlock,,,['Mythology'],Saiyuki Gunlock,,
51,"Gorgeous Tango: The Mars Daybreak, Kenran Butoh Sai: The Mars Daybreak",絢爛舞踏祭ザ･マーズ･デイブレイク,Mars Daybreak,['TV'],26,Finished Airing,"Apr 1, 2004 to Sep 23, 2004",['Spring 2004'],Unknown,"None found,",['Bandai Entertainment'],['Bones'],Original,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']","['Mecha', 'Military']",,23 min. per ep.,PG-13 - Teens 13 or older,7.13,#3762,#4845,"23,038",33,8360,"Mars is now almost entirely covered in water. Humanity exists in large city-ships that float through the open seas. But life is hard for those who live on Mars—the economy is in bad shape, work is scarce, and food is expensive and highly prized. Gram and his friends try to do the best they can, but the work keeps drying up. Some have taken to a life of piracy to combat the corruption in the government; one such group is the pirates of the feared Ship of Aurora. And the Earth government, which rules Mars, has dispatched a new team of military pilots to combat them. In their specialized mecha called Round Bucklers, they must make the seas of Mars safe for humanity. Caught in the wrong place at the wrong time, Gram finds himself on the run with the most notorious pirates on Mars. But here's the thing—he's starting to like them! (Source: Bandai Entertainment)",[],Kenran Butou Sai: The Mars Daybreak,,,,Mars Daybreak,,
52,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",,['Shoujo'],21 min. per ep.,G - All Ages,7.30,#2838,#5032,"21,099",137,9262,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,,,['School'],Mirmo!,,
53,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5110,"20,327",197,7454,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,Kochikame,,,['Comedy'],
54,,忘却の旋律,The Melody of Oblivion,['TV'],24,Finished Airing,"Apr 7, 2004 to Sep 22, 2004",['Spring 2004'],Wednesdays at 02:54 (JST),"['Gainax', 'Kadokawa Shoten', 'TBS', 'Ken Media']",['Geneon Entertainment USA'],['J.C.Staff'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","['Mecha', 'Psychological', 'Space', 'Super Power']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.26,#8494,#5155,"19,885",42,6492,"A great war occurred in the 20th century between humans and monsters. Since that time, the monsters rule the world in fear but keep relatively hidden from public view. A boy named Bokka ponders the past and wonders what became of the Meros Warriors who defended the world so bravely against the demons. He soon meets Kurofune and learns of the power of the Meros and the I-bar machines they ride in battle. Warriors are the only ones who can see and hear the Melody of Oblivion, a phantom girl hidden away waiting to be rescued and be the savior of mankind. During a battle between Kurofune and a demon, Bokka discovers something only his wildest dreams could possibly imagine...he too can hear that melody. Throughout his journeys, Bokka meets many monsters and their agents, friends, and companions as he discovers the true extent of his new powers. He must continue to battle evil in the hope of releasing Boukyaku no Senritsu and free a world that has forgotten its once beautiful melody. (Source: ANN)","['Adaptation (Manga) Boukyaku no Senritsu', '']",Boukyaku no Senritsu,The Melody of Oblivion,La Melodía del Olvido,,The Melody of Oblivion,,
55,Rockman EXE Axess,ロックマンエグゼ Axess,MegaMan NT Warrior: Axess,['TV'],51,Finished Airing,"Oct 4, 2003 to Sep 25, 2004",['Fall 2003'],Unknown,"['TV Tokyo', 'Shogakukan Productions']",['VIZ Media'],['Xebec'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,24 min. per ep.,PG - Children,7.14,#3703,#5313,"18,473",49,8920,"Netto's father Yuuichirou Hikari has made a scientific breakthrough by introducing the ""synchro chips"". If an operator and his or her navi are in a special enviroment known as a ""dimensional area"", they can fuse together in the real world via a technique called ""cross fusion""! Yuuichirou's first test subject, Misaki Gorou, attempts the process and sadly fails. Netto offers to try with Rockman, but his father forbids it. Cross Fusion puts enormous strain on the operator's health, and battling in the real world could mean death. (Source: Official Site)","['Prequel (TV) Rockman.EXE', 'Sequel (TV) Rockman.EXE Stream']",Rockman.EXE Axess,,,['Strategy Game'],,,
56,"Bedaman, Battle B'Daman",B-伝説(ビーレジェンド)! バトルビーダマン,Battle B-Daman,['TV'],52,Finished Airing,"Jan 5, 2004 to Dec 27, 2004",['Winter 2004'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights', 'Heewon Entertainment']",['Hasbro'],['Nippon Animation'],['Manga'],"['Adventure', 'Fantasy']",,['Kids'],22 min. per ep.,PG - Children,6.31,#8218,#5822,"14,467",30,8063,"Upon the creation of marble launching machines known as B-Daman, people started to participate in the competitive sport B-DaBattles. However, B-Daman contain hidden powers which enhance marble shooting that can be misused for combative purposes. One night, a certain object residing behind the walls of a restaurant calls upon Yamato Daiwa—a boy raised by cats. Yamato has been having visions of the object which resembles a machine familiar to everyone. Little does he know, hidden behind the walls is not a mere machine, but the fate of the world. [Written by MAL Rewrite]","['Sequel (TV) B-Legend! Battle B-Daman Fire Spirits!', 'Adaptation (Manga) B-Densetsu! Battle B-Daman']",B-Legend! Battle B-Daman,,,['Strategy Game'],,,
57,Superior Defender Gundam Force,SDガンダムフォース,,['TV'],52,Finished Airing,"Jan 7, 2004 to Dec 29, 2004",['Winter 2004'],Wednesdays at 18:00 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Bandai Entertainment'],['Sunrise'],Original,"['Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,5.40,#12435,#6770,"9,988",11,4763,"The land of Neotopia is attacked by the Dark Axis, evil invaders from another dimension who wish to conquer this land. Neotopia's answer: the secret Super Dimensional Guard and their defenders, the Gundam Force. Led by Captain Gundam, the Gundam Force and its team of Gundams with special abilities are aided by a boy named Shute as they stop at nothing to defend the land from the Dark Axis and to defeat them once and for all. (Source: ANN)",[],SD Gundam Force,,,['Mecha'],,,
58,F-Zero: The Legend of Falcon,F-ZERO ファルコン伝説,F-Zero: GP Legend,['TV'],51,Finished Airing,"Oct 7, 2003 to Sep 28, 2004",['Fall 2003'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['4Kids Entertainment'],['Ashi Productions'],Game,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'Racing']",,23 min. per ep.,PG - Children,6.52,#6969,#6776,"9,977",65,2869,"Rick Wheeler was a police detective who got into a fatal car accident while pursuing the criminal Zoda. He was placed into artificial coldsleep for 150 years. Wheeler is brought back to life by Jody Summer and Dr. Stewart, who work with a group of good racers who try to keep prize money out of the hands of unsavory people like the Dark Million Organization run by Black Shadow and Deathborn.",[],F-Zero: Falcon Densetsu,,,,,,
59,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9129,#7129,"8,812",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,
60,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4017,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,El Ninja Boy Rantaró,,,['Comedy'],
61,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7909,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,Chibi Maruko-chan,['School'],,['Comedy'],
62,Tetsujin 28-go (2004),鉄人２８号 (2004),Tetsujin 28,['TV'],26,Finished Airing,"Apr 8, 2004 to Sep 30, 2004",['Spring 2004'],Thursdays at 01:30 (JST),"['Genco', 'GANSIS']","['Discotek Media', 'Geneon Entertainment USA']",['Palm Studio'],['Manga'],"['Adventure', 'Drama', 'Sci-Fi']","['Historical', 'Mecha']",['Shounen'],25 min. per ep.,G - All Ages,7.33,#2684,#8025,"6,525",41,1692,"In post-WWII Japan, Prof. Shikishima has built up Shikishima Industries to be a technological powerhouse, working on developing robots. However, at the heart of their success lurks a dark secret from the war, something that cost the life of Prof. Kaneda, the mentor of Prof. Shikishima. Now Kaneda's son, Shoutarou, is about to learn the truth, and it will change him forever. (Source: ANN)","['Adaptation (Manga) Tetsujin 28-gou', '']",Tetsujin 28-gou (2004),,,,,,
63,,トランスフォーマー スーパーリンク,Transformers Energon,['TV'],51,Finished Airing,"Jan 9, 2004 to Dec 24, 2004",['Winter 2004'],Fridays at 18:00 (JST),"None found,",['Hasbro'],['Actas'],Other,"['Adventure', 'Sci-Fi']","['Mecha', 'Space']",,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9304,#8179,"6,246",16,3069,"It has been 10 years since the fateful battle with Unicron. Many of the Decepticons who fought in the battle against Unicron have joined forces with the Autobos to mine for Energon, an alternate energy source. But a new source of evil has a risen, Alpha Q who plans to steal the Energon from the Autobots with the help of Scorponok and the Terrorcons. This new evil is trying to revive Megatron and Unicron in order to rekindle the old flames of war. (Source: ANN)","['Prequel (TV) Chou Robot Seimeitai Transformers Micron Densetsu', 'Sequel (TV) Transformers Galaxy Force']",Transformers Superlink,,,,Transformers Energon : La Bataille de L'Energon,,
64,Atashinchi,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,,25 min. per ep.,G - All Ages,7.38,#2439,#8235,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,,
65,,デュエル・マスターズ　チャージ,,['TV'],52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",['Spring 2004'],Unknown,"None found,","None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy']",,['Kids'],21 min. per ep.,PG-13 - Teens 13 or older,6.17,#9001,#8375,"5,905",3,2934,"Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!? (Source: DuelMasters.wikia.com)","['Prequel (TV) Duel Masters', 'Sequel (TV) Zero Duel Masters']",Duel Masters Charge,,,,,,
66,,ダンドー,,['TV'],26,Finished Airing,"Apr 3, 2004 to Sep 25, 2004",['Spring 2004'],Saturdays at 09:30 (JST),"['TV Tokyo', 'HoriPro']",['Bandai Entertainment'],['Tokyo Kids'],['Manga'],"['Adventure', 'Sports']",,['Shounen'],24 min. per ep.,G - All Ages,6.63,#6295,#8958,"4,978",3,2082,"Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships. (Source: ANN)","['Adaptation (Manga) Dan Doh!!', '']",Dan Doh!!,,,,,,
67,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9190,"4,612",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,,
68,,かいけつゾロリ,Kaiketsu Zorori,['TV'],52,Finished Airing,"Feb 1, 2004 to Feb 6, 2005",['Winter 2004'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Unknown,"['Adventure', 'Comedy']",,,24 min. per ep.,PG - Children,7.08,#4004,#9507,"4,143",45,1617,"Adapted from the popular storybooks of the same name by Yutaka Hara, Kaiketsu Zorori follows the adventures of a scheming fox named Zorori, who is determined to become the King of Mischief with his very own castle and beautiful bride. Although Zorori is notorious for his pranks and tricks, his conniving plots often backfire and end up helping his targets, and despite appearing to be villainous and immoral, he is actually caring and sentimental. Nevertheless, Zorori has the wits, intelligence, and dexterity to always find a solution out of the most hopeless of situations. Travelling with a pair of twin boar bandits, Ishishi and Noshishi, he continues on his journey to make his deceased mother proud.","['Sequel (TV) Majime ni Fumajime Kaiketsu Zorori', '']",Kaiketsu Zorori,,,,Zorori - Le Magnifique,,
69,,レジェンズ 甦る竜王伝説,Legendz: Tale of the Dragon Kings,['TV'],50,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Unknown,"None found,","None found,",['Gallop'],Unknown,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,24 min. per ep.,G - All Ages,7.33,#2661,#9786,"3,810",48,1478,"When a crafty toy company ""Wiz"" also known in this show as Dark Wiz Company, finds crystals with the faint DNA of monsters known as ""Legendz"" are found and made into a battle game. A young boy named Shu receives one these crystals known as ""soul figures"" from his father after a baseball game. Legendz rapidly became popular and more and more children played it. Wiz employeys start to track down Shu for his special soul figure, for his soul figure can revive real legendz not just the little kiddy digital images! How will Shu fight his way to victory and claim this soul figure as his own? (Source: TV.com)","['Adaptation (Manga) Legendz', '']",Legendz: Yomigaeru Ryuuou Densetsu,,,,,,
70,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7543,#10462,"3,085",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,
71,AM Driver,Get Ride! アムドライバー,,['TV'],51,Finished Airing,"Apr 5, 2004 to Mar 28, 2005",['Spring 2004'],Mondays at 18:30 (JST),"['Nihon Ad Systems', 'Illumitoon Entertainment']","None found,",['Studio Deen'],Original,"['Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.25,#8573,#10905,"2,704",5,716,"In the future, human beings are attacked by beings called the Bug-chine, which appeared a few years back. No normal human weapon can defeat the Bug-chine, but there is hope. It is the AMDrivers that will save the earth. They are solders using the latest ""AM Technology"". With overwhelming power, they will beat the Bug-chine one after another and become heroes, as well as capture the hearts of their fans. (Source: ANN)",[],Get Ride! AMDriver,,,['Mecha'],,,
72,"Panda Zeto, Robonimal Panda-Z: The Robonimation",パンダーゼット THE ROBONIMATION,,['TV'],30,Finished Airing,"Apr 12, 2004 to Oct 4, 2004",['Spring 2004'],Unknown,"['Bee Media', 'Dynamic Planning']",['Bandai Entertainment'],"['Bee Train', 'Synergy Japan']",['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Mecha', 'Parody']",['Kids'],5 min. per ep.,PG - Children,6.10,#9379,#11003,"2,621",2,916,"Panda-Z chronicles the misadventures of Pan Taron and his giant robot Panda-Z, as they battle the evil Skull Panda and his Warunimal forces. (Source: ANN)",[],Panda-Z: The Robonimation,,,,,,
73,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7748,#11558,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,
74,"Mashumaro Taimusu, The Raspberry Times",マシュマロ通信 <タイムス>,,['TV'],52,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Sundays at 09:30 (JST),"['Studio Comet', 'Seoul Movie']","None found,","None found,",['Manga'],,,,24 min. per ep.,G - All Ages,6.68,#6001,#12326,"1,747",9,664,"The series focuses on 7 children and a sheep-like character. Together, they work together as a team and hang out together. They wear various fashion through the series. They also have different colored hair. Sandy, a girl who has a pet sheep-like character named Cloud and 6 other children, Jasmine, Lime, Basil, Clove, Nattsu, and Cinnamon, became friends, they become a news reporter team. Each episode has the children dressed in various clothes. (Source: ANN)","['Adaptation (Manga) Marshmellow Tsuushin', '']",The Marshmallow Times,,,,,['Slice of Life'],
75,"Croquette!, Corokke!",コロッケ！,Croket!,['TV'],104,Finished Airing,"Apr 7, 2003 to Mar 27, 2005",['Spring 2003'],Mondays at 18:30 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],20 min. per ep.,G - All Ages,6.88,#4949,#12563,"1,618",4,614,"The ""Forbidden Treasure"" is an extraordinary artefact who can grant any wishes. The people seeking it are called the Bankers, and our hero, Corokke, is one of them.","['Adaptation (Manga) Croket!', '']",Croket!,,,,,,
76,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,G - All Ages,5.92,#10324,#13255,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Anthropomorphic'],,,
77,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12200,#13608,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,
78,Grandpa Danger,絶体絶命でんぢゃらすじーさん,,['TV'],51,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Unknown,"['Shogakukan', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],,,['Kids'],5 min. per ep.,PG - Children,5.76,#11136,#15426,718,2,148,"Grandpa Danger is a world where the great protector is Grandpa Danger! He's an expert at falling off of cliffs, dealing with a principal who suffers from a severe inferiority complex, and escaping the hidden dangers of sleep! He's a nonsensical, utterly disgusting, relentless prankster. Grandpa Danger's excessive phlegm and farts frustrate Grandson to hilarious extremes, and make you laugh until your stomach splits! (Source: AniDB)","['Prequel (TV) Zettai Zetsumei Dangerous Jiisan', 'Sequel (TV) Zettai Zetsumei Dangerous Jiisan (2005)', 'Adaptation (Manga) Zettai Zetsumei Dangerous Jiisan', '']",Zettai Zetsumei Dangerous Jiisan (2004),,,,,['Comedy'],
79,,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],2 min. per ep.,PG - Children,5.99,#9951,#16832,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,,,['Comedy'],
80,,それいけ! ズッコケ三人組,,['TV'],26,Finished Airing,"Apr 4, 2004 to Oct 3, 2004",['Spring 2004'],Unknown,['TV Tokyo'],"None found,",['Nippon Animation'],Novel,,,['Kids'],25 min. per ep.,PG - Children,[],#14562,#17816,435,0,,"Based on Nasu Masamoto's Zukkoke Sannin-gumi juvenile novels series. The main characters are 6 grade boys, Hachibei, Hakase, and Mo-chan. This anime shows their adventures. (Source: AnimeNfo)",[],Sore Ike! Zukkoke Sannin-gumi,,,['School'],,['Comedy'],
81,,아쿠아 키즈,Aqua Kids,['TV'],26,Finished Airing,"Apr 1, 2004 to Sep 23, 2004",['Spring 2004'],Thursdays at Unknown,"None found,","None found,",['CinePix'],Original,,,['Kids'],26 min. per ep.,G - All Ages,[],#16626,#18029,418,3,,The polar ice caps have melted due to global warming. The human race has been stuck on one island as the marine life begins to evolve. Kids use a submarine and the help of their robot companions to explore the depths and come upon an ancient secret underwater civilization with treasure. It's a new hope for the human race to live under water but a money hungry real-estate tycoon stands in their way of peace.,[],Aqua Kids,,,,,['Adventure'],
