,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Genre,Theme,Themes,German,Demographics
106,テイルズ オブ ファンタジア THE ANIMATION,Tales of Phantasia,['OVA'],4,Finished Airing,"Nov 25, 2004 to Feb 24, 2006",,,"['Frontier Works', 'Geneon Entertainment']","['Discotek Media', 'Geneon Entertainment USA']",['Actas'],Game,"['Adventure', 'Fantasy']",,29 min. per ep.,PG-13 - Teens 13 or older,6.76,#5537,#4755,"24,130",42,11050,"Tragedy strikes the lives of Cless Alvein, a young swordsman, and Chester Barklight, a young archer, as they return to their village of Totus to find it razed to the ground by the mysterious Black Knight. To take over the world, the Black Knight seeks to claim the power of the Demon King, Dhaos—sealed away by the ancestors of Cless and a young cleric named Mint Adnade. Dhaos' reawakening signals not only the end of the Black Knight, but potentially the world. Cless and Mint must now journey a century into the past to rally allies capable of vanquishing the Demon King once and for all. Tales of Phantasia The Animation follows Cless and Mint's journey through time to long ago, where they forge an alliance with the half-elf sorceress Arche Klaine and the summoner Klarth F. Lester. Together, they strive to defeat Dhaos and his army in saving the past as well as the years to come.","['Adaptation (Manga) Tales of Phantasia', '']",Tales of Phantasia The Animation,,Tales of Phantasia: The Animation,Tales of Phantasia: The Animation,,['Time Travel'],,Tales of Phantasia: The Animation,
107,アカネマニアックス,,['OVA'],3,Finished Airing,"Nov 25, 2004 to Aug 26, 2005",,,"['Lantis', 'Media Factory', 'Age']","None found,",['Silver'],Visual novel,"['Comedy', 'Romance']",,27 min. per ep.,PG-13 - Teens 13 or older,5.73,#11217,#5196,"19,521",10,9719,"Jouji Gouda is a new transfer student at Hakuryo High. He fell in love at first sight and boldly proposed to Akane Suzumiya, representative of his class, on his first day at the new school. Although Akane finds him very annoying, hot-blooded and simple-minded Jouji never gives up and would do anything to express his love towards Akane.",[],Akane Maniax,"Kimi ga Nozomu Eien Gaiden, The Eternity You Desire Gaiden",,,,['Mecha'],,,
108,機動戦士ガンダム MS IGLOO: 1年戦争秘録,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,['OVA'],3,Finished Airing,"Jul 19, 2004 to Nov 3, 2004",,,"None found,","['Nozomi Entertainment', 'Bandai Visual USA']",['Sunrise'],Original,"['Action', 'Sci-Fi']",,27 min. per ep.,PG-13 - Teens 13 or older,6.51,#7002,#5438,"17,251",14,8784,"The year is Universal Century 0079. Oliver May is a technical officer in the Zeon 603rd Technical Evaluation Unit , in charge of testing new military technology. Stationed in the Jotunheim, a civilian transport ship that was converted into military use, Oliver must head into battle and experience the One Year War, only this time from the perspective of a weapon tester who struggles to make an impact on an evolving war during changing times. (Source: ANN)","['Sequel (OVA) Kidou Senshi Gundam MS IGLOO: Mokushiroku 0079', '']",Kidou Senshi Gundam MS IGLOO: 1-nen Sensou Hiroku,Kidou Senshi Gundam MS IGLOO: Ichinen Sensou Hiwa,,,,,"['Mecha', 'Military', 'Space']",,
109,ファントム THE ANIMATION,Phantom: The Animation,['OVA'],3,Finished Airing,"Feb 27, 2004 to Nov 26, 2004",,,['KSS'],['Media Blasters'],['Arcs Create'],Visual novel,"['Action', 'Drama']",,28 min. per ep.,R - 17+ (violence & profanity),6.45,#7408,#5743,"15,048",16,6140,"Zwei was an ordinary person, until one day, while walking the streets a night, he witnessed a brutal assassination. He managed to avoid the sniper, a young girl named Ein, but was soon captured, and had the memories of his former life erased. He is spared death only by accepting a condition: to train to become an assassin alongside Ein. Now, he must find a way to free himself from this shady world and reclaim his life once again. (Source: ANN)",[],Phantom The Animation,,,,,['Organized Crime'],,,
110,くじびきアンバランス,,['OVA'],3,Finished Airing,"Dec 22, 2004 to Apr 22, 2005",,,"['Genco', 'Lantis', 'Kids Station', 'Toshiba Entertainment']",['Media Blasters'],['Palm Studio'],Other,"['Comedy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,6.06,#9609,#6054,"13,054",6,5900,"Chihiro Enomoto is a freshman that just got to a new school called Rikkyoin High School. He lost his parents in a traffic accident when he was 10. Since then, he has been living only with his elder sister Shinobu. He is good at cooking and cleaning, and does all the housekeeping jobs. He fell in love with Tokino at first sight when he met her in the school library on the first day of school. Another girl named Ritsuko, a childhood friend of Chihiro and the chair of student council, falls in the love with the boy instantly after this long-awaited reunion. But she is not the only one who is in love with him. This is the story about a one-year campaign among the candidates for the next students government leaders, who are also chosen by the lot (kujibiki), in order to gain the position. (Source: ANN)",[],Kujibiki Unbalance,,,,,['School'],,,
111,低俗霊DAYDREAM,Ghost Talker's Daydream,['OVA'],4,Finished Airing,"Jun 25, 2004 to Dec 23, 2004",,,"['Bandai Visual', 'Imagine']",['Geneon Entertainment USA'],['HAL Film Maker'],['Manga'],"['Comedy', 'Drama', 'Horror', 'Supernatural', 'Ecchi']",['Shounen'],24 min. per ep.,R+ - Mild Nudity,6.10,#9388,#6051,"13,080",18,4866,"Saiki Misaki has been able to see ghosts since she was a kid. Now, working at an S&M club, her spare time goes to sending the spirits off to the other world by having to make them realize they're dead and have to leave. This would supposedly be a little bit easier if you didnt have a background of hardship and loneliness... and a perverted employer. (Source: ANN)","['Adaptation (Manga) Teizokurei Daydream', '']",Teizokurei Daydream,"Teizoku Rei Daydream, Vulgar Ghost Daydream",,Ghost Talker's Daydream,,,,,
112,おジャ魔女どれみ ナ・イ・ショ,,['OVA'],13,Finished Airing,"Jun 26, 2004 to Dec 11, 2004",,,"None found,","None found,",['Toei Animation'],Original,,,25 min. per ep.,G - All Ages,7.83,#969,#6249,"12,058",109,5613,"Na-i-sho is a 13 episode OAV series detailing the summer between the ~motto~ and the Dokkaan season. It is a bit more mature than the TV seasons, and looks to develop each of the five witches romantically. Hana is back to a baby, and the mahou shop is a bakery. (Source: ANN)",[],Ojamajo Doremi Na-i-sho,Ojamajo Doremi Naisho,,,['Comedy'],['Mahou Shoujo'],,,
113,パンチラティーチャー,Panty Flash Teacher,['OVA'],2,Finished Airing,"Nov 26, 2004 to Feb 25, 2005",,,['Discovery'],['Media Blasters'],['AT-2'],Original,,,28 min. per ep.,Rx - Hentai,6.36,N/A,#6549,"10,767",43,4662,"An ordinary school teacher is in an VERY oversexed world. When one of the students nearly rape her during class, she escapes, but the guy is still on her trail. Other guys try to get some action too as well, but then the guy from earlier succeeds in chronically raping her, but she could be able to recover, but the rapist's karma could also turn bad again. (Source: ANN)",[],Panchira Teacher,,,,['Hentai'],['School'],,,
114,魔界天使ジブリール,Jiburiru: The Devil Angel,['OVA'],4,Finished Airing,"Nov 26, 2004 to Jun 24, 2005",,,['Animac'],['JapanAnime'],['Studio Ten'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.43,N/A,#6876,"9,609",27,3641,"One hot summer day, Naoto Kamino finally musters up the courage to reveal his true feelings for his crush, Manabe Rika. Unfortunately, at the same moment, a young boy named Asumo appears (though he refers to himself as the devil). He plots to kidnap Rika and will stop at nothing to obtain her - but Rika has a little secret of her own, she can transform and obtain magical powers during sex...","['Sequel (OVA) Makai Tenshi Djibril: Episode 2', 'Adaptation (Light Novel) Makai Tenshi Djibril']",Makai Tenshi Djibril,"Hell Angel Gabriel, Makai Tenshi Jibril",,,['Hentai'],,,,
115,戦乙女ヴァルキリー,Ride of the Valkyrie,['OVA'],2,Finished Airing,"Dec 24, 2004 to Jan 28, 2005",,,"None found,",['Kitty Media'],['Himajin Planning'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.14,N/A,#7497,"7,728",17,2859,"Valkyrie was a female fighter whom Odin was proud of. She was noble, full of love, and pure. She was an invincible fighter on the battlefield. However, because of the betrayal of a goddess, Freya, she was captured. She was robbed of her ring, which was the source of her power, and her arms. Being excited upon seeing her naked figure, the demons began to assault her. (Source: AnimeNfo)","['Sequel (OVA) Ikusa Otome Valkyrie Shinshou', 'Adaptation (Light Novel) Ikusa Otome Valkyrie: ""Anata ni Subete wo Sasagemasu"" - Megami Hijoku-hen']",Ikusa Otome Valkyrie,,,,['Hentai'],,,,
116,エンジェルブレイドパニッシュ！,,['OVA'],3,Finished Airing,"Dec 29, 2004 to Sep 9, 2005",,,"None found,","None found,",['Asahi Production'],Original,"['Adventure', 'Sci-Fi', 'Hentai']",,27 min. per ep.,Rx - Hentai,6.40,N/A,#7543,"7,608",21,3146,"Moena was a normal college girl until she discovered that she had special powers hidden within her body by her father. When Dark Mother and her army of sexy demom women threaten the virgins of the world, Moena transforms into the naked masked heroine Angel Blade. Moena's stepmother, the weightly endowed Kyoka, is kidnapped by Dark Mother. With the help of a team of barely dressed heroines, Angel Blade storms the demon's stronghold. With the help of the dark-skinned succubus Nail, a former villian, they reach the heart of evil and face off with Dark Mother herself. (Source: ANN)","['Prequel (OVA) Angel Blade', '']",Angel Blade Punish!,,,Angel Blade : La Punition Ultime,,,,Angel Blade Fantasy,
117,影Shadow,Shadow,['OVA'],4,Finished Airing,"Mar 26, 2004 to Dec 26, 2004",,,['Japan Home Video'],['Super Techno Arts'],['APPP'],Original,"['Action', 'Hentai']",,29 min. per ep.,Rx - Hentai,6.28,N/A,#7637,"7,380",27,2214,"It is the peaceful Edo period in Japan, and ninjas are hardly needed anymore. Karyu, a particularly skilled ninja, is forced to do work as a hired killer. She is asked to kill a merchant, but when she gets there, she finds that his servant is actually a ninja, who is just as skilled as Karyu. Her name is Uzume. Karyu and Uzume then compete against eachother in a bloody battle for superiority. (Source: ANN)",[],Kage (OVA),Hyper Shinobi Animation: Shadow,,,,,"['Gore', 'Historical', 'Martial Arts', 'Samurai']",,
118,めじょく,Sextra Credit,['OVA'],2,Finished Airing,"Dec 10, 2004 to Mar 11, 2005",,,['Digital Works'],['Kitty Media'],['Y.O.U.C'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.26,N/A,#8049,"6,495",24,2428,"* Based on a game by Love Juice I became a teacher to be like a passionate teacher in TV dramas, and I worked hard for the school. However, the principal who understood my way of teaching became sick, and hospitalized. Then, the vice-principal, Migiwa Anzu, took over the job. However, her educational policy was to make the students enter elite university, and my ideal education was broken. I was discouraged and became a bad teacher, and then even students began to make a fool of me. One day, I was scolded for the mistake I made in the class by the five female teachers who subordinated Ms. Migiwa. Then, I was dropped from homeroom teacher, and I began to just watch another teacher`s class. Since that day, my humiliating days began. (Source: AnimeNfo)",[],Mejoku,,,,['Hentai'],,,,
119,メイプル カラーズ,,['OVA'],2,Finished Airing,"Dec 25, 2004 to Mar 25, 2005",,,"['Milky Animation Label', 'MS Pictures']",['Critical Mass Video'],['Image House'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.25,N/A,#8442,"5,811",9,2537,"Saku Ryojiro has just transferred to Kouka Academy, which is famous for theatrical activities. On his first day at school, he started a fight with Aoi Mirai. To make the matter worse, it was seen by Aizen, the head of the Drama Club. All of Ryojiro's classmates are problem students, and he thought he could use the fight to rid himself of them. Then, Ryojiro is assigned to direct the classmates in a drama competition against the Drama Club. If they lose the competition, they will be suspended. However, because they are problem students, he has difficulties directing them. (Source: AnimeNfo)",[],Maple Colors,,,,['Hentai'],,,,
120,兄嫁,,['OVA'],2,Finished Airing,"Oct 8, 2004 to Jan 14, 2005",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.34,N/A,#8462,"5,784",16,2260,"All his life, Takashi has been compared to his older brother, Satoshi. Satoshi is smarter. More athletic. More handsome. More successful. But despite the constant reminders that he's ""not as good as his brother"", Takashi was never jealous because Satoshi took him in after their parents died. But that was before Satoshi stole Miwa, the love of Takashi’s life, and married her. Miwa, both incredibly beautiful and kind, she captured Takashi's heart long before she ever agreed to marry his brother. And now that she’s Satoshi's wife, Takashi sees her every day. Sees her with him. Hears her having sex with him through the bedroom wall. And each day Takashi's jealousy towards his brother grows a little more. But it seems the tables may turn when Takashi's voluptuous college professor discovers that Takashi scores in one way over his brother: his sexual prowess. Now with the right clothing, the right hairstyle, and lots and lots of hands-on sexual tutoring, she's going to turn Takashi into a ladies' man that even his brother will envy! (Source: AniDB)",[],Aniyome,"Elder Brother's Wife, My Brother's Wife",,,['Hentai'],,,,
121,サクラ大戦『ル・ヌーヴォー・巴里』,,['OVA'],3,Finished Airing,"Oct 20, 2004 to Mar 16, 2005",,,"['Pony Canyon', 'Sega', 'Imagine']","None found,",['Radix'],Game,"['Adventure', 'Sci-Fi']",,31 min. per ep.,PG-13 - Teens 13 or older,6.35,#7941,#9989,"3,562",2,1342,"After Ichiro Ogami's departure at the end of Sakura Taisen 3, the girls of the Paris Flower Defense Force are left debating who will be the next captain. Meanwhile, a centuries-old threat surfaces. (Source: ANN, edited)","['Prequel (OVA) Sakura Taisen: Ecole de Paris', '']",Sakura Taisen: Le Nouveau Paris,"Sakura Wars: The New Paris, Sakura Wars OVA 4",,,,,"['Mecha', 'Performing Arts']",,
122,詩乃先生の誘惑授業,Professor Shino's Classes in Seduction,['OVA'],1,Finished Airing,"Nov 12, 2004",,,"None found,",['Critical Mass Video'],['Front Line'],Visual novel,,,29 min.,Rx - Hentai,5.94,N/A,#10005,"3,549",8,1221,"Based on a game by Xuse Sakurai Sino was a chemistry teacher who had recently transferred to Shirakumo Academy. She was a beautiful woman who looked good in glasses, and she was the envy of all the people in the school. One day, Iijima Sayaka, a female student, confessed that she was worrying about sex. Then Shino gave her a “lesson”. That night, Shino got excited and began to play with herself. Suddenly, Kayama, a male student, broke into the room and raped her. She was thoroughly battered. However, she went to school next morning as if nothing had happened. Kayama called her to rape her again. What waiting for her was… (Source: AnimeNfo)",[],Shino-sensei no Yuuwaku Jugyou,"Shino-sensei no Yuwaku Jugyo, Shino Sensei no Yuwaku Jyugyou",,,['Hentai'],,,,
123,喪失郷,Soushitsukyou,['OVA'],1,Finished Airing,"Nov 25, 2004",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Lead'],Visual novel,,,28 min.,Rx - Hentai,5.06,N/A,#10104,"3,432",8,958,"Based on a game by Mu. Naoto and his lover Miyuki were going to ski resort; however, their bus was stalled in blizzard. The passengers were helped by Natsuyo, a landlady of a Japanese style hotel, and they decided to stay at the hotel for a while. At that night, Naoto and Miyuki made love at the hotel over and over, but he couldn’t be satisfied, and finally he began to love Natsuyo. The situation was the same with other passengers. In this closed space, ritual and accidents continued... A bizarre and erotic story was just begun... (Source: AnimeNfo)",[],Soushitsukyou,Soshitsukyo,,,['Hentai'],,,,
124,ねとらん者 THE MOVIE,,['OVA'],1,Finished Airing,"Nov 24, 2004",,,"None found,","None found,",['Studio Hibari'],Original,"['Comedy', 'Fantasy', 'Ecchi']",,29 min.,PG-13 - Teens 13 or older,5.23,#12849,#10773,"2,820",10,1266,"""Netrun-mon THE MOVIE #1"" is an original animation DVD conceived by Netrunner Magazine to celebrate their 5th birthday. This 30-min OVA is directed by Poyoyon Rock (of ""Popotan"" fame) and stars cute Netrunner characters Nin'i-tan and friends. (Source: AniDB)",[],Netrun-mon the Movie,"Netrunmon The Movie, NetRunner",,,,['Mahou Shoujo'],,,
125,新人ツアーコンダクター里奈 ツアーオプション⇔添乗員、強制乱交,Dark Tours,['OVA'],1,Finished Airing,"Oct 25, 2004",,,['Milky Animation Label'],['Adult Source Media'],['Studio Matrix'],Original,,,29 min.,Rx - Hentai,5.53,N/A,#11480,"2,279",1,826,"Rina was working for a travel agency where she was in charge of the ""Onihime-mairi"" tour. She would be showing Matsusawa village, famous for its spiritual legends. Horror loving couples and groups would participate in a spooky day, and it seemed to be a fresh start for Rina. However, this tour was planned by the tour participants. In a lonely village in the mountains, the girls would be taken to new heights by the sexual desires of the men IN their group. Little did she know the spirits were controlling all of them.",[],Shinjin Tour Conductor,,,,['Hentai'],,,,
126,ハムちゃんずのめざせ!ハムハム金メダル 〜はしれ!はしれ!だいさくせん〜,Hamtaro: Ham-Ham Games,['OVA'],1,Finished Airing,"Dec 1, 2004",,,"None found,","None found,",['TMS Entertainment'],Unknown,"['Adventure', 'Comedy']",['Kids'],40 min.,PG - Children,6.25,#8553,#12350,"1,728",1,556,"Considered the prequel to the fourth Hamtaro game (fifth in Japan). In this tribute to the 2004 Olympics, Hamtaro and the Ham-Hams are tasked by Prince Bo with lighting the everlasting torch to Hamcropolis. However, the Rainbow Girls will not allow this and pursue the Ham-Hams. (Source: Wikipedia)","['Prequel (OVA) Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono', '']",Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,"Hamtaro OVA 4, Tottoko Hamutarou: Hamuchanzu no Mezase! Hamuhamu Kin Medal",,,,,,,
127,月は東に日は西に〜Operation Sanctuary〜 OVA,,['OVA'],4,Finished Airing,"Dec 12, 2004",,,"None found,","None found,",['Radix'],Visual novel,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",,12 min. per ep.,PG-13 - Teens 13 or older,5.56,#11937,#12729,"1,538",2,487,"Naoki Kazumi's parents died in an accident and since he had nowhere to go, he now is living with his cousin Matsuri Shibugaki. One day up on the school's rooftop a girl falls out from the sky. The girl is called Mikoto Amagasaki, and she comes from 100 years in the future, she went back in time with hope to eventually find her missing brother. However , when Mikoto sees Naoki, she end up mistaking him for her brother. (Source: Wikipedia)",[],Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Hani Hani: Operation Sanctuary OVA, The Moon is East, The Sun is West: Operation Sanctuary OVA",,,,,"['Harem', 'Time Travel']",,
128,げんき げんき ノンタン うたおう!クリスマス,,['OVA'],1,Finished Airing,"Nov 3, 2004",,,['Nippon Columbia'],"None found,",['Polygon Pictures'],Unknown,,['Kids'],32 min.,G - All Ages,[],#18173,#20243,273,0,,A Christmas OVA of Non-tan that features eight classic Christmas songs sung and acted out by the characters.,[],Genki Genki Non-tan: Utaou! Christmas,Genki Genki Non-tan: Sing! Christmas,,,,['Music'],,,
129,ハウルの動く城,Howl's Moving Castle,['Movie'],1,Finished Airing,"Nov 20, 2004",,,"['d-rights', 'Tokuma Shoten', 'Fonishia']",['Disney Platform Distribution'],['Studio Ghibli'],Novel,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",,1 hr. 59 min.,G - All Ages,8.67,#71,#100,"1,407,867","30,408",972246,"That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer—or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop. However, Sophie's simple life takes a turn for the exciting when she is ensnared in a disturbing situation, and the mysterious wizard appears to rescue her. Unfortunately, this encounter, brief as it may be, spurs the vain and vengeful Witch of the Waste—in a fit of jealousy caused by a past discord with Howl—to put a curse on the maiden, turning her into an old woman. In an endeavor to return to normal, Sophie must accompany Howl and a myriad of eccentric companions—ranging from a powerful fire demon to a hopping scarecrow—in his living castle, on a dangerous adventure as a raging war tears their kingdom apart. [Written by MAL Rewrite]",[],Howl no Ugoku Shiro,,El Castillo Ambulante,Le Château ambulant,,,,Das wandelnde Schloss,
130,雲のむこう、約束の場所,The Place Promised in Our Early Days,['Movie'],1,Finished Airing,"Nov 20, 2004",,,"None found,","['ADV Films', 'GKIDS']",['CoMix Wave Films'],Original,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']",,1 hr. 30 min.,PG-13 - Teens 13 or older,7.42,#2254,#1158,"225,384",739,94373,"Hiroki Fujisawa and Takuya Shirakawa harbor admiration for two things in their life: their classmate Sayuri Sawatari and the vast Ezo Tower that stands boundlessly across the Tsugaru Strait. Fascinated by the limitless structure beyond their reach, Hiroki and Takuya begin constructing an aeroplane from a fallen drone they discovered—naming it the Bella Ciela—to fulfill their dream of one day reaching the sky-scraping top of the tower. Later joined by the girl they love, Hiroki and Takuya promise Sayuri to fly with her to the seemingly otherworldly top together. However, Japan has suffered a North-South partitioning that has fueled conflict near the base of the tower, which marks the border between the America-controlled Southern islands and the Northern lands occupied by the Soviet Union. Further along, Sayuri suddenly disappears, and Hiroki and Takuya never see her again. Unbeknownst to them, she fell victim to a sleeping disorder that left her comatose for the past three years. Although Hiroki and Takuya later learn about Sayuri's condition, they also discover that the girl's unconscious state is oddly linked to the same tower the trio had promised to conquer together. [Written by MAL Rewrite]","['Adaptation (Novel) Kumo no Mukou, Yakusoku no Basho', 'Adaptation (Manga) Kumo no Mukou, Yakusoku no Basho']","Kumo no Mukou, Yakusoku no Basho","Beyond the Clouds, The Promised Place",El Lugar que nos Prometimos,La Tour au-delà des Nuages,,['Military'],,The Place Promised in Our Early Days,
131,犬夜叉 紅蓮の蓬莱島,InuYasha the Movie 4: Fire on the Mystic Island,['Movie'],1,Finished Airing,"Dec 23, 2004",,,"['Avex Entertainment', 'Yomiuri Telecasting', 'TOHO', 'Nippon Television Network', 'Shogakukan', 'Yomiuri TV Enterprise', 'Shogakukan Productions']",['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",['Shounen'],1 hr. 27 min.,PG-13 - Teens 13 or older,7.55,#1764,#2275,"96,883",167,51034,"Hourai is a mysterious island that appears for a limited period once every 50 years. Some say that the isle holds the secret of eternal youth; others believe that it brings disaster to their land. When Inuyasha's group saves a half-demon child from being hunted by a monstrous creature, they learn that her name is Ai and that she fled from Hourai. Surprisingly, the girl is an acquaintance of Inuyasha and begs him to rescue her friends, who are being held prisoner by vicious demons calling themselves the Four War Gods—an enemy Inuyasha remembers well. Upon reaching Hourai, Ai's guests are horrified to discover that only a handful of orphans still inhabit the island and are destined to become sacrifices to increase the Four War Gods' powers. Furthermore, the victims bear their oppressors' enchanted mark, which prevents them from escaping. Defeating the four demons remains Inuyasha's most viable option, but their superiority in strength will require daring initiatives achievable only by the group's combined teamwork. [Written by MAL Rewrite]",[],InuYasha Movie 4: Guren no Houraijima,Inu Yasha: Guren no Houraijima,Inuyasha Película 4: Fuego En La Isla Mística,,,,"['Historical', 'Mythology', 'Time Travel']",InuYasha Film 4: Fire on the Mystic Island,
132,新暗行御史,Blade of the Phantom Master,['Movie'],1,Finished Airing,"Dec 4, 2004",,,['Shogakukan Productions'],"['ADV Films', 'Funimation']",['OLM Digital'],['Manga'],"['Action', 'Fantasy']",,1 hr. 25 min.,R - 17+ (violence & profanity),6.82,#5229,#5218,"19,353",22,9437,"After wandering through the desert for days, a bitter warrior named Munsu is lost and unable to continue. His life is unexpectedly saved by Mon-ryon, a young man who dreams of becoming a secret agent for Jushin, a once-great country that was recently destroyed. Mon-ryon's goal is to save his girlfriend, Chunhyan, a born fighter who is held captive by the evil Lord Byonand. Then, from out of nowhere, blood begins trickling from his chest. He has been fatally wounded by the Sarinjas, a cannibalistic breed of desert goblin. The quick-thinking Munsu convinces these beasts to spare his life, in exchange for the peaceful handover of Mon-ryon's appetizing corpse. Although skeptical of Mon-ryon's motives, Munsu sets out to continue the mission that the young idealist described. Accompanied by an army of ghost troops, unleashed using the powers of Angyo Onshi, Munsu liberates Chunhyan. After visiting her boyfriend's final resting place, she declares herself Munsu's bodyguard and, together, they set out on a mission to punish those who stripped Jushin of its original glory. (Source: AniDB)","['Adaptation (Manga) Shin Angyo Onshi', '']",Shin Angyo Onshi,"Shin Angyou Onshi, Shin Amen Osa, Shin Angyou Onsi, Phantom Master: Dark Hero from the Ruined Empire",,,,,,,
133,かがみのげんおん,sound / phantasma / mirror,['Movie'],1,Finished Airing,"Oct 17, 2004",,,"None found,","None found,",['Kojiro Shishido Animation Works'],Original,,,6 min.,G - All Ages,5.82,#10819,#10693,"2,886",2,1435,"A short amateur movie by Kojiro Shishido. Winner at the 10th annual Student CG Contest held in 2005. It shows great sensitivity towards the delicate gradations of light and shadow in the natural world, with a matching delicate soundtrack by Shishido himself. (Source: AniDB)",[],Kagami no Genon,"Kagami no Gen'on, Mirror's Fundamental Tone",,,['Slice of Life'],,,,
134,とっとこハム太郎　ハム太郎とふしぎのオニの絵本塔,Hamtaro: The Mysterious Ogre's Picture Book Tower,['Movie'],1,Finished Airing,"Dec 23, 2004",,,"None found,","None found,",['TMS Entertainment'],Unknown,"['Adventure', 'Comedy']",['Kids'],40 min.,G - All Ages,6.43,#7519,#11722,"2,125",2,709,"Ayayam is a pretty hamster who excelled at everything–as a child-prodigy in school, sports and even drawing and writing. One day, however, she overhears her friends making fun of a picture book she loved and had given to one of them. She is so devastated that she decides she doesn’t need friends anymore, locks herself into the library and hasn’t taken a single step outside ever since. The God of Books sympathizes with her and gives her a Magic Quill with which she can effortlessly draw any picture and write any story she wants. Meanwhile, Hamtaro learns that Laura and her fellow students will put on ""Sunflower Taro"" as their next school play. Hamtaro and friends decide that they, too, want to try their hand at acting and prepare their own version of ""Sunflower Taro"". In the course of preparing for the play, they are suddenly sucked into a strange Picture Book Tower, where Ayayam tells them that they will be characters in her new book – a new and exciting version of the well-known fairy tale ""Sunflower Taro"". You can tell that things are getting off to an interesting start – as they always do when the Ham-Hams are involved!! (Source: tms-e.com)",[],Tottoko Hamtarou Movie 4: Hamtarou to Fushigi no Oni no Emon Tou,"Hamtaro, Hamutarou",,,,,,,
135,ピーターパンとほしのくにへいこう！,,['Movie'],1,Finished Airing,"Nov 21, 2004",,,['Goto Inc.'],"None found,","None found,",Unknown,"['Adventure', 'Sci-Fi']",['Kids'],Unknown,G - All Ages,[],#21020,#24350,106,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Peter Pan to Hoshi no Kuni e Ikou!,"Star Fantasia: Peter Pan to Neverland e Ikou!, スターファンタジア ピーターパンとネバーランドへ行こう！",,,,['Space'],,,
136,BLEACH Memories in the Rain,Bleach: Memories in the Rain,['Special'],1,Finished Airing,"Dec 18, 2004",,,"None found,","None found,",['Pierrot'],['Manga'],"['Action', 'Adventure', 'Drama', 'Supernatural']",['Shounen'],29 min.,PG-13 - Teens 13 or older,7.18,#3489,#1816,"132,200",239,72401,"Kurosaki Ichigo, the temporary Shinigami (Death God) for Kuchiki Rukia, discovers his mother's killer as one of the Hollows he has been hunting. He does battle with it in a prideful battle of revenge. This Special is actually a flashback of previous episodes in Bleach. After the ending credits, a short plays showing Shinigami and their Zanpakutos to ""Number One"" from the Bleach Soundtrack.",[],Bleach: Memories in the Rain,"Bleach: Jump Festa 2004, ブリーチ Memories in the Rain",,,,,,,
137,マリア様がみてる,Maria Watches Over Us,['Special'],7,Finished Airing,"Apr 4, 2004 to Oct 23, 2004",,,"None found,",['Nozomi Entertainment'],['Studio Deen'],['Light novel'],"['Comedy', 'Girls Love']",['Shoujo'],1 min. per ep.,PG - Children,7.28,#2950,#6717,"10,153",7,4780,A series of specials included on the Maria-sama ga Miteru DVD releases.,[],Maria-sama ga Miteru Specials,"MariMite, La Vierge Marie Vous Regarde, The Virgin Mary is Watching You",,,,['School'],,,
138,マリア様がみてる～春～,Maria Watches Over Us: Printemps,['Special'],6,Finished Airing,"Oct 22, 2004 to May 23, 2005",,,"None found,",['Nozomi Entertainment'],['Studio Deen'],['Light novel'],"['Drama', 'Girls Love']",['Shoujo'],1 min. per ep.,PG - Children,7.25,#3117,#7021,"9,150",4,4153,Specials of Maria-sama ga Miteru: Haru released on the DVDs only.,[],Maria-sama ga Miteru: Haru Specials,"The Virgin Mary is Watching You: Spring, MariMite: Haru, La Vierge Marie Vous Regarde, Maria-sama ni wa Naisho, Don't tell the Virgin Mary",,,,['School'],,,
