,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genre,Themes,Demographic,Spanish,Demographics
83,Danbooru Senki W,ダンボール戦機 Ｗ,LBX: Little Battlers eXperience Season 2,['TV'],58,Finished Airing,"Jan 18, 2012 to Mar 20, 2013",['Winter 2012'],Unknown,"None found,",['Dentsu Entertainment USA'],['OLM'],Game,,['Mecha'],23 min. per ep.,G - All Ages,7.05,#4131,#7714,"7,206",28,3504,"One year after the fight with the Innovators, a new terrorist organization called the Detectors threatens the world using LBXs. Ban joins up with new and old friends to stop the Detectors. (Source: ANN)","['Prequel (TV) Danball Senki', 'Sequel (TV) Danball Senki Wars']",Danball Senki W,,,['Action'],,['Kids'],,
84,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2625,#7920,"6,763",62,2181,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,['Comedy'],,['Shoujo'],Chibi Maruko-chan,
85,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9186,"4,607",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,['Kids'],,
86,Cooking Idol,クッキンアイドル　アイ！マイ！まいん！,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",,6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,881",9,737,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,,,,,['Kids'],,
87,"Battle Spirits: Haou, Battlespirits Heroes, Battle Spirits Season 4",バトルスピリッツ 覇王（ヒーローズ）,,['TV'],50,Finished Airing,"Sep 18, 2011 to Sep 2, 2012",['Fall 2011'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Sunrise'],Card game,,['Strategy Game'],23 min. per ep.,PG - Children,6.17,#8987,#10902,"2,698",4,1023,"Like every card game enthusiast, Hajime Hinobori has always wanted to see the Spirits from his cards come to life and witness them in real combat. This dream is successfully realized by Hajime's scientist parents, who develop an augmented reality system that revolutionizes the competitive scene of Battle Spirits. Curious players from across the globe travel to partake in this innovative battle system. With his sight set on becoming the champion of this new form of Battle Spirits, Hajime encounters many colorful and quirky rivals, including eccentric diva Kimari Tatsumi and arrogant prodigy Tegamaru Tanashi. Along this journey of self-discovery and card-gaming shenanigans, there are no ordinary days in the lives of young heroes striving to take the crown! [Written by MAL Rewrite]",[],Battle Spirits: Heroes,,,['Sci-Fi'],,,,
88,AI Football GGO,超智能足球,GGO Football,['TV'],52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014",['Summer 2010'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],Original,"['Comedy', 'Sports']",['Team Sports'],22 min. per ep.,G - All Ages,6.58,#6606,#11206,"2,466",10,1203,"As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created. (Source: GGO Football Website)","['Sequel (TV) Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian', '']",Chao Zhi Neng Zu Qiu,GGO Football,GGO Football,,,,GGO Football,
89,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7747,#11553,"2,225",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,['Kids'],,
90,,たまごっち!,,['TV'],143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012",['Fall 2009'],Unknown,"None found,","None found,",['OLM Digital'],Game,,,25 min. per ep.,G - All Ages,6.34,#8029,#11897,"2,005",11,552,The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. (Source: ANN),"['Sequel (TV) Tamagotchi! Yume Kira Dream', '']",Tamagotchi!,,,['Comedy'],,['Kids'],,
91,Crayon Shin-chan: Shin-Men,SHIN-MEN,,['TV'],13,Finished Airing,"Nov 26, 2010 to Sep 14, 2012",['Fall 2010'],Unknown,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],Unknown,"['Action', 'Comedy']",['Super Power'],12 min. per ep.,G - All Ages,6.14,#9125,#12047,"1,918",0,476,"The spinoff is set in a parallel world known as Shin Jigen (Shin Dimension). The titular Shin-men team is composed of five heroes with supernatural powers symbolized by fire (Gou), water (Sui), wind (Hyuu), greenery (Nyoki), and iron (Kan). Together, they fight against their enemy, the evil pigs of Ton-Men. (Source: AniDB)",[],Shin-Men,,,,,['Seinen'],,
92,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12198,#13594,"1,199",0,443,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
93,"Ad Lib Anime Laboratory, Ad Lib Anime Kenkyuusho",アドリブアニメ研究所,,['TV'],38,Finished Airing,"Oct 16, 2011 to Mar 31, 2013",['Fall 2011'],Unknown,"None found,","None found,","None found,",Original,,,4 min. per ep.,G - All Ages,5.88,#10510,#13606,"1,196",2,238,"Emiri Katou and Kaori Fukuhara, the voice actresses best known for playing the Hiiragi twins in Lucky Star, will headline Ad Lib Anime Kenkyūsho (Ad Lib Anime Laboratory), an experimental anime series which will premiere on the satellite channel BS Fuji on October 15. Katou (as ""Chief Researcher No. 001""), Fukuhara (""Chief Researcher No. 002""), and a guest star ""researcher"" will ad lib each weekly episode's script entirely from scratch. Animators will then take the ad-libbed dialogue and create footage based on them — instead of the castmembers voice-acting to existing scripts and footage, as most anime are made. (Source: ANN)",[],Ad Lib Anime Kenkyuujo,,,['Comedy'],,,,
94,Hana Kappa,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9911,#14263,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,,['Comedy'],,['Kids'],,
95,,しあわせ配達おみくじタネコ,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14203,#14340,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,['Comedy'],,,,
96,"Ohayou Ninjatai Gatchaman, Ohayou Nijna Force Gatchaman, Ninja-tai Gatchaman ZIP!",おはよう忍者隊ガッチャマン,,['TV'],475,Finished Airing,"Apr 18, 2011 to Mar 29, 2013",['Spring 2011'],Unknown,['Oddjob'],"None found,",['Kate Arrow'],Unknown,,['Parody'],1 min. per ep.,G - All Ages,5.49,#12154,#14385,964,1,196,One-minute flash shorts based on Tatsunoko Production's classic science-fiction hero series Science Ninja Team Gatchaman aired during the NTV's Zip! television program on mornings. (Source: AniDB),"['Sequel (TV) Mazinger ZIP!', '']",Ohayou Ninja-tai Gatchaman,,,['Comedy'],,,,
97,"Man Lan, Shalen",侠岚,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9656,#14687,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,,,,"['Historical', 'Martial Arts']",,,
98,Annyeong Jaduya,안녕 자두야,Hello Jadoo,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,6.17,#8984,#16112,610,3,162,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,,,['Comedy'],,['Kids'],,
99,Kayochu,かよえ！チュー学,Kayoe! Chugaku,['TV'],425,Finished Airing,"Jun 6, 2011 to Mar 28, 2014",['Summer 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,['School'],1 min. per ep.,None,[],#19342,#16420,569,1,,Wada transfers from the Kansai region to the Toukai region in middle school. The story follows his new set of friends as their fivesome enjoy their everyday lives. All the characters' are names are based on Chunichi Dragons baseball team which is located in the Toukai region.,[],Kayoe! Chuugaku,,,['Comedy'],,,,
100,Rice Monster Pap,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#18209,#16441,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,,,,['Kids'],,
101,,뽀롱뽀롱 뽀로로 4,Pororo the Little Penguin 4,['TV'],26,Finished Airing,"Feb 29, 2012 to May 24, 2012",['Winter 2012'],Unknown,"None found,","None found,","None found,",Unknown,,['Racing'],11 min. per ep.,G - All Ages,5.55,#11971,#16465,565,0,201,A direct continuation of the previous season where an anthropomorphic car gets separated from his home and arrive in Pororo's village and beings to live there.,"['Prequel (TV) Porong Porong Pororo 3', 'Sequel (TV) Porong Porong Pororo 5']",Porong Porong Pororo 4,,,,,['Kids'],Pororo el Pequeño Pingüino Serie 4,
102,,로보카 폴리,,['TV'],26,Finished Airing,"Dec 26, 2011 to May 15, 2012",['Winter 2012'],Mondays at Unknown,['RoiVisual'],"None found,","None found,",Original,,,11 min. per ep.,PG - Children,5.58,#11880,#17030,503,1,186,"In Broom's Town, a small town with a strong rescue team, there are always accidents and troubles such as a car sliding off a cliff in the rain, a car crash, a child locked in a firehouse and so on. In every episode the town's rescue team saves characters. At the end of each episode, the rescue team strongly advises the characters who were in danger and children. (Source: AniDB)","['Prequel (TV) Robocar Poli', 'Sequel (TV) Robocar Poli 3']",Robocar Poli 2,,Robocar Poli Saison 2,,"['Detective', 'Racing']",['Kids'],,
103,,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,,5 min. per ep.,PG - Children,[],#17867,#17178,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,['Horror'],"['Historical', 'Performing Arts']",['Kids'],,
104,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20952,#17400,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,,['Comedy'],,['Kids'],,
105,,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14955,#17771,437,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,['Comedy'],,['Kids'],,
106,,꼬마버스 타요 2,Tayo the Little Bus Season 2,['TV'],26,Finished Airing,"Nov 30, 2011 to Aug 23, 2012",['Fall 2011'],Not scheduled once per week,"None found,","None found,","['Iconix Entertainment', 'Studio Gale']",Original,,['Racing'],11 min. per ep.,G - All Ages,5.68,#11454,#17912,422,0,173,The second season of Kkoma Bus Tayo.,"['Prequel (TV) Kkoma Bus Tayo', 'Sequel (TV) Kkoma Bus Tayo 3']",Kkoma Bus Tayo 2,Tayo Der Kleine Bus Staffel 2,,,,['Kids'],Tayo El Pequeño Autobús 2,
107,,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20941,#18323,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,['Kids'],,
108,"Hi Totobi, Hello Totobi",안녕 토토비,,['TV'],104,Finished Airing,"Jul 20, 2011 to Sep 25, 2013",['Summer 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,20 min. per ep.,PG - Children,[],#16593,#19091,338,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Annyeong Totobi,,,,,['Kids'],,
109,The Configurators 2,锋速战警2,,['TV'],26,Finished Airing,Feb 2012 to Dec 2012,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,['Mecha'],22 min. per ep.,PG - Children,[],#17964,#19627,306,1,,Second season of Feng Shu Zhan Jing.,"['Prequel (TV) Feng Shu Zhan Jing', '']",Feng Shu Zhan Jing 2,,,['Adventure'],,['Kids'],,
110,,키오카,,['TV'],78,Finished Airing,"Jan 2, 2012 to Oct 16, 2013",['Winter 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,8 min. per ep.,PG - Children,[],#19444,#22392,159,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kioka,,,,,['Kids'],,
111,,数学荒岛历险记3,,['TV'],40,Finished Airing,Nov 2011 to Dec 2013,['Fall 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG - Children,[],#14402,#22615,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuxue Huang Dao Lixian Ji 2', 'Sequel (TV) Huang Dao Lixian Ji: Luo Ke He Biancheng Mao']",Shuxue Huang Dao Lixian Ji 3,,,,,['Kids'],,
112,,嵩山奇缘,,['TV'],26,Finished Airing,Feb 2012 to Oct 2013,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,17 min. per ep.,PG - Children,[],#14472,#22731,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Songshan Qi Yuan,,,,,['Kids'],,
113,,花狐狸与捣蛋鸭,,['TV'],60,Finished Airing,Aug 2011 to Aug 2012,['Summer 2011'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#18701,#23100,134,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hua Huli Yu Daodan Ya,,,,,['Kids'],,
114,,미술탐험대,Art Odyssey,['TV'],52,Finished Airing,"Aug 29, 2011 to Dec 12, 2013",['Summer 2011'],Unknown,['EBS'],"None found,",['Iconix Entertainment'],Original,,['Mahou Shoujo'],11 min. per ep.,PG - Children,[],#20323,#23154,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Misultamheomdae,,,['Fantasy'],,['Kids'],,
115,,폴리와 함께하는 교통안전 이야기,,['TV'],26,Finished Airing,"Nov 14, 2011 to May 31, 2013",['Fall 2011'],Unknown,"None found,","None found,","None found,",Original,,,5 min. per ep.,PG - Children,[],#21087,#23291,128,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Poli wa Hamkkehaneun Gyotonganjeon Iyagi,,,['Comedy'],"['Educational', 'Racing']",['Kids'],,
116,,玉骐麟之仙灵奇域,,['TV'],52,Finished Airing,Jul 2011 to Jul 2013,['Summer 2011'],Unknown,"None found,","None found,","None found,",Original,,['Anthropomorphic'],10 min. per ep.,PG - Children,[],#16138,#23382,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yu Qi Lin: Xian Ling Qi Yu,,,,,['Kids'],,
117,,少年师爷之智慧快乐侠,,['TV'],26,Finished Airing,Dec 2011 to Jun 2012,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,['Historical'],13 min. per ep.,PG - Children,[],#14073,#23764,116,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye', 'Sequel (TV) Shaonian Shiye: Xiayi Huanle Xing']",Shaonian Shiye: Zhihui Kuaile Xia,,,,,['Kids'],,
118,,おべとも学園,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,['School'],2 min. per ep.,G - All Ages,[],#20775,#23969,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,,['Slice of Life'],,,,
119,,보글보글 쿡 2기,Bubble Bubble Cook 2nd Season,['TV'],52,Finished Airing,Sep 2011 to Oct 2012,['Fall 2011'],Unknown,"None found,","None found,",['Studio Vandal'],Original,,['Super Power'],23 min. per ep.,G - All Ages,[],#17062,#24233,107,0,,The second season of Bubble Bubble Cook.,"['Prequel (TV) Bubble Bubble Cook', '']",Bubble Bubble Cook 2nd Season,,,['Gourmet'],,['Kids'],,
120,,龙太子之银河大冒险,,['TV'],50,Finished Airing,May 2011 to May 2012,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,"['Fantasy', 'Sci-Fi']",,13 min. per ep.,PG - Children,[],#19862,#24256,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Long Taizi', 'Sequel (TV) Long Taizi: Yanre Xingqiu Zhi Mi']",Long Taizi: Yinhe Da Maoxian,,,,,['Kids'],,
121,,非常小子马鸣加,,['TV'],104,Finished Airing,Jun 2011 to Jun 2012,['Summer 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,11 min. per ep.,PG - Children,[],#17938,#25089,94,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Feichang Xiaozi Ma Ming Jia,,,,,['Kids'],,
122,,好奇探长,,['TV'],52,Finished Airing,Jan 2012 to Oct 2012,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#18429,#25120,93,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Haoqi Tan Zhang,,,['Fantasy'],,['Kids'],,
123,,うぽって!!,Upotte!!,['ONA'],10,Finished Airing,"Apr 7, 2012 to Jun 9, 2012",,,"['Kadokawa Shoten', 'DAX Production', 'Nippon Columbia']",['Sentai Filmworks'],['Xebec'],['Manga'],"['Action', 'Comedy', 'Ecchi']",['Military'],24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7424,#2682,"73,671",167,31638,"Kiss kiss, bang bang! The arms race takes on a startling new development when the arms come with heads, legs and very feminine bodies attached! Yes, at Seishou Academy every girl is literally a lethal weapon, and they're all gunning for the top shot at getting their own personal serviceman! Needless to say, it's going to be difficult for newly recruited human instructor Genkoku to adjust to working with a living arsenal of high caliber cuties with tricky names like FNC (Funko) M 16A4 (Ichiroku) L85A1 (Eru) and SG 550 (Shigu). Especially since many have hair triggers and there's no bulletproof vest that can stop a really determined coed! He'll have to rewrite the operator's manual on student/teacher relationships, and pray that his job description won't include having to field strip and reassemble one of his cadets in the dark. But unfortunately (for him) FNC's already thinking about becoming HIS personal weapon, and she usually gets what she aims for! (Source: Sentai Filmworks)","['Adaptation (Manga) Upotte!!', '']",Upotte!!,,,,,['Seinen'],,
124,BLOOD-C The Last Dark Special,のねのね劇場,,['ONA'],7,Finished Airing,"Apr 8, 2012 to Oct 7, 2012",,,['Production I.G'],['Funimation'],['Studio PuYUKAI'],Original,,['Parody'],2 min. per ep.,PG-13 - Teens 13 or older,6.04,#9723,#6218,"12,230",5,3010,"A series of short specials aired on the official website prior to the movie release. It consists of an explanation about the anime from the perspective of the twin characters, Motoe Nono and Motoe Nene. An additional episode was aired at the Clamp Festival 2012. It was later included in Blood-C: The Last Dark Limited Edition BD and DVD.",[],Blood-C: None-None Gekijou,,,['Comedy'],,,,
125,,PES: Peace Eco Smile,PES: Peace Eco Smiles,['ONA'],7,Finished Airing,"May 25, 2012 to Aug 17, 2012",,,"None found,","None found,",['Studio 4°C'],Original,"['Sci-Fi', 'Slice of Life']",,3 min. per ep.,G - All Ages,5.54,#12000,#9702,"3,898",1,1925,"A collaborative effort between the Japanese automaker and Japanese anime company Studio 4°C, PES: Peace Eco Smile is a new web promotional anime series that centers around PES, a traveller from space, and NaSuBi, a mysterious life-form who is enamored by the charm of Earth. The car of choice for these strangers in a new world? The Prius, particularly the Prius Liftback and Prius C hatchback. These two hybrids seem to be as much a part of this series as the two main characters are. A Lexus LFA (likely the ride of the antagonist) and the Toyota Camry hybrid also have a role to play. Each anime short in the campaign will be three to four minutes long and will be posted on Toyota's specially-dedicated website. (Source: Auto Tribute)",[],PES: Peace Eco Smile,,,,"['Racing', 'Space']",,,
126,,C.L.A.Y.,,['ONA'],1,Finished Airing,"May 27, 2012",,,"None found,","None found,","None found,",Original,,,1 min.,R - 17+ (violence & profanity),3.57,#13813,#10175,"3,355",0,2216,"In a gray and empty landscape, a spherical, yellow entity suddenly materializes. Though its plain appearance may not suggest much, its ability to transform is boundless, and it is not hesitant to kill. Nearby, an armed woman awaits this creature, ready to eliminate it. Will she be able to defeat it, or does this being's abilities far outclass her own? [Written by MAL Rewrite]",[],C.L.A.Y.,,,['Horror'],,,,
127,Thermae Romae: Ancient Roman Goes to Space,テルマエ・ロマエ　古代ローマ人が宇宙へ,,['ONA'],1,Finished Airing,"Apr 20, 2012",,,"None found,","None found,",['DLE'],['Manga'],,['Space'],2 min.,PG-13 - Teens 13 or older,5.83,#10781,#12238,"1,794",0,724,"Lucius ends up in a space station, where he experiences zero gravity and learns about heliocentricism.",[],Thermae Romae: Kodai Romajin ga Uchuu e,,,['Comedy'],,['Seinen'],,
128,"Cinnamoroll's Parade, Cinnamoroll 10th Anniversary, Cinnamon's Parade",シナモンのパレード,,['ONA'],1,Finished Airing,"Jun 21, 2012",,,['Sanrio'],"None found,","None found,",Other,,,8 min.,G - All Ages,5.77,#11086,#14935,829,1,269,"In the eight-minute video to celebrate Cinnamoroll's tenth anniversary, the white puppy takes a nap and falls into an abandoned amusement park where he meets the rabbit Chocolat. (Source: ANN)",[],Cinnamon no Parade,,,['Fantasy'],,,,
129,Secret Society Eagle Talon WEB,秘密結社鷹の爪.jp,,['ONA'],78,Finished Airing,"Apr 6, 2012 to Apr 23, 2014",,,"None found,","None found,",['DLE'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#18586,#15734,666,0,,"Eagle Talon, a secret society based in Kojimachi, Tokyo, with plans for world domination, is going nation-wide by broadcasting a new series through NHK! But that's not all, they're going world-wide with a new series on their homepage as well!","['Prequel (OVA) Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko', '']",himitsukesshatakanotsume.jp,,,['Comedy'],"['Parody', 'Super Power']",,,
130,Amakage music clip,雨影,Amakage,['ONA'],1,Finished Airing,"May 5, 2012",,,"None found,","None found,","None found,",Original,,['Music'],3 min.,G - All Ages,5.23,#12858,#16088,613,0,300,"Small creatures live in our world, their perspective of rain makes it seem as if the droplets are the size of cars. Follow along as one takes a bus ride.",[],Amakage,,,['Fantasy'],,,,
131,,SURPRISE 4 U.,,['ONA'],2,Finished Airing,"Jun 19, 2012 to Jul 5, 2012",,,"None found,","None found,",['Production I.G'],Original,,,1 min. per ep.,G - All Ages,5.55,#11973,#17353,472,0,162,"A series of shorts by Production I.G and funded by Acer Japan, which focus on five members of the Sunrise Japan group (not to be confused with the animation studio) of prominent female athletes in celebration of the 2012 Olympics: Yamasaki Shizuyo (boxer/comedian), Hamaguchi Kyouko (wrestler), Itou Satsuki (boxer), Urata Satako (beach volleyball player), and Nishibori Takemi (beach volleyball player). (Source: AniDB)",[],Surprise 4 U.,,,['Sports'],,,,
132,,鷹の爪×HELLO KITTYがまさかのコラボ！,,['ONA'],1,Finished Airing,"Jun 28, 2012",,,['Sanrio'],"None found,",['DLE'],Original,,,1 min.,G - All Ages,4.99,#13226,#17483,460,0,150,A collaboration between the Taka no Tsume and Hello Kitty franchises.,[],Taka no Tsume x Hello Kitty ga Masaka no Collab!,,,['Comedy'],,,,
133,,スケッチ,Sketch,['ONA'],1,Finished Airing,"Jun 21, 2012",,,"None found,","None found,","None found,",Original,,['Music'],1 min.,G - All Ages,5.71,#11321,#17522,457,0,214,A web commercial Tekken created for DOCOMO's Galaxy Note phone.,[],Sketch,,,,,,,
134,"Mole Manor, Moer Zhuangyuan Zhou Bo Ju",摩尔庄园周播剧,,['ONA'],9,Finished Airing,"Apr 28, 2012 to Jun 30, 2012",,,"None found,","None found,","None found,",Game,,,10 min. per ep.,PG - Children,[],#20394,#23807,116,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mole Zhuang Yuan: Zhou Bo Ju,,,,,['Kids'],,
