,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Genre,Themes,Demographics
81,,デルトラクエスト,Deltora Quest,,,,['TV'],65,Finished Airing,"Jan 6, 2007 to Mar 29, 2008",['Winter 2007'],Saturdays at 08:00 (JST),"['Dentsu', 'Genco', 'Kodansha', 'Half H.P Studio']",['Flatiron Film Company'],['OLM'],Book,"['Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.09,#3959,#4223,"31,141",221,13134,"Long ago, the blacksmith Adin forged a belt of seven powerful gems, one from each of the seven tribes of Deltora. Wielding the belt's unparalleled power, he repelled the Shadow Lord's attempt to overthrow the kingdom. Adin was crowned king of Deltora, but he never forgot that the enemy remained unbeaten. Centuries later, memory of the Shadow Lord has become faded and almost forgotten, and the people of Deltora see their monarchy as detached and uncaring. Much to their dismay, the Shadow Lord strikes once more, breaking the Belt of Deltora by scattering the seven gems across the continent. Jarred, a close friend of the young king Endon, assists him and his wife in escaping from the castle as the Shadow Lord takes over, and they part ways to go into hiding. The Shadow Lord now reigns over Deltora and many years pass under his tyrannical rule. However, there is a glimmer of hope in Jarred's son Lief, whom he has lovingly raised and trained to find the scattered gemstones and reassemble the Belt of Deltora. Along with his companions Barda and Jasmine, Lief must face devious enemies and dangerous beasts to oust the Shadow Lord and return peace to Deltora. [Written by MAL Rewrite]","['Adaptation (Manga) Deltora Quest', '']",Deltora Quest,['Kids'],,,
82,"Kodai Oja Kyoryu King D-Kids Adventure, Ancient Ruler Dinosaur King",古代王者 恐竜キング Ｄキッズアドベンチャー,Dinosaur King,Dinosaur King: The Adventure begins,Dinosaur King,Dinosaur King: The Adventure begins,['TV'],49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",['Winter 2007'],Unknown,"['Asatsu DK', 'Sega', 'Happinet Pictures', 'Nagoya Broadcasting Network']","['4Kids Entertainment', 'Discotek Media']",['Sunrise'],Game,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,6.44,#7467,#4382,"29,017",146,17227,"Dr. Taylor was on a paleontology mission with his son, Max in Africa. Rex, Max's best friend, joins along as well. When Max had stumbled across some magic stone slabs with images of dinosaurs, the boys and their friend Zoe were being called out by the dinosaurs for help. It seems that an evil organization called the ""Alpha Gang,"" led by the nefarious Dr. Z, traveled back in time to hunt down the dinosaurs so that they could take over the world by using those dinosaurs. It is up to Max, Rex, and their friend Zoe to travel around the world, defeating Dr. Z and the Alpha Gang while hunting down the dinosaurs. (Source: Wikipedia)","['Sequel (TV) Kodai Ouja Kyouryuu King: Yokuryuu Densetsu', 'Adaptation (Manga) Dinosaur King']",Kodai Ouja Kyouryuu King,['Kids'],,,
83,,ドラえもん (2005),,,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Anthropomorphic'],25 min.,PG - Children,7.71,#1277,#5003,"21,428",239,9594,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,"['Kids', 'Shounen']"
84,,Yes! プリキュア5,Yes! Precure 5,,,,['TV'],49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",['Winter 2007'],Unknown,['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.18,#3497,#5203,"19,482",93,8033,"Yumehara Nozomi, a regular student, finds a magical book called the Dream Collet in the library and meets Coco and Nuts, two creatures from the Palmier Kingdom. They plead with Nozomi to restore their world, which has been destroyed by an organization called the Nightmares, by completing the Dream Collet and finding the 55 Pinkies to make any wish come true. Meanwhile, the Nightmares are moving into the real world. Once Nozomi agrees to help, Coco and Nuts transform her into the magical girl Cure Dream and turn four fellow students into her Pretty Cure team. (Source: ANN)","['Sequel (TV) Yes! Precure 5 GoGo!', 'Adaptation (Manga) Yes! Precure 5']",Yes! Precure 5,,['Action'],"['Mahou Shoujo', 'School']",
85,Jjajang Sonyeo Ppukka,짜장소녀 뿌까,,Pucca & Friends,,,['TV'],26,Finished Airing,"Sep 18, 2006 to May 14, 2007",['Fall 2006'],Unknown,['VOOZ Character System'],['Disney Platform Distribution'],"None found,",Other,"['Comedy', 'Romance']",['Parody'],23 min. per ep.,G - All Ages,6.72,#5783,#5265,"18,809",40,9861,"Pucca is the young daughter of a Chinese noodle house owner and she is hopelessly in love with the ninja Garu. He tries desperately to avoid Pucca's advances and usually does not return her affection. This results in many comical situations as Pucca goes to great lengths just to steal a kiss from Garu. Expect to see lots of ""funny love"" antics involving everything from noodles to deadly ninjas. (Source: TV.com)","['Prequel (ONA) Pucca', 'Sequel (TV) Pucca (TV) 2nd Season']",Pucca (TV),,,,
86,"Ryusei no Rockman, Rockman of the Shooting Star, Rockman of the Meteor",流星のロックマン,Megaman Star Force,,,,['TV'],55,Finished Airing,"Oct 7, 2006 to Oct 27, 2007",['Fall 2006'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Xebec'],Game,"['Action', 'Sci-Fi']",['Strategy Game'],10 min. per ep.,PG - Children,7.09,#3949,#5844,"14,326",80,6362,"In the year 220X, the world has advanced toward radio-wave technology, and the world is connected through the Wave Road. Meet Subaru Hoshikawa, a fifth-grade student who lost his father in a space accident. Subaru meets an extraterrestrial radio-wave being named War-Rock, descending from a distant FM planet. War-Rock claims to know about Subaru's father, but many alien beings are after War-Rock. The two work together and merge into Rockman, a radio-wave human capable of traversing the Wave Road and battling the radio-wave viruses and FMs that threaten the Earth. (Source: ANN)","['Sequel (TV) Ryuusei no Rockman Tribe', 'Adaptation (Manga) Ryuusei no Rockman']",Ryuusei no Rockman,,,,
87,,ロケットガール,,,,,['TV'],12,Finished Airing,"Feb 22, 2007 to May 18, 2007",['Winter 2007'],Fridays at 00:00 (JST),['Happinet Pictures'],"['Bandai Entertainment', 'Sentai Filmworks']",['Mook DLE'],['Light novel'],"['Adventure', 'Sci-Fi']",['Space'],23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4766,#6806,"9,878",11,3419,"When Yukari Morita decided to look for her missing father who disappeared in the South Seas, she had no idea how far her journey would take her. Just traveling to the Solomon Islands is a long way for a high school girl to go on her own, but then Yukari runs into an astronaut from the Solomon Space Association, which has been trying to build a rocket powerful enough launch a man into space. Upon meeting the petite Yukari, however, SSA director Nasuda realizes that she's small enough to go up in a less powerful rocket the SSA has already built! So he offers her a deal: if Yukari agrees to become their astronaut, the SSA will help find her missing father! Will Yukari have the right stuff to blast off in the wildest space quest ever? (Source: Sentai Filmworks)","['Adaptation (Light Novel) Rocket Girls', '']",Rocket Girls,,,,
88,"Reideen (2007), Raideen",ライディーン,Reideen,,,,['TV'],26,Finished Airing,"Feb 4, 2007 to Sep 1, 2007",['Winter 2007'],Saturdays at 19:00 (JST),['Tohokushinsha Film Corporation'],['Sentai Filmworks'],['Production I.G'],Original,"['Action', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6937,#6850,"9,714",8,3199,"Saiga is a normal high school student with a gift in mathematics. His daily routine is disrupted when his family gets news that his Father's remains have been discovered—a noted archeologist and researcher who had gone missing while exploring a site many years before. Among his remains were notes and artifacts that needed to be identified by the family near a notable triangular mountain in Japan known as ""Japan's pyramid"", a place suspected by some to be man-made. A meteor containing a strange robotic lifeform falls from the sky and begins to cause destruction, putting Saiga in danger and causing a mysterious bracelet from his father's research to activate and merge him with an ancient robot burried within the pyramid—a robot the runes describe as Reideen. It is now up to Saiga and guardian Reideen to fight against this unknown alien threat from the sky. (Source: ANN)","['Adaptation (Manga) Reideen', '']",Reideen,,,,
89,,サザエさん,Mrs. Sazae,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9155,#7129,"8,805",39,1935,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,
90,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4010,#7391,"8,013",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,['Kids'],['Comedy'],,
91,,セイントオクトーバー,,,,,['TV'],26,Finished Airing,"Jan 5, 2007 to Jun 29, 2007",['Winter 2007'],Unknown,"['Konami', 'Yomiko Advertising', 'Delfi Sound']","None found,",['Studio Comet'],Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7127,#7479,"7,762",7,1832,"Whether it is the future or the past it is the world of fantasy and horror hiding in the shadow of the demon city. In the city, consecutive mysterious incidents that cannot be solved by science have occurred. To solve the incidents, they gather three girl detectives possessing special abilities. Hayama Kotono. She is an orphan living in a convent. Shirafuji Natuski. She is Kotono's classmate and a pop idol. Hijiri Misaki. She is a mysterious girl who fights against nightmares of her previous life. Those who want to bring the Judgement Day to the world. Those who want to save the world. Which is justice, and which is evil? When Kotono encounters a boy who lost his memory, the wheel of the story begins to move but slowly. Then, solving the mysteries, the three girls will confront the fate that will influence the existence of the human beings. (Source: AnimeNfo)","['Adaptation (Manga) Saint October', '']",Saint October,,,,
92,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2613,#7911,"6,777",62,2188,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['Shoujo'],['Comedy'],,
93,"Kemono Soukikou Dancouga Nova, Juusoukikou Dancougar Nova",獣装機攻ダンクーガノヴァ,,,,,['TV'],12,Finished Airing,"Feb 15, 2007 to May 3, 2007",['Winter 2007'],Unknown,"['Sony Pictures Entertainment', 'Sega']","None found,",['Ashi Productions'],Original,"['Action', 'Sci-Fi']",,25 min. per ep.,R+ - Mild Nudity,5.97,#10049,#8007,"6,566",10,2416,"In the 22nd century, there are no longer any world wide wars. Instead, small scale wars break out all over the Earth. Meanwhile, a large robot appears who protects the weak. It is called ""Dancougar Nova"". Some even call it God. However, no one knows the reason for its existence - not even its pilots. Then, another robot, beyond anyone's expectations, reveals itself as the true enemy and begins its attack on the Earth. Dancougar Nova retaliates against this enemy with a power that was kept secret until now. Will Dancougar Nova be able to save the Earth? The prelude to this explosive confrontation rings out. (Source: AnimeNfo)",[],Juusou Kikou Dancougar Nova,,,"['Mecha', 'Military', 'Space']",
94,Atashinchi,あたしンち,My Family,,,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2457,#8235,"6,116",63,2770,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,
95,"Tottoko Hamutarou Hai!, Tottoko Hamutarou: Norisuta Haai!",とっとこハム太郎は〜い!,Hamtaro Hai!,,,,['TV'],77,Finished Airing,"Apr 5, 2006 to Mar 28, 2008",['Spring 2006'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,,['Anthropomorphic'],5 min. per ep.,PG - Children,6.75,#5589,#8403,"5,860",9,2306,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. (Source: Wikipedia)","['Prequel (TV) Tottoko Hamtarou', '']",Tottoko Hamtarou Hai!,['Kids'],['Adventure'],,
96,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6606,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,['Kids'],,,
97,Giant Robo 40th Anniversary,GR -ジャイアントロボ-,,,,,['TV'],13,Finished Airing,"Jan 19, 2007 to Jul 20, 2007",['Winter 2007'],Fridays at Unknown,"['OB Planning', 'Soft Garage', ""U's Music""]","None found,",['A.C.G.T.'],['Manga'],"['Adventure', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.28,#8402,#9378,"4,319",6,797,"The year is 20XX. Mysterious huge robots called ""Giant Robo (GR)"" started to appear all over the world and destroy cities. The earth was covered with fear. And their next target is Japan! The hero of this animation Daisaku Kusama, who works in a diving shop, encounters a mysterious girl, simply called V who leads him to make a contract with an enormous robot ""Giant Robo 1 (GR1)"" at the ancient ruins (Minami Yonaguni Island) in Okinawa. He made a contract with UNISOM (good guys) and was approved to be a commander of GR1. Thus his battle has begun against GRO (bad guys) and creates a lot of dramas. Before long, Giant Robo of the 21st century will ask the world the true meaning of its power. (Source: AniDB)",[],GR: Giant Robo,['Shounen'],,"['Mecha', 'Military']",
98,,どーもくん,,,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7529,#10461,"3,084",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,['Kids'],,,
99,,おじゃる丸,Prince Mackaroo,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7742,#11559,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,['Kids'],,,
100,,しましまとらのしまじろう,,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.92,#10350,#13243,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,['Kids'],,,
101,,親子クラブ,,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12200,#13604,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,
102,Artificial Insect KABUTO BORG Victory by Victory,人造昆虫カブトボーグ V×V,,,,,['TV'],52,Finished Airing,"Oct 5, 2006 to Oct 11, 2007",['Fall 2006'],Unknown,"['Sony Pictures Entertainment', 'Studio Comet', 'Nihon Ad Systems', 'Animax']","None found,","['G&G Entertainment', 'G&G Direction']",Unknown,"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],24 min. per ep.,G - All Ages,6.01,#9841,#14253,"1,010",7,283,"BorgBattles between KabutoBorgs have become popular enough to hold world tournaments. The main character Ryuusei is an enthusiast of these battles. Along with his friends Katsuji and Ken, he continues fighting against new enemies day after day.",[],Jinzou Konchuu Kabutoborg VxV,,,,
103,,祝! (ハピ☆ラキ)ビックリマン,,,,,['TV'],46,Finished Airing,"Oct 15, 2006 to Sep 30, 2007",['Fall 2006'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,6.28,#8404,#14345,982,1,348,Continuation of the Bikkuriman Series. Genki Seihikari and his friends join the adventure in order to save seven gods of the White Galaxy.,"['Prequel (TV) Bikkuriman 2000', '']",Happy☆Lucky Bikkuriman,['Kids'],,,
104,,ぜんまいざむらい,,,,,['TV'],215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",['Spring 2006'],Unknown,['Aniplex'],"None found,","['A-1 Pictures', 'No Side']",Original,,,5 min. per ep.,G - All Ages,5.85,#10667,#15132,783,2,233,"200 years ago, Zenmai Zamurai was a thief by profession. While stealing from a house one night, he fell down a well and died. He was then resurrected by Daifukunokami and a wind-up key was placed on his head. If the key wound down, Zennosuke would die. The only way the key can be wound is by Zennosuke doing good deeds. In order to achieve this end, he is given the Dango-ken, which is a sword with Japanese Dumplings skewered onto it. Whenever Zenmai Zamurai sees people doing injustice or generally being out of control, he uses his sword to shoot the dumplings into their mouths. When the dumplings are eaten, the people suddenly become happy and realize the error of their ways. He helps out the people of his village in many ways, big and small. Whenever he has done well, a rainbow comes out of the sky to wind up his key. -Wikipedia",[],Zenmai Zamurai,['Kids'],['Comedy'],,
105,"Saru! Get You: On Air, Ape Escape",サルゲッチュ ～オンエアー～2nd,,,,,['TV'],51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007",['Fall 2006'],Unknown,"None found,","None found,",['Xebec'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,10 min. per ep.,PG - Children,5.93,#10274,#15156,777,3,182,Saru Getchu: On Air sequel.,"['Prequel (TV) Saru Getchu: On Air', '']",Saru Getchu: On Air 2nd,['Kids'],,,
106,,ぷるるんっ！しずくちゃん,,,,,['TV'],51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007",['Fall 2006'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],,,24 min. per ep.,G - All Ages,[],#21177,#15803,655,1,,"The series revolves around a playful young child named Shizuku-Chan. He, alongside his schoolmates, friends, and family lives a life of dangerous adventures in the Shizuku Forest. (Source: Wikipedia)","['Sequel (TV) Pururun! Shizuku-chan Aha', '']",Pururun! Shizuku-chan,['Kids'],['Comedy'],,
107,Miracle Mimika,味楽る!ミミカ,Miracle! Mimika,,,,['TV'],225,Finished Airing,"Apr 3, 2006 to Mar 13, 2009",['Spring 2006'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Original,"['Gourmet', 'Slice of Life']",,10 min. per ep.,G - All Ages,[],#20319,#16050,619,0,,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook. (Source: AnimeNfo)",[],Miracle! Mimika,['Kids'],,,
108,Odenkun,おでんくん,,,,,['TV'],156,Finished Airing,"Aug 4, 2005 to Feb 27, 2009",['Summer 2005'],Unknown,['Studio Egg'],"None found,","None found,",Picture book,,,7 min. per ep.,G - All Ages,[],#20789,#17012,506,1,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Sequel (TV) Ganbare! Oden-kun', '']",Oden-kun,,['Comedy'],,
109,,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,,5 min. per ep.,PG - Children,[],#17875,#17191,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,['Kids'],['Horror'],"['Historical', 'Performing Arts']",
110,,パンツぱんくろう,,,,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19434,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,['Kids'],,,
111,"Crystal Fairy Z-Squad, Keuliseutal-yojeong Jiseukwodeu",크리스탈요정 지스쿼드,Z-Squad,,,,['TV'],26,Finished Airing,"Dec 4, 2006 to Sep 10, 2007",['Winter 2007'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,[],#17455,#20554,254,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Crystal-yojeong Z-Squad,['Kids'],,,
112,"Kung-ya Kung-ya, Koongya Koongya",쿵야쿵야,,,,,['TV'],26,Finished Airing,"Nov 9, 2006 to May 10, 2007",['Fall 2006'],Unknown,"None found,","None found,","None found,",Game,,,25 min. per ep.,PG - Children,[],#19681,#22387,160,0,,"Kyungyas, from vegetable kingdom, comes to the Kyungya Restaurant. They have a mission to make children eat more vegetable and protect them from greasy, instant dishes. However, far from completing their mission, Kyungyas have hard time keeping the restaurant from bankruptcy. It is because of Onion Kyungya’s experimental dishes. His curiosity makes trouble with Celery Kyungya, the manager of Kyungya restaurant. How can they solve the problems they have with the customers. Would it be possible for Kyungyas to accomplish the mission? (Source: KBS Media)",[],Kungya Kungya,['Kids'],['Fantasy'],,
113,,火星娃之古代大家故事,,,,,['TV'],54,Finished Airing,Jan 2007 to Dec 2007,['Winter 2007'],Unknown,"None found,","None found,","None found,",Unknown,,,11 min. per ep.,PG - Children,[],#18809,#22514,154,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Huoxing Wa: Zhi Gudai Dajia Gushi,['Kids'],,,
114,,クレイジー・クレイ・レスリング,Crazy Clay Wrestling,,,,['ONA'],1,Finished Airing,"Apr 21, 2007",,,"None found,","None found,","None found,",Original,,['Combat Sports'],6 min.,PG-13 - Teens 13 or older,3.68,#13807,#10626,"2,937",4,1948,"An intense wrestling match takes place between Yellow and Orange. Pulling out all the stops, they attack each other with all they have—German suplexes, snaps, groin kicks, tosses, and headlocks are all fair game. Only the side that can pin down the other for three seconds will be the winner, and they will both go all-out to seize the prize! [Written by MAL Rewrite]",[],CCW: Crazy Clay Wrestling,,['Sports'],,
115,,Superfluid,Superfluid,,,,['ONA'],1,Finished Airing,"Apr 16, 2007",,,"None found,","None found,","None found,",Original,,['Music'],1 min.,G - All Ages,4.79,#13438,#16472,564,1,275,"Short film by Kojirou Shishido originally released in 2007. A 4K version of the film was uploaded to his YouTube channel November 14, 2018.",[],Superfluid,,['Avant Garde'],,
116,,ホクロ兄弟 フルスロットル!!!!,,,,,['ONA'],7,Finished Airing,"May 25, 2007",,,"None found,","None found,","None found,",Other,,,5 min. per ep.,PG-13 - Teens 13 or older,4.88,#13348,#17065,498,0,185,"""Hokuro Kyodai Full Throttle!!!"", the high quality 3D animation for the character Hokuro Kyodai that appeared in the movie ""Nice no Mori (Funky Forest)."" Directed by Katsuhito Ishii. (Source: AniDB)",[],Hokuro Kyoudai Full Throttle!!!!,,['Comedy'],,
117,Ming Ji: 2nd Life,茗记,,,,,['ONA'],1,Finished Airing,"Apr 23, 2007",,,"None found,","None found,","None found,",Original,,,5 min.,PG-13 - Teens 13 or older,[],#20276,#22848,142,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Ming Ji 2: Chu Zhi Lian', '']",Ming Ji,,['Romance'],,
