,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Genre,Theme,Demographics
104,,パブー＆モジーズ,Paboo & Mojies,['TV'],52,Finished Airing,"Apr 2, 2012 to Mar 2, 2013",['Spring 2012'],Not scheduled once per week,"None found,",['Nelvana'],['Dongwoo A&E'],Original,,,11 min. per ep.,G - All Ages,[],#20935,#18529,380,0,,"Paboo is a fun loving and curious boy panda, and he and his group of larger-than-life friends explore and problem-solve in their quirky, imaginative and sometimes zany world! Each episode sees the Mojies (Japanese for letters of the alphabet) and Pappy (the Mojies book fairy of course!) help Paboo to discover the Magic Word and solve the problem of the day! (Source: Nelvana)",[],Paboo & Mojies,,,,['Kids'],,,
105,,ぬっこ。,,['TV'],24,Finished Airing,"Apr 2, 2012 to Sep 19, 2012",['Spring 2012'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#20754,#18766,361,0,,The new Nukko. anime is an adolescent school story revolving around Nukko and Nukko's slightly(?) oddball friends. (Source: ANN),[],Nukko.,,,,,['Comedy'],,
106,,リボンちゃん,,['TV'],24,Finished Airing,"Apr 4, 2012 to Mar 27, 2013",['Spring 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,Unknown,None,[],#21369,#19010,345,0,,An anime short series inspired by soft drink company Sapporo Beverage's mascot character Ribbon-chan. The story center on the soda-loving young girl named Ribbon-chan and her pet dog Citron. Note: The series aired on Wednesdays during episodes of the Nori Suta Max television program. (Source: ANN),[],Ribbon-chan,,,,,['Comedy'],,
107,"Hi Totobi, Hello Totobi",안녕 토토비,,['TV'],104,Finished Airing,"Jul 20, 2011 to Sep 25, 2013",['Summer 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,20 min. per ep.,PG - Children,[],#16593,#19091,338,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Annyeong Totobi,,,,['Kids'],,,
108,The Configurators 2,锋速战警2,,['TV'],26,Finished Airing,Feb 2012 to Dec 2012,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,22 min. per ep.,PG - Children,[],#17964,#19627,306,1,,Second season of Feng Shu Zhan Jing.,"['Prequel (TV) Feng Shu Zhan Jing', '']",Feng Shu Zhan Jing 2,,,,['Kids'],['Adventure'],['Mecha'],
109,,ペンギンの問題POW,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Unknown,,,1 min. per ep.,G - All Ages,[],#21004,#21157,221,0,,Final Season of Penguin no Mondai.,"['Prequel (TV) Penguin no Mondai DX?', '']",Penguin no Mondai POW,,,,['Kids'],,,
110,,키오카,,['TV'],78,Finished Airing,"Jan 2, 2012 to Oct 16, 2013",['Winter 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,8 min. per ep.,PG - Children,[],#19444,#22395,159,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kioka,,,,['Kids'],,,
111,,数学荒岛历险记3,,['TV'],40,Finished Airing,Nov 2011 to Dec 2013,['Fall 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG - Children,[],#14402,#22599,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuxue Huang Dao Lixian Ji 2', 'Sequel (TV) Huang Dao Lixian Ji: Luo Ke He Biancheng Mao']",Shuxue Huang Dao Lixian Ji 3,,,,['Kids'],,,
112,,嵩山奇缘,,['TV'],26,Finished Airing,Feb 2012 to Oct 2013,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,17 min. per ep.,PG - Children,[],#14472,#22739,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Songshan Qi Yuan,,,,['Kids'],,,
113,,花狐狸与捣蛋鸭,,['TV'],60,Finished Airing,Aug 2011 to Aug 2012,['Summer 2011'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#18701,#23089,134,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hua Huli Yu Daodan Ya,,,,['Kids'],,,
114,,미술탐험대,Art Odyssey,['TV'],52,Finished Airing,"Aug 29, 2011 to Dec 12, 2013",['Summer 2011'],Unknown,['EBS'],"None found,",['Iconix Entertainment'],Original,,,11 min. per ep.,PG - Children,[],#20323,#23157,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Misultamheomdae,,,,['Kids'],['Fantasy'],['Mahou Shoujo'],
115,,폴리와 함께하는 교통안전 이야기,,['TV'],26,Finished Airing,"Nov 14, 2011 to May 31, 2013",['Fall 2011'],Unknown,"None found,","None found,","None found,",Original,,"['Educational', 'Racing']",5 min. per ep.,PG - Children,[],#21087,#23291,128,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Poli wa Hamkkehaneun Gyotonganjeon Iyagi,,,,['Kids'],['Comedy'],,
116,,玉骐麟之仙灵奇域,,['TV'],52,Finished Airing,Jul 2011 to Jul 2013,['Summer 2011'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#16138,#23346,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yu Qi Lin: Xian Ling Qi Yu,,,,['Kids'],,['Anthropomorphic'],
117,,少年师爷之侠义欢乐行,,['TV'],26,Finished Airing,May 2012 to Nov 2012,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,,,14 min. per ep.,PG - Children,[],#14070,#23657,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Zhihui Kuaile Xia', 'Sequel (TV) Shaonian Shiye: Ren Shanxing Tianxia']",Shaonian Shiye: Xiayi Huanle Xing,,,,['Kids'],,['Historical'],
118,,东南特卫队,,['TV'],52,Finished Airing,May 2012 to May 2013,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,14 min. per ep.,PG - Children,[],#17708,#23702,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dongnan Te Weidui,,,,['Kids'],,,
119,,おべとも学園,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#20775,#23969,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,,,,['Slice of Life'],['School'],
120,,보글보글 쿡 2기,Bubble Bubble Cook 2nd Season,['TV'],52,Finished Airing,Sep 2011 to Oct 2012,['Fall 2011'],Unknown,"None found,","None found,",['Studio Vandal'],Original,,,23 min. per ep.,G - All Ages,[],#17062,#24211,107,0,,The second season of Bubble Bubble Cook.,"['Prequel (TV) Bubble Bubble Cook', '']",Bubble Bubble Cook 2nd Season,,,,['Kids'],['Gourmet'],['Super Power'],
121,,笨笨悠游记之麻辣夏令营,,['TV'],50,Finished Airing,Apr 2012 to Aug 2012,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#16908,#24514,102,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Ben Ben You Youji: Chuanyue Huaxia', '']",Ben Ben You Youji: Mala Xialingying,,,,['Kids'],,,
122,,十二生肖之龙行天下,,['TV'],40,Finished Airing,May 2012 to Oct 2012,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#14173,#24878,96,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shi Er Shengxiao: Long Xing Tianxia,,,,['Kids'],['Fantasy'],,
123,,好奇探长,,['TV'],52,Finished Airing,Jan 2012 to Oct 2012,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#18429,#25169,93,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Haoqi Tan Zhang,,,,['Kids'],['Fantasy'],,
124,"Regardless of My Adolescent Delusions of Grandeur, I Want a Date! Lite, Chu-2 Byo demo Koi ga Shitai! Lite, Love, Chunibyo & Other Delusions Lite",中二病でも恋がしたい！Lite,"Love, Chunibyo & Other Delusions!: Chuni-Shorts",['ONA'],6,Finished Airing,"Sep 27, 2012 to Oct 31, 2012",,,"None found,",['Sentai Filmworks'],['Kyoto Animation'],['Light novel'],,,6 min. per ep.,PG-13 - Teens 13 or older,7.26,#3025,#1675,"146,631",179,79404,Short episodes aired on KyoAni's official YouTube channel.,"['Sequel (ONA) Chuunibyou demo Koi ga Shitai! Ren Lite', '']",Chuunibyou demo Koi ga Shitai! Lite,,,,,['Comedy'],['School'],
125,,今日のあすかショー,Today's Asuka Show,['ONA'],20,Finished Airing,"Aug 3, 2012 to Jan 5, 2013",,,"['Lantis', 'Half H.P Studio']","None found,",['SILVER LINK.'],['Manga'],"['Comedy', 'Ecchi']",,3 min. per ep.,PG-13 - Teens 13 or older,6.56,#6719,#3324,"49,957",67,17877,"Asuka is a cute and clueless high school girl who habitually does things, in all innocence, that seem sexually suggestive to the men around her. Each chapter in ""Today's Asuka Show"" features a different awkward situation. (Source: tethysdust)","['Adaptation (Manga) Kyou no Asuka Show', '']",Kyou no Asuka Show,,,,['Seinen'],,,
126,"Kyousougiga (2012), Kyousogiga (2012)",京騒戯画,,['ONA'],5,Finished Airing,"Aug 31, 2012 to Dec 22, 2012",,,['Bandai Channel'],['Discotek Media'],['Toei Animation'],Original,"['Action', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,7.12,#3790,#4427,"28,370",32,11605,"Three kids are stuck in a strange city causing massive mayhem through the land. They are searching for an atypical rabbit in order to return home. Koto, the eldest of the three, seems to have some sort of connection to this weird place ruled by a monk, a demon, and a priest.","['Prequel (ONA) Kyousou Giga', 'Adaptation (Manga) Kyousou Giga']",Kyousou Giga (2012),,,,,,,
127,,えびてん 公立海老栖川高校天悶部,Ebiten,['ONA'],10,Finished Airing,"Jul 14, 2012 to Sep 15, 2012",,,"['AIC', 'Kadokawa Shoten', 'AMG MUSIC']",['Sentai Filmworks'],['AIC Classic'],['Manga'],"['Comedy', 'Ecchi']","['Parody', 'School']",24 min. per ep.,R+ - Mild Nudity,6.17,#8995,#4442,"28,186",27,9412,"Noya Itsuki just transferred to Ebisugawa High School. Since he has always had a fascination with space, he decides to join the Astronomy Club; however, he mistakenly walks into the Asstronomy Club—a club whose members are all female otaku. Itsuki notices that the members are really weird, but he has yet to realize that he joined the wrong club. His life becomes very strange very quickly.","['Adaptation (Manga) Ebiten: Kouritsu Ebisugawa Koukou Tenmon-bu', '']",Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,Ebiten,Ebiten,Ebiten,['Shounen'],,,
128,,Shitcom,,['ONA'],1,Finished Airing,"Sep 21, 2012",,,"None found,","None found,","None found,",Original,"['Comedy', 'Romance']",,1 min.,PG-13 - Teens 13 or older,2.79,#13848,#4986,"21,515",51,16152,"A beautiful couple is enjoying a lovely dinner together when suddenly the woman's stomach begins to make loud, rumbling sounds. As she attempts to calm the beast in her belly, her partner proposes to her, leaving her both overjoyed and distressed at her situation. The astonishing events of that night now begin to unfold, as a mysterious mass starts to make its way out of her mouth... [Written by MAL Rewrite]",[],Shitcom,,,,,,,
129,,ごきチャ!!,Cockroach Girls,['ONA'],2,Finished Airing,"Sep 14, 2012",,,"['Movic', 'Marine Entertainment']","None found,","['WAO World', 'MooGoo']",['Manga'],,,8 min. per ep.,G - All Ages,5.53,#12030,#5560,"16,282",21,8034,"Gokicha is a small cockroach girl who has moved from Kanto to Hokkaido. She hopes the people in Hokkaido, who are less used to her kind, will become her friends. Despite her best intentions, however, she always seems to find herself on the bottom of someone's shoe or covered in insecticide. As Gokicha and her friend Chaba try to make it on the streets, it becomes apparent that the lives of cockroaches are full of peril. [Written by MAL Rewrite]","['Adaptation (Manga) Gokicha', '']",Gokicha!!,,,,,['Comedy'],['Anthropomorphic'],
130,Love,愛,,['ONA'],1,Finished Airing,"Aug 10, 2012",,,"None found,","None found,","None found,",Original,,,7 sec.,G - All Ages,2.67,#13850,#9067,"4,771",7,3127,"The circumstances responsible for the person's pained expression remain unknown. However, it can be surmised that love is responsible for the anguish they feel. [Written by MAL Rewrite]",[],Ai (ONA),,,,,['Avant Garde'],,
131,Over The Edge,端ノ向フ,,['ONA'],1,Finished Airing,"Sep 21, 2012",,,"None found,","None found,",['Iyasakadou Film'],Original,"['Horror', 'Supernatural']",,10 min.,R - 17+ (violence & profanity),5.80,#10963,#11706,"2,134",2,944,"There are old stories of children disappearing by the river's edge. This has haunted Otoha ever since her friend Jiro disappeared when she was seven years old and now she is back in her hometown covering the war between the government and the dissidents. When she gets separated from the squad, Otoha thinks someone seems to be leading her deeper into the back alleys of the town.",[],Hashi no Mukou,,,,,,['Historical'],
132,,一撃殺虫!! ホイホイさんLEGACY,,['ONA'],1,Finished Airing,"Aug 11, 2012",,,"None found,","None found,",['Bridge'],['Manga'],"['Comedy', 'Sci-Fi']",,1 min.,G - All Ages,4.92,#13301,#12779,"1,508",0,542,Originally planned to be released as an original video anime adaptation of Ichigeki Sacchuu!! HoiHoi-san Legacy manga. Japanese publisher ASCII Media Works concluded that there has been no prospect of completing the production of the title and cancelled the production. The two-minute trailer is all that was released of this project. (Source: AniDB),"['Adaptation (Manga) Ichigeki Sacchu!! Hoihoi-san: Legacy', '']",Ichigeki Sacchuu!! Hoihoi-san: Legacy,,,,,,,
133,,クレムリン,,['ONA'],5,Finished Airing,"Sep 14, 2012 to Feb 22, 2013",,,"None found,","None found,",['DLE'],['Manga'],,,2 min. per ep.,PG-13 - Teens 13 or older,5.45,#12267,#13253,"1,316",0,565,"A gag, flash animation comedy that centers around a purported college student named Haruo ""Cat"" Kyattsuyama who only went to his school, the low-tier Kunekune College, once. One day, he sees a cute Russian Blue cat named Kan-u abandoned in a cardboard box on the roadside somewhere in Japan. Kyattsuyama pretends not to see the cat, and continues to do so for an entire year. Surprisingly, no one has shown up to try to save the cat, so Kyattsuyama finally decides to pick the cat up — however, by then, there are now three Russian Blue cats instead of just one. Kyattsuyama asked the cats for their names, and they all said ""Kan-u."" The anime shorts are inspired by Kaoru Curry-zawa's ""Kremlin"" cat gag comedy manga. (Source: ANN)","['Adaptation (Manga) Kremlin', '']",Kremlin,,,,['Seinen'],['Comedy'],,
134,Seduced in the Sleepless City: Hirose Ryouichi - Memorial Date,眠らぬ街のシンデレラ 廣瀬遼一「Memorial Date」,,['ONA'],1,Finished Airing,"Sep 26, 2012",,,"None found,","None found,","None found,",Original,,,2 min.,PG-13 - Teens 13 or older,5.40,#12421,#14480,943,1,189,Short animation created for the most voted character in Voltage's 2012 Character Ranking Commemorative Animation.,[],Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date,,,,,['Romance'],,
135,"One Hundred Thousand Bad Jokes Season 1, Shi Wan Ge Leng Xiaohua Di Yii Ji",十万个冷笑话第一季,,['ONA'],12,Finished Airing,"Jul 11, 2012 to Aug 1, 2013",,,['Yaoqi'],"None found,",['L²Studio'],['Web manga'],,,7 min. per ep.,PG-13 - Teens 13 or older,6.24,#8635,#14570,922,1,252,"One Hundred Thousand Bad Jokes is a parody series that references folktales, classic literature, and modern comics, films, and animation from a variety of countries and regions.","['Prequel (Movie) Shi Wan Ge Leng Xiaohua Movie 2', 'Sequel (ONA) Shi Wan Ge Leng Xiaohua 2nd Season']",Shi Wan Ge Leng Xiaohua,,,,,['Comedy'],['Parody'],
136,"Love Sky Tree 21, Ai Sukai Tsurii 21",愛・スカイツリー 21,,['ONA'],1,Finished Airing,"Aug 30, 2012",,,"None found,","None found,","None found,",Original,,,15 sec.,G - All Ages,4.40,#13681,#14649,903,0,428,Short anime by Rapparu mixing animation with still real life pictures.,[],Ai Sky Tree 21,,,,,['Action'],,
137,,宮子,Miyako,['ONA'],1,Finished Airing,"Sep 30, 2012",,,"None found,","None found,","None found,",Other,,,3 min.,PG-13 - Teens 13 or older,6.05,#9683,#16118,610,1,252,"MONOLITH (a.k.a. Kaoru/Brilliance) provides a poetry reading for Miyako, taken from the perspective of a mentally ill woman stalking another woman.",[],Miyako,,,,,,['Psychological'],
138,,うさぎのモフィ,,['ONA'],13,Finished Airing,"Sep 30, 2012 to Dec 20, 2012",,,"None found,","None found,",['Kachidoki Studio'],Picture book,,,2 min. per ep.,G - All Ages,5.87,#10561,#16378,574,0,178,The story of a white rabbit and her friends.,[],Usagi no Mofy,,,,['Kids'],,,
139,"Mysterious Counting, ""The Art of 10^64 -Understanding Vastness-"" Time with class! Let's count!",フカシギの数え方,The Art of 10^64 -Understanding Vastness-,['ONA'],1,Finished Airing,"Sep 10, 2012",,,"None found,","None found,","None found,",Original,,,8 min.,G - All Ages,5.27,#12760,#16829,522,0,238,"An anime commissioned by The National Museum of Emerging Science and Innovation (Miraikan for short) for its ""The Art of 10^64 -Understanding Vastness-"" exhibition which ran from August 1, 2012 to April 15, 2013. This is an example about combinatorial explosion. ""I want to demonstrate how amazing combinatorial explosion is! Please don't stop me!"" Teacher and children tell you how difficult it is. (Source: Official YouTube Page)","['Sequel (ONA) Graphillion: Kazoeage Oneesan wo Sukue', '']",Fukashigi no Kazoekata,,,,['Kids'],,,
140,"Kamiusagi Rope 4 18, Kamiusagi Rope 4 19, Kamiusagi Rope 4 20, AU Collaboration",au×ロペ,,['ONA'],3,Finished Airing,"Jul 10, 2012 to Aug 31, 2012",,,"None found,","None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,5.12,#13058,#17373,469,0,143,"Another collaboration between Kamiusagi Rope and AU. These episodes were included on the 1st DVD of Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!? as episoded 18, 19 and 20.",[],au x Rope,,,,,,,
141,"Ziriziri Moyou no Ryuuryuu Tenten, Zarizari mo you no Ruru Tenten, People in a Strange Pattern",ジリジリもようの流々転々,,['ONA'],1,Finished Airing,"Jul 7, 2012",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.59,#11814,#17393,467,0,211,A relaxing anime showing a convenience store as time passes in a fantasy world.,[],Jirijiri Moyou no Ryuuryuu Tenten,,,,,['Fantasy'],,
142,,猿蟹合戦（予告）,,['ONA'],1,Finished Airing,"Jul 31, 2012",,,['7ji'],"None found,","None found,",Other,,,37 sec.,G - All Ages,5.06,#13144,#18879,353,0,148,An adaptation of the classic Japanese folktale albeit a teaser.,[],Saru Kani Gassen (Yokoku),,,,,,['Historical'],
143,"Mold Rabbit, Hikouki-hen, Game Center-hen, Kaichuu-hen",カビうさぎ,,['ONA'],3,Finished Airing,"Jul 5, 2012 to Aug 10, 2012",,,['Ripromo'],"None found,","None found,",Original,,,33 sec. per ep.,G - All Ages,5.17,#12960,#19287,327,0,113,Shorts focusing on the cute (albeit bittersweet) lives of several rabbits with mold growing on them. They dream to spread their mold all over the world.,[],Kabi Usagi,,,,,['Comedy'],,
144,"La La La De Ma Xiya Second Season, La La La Demacia Second Season",啦啦啦德玛西亚 第二季,,['ONA'],10,Finished Airing,"Jul 19, 2012 to Dec 13, 2012",,,"None found,","None found,",['Transcendence Picture'],Game,"['Action', 'Fantasy']",,10 min. per ep.,R - 17+ (violence & profanity),[],#19713,#20402,262,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Lalala Demacia', 'Sequel (ONA) Lalala Demacia Third Season']",Lalala Demacia Second Season,,,,,,,
145,Moyashimon Returns Specials,もやしもん リターンズ『菌劇場 しゅっちょうばん』,,['ONA'],3,Finished Airing,"Sep 5, 2012",,,"None found,","None found,","None found,",['Manga'],,,1 min. per ep.,G - All Ages,[],#20447,#20303,269,0,,Short specials released online and later included in the BD/DVD vol 1.,[],Moyashimon Returns: Kin Gekijou Shutchou-ban,,,,,['Comedy'],,
146,,おつかれおやすみ、ゆめ子。,,['ONA'],1,Finished Airing,"Sep 9, 2012",,,"None found,","None found,","None found,",Original,,,3 min.,G - All Ages,[],#20916,#21369,209,0,,A short film by Haruka Suzuki.,[],"Otsukare Oyasumi, Yumeko.",,,,,['Avant Garde'],['Music'],
147,,阿狸·丢东西的娃娃,,['ONA'],2,Finished Airing,"Aug 31, 2012 to 2012",,,"None found,","None found,","None found,",Picture book,,,7 min. per ep.,PG-13 - Teens 13 or older,[],#16540,#24350,105,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ali Diu Dongxi de Wawa,,,,['Kids'],['Fantasy'],,
148,,巢湖传说,,['ONA'],11,Finished Airing,Sep 2012 to Dec 2012,,,"None found,","None found,","None found,",Unknown,,,10 min. per ep.,PG - Children,[],#17219,#24928,96,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chaohu Chuanshuo,,,,['Kids'],['Adventure'],['Historical'],
149,Kissxsis,キス×シス,,['OVA'],12,Finished Airing,"Dec 22, 2008 to Apr 6, 2015",,,"None found,",['Discotek Media'],['feel.'],['Manga'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",24 min. per ep.,R+ - Mild Nudity,6.79,#5365,#749,"340,976","1,321",189305,"When Keita Suminoe's father remarried, not only did he gain a new mother, but elder twin sisters as well. Distinct yet similar, the homely and mature Ako is a former student council president, while the athletic and aloof Riko is the previous disciplinary president. The three of them have been together since kindergarten, resulting in a deep bond between the siblings. However, over time, their relationship developed into something more romantic—and erotic . Now in his last year of middle school, Keita has already received a sports recommendation, but it's from a different high school than his two sisters. Disappointed, both sisters try to change his mind, and he agrees, giving in to their desperate pleas. Unaware of the consequences, he now has to attempt to study for his high school exams while warding off the advances of his lust-driven sisters. With their parent's blessings, Ako and Riko strive to be Keita's future wife, leaving him to try his best to keep the relationship between them strictly platonic. However, with two beautiful girls vying for his attention, will Keita be able to withstand the endless temptations? [Written by MAL Rewrite]","['Adaptation (Manga) Kiss x Sis', '']",Kiss x Sis,,,,['Seinen'],,,
150,"High School DxD Episodes 13 and 14, Highschool DxD OVA",ハイスクールD×D OVA,,['OVA'],2,Finished Airing,"Sep 6, 2012 to May 31, 2013",,,"['Genco', 'Lantis', 'AT-X', 'Fujimi Shobo']","None found,",['TNK'],['Light novel'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Mythology', 'School']",23 min. per ep.,R+ - Mild Nudity,7.26,#3037,#886,"296,474",559,172139,"#1: Oppai, Minorimasu! (Episode 13) A rumor is going about the school about how girls are disappearing and coming back ill and with their breast size decreased. #2: Oppai, Motomemasu! (Episode 14) While observing how the others do their jobs so they can do theirs better, Issei and Asia go with Rias to see if a coffin is cursed. During the investigation Issei is possessed by an Egyptian magician named Unas, It just so happens that Unas is just as perverted as Issei. Unas will only leave Issei's body if they can release Unas from the curse placed on him by a devil that Unas tried to make his bride.","['Prequel (TV) High School DxD', 'Sequel (TV) High School DxD New']",High School DxD OVA,,,,,,,
151,"Hyouka Episode 11.5, Hyouka OVA, Hyou-ka OVA, Hyouka: You can't escape OVA, Hyou-ka: You can't escape OVA, Hyoka OVA",氷菓 持つべきものは,Hyouka: What Should Be Had,['OVA'],1,Finished Airing,"Jul 8, 2012",,,"None found,",['Funimation'],['Kyoto Animation'],['Light novel'],"['Mystery', 'Slice of Life']",,25 min.,PG-13 - Teens 13 or older,7.35,#2576,#1308,"195,740",152,117589,"It's another regular day, with Houtarou Oreki sitting at home as usual; that is until his sister Tomoe ropes him into working as a lifeguard at the local swimming pool. Upon reaching the pool, Oreki coincidentally meets the other members of the Classics Club. Eru Chitanda notices that a white object that was on a woman's ear a while ago suddenly disappeared, which leaves her curious about the mystery behind it. Hyouka: Motsubeki Mono wa features Oreki and the rest of the Classics Club as they have fun at the pool and solve the mystery that has piqued Chitanda's curiosity. [Written by MAL Rewrite]",[],Hyouka: Motsubeki Mono wa,,,,,,['School'],
152,Corpse Party OVA,コープスパーティー Missing Footage,,['OVA'],1,Finished Airing,"Aug 2, 2012",,,"None found,","None found,",['asread.'],Visual novel,,,11 min.,R - 17+ (violence & profanity),5.95,#10176,#1680,"146,090",185,77505,"Someday a group of classmates will perform a charm at night after school—the Happy Sachiko charm. This paper doll ritual is meant to make them stay friends forever, but performing it incorrectly will lead them to be dragged down into a dilapidated phantom of Tenjin Elementary School, which had been torn down years ago. Trapped until they can reunite and perform the charm correctly, the students will have to solve the mystery of the haunted school in order to make it out alive. Before that ill-fated event, however, the friends led ordinary lives. Corpse Party: Missing Footage reveals an insight into the students' lives on the day before they were thrust into a waking nightmare. [Written by MAL Rewrite]","['Sequel (OVA) Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou', '']",Corpse Party: Missing Footage,,,,,['Horror'],['School'],
153,"To LOVE-Ru Trouble Darkness OVA, To-Love-Ru Darkness OVA, ToLoveRu Darkness OVA",To LOVEる -とらぶる- ダークネス,,['OVA'],6,Finished Airing,"Aug 17, 2012 to Apr 3, 2015",,,"None found,","None found,",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'School']",25 min. per ep.,R+ - Mild Nudity,7.52,#1871,#1772,"135,998",221,73170,"Bundled with the 5th, 6th, 8th, 9th, 12th and 13th limited-edition volumes of the manga.","['Adaptation (Manga) To LOVE-Ru Darkness', '']",To LOVE-Ru Darkness OVA,,,,['Shounen'],,,
154,"Seitokai Yakuindomo (2011), Seitokai Yakuindomo (2012), Seitokai Yakuindomo OAD, SYD OVA, SYD OAD",生徒会役員共 OAD,,['OVA'],8,Finished Airing,"Apr 15, 2011 to Oct 17, 2013",,,['Starchild Records'],"None found,",['GoHands'],['4-koma manga'],,"['Gag Humor', 'School']",26 min. per ep.,R - 17+ (violence & profanity),7.75,#1155,#1809,"132,781",122,69948,It is the start of Takatoshi Tsuda's second year as the put-upon vice president of the student council and his sister Kotomi is entering school as a first year. New friends and double entendres are made. (Source: ANN),"['Prequel (TV) Seitokai Yakuindomo', 'Sequel (TV) Seitokai Yakuindomo*', 'Adaptation (Manga) Seitokai Yakuindomo', '']",Seitokai Yakuindomo OVA,,,,['Shounen'],['Comedy'],,
155,Horimiya,堀さんと宮村くん,,['OVA'],6,Finished Airing,"Sep 26, 2012 to May 25, 2021",,,"None found,","None found,","['Gonzo', 'Hoods Entertainment', 'Studio Kai', 'Marone']",['Web manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.42,#2296,#1846,"128,864",706,47713,"Within everyone there exists a side preferably kept hidden, even from close friends. For the smart and popular Kyouko Hori, it's the fact that she has to do all the housework and care for her little brother, Souta, because of her parents' busy work schedules. For the gentle Izumi Miyamura, whom everybody sees as an otaku, it's his nine hidden piercings and large body tattoo. So what happens when they accidentally discover each other's hidden sides? Sharing parts of themselves that they couldn't with anyone else, strong bonds of friendship soon begin to form between Miyamura and Hori, as well as those around them. As their hidden personas start to dissipate, they slowly learn how to open up to others. [Written by MAL Rewrite]","['Adaptation (Manga) Hori-san to Miyamura-kun', '']",Hori-san to Miyamura-kun,,,,,['Romance'],['School'],
