,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,Theme,German,Spanish,Demographics,French
156,大正偽りブラヰダル 身代わり花嫁と軍服の猛愛,Taisho Era Contract Marriage: The Substitute Bride and a Soldier's Fierce Love,['ONA'],8,Finished Airing,"Oct 7, 2024 to Dec 8, 2024",,,"['Studio Mausu', 'Suiseisha']","None found,",['Studio Hokiboshi'],['Manga'],,['Josei'],6 min. per ep.,Rx - Hentai,6.32,N/A,#12899,"1,422",6,332,"Asako, despite her status as a viscount's daughter, is shunned in high society. One day, a marriage proposal arrives for her younger sister with Captain Kido, a renowned soldier known for his ice-cold demeanor. Rumor says he seeks a bride solely for the purpose of bearing children... To protect her precious younger sister, Asako volunteers as a substitute bride. (Source: TVDB)","['Adaptation (Manga) Haramu made Midareike: Migawari Hanayome to Gunpuku no Mouai', '']",Taishou Itsuwari Bridal: Migawari Hanayome to Gunpuku no Mouai,,,['Hentai'],['Historical'],,,,
157,师兄啊师兄 第二季,My Senior Brother Is Too Steady,['ONA'],78,Currently Airing,"Dec 14, 2023 to ?",,,['Youku'],"None found,",['Sparkly Key Animation Studio'],Web novel,"['Action', 'Adventure', 'Fantasy']",,21 min. per ep.,PG-13 - Teens 13 or older,7.59,#1591,#13095,"1,338",5,327,The second season of Shixiong A Shixiong.,"['Prequel (ONA) Shixiong A Shixiong', '']",Shixiong A Shixiong 2nd Season,,"['Historical', 'Martial Arts']",,,,,,
158,집이 없어,,['ONA'],8,Finished Airing,"Nov 1, 2024 to Nov 15, 2024",,,"None found,","None found,",['LICO'],['Web manga'],,,6 min. per ep.,PG-13 - Teens 13 or older,6.75,#5592,#13236,"1,294",3,212,"Go Hae-jun, who ran away from home, and Baek Eun-young, a troublemaker who lives in a tent without a home. The two people who met through bad luck end up living together in an old, abandoned dormitory. A difficult coming-of-age story of two people who dislike both the dormitory and each other but have nowhere else to go. (Source: Laftel)","['Adaptation (Manhwa) No Home', '']",Jibi Eopseo,No Home,,['Slice of Life'],['School'],,,,
159,剑来,Sword of Coming,['ONA'],26,Finished Airing,"Aug 15, 2024 to Dec 14, 2024",,,['Tencent Penguin Pictures'],"None found,",['Cloud Art'],Web novel,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.51,#1895,#13512,"1,201",12,368,"There are all kinds of things in the world. A poor boy in Lizhu Cave Heaven who should have great luck was unable to seize the opportunity because his natal porcelain was broken. Based on this, many bigwigs focused on the boy and made arrangements, so that the boy's friends got great opportunities, but the boy was at the center of the storm... (Source: Tencent, Google translated)",[],Jian Lai,The Sword Comes,,,,,,,
160,长生界,World of Immortals,['ONA'],26,Currently Airing,"Oct 29, 2024 to ?",,,['Tencent Penguin Pictures'],"None found,",['Qingxiang Culture'],Novel,"['Action', 'Adventure', 'Fantasy']",,20 min. per ep.,PG-13 - Teens 13 or older,7.11,#3863,#13747,"1,123",7,172,"The World of Immortals, it is the world every mortals long for. For many, it is an eternal glory to distort the dimension and enter the World of Immortals. But the vicissitude of time is simply merciless, the legends regarding immortality had long been forgotten. However, a miracle shall rise once more! An immortal was about to distort the dimension with martial arts and cut all ties with the mortal world. The protagonist, Xiao Chen, was caught up in it and accidentally brought to the World of Immortals. What will they find in the vast world beyond the rift? (Source: MU)",[],Chang Sheng Jie,,,,,,,,
161,永生之海噬仙灵,Immortality 4th Season,['ONA'],16,Finished Airing,"Jul 26, 2024 to Nov 8, 2024",,,"None found,","None found,","None found,",Web novel,"['Action', 'Adventure', 'Fantasy']",,20 min. per ep.,PG-13 - Teens 13 or older,7.32,#2714,#14023,"1,046",2,349,Fourth season of Yong Sheng.,"['Prequel (ONA) Yong Sheng: Qizhuang Shanhe', '']",Yong Sheng: Hai Shi Xian Ling,Yong Sheng 4th Season,,,['Martial Arts'],,,,
162,お兄さんおひとりですか?,"Are You Alone, Mister?",['ONA'],1,Finished Airing,"Nov 29, 2024",,,['Torudaya'],"None found,",['Seven'],['Manga'],,,16 min.,Rx - Hentai,6.63,N/A,#14377,946,4,438,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Doujinshi) Oniisan Ohitori desu ka?', '']",Oniisan Ohitori desu ka?,,,['Hentai'],,,,,
163,吞噬星空剧场版 血洛大陆,Swallowed Star: Blood Luo Continent,['ONA'],1,Finished Airing,"Dec 7, 2024",,,['Tencent Penguin Pictures'],"None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,1 hr. 33 min.,PG-13 - Teens 13 or older,7.86,#896,#14527,910,7,302,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tunshi Xingkong Movie: Xueluo Dalu,"Tunshi Xingkong Juchang Ban: Xueluo Dalu, Swallowed Star Movie",,,['Martial Arts'],,,,
164,镇魂街 第四季,Rakshasa Street 4th Season,['ONA'],26,Currently Airing,"Nov 22, 2024 to ?",,,['bilibili'],"None found,",['L²Studio'],['Manga'],"['Action', 'Fantasy', 'Supernatural']",,20 min. per ep.,PG-13 - Teens 13 or older,[],#16112,#14601,893,1,,The fourth season of Zhen Hun Jie.,"['Prequel (ONA) Zhen Hun Jie 3rd Season', '']",Zhen Hun Jie 4th Season,Requiem Street 4th Season,,,,,,,
165,牧神记,Tales of Herding Gods,['ONA'],26,Currently Airing,"Oct 27, 2024 to ?",,,['bilibili'],"None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Adventure', 'Fantasy']",,20 min. per ep.,PG-13 - Teens 13 or older,7.43,#2235,#15368,709,5,146,"In the Disabled Elderly Village, there live nine elderly people with unpredictable origins and the young man Qin Mu they raised. One day, the cows that Qin Mu was responsible for grazing began to speak human words. From then on, Qin Mu became more aware of the dangers and beauty of Daxu, a land abandoned by gods: demons descended with darkness, divine bones danced in the ruins, and dragon bones protected their young, a giant ship that drags the sun... No matter what kind of danger he faces, Qin Mu is fearless. He has integrated the skills passed down by the Nine Elders and vowed to carve out a world with his unparalleled hegemony. (Source: Bilibili, Google translated)",[],Mushen Ji,Mu Shen Ji,,,['Historical'],,,,
166,沧元图 第二季,The Demon Hunter 2nd Season,['ONA'],27,Currently Airing,"Dec 6, 2024 to ?",,,['Youku'],"None found,","['Shenman Entertainment', 'Tianshi Wenhua']",Web novel,"['Action', 'Adventure', 'Fantasy']",,22 min. per ep.,PG-13 - Teens 13 or older,7.49,#1979,#15681,657,8,130,The second season of Cang Yuan Tu.,"['Prequel (ONA) Cang Yuan Tu: Dongning Fu Fanwai Pian', '']",Cang Yuan Tu 2nd Season,Azure Legacy,"['Historical', 'Martial Arts']",,,,,,
167,KUROMI’S PRETTY JOURNEY ～はちゃめちゃ！マルチバース大脱出！～,,['ONA'],19,Finished Airing,"Oct 31, 2024 to Dec 12, 2024",,,['Sanrio'],"None found,","['Studio Nanahoshi', 'Qzil.la', 'Imagica Infos']",Original,"['Comedy', 'Fantasy']",,2 min. per ep.,PG - Children,6.52,#6921,#15780,642,7,114,Kuromi's new journey into multiverse and met Niko.,"[""Prequel (ONA) Kuromi's Pretty Journey"", '']",Kuromi's Pretty Journey: Hacha Mecha! Multiverse Daidasshutsu!,Kuromi's Pretty Journey Season 2,,,,,,,
168,左手上篮2,Left-Hand Layup! 2nd Season,['ONA'],Unknown,Currently Airing,"Dec 20, 2024 to ?",,,['Tencent Penguin Pictures'],"None found,",['Heart & Soul Animation'],Original,,,Unknown,PG-13 - Teens 13 or older,[],#16267,#15950,615,1,,The second season of Zuoshou Shanglan.,"['Prequel (ONA) Zuoshou Shanglan', '']",Zuoshou Shanglan 2nd Season,,,['Sports'],['Team Sports'],,,,
169,日本へようこそエルフさん ミニアニメ,,['ONA'],Unknown,Currently Airing,"Nov 14, 2024 to ?",,,"None found,","None found,",['AQUA ARIS'],['Light novel'],,,2 min.,PG-13 - Teens 13 or older,[],#18017,#16031,606,0,,"Mini anime featuring chibi characters from Nihon e Youkoso Elf-san, streamed on the official X account and Toei Video Youtube channel.",[],Nihon e Youkoso Elf-san Mini Anime,,,['Comedy'],,,,,
170,大道朝天,One Way or Another,['ONA'],16,Finished Airing,"Oct 10, 2024 to Jan 9, 2025",,,['bilibili'],"None found,",['CG Year'],Novel,"['Action', 'Adventure', 'Fantasy']",,19 min. per ep.,PG-13 - Teens 13 or older,7.37,#2475,#16837,509,5,149,"A person who has traveled all over the green mountains is still young, but when he suddenly looks back, the sword is just between his eyebrows, but in his heart. Jing Jiu, who lives in a mountain village in Chaotian Continent, unexpectedly receives Liu Shisui, who is born with Taoism, as a book boy. The two came to the Qingshan Sect by chance, but they were criticized because the ""mediocre"" Jing Jiu actually took the ""extraordinary genius"" Liu Shisui as his servant. At the sword inheritance conference, Jing Jiu also met Zhao Layue, a Sanwu girl from Shenmo Peak. Jing Jiu, who is surprisingly ""lazy"", just wants to practice quietly, but little does he know that fate will involve the three of them in a huge river and lake dispute... Under the Taixu, are the green mountains far away? Not far. (Source: Bilibili, Google translated)",[],Dadao Chaotian,The Path Toward Heaven,"['Historical', 'Martial Arts']",,,,,,
171,卡徒,The War of Cards,['ONA'],13,Finished Airing,"Nov 30, 2024 to Jan 25, 2025",,,['Tencent Penguin Pictures'],"None found,",['Oriental Creative Color'],Other,"['Action', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#16521,#17494,447,6,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ka Tu,Katu,,,,,,,
172,Duel Masters LOST ～月下の死神～,,['ONA'],Unknown,Currently Airing,"Dec 21, 2024 to ?",,,"None found,","None found,",['J.C.Staff'],['Manga'],"['Action', 'Supernatural']",,23 min.,R - 17+ (violence & profanity),[],#20338,#17531,445,1,,Sequel to Duel Masters LOST: Tsuioku no Suishou.,"['Prequel (ONA) Duel Masters LOST: Tsuioku no Suishou', '']",Duel Masters LOST: Gekka no Shinigami,,,,['Strategy Game'],,,,
173,,Ten Thousand Worlds Season 3,['ONA'],56,Currently Airing,"Nov 30, 2024 to ?",,,['Liu Cong Animation'],"None found,",['Ruo Hong Culture'],Novel,"['Action', 'Adventure', 'Fantasy']",,9 min. per ep.,PG-13 - Teens 13 or older,[],#15083,#17672,434,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Wan Jie Du Zun 2nd Season', '']",Wan Jie Du Zun 3rd Season,万界独尊 第三季,,,,,,,
174,直江くんは痩せさせたい。,,['ONA'],2,Finished Airing,"Oct 6, 2024 to Oct 20, 2024",,,"None found,","None found,",['AQUA ARIS'],['Manga'],"['Comedy', 'Fantasy']",,11 min. per ep.,PG-13 - Teens 13 or older,5.72,#11277,#17949,414,0,144,Web exclusive episodes 13 and 14 of Naoe-kun wa Yasesasetai.,"['Prequel (TV) Naoe-kun wa Yasesasetai.', '']",Naoe-kun wa Yasesasetai. (ONA),,,,,,,,
175,《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,Honkai: Star Rail - Cosmic Ninjutsu Inscriptions — Havoc Exorcism: Lunar Vileslayer Scroll,['ONA'],1,Finished Airing,"Oct 18, 2024",,,['miHoYoAnime'],"None found,","None found,",Game,"['Action', 'Fantasy', 'Sci-Fi']",,2 min.,PG-13 - Teens 13 or older,6.58,#6581,#18151,399,0,179,"The vast expanse of the boundless silver sea conceals countless fiendlings beneath its surface. Border villages fall under the onslaught of these fiendlings, and even the once-bright moon above has turned into a tyrant. ""Whomst defends the world's justice? Whomst sees through the deceit of vice and indulgence? Whomst will wipe out these evildoers? Whomst will protect the light of ten thousand homes?"" The weak are silenced by sinister laughter, leaving only a sorrowful sigh. But when the people raise their heads to the sky, the falling stars beyond the heavens have already answered— A dazzling blaze of otherworldly fire will soon obliterate the calamities of this realm. This is the divine retribution of the Mappou Age of the Dharma, delivered by the Ninja Heroes patrolling the sea of stars. (Source: Youtube)",[],Benghuai: Xing Qiong Tiedao - Yinhe Renfa Tie Luan Wu Qu Mo Poxie Zhan Yue Zhi Juan,,,,,,,,
176,都市古仙医,Immortal Doctor In Modern City,['ONA'],150,Currently Airing,"Oct 2, 2024 to ?",,,"['iQIYI', 'Zongheng Xiaoshuo']","None found,",['Xing Yi Kai Chen'],Novel,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,11 min. per ep.,PG-13 - Teens 13 or older,[],#20326,#18201,397,1,,"Ye Bufan, a junior student, tried to scam a car to raise medical expenses for his mother. Unexpectedly, he encountered a female driver who did not play by the rules. After being hit, Ye Bufan accidentally traveled to a fantasy world and obtained the inheritance of ancient medicine. From then on, he mastered medical skills, practiced martial arts, and won the favor of countless beautiful women. (Source: iQIYI, translated)",[],Du Shi Gu Xian Yi,,"['Martial Arts', 'Medical', 'Time Travel']",,,,,,
177,徒弟个个是大佬,Over Goddess,['ONA'],40,Currently Airing,"Oct 28, 2024 to ?",,,['Youku'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#14922,#18286,390,4,,"The story follows the aloof supreme lord of the myriad realms. He handpicks young girls, each with the potential to ascend as future deities, and embarks on a treacherous quest to reshape the destiny of the realms. Confronting formidable challenges and obstacles, will these fledgling girls triumph in their trials and forge a new world from the ashes of the old? (Source: Youku)",[],Tudi Ge Ge Shi Da Lao,,"['Historical', 'Martial Arts']",,,,,,
178,神道帝尊,Divine Lord of the Heavens,['ONA'],48,Currently Airing,"Oct 22, 2024 to ?",,,['bilibili'],"None found,",['Ruo Hong Culture'],Novel,"['Action', 'Adventure', 'Fantasy']",,7 min. per ep.,PG-13 - Teens 13 or older,[],#13987,#18451,376,0,,"The young man Qin Yang was very talented and possessed the enviable cultivation artifact ""Star Gate"". However, this luck was taken away overnight. When he was about to die, Qin Yang opened the dust-covered treasure ""God Bead"" in his body. Since then, he has restored the memory of his previous nine lives and gained a new life. At the same time, the family fell into an unprecedented crisis. Faced with many tests, Qin Yang took charge of his own affairs and relied on the experience accumulated in his nine previous lives to break through the difficulties again and again. Unexpectedly, the conspirators are still pressing forward step by step. In order to protect the people he cherishes, Qin Yang chooses to fight to the end. (Source: Bilibili, Google translated)",[],Shendao Dizun,,"['Historical', 'Martial Arts']",,,,,,
179,武炼巅峰,Martial Peak,['ONA'],48,Currently Airing,"Dec 5, 2024 to ?",,,"['Tencent Penguin Pictures', 'Yuewen Animation & Comics']","None found,",['CG Year'],Web novel,"['Action', 'Adventure', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#15237,#18523,371,3,,"Yang Kai, a trial disciple and floor sweeper at Zhongdu Lingxiao Pavilion, was demoted to a trial disciple due to his poor qualifications. If he did not achieve anything within three years, he would be expelled from the sect. Yang Kai accidentally obtained a mysterious stone pillow, which opened up mysterious skills such as the Proud Golden Body. After that, he continued to practice, breaking through his own limits with his tenacious character as a young man, and finally stood at the top of the inheritance cave. Yang Kai and Su Yan inherited the mysterious skills together, and continued to start his story of becoming a legend and reaching the peak of martial arts. (Source: Tencent, translated)",[],Wu Lian Dianfeng,,"['Historical', 'Martial Arts']",,,,,,
180,宗门里除了我都是卧底,Spy x Sect,['ONA'],48,Currently Airing,"Oct 14, 2024 to ?",,,['bilibili'],"None found,",['Suoyi Technology'],Novel,"['Action', 'Fantasy']",,7 min. per ep.,PG-13 - Teens 13 or older,[],#16250,#18791,349,1,,"The legendary hacker was chased to death by the system's AI in order to save humanity, and unexpectedly became the leader of the first sect in another world. However, in order to deal with the situation of all undercover agents in the sect and the system crisis that came with it, Chen Ning just wanted to keep a low profile and wait and see, have a look. But like a cone in the bag, even though he was cold-faced and unparalleled and cared about the world, he was still among thousands of flowers, and each one was touched. Finally, with the help of the system agent Jiang Que, Chen Ning's domineering body shook, and both the enemy and ourselves just bow down and bow! The secrets of the world rushed to be opened to him, and he finally solved the crisis of annihilation. (Source: Bilibili, Google translated)",[],Zongmen Li Chule Wo Dou Shi Wodi,Everyone in the Sect Except Me is an Undercover Agent,"['Historical', 'Isekai']",,,,,,
181,虎鹤妖师录,Tiger Crane,['ONA'],24,Currently Airing,"Oct 5, 2024 to ?",,,['bilibili'],"None found,",['Motion Magic'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,15 min. per ep.,PG-13 - Teens 13 or older,[],#21195,#19190,325,0,,"In a world where humans and demons coexist and compete, people who practice magic and kill demons as their own mission are called demon masters. Qi Xiaoxuan, the captain of the national demon master, met the prodigal Huzi by accident, and the two embarked on a journey to slay demons and protect the Tao together. Now, the world has experienced five hundred years of peace, and the demons are already ready to move, casting a haze on their future... (Source: Bilibili, Google translated)",[],Hu He Yao Shi Lu,,,,,,,,
182,我是大神仙 第三季,Da Shen Xian 3rd Season,['ONA'],16,Finished Airing,"Oct 28, 2024 to Dec 2, 2024",,,['Tencent Animation & Comics'],"None found,",['CG Year'],['Web manga'],"['Action', 'Adventure', 'Fantasy']",,19 min. per ep.,PG-13 - Teens 13 or older,[],#15201,#19383,312,1,,The third season of Wo Shi Da Shenxian.,"['Prequel (ONA) Wo Shi Da Shenxian 2nd Season', '']",Wo Shi Da Shenxian 3rd Season,I am a Great God 3rd Season,"['Historical', 'Martial Arts']",,,,,,
183,山海伏魔录,Adventures in Subduing the Demons,['ONA'],26,Currently Airing,"Nov 11, 2024 to ?",,,['Youku'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#13896,#19411,311,0,,"A civilization that disappeared in the dust, the ancient bosses sought their own way to become emperors. Jiang Hao, a modern young man who was originally a chess piece, stepped into the prehistoric wilderness in order to find the whereabouts of his father. With his incomplete ""power bank"" totem, he fought with people, from primitive tribes to the mysterious ancient city, he fought his way out; he fought with the earth, crossed the wilderness, hunted ancient beasts, and learned the ancient and mysterious totem witchcraft from the beasts; he fought with the sky, and the magic light from the sky suddenly appeared, wanting to devour this magnificent six wastelands. He went upstream, ignited himself, turned into the sun, and fought with the devil! He was shaking the world, but he didn't know that the shackles of fate had already trapped him, and his father's smile was still lingering. (Source: Youku, Google translated)",[],Shanhai Fu Mo Lu,"巫皇, Wu Huang, The Wizard Lord, Shanhai Fumolu, Shan Hai Fu Mo Lu","['Historical', 'Martial Arts']",,,,,,
184,我能无限顿悟,,['ONA'],Unknown,Currently Airing,"Oct 26, 2024 to ?",,,['iQIYI'],"None found,","None found,",Novel,"['Action', 'Adventure', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#15196,#19531,302,0,,"With determination and courage, Xiao Yun, a mortal boy, joins the battle for the qualification of the emperor with the help of the epiphany system. But why did the emperor know him a million years ago? Why did he leave notes in the future? What is the true origin of the epiphany system? All parallel worlds will face a huge crisis, and the only savior is the boy from Earth summoned by the gods! (Source: Iqiyi, Google translated)",[],Wo Neng Wuxian Dunwu,,"['Historical', 'Martial Arts']",,,,,,
185,武逆,Martial Inverse,['ONA'],30,Currently Airing,"Nov 7, 2024 to ?",,,['Tencent Penguin Pictures'],"None found,","None found,",Web novel,"['Action', 'Adventure', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#15241,#19967,278,0,,"On the Tianwu Continent, the powerful dominated the weak. Feng Hao, the young master of the Feng family, possessed a rare physique but was wrongly labeled as talentless and worthless. As a result, he was frequently mocked and belittled. However, a fateful encounter altered the course of his life and destiny. Through an extraordinary process, he infused his body with rare gemstones, eventually attaining unmatched strength. This transformation set him on a journey to master the void and explore the far reaches of the universe.",[],Wu Ni,Martial Rebel,"['Historical', 'Martial Arts']",,,,,,
186,暂停！智序重组,A War between Humans and AI,['ONA'],12,Finished Airing,"Nov 14, 2024 to Jan 23, 2025",,,"None found,","None found,","None found,",Other,"['Action', 'Comedy', 'Fantasy']",,20 min. per ep.,PG-13 - Teens 13 or older,[],#16071,#20199,266,0,,"On an unknown continent, there is a city called Satellite City No. 9. In this city, a screw straightening worker named Rui Li at the screw factory gradually realizes the unreality of the city in her monotonous daily work. With the help of a mysterious character named ""Anull"", Rui Li gains the superpower of ""transformation"" and becomes the thief ""Sirius"", secretly taking action to escape from here. When the truth of the world finally unfolds before her eyes, Rui Li discovers that her real battle has just begun. (Source: Bilibili)",[],Zanting! Zhi Xu Chongzu,Pause! Zhixu Reorganization,,,,,,,
187,万古最强宗,The Strongest Sect of All Ages,['ONA'],36,Currently Airing,"Nov 6, 2024 to ?",,,"['Tencent Animation & Comics', 'Yuewen Animation & Comics']","None found,",['Ruo Hong Culture'],Web novel,"['Adventure', 'Comedy', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#15099,#20717,237,1,,"A special scientific experiment, a wonderful adventure in different time and space. Jun Changxiao came to Xingyun Continent with the system and inherited an unknown small sect. He must build the sect into the No. 1 in Xingyun Continent within a hundred years, and recruit 100,000 disciples. If he fails to complete it, the system will explode and he will be finished. In order to survive and return to the original time and space safely. He actively ""established a sect"" and taught disciples. The gang grew from a ""lone commander"" to a hundred people. Under the leadership of Jun Changxiao, everyone built houses and planted crops, caught chickens and found dogs, and maintained peace and helped the weak anytime and anywhere. The disciples in the sect have different personalities. The funny Jun Changxiao gets along well with everyone, and there is unlimited joy in the warm big family. In a lively and positive atmosphere, everyone supports each other and grows rapidly. The cultivation of the sect is a long and arduous task, and Jun Changxiao leads the disciples to explore up and down... (Source: Tencent, Google translated)",[],Wangu Zui Qiang Zong,,,,['Historical'],,,,
188,ブルーロック あでぃしょなる・たいむ,,['ONA'],1,Finished Airing,"Oct 6, 2024",,,"None found,","None found,",['8bit'],['Manga'],"['Comedy', 'Sports']",['Shounen'],2 min.,PG-13 - Teens 13 or older,[],#19505,#20757,234,0,,"A mini anime episode which was only shown on EMOTION Label Channel (YouTube Channel). This is not a part of episode 24, and is not with BD release.",[],Blue Lock Additional Time,Blue Lock Additional Time Episode 24,,,['Team Sports'],,,,
189,ミニっと！かいじゅう８号,Minute! Kaiju No. 8,['ONA'],Unknown,Currently Airing,"Dec 6, 2024 to ?",,,['TOHO animation'],"None found,","None found,",['Manga'],"['Comedy', 'Sci-Fi']",['Shounen'],2 min.,PG-13 - Teens 13 or older,[],#17671,#20709,237,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Minute! Kaijuu 8-gou,,"['Adult Cast', 'Military']",,,,,,
190,万界主宰,Lord of Wonderlands,['ONA'],32,Currently Airing,"Oct 28, 2024 to ?",,,"None found,","None found,","None found,",Unknown,"['Action', 'Fantasy']",,15 min. per ep.,PG-13 - Teens 13 or older,[],#15106,#20858,230,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wanjie Zhuzai,,,,,,,,
191,全球高武,World's Best Martial Artist,['ONA'],16,Currently Airing,"Dec 21, 2024 to ?",,,"['Tencent Animation & Comics', 'Tencent Penguin Pictures', 'Yuewen Animation & Comics']","None found,",['Wawayu Animation'],Web novel,"['Action', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#18664,#20881,229,0,,"The 28-year-old Fang Ping was accidentally reborn in a parallel world in 2008, returning to his 18-year-old high school self. This is a world composed of a warrior system, where warriors have extremely high social status and rights. Due to the coincidence of fate with Emperor Zhan Tian in his previous life, a martial arts system was generated in Fang Ping's body after his rebirth. He can convert rare props of any value into martial arts value by touching them, and improve a series of abilities such as bones, tendons, flesh, blood, and mental strength at a speed beyond ordinary people. Through the system's golden finger and his own mind, Fang Ping successfully entered Modu Wuke University for further studies, and in the years to come, he continued to complete his self-growth. Faced with unknown difficulties, he gradually realized the responsibilities that warriors need to bear and the mission of protecting family, friendship, and love. (Source: Tencent, Google translated)",[],Quanqiu Gao Wu,Global Martial Arts,,,['Martial Arts'],,,,
192,Agent Blue,,['ONA'],1,Finished Airing,"Nov 9, 2024",,,"None found,","None found,","None found,",Original,,,48 sec.,R - 17+ (violence & profanity),[],#19021,#20922,225,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Agent Blue,,,['Action'],['Gore'],,,,
193,教師のK,,['ONA'],Unknown,Currently Airing,"Oct 6, 2024 to ?",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,,30 sec.,PG-13 - Teens 13 or older,[],#17069,#21117,213,0,,Mini anime for Touhai: Ura Rate Mahjong Touhai Roku.,[],Kyoushi no K,"Touhai: Ura Rate Mahjong Touhai Roku Mini Anime, Tohai: Ura Rate Mahjong Tohai Roku Mini Anime",,['Comedy'],,,,,
194,盒中之海,Sea in a Box,['ONA'],1,Finished Airing,"Oct 3, 2024",,,['bilibili'],"None found,","None found,",Original,"['Fantasy', 'Horror', 'Sci-Fi', 'Suspense']",,2 hr. 9 min.,PG-13 - Teens 13 or older,[],#20979,#21226,207,0,,"Four participants playtest a virtual reality game that is still under development. The game uses AI simulated NPCs and system dynamics to generate a world with features not created by the developers, and perhaps beyond human understanding.",[],He Zhong Zhi Hai,,,,['Video Game'],,,,
195,人间最得意 第二季,Proud Swordsman 2nd Season,['ONA'],14,Currently Airing,"Dec 1, 2024 to ?",,,"None found,","None found,","None found,",Novel,"['Action', 'Fantasy']",,12 min. per ep.,PG-13 - Teens 13 or older,[],#18704,#21407,200,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Renjian Zui Deyi', '']",Renjian Zui Deyi 2nd Season,,"['Martial Arts', 'Mythology']",,,,,,
196,我气哭了百万修炼者 第二季,I Annoyed Millions of Cultivators 2nd season,['ONA'],30,Currently Airing,"Dec 15, 2024 to ?",,,['Tencent Penguin Pictures'],"None found,",['Suoyi Technology'],Novel,"['Action', 'Comedy', 'Fantasy']",,11 min. per ep.,PG-13 - Teens 13 or older,[],#15197,#21418,199,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Wo Qi Ku Le Baiwan Xiulian Zhe', '']",Wo Qi Ku Le Baiwan Xiulian Zhe 2nd Season,I Upset Millions Of Cultivators 2nd season,,,['Martial Arts'],,,,
197,ゴムをつけてといいましたよね...,,['ONA'],2,Finished Airing,"Dec 13, 2024 to Dec 27, 2024",,,['Torudaya'],"None found,",['Seven'],['Manga'],,,16 min. per ep.,Rx - Hentai,[],N/A,#21429,198,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Doujinshi) Gomu wo Tsukete to, Iimashita yo ne...', '']",Gomu wo Tsukete to Iimashita yo ne...,,,['Hentai'],,,,,
198,宝可梦动画图鉴 千伶百俐,,['ONA'],9,Finished Airing,"Nov 27, 2024 to Dec 16, 2024",,,"None found,","None found,","None found,",Game,,['Kids'],1 min. per ep.,G - All Ages,[],#19356,#21717,182,0,,Second season of Bao Ke Meng Donghua Tujian.,"['Prequel (ONA) Bao Ke Meng Donghua Tujian: Xiaoqi Dao Zhong', '']",Bao Ke Meng Donghua Tujian: Qian Ling Bai Li,"Pokemon Douga Zukan, ポケモン動画図鑑",,['Fantasy'],,,,,
199,永恒剑祖,Eternal Sword Ancestor,['ONA'],40,Currently Airing,"Dec 19, 2024 to ?",,,['Youku'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#15932,#21735,181,0,,"A generation of Sword Emperor, entered the cycle of reincarnation and was reborn, practiced the ancient methods, forged the flesh and earth, broke the shackles of the gods, and smashed the conspiracy to deceive the world! (Source: Youku, Google translated)",[],Yongheng Jian Zu,,"['Historical', 'Martial Arts']",,,,,,
